,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FITNESS,concept
23,600779.SH,600779,水井坊,白酒,46.4,9962.09,"MSCI, 新进指数成份股, 白酒, 业绩预增, 复牌股, "
24,300306.SZ,300306,远方信息,电器仪表,9.81,9961.41,"移动支付, 无人商店, LED, 虹膜识别, 人脸识别, "
25,002568.SZ,002568,百润股份,红黄药酒,17.06,9446.29,"社保重仓, 回购, 饮料, "
26,002110.SZ,002110,三钢闽光,普钢,18.86,9405.75,"MSCI, 钢铁, 高送转, "
27,601901.SH,601901,方正证券,证券,7.78,9312.97,"MSCI, 券商, 金改, 回购, 高校系, "
28,603776.SH,603776,永安行,公共交通,25.48,9042.21,"新能源整车, 回购, 物联网, 新能源汽车, 共享经济, 独角兽, 蚂蚁金服概念股, "
29,601015.SH,601015,陕西黑猫,焦炭加工,6.65,8775.71,"煤炭, 甲醇, 天然气, "
30,000540.SZ,000540,中天金融,多元金融,5.09,8602.13,"金改, 回购, 房地产, 互联网金融, 资产重组, "
31,600692.SH,600692,亚通股份,房产服务,8.86,8593.94,"赛马, 房地产, 土地流转, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, "
32,600010.SH,600010,包钢股份,普钢,1.82,8556.25,"MSCI, 钢铁, 内蒙古, 航母, 债转股-AMC, 稀土磁材, 低价股, "
33,600497.SH,600497,驰宏锌锗,铅锌,5.48,8486.43,"MSCI, 有色-锌, 有色金属, "
34,600284.SH,600284,浦东建设,建筑施工,8.31,8222.31,"国家队重仓, 大基建, 环杭州湾大湾区, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, 创投, "
35,600898.SH,600898,国美通讯,通信设备,9.96,8149.17,
36,600195.SH,600195,中牧股份,饲料,13.41,8064.16,"赛马, 央企改革, 动物保健, "
37,603685.SH,603685,晨丰科技,电气设备,18.05,7872.24,"LED, "
38,002180.SZ,002180,纳思达,电脑设备,28.38,7839.08,"MSCI, 物联网, 3D打印, 智能制造, 移动支付, 半导体, 国产芯片, "
39,000975.SZ,000975,银泰资源,铅锌,10.14,7812.81,"MSCI, 内蒙古, 有色-锌, 有色金属, 业绩预增, 黄金, "
40,002659.SZ,002659,凯文教育,文教休闲,9.07,7742.22,"教育, "
41,300180.SZ,300180,华峰超纤,化纤,16.01,7547.56,"移动支付, 高送转, 工业互联网, "
42,300059.SZ,300059,东方财富,证券,18.83,7359.59,"MSCI, 券商, 金改, 创业板人气股, 互联网金融, 移动支付, 大数据, 彩票, "
43,300233.SZ,300233,金城医药,化学制药,19.7,7238.36,"医药, 化学药, 石墨烯, 股权转让, "
44,600547.SH,600547,山东黄金,黄金,29.71,7085.83,"MSCI, 债转股-AMC, 山东国企改革, 人民币贬值受益, 黄金, "
45,603970.SH,603970,中农立华,其他商业,17.72,6997.0,"农药, 无人机, "
46,000828.SZ,000828,东莞控股,路桥,9.99,6927.89,"高股息, 高速公路, 信托, 新能源汽车, 充电桩, "
47,002395.SZ,002395,双象股份,塑料,16.77,6860.99,"煤化工, 足球, 体育产业, "
48,600790.SH,600790,轻纺城,商品城,4.46,6810.13,"养老金持股, 国家队重仓, 社保重仓, 浙江国企改革, 创投, "
49,300381.SZ,300381,溢多利,生物制药,10.24,6782.36,"动物保健, 燃料乙醇, "
50,300055.SZ,300055,万邦达,环境保护,8.48,6739.28,"固废处理, 社保重仓, 石油化工, 环保, 京津冀, 污水处理, "
51,300196.SZ,300196,长海股份,玻璃,10.65,6653.89,"玻纤, 社保重仓, "
52,603185.SH,603185,上机数控,机床制造,52.27,6613.75,"光伏, "
53,002880.SZ,002880,卫光生物,生物制药,46.96,6601.95,"血制品, 高送转-预期, 医药, 疫苗, "
54,000538.SZ,000538,云南白药,中成药,90.8,6571.93,"白马股, MSCI, 健康中国, 大消费, 医药, 中药, 资产重组, "
55,600307.SH,600307,酒钢宏兴,普钢,2.38,6507.11,"钢铁, 业绩预增, 铁矿石, 低价股, "
56,601233.SH,601233,桐昆股份,化纤,16.85,6411.39,"MSCI, 涤纶, 高送转-预期, 供应链金融, 石油化工, "
57,600269.SH,600269,赣粤高速,路桥,4.73,6400.0,"高速公路, 核电, 参股券商, 破净股, "
58,002436.SZ,002436,兴森科技,元器件,5.74,6348.25,"PCB板, 互联网金融, 半导体, 国资入股, "
59,600636.SH,600636,三爱富,化工原料,15.55,6315.31,"教育, 央企改革, 制冷剂, 业绩预增, ST摘帽, "
60,603303.SH,603303,得邦照明,家用电器,14.8,6284.78,"回购, LED, "
61,600578.SH,600578,京能电力,火力发电,3.39,6264.47,"火电, 高股息, 电改, 业绩预增, 独角兽, 蚂蚁金服概念股, "
62,300122.SZ,300122,智飞生物,生物制药,45.0,6252.32,"MSCI, 业绩预增, 医药, 创新药, 疫苗, 创业板人气股, "
63,600688.SH,600688,上海石化,石油加工,5.63,6249.62,"碳纤维, MSCI, 油气改革, 央企改革, 石油化工, 油品升级, "
64,000725.SZ,000725,京东方A,元器件,3.86,6209.44,"白马股, OLED, MSCI, 国家队重仓, 民营医院, 华为产业链, 新零售, 汽车零部件, 物联网, 智能制造, 医疗器械, 互联网医疗, 指纹识别, 半导体, VR&AR, 苹果产业链, "
65,000799.SZ,000799,酒鬼酒,白酒,25.02,6169.25,"央企改革, 白酒, "
66,600872.SH,600872,中炬高新,食品,34.57,6098.59,"MSCI, 社保重仓, 调味品, 宝能系, 粤港澳大湾区, 食品, 股权转让, "
67,603326.SH,603326,我乐家居,家居用品,11.54,6078.19,"家具家居, "
68,000040.SZ,000040,东旭蓝天,新型电力,9.26,6042.05,"雄安-地产, 业绩预增, 破净股, 粤港澳大湾区, 光伏, 定增破发, 房地产, 环保, 智能制造, 雄安新区, 污水处理, 区块链, 机器人, "
69,300144.SZ,300144,宋城演艺,旅游景点,22.74,5915.19,"主题公园, MSCI, 大消费, 社保重仓, 旅游, 海南自由贸易港, 创业板人气股, 直播/短视频, 自贸区, 自由贸易港, VR&AR, 动漫, "
70,600011.SH,600011,华能国际,火力发电,6.59,5904.34,"火电, 高股息, 白马股, MSCI, 电改, 央企改革, 风电, "
71,000825.SZ,000825,太钢不锈,特种钢,5.04,5599.34,"钢铁, 人民币升值受益, 核电, 有色金属, 有色-镍, 山西国企改革, 苹果产业链, 高铁轨交, "
72,603587.SH,603587,地素时尚,服饰,26.11,5587.41,"纺织服装, 破发次新, "
73,600795.SH,600795,国电电力,火力发电,2.76,5560.07,"火电, 高股息, MSCI, 电改, 央企改革, 风电, 雄安-金融, 雄安新区, 低价股, 资产重组, "
74,600724.SH,600724,宁波富达,区域地产,4.36,5506.31,"浙江国企改革, 环杭州湾大湾区, 房地产, 资产重组, "
75,603018.SH,603018,中设集团,建筑施工,20.05,5488.38,"回购, 大基建, "
76,600880.SH,600880,博瑞传播,广告包装,4.46,5472.0,"直播/短视频, 电竞, 资产重组, 游戏, 手游, "
77,603055.SH,603055,台华新材,纺织,12.21,5431.4,"涤纶, 锦纶（尼龙）, "
78,603339.SH,603339,四方科技,专用机械,17.75,5403.03,"冷链, "
79,002020.SZ,002020,京新药业,化学制药,10.98,5389.44,"回购, 参股券商, 医药, 化学药, 迈瑞医疗概念股, "
80,600313.SH,600313,农发种业,种植业,3.06,5373.39,"央企改革, 转基因, 乡村振兴, 农垦, 土地流转, 农业种植, "
81,603198.SH,603198,迎驾贡酒,白酒,17.82,5355.72,"高股息, 白酒, "
82,002326.SZ,002326,永太科技,化工原料,9.77,5354.86,"OLED, 农药, 业绩预增, 医药, 化学药, 锂电池, 新能源汽车, 半导体, 股权转让, "
83,600857.SH,600857,宁波中百,百货,9.99,5326.91,"壳公司, "
84,000698.SZ,000698,沈阳化工,化工原料,4.76,5292.09,"烧碱, 环氧丙烷, 阿里巴巴概念股, 振兴东北, 央企改革, 破净股, 石油化工, "
85,600967.SH,600967,内蒙一机,运输设备,11.67,5288.98,"MSCI, 内蒙古, 混改, 军工混改, 央企改革, 军工研究所, 军工, "
86,002583.SZ,002583,海能达,通信设备,11.26,5285.89,"MSCI, 社保重仓, 业绩预增, 物联网, 互联网金融, 智慧城市, 智慧安防, "
87,300147.SZ,300147,香雪制药,中成药,8.32,5271.63,"国家队重仓, 医药, 中药, 创新药, 流感, 精准医疗, "
88,002468.SZ,002468,申通快递,仓储物流,23.95,5267.17,"阿里巴巴概念股, 智慧物流, 高质押率, 智能制造, 冷链, 快递物流, "
89,600429.SH,600429,三元股份,乳制品,5.92,5252.23,"二胎, 业绩预增, 食品, 乳业（奶粉）, "
90,600350.SH,600350,山东高速,路桥,5.01,5242.88,"高股息, 高速公路, 参股券商, 宝能系, 破净股, 恒大概念股, 山东国企改革, "
91,600322.SH,600322,天房发展,区域地产,3.71,5238.89,"雄安-地产, 破净股, 房地产, 雄安新区, 京津冀, 自贸区, 天津国企改革, 天津自贸区, "
92,000027.SZ,000027,深圳能源,火力发电,6.27,5234.88,"火电, 高股息, MSCI, 电改, 固废处理, 参股券商, 风电, 天然气, 宁德时代概念股, 光伏, PPP, 环保, 住房租赁, 迈瑞医疗概念股, 独角兽, 碳交易, 深圳本地股/深汕合作, 创投, "
93,002623.SZ,002623,亚玛顿,玻璃,17.86,5234.26,"光伏, 石墨烯, 玻璃, "
94,600348.SH,600348,阳泉煤业,煤炭开采,6.43,5232.01,"MSCI, 煤炭, 破净股, 山西国企改革, "
95,601878.SH,601878,浙商证券,证券,11.21,5218.25,"券商, 浙江国企改革, 期货概念, "
96,600370.SH,600370,三房巷,纺织,3.85,5191.17,"高质押率, 印染, "
97,002007.SZ,002007,华兰生物,生物制药,43.52,5147.22,"MSCI, 血制品, 医药, 创新药, 疫苗, 流感, 高送转, "
98,000543.SZ,000543,皖能电力,火力发电,5.28,5115.79,"火电, 电改, 安徽国企改革, 核电, 业绩预增, 量子通信, "
99,002444.SZ,002444,巨星科技,轻工机械,11.9,5115.6,"百度概念股, 无人驾驶, 智慧物流, 智能制造, 智慧安防, 机器人, "
100,601579.SH,601579,会稽山,红黄药酒,9.74,5110.7,"调味品, 食品, "
101,601163.SH,601163,三角轮胎,汽车配件,13.75,5089.07,"社保重仓, 轮胎, "
102,002392.SZ,002392,北京利尔,其他建材,4.01,5044.36,"有色-镁, 有色金属, 业绩预增, 耐火材料, "
103,603535.SH,603535,嘉诚国际,仓储物流,21.96,5027.78,"物联网, 智慧物流, 智能制造, 快递物流, 自贸区, 自由贸易港, 上海自由贸易港, "
104,600661.SH,600661,昂立教育,文教休闲,21.25,5015.11,"教育, 举牌股, 高校系, 股权争夺, "
105,300107.SZ,300107,建新股份,化工原料,13.43,4941.06,"染料, 雄安新区, 京津冀, 雄安-周边, "
106,300652.SZ,300652,雷迪克,汽车配件,22.67,4919.42,"高送转-预期, 汽车零部件, "
107,300172.SZ,300172,中电环保,环境保护,6.26,4891.44,"大气治理, 环保, 污水处理, "
108,002688.SZ,002688,金河生物,化学制药,5.93,4888.93,"内蒙古, 业绩预增, 动物保健, "
109,601608.SH,601608,中信重工,专用机械,5.24,4873.5,"业绩预增, 工业自动化, 智能制造, 工业互联网, 机器人, 强势人气股, "
110,002346.SZ,002346,柘中股份,电气设备,15.15,4860.23,
111,600028.SH,600028,中国石化,石油加工,5.88,4802.0,"高股息, MSCI, 中字头, 油气改革, 可燃冰, 石墨电极, 央企改革, 页岩气, 天然气, 石油化工, 油品升级, "
112,300169.SZ,300169,天晟新材,塑料,5.77,4768.49,"高铁轨交, "
113,002058.SZ,002058,威尔泰,电器仪表,13.74,4767.69,"智能仪表, 壳公司, "
114,600843.SH,600843,上工申贝,纺织机械,8.7,4750.39,"上海国企改革, "
115,601567.SH,601567,三星医疗,电器仪表,6.92,4707.12,"健康中国, 民营医院, 回购, 物联网, 智能仪表, "
116,002217.SZ,002217,合力泰,元器件,6.61,4676.83,"5G, OLED, MSCI, PCB板, 华为产业链, 小米概念股, 无线充电, 指纹识别, 3D玻璃, 股权转让, 国资入股, "
117,002697.SZ,002697,红旗连锁,超市连锁,5.73,4656.34,"阿里巴巴概念股, 社保重仓, 新零售, 业绩预增, 股权转让, 共享经济, 年报季报, "
118,000597.SZ,000597,东北制药,化学制药,13.81,4642.22,"业绩预增, 债转股-AMC, 医药, 化学药, 维生素, "
119,002663.SZ,002663,普邦股份,建筑施工,3.72,4633.58,"园林, 定增破发, PPP, 区块链, 股权转让, 独角兽, "
120,002534.SZ,002534,杭锅股份,专用机械,7.2,4603.13,"核电, 创投, "
121,601005.SH,601005,重庆钢铁,普钢,2.2,4602.27,"钢铁, 新进指数成份股, 重庆国企改革, 业绩预增, 低价股, "
122,603707.SH,603707,健友股份,化学制药,32.9,4536.5,"社保重仓, 医药, 化学药, "
123,600121.SH,600121,郑州煤电,煤炭开采,3.94,4499.03,"火电, 煤炭, ST摘帽, "
124,601006.SH,601006,大秦铁路,铁路,8.36,4480.89,"高股息, MSCI, 混改, 央企改革, 铁总混改, 高铁轨交, "
125,603700.SH,603700,宁波水表,电器仪表,29.11,4439.51,"次新股, 智能仪表, "
126,002150.SZ,002150,通润装备,机械基件,8.3,4438.91,
127,300294.SZ,300294,博雅生物,生物制药,29.68,4433.84,"血制品, 迈瑞医疗概念股, "
128,600210.SH,600210,紫江企业,广告包装,4.75,4399.22,"大飞机, 包装印刷, 创投, "
129,600082.SH,600082,海泰发展,园区开发,5.48,4370.6,"互联网金融, 京津冀, 自贸区, 天津国企改革, 股权转让, 天津自贸区, 独角兽, 蚂蚁金服概念股, 创投, "
130,002543.SZ,002543,万和电气,家用电器,15.01,4328.31,"阿里巴巴概念股, 厨卫家电, 工业自动化, 家电, 智能制造, 创投, "
131,600123.SH,600123,兰花科创,煤炭开采,8.37,4320.02,"煤炭, 甲醇, 破净股, 山西国企改革, "
132,002867.SZ,002867,周大生,服饰,34.17,4313.75,"创投, "
133,002165.SZ,002165,红宝丽,化工原料,5.23,4288.24,"环氧丙烷, 业绩预增, 装配式建筑, 锂电池, 新能源汽车, 壳公司, "
134,601199.SH,601199,江南水务,水务,4.4,4285.57,"水务, 海南自由贸易港, PPP, 自贸区, 自由贸易港, "
135,000166.SZ,000166,申万宏源,证券,5.48,4280.56,"MSCI, 券商, 新疆, "
136,600508.SH,600508,上海能源,煤炭开采,10.81,4276.55,"煤炭, 央企改革, 破净股, "
137,300464.SZ,300464,星徽精密,机械基件,9.11,4229.27,"工业自动化, 智能制造, 跨境电商, 资产重组, "
138,300525.SZ,300525,博思软件,软件服务,34.8,4225.44,"社保重仓, 数字中国, 高送转, 智慧城市, 国产软件, 资产重组, "
139,002186.SZ,002186,全聚德,酒店餐饮,13.06,4210.57,
140,600272.SH,600272,开开实业,中成药,9.33,4210.37,"医药商业, 民营医院, 纺织服装, 医药, 上海国企改革, "
141,002870.SZ,002870,香山股份,电器仪表,23.59,4186.2,"OLED, 物联网, 强势人气股, "
142,600987.SH,600987,航民股份,纺织,11.48,4160.25,"社保重仓, 染料, 印染, 资产重组, "
143,601928.SH,601928,凤凰传媒,出版业,8.42,4126.12,"金改, 教育, 社保重仓, 百度概念股, 智能制造, 云计算, VR&AR, 独角兽, 机器人, 蚂蚁金服概念股, 游戏, 手游, "
144,600089.SH,600089,特变电工,电气设备,8.22,4059.21,"碳纤维, 特高压, MSCI, 风电, 光伏, 新疆, 工业互联网, "
145,600663.SH,600663,陆家嘴,园区开发,19.07,4007.32,"房地产, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, 创投, "
146,603500.SH,603500,祥和实业,运输设备,13.53,4002.4,"高铁轨交, "
147,000818.SZ,000818,航锦科技,化工原料,12.37,4001.62,"烧碱, 环氧丙烷, 军工, 军民融合, 兜底式增持, 半导体, 国产芯片, 创投, "
148,603855.SH,603855,华荣股份,专用机械,9.51,3987.85,
149,300390.SZ,300390,天华超净,元器件,10.16,3974.56,"宁德时代概念股, 锂电池, 新能源汽车, 医疗器械, 高送转, 半导体, "
150,600976.SH,600976,健民集团,中成药,19.72,3969.33,"医药, 中药, "
151,600681.SH,600681,百川能源,供气供热,13.78,3968.69,"油气改革, 天然气, 雄安-公共服务, 雄安新区, 京津冀, "
152,002394.SZ,002394,联发股份,纺织,11.55,3951.16,"纺织服装, 人民币贬值受益, "
153,600199.SH,600199,金种子酒,白酒,7.7,3939.6,"安徽国企改革, 白酒, 业绩预增, "
154,601368.SH,601368,绿城水务,水务,6.83,3900.01,"水务, PPP, 广西, "
155,603357.SH,603357,设计总院,建筑施工,20.76,3893.15,
156,300289.SZ,300289,利德曼,生物制药,7.68,3886.22,"回购, 股权转让, 体外诊断, "
157,600252.SH,600252,中恒集团,中成药,3.4,3884.16,"参股券商, 医药, 中药, 广西, "
158,002939.SZ,002939,长城证券,证券,14.39,3882.93,"券商, 央企改革, "
159,000017.SZ,000017,深中华A,文教休闲,5.23,3859.25,"深圳本地股/深汕合作, "
160,002216.SZ,002216,三全食品,食品,8.08,3855.42,"海底捞概念股, 回购, "
161,002926.SZ,002926,华西证券,证券,11.37,3848.89,"MSCI, 券商, "
162,600496.SH,600496,精工钢构,钢加工,3.63,3848.26,"华为产业链, 业绩预增, 装配式建筑, 雄安-建材, 雄安新区, "
163,601158.SH,601158,重庆水务,水务,6.04,3845.34,"高股息, 水务, 重庆国企改革, 债转股-AMC, PPP, "
164,603689.SH,603689,皖天然气,供气供热,11.97,3839.69,"安徽国企改革, 天然气, "
165,601566.SH,601566,九牧王,服饰,14.53,3794.46,"高股息, 纺织服装, "
166,603041.SH,603041,美思德,化工原料,16.61,3788.19,
167,300701.SZ,300701,森霸传感,元器件,38.69,3786.62,"高送转-预期, 物联网, 小米概念股, 国产芯片, 智慧安防, 科创板概念股, "
168,300472.SZ,300472,新元科技,专用机械,20.7,3736.91,"业绩预增, 工业自动化, 智能制造, 机器人, 虹膜识别, 人脸识别, "
169,600865.SH,600865,百大集团,百货,7.14,3736.79,"业绩预增, 独角兽, 蚂蚁金服概念股, "
170,000929.SZ,000929,兰州黄河,啤酒,8.63,3705.26,"啤酒, 壳公司, "
171,000421.SZ,000421,南京公用,供气供热,5.41,3680.44,"汽车销售, 天然气, 新能源汽车, 充电桩, "
172,300601.SZ,300601,康泰生物,生物制药,52.7,3658.67,"MSCI, 医药, 疫苗, "
173,000883.SZ,000883,湖北能源,火力发电,4.34,3650.67,"火电, MSCI, 水电, 电改, 央企改革, 参股券商, 风电, 天然气, "
174,002121.SZ,002121,科陆电子,电器仪表,6.05,3582.26,"储能, 智能仪表, 互联网金融, 新能源汽车, 股权转让, 国资入股, 充电桩, "
175,600271.SH,600271,航天信息,电脑设备,27.63,3580.2,"MSCI, 央企改革, 军工研究所, 军工, 物联网, 谷歌概念股, 网络安全, 数字中国, 移动支付, 大数据, 区块链, 半导体, 无人商店, 智慧城市, 腾讯概念股, 电子发票, 人脸识别, "
176,603909.SH,603909,合诚股份,建筑施工,26.38,3557.34,
177,300027.SZ,300027,华谊兄弟,影视音像,5.66,3554.09,"主题公园, 阿里巴巴概念股, 新进指数成份股, 大消费, 特色小镇, 电竞, 腾讯概念股, 独角兽, 游戏, 手游, 影视, 动漫, "
178,000989.SZ,000989,九芝堂,中成药,12.3,3542.71,"医药, 中药, "
179,300290.SZ,300290,荣科科技,软件服务,10.15,3527.3,"兜底式增持, 大数据, 云计算, 互联网医疗, 智慧城市, 国产软件, 股权转让, 医疗信息化, 独角兽, "
180,601988.SH,601988,中国银行,银行,3.95,3495.67,"银行, 安邦系, MSCI, 中字头, 人民币升值受益, 破净股, "
181,603897.SH,603897,长城科技,电气设备,24.62,3475.83,
182,300423.SZ,300423,鲁亿通,电气设备,16.69,3471.59,"社保重仓, 业绩预增, 高送转, LED, "
183,601811.SH,601811,新华文轩,出版业,13.91,3454.88,"独角兽, 科创板概念股, "
184,600461.SH,600461,洪城水业,水务,6.59,3446.67,"水务, PPP, 创投, "
185,002399.SZ,002399,海普瑞,化学制药,24.91,3431.03,"MSCI, 业绩预增, 医药, 创新药, 化学药, "
186,600030.SH,600030,中信证券,证券,23.95,3430.33,"MSCI, 券商, 金改, "
187,000726.SZ,000726,鲁泰A,纺织,10.65,3400.8,"高股息, 东盟博览会, 社保重仓, 棉花, 纺织服装, 土地流转, 人民币贬值受益, "
188,002108.SZ,002108,沧州明珠,塑料,5.17,3371.58,"军工, 军民融合, 海绵城市, 锂电池, PPP, 雄安新区, 新能源汽车, 雄安-周边, "
189,600999.SH,600999,招商证券,证券,17.92,3368.24,"MSCI, 券商, 金改, 央企改革, 回购, "
190,600639.SH,600639,浦东金桥,园区开发,16.72,3365.27,"电改, 房地产, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, 创投, "
191,000619.SZ,000619,海螺型材,其他建材,6.37,3357.55,"安徽国企改革, 破净股, "
192,002290.SZ,002290,中科新材,家用电器,9.12,3357.24,"业绩预增, 供应链金融, 白色家电, 家电, "
193,002864.SZ,002864,盘龙药业,中成药,33.89,3353.01,"高送转-预期, 医药, 中药, 强势人气股, "
194,603388.SH,603388,元成股份,建筑施工,13.0,3314.28,"园林, PPP, "
195,002495.SZ,002495,佳隆股份,食品,3.83,3306.52,"调味品, 食品, "
196,600982.SH,600982,宁波热电,供气供热,3.95,3296.72,"水电, 业绩预增, 浙江国企改革, 环杭州湾大湾区, 资产重组, "
197,603701.SH,603701,德宏股份,汽车配件,14.32,3291.83,"汽车零部件, 稀土磁材, "
198,000959.SZ,000959,首钢股份,普钢,4.52,3280.66,"钢铁, 破净股, 京津冀, "
199,603379.SH,603379,三美股份,化工原料,53.36,3255.91,"次新股, "
200,002803.SZ,002803,吉宏股份,广告包装,25.31,3238.26,"业绩预增, 跨境电商, 包装印刷, "
201,002911.SZ,002911,佛燃股份,供气供热,18.33,3225.88,"天然气, 新能源汽车, 充电桩, "
202,603233.SH,603233,大参林,医药商业,46.84,3224.56,"健康中国, 新进指数成份股, 医药商业, 医药, "
203,000967.SZ,000967,盈峰环境,环境保护,7.49,3211.95,"固废处理, 核电, 回购, 特色小镇, 高质押率, 环保, 污水处理, 资产重组, "
204,002435.SZ,002435,长江润发,化学制药,7.88,3210.32,"民营医院, 回购, 医药, 化学药, "
205,601991.SH,601991,大唐发电,火力发电,3.45,3195.1,"火电, 电改, 央企改革, 核电, 风电, 雄安-公共服务, 雄安新区, "
206,300357.SZ,300357,我武生物,生物制药,45.24,3191.87,"社保重仓, 高送转, "
207,300676.SZ,300676,华大基因,医疗保健,69.16,3182.94,"MSCI, 健康中国, 基因测序, 医疗器械, 大数据, 区块链, 精准医疗, "
208,600190.SH,600190,锦州港,港口,4.05,3171.7,"振兴东北, 港口, 业绩预增, 中韩自贸区, 自贸区, 资产重组, "
209,600022.SH,600022,山东钢铁,普钢,1.91,3168.75,"钢铁, 山东国企改革, 低价股, 举牌股, "
210,600893.SH,600893,航发动力,航空,25.65,3154.63,"MSCI, 央企改革, 军工研究所, 大飞机, 通用航空, 航母, 军工, "
211,002393.SZ,002393,力生制药,化学制药,27.72,3144.53,"医药, 化学药, 疫苗, 天津国企改革, "
212,601985.SH,601985,中国核电,新型电力,6.11,3140.01,"MSCI, 中字头, 一带一路, 央企改革, 社保重仓, 核电, "
213,603458.SH,603458,勘设股份,建筑施工,37.49,3139.53,
214,002109.SZ,002109,兴化股份,化工原料,4.88,3139.51,"甲醇, 燃料乙醇, "
215,601886.SH,601886,江河集团,装修装饰,9.72,3105.28,"民营医院, 雄安-建材, 雄安新区, 装修装饰, "
216,002910.SZ,002910,庄园牧场,乳制品,14.2,3084.31,"食品, 乳业（奶粉）, "
217,000861.SZ,000861,海印股份,房产服务,2.97,3080.53,"回购, 供应链金融, 股权转让, 共享经济, "
218,002500.SZ,002500,山西证券,证券,9.44,3077.14,"MSCI, 券商, 新进指数成份股, 金改, 山西国企改革, "
219,600784.SH,600784,鲁银投资,普钢,6.0,3075.0,"债转股-AMC, 山东国企改革, 铁矿石, 资产重组, "
220,600706.SH,600706,曲江文旅,旅游服务,13.48,3069.44,"主题公园, 旅游, "
221,002820.SZ,002820,桂发祥,食品,13.89,3060.46,"回购, 食品, 休闲食品, 天津国企改革, "
222,603288.SH,603288,海天味业,食品,86.99,3032.86,"白马股, MSCI, 大消费, 调味品, 食品, "
223,600489.SH,600489,中金黄金,黄金,8.25,3019.9,"MSCI, 央企改革, 有色金属, 债转股-AMC, 有色-铜, 人民币贬值受益, 黄金, "
224,600231.SH,600231,凌钢股份,普钢,3.48,3017.52,"钢铁, 振兴东北, 铁矿石, "
225,002789.SZ,002789,建艺集团,装修装饰,18.81,3010.56,"装修装饰, "
226,002103.SZ,002103,广博股份,文教休闲,5.26,3008.66,"回购, 互联网金融, 区块链, 独角兽, 创投, "
227,603060.SH,603060,国检集团,建筑施工,27.22,3007.74,"央企改革, 雄安新区, 雄安-工程基建, "
228,601018.SH,601018,宁波港,港口,5.42,3006.19,"一带一路, 港口, 浙江国企改革, 环杭州湾大湾区, "
