,ts_code,symbol,name,industry,COL_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
22,603876.SH,603876,鼎胜新材,铝,49.538461538461554,84.3,"博时基金-人民人寿-传统普保组合-博时基金-中国人民人寿保险股份有限公司A股混合类组合单一资产管理计划
中国建设银行股份有限公司-国泰国证有色金属行业指数分级证券投资基金
江苏沿海产业投资基金(有限合伙)
香港中央结算有限公司(陆股通)
中国工商银行-南方绩优成长股票型证券投资基金",5.0
23,002464.SZ,002464,*ST众应,互联网,46.75324675324675,11.79,上海方圆达创投资合伙企业(有限合伙)-方圆-东方9号私募投资基金,1.0
24,688316.SH,688316,青云科技-U,软件服务,46.66299963329665,8.67,,0.0
25,603511.SH,603511,爱慕股份,服饰,46.41085014885875,17.71,,0.0
26,688078.SH,688078,龙软科技,软件服务,46.199829205807006,11.68,九坤投资(北京)有限公司-九坤私享23号私募证券投资基金,1.0
27,300604.SZ,300604,长川科技,专用机械,45.39627039627039,108.4,"中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
国家集成电路产业投资基金股份有限公司
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金",5.0
28,002256.SZ,002256,*ST兆新,新型电力,45.238095238095234,42.43,"中融国际信托有限公司
上海隆升资产管理有限公司
深圳市汇通正源股权投资基金合伙企业(有限合伙)",3.0
29,300582.SZ,300582,英飞特,半导体,45.14285714285715,41.49,,0.0
30,300464.SZ,300464,星徽股份,机械基件,44.758961471192535,49.51,"中信证券-建设银行-中信证券臻选价值成长混合型集合资产管理计划
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",2.0
31,300035.SZ,300035,中科电气,电气设备,44.333843797856055,99.53,"中国农业银行股份有限公司-国泰智能汽车股票型证券投资基金
广州农村商业银行股份有限公司-金鹰信息产业股票型证券投资基金",2.0
32,688051.SH,688051,佳华科技,软件服务,44.19651228201764,17.07,"上海久铭投资管理有限公司-久铭专享10号私募证券投资基金
中国建设银行股份有限公司-华夏盛世精选混合型证券投资基金",2.0
33,603650.SH,603650,彤程新材,化工原料,43.73385012919897,58.48,"朱雀基金-西部信托·陕煤-朱雀新材料产业投资单一资金信托-陕煤朱雀新材料产业资产管理计划
华润深国投信托有限公司-朱雀合伙专项证券投资集合资金信托计划
香港中央结算有限公司(陆股通)
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",4.0
34,600423.SH,600423,柳化股份,农药化肥,43.269230769230745,35.7,,0.0
35,002407.SZ,002407,多氟多,化工原料,42.834073475979025,208.11,"中证500交易型开放式指数证券投资基金
汇丰晋信沪港深股票型证券投资基金
北京中证焦桐投资基金(有限合伙)
香港中央结算有限公司(陆股通)
红土创新基金-银河证券-深圳市创新投资集团有限公司",5.0
36,002900.SZ,002900,哈三联,化学制药,40.60283687943262,54.18,"中瑞国信资产管理有限公司
中合供销一期(上海)股权投资基金合伙企业(有限合伙)",2.0
37,688630.SH,688630,芯碁微装,专用机械,40.500390930414376,17.65,,0.0
38,300023.SZ,300023,*ST宝德,专用机械,39.88919667590027,26.08,北京鑫融汇智投资管理有限公司-鑫融汇智潜渊6号私募证券投资基金,1.0
39,605305.SH,605305,中际联合,专用机械,39.56888007928643,15.49,,0.0
40,300537.SZ,300537,广信材料,染料涂料,39.35075217735551,22.07,,0.0
41,300220.SZ,300220,金运激光,元器件,39.1651865008881,23.57,,0.0
42,002386.SZ,002386,天原股份,化工原料,39.0685640362225,83.91,"中国建设银行股份有限公司-万家科创主题3年封闭运作灵活配置混合型证券投资基金
中国东方资产管理股份有限公司
中国工商银行股份有限公司-万家科创板2年定期开放混合型证券投资基金
中央汇金资产管理有限责任公司",4.0
43,688108.SH,688108,赛诺医疗,医疗保健,38.00229621125142,34.54,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
九坤投资(北京)有限公司-九坤私享33号私募证券投资基金",2.0
44,002640.SZ,002640,*ST跨境,互联网,37.77777777777778,31.04,"上海中平国瑀资产管理有限公司-上海中平国璟并购股权投资基金合伙企业(有限合伙)
广州开发区新兴产业投资基金管理有限公司
珠海横琴安赐文化互联叁号股权投资基金企业(有限合伙)
香港中央结算有限公司(陆股通)",4.0
45,002617.SZ,002617,露笑科技,电气设备,37.717121588089306,133.03,中央汇金资产管理有限责任公司,1.0
46,002536.SZ,002536,飞龙股份,汽车配件,37.61755485893416,41.36,北京厚毅资本管理有限公司-厚毅辰酉二号私募证券投资基金,1.0
47,688329.SH,688329,艾隆科技,专用机械,37.43511450381678,7.07,,0.0
48,002091.SZ,002091,江苏国泰,商贸代理,37.378870243441284,140.79,上海绿联君和产业并购股权投资基金合伙企业(有限合伙),1.0
49,300077.SZ,300077,国民技术,半导体,36.968085106382986,56.14,上海广文投资管理有限公司-广文价值发现1期证券投资基金,1.0
50,600306.SH,600306,*ST商城,百货,36.55172413793104,14.06,,0.0
51,300096.SZ,300096,易联众,软件服务,36.445444319460066,45.67,西藏五维资产管理有限公司,1.0
52,300279.SZ,300279,和晶科技,元器件,36.20689655172416,31.25,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上银基金-浦发银行-上银基金和晶科技1号资产管理计划
上海春山新棠投资管理有限公司-春山新棠事件驱动型私募投资基金",3.0
53,002931.SZ,002931,锋龙股份,汽车配件,36.06770833333333,26.66,桐庐浙富桐君股权投资基金合伙企业(有限合伙),1.0
54,300530.SZ,300530,*ST达志,化工原料,36.057692307692314,27.41,"深圳市前海小龙资产管理有限公司-小龙趋势1号私募证券投资基金
深圳市君如资产管理顾问有限公司-君如木兰1号私募证券投资基金",2.0
55,600663.SH,600663,陆家嘴,园区开发,35.75418994413408,427.7,"中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
上海国际集团资产管理有限公司
中央汇金资产管理有限责任公司",3.0
56,300432.SZ,300432,富临精工,汽车配件,35.73487031700289,102.2,"上海迎水投资管理有限公司-迎水飞龙12号私募证券投资基金
金鹰基金-金算盘喜悦1号私募证券投资基金-金鹰优选8号单一资产管理计划",2.0
57,605337.SH,605337,李子园,乳制品,35.59497288100544,31.26,,0.0
58,002346.SZ,002346,柘中股份,电气设备,35.546875,54.78,,0.0
59,600963.SH,600963,岳阳林纸,造纸,35.181333865132046,171.3,"宁波宁聚资产管理中心(有限合伙)-宁聚量化多策略证券投资基金
宁波宁聚资产管理中心(有限合伙)-宁聚多策略3号私募证券投资基金",2.0
60,300671.SZ,300671,富满电子,半导体,34.790938349982014,137.42,"中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金
中国工商银行股份有限公司-富国创新科技混合型证券投资基金
广东伍文资产管理有限公司-伍文稳盈3号私募证券投资基金
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合",4.0
61,603026.SH,603026,石大胜华,化工原料,34.42431326709527,233.08,"中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国工商银行股份有限公司-中欧创新成长灵活配置混合型证券投资基金
中国邮政储蓄银行有限责任公司-中欧中小盘股票型证券投资基金(LOF)
全国社保基金一一三组合
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",5.0
62,000906.SZ,000906,浙商中拓,批发业,34.0217391304348,81.56,"汇添富基金-国新投资有限公司-汇添富基金-国新2号单一资产管理计划
中国工商银行股份有限公司-汇添富科创板2年定期开放混合型证券投资基金
长安基金-中信银行-长安-中信银行权益策略1期4号资产管理计划",3.0
63,002411.SZ,002411,延安必康,化学制药,33.62068965517242,95.0,,0.0
64,603787.SH,603787,新日股份,摩托车,33.38966979301263,55.39,"中国农业银行股份有限公司-长盛国企改革主题灵活配置混合型证券投资基金
中国光大银行股份有限公司-长信企业精选两年定期开放灵活配置混合型证券投资基金
中国农业银行股份有限公司-长盛动态精选证券投资基金
中国工商银行股份有限公司-中欧品质消费股票型发起式证券投资基金
中国工商银行股份有限公司-中欧消费主题股票型证券投资基金",5.0
65,003020.SZ,003020,立方制药,化学制药,33.19805194805194,15.2,,0.0
66,603630.SH,603630,拉芳家化,日用化工,33.155792276964036,67.33,"招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
中国农业银行股份有限公司-工银瑞信消费行业股票型证券投资基金
中国建设银行股份有限公司-南方瑞合三年定期开放混合型发起式证券投资基金(LOF)",3.0
67,300438.SZ,300438,鹏辉能源,电气设备,32.61463322374824,75.19,"中国工商银行股份有限公司-嘉实智能汽车股票型证券投资基金
盈科创新资产管理有限公司",2.0
68,600738.SH,600738,丽尚国潮,百货,32.521489971346696,71.48,"卿云投资管理有限公司-卿云5期私募投资基金
香港中央结算有限公司(陆股通)",2.0
69,600518.SH,600518,*ST康美,中成药,32.52032520325203,143.73,"五矿国际信托有限公司-五矿信托-优质精选上市公司投资单一资金信托
大成基金-农业银行-大成中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划",3.0
70,300655.SZ,300655,晶瑞股份,化工原料,32.49516441005802,78.21,"交通银行股份有限公司-诺安和鑫保本混合型证券投资基金
上海聚源聚芯集成电路产业股权投资基金中心(有限合伙)
中国工商银行股份有限公司-诺安成长混合型证券投资基金
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金",4.0
71,002667.SZ,002667,鞍重股份,工程机械,32.47078464106843,36.66,"陕西省国际信托股份有限公司-陕国投·易泓30号证券投资集合资金信托计划
中国对外经济贸易信托有限公司-外贸信托-汇沣8号结构化证券投资集合资金信托计划",2.0
72,002940.SZ,002940,昂利康,化学制药,32.21409574468086,19.82,"中国民生银行股份有限公司-长信增利动态策略混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
中国光大银行股份有限公司-长信企业精选两年定期开放灵活配置混合型证券投资基金
中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金
广发证券股份有限公司-长信睿进灵活配置混合型证券投资基金",5.0
73,600702.SH,600702,舍得酒业,白酒,31.83098591549296,775.75,"云南卓晔投资管理有限公司-卓晔1号基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
香港中央结算有限公司(陆股通)",3.0
74,600381.SH,600381,青海春天,医疗保健,31.82481751824817,53.01,,0.0
75,300698.SZ,300698,万马科技,通信设备,31.550802139037447,23.39,,0.0
76,002622.SZ,002622,融钰集团,综合类,31.31749460043196,51.07,"创隆资产管理有限公司
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣78号证券投资集合资金信托计划",2.0
77,000663.SZ,000663,*ST永林,林业,31.277533039647576,25.05,,0.0
78,300615.SZ,300615,欣天科技,元器件,31.257812965057454,12.61,"中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
广东盈瀚投资有限公司-盈瀚-金纵价值精选3号私募证券投资基金",3.0
79,603168.SH,603168,莎普爱思,化学制药,31.08747044917257,35.78,,0.0
80,688589.SH,688589,力合微,半导体,30.965593784683666,9.08,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
九坤投资(北京)有限公司-九坤私享33号私募证券投资基金",2.0
81,600365.SH,600365,ST通葡,红黄酒,30.716723549488044,15.32,,0.0
82,300831.SZ,300831,派瑞股份,元器件,30.580137659783666,24.5,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
83,688355.SH,688355,明志科技,机械基件,30.398322851153047,7.78,,0.0
84,300223.SZ,300223,北京君正,半导体,30.29291991246106,286.96,"中央汇金资产管理有限责任公司
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金
中国工商银行股份有限公司-万家自主创新混合型证券投资基金
中国工商银行股份有限公司-诺安成长混合型证券投资基金",5.0
85,600257.SH,600257,大湖股份,渔业,29.98500749625188,41.72,,0.0
86,688359.SH,688359,三孚新科,化工原料,29.948085658663203,8.37,,0.0
87,002709.SZ,002709,天赐材料,化工原料,29.605088788762266,632.24,"中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
全国社保基金一零八组合",5.0
88,002646.SZ,002646,青青稞酒,白酒,29.57674655787863,114.33,"华夏基金-农业银行-华夏中证金融资产管理计划
中央汇金资产管理有限责任公司
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
嘉实基金-农业银行-嘉实中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划",8.0
89,605369.SH,605369,拱东医疗,医疗保健,29.520958083832348,30.28,"广州天盈资产管理有限公司-天盈能胜一号私募证券投资基金
深圳德威资本投资管理有限公司-德威资本劲松1号私募基金",2.0
90,002547.SZ,002547,春兴精工,通信设备,29.47976878612719,34.59,"中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",2.0
91,688559.SH,688559,海目星,专用机械,29.45838837516512,13.96,"招商银行股份有限公司-景顺长城成长领航混合型证券投资基金
中国工商银行股份有限公司-兴全可转债混合型证券投资基金
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金",3.0
92,300207.SZ,300207,欣旺达,元器件,29.242693603695425,488.83,"招商银行股份有限公司-兴全合泰混合型证券投资基金
招商银行股份有限公司-兴全轻资产投资混合型证券投资基金(LOF)
陕西省国际信托股份有限公司-陕国投·欣旺达第2期员工持股集合资金信托计划
香港中央结算有限公司(陆股通)
北信瑞丰基金-招商银行-北信瑞丰基金丰悦45号资产管理计划
广发基金管理有限公司-社保基金四二零组合",6.0
93,600771.SH,600771,广誉远,中成药,29.188345473465137,122.16,"国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
华能贵诚信托有限公司-华能信托·悦晟3号单一资金信托
全国社保基金一零二组合
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",4.0
94,300221.SZ,300221,银禧科技,塑料,28.947368421052634,34.38,,0.0
95,600354.SH,600354,敦煌种业,种植业,28.8793103448276,31.56,,0.0
96,002957.SZ,002957,科瑞技术,专用机械,28.870523415977978,35.99,"深圳市中航永邦并购基金企业(有限合伙)
中投长春创业投资基金管理有限公司-深圳市中投金瑞新兴产业股权投资合伙企业(有限合伙)
宁波梅山保税港区三维同创股权投资基金合伙企业(有限合伙)",3.0
97,603995.SH,603995,甬金股份,特种钢,28.801071667782985,39.74,"中国银行股份有限公司-华宝先进成长混合型证券投资基金
中国光大银行股份有限公司-国投瑞银创新动力混合型证券投资基金
中国建设银行股份有限公司-交银施罗德主题优选灵活配置混合型证券投资基金
华泰证券股份有限公司-中庚价值领航混合型证券投资基金
中国建设银行股份有限公司-华宝研究精选混合型证券投资基金
广发证券股份有限公司-中庚小盘价值股票型证券投资基金
广发基金-北京诚通金控投资有限公司-广发基金-诚通金控2号单一资产管理计划
光大永明资管-兴业银行-光大永明资产聚财121号定向资产管理产品",8.0
98,002616.SZ,002616,长青集团,环境保护,28.780487804878028,37.24,"招商银行股份有限公司-景顺长城品质成长混合型证券投资基金
中国银行-景顺长城动力平衡证券投资基金
广发基金管理有限公司-社保基金四二零组合
香港中央结算有限公司(陆股通)",4.0
99,000818.SZ,000818,航锦科技,化工原料,28.52443609022557,185.22,"全国社保基金六零四组合
香港中央结算有限公司(陆股通)",2.0
