,ts_code,name,industry,continuously_up,average_p_change,average_turnover_rate
555,002093.SZ,国脉科技,电信运营,3.0,4.875,2.498
1829,300447.SZ,全信股份,电气设备,3.0,4.838,3.902
2092,300719.SZ,安达维尔,航空,3.0,4.79,10.115
3440,603709.SH,中源家居,家居用品,4.0,4.784,14.286
619,002157.SZ,正邦科技,饲料,3.0,4.768,1.444
3415,603665.SH,康隆达,纺织,3.0,4.725,1.753
3234,603196.SH,日播时尚,服饰,3.0,4.694,30.784
1935,300555.SZ,路通视信,通信设备,3.0,4.658,8.451
345,000836.SZ,富通鑫茂,通信设备,3.0,4.631,1.981
1027,002567.SZ,唐人神,饲料,3.0,4.609,1.094
1245,002792.SZ,通宇通讯,通信设备,3.0,4.591,8.32
3152,603033.SH,三维股份,橡胶,3.0,4.582,2.087
184,000608.SZ,阳光股份,区域地产,3.0,4.463,0.304
3287,603326.SH,我乐家居,家居用品,3.0,4.436,5.095
2026,300651.SZ,金陵体育,文教休闲,3.0,4.329,3.08
3253,603238.SH,诺邦股份,纺织,4.0,4.28,6.72
931,002470.SZ,金正大,农药化肥,3.0,4.278,0.291
2535,600506.SH,香梨股份,种植业,3.0,4.269,1.935
197,000625.SZ,长安汽车,汽车整车,4.0,4.255,0.987
1424,300038.SZ,数知科技,通信设备,3.0,4.254,2.752
3083,601869.SH,长飞光纤,通信设备,3.0,4.252,10.971
1698,300314.SZ,戴维医疗,医疗保健,3.0,4.206,1.234
1337,002891.SZ,中宠股份,饲料,3.0,4.159,0.962
2886,600895.SH,张江高科,园区开发,4.0,4.142,3.526
641,002179.SZ,中航光电,元器件,3.0,4.119,0.615
2097,300724.SZ,捷佳伟创,专用机械,4.0,4.107,4.924
1298,002850.SZ,科达利,机械基件,3.0,4.07,2.317
3385,603606.SH,东方电缆,电气设备,3.0,4.048,1.179
1775,300393.SZ,中来股份,塑料,3.0,4.01,2.458
577,002115.SZ,三维通信,通信设备,4.0,3.985,10.08
991,002531.SZ,天顺风能,电气设备,3.0,3.965,0.692
874,002413.SZ,雷科防务,通信设备,3.0,3.94,2.395
1693,300309.SZ,吉艾科技,多元金融,3.0,3.928,0.707
2933,600996.SH,贵广网络,影视音像,3.0,3.92,3.772
1773,300391.SZ,康跃科技,机械基件,3.0,3.864,4.753
2249,600150.SH,*ST船舶,船舶,3.0,3.863,0.476
3345,603516.SH,淳中科技,通信设备,4.0,3.862,12.238
3278,603313.SH,梦百合,家居用品,3.0,3.85,1.425
966,002505.SZ,大康农业,农业综合,4.0,3.831,0.511
2623,600605.SH,汇通能源,商贸代理,3.0,3.809,3.669
439,000975.SZ,银泰资源,铅锌,6.0,3.807,1.383
1972,300595.SZ,欧普康视,医疗保健,3.0,3.777,1.264
2551,600523.SH,贵航股份,汽车配件,4.0,3.754,2.46
2304,600212.SH,江泉实业,综合类,4.0,3.729,4.026
1802,300420.SZ,五洋停车,机械基件,6.0,3.727,1.661
773,002312.SZ,三泰控股,电脑设备,3.0,3.693,1.672
2062,300687.SZ,赛意信息,软件服务,3.0,3.657,9.666
589,002127.SZ,南极电商,互联网,3.0,3.651,0.86
897,002436.SZ,兴森科技,元器件,3.0,3.649,1.572
3401,603636.SH,南威软件,软件服务,4.0,3.635,2.055
1172,002714.SZ,牧原股份,农业综合,3.0,3.626,0.887
2839,600845.SH,宝信软件,软件服务,3.0,3.603,1.142
1632,300248.SZ,新开普,软件服务,3.0,3.583,2.252
1706,300322.SZ,硕贝德,通信设备,5.0,3.556,4.576
431,000966.SZ,长源电力,火力发电,6.0,3.54,1.55
1765,300383.SZ,光环新网,电信运营,3.0,3.537,1.2
1595,300211.SZ,亿通科技,通信设备,3.0,3.492,3.429
1467,300082.SZ,奥克股份,化工原料,3.0,3.481,0.643
1752,300369.SZ,绿盟科技,软件服务,3.0,3.463,0.759
448,000987.SZ,越秀金控,多元金融,3.0,3.399,1.693
2254,600156.SH,华升股份,纺织,3.0,3.334,1.672
3157,603039.SH,泛微网络,软件服务,3.0,3.329,0.932
2244,600143.SH,金发科技,塑料,3.0,3.313,0.578
1031,002571.SZ,德力股份,玻璃,4.0,3.312,4.73
124,000531.SZ,穗恒运A,火力发电,3.0,3.292,0.739
1510,300125.SZ,易世达,电气设备,3.0,3.285,2.479
2514,600481.SH,双良节能,环境保护,3.0,3.27,0.402
3244,603222.SH,济民制药,化学制药,3.0,3.229,0.642
3114,601989.SH,中国重工,船舶,3.0,3.206,0.48
617,002155.SZ,湖南黄金,黄金,3.0,3.193,2.759
1836,300454.SZ,深信服,软件服务,3.0,3.191,3.165
1345,002900.SZ,哈三联,化学制药,3.0,3.189,2.454
3442,603712.SH,七一二,通信设备,3.0,3.17,13.695
232,000678.SZ,襄阳轴承,机械基件,3.0,3.136,1.005
2855,600863.SH,内蒙华电,火力发电,3.0,3.135,0.249
3534,603909.SH,合诚股份,建筑施工,6.0,3.122,7.136
395,000917.SZ,电广传媒,影视音像,3.0,3.12,6.052
1985,300608.SZ,思特奇,软件服务,3.0,3.092,2.407
1748,300365.SZ,恒华科技,软件服务,3.0,3.077,0.86
1430,300044.SZ,赛为智能,软件服务,3.0,3.062,4.032
2142,600021.SH,上海电力,火力发电,3.0,3.043,0.855
3016,601333.SH,广深铁路,铁路,3.0,3.037,0.544
1436,300050.SZ,世纪鼎利,软件服务,3.0,3.015,7.649
3161,603043.SH,广州酒家,食品,3.0,3.015,1.38
779,002318.SZ,久立特材,特种钢,3.0,3.007,0.998
1219,002765.SZ,蓝黛传动,汽车配件,3.0,2.998,0.965
760,002299.SZ,圣农发展,农业综合,3.0,2.998,1.004
2659,600647.SH,同达创业,综合类,4.0,2.99,0.708
1943,300563.SZ,神宇股份,通信设备,3.0,2.967,8.355
2292,600198.SH,*ST大唐,通信设备,3.0,2.957,1.35
3185,603096.SH,新经典,出版业,6.0,2.949,0.796
636,002174.SZ,游族网络,互联网,3.0,2.934,1.146
3315,603380.SH,易德龙,元器件,3.0,2.89,3.272
1967,300589.SZ,江龙船艇,船舶,3.0,2.888,12.805
2066,300691.SZ,联合光电,元器件,3.0,2.858,1.105
2051,300676.SZ,华大基因,医疗保健,3.0,2.834,1.686
2359,600277.SH,亿利洁能,综合类,6.0,2.813,0.614
3332,603466.SH,风语筑,文教休闲,3.0,2.782,6.635
3308,603365.SH,水星家纺,纺织,3.0,2.721,9.007
2968,601107.SH,四川成渝,路桥,3.0,2.69,0.253
2072,300697.SZ,电工合金,铜,3.0,2.689,10.479
1937,300557.SZ,理工光科,电器仪表,3.0,2.672,1.422
2037,300662.SZ,科锐国际,综合类,3.0,2.669,1.298
685,002223.SZ,鱼跃医疗,医疗保健,3.0,2.636,0.563
2516,600483.SH,福能股份,火力发电,3.0,2.631,0.266
1880,300498.SZ,温氏股份,农业综合,3.0,2.575,0.537
2632,600615.SH,丰华股份,小金属,4.0,2.572,0.662
1504,300119.SZ,瑞普生物,生物制药,3.0,2.57,0.955
2574,600551.SH,时代出版,出版业,3.0,2.55,0.523
792,002331.SZ,皖通科技,软件服务,3.0,2.538,0.798
954,002493.SZ,荣盛石化,化纤,3.0,2.532,0.099
2001,300625.SZ,三雄极光,半导体,3.0,2.529,1.565
1309,002862.SZ,实丰文化,文教休闲,4.0,2.527,16.67
568,002106.SZ,莱宝高科,元器件,3.0,2.502,2.06
2417,600345.SH,长江通信,通信设备,11.0,2.491,4.139
1633,300249.SZ,依米康,软件服务,4.0,2.445,4.64
536,002074.SZ,国轩高科,电气设备,3.0,2.433,0.888
1648,300264.SZ,佳创视讯,通信设备,3.0,2.41,1.153
774,002313.SZ,日海智能,通信设备,10.0,2.397,1.719
2526,600496.SH,精工钢构,钢加工,3.0,2.391,0.667
39,000049.SZ,德赛电池,电气设备,3.0,2.379,1.48
676,002214.SZ,大立科技,电器仪表,3.0,2.369,2.502
2356,600273.SH,嘉化能源,化工原料,3.0,2.352,1.177
2004,300628.SZ,亿联网络,通信设备,6.0,2.339,1.381
616,002154.SZ,报喜鸟,服饰,3.0,2.326,0.316
3251,603232.SH,格尔软件,软件服务,3.0,2.322,1.307
3360,603559.SH,中通国脉,通信设备,5.0,2.313,11.942
1837,300455.SZ,康拓红外,运输设备,3.0,2.275,0.724
3046,601608.SH,中信重工,专用机械,3.0,2.269,0.273
2071,300696.SZ,爱乐达,航空,3.0,2.257,3.217
1302,002855.SZ,捷荣技术,塑料,3.0,2.245,2.159
476,002014.SZ,永新股份,塑料,7.0,2.228,0.42
2742,600737.SH,中粮糖业,食品,3.0,2.223,0.34
1936,300556.SZ,丝路视觉,软件服务,3.0,2.19,4.205
1672,300288.SZ,朗玛信息,软件服务,3.0,2.175,2.552
2278,600183.SH,生益科技,元器件,3.0,2.17,0.776
2371,600290.SH,华仪电气,电气设备,3.0,2.157,10.947
1324,002878.SZ,元隆雅图,文教休闲,3.0,2.138,2.815
2145,600025.SH,华能水电,水力发电,6.0,2.13,0.383
134,000543.SZ,皖能电力,火力发电,3.0,2.128,0.557
1233,002779.SZ,中坚科技,农用机械,3.0,2.099,0.408
3203,603127.SH,昭衍新药,医疗保健,3.0,2.069,1.03
1267,002817.SZ,黄山胶囊,化学制药,3.0,2.061,2.113
2615,600597.SH,光明乳业,乳制品,3.0,2.035,0.34
3126,603005.SH,晶方科技,半导体,3.0,2.016,2.248
2034,300659.SZ,中孚信息,软件服务,3.0,2.013,3.489
1616,300232.SZ,洲明科技,半导体,3.0,2.007,0.995
363,000876.SZ,新希望,饲料,3.0,2.001,0.471
3351,603528.SH,多伦科技,软件服务,3.0,1.993,2.547
3133,603012.SH,创力集团,专用机械,3.0,1.987,0.48
1017,002557.SZ,洽洽食品,食品,3.0,1.953,0.822
1910,300529.SZ,健帆生物,医疗保健,3.0,1.952,1.006
780,002319.SZ,乐通股份,染料涂料,3.0,1.947,0.504
1987,300610.SZ,晨化股份,化工原料,3.0,1.902,5.745
400,000922.SZ,佳电股份,电气设备,3.0,1.902,0.854
2767,600764.SH,中国海防,通信设备,3.0,1.862,0.465
1785,300403.SZ,汉宇集团,家用电器,3.0,1.825,0.448
649,002187.SZ,广百股份,百货,3.0,1.817,0.436
553,002091.SZ,江苏国泰,商贸代理,3.0,1.816,1.192
3384,603605.SH,珀莱雅,日用化工,3.0,1.812,1.545
6,000008.SZ,神州高铁,运输设备,3.0,1.796,0.983
604,002142.SZ,宁波银行,银行,3.0,1.786,0.225
724,002263.SZ,*ST东南,塑料,4.0,1.759,0.893
714,002252.SZ,上海莱士,生物制药,3.0,1.756,2.318
3102,601933.SH,永辉超市,超市连锁,4.0,1.752,0.415
252,000703.SZ,恒逸石化,化纤,3.0,1.734,0.53
1933,300553.SZ,集智股份,电器仪表,3.0,1.722,1.724
2824,600827.SH,百联股份,超市连锁,4.0,1.72,0.212
1897,300515.SZ,三德科技,电器仪表,3.0,1.706,2.838
947,002486.SZ,嘉麟杰,服饰,3.0,1.672,2.369
2056,300681.SZ,英搏尔,元器件,3.0,1.665,5.242
1178,002721.SZ,金一文化,服饰,3.0,1.663,3.514
1883,300501.SZ,海顺新材,广告包装,3.0,1.621,1.189
129,000537.SZ,广宇发展,区域地产,3.0,1.618,1.424
388,000908.SZ,景峰医药,化学制药,3.0,1.567,0.632
2303,600211.SH,西藏药业,中成药,3.0,1.565,0.526
2982,601158.SH,重庆水务,水务,3.0,1.561,0.063
1427,300041.SZ,回天新材,化工原料,3.0,1.545,1.567
465,002003.SZ,伟星股份,服饰,3.0,1.529,0.352
1920,300539.SZ,横河模具,塑料,3.0,1.513,7.637
255,000708.SZ,大冶特钢,特种钢,3.0,1.509,0.871
1844,300462.SZ,华铭智能,专用机械,3.0,1.481,13.153
2795,600795.SH,国电电力,火力发电,3.0,1.465,0.164
2326,600236.SH,桂冠电力,水力发电,6.0,1.449,0.083
1771,300389.SZ,艾比森,半导体,3.0,1.449,0.514
2890,600900.SH,长江电力,水力发电,5.0,1.448,0.125
1652,300268.SZ,佳沃股份,农业综合,3.0,1.43,1.377
3190,603103.SH,横店影视,影视音像,3.0,1.424,4.767
569,002107.SZ,沃华医药,中成药,3.0,1.395,0.228
1132,002672.SZ,东江环保,环境保护,3.0,1.385,0.359
28,000035.SZ,中国天楹,环境保护,4.0,1.375,0.657
2396,600319.SH,亚星化学,化工原料,3.0,1.365,4.116
2256,600158.SH,中体产业,文教休闲,3.0,1.353,2.73
831,002370.SZ,亚太药业,化学制药,3.0,1.302,1.685
2571,600548.SH,深高速,路桥,10.0,1.302,0.261
3533,603908.SH,牧高笛,纺织,3.0,1.277,2.094
1868,300486.SZ,东杰智能,专用机械,4.0,1.263,1.127
1850,300468.SZ,四方精创,软件服务,3.0,1.259,1.298
914,002453.SZ,华软科技,化工原料,3.0,1.253,0.886
1879,300497.SZ,富祥股份,化学制药,4.0,1.253,0.413
384,000902.SZ,新洋丰,农药化肥,3.0,1.242,0.306
1664,300280.SZ,紫天科技,专用机械,3.0,1.234,0.583
1566,300181.SZ,佐力药业,中成药,3.0,1.175,4.791
3316,603383.SH,顶点软件,软件服务,3.0,1.16,2.37
3194,603110.SH,东方材料,染料涂料,3.0,1.153,2.182
1306,002859.SZ,洁美科技,元器件,3.0,1.152,1.504
1969,300591.SZ,万里马,服饰,3.0,1.146,1.928
2484,600429.SH,三元股份,乳制品,4.0,1.124,0.17
2350,600266.SH,北京城建,区域地产,3.0,1.105,0.33
1611,300227.SZ,光韵达,元器件,3.0,1.089,1.197
651,002189.SZ,利达光电,元器件,3.0,1.045,1.979
2015,300639.SZ,凯普生物,医疗保健,3.0,1.031,1.032
3325,603399.SH,吉翔股份,小金属,3.0,0.973,0.7
3255,603258.SH,电魂网络,互联网,3.0,0.973,1.512
634,002172.SZ,澳洋健康,化纤,3.0,0.947,0.308
3516,603882.SH,金域医学,医疗保健,3.0,0.943,0.346
819,002358.SZ,森源电气,电气设备,3.0,0.934,0.565
3388,603609.SH,禾丰牧业,饲料,3.0,0.923,0.329
3155,603037.SH,凯众股份,汽车配件,4.0,0.889,1.038
1270,002820.SZ,桂发祥,食品,3.0,0.871,0.851
1906,300525.SZ,博思软件,软件服务,3.0,0.855,0.948
614,002152.SZ,广电运通,电脑设备,3.0,0.836,0.417
1684,300300.SZ,汉鼎宇佑,软件服务,3.0,0.802,1.164
1038,002578.SZ,闽发铝业,铝,4.0,0.757,0.533
1438,300052.SZ,中青宝,互联网,3.0,0.752,4.016
582,002120.SZ,韵达股份,仓储物流,3.0,0.697,0.419
2688,600681.SH,百川能源,供气供热,3.0,0.689,0.804
1213,002758.SZ,华通医药,医药商业,3.0,0.661,0.462
2338,600250.SH,南纺股份,商贸代理,3.0,0.639,2.592
1961,300583.SZ,赛托生物,生物制药,3.0,0.622,1.269
2454,600388.SH,龙净环保,环境保护,3.0,0.494,0.564
1554,300169.SZ,天晟新材,塑料,3.0,0.485,1.018
2755,600750.SH,江中药业,中成药,3.0,0.455,0.454
3189,603101.SH,汇嘉时代,百货,3.0,0.408,3.082
2704,600697.SH,欧亚集团,百货,3.0,0.402,0.316
2347,600261.SH,阳光照明,家用电器,3.0,0.394,0.476
3566,603987.SH,康德莱,医疗保健,3.0,0.354,1.415
3027,601398.SH,工商银行,银行,3.0,0.326,0.04
2908,600965.SH,福成股份,农业综合,3.0,0.3,0.086
1666,300282.SZ,三盛教育,文教休闲,3.0,0.291,0.946
1018,002558.SZ,巨人网络,互联网,3.0,0.277,0.746
829,002368.SZ,太极股份,软件服务,3.0,0.272,2.007
2751,600746.SH,江苏索普,化工原料,3.0,0.26,2.453
3009,601288.SH,农业银行,银行,3.0,0.205,0.069
2198,600091.SH,ST明科,化工原料,3.0,0.184,0.262
1628,300244.SZ,迪安诊断,医疗保健,3.0,0.093,0.895
1107,002647.SZ,仁东控股,多元金融,3.0,-0.032,0.2
101,000502.SZ,绿景控股,医疗保健,3.0,-0.086,0.695
2690,600683.SH,京投发展,区域地产,3.0,-0.108,0.517
1059,002599.SZ,盛通股份,广告包装,4.0,-0.122,0.368
850,002389.SZ,航天彩虹,元器件,3.0,-0.186,0.916
520,002058.SZ,威尔泰,电器仪表,3.0,-0.624,3.021
