,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
1883,300502.SZ,新易盛,通信设备,5.0,2.068,10.682,-5.376,1.2699999999999996,251052.172
2349,600268.SH,国电南自,电气设备,2.0,5.281,10.61,-0.528,0.16999999999999993,264897.763
1845,300464.SZ,星徽精密,机械基件,4.0,2.568,10.554,-8.675,0.47000000000000064,76921.3239
1141,002680.SZ,*ST长生,生物制药,2.0,5.054,10.364,10.185,0.44999999999999973,159020.5438
395,000917.SZ,电广传媒,影视音像,3.0,3.43,10.143,2.602,0.33999999999999986,899774.7659
2620,600605.SH,汇通能源,商贸代理,4.0,2.431,10.057,-1.575,0.41000000000000014,141892.8421
676,002213.SZ,特尔佳,汽车配件,2.0,4.905,10.032,-3.738,0.5800000000000001,200848.403
1326,002879.SZ,长缆科技,电气设备,2.0,4.633,9.193,-0.239,0.7100000000000009,172907.6052
2581,600563.SH,法拉电子,元器件,8.0,1.112,9.148,-6.1,1.8900000000000006,945000.0
850,002388.SZ,新亚制程,元器件,2.0,4.444,9.056,-2.991,0.15000000000000036,226173.6
706,002243.SZ,通产丽星,塑料,3.0,3.352,8.96,-6.856,3.1799999999999997,497060.4781
3078,601869.SH,长飞光纤,通信设备,5.0,1.755,8.703,-2.58,2.049999999999997,304829.4312
908,002446.SZ,盛路通信,通信设备,3.0,2.918,8.649,3.641,1.0599999999999987,339555.0092
2866,600877.SH,ST嘉陵,摩托车,5.0,1.676,8.539,-3.05,0.23000000000000043,331957.2253
2826,600833.SH,第一医药,医药商业,4.0,1.997,8.201,-1.447,0.2400000000000002,197208.3307
1067,002606.SZ,大连电瓷,电气设备,2.0,3.983,8.108,-11.905,0.7599999999999998,274629.8551
3247,603258.SH,电魂网络,互联网,2.0,3.925,7.946,-2.642,1.0100000000000016,194734.998
3151,603039.SH,泛微网络,软件服务,4.0,1.925,7.868,-3.407,2.260000000000005,280622.3264
2414,600345.SH,长江通信,通信设备,4.0,1.928,7.813,-3.122,0.8999999999999986,437184.0
3385,603618.SH,杭电股份,电气设备,2.0,3.968,7.738,4.132,0.33000000000000007,372975.247
181,000605.SZ,渤海股份,水务,2.0,3.779,7.675,-1.356,0.13000000000000078,256608.2425
209,000638.SZ,万方发展,批发业,2.0,3.9,7.576,-9.434,0.019999999999999574,175739.2
1673,300290.SZ,荣科科技,软件服务,6.0,1.32,7.541,1.667,0.3799999999999999,210403.6708
692,002229.SZ,鸿博股份,广告包装,5.0,1.476,7.504,-1.422,0.4500000000000002,306717.9326
1343,002897.SZ,意华股份,元器件,6.0,1.259,7.478,-4.025,1.1900000000000013,143269.0026
2949,601019.SH,山东出版,出版业,2.0,3.64,7.413,-0.694,0.17999999999999972,327859.2
351,000851.SZ,高鸿股份,软件服务,5.0,1.471,7.312,-2.923,0.29000000000000004,427559.3307
898,002436.SZ,兴森科技,元器件,4.0,1.813,7.294,0.711,0.25,546647.9514
2879,600891.SH,秋林集团,百货,5.0,1.419,7.258,0.324,0.4500000000000002,255396.6089
578,002115.SZ,三维通信,通信设备,5.0,1.461,7.256,-1.041,0.6899999999999995,354007.779
1179,002721.SZ,金一文化,服饰,3.0,2.42,7.119,-2.801,0.27000000000000046,371096.0429
1994,300619.SZ,金银河,专用机械,5.0,1.386,7.071,-3.169,1.2300000000000004,88682.2845
3157,603050.SH,科林电气,电气设备,2.0,3.623,6.97,-4.277,0.3500000000000014,96136.4565
1464,300080.SZ,易成新能,半导体,3.0,2.252,6.88,-3.554,0.1299999999999999,218364.1797
1801,300420.SZ,五洋停车,机械基件,4.0,1.676,6.809,-2.49,0.33999999999999986,184422.0678
1005,002544.SZ,杰赛科技,软件服务,5.0,1.33,6.66,-5.989,0.20000000000000107,565576.7269
3276,603321.SH,梅轮电梯,运输设备,2.0,3.278,6.639,-1.094,0.3700000000000001,89513.1
3506,603882.SH,金域医学,医疗保健,4.0,1.63,6.634,-5.622,0.05999999999999872,615765.8883
3351,603559.SH,中通国脉,通信设备,5.0,1.356,6.612,-3.543,0.9399999999999977,184595.517
3183,603101.SH,汇嘉时代,百货,2.0,3.283,6.598,-1.14,0.6400000000000006,119808.0
1013,002552.SZ,*ST宝鼎,机械基件,2.0,3.25,6.596,0.0,0.20000000000000018,100274.6209
1788,300407.SZ,凯发电气,电气设备,2.0,3.164,6.425,-0.831,0.17999999999999972,126400.0761
1507,300123.SZ,亚光科技,船舶,2.0,3.329,6.325,-1.063,0.1999999999999993,273687.0043
1153,002692.SZ,睿康股份,电气设备,2.0,3.316,6.299,-3.544,0.09999999999999964,289730.4795
1234,002779.SZ,中坚科技,农用机械,5.0,1.229,6.213,-3.533,0.3399999999999981,214368.0
82,000411.SZ,英特集团,医药商业,4.0,1.541,6.198,-5.098,0.1399999999999988,266382.1975
1835,300454.SZ,深信服,软件服务,5.0,1.212,6.121,-6.706,2.0,350287.55
3524,603909.SH,合诚股份,建筑施工,3.0,2.169,6.108,0.57,1.7699999999999996,65575.0
1532,300148.SZ,天舟文化,出版业,2.0,3.235,6.103,-3.401,0.02999999999999936,361956.9037
3193,603118.SH,共进股份,通信设备,5.0,1.207,6.076,-2.404,0.25,501123.7325
1299,002850.SZ,科达利,机械基件,5.0,1.192,6.023,-5.361,0.33000000000000185,165172.8805
3304,603377.SH,东方时尚,汽车服务,2.0,2.958,6.005,-2.81,0.8300000000000001,235748.0125
2178,600073.SH,上海梅林,食品,4.0,1.486,5.994,-0.87,0.3600000000000003,679853.8672
1615,300232.SZ,洲明科技,半导体,5.0,1.176,5.963,-5.32,0.16999999999999993,418258.1874
3393,603637.SH,镇海股份,建筑施工,6.0,0.985,5.912,-3.792,0.049999999999998934,62717.9471
1695,300312.SZ,邦讯技术,通信设备,2.0,3.137,5.898,4.628,0.6699999999999999,145648.35
2132,600012.SH,皖通高速,路桥,2.0,2.902,5.882,-0.355,0.25,692366.4
1872,300491.SZ,通合科技,电气设备,2.0,3.076,5.77,-6.178,0.41000000000000014,79833.0355
1864,300483.SZ,沃施股份,专用机械,5.0,1.117,5.67,-1.581,1.370000000000001,198276.0
3236,603222.SH,济民制药,化学制药,7.0,0.794,5.599,-0.155,0.6799999999999997,434560.0
180,000603.SZ,盛达矿业,铅锌,4.0,1.379,5.544,-3.199,0.3200000000000003,389314.4082
3155,603043.SH,广州酒家,食品,4.0,1.361,5.496,-1.103,0.8599999999999994,332468.6364
956,002494.SZ,华斯股份,服饰,2.0,2.768,5.461,1.384,0.47999999999999954,182322.3835
1328,002881.SZ,美格智能,通信设备,5.0,1.109,5.432,-2.672,0.5700000000000003,81836.895
2802,600807.SH,*ST天业,区域地产,2.0,2.697,5.42,-6.345,0.16999999999999993,306150.1825
763,002301.SZ,齐心集团,文教休闲,3.0,1.766,5.392,-0.244,0.2599999999999998,550790.7909
1727,300344.SZ,太空智造,其他建材,4.0,1.302,5.303,-9.589,0.040000000000000036,142258.365
967,002505.SZ,大康农业,农业综合,8.0,0.661,5.298,-3.205,0.040000000000000036,872174.1798
1471,300087.SZ,荃银高科,种植业,5.0,1.039,5.269,0.415,0.47999999999999865,358676.1174
1021,002560.SZ,通达股份,电气设备,2.0,2.803,5.176,0.625,0.16000000000000014,137457.6753
1338,002891.SZ,中宠股份,饲料,5.0,0.995,5.047,-7.877,0.3999999999999986,176003.0943
1385,002943.SZ,宇晶股份,机床制造,2.0,2.484,5.027,0.165,0.3200000000000003,95575.0
1357,002912.SZ,中新赛克,软件服务,5.0,0.988,5.02,-5.674,0.7099999999999937,415233.66
