,COL_CONCEPT,COL_AVERAGE_EIGEN_SLOPE
321,锦纶（尼龙）,-0.22
322,黑色家电,-0.23
323,玻纤,-0.24
324,水泥,-0.26
325,有色-镁,-0.29
326,太赫兹,-0.32
327,耐火材料,-0.36
328,啤酒,-0.41
329,炭黑,-0.48
330,超级高铁,-0.53
331,有色-钨,-0.54
332,有色-锑,-0.58
333,血制品,-0.6
334,草铵膦,-0.7
335,有机硅,-0.76
336,硅锰,-0.83
337,有色-钛,-0.86
338,磷化工,-1.04
339,厨卫家电,-1.1
340,铁矿石,-1.2
341,芬太尼概念,-1.23
342,环氧丙烷,-1.29
343,橡胶,-1.33
344,印染,-1.42
345,钛白粉,-1.45
346,粘胶短纤,-1.51
347,民航,-1.53
348,有色-镍,-1.58
349,草甘膦,-1.62
350,染料,-1.68
351,醋酸,-1.76
352,密集调研,-1.78
353,制冷剂,-1.94
354,脑科学,-1.95
355,电子发票,-2.1
356,破发次新,-5.45
