,ts_code,symbol,name,industry,COL_MA_5,COL_MA_10,COL_MA_20,COL_LASTPRICE,concept
25,002611.SZ,002611,东方精工,轻工机械,5.74,5.36,5.01,5.36,"北汽新能源, 社保重仓, 宁德时代概念股, 定增破发, 锂电池, 燃料电池, 新能源汽车, 包装印刷, "
26,300266.SZ,300266,兴源环境,环境保护,6.15,6.13,5.87,5.45,"固废处理, 定增破发, 环保, 污水处理, 股权转让, 国资入股, 资产重组, "
27,000637.SZ,000637,茂化实华,石油加工,6.35,6.13,5.73,5.52,"油气改革, 石油化工, 燃料电池, "
28,600470.SH,600470,六国化工,农药化肥,5.62,5.46,5.35,5.54,"安徽国企改革, 煤化工, 化肥, 磷化工, "
29,002211.SZ,002211,宏达新材,橡胶,6.68,6.52,6.33,5.62,"有机硅, 雄安-园林环保, 雄安新区, 股权转让, "
30,002045.SZ,002045,国光电器,元器件,6.31,6.24,6.19,5.63,"定增破发, 家电, 锂电池, 新能源汽车, 智能音箱, 苹果产业链, 黑色家电, "
31,002347.SZ,002347,泰尔股份,机械基件,5.87,5.82,5.76,5.66,"回购, 锂电池, 新能源汽车, 透明工厂, "
32,002600.SZ,002600,领益智造,元器件,6.72,6.28,6.01,5.69,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
33,600794.SH,600794,保税科技,仓储物流,5.75,5.66,4.97,5.72,"军工, 军民融合, 快递物流, "
34,300022.SZ,300022,吉峰科技,农用机械,6.33,5.73,5.24,5.74,"乡村振兴, 农机, "
35,002688.SZ,002688,金河生物,化学制药,6.27,6.06,5.97,5.81,"内蒙古, 业绩预增, 动物保健, "
36,002089.SZ,002089,新海宜,通信设备,6.21,6.08,5.7,5.85,"5G, 光通信, 锂电池, 量子通信, 新能源汽车, LED, 创投, "
37,002560.SZ,002560,通达股份,电气设备,6.54,6.5,6.37,5.9,"特高压, 大飞机, 有色金属, 军工, 军民融合, 有色-钛, "
38,002303.SZ,002303,美盈森,造纸,6.83,6.75,6.54,6.01,"军工, 军民融合, 工业自动化, 智能制造, 包装印刷, "
39,300145.SZ,300145,中金环境,专用机械,6.32,5.72,5.0,6.01,"固废处理, 回购, 环保, 污水处理, 股权转让, 国资入股, "
40,002418.SZ,002418,康盛股份,机械基件,6.34,6.23,5.74,6.05,"新能源整车, 汽车整车, 白色家电, 家电, 燃料电池, 新能源汽车, 石墨烯, 资产重组, "
41,002261.SZ,002261,拓维信息,互联网,6.36,6.32,6.22,6.06,"教育, 华为产业链, 回购, 大数据, 云计算, 人工智能, 彩票, 独角兽, 游戏, 手游, "
42,002564.SZ,002564,天沃科技,化工机械,6.57,6.41,6.3,6.1,"回购, 风电, 军工, 军民融合, 煤化工, 股权转让, 国资入股, "
43,002634.SZ,002634,棒杰股份,服饰,6.51,6.46,6.31,6.13,"回购, 纺织服装, 股权转让, 科创板概念股, "
44,300325.SZ,300325,德威新材,塑料,6.5,6.41,5.82,6.18,"特高压, 供应链金融, 锦纶（尼龙）, 燃料电池, 举牌股, 资产重组, "
45,600758.SH,600758,红阳能源,煤炭开采,6.8,6.74,5.58,6.45,"煤炭, 电改, 风电, 股权转让, "
46,002360.SZ,002360,同德化工,化工原料,6.98,6.7,6.52,6.45,"回购, 民爆, "
47,600696.SH,600696,ST岩石,区域地产,6.69,6.64,6.54,6.5,"ST股, 壳公司, "
48,000713.SZ,000713,丰乐种业,种植业,6.88,6.83,6.55,6.52,"农药, 安徽国企改革, 转基因, 乡村振兴, 业绩预增, 农业种植, "
49,300025.SZ,300025,华星创业,通信设备,6.76,6.72,6.35,6.53,"5G, 华为产业链, 物联网, 云计算, 股权转让, "
50,600217.SH,600217,中再资环,环境保护,6.9,6.89,6.56,6.53,"固废处理, 环保, 资产重组, "
51,300267.SZ,300267,尔康制药,化学制药,7.77,7.74,7.3,6.89,"高质押率, 医药, 化学药, 工业大麻, "
52,600478.SH,600478,科力远,元器件,7.09,6.86,6.47,6.9,"回购, 稀土磁材, 工业自动化, 燃料电池, 智能制造, 资产重组, "
53,002385.SZ,002385,大北农,饲料,7.56,7.1,6.47,7.06,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, "
54,600731.SH,600731,湖南海利,农药化肥,7.32,7.19,6.75,7.09,"农药, 湖南国企改革, "
55,600301.SH,600301,ST南化,化工原料,7.53,7.42,7.29,7.09,"烧碱, 广西, ST股, "
56,600732.SH,600732,ST新梅,区域地产,7.49,7.3,6.9,7.15,"上海国企改革, 资产重组, ST股, 壳公司, "
57,000529.SZ,000529,广弘控股,食品,8.01,7.9,7.38,7.23,"养猪, 宝能系, 粤港澳大湾区, 养鸡, 冷链, "
58,300050.SZ,300050,世纪鼎利,软件服务,7.45,7.42,7.12,7.25,"5G, 阿里巴巴概念股, 教育, 物联网, 定增破发, 大数据, 无人商店, 股权转让, "
59,300341.SZ,300341,麦克奥迪,电气设备,7.45,7.29,6.99,7.28,
60,600667.SH,600667,太极实业,半导体,7.75,7.67,7.65,7.29,"涤纶, 光伏, 半导体, 国产芯片, "
61,000890.SZ,000890,法尔胜,钢加工,7.66,7.49,7.24,7.29,"5G, 供应链金融, 京东金融概念股, 独角兽, "
62,300319.SZ,300319,麦捷科技,元器件,7.77,7.67,7.58,7.3,"5G, 华为产业链, 物联网, 无线充电, 股权转让, VR&AR, 国资入股, "
63,002148.SZ,002148,北纬科技,互联网,7.71,7.68,7.51,7.46,"回购, 物联网, 游戏, 手游, 创投, "
64,000995.SZ,000995,*ST皇台,白酒,7.85,7.61,6.42,7.47,"教育, 白酒, 资产重组, ST股, 壳公司, "
65,002330.SZ,002330,得利斯,食品,8.05,7.34,6.76,7.47,"养猪, 食品, "
66,002678.SZ,002678,珠江钢琴,文教休闲,7.9,7.66,7.6,7.52,"二胎, 教育, "
67,000551.SZ,000551,创元科技,专用机械,8.35,8.25,8.07,7.53,"大气治理, 北斗导航, 环保, "
68,002321.SZ,002321,华英农业,农业综合,8.55,8.41,8.06,7.53,"养鸡, 土地流转, 股权转让, 国资入股, "
69,600727.SH,600727,鲁北化工,农药化肥,7.72,7.64,7.61,7.57,"煤化工, 化肥, 山东国企改革, 磷化工, "
70,300241.SZ,300241,瑞丰光电,半导体,7.99,7.91,7.62,7.59,"汽车零部件, 举牌股, LED, 虹膜识别, "
71,000702.SZ,000702,正虹科技,饲料,8.74,7.85,7.43,7.87,"饲料, 业绩预增, 湖南国企改革, 农垦, "
72,300021.SZ,300021,大禹节水,农业综合,8.44,8.27,7.77,8.08,"乡村振兴, 农机, 水利, 海绵城市, 土地流转, PPP, "
73,000566.SZ,000566,海南海药,化学制药,8.4,8.07,7.97,8.12,"业绩预增, 医药, 创新药, 化学药, 海南自由贸易港, 医疗器械, 自贸区, 互联网医疗, 自由贸易港, 国资入股, 资产重组, 独角兽, 海南, 科创板概念股, "
74,000650.SZ,000650,仁和药业,中成药,8.58,8.24,7.66,8.16,"医药, 中药, 互联网金融, 互联网医疗, 眼科, "
75,002278.SZ,002278,神开股份,化工机械,8.46,8.41,8.34,8.17,"油服, 可燃冰, 业绩预增, 页岩气, 举牌股, 壳公司, "
76,000920.SZ,000920,南方汇通,环境保护,8.95,8.91,8.49,8.27,"央企改革, 雄安-园林环保, 环保, 雄安新区, 京津冀, 污水处理, "
77,300262.SZ,300262,巴安水务,环境保护,9.37,9.23,9.04,8.42,"水务, 社保重仓, 兜底式增持, PPP, "
78,002214.SZ,002214,大立科技,电器仪表,8.92,8.91,8.82,8.46,"军工, 军民融合, 智能制造, 智慧安防, 机器人, 壳公司, "
79,002215.SZ,002215,诺普信,农药化肥,9.78,9.54,8.33,8.62,"农药, 回购, 供应链金融, "
80,002559.SZ,002559,亚威股份,机床制造,8.79,8.6,8.55,8.62,"回购, 工业自动化, 燃料电池, 智能制造, 工业互联网, 机器人, "
81,002667.SZ,002667,鞍重股份,工程机械,9.12,9.07,8.91,8.72,"壳公司, "
82,002631.SZ,002631,德尔未来,家居用品,10.31,9.92,9.38,8.88,"石墨烯, 家具家居, "
83,603488.SH,603488,展鹏科技,电气设备,9.82,9.77,9.61,9.05,
84,300459.SZ,300459,金科文化,化工原料,9.08,9.02,8.81,9.07,"阿里巴巴概念股, 新进指数成份股, 回购, 业绩预增, 谷歌概念股, 高质押率, 大数据, 人工智能, "
85,603028.SH,603028,赛福天,钢加工,9.99,9.89,9.61,9.25,"壳公司, "
86,603168.SH,603168,莎普爱思,化学制药,10.42,10.0,9.38,9.41,"医药, 化学药, 眼科, 股权转让, "
87,300342.SZ,300342,天银机电,元器件,10.38,10.3,10.22,9.6,"军工, 军民融合, 太赫兹, 白色家电, 家电, 股权转让, 国资入股, "
88,603003.SH,603003,龙宇燃油,石油贸易,9.69,9.55,9.34,9.63,"油气改革, 回购, 石油化工, 大数据, 云计算, "
89,002100.SZ,002100,天康生物,饲料,11.24,10.7,10.16,9.68,"转基因, 饲料, 养猪, 新疆, 新疆国企改革, 动物保健, "
90,002316.SZ,002316,亚联发展,软件服务,10.01,10.0,9.68,9.82,"华为产业链, 新零售, 互联网金融, 移动支付, 大数据, 智慧城市, 独角兽, 电子车牌, "
91,600996.SH,600996,贵广网络,影视音像,11.08,10.89,10.82,10.11,"物联网, 大数据, 云计算, 广电, "
92,600073.SH,600073,上海梅林,食品,10.78,9.95,9.5,10.25,"食品, 休闲食品, 万达系, 上海国企改革, 进口博览会, "
93,603128.SH,603128,华贸物流,仓储物流,10.55,10.43,10.06,10.3,"央企改革, 回购, 快递物流, 自贸区, 自由贸易港, 上海自由贸易港, "
94,002241.SZ,002241,歌尔股份,元器件,10.66,10.41,10.34,10.37,"白马股, MSCI, 回购, 小米概念股, 智能制造, 工业互联网, 3D感应, 智能音箱, VR&AR, 苹果产业链, 独角兽, 机器人, "
95,000987.SZ,000987,越秀金控,多元金融,11.42,11.34,11.24,10.6,"券商, 金改, 新零售, 粤港澳大湾区, 宁德时代概念股, 资产重组, 独角兽, "
96,002726.SZ,002726,龙大肉食,食品,11.42,11.13,10.41,10.74,"养猪, 股权转让, "
97,600882.SH,600882,妙可蓝多,乳制品,11.31,11.29,11.13,10.82,"回购, 食品, 乳业（奶粉）, "
98,600479.SH,600479,千金药业,中成药,11.22,11.2,11.15,10.87,"湖南国企改革, 医药, 中药, 化学药, "
99,002359.SZ,002359,北讯集团,通信设备,11.47,11.24,11.0,10.97,"特高压, 业绩预增, 物联网, 定增破发, 智慧停车, "
100,000534.SZ,000534,万泽股份,生物制药,11.56,11.3,11.02,11.0,"社保重仓, 大飞机, 军工, 军民融合, 互联网金融, 股权转让, 资产重组, "
101,600748.SH,600748,上实发展,全国地产,11.91,11.39,10.83,11.07,"养老产业, 房地产, 土地流转, 上海国企改革, "
102,601555.SH,601555,东吴证券,证券,11.72,11.46,11.44,11.11,"MSCI, 券商, 回购, 参股券商, 债转股-AMC, "
103,600831.SH,600831,广电网络,影视音像,12.34,11.81,11.69,11.61,"大数据, 云计算, 智慧城市, 广电, 知识产权, "
104,000823.SZ,000823,超声电子,元器件,12.01,11.84,11.05,11.64,"PCB板, 小米概念股, 苹果产业链, "
105,002569.SZ,002569,步森股份,服饰,13.17,13.12,12.67,11.71,"新零售, 供应链金融, 纺织服装, 股权争夺, 壳公司, "
106,600136.SH,600136,当代明诚,影视音像,13.71,13.7,13.46,11.78,"社保重仓, 高质押率, 足球, 体育产业, 影视, "
107,002828.SZ,002828,贝肯能源,石油开采,13.81,13.76,13.55,12.08,"油服, 油气改革, 可燃冰, 页岩气, 天然气, 新疆, "
108,002547.SZ,002547,春兴精工,通信设备,13.46,12.61,10.39,12.15,"5G, 特斯拉, 华为产业链, 3D玻璃, "
109,002882.SZ,002882,金龙羽,电气设备,12.3,12.21,12.09,12.15,"业绩预增, 新能源汽车, 充电桩, "
110,002274.SZ,002274,华昌化工,农药化肥,14.48,13.55,12.6,12.31,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 科创板概念股, "
111,600213.SH,600213,亚星客车,汽车整车,12.98,11.2,9.73,12.47,"新能源整车, 汽车整车, 山东国企改革, 新能源汽车, "
112,300115.SZ,300115,长盈精密,元器件,14.01,13.88,13.39,12.52,"华为产业链, 社保重仓, 宁德时代概念股, 小米概念股, 智能制造, 苹果产业链, 国产芯片, 独角兽, 机器人, "
113,603399.SH,603399,吉翔股份,小金属,12.95,12.56,12.28,12.57,"有色金属, 有色-钼, 百度概念股, 游戏, 手游, 影视, "
114,603609.SH,603609,禾丰牧业,饲料,13.68,12.66,11.79,12.9,"饲料, 养猪, "
115,300430.SZ,300430,诚益通,电器仪表,13.55,12.48,11.29,13.05,"社保重仓, 定增破发, 工业自动化, 智能制造, 医疗器械, "
116,000688.SZ,000688,国城矿业,铅锌,13.24,12.89,12.74,13.09,"有色-锌, 回购, 有色金属, 高质押率, "
117,300205.SZ,300205,天喻信息,元器件,14.48,14.47,14.39,13.1,"教育, 物联网, 网络安全, 移动支付, 国产软件, 高校系, "
118,600604.SH,600604,市北高新,园区开发,15.25,15.01,14.93,13.28,"阿里巴巴概念股, 房地产, 上海国企改革, 住房租赁, 强势人气股, 创投, "
119,300097.SZ,300097,智云股份,电器仪表,13.93,13.9,13.69,13.35,"OLED, 华为产业链, 回购, 定增破发, 工业自动化, 智能制造, "
120,002866.SZ,002866,传艺科技,电脑设备,14.15,13.84,13.49,13.42,"PCB板, "
121,603699.SH,603699,纽威股份,专用机械,13.61,13.43,13.23,13.56,"核电, 回购, "
122,002669.SZ,002669,康达新材,化工原料,15.33,15.24,14.79,13.7,"业绩预增, 军工, 军民融合, 股权转让, 国资入股, "
123,002548.SZ,002548,金新农,饲料,14.93,14.54,13.31,13.72,"回购, 饲料, 养猪, 股权转让, 动物保健, "
124,002088.SZ,002088,鲁阳节能,矿物制品,14.06,13.74,13.29,13.98,"社保重仓, 雄安-建材, 雄安新区, 耐火材料, "
125,300369.SZ,300369,绿盟科技,软件服务,14.24,13.87,13.76,14.07,"社保重仓, 网络安全, 云计算, 工业互联网, 国产软件, 国产操作系统, 独角兽, "
126,000070.SZ,000070,特发信息,通信设备,16.94,16.85,15.85,14.27,"5G, 光通信, 军工, 军民融合, 深圳本地股/深汕合作, 创投, "
127,002626.SZ,002626,金达威,食品,15.73,15.66,14.92,14.58,"回购, 保健品, 食品, 医药, 化学药, 维生素, "
128,600378.SH,600378,天科股份,化工原料,15.54,14.74,13.86,15.05,"油服, 可燃冰, 央企改革, 业绩预增, 页岩气, 石油化工, 燃料电池, 资产重组, 碳交易, "
129,002567.SZ,002567,唐人神,饲料,16.9,16.26,15.12,15.15,"回购, 饲料, 养猪, 股权转让, 国资入股, "
130,300532.SZ,300532,今天国际,软件服务,15.6,15.31,15.24,15.28,"宁德时代概念股, 智慧物流, 智能制造, 快递物流, 国资入股, "
131,002791.SZ,002791,坚朗五金,其他建材,16.35,15.65,15.28,15.52,"社保重仓, 回购, "
132,002568.SZ,002568,百润股份,红黄药酒,17.32,17.2,16.96,16.1,"社保重仓, 回购, 饮料, "
133,300551.SZ,300551,古鳌科技,专用机械,16.94,16.82,16.04,16.29,"互联网金融, 无人银行, "
134,002788.SZ,002788,鹭燕医药,医药商业,17.0,16.82,16.46,16.75,"医药商业, 医药, 中药, 医疗器械, "
135,300268.SZ,300268,佳沃股份,农业综合,17.4,17.25,16.54,16.75,"海底捞概念股, 食品, 区块链, 独角兽, "
136,603968.SH,603968,醋化股份,化工原料,17.84,17.79,17.3,17.0,
137,300435.SZ,300435,中泰股份,机械基件,19.09,18.91,16.79,17.29,"天然气, 煤化工, 燃料电池, 资产重组, "
138,002840.SZ,002840,华统股份,食品,19.66,19.25,19.16,17.3,"养猪, "
139,002409.SZ,002409,雅克科技,化工原料,18.09,17.93,17.91,17.64,"业绩预增, 半导体, "
140,300130.SZ,300130,新国都,电脑设备,18.64,18.18,17.7,18.0,"业绩预增, 物联网, 网络安全, 互联网金融, 移动支付, 大数据, 区块链, 腾讯概念股, "
141,002837.SZ,002837,英维克,专用机械,21.08,20.75,20.41,18.99,"5G, 军工, 军民融合, 新能源汽车, 腾讯概念股, 充电桩, "
142,002124.SZ,002124,天邦股份,饲料,21.02,20.76,19.86,19.01,"饲料, 养猪, 动物保健, 强势人气股, "
143,000997.SZ,000997,新大陆,软件服务,19.1,18.66,18.48,19.02,"MSCI, 国家队重仓, 物联网, 数字中国, 互联网金融, 移动支付, 大数据, 药品信息化追溯, 无人商店, 智慧城市, 彩票, 电子发票, "
144,603611.SH,603611,诺力股份,运输设备,19.64,19.26,18.92,19.2,"智慧物流, 机械, 智能制造, "
145,603505.SH,603505,金石资源,矿物制品,19.78,19.49,18.86,19.21,"业绩预增, "
146,603283.SH,603283,赛腾股份,专用机械,20.53,20.51,20.3,19.76,"工业自动化, 智能制造, 半导体, 苹果产业链, "
147,002157.SZ,002157,正邦科技,饲料,21.78,20.54,19.78,20.3,"阿里巴巴概念股, 饲料, 养猪, 土地流转, "
148,002870.SZ,002870,香山股份,电器仪表,24.3,23.62,23.56,21.51,"OLED, 物联网, 强势人气股, "
149,603959.SH,603959,百利科技,建筑施工,23.9,23.36,21.92,22.1,"宁德时代概念股, 煤化工, 高质押率, 锂电池, 新能源汽车, "
150,002816.SZ,002816,和科达,专用机械,22.91,22.65,22.52,22.18,
151,603617.SH,603617,君禾股份,专用机械,22.52,21.39,20.67,22.27,
152,603363.SH,603363,傲农生物,饲料,25.2,24.74,21.39,22.7,"饲料, 养猪, 动物保健, "
153,002868.SZ,002868,绿康生化,农业综合,23.59,23.36,21.72,23.04,"动物保健, "
154,300385.SZ,300385,雪浪环境,环境保护,23.78,23.7,22.53,23.24,"固废处理, 定增破发, 高质押率, 大气治理, 环保, "
155,601066.SH,601066,中信建投,证券,26.74,25.55,25.49,24.98,"券商, 新进指数成份股, 强势人气股, "
156,603886.SH,603886,元祖股份,食品,25.15,24.0,23.5,25.08,"食品, 休闲食品, "
157,002299.SZ,002299,圣农发展,农业综合,27.27,27.07,26.47,25.21,"MSCI, 业绩预增, 养鸡, "
158,002810.SZ,002810,山东赫达,化工原料,27.08,26.22,25.67,25.36,"业绩预增, 高送转, "
159,603908.SH,603908,牧高笛,纺织,29.79,28.96,28.43,25.92,"纺织服装, 体育产业, "
160,000977.SZ,000977,浪潮信息,电脑设备,27.63,27.38,26.61,26.18,"MSCI, 美团概念股, 山东国企改革, 数字中国, 云计算, 国产操作系统, 智慧安防, "
161,002475.SZ,002475,立讯精密,元器件,26.57,26.41,25.77,26.19,"5G, 白马股, MSCI, 华为产业链, 蔚来汽车概念股, 业绩预增, 无线充电, 苹果产业链, "
162,002776.SZ,002776,柏堡龙,服饰,26.49,26.28,25.69,26.34,"社保重仓, 纺织服装, 特色小镇, "
163,002746.SZ,002746,仙坛股份,农业综合,27.54,26.12,25.17,26.87,"业绩预增, 养鸡, 高送转, "
164,300436.SZ,300436,广生堂,化学制药,28.97,28.79,28.6,26.93,"民营医院, 医药, 创新药, 化学药, 基因测序, 独角兽, "
165,002727.SZ,002727,一心堂,医药商业,28.34,28.25,27.17,28.25,"医药商业, 医药, 医疗信息化, "
166,603711.SH,603711,香飘飘,软饮料,31.97,31.01,30.76,30.71,"大消费, 饮料, "
167,300508.SZ,300508,维宏股份,软件服务,33.53,32.07,31.22,31.42,"工业自动化, 智能制造, 工业互联网, "
168,603499.SH,603499,翔港科技,广告包装,33.89,33.31,31.73,33.57,"包装印刷, 化妆品, "
169,300212.SZ,300212,易华录,软件服务,34.67,33.82,32.93,33.6,"阿里巴巴概念股, 央企改革, 业绩预增, 物联网, 百度概念股, 无人驾驶, 雄安-智慧城市, 养老产业, 智慧停车, PPP, 小米概念股, 数字中国, 雄安新区, 京津冀, 大数据, 云计算, 智慧城市, 智慧安防, 独角兽, 电子车牌, "
170,300659.SZ,300659,中孚信息,软件服务,34.41,33.79,33.56,33.86,"网络安全, 国产软件, 资产重组, "
171,603045.SH,603045,福达合金,电气设备,35.23,34.07,32.43,34.34,
172,002729.SZ,002729,好利来,元器件,35.84,34.45,32.9,35.1,
173,603368.SH,603368,柳药股份,医药商业,36.15,35.21,34.6,35.53,"医药商业, 回购, 医药, 中药, 互联网医疗, 广西, "
174,600745.SH,600745,闻泰科技,通信设备,36.53,36.4,36.17,35.75,"5G, 华为产业链, 社保重仓, 无人驾驶, 半导体, VR&AR, 资产重组, 手势识别, "
175,300483.SZ,300483,沃施股份,专用机械,38.3,37.65,36.73,36.5,"天然气, 资产重组, "
176,603679.SH,603679,华体科技,电气设备,47.92,47.83,44.0,46.5,"华为产业链, 新能源汽车, 智慧城市, 共享经济, LED, 充电桩, "
177,300308.SZ,300308,中际旭创,通信设备,55.04,54.46,54.22,53.15,"5G, 光通信, "
178,002773.SZ,002773,康弘药业,中成药,55.9,54.48,52.85,55.5,"MSCI, 新进指数成份股, 医药, 中药, 创新药, 化学药, "
179,300661.SZ,300661,圣邦股份,元器件,93.79,90.27,89.39,91.67,"社保重仓, 半导体, 国产芯片, 共享经济, "
180,000858.SZ,000858,五粮液,白酒,102.59,102.39,101.56,102.29,"高价股, 白马股, MSCI, 大消费, 白酒, "
