,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT,COL_FLOAT_HOLDERS
32,002211.SZ,002211,宏达新材,橡胶,5.75,True,北京怀信投资基金管理有限公司-怀信信安3号私募证券投资基金
33,000732.SZ,000732,泰禾集团,区域地产,5.78,True,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
34,002198.SZ,002198,嘉应制药,中成药,5.86,True,深圳市老虎汇资产管理有限公司
35,002659.SZ,002659,凯文教育,文教休闲,5.97,True,华轩(上海)股权投资基金有限公司
36,000609.SZ,000609,中迪投资,区域地产,6.08,True,
37,600956.SH,600956,新天绿能,新型电力,6.09,True,
38,600552.SH,600552,凯盛科技,玻璃,6.23,True,
39,600620.SH,600620,天宸股份,综合类,6.31,True,深圳市诚和昌投资发展有限公司-诚和昌鸿基成长1号私募证券投资基金
40,600961.SH,600961,株冶集团,铅锌,6.49,True,
41,300356.SZ,300356,光一科技,电气设备,6.49,True,
42,603300.SH,603300,华铁应急,钢加工,6.56,True,东海基金-浦发银行-东海基金-金龙62号资产管理计划
43,600864.SH,600864,哈投股份,证券,6.62,True,"中国华融资产管理股份有限公司
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司"
44,601162.SH,601162,天风证券,证券,6.74,True,
45,002585.SZ,002585,双星新材,塑料,6.8,True,"皓熙股权投资管理(上海)有限公司-南京高科皓熙定增私募证券投资基金
中央汇金资产管理有限责任公司
鹏华基金-招商银行-中山证券有限责任公司"
46,000715.SZ,000715,中兴商业,百货,6.91,True,
47,603488.SH,603488,展鹏科技,电气设备,7.05,True,
48,000905.SZ,000905,厦门港务,港口,7.21,True,"云南国际信托有限公司-源盛恒瑞21号集合资金信托计划
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)"
49,600609.SH,600609,金杯汽车,汽车配件,7.22,True,北京桑海汇通资产管理中心(有限合伙)
50,002500.SZ,002500,山西证券,证券,7.26,True,"山西省科技基金发展有限公司
中吉金投资产管理有限公司-中吉金投-稳赢2号投资基金
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
51,600830.SH,600830,香溢融通,多元金融,7.3,True,
52,000671.SZ,000671,阳光城,区域地产,7.35,True,"东方信隆资产管理有限公司
香港中央结算有限公司(陆股通)
东莞市惠丰资产管理有限公司-惠丰财富策略1号证券投资基金"
53,000802.SZ,000802,北京文化,影视音像,7.41,True,"中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金
中国农业银行股份有限公司-华安智能生活混合型证券投资基金
中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金"
54,000426.SZ,000426,兴业矿业,铅锌,7.45,True,"北信瑞丰基金-民生银行-四川信托-辰星2号证券投资集合资金信托计划
上海中汇金锐投资管理有限公司-中汇金锐定增2期私募投资基金"
55,600606.SH,600606,绿地控股,全国地产,7.48,True,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
全国社保基金四一二组合"
56,000006.SZ,000006,深振业A,区域地产,7.48,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
57,300364.SZ,300364,中文在线,出版业,7.54,True,
58,002702.SZ,002702,海欣食品,食品,7.6,True,
59,600199.SH,600199,金种子酒,白酒,7.6,True,"中央汇金资产管理有限责任公司
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
60,600909.SH,600909,华安证券,证券,7.61,True,东方创业-安信证券-19东创EB担保及信托财产专户
61,300315.SZ,300315,掌趣科技,互联网,7.83,True,"中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国工商银行股份有限公司-银华中小盘精选混合型证券投资基金
中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金
全国社保基金一一八组合
香港中央结算有限公司(陆股通)
基本养老保险基金一二零六组合
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国工商银行股份有限公司-银华中小盘精选混合型证券投资基金
中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金
全国社保基金一一八组合
香港中央结算有限公司(陆股通)
基本养老保险基金一二零六组合
中国工商银行股份有限公司-银华中小盘精选混合型证券投资基金
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
香港中央结算有限公司(陆股通)
基本养老保险基金一二零六组合
中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金
中国建设银行股份有限公司-前海开源再融资主题精选股票型证券投资基金
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金"
62,002640.SZ,002640,跨境通,互联网,7.85,True,"珠海横琴安赐文化互联叁号股权投资基金企业(有限合伙)
广州开发区新兴产业投资基金管理有限公司
上海中平国瑀资产管理有限公司-上海中平国璟并购股权投资基金合伙企业(有限合伙)"
63,002740.SZ,002740,爱迪尔,服饰,7.85,True,
64,603012.SH,603012,创力集团,专用机械,7.88,True,"中煤机械集团-财通证券-19中02EB担保及信托财产专户
中煤机械集团-财通证券-19中01EB担保及信托财产专户"
65,000736.SZ,000736,中交地产,全国地产,7.9,True,
66,002769.SZ,002769,普路通,仓储物流,7.99,True,
67,603767.SH,603767,中马传动,汽车配件,8.37,True,
68,002403.SZ,002403,爱仕达,家用电器,8.38,True,
69,600723.SH,600723,首商股份,百货,8.44,True,"基本养老保险基金八零五组合
中国工商银行股份有限公司-广发睿阳三年定期开放混合型证券投资基金
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
中央汇金资产管理有限责任公司"
70,300160.SZ,300160,秀强股份,玻璃,8.53,True,浙江九章资产管理有限公司-九章幻方青溪3号私募基金
71,603123.SH,603123,翠微股份,百货,8.58,True,
72,601020.SH,601020,华钰矿业,铅锌,8.78,True,"海通证券资管-海通证券股份有限公司-证券行业支持民企发展系列之海通证券资管1号FOF单一资产管理计划
交通银行股份有限公司-前海开源多元策略灵活配置混合型证券投资基金"
73,601519.SH,601519,大智慧,软件服务,8.88,True,
74,603318.SH,603318,派思股份,专用机械,8.91,True,"中意资管-招商银行-中意资产-招商银行-定增精选48号资产管理产品
太平资管-招商银行-粤财信托-定增宝1号基金集合资金信托计划"
75,300243.SZ,300243,瑞丰高材,化工原料,8.92,True,中央汇金资产管理有限责任公司
76,600571.SH,600571,信雅达,软件服务,9.01,True,中国工商银行股份有限公司-南方大数据100指数证券投资基金
77,300334.SZ,300334,津膜科技,专用机械,9.1,True,中央汇金资产管理有限责任公司
78,002261.SZ,002261,拓维信息,互联网,9.12,True,
79,600551.SH,600551,时代出版,出版业,9.33,True,中央汇金资产管理有限责任公司
80,300017.SZ,300017,网宿科技,电信运营,9.36,True,"香港中央结算有限公司(陆股通)
九泰基金-中证金融-九泰基金-泰增战略3号资产管理计划
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金
九泰基金-中证金融-陈宝珍
博时基金-招商银行-江苏毅达并购成长股权投资基金(有限合伙)
博时基金-招商银行-西藏信托-晋泽1号单一资金信托
博时基金-招商银行-长城国融投资管理有限公司"
81,603106.SH,603106,恒银金融,IT设备,9.38,True,
82,300736.SZ,300736,百邦科技,通信设备,9.66,True,
83,000656.SZ,000656,金科股份,区域地产,9.88,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
84,300224.SZ,300224,正海磁材,元器件,9.93,True,"中国长城资产管理股份有限公司
中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金
上汽颀臻(上海)资产管理有限公司-上汽投资-颀瑞1号
基本养老保险基金一二零四组合
中国工商银行股份有限公司-嘉实智能汽车股票型证券投资基金"
85,600604.SH,600604,市北高新,园区开发,10.1,True,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
86,300023.SZ,300023,宝德股份,专用机械,10.43,True,
87,603058.SH,603058,永吉股份,广告包装,10.8,True,
88,300515.SZ,300515,三德科技,电器仪表,11.29,True,
89,600338.SH,600338,西藏珠峰,铅锌,11.49,True,"西藏信托有限公司-西藏信托-鼎证48号集合资金信托计划
香港中央结算有限公司(陆股通)"
90,000020.SZ,000020,深华发A,元器件,11.52,True,
91,600532.SH,600532,宏达矿业,普钢,11.77,True,
92,601878.SH,601878,浙商证券,证券,11.99,True,"香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金"
93,000503.SZ,000503,国新健康,医疗保健,12.29,True,香港中央结算有限公司(陆股通)
94,000796.SZ,000796,凯撒旅业,旅游服务,12.63,True,上海金辇投资管理有限公司-金辇精选2号私募证券投资基金
95,600109.SH,600109,国金证券,证券,12.68,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中欧基金-农业银行-中欧中证金融资产管理计划
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金"
96,002428.SZ,002428,云南锗业,小金属,12.75,True,中央汇金资产管理有限责任公司
97,300460.SZ,300460,惠伦晶体,元器件,12.96,True,"中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
交通银行股份有限公司-博时新兴成长混合型证券投资基金"
98,603113.SH,603113,金能科技,化工原料,13.21,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-嘉实研究精选混合型证券投资基金
国投创新(北京)投资基金有限公司
北京国投协力股权投资基金(有限合伙)
上海复星创富股权投资基金合伙企业(有限合伙)
国投创新(北京)投资基金有限公司
北京国投协力股权投资基金(有限合伙)
上海复星创富股权投资基金合伙企业(有限合伙)
中国银行股份有限公司-嘉实研究精选混合型证券投资基金
香港中央结算有限公司(陆股通)
香港中央结算有限公司(陆股通)
中国银行股份有限公司-嘉实研究精选混合型证券投资基金
上海复星创富股权投资基金合伙企业(有限合伙)
北京国投协力股权投资基金(有限合伙)
国投创新(北京)投资基金有限公司"
99,600318.SH,600318,新力金融,多元金融,13.45,True,"华泰证券资管-招商银行-华泰家园3号集合资产管理计划
浙江九章资产管理有限公司-幻方星月石私募基金
青岛祝融富田投资管理有限公司-青岛祝融富田投资管理有限公司帛汇3号私募证券投资基金"
100,002782.SZ,002782,可立克,电气设备,13.57,True,
101,603223.SH,603223,恒通股份,供气供热,13.85,True,山东一圈一带产业投资基金有限公司-山高-圈带私募基金
102,600185.SH,600185,格力地产,区域地产,14.05,True,"广州市玄元投资管理有限公司-玄元投资元宝1号私募投资基金
泰达宏利基金-工商银行-中航信托-天顺(2016)70号泰达宏利基金投资单一资金信托
建信基金-工商银行-华润深国投信托-华润信托·增利10号集合资金信托计划
香港中央结算有限公司(陆股通)
广州市玄元投资管理有限公司-玄元投资元宝1号私募投资基金
泰达宏利基金-工商银行-中航信托-天顺(2016)70号泰达宏利基金投资单一资金信托
建信基金-工商银行-华润深国投信托-华润信托·增利10号集合资金信托计划
香港中央结算有限公司(陆股通)
广州市玄元投资管理有限公司-玄元投资元宝1号私募投资基金
泰达宏利基金-工商银行-中航信托-天顺(2016)70号泰达宏利基金投资单一资金信托
建信基金-工商银行-华润深国投信托-华润信托·增利10号集合资金信托计划"
103,600559.SH,600559,老白干酒,白酒,14.09,True,"北京航天产业投资基金(有限合伙)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
鹏华基金-工商银行-鹏华基金增发精选1号资产管理计划
汇添富基金-工商银行-汇添富-定增盛世添富牛37号资产管理计划"
104,600918.SH,600918,中泰证券,证券,14.25,True,
105,603988.SH,603988,中电电机,电气设备,14.3,True,
106,300843.SZ,300843,胜蓝股份,元器件,14.41,True,
107,002827.SZ,002827,高争民爆,化工原料,14.52,True,全国社会保障基金理事会转持一户
108,002718.SZ,002718,友邦吊顶,家居用品,14.91,True,中央汇金资产管理有限责任公司
109,300708.SZ,300708,聚灿光电,半导体,15.08,True,"交通银行股份有限公司-泰达宏利价值优化型成长类行业混合型证券投资基金
中国工商银行股份有限公司-嘉实企业变革股票型证券投资基金
中国工商银行股份有限公司-南方大数据100指数证券投资基金"
110,002577.SZ,002577,雷柏科技,IT设备,15.25,True,香港中央结算有限公司(陆股通)
111,002657.SZ,002657,中科金财,软件服务,15.45,True,华融国际信托有限责任公司
112,300740.SZ,300740,御家汇,日用化工,15.69,True,"前海股权投资基金(有限合伙)
交通银行股份有限公司-工银瑞信双利债券型证券投资基金"
113,601990.SH,601990,南京证券,证券,15.86,True,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
114,300464.SZ,300464,星徽精密,机械基件,15.94,True,"深圳市前海九派明家移动互联网产业基金合伙企业(有限合伙)
深圳狄道投资基金管理有限公司-狄道三号私募证券投资基金
深圳宝丰股权投资基金管理有限公司-深圳宝丰一号股权投资基金合伙企业(有限合伙)"
115,600383.SH,600383,金地集团,全国地产,16.27,True,香港中央结算有限公司(陆股通)
116,600827.SH,600827,百联股份,超市连锁,16.37,True,"全国社保基金一零三组合
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
117,300085.SZ,300085,银之杰,软件服务,16.49,True,"香港中央结算有限公司(陆股通)
深圳市明达资产管理有限公司-明达12期私募投资基金
兴业国际信托有限公司-兴享进取明达1号证券投资集合资金信托计划"
118,300824.SZ,300824,北鼎股份,家用电器,16.59,True,
119,603069.SH,603069,海汽集团,公路,16.78,True,
120,603906.SH,603906,龙蟠科技,化工原料,16.9,True,
121,000501.SZ,000501,鄂武商A,百货,17.2,True,"中国建设银行股份有限公司-交银施罗德阿尔法核心混合型证券投资基金
中央汇金资产管理有限责任公司"
122,600697.SH,600697,欧亚集团,百货,17.35,True,
123,300399.SZ,300399,京天利,互联网,17.48,True,
124,002317.SZ,002317,众生药业,中成药,17.58,True,"全国社保基金六零四组合
招商银行股份有限公司-睿远成长价值混合型证券投资基金
香港中央结算有限公司(陆股通)"
125,600535.SH,600535,天士力,中成药,17.87,True,"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划"
126,600271.SH,600271,航天信息,IT设备,17.94,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
中国社保基金一零三组合"
127,300427.SZ,300427,红相股份,电气设备,18.06,True,"中国建设银行股份有限公司-国泰大健康股票型证券投资基金
中国建设银行股份有限公司-国泰研究精选两年持有期混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
益家资本管理有限公司-益家聚美1号私募证券投资基金
中国建设银行股份有限公司-国泰大健康股票型证券投资基金
中国建设银行股份有限公司-国泰研究精选两年持有期混合型证券投资基金
上海雅策投资管理有限公司-雅策精选一号私募证券投资基金
益家资本管理有限公司-益家聚美1号私募证券投资基金"
128,300192.SZ,300192,科斯伍德,文教休闲,18.44,True,"中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
中国建设银行股份有限公司-南方现代教育股票型证券投资基金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金
兴业银行股份有限公司-兴全有机增长灵活配置混合型证券投资基金"
129,300209.SZ,300209,天泽信息,软件服务,18.48,True,中国工商银行股份有限公司-南方大数据100指数证券投资基金
130,603665.SH,603665,康隆达,纺织,18.96,True,华宝信托有限责任公司-辉煌1047号单一资金信托
131,601788.SH,601788,光大证券,证券,19.12,True,"平安大华基金-平安银行-平安银行股份有限公司
香港中央结算有限公司(陆股通)
中国长城资产管理股份有限公司
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划"
132,300758.SZ,300758,七彩化学,染料涂料,19.2,True,
133,603787.SH,603787,新日股份,摩托车,19.28,True,
134,300380.SZ,300380,安硕信息,软件服务,19.51,True,中央汇金资产管理有限责任公司
135,002951.SZ,002951,金时科技,广告包装,19.69,True,香港中央结算有限公司(陆股通)
136,603729.SH,603729,龙韵股份,广告包装,19.88,True,
137,300010.SZ,300010,立思辰,软件服务,20.59,True,"香港中央结算有限公司(陆股通)
中国工商银行-广发聚丰混合型证券投资基金
国泰基金管理有限公司-社保基金四二一组合
中国工商银行-汇添富美丽30混合型证券投资基金"
138,300521.SZ,300521,爱司凯,专用机械,20.88,True,
139,300735.SZ,300735,光弘科技,通信设备,20.99,True,"中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金
招商银行股份有限公司-兴全合泰混合型证券投资基金
平安基金-中国平安人寿保险股份有限公司-分红-个险分红-平安人寿-平安基金权益委托投资2号单一资产管理计划
兴业全球基金-兴业银行-兴全-股票红利特定多客户资产管理计划
中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金
招商银行股份有限公司-兴全合泰混合型证券投资基金
中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
兴全基金-农业银行-中国太平洋人寿保险-中国太平洋人寿股票主动管理型产品(个分红)委托投资"
140,300293.SZ,300293,蓝英装备,专用机械,21.01,True,"滨海天地(天津)投资管理有限公司-滨海叶盛1号契约型私募投资基金
财通基金-湖南轻盐创业投资管理有限公司-财通基金安吉83号单一资产管理计划
滨海天地(天津)投资管理有限公司-滨海道冲1号私募证券投资基金
滨海天地(天津)投资管理有限公司-滨海天玑-双威2号契约型私募投资基金"
141,300253.SZ,300253,卫宁健康,软件服务,21.1,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-易方达新兴成长灵活配置混合型证券投资基金
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
中欧基金-农业银行-中欧中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划"
142,002888.SZ,002888,惠威科技,元器件,22.26,True,
143,600999.SH,600999,招商证券,证券,24.15,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
144,603198.SH,603198,迎驾贡酒,白酒,24.66,True,"安徽六安市迎驾慈善基金会
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金
基本养老保险基金一二零四组合"
145,600850.SH,600850,华东电脑,软件服务,25.25,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
146,000739.SZ,000739,普洛药业,化学制药,25.3,True,"香港中央结算有限公司(陆股通)
中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
招商银行股份有限公司-兴全合润分级混合型证券投资基金
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)"
147,600993.SH,600993,马应龙,中成药,26.2,True,"中国农业银行股份有限公司-大成睿享混合型证券投资基金
中央汇金资产管理有限责任公司
全国社保基金五零三组合
中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
摩根士丹利投资管理公司-摩根士丹利中国A股基金
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-景顺长城精选蓝筹混合型证券投资基金"
148,688108.SH,688108,赛诺医疗,医疗保健,26.38,True,深圳前海汇富雪球基金管理有限公司-汇富雪球医药医疗大健康一号基金
149,002960.SZ,002960,青鸟消防,专用机械,26.79,True,
150,603026.SH,603026,石大胜华,化工原料,26.93,True,中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
151,603189.SH,603189,网达软件,软件服务,26.93,True,中国邮政储蓄银行有限责任公司-中欧中小盘股票型证券投资基金(LOF)
152,002824.SZ,002824,和胜股份,铝,27.05,True,
153,002216.SZ,002216,三全食品,食品,27.28,True,"中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金
中国建设银行股份有限公司-交银施罗德蓝筹混合型证券投资基金
上海明河投资管理有限公司-明河成长2号私募证券投资基金"
154,300831.SZ,300831,派瑞股份,元器件,27.38,True,
155,300663.SZ,300663,科蓝软件,软件服务,28.23,True,
156,300839.SZ,300839,博汇股份,石油加工,28.33,True,
157,002950.SZ,002950,奥美医疗,医疗保健,28.5,True,"长江经济带(湖北)产业并购基金合伙企业(有限合伙)
宁波星邻星投资管理有限公司-常州五星钛信绿色股权投资基金合伙企业(有限合伙)"
158,002241.SZ,002241,歌尔股份,元器件,28.64,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金
挪威中央银行-自有资金
中国对外经济贸易信托有限公司-淡水泉精选1期
中央汇金资产管理有限责任公司"
159,688528.SH,688528,N秦川,电器仪表,30.94,True,
160,300518.SZ,300518,盛讯达,软件服务,31.57,True,"中铁宝盈资产-浦发银行-中铁宝盈-宝鑫77号特定客户资产管理计划
鹏华资产-浦发银行-鹏华资产金润24号资产管理计划
鹏华资产-浦发银行-鹏华资产金润28号资产管理计划
鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划
鹏华资产管理-浦发银行-鹏华资产金润18号资产管理计划"
161,300612.SZ,300612,宣亚国际,广告包装,33.21,True,
162,603429.SH,603429,集友股份,广告包装,33.57,True,
