,ts_code,name,industry,turnover_rate,continuously_up,average_p_change,circ_mv,accumulate_p_change
141,000550.SZ,江铃汽车,汽车整车,0.5711,6.0,1.894,592043.8167,11.851
1165,002705.SZ,新宝股份,家用电器,0.3961,6.0,1.444,425829.4112,8.792
3383,603616.SH,韩建河山,其他建材,4.2577,6.0,2.346,376674.24,14.848
919,002457.SZ,青龙管业,塑料,9.0603,6.0,2.608,300003.8799,16.645
2766,600766.SH,园城黄金,黄金,11.1441,5.0,0.744,190118.3291,3.663
182,000605.SZ,渤海股份,水务,4.612,4.0,2.402,265889.8172,9.438
944,002482.SZ,广田集团,装修装饰,0.6512,4.0,1.549,902284.5491,6.306
3460,603789.SH,星光农机,农用机械,0.5167,4.0,0.695,326040.0,2.787
62,000150.SZ,宜华健康,医疗保健,1.9891,4.0,2.074,861258.1447,8.406
510,002047.SZ,宝鹰股份,装修装饰,0.9977,4.0,1.497,928351.3859,6.061
883,002421.SZ,达实智能,软件服务,1.0833,4.0,0.816,584711.8798,3.15
1057,002596.SZ,海南瑞泽,其他建材,3.2873,3.0,0.903,567616.1054,2.652
2367,600289.SH,*ST信通,软件服务,3.4236,3.0,1.63,171474.5733,4.844
1040,002579.SZ,中京电子,元器件,0.8215,3.0,-0.095,310483.9094,-0.334
1280,002829.SZ,星网宇达,通信设备,3.9651,3.0,1.178,118842.311,3.093
1201,002743.SZ,富煌钢构,钢加工,2.3938,3.0,0.114,207475.55,0.16
2247,600152.SH,维科技术,电气设备,5.5561,3.0,0.555,184928.7531,1.621
1056,002595.SZ,豪迈科技,专用机械,0.3372,3.0,-0.315,881514.0658,-0.949
1202,002745.SZ,木林森,半导体,2.222,3.0,1.083,692987.7577,3.253
15,000019.SZ,深深宝A,软饮料,2.2956,3.0,0.838,322364.8429,2.513
1233,002778.SZ,高科石化,石油加工,2.8883,3.0,0.814,98356.9125,2.37
11,000014.SZ,沙河股份,全国地产,8.4446,3.0,1.289,203722.2389,3.696
2622,600608.SH,ST沪科,钢加工,0.1945,3.0,-0.218,142630.4056,-0.665
3273,603318.SH,派思股份,专用机械,0.956,3.0,1.517,549353.6704,4.594
3546,603969.SH,银龙股份,其他建材,1.5916,3.0,0.196,410408.0,0.412
3541,603959.SH,百利科技,建筑施工,1.4646,3.0,0.659,245784.0,1.978
3520,603903.SH,中持股份,环境保护,4.4127,3.0,0.612,166344.4697,1.715
3488,603848.SH,好太太,家居用品,3.2462,3.0,1.265,108079.6,3.684
3480,603825.SH,华扬联众,互联网,3.7208,3.0,0.648,134143.5732,1.823
3449,603758.SH,秦安股份,汽车配件,0.7057,3.0,0.055,84237.7933,0.159
3435,603717.SH,天域生态,环境保护,6.7609,3.0,2.364,116707.9446,6.816
3374,603603.SH,博天环境,环境保护,3.3795,3.0,2.848,366569.6534,8.705
3340,603520.SH,司太立,化学制药,1.3985,3.0,0.051,178821.9,0.145
3339,603519.SH,立霸股份,家用电器,1.3004,3.0,3.088,223271.5052,9.348
3334,603508.SH,思维列控,软件服务,2.952,3.0,0.298,267906.8,0.736
3298,603363.SH,傲农生物,饲料,8.7488,3.0,2.138,188960.7535,6.535
3275,603320.SH,迪贝电气,机械基件,4.1948,3.0,0.769,59865.0,2.276
3251,603268.SH,松发股份,陶瓷,1.3342,3.0,1.73,206492.7144,5.187
2663,600654.SH,ST中安,软件服务,2.0432,3.0,1.354,173659.9254,4.072
3236,603222.SH,济民制药,化学制药,0.9694,3.0,1.659,420480.0,5.036
3234,603218.SH,日月股份,工程机械,1.3844,3.0,0.391,174000.8375,1.156
3180,603098.SH,森特股份,装修装饰,2.4487,3.0,-0.062,86263.8,-0.433
3163,603063.SH,禾望电气,电气设备,6.7521,3.0,3.477,191475.0,10.783
3147,603035.SH,常熟汽饰,汽车配件,0.7968,3.0,-0.242,221295.5426,-0.772
3128,603013.SH,亚普股份,汽车配件,6.1128,3.0,0.566,107280.0,1.707
3093,601918.SH,新集能源,煤炭开采,0.4452,3.0,-0.103,808249.0416,-0.319
3085,601886.SH,江河集团,装修装饰,0.4215,3.0,0.98,847072.7,2.945
3050,601666.SH,平煤股份,煤炭开采,0.2837,3.0,-0.339,890159.1982,-1.05
2997,601222.SH,林洋能源,电器仪表,1.1009,3.0,0.702,912909.8795,1.953
2777,600778.SH,*ST友好,百货,0.2466,3.0,-0.345,148077.2749,-1.04
2727,600725.SH,ST云维,焦炭加工,0.3302,3.0,1.531,308117.5,4.602
2697,600693.SH,东百集团,百货,0.0828,3.0,0.002,472849.482,-0.0
2953,601038.SH,一拖股份,农用机械,2.1183,3.0,3.525,320711.4,10.883
3547,603970.SH,中农立华,其他商业,4.0229,3.0,0.72,126564.1272,2.12
255,000707.SZ,*ST双环,化工原料,1.872,3.0,1.096,144348.8664,3.322
447,000982.SZ,*ST中绒,纺织,0.4451,3.0,-0.445,256316.1456,-1.389
524,002061.SZ,浙江交科,化工原料,2.2807,3.0,2.138,693907.0502,6.483
628,002165.SZ,红宝丽,化工原料,0.8264,3.0,0.773,209365.0353,2.32
278,000733.SZ,振华科技,元器件,1.0539,3.0,0.371,566026.7149,1.09
648,002185.SZ,华天科技,半导体,0.859,3.0,0.018,882001.7112,-0.0
331,000816.SZ,*ST慧业,农用机械,1.8383,3.0,1.067,213804.3955,3.226
332,000818.SZ,航锦科技,化工原料,0.9724,3.0,0.676,677101.9992,2.02
444,000979.SZ,中弘退,,2.1209,3.0,0.051,218111.9512,-0.0
598,002135.SZ,东南网架,建筑施工,0.3235,3.0,0.523,449309.0181,1.542
375,000889.SZ,茂业通信,通信设备,0.062,3.0,-0.705,721728.3496,-2.108
432,000966.SZ,长源电力,火力发电,1.1505,3.0,0.535,357975.7578,1.572
782,002320.SZ,海峡股份,水运,1.0024,3.0,0.196,790641.9188,0.568
734,002272.SZ,川润股份,机械基件,1.8325,3.0,1.367,145572.5522,4.128
420,000951.SZ,中国重汽,汽车整车,0.3251,3.0,0.172,783613.9565,0.516
378,000893.SZ,*ST东凌,食品,0.4341,3.0,0.873,172319.0385,2.625
869,002407.SZ,多氟多,化工原料,3.0309,3.0,0.793,686324.3778,2.265
416,000939.SZ,*ST凯迪,新型电力,3.1962,3.0,2.84,419217.3765,8.661
887,002425.SZ,凯撒文化,互联网,2.8566,3.0,1.071,493085.9423,3.199
143,000552.SZ,靖远煤电,煤炭开采,0.3817,3.0,-0.232,431410.5271,-0.717
92,000422.SZ,*ST宜化,农药化肥,2.4212,3.0,1.638,266650.4562,4.947
135,000543.SZ,皖能电力,火力发电,0.4789,3.0,0.006,864761.2574,-0.0
63,000151.SZ,中成股份,商贸代理,3.3878,3.0,0.554,309191.0017,1.665
561,002098.SZ,浔兴股份,服饰,14.3312,3.0,7.563,268457.2288,24.247
27,000032.SZ,深桑达A,元器件,2.3218,3.0,1.334,217122.692,4.016
907,002445.SZ,ST中南,影视音像,3.0838,3.0,0.564,311717.249,1.695
580,002117.SZ,东港股份,广告包装,0.3548,3.0,0.142,536763.2891,0.408
2910,600971.SH,恒源煤电,煤炭开采,0.3938,2.0,0.252,607002.4705,0.497
2914,600977.SH,中国电影,影视音像,2.4121,2.0,3.678,810775.0,7.491
449,000985.SZ,大庆华科,化工原料,3.241,2.0,3.716,189144.0305,7.437
3197,603128.SH,华贸物流,仓储物流,0.8498,2.0,0.938,568108.6793,1.884
3190,603113.SH,金能科技,化工原料,2.0695,2.0,1.322,397574.5755,2.656
2931,600997.SH,开滦股份,煤炭开采,0.6328,2.0,0.806,721029.76,1.565
2936,601002.SH,晋亿实业,机械基件,2.1302,2.0,1.821,481955.52,3.578
3169,603078.SH,江化微,化工原料,2.7871,2.0,3.879,142960.2741,7.876
3104,601968.SH,宝钢包装,广告包装,0.2907,2.0,0.612,344166.6529,1.225
3141,603028.SH,赛福天,钢加工,1.6464,2.0,1.547,88063.3212,3.112
502,002039.SZ,黔源电力,水力发电,0.2962,2.0,0.039,397287.0699,0.077
3031,601566.SH,九牧王,服饰,0.0596,2.0,-0.038,738408.7378,-0.078
556,002093.SZ,国脉科技,电信运营,1.7307,2.0,2.997,685583.3459,6.024
523,002060.SZ,粤水电,建筑施工,0.2074,2.0,-0.174,344894.1727,-0.347
2963,601101.SH,昊华能源,煤炭开采,0.4478,2.0,0.802,773998.8854,1.575
3092,601908.SH,京运通,电气设备,0.3169,2.0,1.184,687591.1068,2.374
554,002091.SZ,江苏国泰,商贸代理,0.6937,2.0,0.496,522087.8784,0.94
3270,603313.SH,梦百合,家居用品,0.891,2.0,1.219,165105.8192,2.453
3059,601717.SH,郑煤机,工程机械,0.6959,2.0,0.768,880976.4989,1.538
3053,601677.SH,明泰铝业,铝,0.2311,2.0,0.373,470546.7606,0.746
553,002090.SZ,金智科技,软件服务,0.4609,2.0,1.193,417103.6205,2.328
997,002536.SZ,西泵股份,汽车配件,2.4943,2.0,1.328,350551.3925,2.668
3296,603359.SH,东珠生态,建筑施工,1.3192,2.0,1.58,251297.31,3.074
401,000922.SZ,佳电股份,电气设备,0.5725,2.0,0.617,331947.1966,1.183
259,000711.SZ,京蓝科技,软件服务,3.7806,2.0,0.552,270938.2448,1.061
3542,603960.SH,克来机电,专用机械,0.8472,2.0,1.189,150762.5255,2.393
43,000056.SZ,皇庭国际,房产服务,2.5593,2.0,1.875,524165.2606,3.757
3539,603955.SH,大千生态,环境保护,1.3992,2.0,0.443,111259.5323,0.775
74,000400.SZ,许继电气,电气设备,1.1834,2.0,1.987,915411.7625,4.009
3509,603887.SH,城地股份,建筑施工,0.6079,2.0,0.402,124698.6796,0.737
3500,603877.SH,太平鸟,服饰,1.176,2.0,2.867,377930.7942,5.307
3497,603869.SH,新智认知,旅游服务,0.7126,2.0,2.109,435939.3999,4.231
138,000546.SZ,金圆股份,水泥,0.1464,2.0,-0.397,571785.9486,-0.803
3458,603787.SH,新日股份,摩托车,14.2719,2.0,3.371,72945.81,6.412
3436,603718.SH,海利生物,生物制药,1.2799,2.0,3.881,884212.0,7.855
223,000666.SZ,经纬纺机,纺织机械,2.4712,2.0,0.301,358973.4508,0.576
3426,603703.SH,盛洋科技,通信设备,14.7155,2.0,6.788,104483.05,14.031
3414,603680.SH,今创集团,运输设备,1.724,2.0,0.255,84554.4,0.489
3413,603679.SH,华体科技,电气设备,1.4415,2.0,0.505,90945.1641,1.012
3373,603602.SH,纵横通信,通信设备,4.347,2.0,1.746,165925.76,3.52
3277,603322.SH,超讯通信,通信设备,3.0409,2.0,1.245,109632.5483,2.502
272,000726.SZ,鲁泰A,纺织,0.253,2.0,0.532,534598.4118,1.06
3351,603559.SH,中通国脉,通信设备,4.7811,2.0,1.101,172829.739,2.21
3346,603538.SH,美诺华,化学制药,2.7996,2.0,-1.097,192160.08,-2.186
334,000820.SZ,神雾节能,环境保护,1.6561,2.0,0.411,193593.1072,0.748
3330,603501.SH,韦尔股份,半导体,3.8059,2.0,3.102,493136.215,6.3
3329,603500.SH,祥和实业,运输设备,6.8695,2.0,2.277,56296.8,4.295
3323,603466.SH,风语筑,文教休闲,5.4382,2.0,2.011,127688.0,3.865
3322,603458.SH,勘设股份,建筑施工,0.9624,2.0,-0.243,262873.8993,-0.517
3318,603421.SH,鼎信通讯,通信设备,3.9834,2.0,0.639,91101.2076,1.267
3306,603380.SH,易德龙,元器件,1.2154,2.0,0.583,71171.6728,1.157
2902,600961.SH,株冶集团,铅锌,0.1735,2.0,-0.518,403505.3042,-1.035
3294,603357.SH,设计总院,建筑施工,4.2987,2.0,2.115,332896.7009,4.274
3293,603356.SH,华菱精工,机械基件,4.7159,2.0,1.541,54344.2,3.099
3280,603328.SH,依顿电子,元器件,0.5368,2.0,1.017,946718.0779,2.032
2909,600970.SH,中材国际,建筑施工,0.4912,2.0,0.096,993595.126,0.175
2783,600784.SH,鲁银投资,普钢,0.9114,2.0,3.246,321588.6608,6.591
2878,600890.SH,中房股份,区域地产,0.397,2.0,1.808,543864.0346,3.642
2813,600819.SH,耀皮玻璃,玻璃,0.1953,2.0,0.227,331105.3177,0.453
860,002398.SZ,建研集团,其他建材,0.4546,2.0,0.406,260613.7234,0.813
1281,002830.SZ,名雕股份,装修装饰,3.7633,2.0,1.05,67449.12,2.111
1287,002837.SZ,英维克,专用机械,6.9718,2.0,3.251,112001.0526,6.571
1297,002848.SZ,高斯贝尔,通信设备,38.2524,2.0,6.39,106228.5882,13.06
1333,002886.SZ,沃特股份,塑料,12.0214,2.0,3.442,91032.5389,6.997
1337,002890.SZ,弘宇股份,农用机械,4.4429,2.0,3.536,98220.5131,7.113
858,002396.SZ,星网锐捷,通信设备,1.5285,2.0,2.462,976869.5542,4.983
1343,002897.SZ,意华股份,元器件,22.8497,2.0,5.796,133232.7631,11.751
1348,002902.SZ,铭普光磁,元器件,21.4651,2.0,8.858,170930.375,18.487
1350,002905.SZ,金逸影视,影视音像,3.1176,2.0,0.964,92400.0,1.927
1357,002912.SZ,中新赛克,软件服务,1.476,2.0,0.521,416321.88,1.044
821,002359.SZ,北讯集团,通信设备,3.1846,2.0,1.088,629471.7532,2.184
2174,600070.SH,浙江富润,纺织,1.3901,2.0,1.553,290297.5921,2.991
813,002351.SZ,漫步者,电脑设备,1.9086,2.0,-1.047,175657.314,-2.167
2180,600076.SH,康欣新材,其他建材,3.5092,2.0,3.682,490241.1971,7.483
1276,002825.SZ,纳尔股份,化工原料,6.3184,2.0,1.608,66705.1648,3.099
1266,002815.SZ,崇达技术,元器件,0.9365,2.0,0.841,319176.139,1.664
1222,002767.SZ,先锋电子,电器仪表,0.975,2.0,0.297,167527.7963,0.594
1075,002614.SZ,奥佳华,医疗保健,0.7549,2.0,2.241,557502.9475,4.532
1037,002576.SZ,通达动力,电气设备,3.0907,2.0,2.992,151826.3376,6.061
986,002524.SZ,光正集团,供气供热,3.2541,2.0,0.028,255533.0495,0.0
985,002523.SZ,天桥起重,工程机械,0.2226,2.0,0.346,414514.9934,0.656
953,002491.SZ,通鼎互联,通信设备,1.6049,2.0,1.372,972382.2649,2.733
920,002458.SZ,益生股份,农业综合,4.5575,2.0,2.214,287950.6267,4.404
910,002448.SZ,中原内配,汽车配件,0.7623,2.0,0.462,274565.3046,0.865
1077,002616.SZ,长青集团,环境保护,0.6578,2.0,1.638,317450.2674,3.288
1219,002763.SZ,汇洁股份,服饰,0.7576,2.0,1.743,161000.4292,3.505
1104,002643.SZ,万润股份,化工原料,0.511,2.0,1.529,880531.3822,3.027
1151,002690.SZ,美亚光电,专用机械,0.9683,2.0,1.612,718960.3687,3.244
1152,002691.SZ,冀凯股份,专用机械,3.9417,2.0,2.69,245840.3225,4.92
1161,002700.SZ,新疆浩源,供气供热,3.7471,2.0,-0.027,378262.103,-0.083
908,002446.SZ,盛路通信,通信设备,11.4031,2.0,4.662,283384.8398,9.462
1193,002735.SZ,王子新材,塑料,2.6602,2.0,2.662,100718.035,5.383
2191,600088.SH,中视传媒,影视音像,0.2321,2.0,0.468,344413.7424,0.932
2211,600110.SH,诺德股份,电气设备,0.8295,2.0,0.262,500385.7622,0.462
2221,600120.SH,浙江东方,商贸代理,0.621,2.0,1.125,921197.3231,2.214
619,002156.SZ,通富微电,半导体,2.4631,2.0,3.016,809061.6344,6.122
654,002191.SZ,劲嘉股份,广告包装,1.2781,2.0,1.614,993429.0619,3.248
2625,600611.SH,大众交通,公共交通,0.2294,2.0,-0.248,622199.9129,-0.5
634,002171.SZ,楚江新材,铜,0.6709,2.0,1.695,549716.2873,3.282
2700,600696.SH,ST岩石,区域地产,0.6242,2.0,1.027,152232.8009,2.055
2717,600715.SH,文投控股,影视音像,1.0855,2.0,2.244,739698.9696,4.537
2726,600724.SH,宁波富达,区域地产,0.2138,2.0,1.6,488390.6204,3.049
2742,600740.SH,山西焦化,焦炭加工,2.9198,2.0,1.023,601001.9736,2.007
2529,600502.SH,安徽水利,建筑施工,1.1298,2.0,1.45,358827.6291,2.872
2774,600775.SH,南京熊猫,通信设备,3.3918,2.0,5.277,405790.4715,10.826
2775,600776.SH,东方通信,通信设备,9.62,2.0,10.049,669200.0448,21.107
2776,600777.SH,新潮能源,综合类,0.6058,2.0,0.653,758202.8825,1.31
579,002116.SZ,中国海诚,建筑施工,0.6322,2.0,1.435,310581.5343,2.889
1017,002556.SZ,辉隆股份,其他商业,2.1094,2.0,3.382,358708.2973,6.875
571,002108.SZ,沧州明珠,塑料,1.9027,2.0,0.32,676349.8429,0.633
2566,600546.SH,山煤国际,煤炭开采,0.5688,2.0,2.746,727561.4034,5.46
2522,600495.SH,晋西车轴,运输设备,1.0343,2.0,0.566,563016.9529,1.085
2224,600123.SH,兰花科创,煤炭开采,0.4603,2.0,0.231,791683.2,0.435
758,002296.SZ,辉煌科技,通信设备,1.5779,2.0,0.402,179486.7218,0.725
2230,600130.SH,波导股份,通信设备,4.9382,2.0,2.231,303360.0,4.497
805,002343.SZ,慈文传媒,影视音像,2.9094,2.0,2.105,446464.7661,4.224
2262,600169.SH,太原重工,工程机械,0.2366,2.0,0.014,602529.425,0.0
780,002318.SZ,久立特材,特种钢,0.8513,2.0,0.943,531860.1134,1.887
778,002316.SZ,亚联发展,软件服务,2.2442,2.0,1.873,198934.45,3.67
775,002313.SZ,日海智能,通信设备,3.8955,2.0,6.248,683280.0,12.887
2380,600305.SH,恒顺醋业,食品,0.9231,2.0,0.578,773373.1278,1.127
2520,600491.SH,龙元建设,建筑施工,0.7862,2.0,1.973,717333.2,3.984
2401,600328.SH,兰太实业,化工原料,0.6321,2.0,0.629,321514.8076,1.241
2450,600387.SH,海越能源,石油贸易,0.9122,2.0,0.0,351767.52,0.0
2464,600403.SH,大有能源,煤炭开采,0.0414,2.0,-0.13,906117.9004,-0.263
2467,600408.SH,*ST安泰,焦炭加工,0.5575,2.0,0.548,281904.0,1.083
697,002234.SZ,民和股份,农业综合,4.604,2.0,1.012,232061.2704,2.017
2502,600468.SH,百利电气,电气设备,0.5947,2.0,0.966,431951.1521,1.883
1368,002925.SZ,盈趣科技,元器件,3.0767,2.0,0.616,355959.5,1.233
