,ts_code,symbol,name,industry,COL_CHG,COL_ACCUMULATE_ODDS,COL_CIRC_MV
41,300096.SZ,300096,易联众,软件服务,54.13929040735874,36.76988999999998,44.16
42,600200.SH,600200,江苏吴中,化学制药,1.2499999999999956,36.42137000000001,57.7
43,600577.SH,600577,精达股份,电气设备,14.90683229813663,36.205380000000005,106.64
44,002316.SZ,002316,亚联发展,软件服务,14.197530864197528,35.61227,16.28
45,300582.SZ,300582,英飞特,半导体,40.7142857142857,35.59372,40.23
46,300568.SZ,300568,星源材质,化工原料,17.24230254350736,34.234280000000005,168.27
47,300453.SZ,300453,三鑫医疗,医疗保健,13.464447806354007,34.212180000000004,40.2
48,002407.SZ,002407,多氟多,化工原料,29.834477190149357,34.130040000000015,189.17
49,002497.SZ,002497,雅化集团,化工原料,11.82986264953476,33.57793,236.04
50,600085.SH,600085,同仁堂,中成药,11.588103254769933,33.49500000000001,545.43
51,603987.SH,603987,康德莱,医疗保健,22.827496757457855,33.39905999999999,124.42
52,300035.SZ,300035,中科电气,电气设备,35.52833078101072,33.323339999999995,93.46
53,300015.SZ,300015,爱尔眼科,医疗保健,7.995452823039018,33.25826999999999,2936.47
54,600112.SH,600112,*ST天成,电气设备,55.10204081632652,33.00607,11.61
55,600091.SH,600091,*ST明科,化工原料,18.42105263157896,32.950669999999995,11.81
56,600725.SH,600725,云维股份,焦炭加工,24.47257383966246,32.60396000000001,36.36
57,000993.SZ,000993,闽东电力,水力发电,21.495327102803728,32.59883000000001,45.73
58,000848.SZ,000848,承德露露,软饮料,21.35224808631815,32.408750000000005,100.0
59,002893.SZ,002893,华通热力,供气供热,8.188153310104518,32.22429999999999,12.82
60,600704.SH,600704,物产中大,商贸代理,54.66926070038911,31.838329999999992,402.44
61,002269.SZ,002269,美邦服饰,服饰,47.20496894409938,31.827410000000015,119.09
62,002862.SZ,002862,实丰文化,文教休闲,8.821292775665391,31.643970000000007,8.82
63,000592.SZ,000592,平潭发展,林业,1.6997167138810276,31.46120999999999,68.71
64,300598.SZ,300598,诚迈科技,软件服务,17.292387627107143,31.436040000000006,95.79
65,603203.SH,603203,快克股份,专用机械,9.442679757435734,31.341379999999976,59.33
66,600696.SH,600696,ST岩石,区域地产,54.896421845574395,31.29866,110.04
67,002418.SZ,002418,*ST康盛,机械基件,22.368421052631593,31.042080000000006,31.69
68,300785.SZ,300785,值得买,互联网,19.52145536298047,30.88133,23.85
69,002536.SZ,002536,飞龙股份,汽车配件,53.54330708661419,30.751130000000007,45.93
70,600480.SH,600480,凌云股份,汽车配件,5.807086614173218,30.697660000000017,82.07
71,300207.SZ,300207,欣旺达,元器件,17.895962732919244,30.08535,427.22
72,000929.SZ,000929,兰州黄河,啤酒,15.4669260700389,29.971219999999995,22.05
73,603567.SH,603567,珍宝岛,中成药,11.461988304093552,29.564589999999995,161.85
74,300671.SZ,300671,富满电子,半导体,16.939431526002302,29.51903,119.22
75,300384.SZ,300384,三联虹普,纺织机械,11.297798377752022,29.211090000000006,42.45
76,002603.SZ,002603,以岭药业,中成药,6.41025641025641,29.21028000000001,288.53
77,002015.SZ,002015,协鑫能科,新型电力,8.522114347357078,29.004650000000012,40.31
78,300588.SZ,300588,熙菱信息,软件服务,4.274353876739556,28.56333,11.01
79,600579.SH,600579,克劳斯,化工机械,27.701375245579563,28.475080000000016,26.62
80,002617.SZ,002617,露笑科技,电气设备,33.790523690773085,28.39165000000001,128.6
81,300790.SZ,300790,宇瞳光学,电器仪表,0.9246575342465757,28.23475,31.79
82,600096.SH,600096,云天化,农药化肥,16.299559471365654,27.980569999999997,143.74
83,300119.SZ,300119,瑞普生物,农业综合,13.563285589009055,27.91138999999999,98.03
84,300077.SZ,300077,国民技术,半导体,55.35211267605633,27.887140000000006,60.12
85,300733.SZ,300733,西菱动力,汽车配件,14.826021180030269,27.79778,27.07
86,002030.SZ,002030,达安基因,生物制药,9.655507035419708,27.68367,309.88
87,002646.SZ,002646,青青稞酒,白酒,33.04061470911086,27.671340000000008,109.06
88,600103.SH,600103,青山纸业,造纸,8.467741935483875,27.45421000000001,62.03
89,600221.SH,600221,*ST海航,空运,33.8888888888889,27.4049,396.11
90,002511.SZ,002511,中顺洁柔,造纸,8.163265306122458,27.282919999999983,440.37
91,603906.SH,603906,龙蟠科技,化工原料,16.49789029535864,27.153270000000003,133.11
92,002291.SZ,002291,星期六,服饰,5.598455598455598,27.109119999999994,134.49
93,002460.SZ,002460,赣锋锂业,小金属,10.58864507140369,26.974209999999996,1091.51
94,002824.SZ,002824,和胜股份,铝,27.518620148961183,26.757489999999994,34.98
95,300215.SZ,300215,电科院,电气设备,12.22651222651223,26.63841000000001,48.85
96,600141.SH,600141,兴发集团,化工原料,14.035087719298245,26.49837,170.63
97,600137.SH,600137,浪莎股份,服饰,24.236517218973354,26.359470000000005,18.59
98,600809.SH,600809,山西汾酒,白酒,6.383314543404728,26.350090000000005,4095.82
99,600151.SH,600151,航天机电,汽车配件,8.324084350721428,26.07015,139.98
