,ts_code,symbol,name,industry,COL_EIGEN_SLOPE_0,COL_EIGEN_SLOPE_1,COL_EIGEN_SLOPE_DIFF
2206,600088.SH,600088,中视传媒,影视音像,10.35,7.21,3.14
1293,002845.SZ,002845,同兴达,元器件,8.15,5.02,3.13
356,000860.SZ,000860,顺鑫农业,白酒,4.98,1.88,3.1
3325,603366.SH,603366,日出东方,家用电器,6.07,2.99,3.08
572,002110.SZ,002110,三钢闽光,普钢,3.73,0.66,3.07
2103,300725.SZ,300725,药石科技,化工原料,6.65,3.58,3.07
1822,300435.SZ,300435,中泰股份,机械基件,5.7,2.69,3.01
2367,600273.SH,600273,嘉化能源,化工原料,6.84,3.95,2.89
2413,600326.SH,600326,西藏天路,建筑施工,4.61,1.73,2.88
831,002370.SZ,002370,亚太药业,化学制药,4.1,1.23,2.87
2507,600456.SH,600456,宝钛股份,小金属,4.53,1.68,2.85
1188,002731.SZ,002731,萃华珠宝,服饰,4.62,1.79,2.83
252,000703.SZ,000703,恒逸石化,化纤,4.33,1.5,2.83
2105,300727.SZ,300727,润禾材料,化工原料,3.93,1.14,2.79
3328,603369.SH,603369,今世缘,白酒,5.8,3.01,2.79
447,000985.SZ,000985,大庆华科,化工原料,4.18,1.41,2.77
2648,600620.SH,600620,天宸股份,综合类,4.67,1.91,2.76
341,000830.SZ,000830,鲁西化工,农药化肥,4.45,1.72,2.73
2356,600259.SH,600259,广晟有色,小金属,4.05,1.32,2.73
2409,600321.SH,600321,*ST正源,其他建材,5.95,3.24,2.71
333,000820.SZ,000820,神雾节能,环境保护,7.57,4.89,2.68
628,002166.SZ,002166,莱茵生物,中成药,4.07,1.4,2.67
506,002044.SZ,002044,美年健康,医疗保健,4.14,1.52,2.62
2391,600301.SH,600301,ST南化,化工原料,4.14,1.53,2.61
2629,600600.SH,600600,青岛啤酒,啤酒,2.95,0.38,2.57
1330,002884.SZ,002884,凌霄泵业,专用机械,4.2,1.66,2.54
1437,300046.SZ,300046,台基股份,半导体,5.5,2.97,2.53
904,002443.SZ,002443,金洲管道,钢加工,4.48,1.97,2.51
49,000065.SZ,000065,北方国际,建筑施工,4.35,1.84,2.51
2816,600807.SH,600807,*ST天业,区域地产,3.87,1.36,2.51
3390,603589.SH,603589,口子窖,白酒,4.9,2.41,2.49
110,000514.SZ,000514,渝开发,区域地产,3.98,1.49,2.49
1093,002633.SZ,002633,申科股份,机械基件,4.83,2.4,2.43
1796,300409.SZ,300409,道氏技术,陶瓷,4.51,2.1,2.41
2260,600150.SH,600150,*ST船舶,船舶,4.32,1.91,2.41
3169,603036.SH,603036,如通股份,专用机械,4.82,2.46,2.36
2498,600436.SH,600436,片仔癀,中成药,3.15,0.8,2.35
1255,002803.SZ,002803,吉宏股份,广告包装,3.53,1.25,2.28
2874,600871.SH,600871,*ST油服,石油开采,3.17,0.9,2.27
2813,600803.SH,600803,新奥股份,农药化肥,3.44,1.18,2.26
2169,600048.SH,600048,保利地产,全国地产,3.6,1.35,2.25
3426,603658.SH,603658,安图生物,医疗保健,3.48,1.23,2.25
78,000407.SZ,000407,胜利股份,供气供热,3.65,1.43,2.22
1543,300153.SZ,300153,科泰电源,电气设备,7.5,5.32,2.18
2034,300654.SZ,300654,世纪天鸿,出版业,5.64,3.49,2.15
3197,603088.SH,603088,宁波精达,专用机械,4.02,1.88,2.14
262,000716.SZ,000716,黑芝麻,食品,5.14,3.01,2.13
975,002514.SZ,002514,宝馨科技,机械基件,5.43,3.33,2.1
1482,300092.SZ,300092,科新机电,专用机械,4.14,2.05,2.09
984,002523.SZ,002523,天桥起重,工程机械,3.69,1.63,2.06
3031,601339.SH,601339,百隆东方,纺织,3.81,1.77,2.04
1151,002691.SZ,002691,冀凯股份,专用机械,4.06,2.02,2.04
3126,601975.SH,601975,ST长油,水运,3.66,1.62,2.04
1546,300156.SZ,300156,神雾环保,环境保护,4.47,2.45,2.02
3125,601969.SH,601969,海南矿业,普钢,5.23,3.22,2.01
3411,603619.SH,603619,中曼石油,石油开采,3.99,2.01,1.98
706,002244.SZ,002244,滨江集团,区域地产,3.33,1.35,1.98
922,002461.SZ,002461,珠江啤酒,啤酒,4.27,2.29,1.98
2924,600970.SH,600970,中材国际,建筑施工,4.18,2.21,1.97
1113,002653.SZ,002653,海思科,化学制药,3.14,1.17,1.97
3096,601865.SH,601865,福莱特,玻璃,10.38,8.42,1.96
2865,600862.SH,600862,中航高科,航空,7.35,5.4,1.95
2398,600309.SH,600309,万华化学,化工原料,3.03,1.09,1.94
472,002010.SZ,002010,传化智联,仓储物流,3.04,1.14,1.9
149,000560.SZ,000560,我爱我家,房产服务,4.1,2.22,1.88
1155,002695.SZ,002695,煌上煌,食品,3.97,2.1,1.87
933,002472.SZ,002472,双环传动,机械基件,3.82,1.95,1.87
70,000301.SZ,000301,东方盛虹,综合类,3.32,1.45,1.87
1582,300193.SZ,300193,佳士科技,专用机械,3.41,1.6,1.81
3234,603167.SH,603167,渤海轮渡,水运,3.14,1.33,1.81
267,000721.SZ,000721,西安饮食,酒店餐饮,4.7,2.9,1.8
3330,603378.SH,603378,亚士创能,染料涂料,2.97,1.18,1.79
1274,002824.SZ,002824,和胜股份,铝,3.14,1.35,1.79
3220,603129.SH,603129,春风动力,摩托车,4.04,2.26,1.78
2267,600158.SH,600158,中体产业,文教休闲,3.87,2.09,1.78
269,000723.SZ,000723,美锦能源,焦炭加工,4.76,3.0,1.76
1588,300199.SZ,300199,翰宇药业,化学制药,3.77,2.02,1.75
2818,600809.SH,600809,山西汾酒,白酒,4.62,2.88,1.74
1266,002816.SZ,002816,和科达,专用机械,3.95,2.21,1.74
2355,600258.SH,600258,首旅酒店,酒店餐饮,4.33,2.6,1.73
2433,600352.SH,600352,浙江龙盛,染料涂料,2.6,0.87,1.73
3515,603843.SH,603843,正平股份,建筑施工,2.89,1.18,1.71
1580,300191.SZ,300191,潜能恒信,石油开采,4.09,2.39,1.7
2080,300700.SZ,300700,岱勒新材,矿物制品,3.67,1.97,1.7
1250,002798.SZ,002798,帝欧家居,家居用品,5.0,3.3,1.7
727,002266.SZ,002266,浙富控股,电气设备,3.63,1.94,1.69
2394,600305.SH,600305,恒顺醋业,食品,3.04,1.35,1.69
663,002201.SZ,002201,九鼎新材,玻璃,2.9,1.24,1.66
3356,603505.SH,603505,金石资源,矿物制品,4.77,3.11,1.66
1135,002675.SZ,002675,东诚药业,化学制药,3.17,1.52,1.65
2302,600197.SH,600197,伊力特,白酒,3.26,1.62,1.64
954,002493.SZ,002493,荣盛石化,化纤,4.85,3.21,1.64
2878,600875.SH,600875,东方电气,电气设备,4.43,2.79,1.64
851,002390.SZ,002390,信邦制药,中成药,3.24,1.63,1.61
664,002202.SZ,002202,金风科技,电气设备,5.83,4.22,1.61
1192,002735.SZ,002735,王子新材,塑料,3.68,2.07,1.61
1721,300332.SZ,300332,天壕环境,环境保护,6.34,4.74,1.6
2952,601003.SH,601003,柳钢股份,普钢,2.41,0.83,1.58
1904,300517.SZ,300517,海波重科,建筑施工,3.14,1.57,1.57
294,000762.SZ,000762,西藏矿业,小金属,3.08,1.53,1.55
1144,002684.SZ,002684,猛狮科技,电气设备,3.85,2.31,1.54
746,002285.SZ,002285,世联行,房产服务,3.63,2.09,1.54
2419,600332.SH,600332,白云山,中成药,2.31,0.78,1.53
3251,603198.SH,603198,迎驾贡酒,白酒,2.23,0.71,1.52
1025,002565.SZ,002565,顺灏股份,造纸,6.91,5.39,1.52
749,002288.SZ,002288,超华科技,元器件,4.21,2.69,1.52
66,000157.SZ,000157,中联重科,工程机械,4.79,3.31,1.48
1953,300569.SZ,300569,天能重工,专用机械,4.61,3.14,1.47
2265,600156.SH,600156,华升股份,纺织,5.85,4.38,1.47
344,000835.SZ,000835,长城动漫,影视音像,3.83,2.38,1.45
3435,603669.SH,603669,灵康药业,化学制药,4.09,2.64,1.45
3482,603776.SH,603776,永安行,公共交通,2.34,0.92,1.42
428,000962.SZ,000962,东方钽业,小金属,3.01,1.59,1.42
1815,300428.SZ,300428,四通新材,铝,2.83,1.41,1.42
3272,603260.SH,603260,合盛硅业,化工原料,3.54,2.12,1.42
591,002129.SZ,002129,中环股份,半导体,3.45,2.04,1.41
322,000806.SZ,000806,银河生物,生物制药,5.36,3.96,1.4
306,000786.SZ,000786,北新建材,其他建材,3.4,2.03,1.37
3161,603027.SH,603027,千禾味业,食品,3.0,1.64,1.36
3286,603301.SH,603301,振德医疗,医疗保健,2.94,1.58,1.36
1282,002832.SZ,002832,比音勒芬,服饰,4.4,3.06,1.34
1164,002705.SZ,002705,新宝股份,家用电器,3.57,2.23,1.34
2909,600928.SH,600928,西安银行,银行,6.54,5.2,1.34
3492,603799.SH,603799,华友钴业,小金属,2.69,1.35,1.34
2594,600562.SH,600562,国睿科技,通信设备,3.51,2.18,1.33
833,002372.SZ,002372,伟星新材,其他建材,1.97,0.65,1.32
3164,603030.SH,603030,全筑股份,装修装饰,4.56,3.27,1.29
1361,002918.SZ,002918,蒙娜丽莎,其他建材,2.74,1.46,1.28
2719,600702.SH,600702,舍得酒业,白酒,2.51,1.23,1.28
779,002318.SZ,002318,久立特材,特种钢,4.99,3.72,1.27
3326,603367.SH,603367,辰欣药业,化学制药,3.25,1.99,1.26
3033,601366.SH,601366,利群股份,百货,2.88,1.62,1.26
2173,600053.SH,600053,九鼎投资,多元金融,4.39,3.14,1.25
3183,603060.SH,603060,国检集团,建筑施工,2.43,1.18,1.25
3287,603303.SH,603303,得邦照明,家用电器,2.79,1.54,1.25
330,000816.SZ,000816,*ST慧业,农用机械,2.58,1.34,1.24
589,002127.SZ,002127,南极电商,互联网,2.68,1.45,1.23
3523,603866.SH,603866,桃李面包,食品,2.59,1.37,1.22
818,002357.SZ,002357,富临运业,公路,3.58,2.36,1.22
2017,300636.SZ,300636,同和药业,化学制药,4.57,3.35,1.22
1160,002700.SZ,002700,新疆浩源,供气供热,4.28,3.07,1.21
1089,002629.SZ,002629,仁智股份,石油开采,3.34,2.13,1.21
2795,600782.SH,600782,新钢股份,普钢,2.05,0.84,1.21
2353,600256.SH,600256,广汇能源,石油开采,2.08,0.88,1.2
2982,601111.SH,601111,中国国航,空运,2.39,1.19,1.2
654,002192.SZ,002192,融捷股份,专用机械,3.08,1.91,1.17
1283,002833.SZ,002833,弘亚数控,专用机械,2.56,1.4,1.16
288,000756.SZ,000756,新华制药,化学制药,3.52,2.36,1.16
314,000796.SZ,000796,凯撒旅游,旅游服务,3.18,2.03,1.15
1909,300522.SZ,300522,世名科技,染料涂料,2.25,1.1,1.15
638,002176.SZ,002176,江特电机,电气设备,3.95,2.81,1.14
92,000423.SZ,000423,东阿阿胶,中成药,2.28,1.14,1.14
2847,600841.SH,600841,上柴股份,机械基件,4.19,3.05,1.14
2299,600193.SH,600193,*ST创兴,装修装饰,4.13,3.0,1.13
57,000090.SZ,000090,天健集团,建筑施工,2.22,1.1,1.12
2461,600383.SH,600383,金地集团,全国地产,2.95,1.83,1.12
3400,603605.SH,603605,珀莱雅,日用化工,5.17,4.05,1.12
3277,603278.SH,603278,大业股份,钢加工,2.18,1.07,1.11
569,002107.SZ,002107,沃华医药,中成药,3.14,2.04,1.1
1038,002578.SZ,002578,闽发铝业,铝,2.64,1.54,1.1
3072,601678.SH,601678,滨化股份,化工原料,3.97,2.87,1.1
3573,603966.SH,603966,法兰泰克,机械基件,4.52,3.43,1.09
1299,002851.SZ,002851,麦格米特,电气设备,4.37,3.29,1.08
2774,600759.SH,600759,洲际油气,石油开采,4.07,2.99,1.08
2600,600569.SH,600569,安阳钢铁,普钢,1.9,0.84,1.06
2961,601015.SH,601015,陕西黑猫,焦炭加工,1.67,0.61,1.06
1761,300374.SZ,300374,恒通科技,其他建材,4.45,3.4,1.05
429,000963.SZ,000963,华东医药,化学制药,2.76,1.71,1.05
2314,600211.SH,600211,西藏药业,中成药,4.9,3.85,1.05
2543,600502.SH,600502,安徽水利,建筑施工,2.58,1.55,1.03
3006,601200.SH,601200,上海环境,环境保护,2.97,1.94,1.03
26,000032.SZ,000032,深桑达A,元器件,4.1,3.07,1.03
3308,603333.SH,603333,尚纬股份,电气设备,2.84,1.82,1.02
2723,600706.SH,600706,曲江文旅,旅游服务,3.59,2.58,1.01
3553,603916.SH,603916,苏博特,化工原料,2.01,1.01,1.0
1574,300184.SZ,300184,力源信息,元器件,4.72,3.73,0.99
2426,600340.SH,600340,华夏幸福,区域地产,2.76,1.77,0.99
991,002531.SZ,002531,天顺风能,电气设备,5.02,4.03,0.99
735,002274.SZ,002274,华昌化工,农药化肥,2.72,1.73,0.99
3174,603041.SH,603041,美思德,化工原料,2.93,1.95,0.98
1984,300602.SZ,300602,飞荣达,元器件,4.13,3.15,0.98
130,000538.SZ,000538,云南白药,中成药,1.43,0.46,0.97
178,000600.SZ,000600,建投能源,火力发电,3.43,2.47,0.96
2491,600423.SH,600423,*ST柳化,农药化肥,2.12,1.16,0.96
2770,600755.SH,600755,厦门国贸,商贸代理,2.03,1.07,0.96
2513,600463.SH,600463,空港股份,园区开发,5.33,4.38,0.95
401,000923.SZ,000923,河北宣工,铜,2.96,2.02,0.94
3419,603638.SH,603638,艾迪精密,专用机械,2.79,1.86,0.93
1528,300138.SZ,300138,晨光生物,食品,4.8,3.87,0.93
1979,300597.SZ,300597,吉大通信,通信设备,2.11,1.18,0.93
793,002332.SZ,002332,仙琚制药,生物制药,2.5,1.59,0.91
2527,600483.SH,600483,福能股份,火力发电,2.58,1.67,0.91
2794,600781.SH,600781,辅仁药业,中成药,2.05,1.15,0.9
193,000619.SZ,000619,海螺型材,其他建材,2.06,1.16,0.9
2615,600585.SH,600585,海螺水泥,水泥,1.86,0.97,0.89
2870,600867.SH,600867,通化东宝,生物制药,3.49,2.6,0.89
728,002267.SZ,002267,陕天然气,供气供热,2.18,1.29,0.89
3079,601727.SH,601727,上海电气,电气设备,5.31,4.42,0.89
2899,600897.SH,600897,厦门空港,机场,2.04,1.16,0.88
2411,600323.SH,600323,瀚蓝环境,水务,3.14,2.27,0.87
3545,603899.SH,603899,晨光文具,文教休闲,2.08,1.21,0.87
3296,603318.SH,603318,派思股份,专用机械,4.2,3.33,0.87
3461,603716.SH,603716,塞力斯,医药商业,4.62,3.77,0.85
3396,603600.SH,603600,永艺股份,家居用品,2.63,1.8,0.83
1334,002888.SZ,002888,惠威科技,元器件,2.1,1.27,0.83
1541,300151.SZ,300151,昌红科技,机械基件,3.17,2.35,0.82
3445,603689.SH,603689,皖天然气,供气供热,1.83,1.01,0.82
2378,600285.SH,600285,羚锐制药,中成药,3.12,2.3,0.82
3238,603178.SH,603178,圣龙股份,汽车配件,2.98,2.16,0.82
286,000753.SZ,000753,漳州发展,汽车服务,3.06,2.25,0.81
3363,603518.SH,603518,维格娜丝,服饰,1.82,1.01,0.81
1158,002698.SZ,002698,博实股份,化工机械,1.78,0.98,0.8
255,000708.SZ,000708,大冶特钢,特种钢,2.85,2.05,0.8
2463,600386.SH,600386,北巴传媒,公共交通,3.37,2.59,0.78
1211,002756.SZ,002756,永兴特钢,特种钢,2.06,1.28,0.78
2189,600070.SH,600070,浙江富润,纺织,4.2,3.43,0.77
2833,600825.SH,600825,新华传媒,出版业,5.19,4.43,0.76
143,000553.SZ,000553,安道麦A,农药化肥,1.82,1.07,0.75
1872,300485.SZ,300485,赛升药业,生物制药,2.26,1.51,0.75
3240,603180.SH,603180,金牌厨柜,家居用品,4.09,3.34,0.75
1,000002.SZ,000002,万科A,全国地产,1.71,0.97,0.74
739,002278.SZ,002278,神开股份,化工机械,2.2,1.48,0.72
3556,603919.SH,603919,金徽酒,白酒,2.49,1.77,0.72
422,000955.SZ,000955,欣龙控股,纺织,3.82,3.1,0.72
939,002478.SZ,002478,常宝股份,钢加工,3.14,2.43,0.71
3263,603227.SH,603227,雪峰科技,化工原料,2.75,2.04,0.71
1320,002873.SZ,002873,新天药业,中成药,1.78,1.07,0.71
621,002159.SZ,002159,三特索道,旅游服务,3.17,2.47,0.7
1277,002827.SZ,002827,高争民爆,化工原料,3.14,2.44,0.7
186,000610.SZ,000610,西安旅游,旅游服务,5.88,5.18,0.7
608,002146.SZ,002146,荣盛发展,全国地产,3.89,3.2,0.69
144,000554.SZ,000554,泰山石油,石油贸易,6.09,5.4,0.69
3192,603080.SH,603080,新疆火炬,供气供热,3.91,3.22,0.69
2966,601021.SH,601021,春秋航空,空运,1.31,0.63,0.68
3324,603365.SH,603365,水星家纺,纺织,1.89,1.21,0.68
397,000919.SZ,000919,金陵药业,化学制药,3.01,2.33,0.68
2776,600761.SH,600761,安徽合力,工程机械,1.59,0.92,0.67
2625,600596.SH,600596,新安股份,农药化肥,1.79,1.15,0.64
2993,601155.SH,601155,新城控股,区域地产,3.58,2.95,0.63
1579,300190.SZ,300190,维尔利,环境保护,3.3,2.68,0.62
1292,002843.SZ,002843,泰嘉股份,钢加工,2.49,1.87,0.62
1708,300319.SZ,300319,麦捷科技,元器件,2.76,2.15,0.61
2562,600523.SH,600523,贵航股份,汽车配件,2.99,2.41,0.58
121,000528.SZ,000528,柳工,工程机械,2.64,2.06,0.58
233,000679.SZ,000679,大连友谊,百货,2.49,1.91,0.58
2139,600004.SH,600004,白云机场,机场,1.96,1.39,0.57
798,002337.SZ,002337,赛象科技,化工机械,4.65,4.08,0.57
1406,300015.SZ,300015,爱尔眼科,医疗保健,1.82,1.25,0.57
1139,002679.SZ,002679,福建金森,林业,2.91,2.35,0.56
2312,600209.SH,600209,*ST罗顿,综合类,3.01,2.45,0.56
3106,601888.SH,601888,中国国旅,旅游服务,1.51,0.95,0.56
2425,600339.SH,600339,中油工程,石油加工,2.71,2.16,0.55
2558,600519.SH,600519,贵州茅台,白酒,1.54,0.99,0.55
1453,300063.SZ,300063,天龙集团,染料涂料,2.58,2.04,0.54
1862,300475.SZ,300475,聚隆科技,专用机械,2.84,2.3,0.54
2831,600823.SH,600823,世茂股份,全国地产,1.52,0.98,0.54
112,000517.SZ,000517,荣安地产,区域地产,3.67,3.14,0.53
1055,002595.SZ,002595,豪迈科技,专用机械,2.83,2.3,0.53
1791,300404.SZ,300404,博济医药,医疗保健,2.23,1.7,0.53
2552,600512.SH,600512,腾达建设,建筑施工,2.67,2.15,0.52
1554,300164.SZ,300164,通源石油,石油开采,2.35,1.84,0.51
1133,002673.SZ,002673,西部证券,证券,2.69,2.18,0.51
221,000665.SZ,000665,湖北广电,影视音像,4.18,3.7,0.48
3536,603886.SH,603886,元祖股份,食品,2.53,2.05,0.48
3460,603713.SH,603713,密尔克卫,仓储物流,1.86,1.39,0.47
446,000983.SZ,000983,西山煤电,煤炭开采,2.56,2.09,0.47
1260,002809.SZ,002809,红墙股份,化工原料,2.14,1.67,0.47
2272,600163.SH,600163,中闽能源,新型电力,2.36,1.89,0.47
204,000632.SZ,000632,三木集团,综合类,2.33,1.87,0.46
648,002186.SZ,002186,全聚德,酒店餐饮,1.92,1.46,0.46
1256,002805.SZ,002805,丰元股份,化工原料,2.16,1.71,0.45
1536,300146.SZ,300146,汤臣倍健,食品,2.12,1.67,0.45
3329,603377.SH,603377,东方时尚,汽车服务,2.38,1.93,0.45
702,002240.SZ,002240,威华股份,家居用品,2.95,2.5,0.45
520,002058.SZ,002058,威尔泰,电器仪表,3.87,3.43,0.44
770,002309.SZ,002309,中利集团,电气设备,2.31,1.87,0.44
2567,600529.SH,600529,山东药玻,医疗保健,2.83,2.4,0.43
2303,600198.SH,600198,*ST大唐,通信设备,3.9,3.48,0.42
120,000526.SZ,000526,紫光学大,文教休闲,1.96,1.54,0.42
3262,603226.SH,603226,菲林格尔,家居用品,1.88,1.47,0.41
553,002091.SZ,002091,江苏国泰,商贸代理,2.17,1.76,0.41
1179,002722.SZ,002722,金轮股份,纺织机械,1.65,1.25,0.4
1997,300616.SZ,300616,尚品宅配,家居用品,2.27,1.87,0.4
2997,601166.SH,601166,兴业银行,银行,1.04,0.65,0.39
1448,300057.SZ,300057,万顺股份,广告包装,2.61,2.22,0.39
2501,600444.SH,600444,国机通用,塑料,2.02,1.63,0.39
2707,600689.SH,600689,上海三毛,纺织,5.04,4.65,0.39
2839,600831.SH,600831,广电网络,影视音像,8.85,8.46,0.39
544,002082.SZ,002082,万邦德,铝,1.88,1.49,0.39
2247,600132.SH,600132,重庆啤酒,啤酒,1.24,0.86,0.38
1108,002648.SZ,002648,卫星石化,化工原料,3.27,2.89,0.38
1739,300350.SZ,300350,华鹏飞,仓储物流,4.5,4.12,0.38
1358,002915.SZ,002915,中欣氟材,化工原料,2.22,1.84,0.38
2612,600582.SH,600582,天地科技,工程机械,1.75,1.38,0.37
2751,600735.SH,600735,新华锦,商贸代理,2.65,2.28,0.37
2759,600743.SH,600743,华远地产,区域地产,1.17,0.8,0.37
2316,600213.SH,600213,亚星客车,汽车整车,1.85,1.48,0.37
2819,600810.SH,600810,神马股份,化纤,2.43,2.07,0.36
37,000046.SZ,000046,泛海控股,全国地产,2.01,1.65,0.36
2179,600059.SH,600059,古越龙山,红黄药酒,1.5,1.14,0.36
1527,300137.SZ,300137,先河环保,环境保护,2.34,1.99,0.35
29,000036.SZ,000036,华联控股,全国地产,3.87,3.53,0.34
1412,300021.SZ,300021,大禹节水,农业综合,1.47,1.13,0.34
968,002507.SZ,002507,涪陵榨菜,食品,1.49,1.15,0.34
2939,600987.SH,600987,航民股份,纺织,2.14,1.8,0.34
3058,601607.SH,601607,上海医药,医药商业,3.59,3.27,0.32
162,000581.SZ,000581,威孚高科,汽车配件,1.94,1.62,0.32
268,000722.SZ,000722,湖南发展,水力发电,4.26,3.95,0.31
2547,600507.SH,600507,方大特钢,特种钢,1.41,1.1,0.31
1400,300009.SZ,300009,安科生物,生物制药,2.07,1.76,0.31
918,002457.SZ,002457,青龙管业,塑料,2.22,1.92,0.3
3524,603868.SH,603868,飞科电器,家用电器,0.88,0.58,0.3
561,002099.SZ,002099,海翔药业,化学制药,2.71,2.41,0.3
1351,002907.SZ,002907,华森制药,化学制药,2.3,2.0,0.3
644,002182.SZ,002182,云海金属,小金属,2.71,2.41,0.3
2778,600764.SH,600764,中国海防,通信设备,3.82,3.53,0.29
832,002371.SZ,002371,北方华创,专用机械,4.11,3.82,0.29
