,ts_code,symbol,name,industry,COL_LASTPRICE,COL_PCT_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
13,002108.SZ,002108,沧州明珠,塑料,4.58,10.0962,64.94,"中央汇金资产管理有限责任公司
深圳福星资本管理有限公司-福星高照1号私募投资基金
云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划",3.0
14,300444.SZ,300444,双杰电气,电气设备,4.59,10.0719,14.63,,0.0
15,600939.SH,600939,重庆建工,建筑工程,4.7,10.0703,85.28,"中国华融资产管理股份有限公司
重庆鑫根股权投资基金管理中心(有限合伙)
重庆市江北嘴中央商务区投资集团有限公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
上海浦东发展银行股份有限公司-景顺长城中证500行业中性低波动指数型证券投资基金",5.0
16,300022.SZ,300022,吉峰科技,农用机械,5.02,10.0877,17.21,成都力鼎银科股权投资基金中心(有限合伙),1.0
17,600313.SH,600313,农发种业,种植业,5.02,10.0877,51.17,现代种业发展基金有限公司,1.0
18,300021.SZ,300021,大禹节水,农业综合,5.16,10.0213,33.46,中信建投基金-广发银行-方信1号资产管理计划,1.0
19,600078.SH,600078,澄星股份,化工原料,5.29,9.9792,35.05,,0.0
20,002565.SZ,002565,顺灏股份,造纸,5.42,9.9391,57.2,中央汇金资产管理有限责任公司,1.0
21,300189.SZ,300189,神农科技,种植业,5.68,10.0775,54.7,湖南省财信产业基金管理有限公司,1.0
22,002506.SZ,002506,协鑫集成,电气设备,5.73,9.9808,290.74,"长城(德阳)超日项目基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
天津融境股权投资基金中心(有限合伙)",3.0
23,300278.SZ,300278,华昌达,专用机械,5.82,10.0189,17.57,"陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划
厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托",2.0
24,300312.SZ,300312,邦讯技术,通信设备,6.04,10.0182,12.17,基本养老保险基金一三零一组合,1.0
25,002328.SZ,002328,新朋股份,汽车配件,6.46,10.0511,35.56,中央汇金资产管理有限责任公司,1.0
26,000523.SZ,000523,广州浪奇,日用化工,6.74,9.9511,42.26,,0.0
27,000886.SZ,000886,海南高速,路桥,6.75,9.9349,65.61,华润深国投信托有限公司-华润信托·昀沣9号集合资金信托计划,1.0
28,002659.SZ,002659,凯文教育,文教休闲,6.91,10.0318,34.45,"上海通怡投资管理有限公司-通怡金陵1号私募基金
华轩(上海)股权投资基金有限公司",2.0
29,600151.SH,600151,航天机电,汽车配件,7.49,9.9853,107.43,"中央汇金资产管理有限责任公司
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金",3.0
30,603009.SH,603009,北特科技,汽车配件,7.49,9.9853,24.57,海通期货-文登市森鹿制革有限公司-支持民企发展系列之海通期货6号单一资产管理计划,1.0
31,601086.SH,601086,国芳集团,百货,7.6,9.9855,12.62,,0.0
32,002173.SZ,002173,创新医疗,医疗保健,7.69,10.0143,28.52,,0.0
33,002748.SZ,002748,世龙实业,化工原料,8.65,10.0509,20.76,中央汇金资产管理有限责任公司,1.0
34,002585.SZ,002585,双星新材,塑料,8.88,10.0372,78.13,"中央汇金资产管理有限责任公司
鹏华基金-招商银行-中山证券有限责任公司
皓熙股权投资管理(上海)有限公司-南京高科皓熙定增私募证券投资基金",3.0
35,000798.SZ,000798,中水渔业,渔业,9.09,10.0484,29.03,,0.0
36,300509.SZ,300509,新美星,专用机械,9.13,10.0,15.21,深圳赞道资本管理有限公司-赞道杰出成长6号私募证券投资基金,1.0
37,000505.SZ,000505,京粮控股,食品,9.67,10.0114,39.27,"鑫牛润瀛(天津)股权投资基金管理有限公司-鑫牛润瀛(天津)股权投资基金合伙企业(有限合伙)
招商基金-国新投资有限公司-招商基金-国新1号单一资产管理计划",2.0
38,002651.SZ,002651,利君股份,专用机械,9.88,10.0223,52.08,领航投资澳洲有限公司-领航新兴市场股指基金(交易所),1.0
39,600615.SH,600615,丰华股份,小金属,10.11,10.0109,18.97,"重庆国际信托股份有限公司-鸿睿一号集合资金信托计划
重庆国际信托股份有限公司-兴国1号集合资金信托计划",2.0
40,002797.SZ,002797,第一创业,证券,11.2,10.0196,392.27,"全国社保基金四一二组合
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金",4.0
41,300222.SZ,300222,科大智能,电气设备,11.4,10.0386,61.96,,0.0
42,600742.SH,600742,一汽富维,汽车配件,12.0,9.9908,79.19,"平安银行股份有限公司-中庚价值灵动灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一零一组合",3.0
43,002066.SZ,002066,瑞泰科技,其他建材,12.23,9.982,28.25,中央汇金资产管理有限责任公司,1.0
44,002009.SZ,002009,天奇股份,工程机械,12.29,10.0269,45.54,"云南国际信托有限公司-云南信托-招信智赢19号集合资金信托计划
创金合信基金-包商银行-华润深国投信托-天奇持股计划1期集合资金信托计划",2.0
45,300435.SZ,300435,中泰股份,机械基件,12.32,10.0,27.92,,0.0
46,603017.SH,603017,中衡设计,建筑工程,12.49,10.0441,34.09,,0.0
47,000070.SZ,000070,特发信息,通信设备,13.26,10.0415,105.45,"长城证券-兴业银行-长城特发智想1号集合资产管理计划
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金",2.0
48,603056.SH,603056,德邦股份,仓储物流,13.94,10.0237,30.34,"中金佳泰(天津)股权投资基金合伙企业(有限合伙)
上海国和现代服务业股权投资基金合伙企业(有限合伙)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国建设银行股份有限公司-东方红恒元五年定期开放灵活配置混合型证券投资基金
天津瑞荣股权投资基金合伙企业(有限合伙)",5.0
49,300120.SZ,300120,经纬辉开,元器件,14.09,9.9922,33.38,"中央汇金资产管理有限责任公司
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划",11.0
50,600071.SH,600071,凤凰光学,元器件,14.19,10.0,33.7,中铁宝盈资产-招商银行-外贸信托-昀沣3号证券投资集合资金信托计划,1.0
51,601456.SH,601456,国联证券,证券,14.42,9.9924,68.6,,0.0
52,600127.SH,600127,金健米业,农业综合,14.52,10.0,93.19,湖南发展资产管理集团有限公司,1.0
53,603167.SH,603167,渤海轮渡,水运,14.53,9.9924,67.66,"中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国工商银行股份有限公司-兴业上证红利低波动交易型开放式指数证券投资基金",3.0
54,601952.SH,601952,苏垦农发,种植业,14.93,10.0221,205.74,"平安信托有限责任公司-投资精英之淡水泉
淡水泉(北京)投资管理有限公司-淡水泉成长7期私募基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-南方品质优选灵活配置混合型证券投资基金
平安信托有限责任公司-平安财富.淡水泉成长一期集合资金信托
中国对外经济贸易信托有限公司-淡水泉精选1期
淡水泉(北京)投资管理有限公司-淡水泉成长基金1期
中国对外经济贸易信托有限公司-外贸信托-淡水泉精选3期私募证券投资基金
广发证券股份有限公司-大成睿景灵活配置混合型证券投资基金",9.0
55,605366.SH,605366,N宏柏,化工原料,15.81,10.0209,13.12,,0.0
56,000400.SZ,000400,许继电气,电气设备,16.67,10.033,168.08,"中央汇金资产管理有限责任公司
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
香港中央结算有限公司(陆股通)
中欧基金-农业银行-中欧中证金融资产管理计划
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
博时基金-农业银行-博时中证金融资产管理计划
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金
南方基金-农业银行-南方中证金融资产管理计划",8.0
57,300859.SZ,300859,西域旅游,旅游服务,16.68,10.0264,6.46,,0.0
58,000796.SZ,000796,凯撒旅业,旅游服务,18.32,10.03,147.01,上海金辇投资管理有限公司-金辇精选2号私募证券投资基金,1.0
59,002402.SZ,002402,和而泰,元器件,18.68,10.0118,149.1,"香港中央结算有限公司(陆股通)
全国社保基金四零六组合
中国建设银行股份有限公司-易方达新丝路灵活配置混合型证券投资基金
中国建设银行股份有限公司-易方达创新驱动灵活配置混合型证券投资基金",4.0
60,300600.SZ,300600,瑞特股份,电气设备,19.72,9.9833,40.58,"广发证券股份有限公司-中庚小盘价值股票型证券投资基金
全国社保基金一零二组合
光大永明资管-兴业银行-光大永明资产聚财121号定向资产管理产品
华泰证券股份有限公司-中庚价值领航混合型证券投资基金",4.0
61,300610.SZ,300610,晨化股份,化工原料,20.12,10.0055,22.26,中国比利时直接股权投资基金,1.0
62,002041.SZ,002041,登海种业,种植业,20.13,10.0,177.14,"中央汇金资产管理有限责任公司
嘉实基金-农业银行-嘉实中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划",6.0
63,300087.SZ,300087,荃银高科,种植业,21.45,10.0,84.51,"全国社保基金一一一组合
全国社保基金一一六组合
中国农业银行股份有限公司-大成景阳领先混合型证券投资基金",3.0
64,600976.SH,600976,健民集团,中成药,22.36,9.9852,34.28,"中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
泰康资管-交通银行-泰康资产管理有限责任公司优势精选资产管理产品
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
招商银行股份有限公司-东方红京东大数据灵活配置混合型证券投资基金
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)
深圳市南方鑫泰投资发展有限公司-南方鑫泰-私募学院菁英145号基金",6.0
65,000738.SZ,000738,航发控制,航空,22.99,10.0,263.38,"中央汇金资产管理有限责任公司
中国华融资产管理股份有限公司
中国信达资产管理股份有限公司
中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金",5.0
66,603809.SH,603809,豪能股份,汽车配件,25.96,10.0,29.87,"华宝信托有限责任公司
工银瑞信基金管理有限公司",2.0
67,002919.SZ,002919,名臣健康,日用化工,27.2,9.9879,11.5,,0.0
68,300220.SZ,300220,金运激光,元器件,32.6,9.9865,49.03,"上海胤狮投资管理有限公司-胤狮核心优势3号私募证券投资基金
上海胤狮投资管理有限公司-胤狮15号私募证券投资基金",2.0
69,603995.SH,603995,甬金股份,特种钢,35.21,9.9969,20.31,,0.0
70,600316.SH,600316,洪都航空,航空,37.39,10.0029,268.13,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-富国中证500指数增强型证券投资基金(LOF)",3.0
71,300516.SZ,300516,久之洋,电器仪表,37.4,10.0,67.32,"深圳市君如资产管理顾问有限公司-君如木兰2号私募证券投资基金
深圳市君如资产管理顾问有限公司-君如价值1号私募证券投资基金
深圳市君如资产管理顾问有限公司-君如木兰1号私募证券投资基金
深圳市君如资产管理顾问有限公司-君如木兰3号私募证券投资基金",4.0
72,300857.SZ,300857,协创数据,IT设备,46.22,9.9952,23.87,,0.0
73,688357.SH,688357,建龙微纳,化工原料,62.22,20.0,8.55,银华基金-建设银行-中国人寿-中国人寿委托银华基金公司股票型组合,1.0
74,688278.SH,688278,特宝生物,生物制药,62.78,14.6457,25.22,"上海高毅资产管理合伙企业(有限合伙)-高毅-晓峰1号睿远证券投资基金
中信信托有限责任公司-中信信托锐进43期高毅晓峰投资集合资金信托计划
中国建设银行股份有限公司-南方信息创新混合型证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金",4.0
75,603267.SH,603267,鸿远电子,元器件,65.41,10.0067,103.03,"全国社保基金一零二组合
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-泰康产业升级混合型证券投资基金
宁波金信资产管理中心(有限合伙)-金源私募证券投资基金
中国工商银行股份有限公司-嘉实企业变革股票型证券投资基金",5.0
76,605100.SH,605100,华丰股份,机械基件,68.71,10.0064,14.91,,0.0
77,688196.SH,688196,卓越新能,环境保护,69.96,16.1547,20.44,,0.0
78,002995.SZ,002995,天地在线,互联网,86.34,10.0013,13.96,,0.0
79,300776.SZ,300776,帝尔激光,专用机械,116.27,10.0,52.85,"中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划
中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金
中信信托有限责任公司-中信信托鑫涌成泉金融投资集合资金信托计划
中国农业银行股份有限公司-新华优选分红混合型证券投资基金",4.0
80,002991.SZ,002991,甘源食品,食品,131.6,9.9967,30.67,,0.0
81,002791.SZ,002791,坚朗五金,其他建材,138.17,9.9992,214.78,"全国社保基金四一三组合
广发基金管理有限公司-社保基金四二零组合",2.0
82,688185.SH,688185,康希诺-U,生物制药,393.11,87.4541,89.03,,0.0
