,ts_code,symbol,name,industry,COL_AGGRESSIVE_COUNT_LONG,COL_AGGRESSIVE_COUNT_SHORT,COL_CIRC_MV
60,002091.SZ,002091,江苏国泰,商贸代理,1.0,1.0,172.58
61,002025.SZ,002025,航天电器,元器件,1.0,1.0,249.23
62,603800.SH,603800,道森股份,专用机械,1.0,1.0,25.17
63,000962.SZ,000962,东方钽业,小金属,1.0,1.0,49.06
64,603809.SH,603809,豪能股份,汽车配件,1.0,1.0,43.41
65,000902.SZ,000902,新洋丰,农药化肥,1.0,1.0,200.01
66,000838.SZ,000838,财信发展,区域地产,1.0,1.0,25.72
67,603917.SH,603917,合力科技,汽车配件,1.0,1.0,16.84
68,603959.SH,603959,百利科技,建筑工程,1.0,1.0,56.53
69,000550.SZ,000550,江铃汽车,汽车整车,1.0,1.0,134.23
70,000050.SZ,000050,深天马A,元器件,1.0,1.0,331.83
71,605020.SH,605020,永和股份,化工原料,1.0,1.0,6.65
72,300054.SZ,300054,鼎龙股份,化工原料,1.0,1.0,137.35
73,002409.SZ,002409,雅克科技,化工原料,1.0,1.0,269.04
74,600123.SH,600123,兰花科创,煤炭开采,1.0,1.0,90.71
75,002433.SZ,002433,太安堂,中成药,1.0,1.0,36.18
76,002943.SZ,002943,宇晶股份,机床制造,1.0,1.0,9.89
77,002887.SZ,002887,绿茵生态,环境保护,1.0,1.0,19.65
78,600963.SH,600963,岳阳林纸,造纸,1.0,1.0,184.21
79,601101.SH,601101,昊华能源,煤炭开采,1.0,1.0,61.2
80,603186.SH,603186,华正新材,元器件,1.0,1.0,57.68
81,002956.SZ,002956,西麦食品,食品,1.0,1.0,21.72
82,002813.SZ,002813,路畅科技,汽车配件,1.0,1.0,15.05
83,002968.SZ,002968,新大正,房产服务,1.0,1.0,32.43
84,601168.SH,601168,西部矿业,铜,1.0,1.0,325.99
85,601600.SH,601600,中国铝业,铝,1.0,1.0,766.41
86,002709.SZ,002709,天赐材料,化工原料,1.0,1.0,1053.78
87,603019.SH,603019,中科曙光,IT设备,1.0,1.0,431.74
88,600860.SH,600860,京城股份,专用机械,1.0,1.0,18.77
89,300040.SZ,300040,九洲集团,电气设备,1.0,1.0,31.23
90,002490.SZ,002490,山东墨龙,化工机械,1.0,1.0,29.3
91,603121.SH,603121,华培动力,汽车配件,1.0,1.0,13.42
92,600933.SH,600933,爱柯迪,汽车配件,1.0,1.0,119.75
93,002908.SZ,002908,德生科技,元器件,1.0,1.0,27.79
94,600884.SH,600884,杉杉股份,综合类,2.0,1.0,466.26
95,603690.SH,603690,至纯科技,专用机械,2.0,1.0,143.25
96,603659.SH,603659,璞泰来,化工原料,2.0,1.0,1102.59
97,600549.SH,600549,厦门钨业,小金属,2.0,1.0,379.07
98,600444.SH,600444,国机通用,专用机械,2.0,1.0,18.68
99,603026.SH,603026,石大胜华,化工原料,2.0,1.0,441.9
100,600392.SH,600392,盛和资源,小金属,2.0,1.0,407.2
101,600961.SH,600961,株冶集团,铅锌,2.0,1.0,37.45
102,600760.SH,600760,中航沈飞,航空,2.0,1.0,1270.86
103,000009.SZ,000009,中国宝安,综合类,2.0,1.0,560.8
104,600110.SH,600110,诺德股份,电气设备,2.0,1.0,193.45
105,000017.SZ,000017,深中华A,文教休闲,2.0,2.0,13.24
106,000551.SZ,000551,创元科技,专用机械,2.0,2.0,41.81
107,000831.SZ,000831,五矿稀土,小金属,2.0,1.0,264.45
108,002119.SZ,002119,康强电子,半导体,2.0,1.0,65.12
109,002136.SZ,002136,安纳达,化工原料,2.0,1.0,38.35
110,002346.SZ,002346,柘中股份,电气设备,2.0,1.0,86.86
111,002411.SZ,002411,延安必康,化学制药,2.0,1.0,100.36
112,002472.SZ,002472,双环传动,机械基件,2.0,1.0,122.95
113,002539.SZ,002539,云图控股,农药化肥,2.0,2.0,75.1
114,002617.SZ,002617,露笑科技,电气设备,2.0,1.0,158.08
115,600111.SH,600111,北方稀土,小金属,2.0,1.0,1079.02
116,002824.SZ,002824,和胜股份,铝,2.0,1.0,43.67
117,002850.SZ,002850,科达利,机械基件,2.0,2.0,173.27
118,003022.SZ,003022,联泓新科,化工原料,2.0,1.0,68.96
119,002756.SZ,002756,永兴材料,特种钢,2.0,1.0,216.68
120,300160.SZ,300160,秀强股份,玻璃,2.0,1.0,49.59
121,300769.SZ,300769,德方纳米,化工原料,2.0,1.0,134.86
122,300604.SZ,300604,长川科技,专用机械,2.0,1.0,188.9
123,300193.SZ,300193,佳士科技,专用机械,2.0,1.0,60.63
124,300319.SZ,300319,麦捷科技,元器件,2.0,1.0,83.82
125,300334.SZ,300334,津膜科技,专用机械,2.0,1.0,25.44
126,300568.SZ,300568,星源材质,化工原料,2.0,1.0,298.7
127,300340.SZ,300340,科恒股份,元器件,2.0,1.0,35.1
128,300354.SZ,300354,东华测试,电器仪表,2.0,1.0,18.94
129,300505.SZ,300505,川金诺,化工原料,2.0,1.0,25.06
130,300506.SZ,300506,名家汇,建筑工程,2.0,1.0,34.08
131,300543.SZ,300543,朗科智能,电气设备,2.0,1.0,37.28
132,300521.SZ,300521,爱司凯,专用机械,2.0,1.0,24.85
133,300036.SZ,300036,超图软件,软件服务,3.0,1.0,105.72
134,000920.SZ,000920,南方汇通,环境保护,3.0,2.0,43.74
135,002094.SZ,002094,青岛金王,日用化工,3.0,1.0,35.08
136,605162.SH,605162,新中港,供气供热,3.0,2.0,8.47
137,300079.SZ,300079,数码视讯,通信设备,3.0,1.0,131.22
138,300432.SZ,300432,富临精工,汽车配件,3.0,1.0,169.6
139,603324.SH,603324,盛剑环境,环境保护,4.0,1.0,17.23
140,002738.SZ,002738,中矿资源,小金属,4.0,1.0,156.87
141,603938.SH,603938,三孚股份,化工原料,4.0,1.0,91.56
142,002892.SZ,002892,科力尔,电气设备,4.0,1.0,27.04
143,002895.SZ,002895,川恒股份,化工原料,4.0,2.0,108.04
144,002192.SZ,002192,融捷股份,小金属,4.0,1.0,280.76
145,002280.SZ,002280,联络互动,软件服务,4.0,2.0,143.2
146,603171.SH,603171,税友股份,软件服务,8.0,2.0,15.18
147,605011.SH,605011,杭州热电,供气供热,8.0,2.0,6.94
148,001208.SZ,001208,华菱线缆,电气设备,9.0,1.0,16.47
