,ts_code,name,industry,COL_LASTPRICE,COL_FLOAT_HOLDERS
22,002772.SZ,众兴菌业,种植业,9.57,"安徽中安资本投资基金有限公司
甘肃资产管理有限公司
安徽省铁路发展基金股份有限公司
农银汇理(上海)资产-农业银行-华宝信托-投资【6】号集合资金信托计划
安徽中安资本投资基金有限公司
甘肃资产管理有限公司
安徽省铁路发展基金股份有限公司
农银汇理(上海)资产-农业银行-华宝信托-投资【6】号集合资金信托计划"
23,600966.SH,博汇纸业,造纸,9.62,"中国建设银行股份有限公司-鹏华价值优势混合型证券投资基金(LOF)
上海彤源投资发展有限公司-彤源同祥私募证券投资基金
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金
平安资产-工商银行-平安资产如意28号保险资产管理产品
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合
招商银行股份有限公司-汇添富中盘积极成长混合型证券投资基金
兴业国际信托有限公司-兴业信托·博汇纸业1号员工持股集合资金信托计划"
24,600962.SH,国投中鲁,软饮料,9.65,"中国工商银行股份有限公司-南方大数据100指数证券投资基金
西藏神州牧基金管理有限公司-天路二号证券投资私募基金
北京神州牧投资基金管理有限公司-红炎神州牧基金
中国工商银行股份有限公司-南方大数据100指数证券投资基金
西藏神州牧基金管理有限公司-天路一号证券投资私募基金
西藏神州牧基金管理有限公司-天路二号证券投资私募基金"
25,600073.SH,上海梅林,食品,10.04,"全国社保基金一零三组合
全国社保基金一一三组合
信达国萃股权投资基金(上海)合伙企业(有限合伙)
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
全国社保基金一零三组合
全国社保基金一一三组合
中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划
信达国萃股权投资基金(上海)合伙企业(有限合伙)
中央汇金资产管理有限责任公司
全国社保基金四零三组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
26,002616.SZ,长青集团,环境保护,10.65,"招商银行股份有限公司-景顺长城品质成长混合型证券投资基金
中国银行-景顺长城动力平衡证券投资基金
中国银行-景顺长城动力平衡证券投资基金
全国社保基金四一一组合"
27,603017.SH,中衡设计,建筑工程,11.41,
28,603829.SH,洛凯股份,电气设备,12.03,
29,603088.SH,宁波精达,专用机械,12.06,
30,002758.SZ,华通医药,医药商业,12.28,"浙江大熊投资管理有限公司-伽利略壹号私募投资基金
浙江大熊投资管理有限公司-伽利略壹号私募投资基金"
31,300511.SZ,雪榕生物,种植业,12.76,"深圳市云图资产管理服务有限公司-云图优选1号私募证券投资基金
中国建设银行股份有限公司-融通互联网传媒灵活配置混合型证券投资基金
基本养老保险基金一二零四组合
深圳市云图资产管理服务有限公司-云图优选1号私募证券投资基金
华泰证券股份有限公司-中庚价值领航混合型证券投资基金"
32,300257.SZ,开山股份,机械基件,12.88,"香港中央结算有限公司(陆股通)
中信银行股份有限公司-建信中证500指数增强型证券投资基金
香港中央结算有限公司(陆股通)"
33,603108.SH,润达医疗,医药商业,12.99,"香港中央结算有限公司(陆股通)
西藏博恩资产管理有限公司-博恩添富7号私募证券投资基金
西藏博恩资产管理有限公司-博恩添富7号私募证券投资基金"
34,600380.SH,健康元,化学制药,13.97,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金
基本养老保险基金一六零一一组合
全国社保基金一零八组合
博时基金管理有限公司-社保基金四一九组合
全国社保基金五零二组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一零八组合
全国社保基金五零二组合
博时基金管理有限公司-社保基金四一九组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实医疗保健股票型证券投资基金
基本养老保险基金一六零一一组合
香港中央结算有限公司(陆股通)
全国社保基金一零八组合
基本养老保险基金一六零一一组合
全国社保基金五零二组合
中国银行股份有限公司博时医疗保健行业混合型证券投资基金
中国银行股份有限公司易方达医疗保健行业混合型证券投资基金"
35,603339.SH,四方科技,专用机械,14.35,香港中央结算有限公司(陆股通)
36,300503.SZ,昊志机电,机械基件,15.17,"广州市玄元投资管理有限公司-玄元定增精选证券投资基金
玄元(横琴)股权投资有限公司-玄元横琴4号私募投资基金"
37,002039.SZ,黔源电力,水力发电,15.73,"全国社保基金六零四组合
上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金
全国社保基金六零四组合
中央汇金资产管理有限责任公司"
38,603685.SH,晨丰科技,电气设备,15.96,
39,603466.SH,风语筑,文教休闲,17.23,"上海宏鹰股权投资基金管理有限公司-上海宏鹰股权投资基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
香港中央结算有限公司(陆股通)
北方国际信托股份有限公司-北方信托荣盛一号证券投资集合资金信托计划
上海宏鹰股权投资基金管理有限公司-上海宏鹰股权投资基金合伙企业(有限合伙)
上海宏鹰股权投资基金管理有限公司-上海宏鹰股权投资基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
北方国际信托股份有限公司-北方信托荣盛一号证券投资集合资金信托计划"
40,002675.SZ,东诚药业,化学制药,19.33,"香港中央结算有限公司(陆股通)
全国社保基金六零二组合
交通银行股份有限公司-国泰金鹰增长灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金六零二组合
交通银行股份有限公司-国泰金鹰增长灵活配置混合型证券投资基金"
41,002213.SZ,特尔佳,汽车配件,19.91,"中国建设银行股份有限公司-华夏盛世精选混合型证券投资基金
深圳前海大千华严投资有限公司-千般龙腾七号私募证券投资基金
中国银行股份有限公司-华夏鼎沛债券型证券投资基金
深圳宽裕资产管理有限公司-宽裕成长一号私募证券投资基金
深圳前海大千华严投资有限公司-千般龙腾七号私募证券投资基金"
42,603686.SH,龙马环卫,环境保护,23.65,"全国社保基金一零三组合
中国工商银行-广发聚丰混合型证券投资基金
申万宏源证券-四川三新创业投资有限责任公司-证券行业支持民企发展系列之申万宏源三新创投单一资产管理计划"
43,002715.SZ,登云股份,汽车配件,25.45,"北京维华祥资产管理有限公司
北京维华祥资产管理有限公司"
44,603858.SH,步长制药,中成药,25.5,"香港中央结算有限公司(陆股通)
蓝色经济区产业投资基金(有限合伙)
香港中央结算有限公司(陆股通)
蓝色经济区产业投资基金(有限合伙)"
45,603076.SH,乐惠国际,专用机械,28.31,"上海天戈投资管理有限公司-天戈紫旭私募基金
上海天戈投资管理有限公司-天戈紫旭私募基金"
46,300635.SZ,中达安,建筑工程,29.2,"华宝信托有限责任公司-“辉煌”67号单一资金信托
中信银行股份有限公司-建信中证500指数增强型证券投资基金
北交联合(北京)投资基金管理有限公司"
47,603486.SH,科沃斯,家用电器,29.36,"招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
中国工商银行-上投摩根内需动力股票型证券投资基金
中国建设银行股份有限公司-富国国家安全主题混合型证券投资基金
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金
中国建设银行股份有限公司-华宝收益增长混合型证券投资基金
中国工商银行-上投摩根内需动力股票型证券投资基金"
48,688389.SH,普门科技,医疗保健,31.06,中国建设银行股份有限公司-南方医药保健灵活配置混合型证券投资基金
49,000915.SZ,山大华特,化学制药,33.77,"中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
广发基金-国新投资有限公司-广发基金-国新2号单一资产管理计划
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
广发基金-中国银行-中银国际证券有限责任公司
全国社保基金一零七组合
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
广发基金-国新投资有限公司-广发基金-国新2号单一资产管理计划"
50,002120.SZ,韵达股份,仓储物流,34.68,"上海太富祥川股权投资基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
上海复星创富股权投资基金合伙企业(有限合伙)
全国社保基金一零六组合
上海太富祥川股权投资基金合伙企业(有限合伙)
上海复星创富股权投资基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
平安资产-工商银行-鑫享3号资产管理产品"
51,603810.SH,丰山集团,农药化肥,39.27,
52,603708.SH,家家悦,超市连锁,39.91,"香港中央结算有限公司(陆股通)
全国社保基金四零六组合
基本养老保险基金一零零三组合
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)
招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金
全国社保基金四零六组合
香港中央结算有限公司(陆股通)
基本养老保险基金一零零三组合
全国社保基金五零二组合
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
全国社保基金四一三组合"
53,600161.SH,天坛生物,生物制药,41.41,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中央汇金资产管理有限责任公司
中国银行股份有限公司-易方达蓝筹精选混合型证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
全国社保基金一零九组合"
54,603378.SH,亚士创能,染料涂料,43.5,"平安银行股份有限公司-平安智慧中国灵活配置混合型证券投资基金
全国社保基金五零二组合
富达基金(香港)有限公司-客户资金
中国银行股份有限公司-平安匠心优选混合型证券投资基金
辽宁海通新能源低碳产业股权投资基金有限公司
大华资产管理有限公司-大华中国A股创新基金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金
全国社保基金五零二组合
辽宁海通新能源低碳产业股权投资基金有限公司
富达基金(香港)有限公司-客户资金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金
大华资产管理有限公司-大华中国A股创新基金"
55,300142.SZ,沃森生物,生物制药,45.61,"香港中央结算有限公司(陆股通)
珠海横琴长乐汇资本管理有限公司-智汇3号私募证券投资基金
全国社保基金四零一组合
香港中央结算有限公司(陆股通)
珠海横琴长乐汇资本管理有限公司-智汇3号私募证券投资基金"
56,000799.SZ,酒鬼酒,白酒,49.44,"国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
国泰君安证券资管-建设银行-国泰君安君得鑫两年持有期混合型集合资产管理计划
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划"
57,300220.SZ,金运激光,元器件,58.02,上海胤狮投资管理有限公司-胤狮核心优势3号私募证券投资基金
58,002410.SZ,广联达,软件服务,58.36,"香港中央结算有限公司(陆股通)
香港中央结算有限公司(陆股通)
中国工商银行-易方达价值成长混合型证券投资基金"
59,300357.SZ,我武生物,生物制药,59.15,"全国社保基金一一二组合
中国工商银行-广发稳健增长证券投资基金
全国社保基金四零六组合
香港中央结算有限公司(陆股通)
全国社保基金一一五组合
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
中国银行股份有限公司-广发医疗保健股票型证券投资基金
全国社保基金四一四组合
中央汇金资产管理有限责任公司
中国银行股份有限公司-广发医疗保健股票型证券投资基金
基本养老保险基金八零五组合
全国社保基金一一二组合
中国工商银行-广发稳健增长证券投资基金
全国社保基金四零六组合
全国社保基金一一五组合
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金"
60,603583.SH,捷昌驱动,电气设备,59.3,"香港中央结算有限公司(陆股通)
中信信托有限责任公司-中信信托锐进58期源乐晟投资集合资金信托计划
国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划
国泰君安证券资管-建设银行-国泰君安君得鑫两年持有期混合型集合资产管理计划
国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划
中国农业银行股份有限公司-宝盈转型动力灵活配置混合型证券投资基金
兴业银行股份有限公司-兴全有机增长灵活配置混合型证券投资基金"
61,600132.SH,重庆啤酒,啤酒,63.9,"香港中央结算有限公司(陆股通)
汇添富基金管理股份有限公司-社保基金1103组合
中央汇金资产管理有限责任公司
全国社保基金一一五组合
中国工商银行-广发稳健增长证券投资基金
招商银行股份有限公司-东方红睿泽三年定期开放灵活配置混合型证券投资基金
汇添富基金-建设银行-中国人寿-中国人寿委托汇添富基金混合型组合
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
全国社保基金一一五组合
中国工商银行-广发稳健增长证券投资基金
招商银行股份有限公司-东方红睿泽三年定期开放灵活配置混合型证券投资基金
汇添富基金管理股份有限公司-社保基金1103组合"
62,600600.SH,青岛啤酒,啤酒,67.3,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
招商银行股份有限公司-东方红睿泽三年定期开放灵活配置混合型证券投资基金
全国社保基金一零六组合
全国社保基金一一七组合
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
招商银行股份有限公司-东方红睿泽三年定期开放灵活配置混合型证券投资基金
全国社保基金一零六组合"
63,000403.SZ,双林生物,生物制药,68.88,"中国信达资产管理股份有限公司
交通银行股份有限公司-易方达科讯混合型证券投资基金
中国信达资产管理股份有限公司
基本养老保险基金三零九组合
交通银行股份有限公司-易方达科讯混合型证券投资基金
中国农业银行股份有限公司-富兰克林国海弹性市值混合型证券投资基金
中国银行股份有限公司-富兰克林国海中小盘股票型证券投资基金
中国信达资产管理股份有限公司"
64,300695.SZ,兆丰股份,汽车配件,71.9,中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
65,300759.SZ,康龙化成,化学制药,77.9,"香港中央结算有限公司(陆股通)
全国社保基金一零五组合
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
中国建设银行股份有限公司-农银汇理医疗保健主题股票型证券投资基金
中国建设银行股份有限公司-富国精准医疗灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金六零三组合
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
交通银行-农银汇理行业领先股票型证券投资基金"
66,603881.SH,数据港,电信运营,78.14,"全国社会保障基金理事会转持一户
全国社保基金四零四组合
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-广发科技动力股票型证券投资基金
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
上海盛宇股权投资中心(有限合伙)-盛宇21号私募证券投资基金
交通银行股份有限公司-易方达科讯混合型证券投资基金
基本养老保险基金一二零五组合
香港中央结算有限公司(陆股通)
招商银行股份有限公司-泰康弘实3个月定期开放混合型发起式证券投资基金
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
中国工商银行股份有限公司-易方达科翔股票型证券投资基金"
67,603882.SH,金域医学,医疗保健,79.15,"国创开元股权投资基金(有限合伙)
香港中央结算有限公司(陆股通)
中国工商银行-广发聚丰混合型证券投资基金
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
高瓴资本管理有限公司-HCM中国基金
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金
招商银行股份有限公司-万家经济新动能混合型证券投资基金
国创开元股权投资基金(有限合伙)
香港中央结算有限公司(陆股通)
中国工商银行-广发聚丰混合型证券投资基金
高瓴资本管理有限公司-HCM中国基金
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金
中国工商银行股份有限公司-汇添富医药保健混合型证券投资基金"
68,300685.SZ,艾德生物,生物制药,88.36,"香港中央结算有限公司(陆股通)
博时基金管理有限公司-社保基金四一九组合
兴业全球基金-兴业银行-兴全-股票红利特定多客户资产管理计划
全国社保基金四零六组合
香港中央结算有限公司(陆股通)
全国社保基金一一八组合
博时基金管理有限公司-社保基金四一九组合
中国银行股份有限公司-博时医疗保健行业混合型证券投资基金"
69,603338.SH,浙江鼎力,专用机械,97.49,"香港中央结算有限公司(陆股通)
全国社保基金四零六组合
中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
中国工商银行-易方达价值成长混合型证券投资基金
中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
香港中央结算有限公司(陆股通)
中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
中国工商银行-易方达价值成长混合型证券投资基金
全国社保基金四零六组合"
70,601799.SH,星宇股份,汽车配件,114.0,"香港中央结算有限公司(陆股通)
全国社保基金四零六组合
全国社保基金一零六组合
上海浦东发展银行股份有限公司-易方达裕祥回报债券型证券投资基金
中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
香港中央结算有限公司(陆股通)
全国社保基金四零六组合
中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
全国社保基金一零六组合"
71,688363.SH,华熙生物,生物制药,119.45,"招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
中国工商银行股份有限公司-申万菱信盛利精选证券投资基金
基本养老保险基金八零四组合
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
招商银行股份有限公司-兴全合润分级混合型证券投资基金
基本养老保险基金一二零六组合
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
中国工商银行股份有限公司-财通资管消费精选灵活配置混合型证券投资基金
招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
中国工商银行股份有限公司-鹏华价值驱动混合型证券投资基金
中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)
招商银行股份有限公司-兴全合润分级混合型证券投资基金"
72,300573.SZ,兴齐眼药,化学制药,121.0,"中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
中国建设银行股份有限公司-富国精准医疗灵活配置混合型证券投资基金
中国银行股份有限公司-易方达医疗保健行业混合型证券投资基金
中国银行股份有限公司-博时医疗保健行业混合型证券投资基金
中国建设银行股份有限公司-富国新动力灵活配置混合型证券投资基金
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-华夏乐享健康灵活配置混合型证券投资基金
中国银行股份有限公司-博时医疗保健行业混合型证券投资基金
中国建设银行股份有限公司-富国精准医疗灵活配置混合型证券投资基金
中国银行股份有限公司-易方达医疗保健行业混合型证券投资基金
中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
中国建设银行股份有限公司-富国新动力灵活配置混合型证券投资基金
中国工商银行股份有限公司-富国医疗保健行业混合型证券投资基金
中国建设银行股份有限公司-富国生物医药科技混合型证券投资基金"
73,603127.SH,昭衍新药,医疗保健,127.97,"香港中央结算有限公司(陆股通)
华夏未来资本管理有限公司-华夏未来欣耀1期私募证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金
中国建设银行股份有限公司-银河行业优选混合型证券投资基金
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
全国社保基金四一八组合
全国社保基金四零六组合
华夏未来资本管理有限公司-华夏未来欣耀1期私募证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-银河行业优选混合型证券投资基金
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
全国社保基金四一八组合
基本养老保险基金一六零五一组合"
74,600809.SH,山西汾酒,白酒,133.18,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金
全国社保基金一一四组合
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
全国社保基金一一四组合
中央汇金资产管理有限责任公司
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
75,600763.SH,通策医疗,医疗保健,144.59,"香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-兴全社会责任混合型证券投资基金
深圳市新智达投资管理有限公司-新智达成长一号基金
全国社保基金四零六组合
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金
交通银行股份有限公司-博时新兴成长混合型证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-兴全社会责任混合型证券投资基金
深圳市新智达投资管理有限公司-新智达成长一号基金
全国社保基金四零六组合
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金
交通银行股份有限公司-博时新兴成长混合型证券投资基金
中国工商银行-广发聚丰混合型证券投资基金
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金"
76,000858.SZ,五粮液,白酒,158.85,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国工商银行股份有限公司-景顺长城新兴成长混合型证券投资基金
香港中央结算有限公司(陆股通)"
77,002821.SZ,凯莱英,生物制药,219.99,"招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
全国社保基金一一五组合
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
兴业全球基金-兴业银行-兴全-股票红利特定多客户资产管理计划
全国社保基金一零一组合
兴全基金-兴业银行-兴业证券股份有限公司
香港中央结算有限公司(陆股通)
全国社保基金一一五组合
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
全国社保基金一零二组合
全国社保基金一零一组合
兴全基金-兴业银行-兴业证券股份有限公司
兴业全球基金-兴业银行-兴全-股票红利特定多客户资产管理计划"
