,ts_code,symbol,name,industry,COL_JUMP_OFF_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
37,002646.SZ,002646,青青稞酒,白酒,-49.9409681227863,62.93,"中央汇金资产管理有限责任公司
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
易方达基金-农业银行-易方达中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划",8.0
38,603976.SH,603976,正川股份,医疗保健,-49.874686716791985,63.82,,0.0
39,000995.SZ,000995,皇台酒业,白酒,-49.80769230769231,34.29,甘肃西部资产管理股份有限公司,1.0
40,300935.SZ,300935,盈建科,软件服务,-49.6690279874579,12.74,,0.0
41,002168.SZ,002168,ST惠程,互联网,-49.46564885496183,26.24,"日照汇银股权投资基金管理合伙企业(有限合伙)
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
富兴投资基金(广州)有限公司-富兴沁园春1号私募证券投资基金",4.0
42,600198.SH,600198,大唐电信,通信设备,-48.73054873054874,56.7,"嘉实基金-农业银行-嘉实中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划",2.0
43,600695.SH,600695,绿庭投资,多元金融,-48.46461949265688,17.19,,0.0
44,000929.SZ,000929,兰州黄河,啤酒,-48.30769230769231,14.12,,0.0
45,300549.SZ,300549,优德精密,专用机械,-48.271604938271594,21.63,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
46,300913.SZ,300913,兆龙互连,电气设备,-48.062953995157386,7.6,,0.0
47,600890.SH,600890,中房股份,区域地产,-47.8129713423831,21.89,上海迎水投资管理有限公司-迎水汇金8号私募证券投资基金,1.0
48,300389.SZ,300389,艾比森,半导体,-47.533333333333324,14.51,"中央汇金资产管理有限责任公司
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
49,000564.SZ,000564,*ST大集,百货,-47.432024169184295,45.33,"西部利得基金-交通银行-哈尔滨嘉悦投资有限公司
香港中央结算有限公司(陆股通)
方正富邦基金-光大银行-陕西省国际信托-陕国投·盛唐70号定向投资集合资金信托计划
上海并购股权投资基金合伙企业(有限合伙)
中融国际信托有限公司-中融-日进斗金14号证券投资集合资金信托计划",5.0
50,300819.SZ,300819,聚杰微纤,化纤,-46.97638702246113,7.09,"广东润行投资管理有限公司-润行新周期1号私募证券投资基金
广东润行投资管理有限公司-润行新周期8号私募证券投资基金",2.0
51,600381.SH,600381,青海春天,医疗保健,-46.8565815324165,41.56,,0.0
52,002581.SZ,002581,未名医药,生物制药,-46.77983025461807,43.17,,0.0
53,600199.SH,600199,金种子酒,白酒,-45.37931034482759,75.26,"中央汇金资产管理有限责任公司
中国银行股份有限公司-招商中证白酒指数分级证券投资基金",2.0
54,003004.SZ,003004,声迅股份,软件服务,-45.37538699690402,6.07,,0.0
55,300094.SZ,300094,国联水产,渔业,-45.28023598820059,36.14,"中国华融资产管理股份有限公司
中国对外经济贸易信托有限公司-外贸信托-汇沣8号结构化证券投资集合资金信托计划
广东省农业供给侧结构性改革基金管理有限公司-广东省农业供给侧结构性改革基金合伙企业(有限合伙)",3.0
56,300313.SZ,300313,天山生物,农业综合,-44.97432134996332,31.51,,0.0
57,300766.SZ,300766,每日互动,互联网,-44.825046040515645,48.99,"中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
全国社保基金五零三组合",2.0
58,300312.SZ,300312,邦讯技术,通信设备,-44.370860927152314,14.63,深圳市鼎益丰基金投资管理有限公司-鼎益丰天河1号私募证券投资基金,1.0
59,300419.SZ,300419,浩丰科技,软件服务,-44.336283185840706,25.52,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
60,601956.SH,601956,东贝集团,机械基件,-44.32835820895522,16.17,,0.0
61,001896.SZ,001896,豫能控股,火力发电,-44.287063267233236,86.41,,0.0
62,600291.SH,600291,西水股份,保险,-44.28104575163398,42.74,雪松国际信托股份有限公司,1.0
63,688560.SH,688560,明冠新材,电气设备,-44.27325581395348,6.8,,0.0
64,605183.SH,605183,确成股份,化工原料,-44.250997461008346,7.55,,0.0
65,000521.SZ,000521,长虹美菱,家用电器,-44.22764227642276,32.02,财通基金-宁波银行-海通兴泰(安徽)新兴产业投资基金(有限合伙),1.0
66,002684.SZ,002684,ST猛狮,电气设备,-44.01114206128134,11.87,"宁波致云股权投资基金管理有限公司
深圳前海易德顺升股权投资基金合伙企业(有限合伙)
深圳前海易德资本优势股权投资基金合伙企业(有限合伙)",3.0
67,300293.SZ,300293,蓝英装备,专用机械,-43.79562043795621,45.12,浙江九章资产管理有限公司-九章幻方中证500量化进取5号私募基金,1.0
68,300717.SZ,300717,华信新材,塑料,-43.73503591380686,16.24,"中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
69,600793.SH,600793,宜宾纸业,造纸,-43.508936970837254,25.65,,0.0
70,300713.SZ,300713,英可瑞,电气设备,-43.43707713125846,14.85,"中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
71,300514.SZ,300514,友讯达,通信设备,-43.27097163548582,15.61,,0.0
72,003031.SZ,003031,中瓷电子,元器件,-43.181052867886415,15.63,,0.0
73,002735.SZ,002735,王子新材,塑料,-43.17976513098465,23.44,"中央汇金资产管理有限责任公司
凯信投资管理有限公司-凯信金龙1号私募证券投资基金
深圳前海昆桐资产管理有限公司-前海昆桐金源私募证券投资基金
广东龙盈资产管理有限公司-龙盈福兴1号私募证券投资基金",4.0
74,300537.SZ,300537,广信材料,染料涂料,-43.02377747868999,17.45,,0.0
75,300424.SZ,300424,航新科技,航空,-42.99602297834733,26.23,"中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
宁波梅山保税港区凌顶投资管理有限公司-凌顶恒誉穿云航空产业1号私募证券投资基金
中国建设银行股份有限公司-长信国防军工量化灵活配置混合型证券投资基金",3.0
76,002316.SZ,002316,亚联发展,软件服务,-42.933810375670845,10.47,上海创奥投资管理合伙企业(有限合伙)-奥凯盛鑫7号私募证券投资基金,1.0
77,600403.SH,600403,大有能源,煤炭开采,-42.903225806451616,87.03,"中央汇金资产管理有限责任公司
中国华融资产管理股份有限公司",2.0
78,003026.SZ,003026,中晶科技,半导体,-42.81946339245112,16.96,,0.0
79,601908.SH,601908,京运通,新型电力,-42.660234321157816,172.0,"中央汇金资产管理有限责任公司
安徽中安资本投资基金有限公司
安徽省铁路发展基金股份有限公司
上海甄投资产管理有限公司-甄投创鑫28号私募证券投资基金",4.0
80,300901.SZ,300901,中胤时尚,服饰,-42.625169147496614,9.94,,0.0
81,300925.SZ,300925,法本信息,软件服务,-42.61311172668514,11.64,,0.0
82,300609.SZ,300609,汇纳科技,互联网,-42.599277978339344,16.4,"招商银行股份有限公司-工银瑞信科技创新3年封闭运作混合型证券投资基金
基本养老保险基金一二零四组合
招商银行股份有限公司-工银瑞信圆兴混合型证券投资基金
中国农业银行股份有限公司-工银瑞信高质量成长混合型证券投资基金
华菱津杉(天津)产业投资基金合伙企业(有限合伙)
兴业银行股份有限公司-工银瑞信文体产业股票型证券投资基金",6.0
83,300869.SZ,300869,康泰医学,医疗保健,-42.57317903335603,35.22,,0.0
84,603825.SH,603825,华扬联众,互联网,-42.26884226884226,34.44,"东方富海(芜湖)股权投资基金(有限合伙)
东方富海(芜湖)二号股权投资基金(有限合伙)",2.0
85,002670.SZ,002670,国盛金控,证券,-42.21538461538461,158.39,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,1.0
86,688350.SH,688350,富淼科技,化工原料,-42.15199791068164,5.68,,0.0
87,002776.SZ,002776,柏堡龙,服饰,-42.148760330578504,20.87,"浙商财富(北京)投资基金管理有限公司-浙商投资长盈二号私募证券投资基金
浙商财富(北京)投资基金管理有限公司-浙商投资合旭1号私募证券投资基金
浙江品润投资管理有限公司-品润FOF品人2期私募证券投资基金",3.0
88,300632.SZ,300632,光莆股份,半导体,-42.08860759493671,17.51,,0.0
89,688668.SH,688668,鼎通科技,元器件,-42.08064156827801,5.46,,0.0
90,300159.SZ,300159,新研股份,航空,-42.074363992172216,49.57,华澳国际信托有限公司-华澳·臻智28号证券投资集合资金信托计划,1.0
91,002348.SZ,002348,高乐股份,文教休闲,-42.07317073170732,17.31,,0.0
92,603089.SH,603089,正裕工业,汽车配件,-42.00000000000001,22.71,,0.0
93,688557.SH,688557,兰剑智能,专用机械,-41.978562642769276,6.54,,0.0
94,000523.SZ,000523,广州浪奇,日用化工,-41.91176470588235,16.24,上海通怡投资管理有限公司-通怡梧桐11号私募证券投资基金,1.0
95,688386.SH,688386,泛亚微透,化工原料,-41.75880689123168,7.15,,0.0
96,603919.SH,603919,金徽酒,白酒,-41.689147125959735,140.51,"光大兴陇信托有限责任公司-光大-融金1号证券投资集合资金信托计划
贫困地区产业发展基金有限公司
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央企业贫困地区产业投资基金股份有限公司",4.0
97,300908.SZ,300908,仲景食品,食品,-41.677419354838705,15.54,,0.0
98,002127.SZ,002127,南极电商,互联网,-41.666666666666664,195.17,"基本养老保险基金一二零四组合
汇添富基金管理股份有限公司-社保基金四二三组合
上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金
全国社保基金四一六组合
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-汇添富蓝筹稳健灵活配置混合型证券投资基金
全国社保基金四一八组合
招商银行股份有限公司-睿远成长价值混合型证券投资基金
中国工商银行-汇添富成长焦点混合型证券投资基金",9.0
99,000813.SZ,000813,德展健康,化学制药,-41.64086687306502,93.46,"北京凯世富乐资产管理股份有限公司-凯世富乐稳健11号私募证券投资基金
北京凯世富乐资产管理股份有限公司-凯世富乐稳健9号私募证券投资基金",2.0
