,ts_code,symbol,name,industry,COL_FITNESS
1609,300220.SZ,300220,金运激光,元器件,57.4
5,000007.SZ,000007,全新好,酒店餐饮,57.25
353,000856.SZ,000856,冀东装备,机械基件,57.11
42,000056.SZ,000056,皇庭国际,房产服务,57.06
1023,002563.SZ,002563,森马服饰,服饰,56.88
1498,300108.SZ,300108,吉药控股,中成药,56.34
3374,603557.SH,603557,起步股份,服饰,55.66
2786,600773.SH,600773,西藏城投,区域地产,55.46
1292,002843.SZ,002843,泰嘉股份,钢加工,55.43
3400,603605.SH,603605,珀莱雅,日用化工,55.38
2425,600339.SH,600339,中油工程,石油加工,55.24
1869,300482.SZ,300482,万孚生物,生物制药,54.2
3257,603218.SH,603218,日月股份,工程机械,54.17
1349,002905.SZ,002905,金逸影视,影视音像,53.56
1031,002571.SZ,002571,德力股份,玻璃,53.37
186,000610.SZ,000610,西安旅游,旅游服务,53.03
2800,600789.SH,600789,鲁抗医药,化学制药,52.82
1299,002851.SZ,002851,麦格米特,电气设备,52.81
1088,002628.SZ,002628,成都路桥,建筑施工,52.79
999,002539.SZ,002539,云图控股,农药化肥,52.67
2212,600095.SH,600095,哈高科,区域地产,52.26
262,000716.SZ,000716,黑芝麻,食品,51.96
781,002320.SZ,002320,海峡股份,水运,51.68
464,002002.SZ,002002,鸿达兴业,化工原料,51.67
1325,002879.SZ,002879,长缆科技,电气设备,51.11
2524,600480.SH,600480,凌云股份,汽车配件,50.9
2929,600977.SH,600977,中国电影,影视音像,50.82
1077,002617.SZ,002617,露笑科技,电气设备,50.76
921,002460.SZ,002460,赣锋锂业,小金属,50.76
185,000609.SZ,000609,中迪投资,区域地产,50.65
2777,600763.SH,600763,通策医疗,医疗保健,50.48
473,002011.SZ,002011,盾安环境,工程机械,49.77
3439,603679.SH,603679,华体科技,电气设备,49.09
1772,300385.SZ,300385,雪浪环境,环境保护,48.6
3240,603180.SH,603180,金牌厨柜,家居用品,48.2
2088,300709.SZ,300709,精研科技,元器件,48.12
3385,603583.SH,603583,捷昌驱动,电气设备,47.88
723,002262.SZ,002262,恩华药业,化学制药,47.74
162,000581.SZ,000581,威孚高科,汽车配件,47.67
408,000931.SZ,000931,中关村,生物制药,47.61
1213,002758.SZ,002758,华通医药,医药商业,47.52
2031,300651.SZ,300651,金陵体育,文教休闲,47.26
3344,603429.SH,603429,集友股份,广告包装,47.18
2507,600456.SH,600456,宝钛股份,小金属,47.17
3251,603198.SH,603198,迎驾贡酒,白酒,46.92
3267,603233.SH,603233,大参林,医药商业,46.9
1746,300357.SZ,300357,我武生物,生物制药,46.64
1330,002884.SZ,002884,凌霄泵业,专用机械,46.44
1049,002589.SZ,002589,瑞康医药,医药商业,46.43
482,002020.SZ,002020,京新药业,化学制药,46.24
2019,300638.SZ,300638,广和通,通信设备,46.06
2545,600505.SH,600505,西昌电力,水力发电,45.91
2513,600463.SH,600463,空港股份,园区开发,45.88
3511,603829.SH,603829,洛凯股份,电气设备,45.85
2631,600602.SH,600602,云赛智联,软件服务,45.77
783,002322.SZ,002322,理工环科,软件服务,45.45
178,000600.SZ,000600,建投能源,火力发电,45.3
2924,600970.SH,600970,中材国际,建筑施工,44.51
1370,002928.SZ,002928,华夏航空,空运,44.36
3325,603366.SH,603366,日出东方,家用电器,43.97
1261,002810.SZ,002810,山东赫达,化工原料,43.97
429,000963.SZ,000963,华东医药,化学制药,43.95
3010,601216.SH,601216,君正集团,化工原料,43.81
2853,600848.SH,600848,上海临港,园区开发,43.78
93,000425.SZ,000425,徐工机械,工程机械,43.74
1139,002679.SZ,002679,福建金森,林业,43.73
2847,600841.SH,600841,上柴股份,机械基件,43.7
3411,603619.SH,603619,中曼石油,石油开采,43.2
1437,300046.SZ,300046,台基股份,半导体,42.97
496,002034.SZ,002034,旺能环境,环境保护,42.64
3453,603703.SH,603703,盛洋科技,通信设备,42.61
779,002318.SZ,002318,久立特材,特种钢,42.59
1593,300204.SZ,300204,舒泰神,生物制药,42.56
2327,600226.SH,600226,瀚叶股份,农药化肥,42.48
267,000721.SZ,000721,西安饮食,酒店餐饮,42.42
1144,002684.SZ,002684,猛狮科技,电气设备,42.35
457,000999.SZ,000999,华润三九,中成药,42.3
1259,002808.SZ,002808,恒久科技,元器件,42.3
1347,002902.SZ,002902,铭普光磁,元器件,42.19
2884,600882.SH,600882,妙可蓝多,乳制品,42.06
732,002271.SZ,002271,东方雨虹,其他建材,41.99
519,002057.SZ,002057,中钢天源,元器件,41.79
348,000839.SZ,000839,中信国安,综合类,41.77
2738,600722.SH,600722,金牛化工,化工原料,41.71
3364,603519.SH,603519,立霸股份,家用电器,41.66
2456,600378.SH,600378,天科股份,化工原料,41.53
2604,600573.SH,600573,惠泉啤酒,啤酒,41.5
317,000799.SZ,000799,酒鬼酒,白酒,41.48
2231,600115.SH,600115,东方航空,空运,41.42
2092,300713.SZ,300713,英可瑞,电气设备,41.41
504,002042.SZ,002042,华孚时尚,纺织,41.27
2554,600515.SH,600515,海航基础,全国地产,41.26
2189,600070.SH,600070,浙江富润,纺织,41.13
3024,601318.SH,601318,中国平安,保险,41.12
1867,300480.SZ,300480,光力科技,电器仪表,41.09
1571,300181.SZ,300181,佐力药业,中成药,41.03
2725,600708.SH,600708,光明地产,全国地产,40.95
2432,600351.SH,600351,亚宝药业,中成药,40.7
2377,600284.SH,600284,浦东建设,建筑施工,40.7
2680,600658.SH,600658,电子城,园区开发,40.61
2188,600069.SH,600069,银鸽投资,造纸,40.55
2503,600448.SH,600448,华纺股份,纺织,40.43
1094,002634.SZ,002634,棒杰股份,服饰,40.38
1260,002809.SZ,002809,红墙股份,化工原料,40.06
3221,603131.SH,603131,上海沪工,专用机械,40.05
1278,002828.SZ,002828,贝肯能源,石油开采,39.95
2454,600376.SH,600376,首开股份,区域地产,39.62
2201,600082.SH,600082,海泰发展,园区开发,39.62
1409,300018.SZ,300018,中元股份,电气设备,39.54
2764,600748.SH,600748,上实发展,全国地产,39.52
1888,300501.SZ,300501,海顺新材,广告包装,39.46
674,002212.SZ,002212,南洋股份,电气设备,39.28
3126,601975.SH,601975,ST长油,水运,39.15
3346,603456.SH,603456,九洲药业,化学制药,39.11
1896,300509.SZ,300509,新美星,专用机械,39.05
384,000902.SZ,000902,新洋丰,农药化肥,38.83
2275,600167.SH,600167,联美控股,供气供热,38.8
1379,002938.SZ,002938,鹏鼎控股,元器件,38.64
1066,002606.SZ,002606,大连电瓷,电气设备,38.62
2695,600677.SH,600677,航天通信,通信设备,38.51
2038,300658.SZ,300658,延江股份,纺织,38.45
1171,002713.SZ,002713,东易日盛,装修装饰,38.4
1041,002581.SZ,002581,未名医药,生物制药,38.39
3350,603486.SH,603486,科沃斯,家用电器,38.39
419,000951.SZ,000951,中国重汽,汽车整车,37.99
1702,300313.SZ,300313,天山生物,农业综合,37.94
2668,600644.SH,600644,乐山电力,水力发电,37.69
3196,603086.SH,603086,先达股份,农药化肥,37.69
3418,603637.SH,603637,镇海股份,建筑施工,37.59
561,002099.SZ,002099,海翔药业,化学制药,37.32
1407,300016.SZ,300016,北陆药业,中成药,37.27
2830,600822.SH,600822,上海物贸,商贸代理,37.09
2349,600250.SH,600250,南纺股份,商贸代理,37.02
3338,603393.SH,603393,新天然气,供气供热,36.87
1977,300595.SZ,300595,欧普康视,医疗保健,36.85
2269,600160.SH,600160,巨化股份,化工原料,36.74
268,000722.SZ,000722,湖南发展,水力发电,36.67
1623,300234.SZ,300234,开尔新材,陶瓷,36.46
1246,002793.SZ,002793,东音股份,专用机械,36.42
939,002478.SZ,002478,常宝股份,钢加工,36.35
589,002127.SZ,002127,南极电商,互联网,36.34
2505,600452.SH,600452,涪陵电力,水力发电,36.32
1273,002823.SZ,002823,凯中精密,机械基件,36.12
1143,002683.SZ,002683,宏大爆破,化工原料,35.99
1255,002803.SZ,002803,吉宏股份,广告包装,35.91
2234,600118.SH,600118,中国卫星,航空,35.9
2858,600855.SH,600855,航天长峰,专用机械,35.89
3238,603178.SH,603178,圣龙股份,汽车配件,35.86
1574,300184.SZ,300184,力源信息,元器件,35.76
1582,300193.SZ,300193,佳士科技,专用机械,35.7
1131,002671.SZ,002671,龙泉股份,其他建材,35.67
192,000617.SZ,000617,中油资本,多元金融,35.66
3438,603678.SH,603678,火炬电子,元器件,35.5
2769,600754.SH,600754,锦江股份,酒店餐饮,35.39
2529,600486.SH,600486,扬农化工,农药化肥,35.28
163,000582.SZ,000582,北部湾港,港口,35.15
2567,600529.SH,600529,山东药玻,医疗保健,35.15
109,000513.SZ,000513,丽珠集团,中成药,35.09
2556,600517.SH,600517,置信电气,电气设备,34.7
72,000338.SZ,000338,潍柴动力,汽车配件,34.66
2585,600551.SH,600551,时代出版,出版业,34.54
242,000690.SZ,000690,宝新能源,火力发电,34.49
2811,600801.SH,600801,华新水泥,水泥,34.44
538,002076.SZ,002076,雪莱特,家用电器,34.43
13,000017.SZ,000017,深中华A,文教休闲,34.32
661,002199.SZ,002199,东晶电子,元器件,34.12
255,000708.SZ,000708,大冶特钢,特种钢,33.79
608,002146.SZ,002146,荣盛发展,全国地产,33.71
2330,600229.SH,600229,城市传媒,出版业,33.7
922,002461.SZ,002461,珠江啤酒,啤酒,33.69
989,002529.SZ,002529,海源复材,专用机械,33.65
1274,002824.SZ,002824,和胜股份,铝,33.54
2214,600097.SH,600097,开创国际,渔业,33.45
3515,603843.SH,603843,正平股份,建筑施工,33.26
364,000877.SZ,000877,天山股份,水泥,33.19
1164,002705.SZ,002705,新宝股份,家用电器,33.16
1422,300031.SZ,300031,宝通科技,互联网,33.15
1774,300387.SZ,300387,富邦股份,化工原料,33.13
918,002457.SZ,002457,青龙管业,塑料,32.97
1158,002698.SZ,002698,博实股份,化工机械,32.97
2643,600615.SH,600615,丰华股份,小金属,32.65
1338,002892.SZ,002892,科力尔,电气设备,32.52
378,000895.SZ,000895,双汇发展,食品,32.48
630,002168.SZ,002168,惠程科技,电气设备,32.38
3335,603387.SH,603387,基蛋生物,生物制药,32.3
1121,002661.SZ,002661,克明面业,食品,32.28
2313,600210.SH,600210,紫江企业,广告包装,32.16
359,000863.SZ,000863,三湘印象,区域地产,32.03
1283,002833.SZ,002833,弘亚数控,专用机械,31.88
108,000510.SZ,000510,金路集团,化工原料,31.66
2248,600133.SH,600133,东湖高新,园区开发,31.61
838,002377.SZ,002377,国创高新,石油加工,31.58
1530,300140.SZ,300140,中环装备,电气设备,31.56
2139,600004.SH,600004,白云机场,机场,31.54
3419,603638.SH,603638,艾迪精密,专用机械,31.5
1403,300012.SZ,300012,华测检测,电器仪表,31.47
3105,601886.SH,601886,江河集团,装修装饰,31.45
2625,600596.SH,600596,新安股份,农药化肥,31.43
2062,300682.SZ,300682,朗新科技,软件服务,31.41
3542,603896.SH,603896,寿仙谷,中成药,31.4
3265,603229.SH,603229,奥翔药业,化学制药,31.27
2703,600685.SH,600685,中船防务,船舶,31.11
717,002255.SZ,002255,海陆重工,专用机械,30.96
2232,600116.SH,600116,三峡水利,水力发电,30.94
440,000976.SZ,000976,华铁股份,运输设备,30.92
229,000673.SZ,000673,当代东方,影视音像,30.91
3249,603196.SH,603196,日播时尚,服饰,30.89
301,000779.SZ,000779,三毛派神,纺织,30.72
2661,600637.SH,600637,东方明珠,影视音像,30.68
1955,300571.SZ,300571,平治信息,互联网,30.65
221,000665.SZ,000665,湖北广电,影视音像,30.63
968,002507.SZ,002507,涪陵榨菜,食品,30.46
729,002268.SZ,002268,卫士通,软件服务,30.45
2522,600478.SH,600478,科力远,元器件,30.42
288,000756.SZ,000756,新华制药,化学制药,30.41
3533,603882.SH,603882,金域医学,医疗保健,30.36
3241,603181.SH,603181,皇马科技,化工原料,30.33
213,000652.SZ,000652,泰达股份,批发业,30.26
2398,600309.SH,600309,万华化学,化工原料,30.25
322,000806.SZ,000806,银河生物,生物制药,30.1
719,002258.SZ,002258,利尔化学,农药化肥,30.1
3345,603444.SH,603444,吉比特,互联网,29.94
1214,002759.SZ,002759,天际股份,家用电器,29.85
2855,600851.SH,600851,海欣股份,纺织,29.82
2293,600187.SH,600187,国中水务,水务,29.76
1633,300244.SZ,300244,迪安诊断,医疗保健,29.72
146,000557.SZ,000557,西部创业,铁路,29.72
780,002319.SZ,002319,乐通股份,染料涂料,29.7
2267,600158.SH,600158,中体产业,文教休闲,29.68
2331,600230.SH,600230,沧州大化,农药化肥,29.67
1055,002595.SZ,002595,豪迈科技,专用机械,29.66
149,000560.SZ,000560,我爱我家,房产服务,29.64
1009,002549.SZ,002549,凯美特气,环境保护,29.57
447,000985.SZ,000985,大庆华科,化工原料,29.47
506,002044.SZ,002044,美年健康,医疗保健,29.44
3575,603969.SH,603969,银龙股份,其他建材,29.37
2374,600281.SH,600281,太化股份,化工原料,29.32
1915,300529.SZ,300529,健帆生物,医疗保健,29.32
2753,600737.SH,600737,中粮糖业,食品,29.24
1084,002624.SZ,002624,完美世界,影视音像,29.21
3000,601177.SH,601177,杭齿前进,机械基件,29.17
2479,600405.SH,600405,动力源,电气设备,29.09
2404,600316.SH,600316,洪都航空,航空,28.98
2673,600650.SH,600650,锦江投资,公共交通,28.96
3230,603160.SH,603160,汇顶科技,元器件,28.94
1222,002768.SZ,002768,国恩股份,塑料,28.92
376,000892.SZ,000892,欢瑞世纪,影视音像,28.88
1748,300359.SZ,300359,全通教育,文教休闲,28.87
3558,603922.SH,603922,金鸿顺,汽车配件,28.84
3263,603227.SH,603227,雪峰科技,化工原料,28.77
3287,603303.SH,603303,得邦照明,家用电器,28.75
2887,600885.SH,600885,宏发股份,电气设备,28.7
2945,600996.SH,600996,贵广网络,影视音像,28.63
733,002272.SZ,002272,川润股份,机械基件,28.62
3174,603041.SH,603041,美思德,化工原料,28.59
74,000401.SZ,000401,冀东水泥,水泥,28.58
2694,600676.SH,600676,交运股份,公共交通,28.56
697,002235.SZ,002235,安妮股份,互联网,28.37
1537,300147.SZ,300147,香雪制药,中成药,28.32
1281,002831.SZ,002831,裕同科技,广告包装,28.31
3518,603856.SH,603856,东宏股份,塑料,28.24
730,002269.SZ,002269,美邦服饰,服饰,28.24
954,002493.SZ,002493,荣盛石化,化纤,28.15
901,002440.SZ,002440,闰土股份,染料涂料,28.14
101,000502.SZ,000502,绿景控股,医疗保健,28.09
628,002166.SZ,002166,莱茵生物,中成药,28.02
3573,603966.SH,603966,法兰泰克,机械基件,27.87
121,000528.SZ,000528,柳工,工程机械,27.86
2394,600305.SH,600305,恒顺醋业,食品,27.78
2812,600802.SH,600802,福建水泥,水泥,27.75
112,000517.SZ,000517,荣安地产,区域地产,27.75
234,000680.SZ,000680,山推股份,工程机械,27.7
520,002058.SZ,002058,威尔泰,电器仪表,27.68
2487,600419.SH,600419,天润乳业,乳制品,27.65
2157,600026.SH,600026,中远海能,水运,27.6
182,000606.SZ,000606,顺利办,互联网,27.52
1926,300540.SZ,300540,深冷股份,专用机械,27.45
831,002370.SZ,002370,亚太药业,化学制药,27.37
642,002180.SZ,002180,纳思达,电脑设备,27.36
393,000913.SZ,000913,钱江摩托,摩托车,27.34
2878,600875.SH,600875,东方电气,电气设备,27.32
3157,603022.SH,603022,新通联,广告包装,27.28
3208,603108.SH,603108,润达医疗,医药商业,27.26
3458,603711.SH,603711,香飘飘,软饮料,27.26
401,000923.SZ,000923,河北宣工,铜,27.25
2589,600557.SH,600557,康缘药业,中成药,27.24
807,002346.SZ,002346,柘中股份,电气设备,27.19
2693,600675.SH,600675,中华企业,区域地产,27.15
1739,300350.SZ,300350,华鹏飞,仓储物流,27.12
2150,600018.SH,600018,上港集团,港口,27.03
2610,600580.SH,600580,卧龙电驱,电气设备,26.99
3169,603036.SH,603036,如通股份,专用机械,26.95
341,000830.SZ,000830,鲁西化工,农药化肥,26.94
2686,600665.SH,600665,天地源,全国地产,26.88
1833,300446.SZ,300446,乐凯新材,化工原料,26.88
3321,603359.SH,603359,东珠生态,建筑施工,26.87
2923,600969.SH,600969,郴电国际,水力发电,26.8
330,000816.SZ,000816,*ST慧业,农用机械,26.77
1184,002727.SZ,002727,一心堂,医药商业,26.74
1893,300506.SZ,300506,名家汇,建筑施工,26.68
2493,600426.SH,600426,华鲁恒升,农药化肥,26.67
1022,002562.SZ,002562,兄弟科技,化学制药,26.65
1969,300586.SZ,300586,美联新材,化工原料,26.63
2233,600117.SH,600117,西宁特钢,特种钢,26.44
2458,600380.SH,600380,健康元,化学制药,26.39
2944,600995.SH,600995,文山电力,水力发电,26.31
1508,300118.SZ,300118,东方日升,半导体,26.3
2719,600702.SH,600702,舍得酒业,白酒,26.25
220,000663.SZ,000663,永安林业,林业,26.19
172,000593.SZ,000593,大通燃气,供气供热,26.18
1300,002852.SZ,002852,道道全,食品,26.15
3454,603706.SH,603706,东方环宇,供气供热,26.0
2170,600050.SH,600050,中国联通,电信运营,25.98
3461,603716.SH,603716,塞力斯,医药商业,25.98
3234,603167.SH,603167,渤海轮渡,水运,25.97
184,000608.SZ,000608,阳光股份,区域地产,25.97
2097,300719.SZ,300719,安达维尔,航空,25.89
3432,603666.SH,603666,亿嘉和,专用机械,25.85
3358,603507.SH,603507,振江股份,钢加工,25.83
3100,601877.SH,601877,正泰电器,电气设备,25.83
1627,300238.SZ,300238,冠昊生物,医疗保健,25.75
1033,002573.SZ,002573,清新环境,环境保护,25.74
2230,600114.SH,600114,东睦股份,机械基件,25.58
370,000885.SZ,000885,城发环境,公路,25.52
3433,603667.SH,603667,五洲新春,机械基件,25.5
2831,600823.SH,600823,世茂股份,全国地产,25.46
2317,600215.SH,600215,长春经开,园区开发,25.45
2287,600180.SH,600180,瑞茂通,仓储物流,25.45
588,002126.SZ,002126,银轮股份,汽车配件,25.44
657,002195.SZ,002195,二三四五,软件服务,25.4
2328,600227.SH,600227,圣济堂,农药化肥,25.35
131,000539.SZ,000539,粤电力A,火力发电,25.32
2370,600277.SH,600277,亿利洁能,综合类,25.21
1287,002838.SZ,002838,道恩股份,塑料,25.15
2426,600340.SH,600340,华夏幸福,区域地产,25.11
2752,600736.SH,600736,苏州高新,园区开发,25.08
2082,300702.SZ,300702,天宇股份,化学制药,25.07
1862,300475.SZ,300475,聚隆科技,专用机械,25.06
276,000732.SZ,000732,泰禾集团,区域地产,25.02
1588,300199.SZ,300199,翰宇药业,化学制药,25.02
3272,603260.SH,603260,合盛硅业,化工原料,25.02
1727,300338.SZ,300338,开元股份,电器仪表,25.01
515,002053.SZ,002053,云南能投,食品,25.0
282,000739.SZ,000739,普洛药业,化学制药,24.99
2499,600438.SH,600438,通威股份,饲料,24.98
1973,300590.SZ,300590,移为通信,通信设备,24.95
405,000928.SZ,000928,中钢国际,建筑施工,24.95
943,002482.SZ,002482,广田集团,装修装饰,24.91
3226,603156.SH,603156,养元饮品,软饮料,24.87
3115,601928.SH,601928,凤凰传媒,出版业,24.84
2314,600211.SH,600211,西藏药业,中成药,24.77
3534,603883.SH,603883,老百姓,医药商业,24.77
1650,300261.SZ,300261,雅本化学,农药化肥,24.67
1898,300511.SZ,300511,雪榕生物,种植业,24.67
2152,600020.SH,600020,中原高速,路桥,24.62
179,000601.SZ,000601,韶能股份,水力发电,24.61
1280,002830.SZ,002830,名雕股份,装修装饰,24.57
976,002515.SZ,002515,金字火腿,食品,24.55
702,002240.SZ,002240,威华股份,家居用品,24.51
1277,002827.SZ,002827,高争民爆,化工原料,24.51
770,002309.SZ,002309,中利集团,电气设备,24.49
1736,300347.SZ,300347,泰格医药,医疗保健,24.44
3509,603826.SH,603826,坤彩科技,染料涂料,24.4
2592,600560.SH,600560,金自天正,电气设备,24.4
868,002407.SZ,002407,多氟多,化工原料,24.28
3255,603208.SH,603208,江山欧派,家居用品,24.27
1252,002800.SZ,002800,天顺股份,仓储物流,24.22
2333,600232.SH,600232,金鹰股份,纺织,24.14
2325,600223.SH,600223,鲁商置业,区域地产,24.12
2671,600648.SH,600648,外高桥,园区开发,24.1
1002,002542.SZ,002542,中化岩土,建筑施工,24.09
