,ts_code,name,industry,WEIGHT_CONTINUOUSLY_FALL_P_CHANGE,WEIGHT_LAST_P_CHANGE,INFLEXION,WEEKLY_WEIGHT_LAST_P_CHANGE
2559,600532.SH,宏达矿业,普钢,-2.95,3.41,6.36,1.07
147,000558.SZ,莱茵体育,文教休闲,-2.92,1.34,4.26,2.5
1473,300088.SZ,长信科技,元器件,-2.9,2.18,5.08,0.11
3373,603588.SH,高能环境,环境保护,-2.88,0.79,3.67,3.51
689,002227.SZ,奥特迅,电气设备,-2.88,1.0,3.88,1.09
2208,600103.SH,青山纸业,造纸,-2.85,0.18,3.03,2.75
2694,600687.SH,刚泰控股,黄金,-2.69,0.51,3.2,8.02
1449,300064.SZ,豫金刚石,矿物制品,-2.68,0.32,3.0,1.47
871,002410.SZ,广联达,软件服务,-2.65,0.15,2.8,3.78
2518,600486.SH,扬农化工,农药化肥,-2.64,0.83,3.47,1.67
1067,002607.SZ,亚夏汽车,汽车服务,-2.6,1.2,3.8,0.27
1859,300477.SZ,合纵科技,电气设备,-2.59,0.22,2.81,0.22
1831,300449.SZ,汉邦高科,电脑设备,-2.57,0.55,3.12,0.54
900,002439.SZ,启明星辰,软件服务,-2.57,1.15,3.72,0.99
1111,002651.SZ,利君股份,专用机械,-2.51,2.15,4.66,3.15
3472,603790.SH,雅运股份,染料涂料,-2.5,4.1,6.6,3.71
2607,600588.SH,用友网络,软件服务,-2.49,0.04,2.53,2.88
3308,603365.SH,水星家纺,纺织,-2.47,0.2,2.67,2.0
3132,603011.SH,合锻智能,机床制造,-2.44,0.42,2.86,4.8
799,002338.SZ,奥普光电,电器仪表,-2.4,0.37,2.77,0.83
1391,300005.SZ,探路者,服饰,-2.39,0.29,2.68,2.47
2522,600490.SH,鹏欣资源,铜,-2.36,1.68,4.04,0.52
1050,002590.SZ,万安科技,汽车配件,-2.35,1.13,3.48,6.77
1398,300012.SZ,华测检测,电器仪表,-2.31,0.94,3.25,1.34
2223,600118.SH,中国卫星,航空,-2.3,0.11,2.41,0.62
483,002021.SZ,中捷资源,纺织机械,-2.29,2.68,4.97,2.52
987,002527.SZ,新时达,电器仪表,-2.27,0.43,2.7,2.97
1189,002732.SZ,燕塘乳业,乳制品,-2.27,0.03,2.3,1.78
844,002383.SZ,合众思壮,通信设备,-2.25,0.44,2.69,0.04
1481,300096.SZ,易联众,软件服务,-2.23,4.46,6.69,6.01
3547,603937.SH,丽岛新材,铝,-2.2,2.16,4.36,5.48
1650,300266.SZ,兴源环境,环境保护,-2.2,1.06,3.26,0.66
2354,600271.SH,航天信息,电脑设备,-2.19,0.32,2.51,2.07
231,000677.SZ,恒天海龙,化纤,-2.18,0.74,2.92,0.37
1953,300575.SZ,中旗股份,农药化肥,-2.17,1.61,3.78,2.64
2124,300756.SZ,中山金马,专用机械,-2.1,2.25,4.35,1.5
2610,600592.SH,龙溪股份,机械基件,-2.06,0.81,2.87,1.87
309,000790.SZ,泰合健康,中成药,-2.05,2.9,4.95,4.48
2001,300625.SZ,三雄极光,半导体,-2.05,0.38,2.43,1.34
903,002442.SZ,龙星化工,化工原料,-2.02,0.14,2.16,3.13
2789,600789.SH,鲁抗医药,化学制药,-2.02,0.73,2.75,4.79
1075,002615.SZ,哈尔斯,家居用品,-2.02,0.77,2.79,6.52
1738,300354.SZ,东华测试,电器仪表,-2.0,0.35,2.35,0.58
2496,600456.SH,宝钛股份,小金属,-1.99,2.82,4.81,2.39
1592,300208.SZ,恒顺众昇,电气设备,-1.98,0.24,2.22,1.46
1295,002847.SZ,盐津铺子,食品,-1.97,0.07,2.04,4.04
50,000066.SZ,中国长城,电脑设备,-1.96,1.3,3.26,1.0
881,002420.SZ,毅昌股份,塑料,-1.96,0.29,2.25,1.58
635,002173.SZ,创新医疗,医疗保健,-1.96,0.33,2.29,0.93
1602,300218.SZ,安利股份,塑料,-1.96,0.08,2.04,2.9
3099,601919.SH,中远海控,水运,-1.95,0.33,2.28,1.78
3371,603586.SH,金麒麟,汽车配件,-1.93,2.24,4.17,1.88
1951,300572.SZ,安车检测,电器仪表,-1.93,0.98,2.91,3.66
1269,002819.SZ,东方中科,电器仪表,-1.93,0.34,2.27,1.31
3350,603527.SH,众源新材,铜,-1.9,1.34,3.24,1.43
2023,300648.SZ,星云股份,电器仪表,-1.88,8.75,10.63,9.75
2242,600139.SH,西部资源,汽车整车,-1.85,4.55,6.4,0.45
3510,603876.SH,鼎胜新材,铝,-1.84,1.07,2.91,0.13
2605,600586.SH,金晶科技,玻璃,-1.84,3.23,5.07,1.51
212,000651.SZ,格力电器,家用电器,-1.83,1.12,2.95,3.98
2736,600731.SH,湖南海利,农药化肥,-1.83,0.99,2.82,1.44
3456,603737.SH,三棵树,染料涂料,-1.82,0.12,1.94,3.57
2294,600200.SH,江苏吴中,综合类,-1.81,0.54,2.35,2.89
363,000876.SZ,新希望,饲料,-1.8,0.46,2.26,0.33
2429,600360.SH,华微电子,半导体,-1.79,4.82,6.61,3.07
3130,603009.SH,北特科技,汽车配件,-1.76,0.41,2.17,0.73
647,002185.SZ,华天科技,半导体,-1.74,1.18,2.92,1.05
3053,601636.SH,旗滨集团,玻璃,-1.74,0.76,2.5,1.79
3207,603133.SH,碳元科技,元器件,-1.74,1.8,3.54,0.86
1788,300406.SZ,九强生物,生物制药,-1.74,1.97,3.71,1.54
2905,600961.SH,株冶集团,铅锌,-1.72,1.69,3.41,5.87
1348,002903.SZ,宇环数控,机床制造,-1.72,1.2,2.92,5.08
729,002268.SZ,卫士通,软件服务,-1.72,0.17,1.89,3.97
600,002138.SZ,顺络电子,元器件,-1.69,0.28,1.97,0.73
1122,002662.SZ,京威股份,汽车配件,-1.67,4.85,6.52,5.57
3420,603676.SH,卫信康,化学制药,-1.67,0.17,1.84,3.85
2349,600265.SH,ST景谷,林业,-1.67,0.24,1.91,1.65
2679,600671.SH,天目药业,中成药,-1.66,0.48,2.14,5.35
1988,300611.SZ,美力科技,机械基件,-1.65,0.06,1.71,1.29
1344,002899.SZ,英派斯,文教休闲,-1.62,0.79,2.41,1.73
517,002055.SZ,得润电子,元器件,-1.62,0.28,1.9,1.99
1589,300205.SZ,天喻信息,元器件,-1.62,0.11,1.73,0.68
962,002501.SZ,利源精制,铝,-1.61,1.96,3.57,0.81
2631,600614.SH,鹏起科技,综合类,-1.61,0.16,1.77,5.81
1283,002833.SZ,弘亚数控,专用机械,-1.6,0.23,1.83,2.63
644,002182.SZ,云海金属,小金属,-1.6,2.1,3.7,0.77
1428,300042.SZ,朗科科技,电脑设备,-1.6,0.07,1.67,1.08
3124,603002.SH,宏昌电子,化工原料,-1.6,0.54,2.14,0.54
1477,300092.SZ,科新机电,专用机械,-1.6,3.26,4.86,2.63
3319,603387.SH,基蛋生物,生物制药,-1.59,1.19,2.78,0.5
3247,603226.SH,菲林格尔,家居用品,-1.59,1.13,2.72,0.73
3561,603978.SH,深圳新星,铝,-1.59,2.45,4.04,1.75
1787,300405.SZ,科隆股份,化工原料,-1.58,0.12,1.7,2.19
2566,600540.SH,新赛股份,种植业,-1.57,0.8,2.37,1.07
2920,600980.SH,北矿科技,元器件,-1.56,0.57,2.13,0.72
835,002374.SZ,丽鹏股份,建筑施工,-1.56,1.27,2.83,0.32
1938,300558.SZ,贝达药业,化学制药,-1.55,3.39,4.94,2.1
2680,600673.SH,东阳光科,铝,-1.55,0.85,2.4,7.61
3390,603612.SH,索通发展,矿物制品,-1.55,3.61,5.16,2.66
556,002094.SZ,青岛金王,日用化工,-1.55,0.1,1.65,1.09
612,002150.SZ,通润装备,机械基件,-1.55,2.56,4.11,3.36
2160,600051.SH,宁波联合,综合类,-1.53,0.09,1.62,2.83
1741,300357.SZ,我武生物,生物制药,-1.52,0.24,1.76,1.62
406,000929.SZ,兰州黄河,啤酒,-1.52,3.32,4.84,2.7
1209,002753.SZ,永东股份,化工原料,-1.51,0.74,2.25,1.11
1909,300528.SZ,幸福蓝海,影视音像,-1.51,1.31,2.82,1.94
2716,600711.SH,盛屯矿业,小金属,-1.5,3.65,5.15,3.03
998,002538.SZ,司尔特,农药化肥,-1.49,3.74,5.23,2.31
3037,601579.SH,会稽山,红黄药酒,-1.49,0.22,1.71,1.47
994,002534.SZ,杭锅股份,专用机械,-1.49,1.6,3.09,1.15
208,000637.SZ,茂化实华,石油加工,-1.48,0.75,2.23,2.27
2146,600026.SH,中远海能,水运,-1.48,0.54,2.02,0.75
2727,600722.SH,金牛化工,化工原料,-1.47,2.35,3.82,1.5
853,002392.SZ,北京利尔,其他建材,-1.47,0.75,2.22,1.05
2205,600099.SH,林海股份,摩托车,-1.46,0.25,1.71,0.75
3520,603887.SH,城地股份,建筑施工,-1.46,1.04,2.5,0.9
3356,603555.SH,贵人鸟,服饰,-1.45,0.57,2.02,0.73
1827,300445.SZ,康斯特,电器仪表,-1.44,2.82,4.26,2.88
2243,600141.SH,兴发集团,化工原料,-1.44,6.1,7.54,1.42
2215,600110.SH,诺德股份,电气设备,-1.42,0.12,1.54,0.6
2593,600573.SH,惠泉啤酒,啤酒,-1.42,0.48,1.9,5.94
2649,600636.SH,三爱富,化工原料,-1.42,1.14,2.56,2.24
702,002240.SZ,威华股份,家居用品,-1.42,1.57,2.99,2.1
2836,600841.SH,上柴股份,机械基件,-1.42,2.06,3.48,6.72
341,000830.SZ,鲁西化工,农药化肥,-1.41,2.85,4.26,1.76
1497,300112.SZ,万讯自控,电器仪表,-1.39,0.89,2.28,1.64
2698,600691.SH,阳煤化工,农药化肥,-1.38,1.59,2.97,1.39
438,000973.SZ,佛塑科技,塑料,-1.37,0.69,2.06,5.38
571,002109.SZ,兴化股份,化工原料,-1.36,0.28,1.64,1.1
93,000425.SZ,徐工机械,工程机械,-1.36,0.46,1.82,0.91
3409,603657.SH,春光科技,塑料,-1.35,2.76,4.11,0.93
1925,300545.SZ,联得装备,专用机械,-1.34,2.15,3.49,2.7
2808,600810.SH,神马股份,化纤,-1.34,3.78,5.12,2.29
2380,600301.SH,ST南化,化工原料,-1.34,0.08,1.42,0.45
117,000523.SZ,广州浪奇,日用化工,-1.33,0.12,1.45,0.61
3059,601688.SH,华泰证券,证券,-1.33,0.5,1.83,1.93
1805,300423.SZ,鲁亿通,电气设备,-1.32,0.35,1.67,0.82
1656,300272.SZ,开能健康,环境保护,-1.32,0.37,1.69,2.11
2117,300747.SZ,锐科激光,元器件,-1.32,0.38,1.7,1.08
737,002276.SZ,万马股份,电气设备,-1.31,0.18,1.49,3.27
1158,002698.SZ,博实股份,化工机械,-1.31,0.71,2.02,3.06
3226,603181.SH,皇马科技,化工原料,-1.29,0.57,1.86,7.99
2351,600267.SH,海正药业,化学制药,-1.28,1.66,2.94,0.93
2633,600616.SH,金枫酒业,红黄药酒,-1.28,0.6,1.88,2.43
291,000759.SZ,中百集团,超市连锁,-1.28,2.16,3.44,5.27
1123,002663.SZ,普邦股份,建筑施工,-1.28,0.37,1.65,2.84
3325,603399.SH,吉翔股份,小金属,-1.27,0.46,1.73,0.51
78,000407.SZ,胜利股份,供气供热,-1.27,3.35,4.62,0.51
426,000960.SZ,锡业股份,小金属,-1.26,0.99,2.25,3.98
2311,600220.SH,江苏阳光,纺织,-1.23,3.11,4.34,3.57
1539,300154.SZ,瑞凌股份,元器件,-1.23,0.77,2.0,2.25
539,002077.SZ,大港股份,区域地产,-1.22,0.25,1.47,0.62
1492,300107.SZ,建新股份,化工原料,-1.22,3.05,4.27,4.86
2587,600567.SH,山鹰纸业,造纸,-1.22,1.23,2.45,2.66
619,002157.SZ,正邦科技,饲料,-1.22,0.49,1.71,5.0
136,000545.SZ,金浦钛业,化工原料,-1.22,4.33,5.55,4.02
1493,300108.SZ,吉药控股,中成药,-1.21,0.85,2.06,0.67
1490,300105.SZ,龙源技术,电器仪表,-1.21,0.12,1.33,2.12
2691,600684.SH,珠江实业,全国地产,-1.21,0.12,1.33,0.37
2313,600222.SH,太龙药业,中成药,-1.21,0.41,1.62,3.22
827,002366.SZ,台海核电,专用机械,-1.21,0.95,2.16,3.12
335,000822.SZ,山东海化,化工原料,-1.2,0.81,2.01,0.3
2993,601199.SH,江南水务,水务,-1.19,0.13,1.32,7.12
435,000970.SZ,中科三环,元器件,-1.18,0.56,1.74,0.5
3006,601233.SH,桐昆股份,化纤,-1.17,0.14,1.31,3.82
728,002267.SZ,陕天然气,供气供热,-1.17,1.05,2.22,0.86
3507,603868.SH,飞科电器,家用电器,-1.16,0.59,1.75,0.98
3097,601908.SH,京运通,电气设备,-1.16,0.29,1.45,6.0
2663,600651.SH,飞乐音响,电器仪表,-1.16,0.59,1.75,0.29
2565,600539.SH,*ST狮头,水泥,-1.15,0.54,1.69,0.78
2317,600227.SH,圣济堂,农药化肥,-1.15,0.17,1.32,1.18
398,000920.SZ,南方汇通,环境保护,-1.15,0.27,1.42,3.68
3306,603360.SH,百傲化学,化工原料,-1.13,1.33,2.46,7.81
2214,600109.SH,国金证券,证券,-1.13,0.13,1.26,0.57
226,000670.SZ,盈方微,元器件,-1.13,3.05,4.18,2.65
778,002317.SZ,众生药业,中成药,-1.11,0.41,1.52,0.47
753,002292.SZ,奥飞娱乐,影视音像,-1.09,1.86,2.95,1.09
1711,300327.SZ,中颖电子,半导体,-1.07,0.05,1.12,1.39
487,002025.SZ,航天电器,元器件,-1.07,0.2,1.27,3.63
77,000404.SZ,长虹华意,专用机械,-1.07,0.24,1.31,0.72
2307,600216.SH,浙江医药,化学制药,-1.07,0.57,1.64,0.98
2909,600966.SH,博汇纸业,造纸,-1.07,0.77,1.84,0.92
2362,600280.SH,中央商场,百货,-1.07,2.57,3.64,5.27
1148,002688.SZ,金河生物,化学制药,-1.07,0.43,1.5,0.98
2030,300655.SZ,晶瑞股份,化工原料,-1.06,0.26,1.32,0.19
2533,600503.SH,华丽家族,区域地产,-1.06,1.53,2.59,1.38
578,002116.SZ,中国海诚,建筑施工,-1.06,2.64,3.7,9.56
201,000629.SZ,攀钢钒钛,小金属,-1.05,0.6,1.65,3.02
2499,600460.SH,士兰微,半导体,-1.05,1.78,2.83,2.03
847,002386.SZ,天原集团,化工原料,-1.04,0.44,1.48,2.97
252,000703.SZ,恒逸石化,化纤,-1.04,1.01,2.05,1.67
1790,300408.SZ,三环集团,元器件,-1.04,1.11,2.15,4.26
1478,300093.SZ,金刚玻璃,玻璃,-1.04,0.07,1.11,2.69
1550,300165.SZ,天瑞仪器,电器仪表,-1.04,0.12,1.16,2.51
463,002001.SZ,新和成,化学制药,-1.03,1.17,2.2,0.44
3038,601588.SH,北辰实业,区域地产,-1.03,0.52,1.55,0.17
602,002140.SZ,东华科技,建筑施工,-1.02,0.88,1.9,2.43
898,002437.SZ,誉衡药业,化学制药,-1.02,2.91,3.93,3.46
1832,300450.SZ,先导智能,专用机械,-1.01,1.29,2.3,1.04
3169,603063.SH,禾望电气,电气设备,-1.01,1.6,2.61,0.07
3264,603286.SH,日盈电子,汽车配件,-1.01,0.24,1.25,5.16
3084,601872.SH,招商轮船,水运,-1.01,0.38,1.39,2.34
2241,600138.SH,中青旅,旅游服务,-1.01,0.3,1.31,1.46
3158,603040.SH,新坐标,机械基件,-1.01,0.58,1.59,1.87
2392,600315.SH,上海家化,日用化工,-1.0,1.59,2.59,0.19
2033,300658.SZ,延江股份,纺织,-1.0,0.13,1.13,0.42
1557,300172.SZ,中电环保,环境保护,-1.0,0.92,1.92,0.92
3412,603660.SH,苏州科达,通信设备,-0.99,0.52,1.51,4.37
1172,002714.SZ,牧原股份,农业综合,-0.98,4.88,5.86,1.8
1761,300379.SZ,东方通,软件服务,-0.98,1.61,2.59,0.76
2941,601005.SH,重庆钢铁,普钢,-0.98,1.49,2.47,1.75
632,002170.SZ,芭田股份,农药化肥,-0.97,5.38,6.35,5.07
3288,603328.SH,依顿电子,元器件,-0.96,0.46,1.42,2.6
121,000528.SZ,柳工,工程机械,-0.96,0.4,1.36,0.48
3233,603192.SH,汇得科技,化工原料,-0.96,2.44,3.4,1.87
3241,603214.SH,爱婴室,百货,-0.95,0.04,0.99,1.48
2732,600727.SH,鲁北化工,农药化肥,-0.95,0.96,1.91,0.7
3539,603919.SH,金徽酒,白酒,-0.94,0.83,1.77,4.49
3509,603871.SH,嘉友国际,仓储物流,-0.94,0.34,1.28,1.57
3375,603590.SH,康辰药业,化学制药,-0.93,0.65,1.58,0.29
2514,600481.SH,双良节能,环境保护,-0.93,0.54,1.47,4.83
1306,002859.SZ,洁美科技,元器件,-0.92,1.56,2.48,1.74
352,000852.SZ,石化机械,化工机械,-0.92,1.53,2.45,1.13
1506,300121.SZ,阳谷华泰,化工原料,-0.91,0.29,1.2,0.86
719,002258.SZ,利尔化学,农药化肥,-0.91,0.61,1.52,0.38
915,002454.SZ,松芝股份,汽车配件,-0.91,0.35,1.26,0.81
2858,600866.SH,星湖科技,食品,-0.9,2.72,3.62,3.98
904,002443.SZ,金洲管道,钢加工,-0.89,0.18,1.07,0.36
1038,002578.SZ,闽发铝业,铝,-0.89,1.79,2.68,0.15
2912,600970.SH,中材国际,建筑施工,-0.88,0.27,1.15,0.35
3452,603728.SH,鸣志电器,电气设备,-0.88,2.18,3.06,6.07
760,002299.SZ,圣农发展,农业综合,-0.88,0.7,1.58,3.39
238,000685.SZ,中山公用,水务,-0.88,0.27,1.15,0.55
3374,603589.SH,口子窖,白酒,-0.88,0.61,1.49,7.52
2659,600647.SH,同达创业,综合类,-0.87,0.53,1.4,3.02
1937,300557.SZ,理工光科,电器仪表,-0.87,0.06,0.93,2.18
255,000708.SZ,大冶特钢,特种钢,-0.87,0.55,1.42,1.38
2671,600661.SH,昂立教育,文教休闲,-0.87,0.02,0.89,0.43
2994,601200.SH,上海环境,环境保护,-0.87,0.04,0.91,2.34
481,002019.SZ,亿帆医药,化学制药,-0.86,1.68,2.54,0.82
607,002145.SZ,中核钛白,化工原料,-0.86,2.18,3.04,1.74
2201,600095.SH,哈高科,区域地产,-0.86,0.25,1.11,1.26
2505,600468.SH,百利电气,电气设备,-0.86,0.17,1.03,1.29
576,002114.SZ,罗平锌电,铅锌,-0.86,0.67,1.53,1.7
2373,600292.SH,远达环保,环境保护,-0.85,0.1,0.95,2.24
1443,300057.SZ,万顺股份,广告包装,-0.84,3.78,4.62,4.69
1230,002776.SZ,柏堡龙,服饰,-0.84,2.46,3.3,0.99
598,002136.SZ,安纳达,化工原料,-0.83,2.39,3.22,1.68
108,000510.SZ,金路集团,化工原料,-0.83,0.72,1.55,0.72
2867,600875.SH,东方电气,电气设备,-0.82,0.06,0.88,2.88
826,002365.SZ,永安药业,化学制药,-0.82,1.41,2.23,0.29
1378,002937.SZ,兴瑞科技,元器件,-0.82,1.31,2.13,3.08
1001,002541.SZ,鸿路钢构,钢加工,-0.82,0.14,0.96,1.26
2599,600580.SH,卧龙电气,电气设备,-0.81,0.3,1.11,1.57
3369,603583.SH,捷昌驱动,电气设备,-0.8,2.03,2.83,1.26
1226,002772.SZ,众兴菌业,种植业,-0.8,0.15,0.95,2.32
2937,601000.SH,唐山港,港口,-0.8,0.6,1.4,1.01
2487,600436.SH,片仔癀,中成药,-0.79,1.43,2.22,3.62
3210,603139.SH,康惠制药,中成药,-0.79,0.1,0.89,0.22
216,000657.SZ,中钨高新,小金属,-0.79,1.59,2.38,2.22
941,002480.SZ,新筑股份,机械基件,-0.78,0.39,1.17,0.89
306,000786.SZ,北新建材,其他建材,-0.78,0.51,1.29,2.11
111,000516.SZ,国际医学,百货,-0.78,0.2,0.98,0.3
3203,603127.SH,昭衍新药,医疗保健,-0.78,1.43,2.21,2.4
3562,603979.SH,金诚信,建筑施工,-0.78,0.46,1.24,0.66
550,002088.SZ,鲁阳节能,矿物制品,-0.78,0.73,1.51,1.99
2272,600176.SH,中国巨石,玻璃,-0.78,0.16,0.94,0.37
3125,603003.SH,龙宇燃油,石油贸易,-0.77,0.84,1.61,1.85
2414,600339.SH,中油工程,石油加工,-0.77,1.41,2.18,3.17
687,002225.SZ,濮耐股份,其他建材,-0.77,0.99,1.76,0.66
86,000417.SZ,合肥百货,百货,-0.77,0.22,0.99,1.45
2096,300723.SZ,一品红,化学制药,-0.76,0.34,1.1,4.45
3194,603110.SH,东方材料,染料涂料,-0.76,0.77,1.53,1.46
275,000731.SZ,四川美丰,农药化肥,-0.76,1.24,2.0,1.63
3317,603385.SH,惠达卫浴,家居用品,-0.76,0.29,1.05,2.16
2508,600475.SH,华光股份,专用机械,-0.75,0.46,1.21,1.35
1864,300482.SZ,万孚生物,生物制药,-0.75,2.95,3.7,2.1
2978,601137.SH,博威合金,铜,-0.75,0.41,1.16,2.09
156,000568.SZ,泸州老窖,白酒,-0.74,1.99,2.73,3.72
1547,300162.SZ,雷曼股份,元器件,-0.74,0.37,1.11,1.03
3057,601677.SH,明泰铝业,铝,-0.74,0.75,1.49,2.56
2677,600667.SH,太极实业,半导体,-0.73,0.46,1.19,0.73
3320,603388.SH,元成股份,建筑施工,-0.73,3.64,4.37,2.56
1849,300467.SZ,迅游科技,互联网,-0.73,0.54,1.27,0.76
2782,600780.SH,通宝能源,火力发电,-0.73,0.44,1.17,1.04
176,000598.SZ,兴蓉环境,水务,-0.72,0.24,0.96,0.48
996,002536.SZ,西泵股份,汽车配件,-0.72,0.21,0.93,2.93
2203,600097.SH,开创国际,渔业,-0.71,0.71,1.42,0.33
2930,600992.SH,贵绳股份,钢加工,-0.71,0.19,0.9,2.51
901,002440.SZ,闰土股份,染料涂料,-0.71,1.11,1.82,0.5
2801,600802.SH,福建水泥,水泥,-0.71,1.24,1.95,0.78
3000,601222.SH,林洋能源,电器仪表,-0.7,0.2,0.9,0.41
152,000564.SZ,供销大集,百货,-0.7,0.18,0.88,5.14
2608,600589.SH,广东榕泰,塑料,-0.69,8.1,8.79,7.0
1792,300410.SZ,正业科技,电器仪表,-0.69,1.23,1.92,2.55
2655,600642.SH,申能股份,火力发电,-0.69,0.2,0.89,0.89
3042,601600.SH,中国铝业,铝,-0.69,1.39,2.08,0.69
2138,600017.SH,日照港,港口,-0.69,0.35,1.04,0.17
1131,002671.SZ,龙泉股份,其他建材,-0.69,0.92,1.61,1.04
2252,600153.SH,建发股份,商贸代理,-0.68,0.75,1.43,0.69
2489,600439.SH,瑞贝卡,服饰,-0.68,0.51,1.19,2.63
2851,600859.SH,王府井,百货,-0.68,1.37,2.05,2.03
405,000928.SZ,中钢国际,建筑施工,-0.67,0.11,0.78,0.45
732,002271.SZ,东方雨虹,其他建材,-0.67,1.14,1.81,7.44
2594,600575.SH,皖江物流,水运,-0.66,0.22,0.88,1.11
1561,300176.SZ,鸿特科技,汽车配件,-0.66,2.7,3.36,2.86
327,000812.SZ,陕西金叶,广告包装,-0.65,1.83,2.48,2.37
1783,300401.SZ,花园生物,食品,-0.65,1.03,1.68,1.16
2807,600809.SH,山西汾酒,白酒,-0.65,1.84,2.49,4.96
1395,300009.SZ,安科生物,生物制药,-0.63,0.75,1.38,0.38
3108,601966.SH,玲珑轮胎,汽车配件,-0.63,1.23,1.86,2.51
2560,600533.SH,栖霞建设,区域地产,-0.63,0.16,0.79,0.48
3082,601866.SH,中远海发,水运,-0.62,0.41,1.03,1.68
1048,002588.SZ,史丹利,农药化肥,-0.62,3.47,4.09,3.89
24,000030.SZ,富奥股份,汽车配件,-0.62,0.25,0.87,1.52
3398,603629.SH,利通电子,元器件,-0.61,3.65,4.26,3.89
2612,600594.SH,益佰制药,中成药,-0.6,0.78,1.38,0.61
10,000012.SZ,南玻A,玻璃,-0.6,0.48,1.08,0.6
57,000090.SZ,天健集团,建筑施工,-0.6,0.1,0.7,2.99
3513,603879.SH,永悦科技,化工原料,-0.6,0.6,1.2,0.15
1911,300530.SZ,达志科技,化工原料,-0.6,1.23,1.83,0.65
2186,600078.SH,澄星股份,化工原料,-0.59,7.75,8.34,6.03
308,000789.SZ,万年青,水泥,-0.59,1.36,1.95,2.16
3236,603198.SH,迎驾贡酒,白酒,-0.58,0.24,0.82,2.72
2483,600428.SH,中远海特,水运,-0.58,0.87,1.45,0.73
2530,600500.SH,中化国际,商贸代理,-0.58,0.22,0.8,1.02
3343,603508.SH,思维列控,软件服务,-0.58,0.46,1.04,0.31
1034,002574.SZ,明牌珠宝,服饰,-0.58,0.48,1.06,1.27
1206,002750.SZ,龙津药业,中成药,-0.58,0.5,1.08,1.71
954,002493.SZ,荣盛石化,化纤,-0.57,0.14,0.71,1.55
2602,600583.SH,海油工程,石油开采,-0.57,0.86,1.43,2.54
968,002507.SZ,涪陵榨菜,食品,-0.57,1.36,1.93,1.44
2527,600497.SH,驰宏锌锗,铅锌,-0.57,1.27,1.84,1.04
509,002047.SZ,宝鹰股份,装修装饰,-0.56,0.42,0.98,2.45
3482,603810.SH,丰山集团,农药化肥,-0.56,0.27,0.83,0.13
754,002293.SZ,罗莱生活,纺织,-0.56,0.17,0.73,0.51
2340,600252.SH,中恒集团,中成药,-0.56,0.37,0.93,2.1
2344,600258.SH,首旅酒店,酒店餐饮,-0.55,1.9,2.45,0.52
2998,601216.SH,君正集团,化工原料,-0.55,1.1,1.65,1.11
2678,600668.SH,尖峰集团,水泥,-0.54,0.17,0.71,0.33
2118,300748.SZ,金力永磁,元器件,-0.54,4.35,4.89,5.06
211,000650.SZ,仁和药业,中成药,-0.54,1.44,1.98,0.63
2544,600516.SH,方大炭素,矿物制品,-0.52,4.54,5.06,2.64
2168,600059.SH,古越龙山,红黄药酒,-0.51,0.15,0.66,1.04
361,000869.SZ,张裕A,红黄药酒,-0.51,0.57,1.08,0.98
2471,600409.SH,三友化工,化工原料,-0.51,1.29,1.8,0.86
3406,603650.SH,彤程新材,化工原料,-0.5,0.55,1.05,1.2
1962,300584.SZ,海辰药业,化学制药,-0.5,4.19,4.69,1.04
