,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT,COL_CONTINUOUS_LIMIT_COUNT,COL_MA_20_SLOPE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
21,605318.SH,605318,法狮龙,装修装饰,20.21,2.0,2.0,1.63,6.53,,0.0
22,603839.SH,603839,安正时尚,服饰,9.45,2.0,2.0,0.54,37.81,"平安银行股份有限公司-中庚价值灵动灵活配置混合型证券投资基金
广发证券股份有限公司-中庚小盘价值股票型证券投资基金
华泰证券股份有限公司-中庚价值领航混合型证券投资基金",3.0
23,603817.SH,603817,海峡环保,环境保护,7.41,2.0,2.0,1.27,33.35,,0.0
24,603668.SH,603668,天马科技,饲料,7.67,2.0,2.0,0.13,25.96,,0.0
25,603439.SH,603439,贵州三力,中成药,20.96,2.0,1.0,1.35,8.54,,0.0
26,603269.SH,603269,海鸥股份,机械基件,11.42,2.0,2.0,0.48,12.85,,0.0
27,003015.SZ,003015,日久光电,元器件,15.95,2.0,1.0,1.04,11.21,,0.0
28,603227.SH,603227,雪峰科技,化工原料,5.64,2.0,2.0,0.99,37.15,,0.0
29,603002.SH,603002,宏昌电子,化工原料,7.59,2.0,1.0,1.04,46.63,,0.0
30,600960.SH,600960,渤海汽车,汽车配件,4.03,2.0,2.0,0.55,38.31,,0.0
31,600818.SH,600818,中路股份,文教休闲,9.61,2.0,2.0,1.07,22.87,,0.0
32,600779.SH,600779,水井坊,白酒,96.44,2.0,1.0,2.34,470.92,"中国银行股份有限公司-易方达中小盘混合型证券投资基金
中国建设银行股份有限公司-泓德战略转型股票型证券投资基金
招商银行股份有限公司-泓德睿泽混合型证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-泓德瑞兴三年持有期混合型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金",6.0
33,600710.SH,600710,苏美达,工程机械,6.61,2.0,1.0,1.02,86.38,,0.0
34,600576.SH,600576,祥源文化,影视音像,5.86,2.0,1.0,1.86,36.3,,0.0
35,600509.SH,600509,天富能源,火力发电,6.04,2.0,2.0,0.77,69.55,,0.0
36,603169.SH,603169,兰石重装,专用机械,4.97,2.0,1.0,0.66,52.26,,0.0
37,003010.SZ,003010,若羽臣,互联网,31.99,2.0,1.0,0.71,9.73,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中信里昂资产管理有限公司-客户资金",2.0
38,003037.SZ,003037,三和管桩,水泥,19.27,2.0,1.0,0.94,13.1,,0.0
39,002932.SZ,002932,明德生物,医疗保健,82.68,2.0,1.0,1.24,24.82,,0.0
40,000567.SZ,000567,海德股份,多元金融,9.77,2.0,1.0,0.44,62.51,,0.0
41,000692.SZ,000692,惠天热电,供气供热,3.35,2.0,1.0,0.95,17.85,,0.0
42,000723.SZ,000723,美锦能源,焦炭加工,8.33,2.0,1.0,0.39,314.38,,0.0
43,000790.SZ,000790,华神科技,中成药,5.45,2.0,2.0,1.35,33.59,,0.0
44,000908.SZ,000908,景峰医药,化学制药,5.44,2.0,1.0,1.5,39.35,,0.0
45,000915.SZ,000915,山大华特,化学制药,28.13,2.0,2.0,1.4,65.87,"广发基金-国新投资有限公司-广发基金-国新2号单一资产管理计划
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
广发基金-中国银行-中银国际证券有限责任公司
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
全国社保基金一零七组合",6.0
46,000917.SZ,000917,电广传媒,影视音像,5.18,2.0,2.0,0.43,73.42,,0.0
47,000928.SZ,000928,中钢国际,建筑工程,7.39,2.0,1.0,1.0,92.87,"中航证券-宁波银行-中航祥瑞集合资产管理计划
中钢资产管理有限责任公司
交通银行股份有限公司-广发中证基建工程指数型发起式证券投资基金
红土创新基金-银河证券-深圳市创新投资集团有限公司",4.0
48,000932.SZ,000932,华菱钢铁,普钢,7.91,2.0,1.0,0.13,390.63,"中国农业银行股份有限公司-景顺长城沪深300指数增强型证券投资基金
香港中央结算有限公司(陆股通)
华菱集团-华泰联合证券-华菱E2担保及信托财产专户
华菱集团-华泰联合-华菱EB担保及信托财产专户
全国社保基金四一二组合",5.0
49,002993.SZ,002993,奥海科技,元器件,68.0,2.0,1.0,0.98,30.74,"中国建设银行股份有限公司-国泰大制造两年持有期混合型证券投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
中国银行股份有限公司-国泰聚利价值定期开放灵活配置混合型证券投资基金",3.0
50,002095.SZ,002095,生意宝,互联网,14.56,2.0,2.0,0.67,36.64,,0.0
51,002119.SZ,002119,康强电子,半导体,9.85,2.0,2.0,0.31,36.2,"国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
华润深国投信托有限公司-泽熙6期单一资金信托计划",3.0
52,002141.SZ,002141,贤丰控股,元器件,2.98,2.0,2.0,1.24,18.97,,0.0
53,002174.SZ,002174,游族网络,互联网,14.23,2.0,1.0,1.5,98.16,,0.0
54,000948.SZ,000948,南天信息,软件服务,11.98,2.0,2.0,1.45,40.07,,0.0
55,002193.SZ,002193,如意集团,纺织,6.45,2.0,2.0,0.48,16.83,,0.0
56,002900.SZ,002900,哈三联,化学制药,15.22,2.0,2.0,1.97,26.0,,0.0
57,002878.SZ,002878,元隆雅图,文教休闲,22.53,2.0,2.0,1.19,42.39,,0.0
58,002636.SZ,002636,金安国纪,元器件,14.44,2.0,1.0,2.0,104.42,,0.0
59,002591.SZ,002591,恒大高新,化工原料,5.69,2.0,2.0,0.73,12.32,,0.0
60,002564.SZ,002564,天沃科技,建筑工程,3.7,2.0,2.0,0.28,32.13,"中国对外经济贸易信托有限公司-外贸信托-汇沣12号结构化证券投资集合资金信托计划
北信瑞丰基金-招商银行-北信瑞丰基金绿色能源1号资产管理计划
陕西省国际信托股份有限公司-陕国投·易泓30号证券投资集合资金信托计划",3.0
61,002177.SZ,002177,御银股份,IT设备,8.52,2.0,2.0,2.73,64.85,,0.0
62,002490.SZ,002490,山东墨龙,化工机械,4.04,2.0,1.0,0.26,21.88,"华夏基金-中央汇金资产管理有限责任公司-华夏基金-汇金资管单一资产管理计划
香港中央结算有限公司(陆股通)
深圳前海经纬融和资产管理有限公司-融和2期私募证券投资基金",3.0
63,002400.SZ,002400,省广集团,广告包装,6.09,2.0,1.0,0.96,101.74,,0.0
64,002378.SZ,002378,章源钨业,小金属,8.96,2.0,2.0,0.6,81.99,,0.0
65,605368.SH,605368,蓝天燃气,供气供热,16.13,2.0,1.0,0.29,10.57,,0.0
66,002369.SZ,002369,卓翼科技,通信设备,6.24,2.0,1.0,1.3,35.93,,0.0
67,002286.SZ,002286,保龄宝,食品,13.27,2.0,2.0,1.86,49.0,,0.0
68,002248.SZ,002248,华东数控,机床制造,5.43,2.0,2.0,0.64,16.11,,0.0
69,600735.SH,600735,新华锦,商贸代理,6.81,3.0,2.0,1.91,25.61,,0.0
70,000566.SZ,000566,海南海药,化学制药,6.72,3.0,2.0,0.81,78.31,,0.0
71,002172.SZ,002172,澳洋健康,化纤,4.99,3.0,1.0,1.8,38.57,,0.0
72,605136.SH,605136,丽人丽妆,其他商业,33.58,3.0,2.0,1.02,13.44,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中信里昂资产管理有限公司-客户资金",2.0
73,000608.SZ,000608,阳光股份,区域地产,3.62,3.0,2.0,0.56,27.14,"上海天倚道投资管理有限公司-天倚道励新11号私募证券投资基金
上海衍金投资管理有限公司-衍金共生2号私募证券投资基金",2.0
74,000620.SZ,000620,新华联,全国地产,2.6,3.0,2.0,0.4,49.3,,0.0
75,002162.SZ,002162,悦心健康,医疗保健,7.4,3.0,2.0,3.34,63.15,中央汇金资产管理有限责任公司,1.0
76,002806.SZ,002806,华锋股份,元器件,9.7,3.0,2.0,0.45,10.87,,0.0
77,600983.SH,600983,惠而浦,家用电器,8.69,3.0,2.0,0.59,66.6,,0.0
78,600896.SH,600896,览海医疗,医疗保健,6.16,3.0,2.0,1.44,53.54,,0.0
79,000761.SZ,000761,本钢板材,普钢,4.44,4.0,2.0,1.45,154.33,,0.0
80,002103.SZ,002103,广博股份,文教休闲,4.85,4.0,2.0,0.95,17.51,,0.0
81,605198.SH,605198,德利股份,软饮料,29.19,4.0,2.0,1.7,5.84,"香港中央结算有限公司(陆股通)
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
82,605268.SH,605268,王力安防,家居用品,19.26,4.0,2.0,1.59,12.9,,0.0
83,600769.SH,600769,祥龙电业,建筑工程,7.01,4.0,2.0,2.4,26.29,,0.0
84,601005.SH,601005,重庆钢铁,普钢,2.39,4.0,2.0,2.25,200.29,,0.0
85,002348.SZ,002348,高乐股份,文教休闲,3.01,5.0,2.0,2.68,25.41,,0.0
