code,name,pe,p_change_01,p_change_12,past_average_turnover,stop_mark,sort_key
300256,星星科技,55.58,5.061,-20.319,3.203,,-102.834
300350,华鹏飞,33.62,4.726,-21.715,2.233,,-102.625
000797,中国武夷,70.32,5.41,-18.793,0.693,,-101.67
000985,大庆华科,46.21,6.6,-15.351,1.197,,-101.317
300645,正元智慧,938.89,8.221,-12.085,7.153,,-99.351
002758,华通医药,42.54,6.536,-14.972,1.443,,-97.857
002856,美芝股份,62.52,2.453,-39.798,9.35,,-97.624
600363,联创光电,21.97,9.151,-10.624,0.96,,-97.22
600197,伊力特,26.87,5.645,-17.152,0.743,,-96.823
300643,万通智控,61.79,7.749,-12.477,3.923,,-96.684
300648,星云股份,67.15,8.469,-11.346,4.957,,-96.089
600208,新湖中宝,17.85,5.992,-15.914,0.507,,-95.357
300543,朗科智能,35.24,4.263,-22.07,4.383,,-94.084
002129,中环股份,42.19,5.011,-18.609,2.913,,-93.25
300540,深冷股份,124.08,6.995,-13.28,1.09,,-92.894
300220,金运激光,94.78,3.873,-23.96,1.277,,-92.797
300020,银江股份,46.87,9.543,-9.716,6.49,,-92.72
300720,海川智能,65.49,4.719,-19.63,9.42,,-92.634
300729,乐歌股份,43.06,6.722,-13.771,8.89,,-92.569
601607,上海医药,19.35,7.637,-12.106,0.623,,-92.454
300334,津膜科技,3100.11,3.82,-24.127,2.24,,-92.165
300414,中光防雷,83.6,5.534,-16.631,0.963,,-92.036
601500,通用股份,43.01,5.331,-17.202,1.97,,-91.704
002689,远大智能,98.94,7.609,-11.917,0.683,,-90.676
002781,奇信股份,26.81,7.402,-12.243,1.11,,-90.623
300709,精研科技,34.7,4.095,-22.005,4.687,,-90.11
600768,宁波富邦,14.63,7.819,-11.513,0.96,,-90.02
000600,建投能源,40.96,5.708,-15.713,1.763,,-89.69
002708,光洋股份,108.97,5.825,-15.378,0.967,,-89.577
000565,渝三峡Ａ,32.86,6.56,-13.43,0.663,,-88.101
002714,牧原股份,23.38,3.487,-25.237,0.74,,-88.001
300248,新开普,35.6,9.25,-9.494,3.977,,-87.82
002810,山东赫达,43.9,6.294,-13.921,3.117,,-87.619
300669,沪宁股份,45.25,7.75,-11.29,3.663,,-87.497
300192,科斯伍德,100.81,2.678,-32.3,1.66,,-86.499
002554,惠博普,43.92,4.682,-18.371,1.38,,-86.013
002096,南岭民爆,64.79,9.208,-9.244,1.127,,-85.119
002750,龙津药业,88.62,8.506,-9.834,1.573,,-83.648
002816,和科达,125.49,4.3,-19.29,1.997,,-82.947
002030,达安基因,108.75,4.156,-19.699,0.84,,-81.869
300689,澄天伟业,48.36,6.514,-12.524,8.06,,-81.581
300536,农尚环境,49.22,3.327,-24.339,6.953,,-80.976
300119,瑞普生物,31.9,6.519,-12.418,0.817,,-80.953
300152,科融环境,262.96,2.214,-36.216,2.27,,-80.182
002875,安奈儿,40.35,4.682,-16.929,3.603,,-79.262
000923,河北宣工,37.55,6.491,-12.181,2.28,,-79.067
601798,蓝科高新,580.29,6.788,-11.629,0.503,,-78.938
600750,江中药业,18.58,7.985,-9.807,1.993,,-78.309
002596,海南瑞泽,84.87,8.404,-9.314,3.827,,-78.275
300526,中潜股份,66.93,8.072,-9.683,6.447,,-78.161
300597,吉大通信,90.42,5.776,-13.519,4.99,,-78.086
002603,以岭药业,30.71,6.03,-12.933,0.513,,-77.986
002909,集泰股份,47.91,2.985,-26.059,8.47,,-77.786
002771,真视通,48.07,5.014,-15.37,2.237,,-77.065
002111,威海广泰,22.59,3.963,-19.396,0.523,,-76.866
300452,山河药辅,46.81,4.649,-16.528,1.917,,-76.839
300501,海顺新材,35.6,7.634,-9.925,2.387,,-75.767
300713,英可瑞,43.4,4.829,-15.677,5.123,,-75.704
300349,金卡智能,38.88,5.533,-13.647,1.17,,-75.509
002230,科大讯飞,380.43,6.139,-12.255,3.387,,-75.233
002853,皮阿诺,47.95,4.167,-18.003,5.877,,-75.019
300321,同大股份,79.48,2.873,-26.09,3.033,,-74.957
002017,东信和平,70.57,5.97,-12.512,1.75,,-74.697
300522,世名科技,35.83,5.743,-12.928,3.007,,-74.246
000557,西部创业,138.76,5.705,-12.93,0.793,,-73.766
002318,久立特材,38.62,6.594,-11.169,0.787,,-73.648
300722,新余国科,74.2,6.241,-11.773,11.043,,-73.475
600379,宝光股份,47.95,3.111,-23.458,0.637,,-72.978
601318,中国平安,15.32,6.879,-10.586,0.703,,-72.821
600833,第一医药,54.33,4.55,-15.939,0.627,,-72.522
600976,健民集团,36.37,7.266,-9.977,0.503,,-72.493
002667,鞍重股份,57.66,3.829,-18.918,1.897,,-72.437
300468,四方精创,57.75,3.576,-20.194,4.107,,-72.214
000915,山大华特,24.95,4.685,-15.322,2.36,,-71.784
600131,岷江水电,38.88,6.275,-11.377,1.203,,-71.391
002902,铭普光磁,63.54,3.816,-18.699,11.293,,-71.355
002428,云南锗业,1479.33,8.133,-8.745,2.943,,-71.123
002786,银宝山新,50.08,5.357,-13.198,2.007,,-70.702
300699,光威复材,73.11,8.215,-8.504,4.98,,-69.86
002037,久联发展,45.11,3.95,-17.484,0.943,,-69.062
002090,金智科技,33.51,5.388,-12.695,0.7,,-68.401
600645,中源协和,2298.69,4.897,-13.926,3.227,,-68.196
002201,九鼎新材,474.16,7.906,-8.625,1.317,,-68.189
300469,信息发展,1147.35,6.378,-10.682,3.737,,-68.13
300484,蓝海华腾,28.14,7.411,-9.185,2.57,,-68.07
002224,三 力 士,32.64,6.858,-9.873,2.637,,-67.709
600992,贵绳股份,137.3,6.868,-9.794,1.323,,-67.265
000908,景峰医药,36.72,5.72,-11.689,1.077,,-66.861
600769,祥龙电业,340.19,4.218,-15.796,1.08,,-66.628
002634,棒杰股份,54.88,2.782,-23.893,1.387,,-66.47
002706,良信电器,23.61,5.383,-12.342,0.81,,-66.437
002828,贝肯能源,43.37,6.066,-10.921,4.447,,-66.247
002790,瑞尔特,24.74,6.591,-10.034,1.947,,-66.134
000799,酒鬼酒,43.93,4.032,-16.398,2.017,,-66.117
300007,汉威科技,42.65,4.679,-14.092,3.493,,-65.936
002162,悦心健康,200.61,3.721,-17.514,0.67,,-65.17
300515,三德科技,78.65,5.172,-12.596,2.073,,-65.147
300333,兆日科技,82.81,7.548,-8.565,2.083,,-64.649
600505,西昌电力,35.19,6.414,-10.078,0.71,,-64.64
002899,英派斯,35.68,2.779,-23.053,5.487,,-64.064
300374,恒通科技,59.76,5.406,-11.849,2.803,,-64.056
600626,申达股份,30.18,4.241,-15.103,0.78,,-64.052
300440,运达科技,32.76,4.303,-14.866,5.15,,-63.968
000858,五 粮 液,30.92,3.295,-19.372,0.573,,-63.831
002896,中大力德,49.6,7.708,-8.207,6.137,,-63.26
002338,奥普光电,66.92,6.552,-9.61,1.197,,-62.965
000659,*ST中富,88.13,6.452,-9.637,1.077,,-62.178
300555,路通视信,55.5,5.11,-12.126,2.27,,-61.964
300046,台基股份,35.59,4.766,-12.998,3.693,,-61.948
002752,昇兴股份,75.86,2.144,-28.891,0.717,,-61.942
600615,丰华股份,16.33,5.906,-10.456,1.31,,-61.753
300092,科新机电,267.99,6.274,-9.811,1.49,,-61.554
600495,晋西车轴,258.83,4.017,-15.286,1.273,,-61.404
002716,金贵银业,45.1,5.304,-11.345,4.953,,-60.174
601002,晋亿实业,39.45,4.066,-14.776,2.63,,-60.079
300615,欣天科技,72.24,3.245,-18.392,3.66,,-59.682
600616,金枫酒业,63.68,3.592,-16.6,0.507,,-59.627
002846,英联股份,62.13,3.758,-15.764,7.563,,-59.241
002011,盾安环境,83.3,3.672,-16.098,1.457,,-59.112
300573,兴齐眼药,32.37,5.118,-11.491,1.21,,-58.811
002261,拓维信息,38.59,5.102,-11.524,1.64,,-58.795
000678,襄阳轴承,322.98,2.627,-22.264,0.79,,-58.488
300711,广哈通信,72.42,2.59,-22.136,10.627,,-57.332
000009,中国宝安,57.61,5.399,-10.528,1.437,,-56.841
002880,卫光生物,40.33,7.382,-7.694,2.87,,-56.797
300026,红日药业,20.68,6.163,-9.14,0.7,,-56.33
002906,华阳集团,38.55,3.486,-16.112,8.037,,-56.166
000966,长源电力,50.25,4.168,-13.432,0.52,,-55.985
300494,盛天网络,46.29,6.322,-8.855,4.28,,-55.981
002467,二六三,67.01,6.202,-8.986,2.64,,-55.731
002918,蒙娜丽莎,24.72,4.5,-12.372,5.78,,-55.674
600597,光明乳业,23.84,4.631,-11.936,0.607,,-55.276
300683,海特生物,35.55,5.36,-10.303,4.21,,-55.224
002469,三维工程,50.36,3.992,-13.653,1.903,,-54.503
002407,多氟多,44.37,5.554,-9.805,3.823,,-54.457
002766,索菱股份,41.42,4.986,-10.92,2.47,,-54.447
300690,双一科技,29.37,5.553,-9.804,8.893,,-54.442
300322,硕贝德,102.67,4.558,-11.867,2.507,,-54.09
000701,厦门信达,27.97,3.982,-13.533,1.773,,-53.888
002912,中新赛克,62.78,3.797,-14.171,12.487,,-53.807
002004,华邦健康,23.44,3.979,-13.51,1.437,,-53.756
300283,温州宏丰,421.07,4.942,-10.862,0.927,,-53.68
300380,安硕信息,1231.03,5.733,-9.314,5.947,,-53.397
600854,春兰股份,36.41,4.364,-12.207,0.92,,-53.271
000605,渤海股份,48.71,5.167,-10.228,1.743,,-52.848
002791,坚朗五金,22.94,4.984,-10.587,1.51,,-52.766
300403,地尔汉宇,24.7,3.129,-16.786,0.667,,-52.523
000756,新华制药,26.73,4.592,-11.418,1.557,,-52.431
600095,哈高科,253.03,4.181,-12.512,1.523,,-52.313
300552,万集科技,161.03,5.319,-9.819,2.463,,-52.227
002513,蓝丰生化,27.2,5.868,-8.873,0.697,,-52.067
300692,中环环保,85.98,3.884,-13.302,15.897,,-51.665
002361,神剑股份,38.86,4.417,-11.552,0.63,,-51.025
002317,众生药业,22.6,5.311,-9.521,1.073,,-50.566
002315,焦点科技,59.66,6.313,-7.964,1.877,,-50.277
601326,秦港股份,28.59,5.383,-9.227,2.11,,-49.669
002481,双塔食品,60.64,2.837,-17.412,1.663,,-49.398
002105,信隆健康,38.27,6.09,-8.005,0.54,,-48.75
300639,凯普生物,57.6,5.866,-8.291,8.713,,-48.635
300696,爱乐达,76.34,3.413,-14.11,5.987,,-48.157
002670,国盛金控,55.87,2.734,-17.447,2.263,,-47.7
300539,横河模具,56.84,4.075,-11.702,1.61,,-47.686
300664,鹏鹞环保,35.71,2.332,-20.405,16.07,,-47.584
000637,茂化实华,28.89,3.89,-12.199,2.903,,-47.454
000702,正虹科技,77.19,5.533,-8.566,1.293,,-47.396
002177,御银股份,226.87,4.166,-11.372,2.35,,-47.376
300329,海伦钢琴,51.97,5.812,-8.089,1.317,,-47.013
300419,浩丰科技,52.12,2.753,-17.075,2.49,,-47.007
600200,江苏吴中,57.12,4.392,-10.684,0.737,,-46.924
300726,宏达电子,49.39,2.521,-18.609,9.617,,-46.913
300481,濮阳惠成,49.51,4.773,-9.799,2.497,,-46.771
002890,弘宇股份,38.81,3.989,-11.696,3.427,,-46.655
300095,华伍股份,50.36,4.691,-9.924,0.77,,-46.553
600550,保变电气,134.43,6.314,-7.343,0.65,,-46.364
002779,中坚科技,59.87,3.086,-14.831,1.053,,-45.768
300171,东富龙,37.17,5.186,-8.815,0.89,,-45.715
300436,广生堂,104.91,6.73,-6.788,1.79,,-45.683
300521,爱司凯,50.03,3.379,-13.503,1.343,,-45.627
002835,同为股份,66.44,2.989,-15.037,1.72,,-44.946
002870,香山股份,39.56,2.214,-20.192,9.86,,-44.705
002767,先锋电子,73.01,3.767,-11.863,1.683,,-44.688
300062,中能电气,128.21,4.335,-10.293,2.447,,-44.62
300533,冰川网络,52.73,4.911,-9.07,2.71,,-44.543
002577,雷柏科技,199.33,4.747,-9.312,1.813,,-44.204
002731,萃华珠宝,37.08,2.715,-16.107,0.86,,-43.731
000609,中迪投资,17.4,2.38,-18.224,0.813,,-43.373
600218,全柴动力,26.48,4.22,-10.198,0.84,,-43.036
002339,积成电子,77.13,2.979,-14.375,2.633,,-42.823
600796,钱江生化,37.01,5.797,-7.35,0.99,,-42.608
300387,富邦股份,24.76,4.606,-9.227,1.083,,-42.5
600222,太龙药业,749.49,3.839,-10.96,0.633,,-42.075
300535,达威股份,33.01,3.102,-13.538,2.137,,-41.995
000529,广弘控股,29.35,3.928,-10.69,0.97,,-41.99
300221,银禧科技,40.88,5.771,-7.265,8.233,,-41.926
002553,南方轴承,33.58,4.706,-8.89,1.86,,-41.836
300126,锐奇股份,776.36,4.162,-10.002,1.483,,-41.628
002873,新天药业,34.02,2.856,-14.52,8.29,,-41.469
002243,通产丽星,59.07,5.082,-8.155,0.947,,-41.444
002296,辉煌科技,51.34,4.654,-8.887,7.763,,-41.36
300340,科恒股份,31.33,3.159,-13.031,4.28,,-41.165
300035,中科电气,62.43,3.64,-11.273,1.823,,-41.034
600243,青海华鼎,64.77,2.669,-15.293,0.59,,-40.817
002868,绿康生化,27.5,2.604,-15.626,2.177,,-40.69
000920,南方汇通,29.84,3.215,-12.57,0.833,,-40.413
600702,舍得酒业,107.23,2.17,-18.502,0.77,,-40.149
300610,晨化股份,27.77,4.658,-8.587,2.06,,-39.998
600079,人福医药,8.52,3.307,-12.085,2.24,,-39.965
600621,华鑫股份,93.4,6.269,-6.33,3.167,,-39.683
600969,郴电国际,28.82,2.334,-16.953,0.763,,-39.568
000791,甘肃电投,22.17,3.729,-10.57,1.753,,-39.416
002850,科达利,34.66,4.857,-8.078,2.173,,-39.235
002740,爱迪尔,44.1,3.73,-10.507,1.097,,-39.191
300538,同益股份,130.2,4.285,-9.132,1.147,,-39.131
600668,尖峰集团,13.74,6.083,-6.363,1.543,,-38.706
300183,东软载波,32.49,3.824,-10.091,3.35,,-38.588
002888,惠威科技,70.72,3.842,-10.024,4.613,,-38.512
002307,北新路桥,151.11,4.023,-9.507,2.087,,-38.247
300443,金雷风电,20.42,3.486,-10.813,0.953,,-37.694
300706,阿石创,118.74,4.283,-8.796,12.293,,-37.673
000958,东方能源,70.83,3.228,-11.659,1.31,,-37.635
002827,高争民爆,26.62,2.621,-14.306,1.607,,-37.496
002292,奥飞娱乐,40.69,5.164,-7.245,0.95,,-37.413
002280,联络互动,354.23,4.648,-8.003,2.133,,-37.198
002104,恒宝股份,33.98,2.602,-14.286,1.54,,-37.172
002262,恩华药业,37.64,5.608,-6.614,0.76,,-37.091
600895,张江高科,41.92,4.334,-8.536,2.06,,-36.995
600135,乐凯胶片,39.23,2.95,-12.442,1.55,,-36.704
002277,友阿股份,17.9,2.223,-16.326,0.807,,-36.293
002175,东方网络,93.19,5.9,-6.15,3.713,,-36.285
300611,美力科技,49.98,2.593,-13.788,1.72,,-35.752
300295,三六五网,31.93,4.579,-7.805,3.02,,-35.739
000028,国药一致,24.45,5.082,-7.018,0.513,,-35.665
300391,康跃科技,44.74,3.878,-9.154,2.047,,-35.499
002533,金杯电工,22.81,2.605,-13.439,0.62,,-35.009
002364,中恒电气,51.06,3.861,-9.055,0.727,,-34.961
002855,捷荣技术,58.97,2.351,-14.82,1.493,,-34.842
000952,广济药业,34.45,5.191,-6.605,2.123,,-34.287
300565,科信技术,56.21,3.615,-9.479,1.84,,-34.267
300605,恒锋信息,55.83,3.815,-8.955,1.57,,-34.163
000592,平潭发展,614.07,1.783,-19.107,1.03,,-34.068
000993,闽东电力,24.97,4.492,-7.524,1.15,,-33.798
002276,万马股份,77.45,3.791,-8.87,1.287,,-33.626
300302,同有科技,92.45,5.488,-6.119,4.707,,-33.581
300206,理邦仪器,47.66,4.134,-8.111,0.877,,-33.531
300499,高澜股份,56.71,2.534,-13.224,0.783,,-33.51
300399,京天利,694.97,2.545,-13.139,2.17,,-33.439
300249,依米康,69.46,5.313,-6.286,1.37,,-33.398
600592,龙溪股份,45.57,2.094,-15.771,0.84,,-33.024
600775,南京熊猫,100.68,4.445,-7.402,0.63,,-32.902
300553,集智股份,73.95,2.576,-12.756,1.027,,-32.859
000695,滨海能源,219.91,4.316,-7.61,0.647,,-32.845
002546,新联电子,38.64,3.304,-9.914,1.007,,-32.756
300657,弘信电子,63.85,3.078,-10.638,4.84,,-32.744
600101,明星电力,22.01,3.539,-9.207,1.08,,-32.584
600303,曙光股份,10.54,2.422,-13.446,1.003,,-32.566
002785,万里石,111.48,2.297,-14.108,1.593,,-32.406
000903,云内动力,25.95,3.242,-9.933,0.68,,-32.203
601116,三江购物,63.9,4.446,-7.235,5.03,,-32.167
600199,金种子酒,477.75,2.333,-13.729,1.05,,-32.03
300460,惠伦晶体,128.41,2.963,-10.771,0.783,,-31.914
600533,栖霞建设,45.33,1.626,-19.476,1.057,,-31.668
300043,星辉娱乐,21.68,2.72,-11.62,1.333,,-31.606
300176,鸿特精密,39.18,4.568,-6.915,0.72,,-31.588
002341,新纶科技,72.86,3.87,-8.099,1.53,,-31.343
600975,新五丰,49.42,2.516,-12.365,0.94,,-31.11
002724,海洋王,55.96,2.449,-12.608,0.623,,-30.877
002479,富春环保,21.38,2.186,-14.097,1.81,,-30.816
000885,同力水泥,9.96,3.046,-10.071,1.723,,-30.676
600713,南京医药,25.78,3.404,-8.969,0.537,,-30.53
002743,富煌钢构,45.93,3.257,-9.245,1.22,,-30.111
002106,莱宝高科,45.75,1.451,-20.725,1.05,,-30.072
002787,华源控股,28.78,4.499,-6.681,1.58,,-30.058
600565,迪马股份,14.21,2.544,-11.682,0.9,,-29.719
300205,天喻信息,86.99,2.768,-10.699,1.453,,-29.615
002639,雪人股份,369.59,4.06,-7.272,1.643,,-29.524
300196,长海股份,22.71,1.823,-16.169,0.683,,-29.476
300397,天和防务,108.75,2.893,-10.187,2.103,,-29.471
002431,棕榈股份,47.37,2.534,-11.625,1.22,,-29.458
002284,亚太股份,56.38,3.045,-9.646,1.82,,-29.372
300145,中金环境,23.33,4.718,-6.155,1.31,,-29.039
002800,天顺股份,40.71,2.351,-12.322,1.483,,-28.969
000513,丽珠集团,7.53,4.651,-6.211,1.767,,-28.887
002811,亚泰国际,38.27,2.589,-11.107,1.41,,-28.756
000153,丰原药业,31.33,3.927,-7.276,0.97,,-28.573
000551,创元科技,29.21,2.502,-11.409,0.55,,-28.545
000650,仁和药业,18.58,4.437,-6.431,0.783,,-28.534
002795,永和智控,51.04,4.051,-6.996,8.713,,-28.341
002281,光迅科技,52.94,2.622,-10.72,1.823,,-28.108
002845,同兴达,31.16,2.857,-9.73,2.987,,-27.799
002571,*ST德力,58.12,2.049,-13.418,2.18,,-27.493
300382,斯莱克,55.32,3.261,-8.401,0.897,,-27.396
300405,科隆股份,73.07,2.838,-9.564,1.3,,-27.143
002006,精功科技,76.14,3.859,-6.997,0.923,,-27.001
300542,新晨科技,223.41,0.95,-28.205,11.153,,-26.795
002211,宏达新材,101.0,1.659,-16.043,1.117,,-26.615
600316,洪都航空,293.57,3.357,-7.904,1.233,,-26.534
000785,武汉中商,53.11,3.931,-6.725,1.787,,-26.436
002397,梦洁股份,50.69,3.408,-7.644,0.55,,-26.051
300442,普丽盛,1289.03,3.089,-8.213,1.363,,-25.37
002135,东南网架,60.43,3.592,-6.968,0.54,,-25.029
300697,电工合金,58.78,1.521,-16.439,7.677,,-25.004
300055,万邦达,37.91,2.311,-10.819,0.947,,-25.003
300470,日机密封,41.53,3.791,-6.58,0.843,,-24.945
300048,合康新能,60.6,2.272,-10.908,0.573,,-24.783
002753,永东股份,23.15,4.775,-5.19,3.25,,-24.782
600090,同济堂,20.79,3.363,-7.319,1.313,,-24.614
300449,汉邦高科,1380.71,2.419,-10.082,1.617,,-24.388
600513,联环药业,35.31,2.362,-10.293,0.83,,-24.312
300576,容大感光,46.42,3.81,-6.303,2.223,,-24.014
002817,黄山胶囊,48.84,2.122,-11.306,2.277,,-23.991
300194,福安药业,21.55,4.743,-5.031,0.907,,-23.862
002703,浙江世宝,100.2,1.589,-15.008,1.207,,-23.848
600288,大恒科技,519.09,3.153,-7.563,1.897,,-23.846
600855,航天长峰,9635.59,4.451,-5.339,1.227,,-23.764
000423,东阿阿胶,20.33,4.024,-5.895,1.61,,-23.721
002805,丰元股份,62.44,2.0,-11.793,2.003,,-23.586
002757,南兴装备,38.9,2.454,-9.584,1.333,,-23.519
600651,飞乐音响,13.23,4.616,-5.086,0.93,,-23.477
