code,name,p_change_01,past_average_turnover,normalizing_std,stop_mark
002376,新北洋,6.185,3.143,0.029,
600995,文山电力,6.123,1.663,0.027,
600898,国美通讯,6.107,2.183,0.029,
600284,浦东建设,6.099,0.547,0.026,
002906,华阳集团,6.093,6.833,0.026,
300652,雷迪克,6.078,4.103,0.026,
002872,天圣制药,6.069,3.097,0.019,
300270,中威电子,6.068,1.393,0.016,
600637,东方明珠,6.06,0.17,0.028,
002383,合众思壮,6.036,2.413,0.027,
000557,西部创业,6.017,1.403,0.027,
600008,首创股份,6.016,1.467,0.019,
002779,中坚科技,6.014,1.433,0.027,
601212,白银有色,5.961,3.547,0.025,
300024,机器人,5.846,1.707,0.026,
002491,通鼎互联,5.825,1.223,0.023,
600843,上工申贝,5.79,0.63,0.02,
600118,中国卫星,5.778,1.38,0.019,
300402,宝色股份,5.761,2.937,0.028,
002228,合兴包装,5.715,0.56,0.027,
600235,民丰特纸,5.714,0.79,0.019,
000505,京粮控股,5.703,4.023,0.029,
300041,回天新材,5.659,2.583,0.025,
300637,扬帆新材,5.644,2.36,0.029,
300397,天和防务,5.622,4.1,0.026,
600796,钱江生化,5.596,1.34,0.02,
600167,联美控股,5.571,0.887,0.016,
300239,东宝生物,5.561,0.807,0.017,
000551,创元科技,5.56,0.91,0.017,
600712,南宁百货,5.558,0.327,0.019,
300202,聚龙股份,5.523,0.667,0.02,
600116,三峡水利,5.484,1.067,0.015,
002849,威星智能,5.479,1.667,0.026,
000411,英特集团,5.46,0.22,0.025,
000798,中水渔业,5.448,0.857,0.014,
300092,科新机电,5.413,1.523,0.028,
600505,西昌电力,5.413,1.617,0.026,
600993,马应龙,5.359,1.347,0.022,
300478,杭州高新,5.359,1.877,0.022,
600629,华建集团,5.312,0.5,0.022,
002716,金贵银业,5.234,7.487,0.029,
600879,航天电子,5.23,1.92,0.018,
300327,中颖电子,5.197,2.887,0.027,
002761,多喜爱,5.15,0.98,0.028,
002015,霞客环保,5.141,0.72,0.024,
002623,亚玛顿,5.116,0.65,0.024,
300326,凯利泰,5.116,1.17,0.023,
600774,汉商集团,5.082,0.16,0.013,
600090,同济堂,5.075,1.5,0.018,
000752,西藏发展,5.045,0.54,0.024,
300452,山河药辅,5.037,1.717,0.028,
600792,云煤能源,5.023,0.593,0.016,
000659,*ST中富,5.022,0.663,0.026,
300506,名家汇,5.009,2.983,0.025,
300318,博晖创新,4.996,0.583,0.023,
300150,世纪瑞尔,4.992,2.437,0.028,
600744,华银电力,4.985,0.427,0.026,
600640,号百控股,4.981,0.613,0.026,
002172,澳洋科技,4.964,0.757,0.028,
002589,瑞康医药,4.954,1.15,0.023,
002011,盾安环境,4.941,1.32,0.028,
300515,三德科技,4.909,2.513,0.029,
600085,同仁堂,4.905,0.67,0.02,
600435,北方导航,4.888,4.073,0.025,
300297,蓝盾股份,4.882,1.397,0.027,
300199,翰宇药业,4.865,1.343,0.027,
002329,皇氏集团,4.864,2.323,0.021,
002724,海洋王,4.858,0.633,0.023,
300442,普丽盛,4.851,1.84,0.02,
300381,溢多利,4.823,0.597,0.023,
002490,*ST墨龙,4.816,1.143,0.016,
000409,山东地矿,4.793,3.077,0.026,
000705,浙江震元,4.785,1.127,0.016,
300417,南华仪器,4.775,2.503,0.027,
600679,上海凤凰,4.721,1.053,0.029,
600655,豫园股份,4.717,0.777,0.015,
300354,东华测试,4.709,2.743,0.027,
000652,泰达股份,4.702,0.963,0.021,
000690,宝新能源,4.692,0.627,0.025,
300470,日机密封,4.664,1.38,0.02,
000733,振华科技,4.664,1.453,0.022,
300008,天海防务,4.641,3.847,0.026,
002253,川大智胜,4.633,2.07,0.029,
001696,宗申动力,4.593,0.883,0.019,
600557,康缘药业,4.58,0.98,0.028,
300448,浩云科技,4.563,1.033,0.023,
002758,华通医药,4.561,1.793,0.028,
300026,红日药业,4.416,0.567,0.021,
002541,鸿路钢构,4.414,0.73,0.018,
601311,骆驼股份,4.378,0.283,0.025,
600353,旭光股份,4.371,1.953,0.025,
300021,大禹节水,4.368,2.12,0.019,
002778,高科石化,4.345,1.663,0.026,
300175,朗源股份,4.341,6.907,0.029,
300165,天瑞仪器,4.312,1.26,0.024,
002495,佳隆股份,4.303,0.697,0.024,
300126,锐奇股份,4.303,1.427,0.022,
002191,劲嘉股份,4.255,0.757,0.025,
300345,红宇新材,4.247,5.22,0.029,
600668,尖峰集团,4.241,1.543,0.025,
000026,飞亚达Ａ,4.187,1.783,0.02,
002240,威华股份,4.17,0.983,0.027,
002300,太阳电缆,4.137,1.7,0.021,
300194,福安药业,4.109,0.893,0.022,
600831,广电网络,4.088,0.37,0.027,
002140,东华科技,4.012,0.79,0.019,
300472,新元科技,3.934,1.233,0.025,
000906,浙商中拓,3.908,0.65,0.022,
601611,中国核建,3.875,1.173,0.014,
002148,北纬科技,3.793,3.233,0.024,
600096,云天化,3.78,2.47,0.021,
002255,海陆重工,3.742,1.203,0.019,
600573,惠泉啤酒,3.74,0.91,0.02,
002220,天宝食品,3.739,0.51,0.015,
600683,京投发展,3.691,0.33,0.023,
600528,中铁工业,3.689,0.463,0.029,
000650,仁和药业,3.683,0.657,0.019,
002433,太安堂,3.62,0.72,0.021,
600378,天科股份,3.599,3.213,0.027,
002414,高德红外,3.59,0.687,0.029,
600861,北京城乡,3.581,0.687,0.015,
002310,东方园林,3.569,1.377,0.022,
601811,新华文轩,3.562,1.297,0.02,
300132,青松股份,3.537,0.577,0.016,
300091,金通灵,3.535,0.44,0.024,
600420,现代制药,3.519,0.887,0.023,
600750,江中药业,3.507,1.677,0.025,
600713,南京医药,3.479,0.617,0.019,
002803,吉宏股份,3.459,0.813,0.008,
600676,交运股份,3.452,0.64,0.016,
600406,国电南瑞,3.441,0.763,0.012,
300489,中飞股份,3.413,3.23,0.026,
000918,嘉凯城,3.393,0.327,0.017,
002431,棕榈股份,3.342,1.7,0.016,
601177,杭齿前进,3.335,0.283,0.014,
600616,金枫酒业,3.306,0.393,0.027,
300237,美晨生态,3.286,0.443,0.021,
000070,特发信息,3.266,1.12,0.022,
002882,金龙羽,3.264,4.953,0.02,
600859,王府井,3.259,0.783,0.024,
002353,杰瑞股份,3.249,0.947,0.019,
600890,中房股份,3.241,0.3,0.019,
000428,华天酒店,3.239,0.647,0.014,
300033,同花顺,3.21,2.29,0.029,
002412,汉森制药,3.185,0.197,0.014,
600368,五洲交通,3.138,0.623,0.017,
300258,精锻科技,3.121,0.617,0.02,
000622,恒立实业,3.118,0.517,0.026,
300577,开润股份,3.115,0.723,0.018,
002859,洁美科技,3.114,3.753,0.026,
000919,金陵药业,3.086,1.06,0.017,
002488,金固股份,3.067,2.297,0.02,
600375,华菱星马,3.028,1.127,0.017,
300030,阳普医疗,3.024,1.407,0.027,
000908,景峰医药,3.009,0.71,0.025,
300169,天晟新材,2.993,0.64,0.017,
600824,益民集团,2.991,0.67,0.015,
300218,安利股份,2.948,0.493,0.024,
600438,通威股份,2.947,1.113,0.023,
600624,复旦复华,2.935,1.343,0.015,
600479,千金药业,2.928,1.493,0.019,
300396,迪瑞医疗,2.876,1.323,0.02,
600094,大名城,2.843,0.32,0.015,
600611,大众交通,2.823,0.603,0.023,
300518,盛讯达,2.81,2.18,0.024,
002247,帝龙文化,2.81,0.91,0.023,
000875,吉电股份,2.801,0.897,0.017,
000688,建新矿业,2.763,0.943,0.014,
600781,辅仁药业,2.759,0.627,0.026,
600812,华北制药,2.75,0.207,0.018,
002485,希努尔,2.741,0.437,0.014,
600242,中昌数据,2.706,1.197,0.015,
600056,中国医药,2.693,0.6,0.024,
002144,宏达高科,2.671,0.693,0.017,
300050,世纪鼎利,2.633,3.853,0.028,
000887,中鼎股份,2.628,0.563,0.027,
300315,掌趣科技,2.623,2.627,0.023,
000973,佛塑科技,2.593,1.65,0.02,
300171,东富龙,2.586,1.12,0.029,
600566,济川药业,2.569,0.567,0.022,
000685,中山公用,2.564,0.37,0.012,
601208,东材科技,2.525,0.573,0.02,
600549,厦门钨业,2.513,2.38,0.019,
002275,桂林三金,2.491,0.317,0.016,
300129,泰胜风能,2.485,0.877,0.022,
600739,辽宁成大,2.466,0.373,0.013,
000656,金科股份,2.46,0.483,0.015,
600661,新南洋,2.429,0.557,0.021,
600281,太化股份,2.425,1.65,0.026,
600692,亚通股份,2.424,3.047,0.016,
300281,金明精机,2.423,0.457,0.024,
601808,中海油服,2.397,0.477,0.025,
300658,延江股份,2.386,3.297,0.024,
300408,三环集团,2.349,0.75,0.026,
601158,重庆水务,2.335,0.127,0.01,
600765,中航重机,2.314,1.627,0.023,
600151,航天机电,2.298,0.613,0.02,
600973,宝胜股份,2.285,0.603,0.014,
000767,漳泽电力,2.255,0.223,0.025,
600351,亚宝药业,2.239,0.953,0.024,
002539,云图控股,2.237,0.83,0.027,
300679,电连技术,2.231,4.183,0.028,
002324,普利特,2.226,0.407,0.028,
002238,天威视讯,2.21,0.43,0.022,
000969,安泰科技,2.187,1.057,0.024,
600653,申华控股,2.157,2.197,0.024,
600862,中航高科,2.133,1.38,0.023,
600461,洪城水业,2.131,0.363,0.009,
002270,华明装备,2.11,1.483,0.025,
000529,广弘控股,2.1,0.867,0.023,
000513,丽珠集团,2.099,2.223,0.026,
300214,日科化学,2.094,1.007,0.022,
000601,韶能股份,2.079,0.28,0.02,
300164,通源石油,2.073,1.86,0.021,
300255,常山药业,2.07,1.467,0.021,
600455,博通股份,2.029,0.237,0.02,
600243,青海华鼎,2.006,0.91,0.016,
600664,哈药股份,1.975,0.577,0.013,
002459,天业通联,1.964,0.523,0.013,
002564,天沃科技,1.957,0.667,0.02,
600171,上海贝岭,1.956,3.777,0.029,
600061,国投资本,1.934,0.18,0.011,
002868,绿康生化,1.894,3.92,0.024,
000637,茂化实华,1.893,1.423,0.024,
002719,麦趣尔,1.893,2.807,0.016,
600336,澳柯玛,1.867,0.457,0.016,
300106,西部牧业,1.851,2.52,0.024,
601007,金陵饭店,1.842,0.463,0.015,
000698,沈阳化工,1.83,3.453,0.015,
300084,海默科技,1.83,1.657,0.027,
000570,苏常柴Ａ,1.812,0.49,0.023,
600248,延长化建,1.809,0.417,0.021,
601929,吉视传媒,1.798,0.483,0.02,
000598,兴蓉环境,1.788,0.55,0.014,
000880,潍柴重机,1.779,0.627,0.019,
300434,金石东方,1.771,1.067,0.02,
600572,康恩贝,1.743,0.487,0.015,
600425,*ST青松,1.721,0.873,0.019,
002169,智光电气,1.721,0.75,0.021,
600312,平高电气,1.721,0.713,0.021,
002755,东方新星,1.719,0.96,0.029,
300405,科隆股份,1.711,1.06,0.028,
000403,ST生化,1.675,0.26,0.022,
000729,燕京啤酒,1.663,0.463,0.029,
002789,建艺集团,1.599,1.86,0.028,
000158,常山北明,1.583,0.9,0.028,
002884,凌霄泵业,1.549,3.103,0.023,
002518,科士达,1.548,0.327,0.024,
601789,宁波建工,1.525,0.527,0.016,
600730,中国高科,1.518,0.763,0.023,
002475,立讯精密,1.478,0.543,0.022,
600327,大东方,1.477,0.463,0.015,
002425,凯撒文化,1.467,1.183,0.026,
300673,佩蒂股份,1.465,2.5,0.029,
002751,易尚展示,1.462,2.077,0.013,
002328,新朋股份,1.436,0.947,0.024,
601677,明泰铝业,1.415,0.77,0.013,
002288,超华科技,1.407,1.333,0.023,
600037,歌华有线,1.394,0.713,0.029,
000014,沙河股份,1.392,2.53,0.027,
600052,浙江广厦,1.387,0.407,0.016,
000785,武汉中商,1.384,1.037,0.02,
002094,青岛金王,1.374,0.963,0.027,
000915,山大华特,1.37,1.99,0.027,
600688,上海石化,1.366,0.25,0.013,
300193,佳士科技,1.366,1.02,0.028,
601258,庞大集团,1.344,2.497,0.02,
002838,道恩股份,1.317,1.747,0.018,
002322,理工环科,1.288,1.337,0.02,
300147,香雪制药,1.282,0.947,0.023,
600081,东风科技,1.281,0.49,0.025,
601881,中国银河,1.28,1.95,0.014,
600091,ST明科,1.279,0.583,0.016,
600072,中船科技,1.268,2.373,0.028,
000828,东莞控股,1.264,0.2,0.023,
002277,友阿股份,1.257,0.67,0.018,
600531,豫光金铅,1.206,3.257,0.02,
300042,朗科科技,1.193,1.363,0.028,
002406,远东传动,1.175,1.56,0.023,
300387,富邦股份,1.172,1.197,0.026,
000587,金洲慈航,1.147,1.747,0.01,
002397,梦洁股份,1.147,1.08,0.018,
600511,国药股份,1.123,2.27,0.016,
300211,亿通科技,1.12,0.937,0.027,
600706,曲江文旅,1.093,1.437,0.014,
000027,深圳能源,1.054,0.113,0.019,
600650,锦江投资,1.052,0.9,0.024,
002740,爱迪尔,1.027,1.58,0.021,
002551,尚荣医疗,1.027,1.557,0.027,
600815,*ST厦工,1.026,0.36,0.014,
002206,海 利 得,1.019,0.473,0.021,
600641,万业企业,1.015,0.563,0.026,
300144,宋城演艺,1.002,1.05,0.022,
002641,永高股份,0.976,0.18,0.014,
601218,吉鑫科技,0.968,0.447,0.02,
600873,梅花生物,0.956,1.003,0.02,
000965,天保基建,0.929,0.883,0.017,
000301,东方市场,0.905,2.467,0.028,
000423,东阿阿胶,0.834,0.723,0.014,
000058,深 赛 格,0.792,0.63,0.024,
601558,*ST锐电,0.789,0.64,0.016,
600481,双良节能,0.789,0.253,0.026,
600252,中恒集团,0.763,0.523,0.012,
002711,欧浦智网,0.76,1.753,0.021,
002665,首航节能,0.758,0.857,0.012,
000429,粤高速Ａ,0.754,1.167,0.015,
600886,国投电力,0.751,0.297,0.017,
600723,首商股份,0.745,0.413,0.016,
002614,奥佳华,0.744,1.11,0.023,
600533,栖霞建设,0.709,0.593,0.029,
300177,中海达,0.701,1.763,0.028,
600529,山东药玻,0.697,0.647,0.015,
600841,上柴股份,0.677,0.393,0.024,
002502,骅威文化,0.671,1.957,0.019,
002827,高争民爆,0.666,2.023,0.023,
601727,上海电气,0.662,0.147,0.016,
000159,国际实业,0.661,0.76,0.02,
600009,上海机场,0.657,0.477,0.011,
600854,春兰股份,0.648,0.747,0.026,
000860,顺鑫农业,0.636,0.777,0.018,
600028,中国石化,0.587,0.227,0.027,
002557,洽洽食品,0.585,0.547,0.022,
002419,天虹股份,0.579,1.07,0.027,
000722,湖南发展,0.569,0.713,0.02,
600779,水井坊,0.563,1.497,0.029,
300094,国联水产,0.561,1.297,0.017,
002465,海格通信,0.521,1.717,0.025,
600561,江西长运,0.507,1.03,0.025,
000018,神州长城,0.502,2.01,0.02,
002204,大连重工,0.5,0.253,0.011,
600403,*ST大有,0.463,0.097,0.014,
002199,东晶电子,0.447,0.21,0.012,
000899,赣能股份,0.419,0.45,0.021,
600361,华联综超,0.409,0.667,0.016,
002242,九阳股份,0.399,0.593,0.022,
002505,大康农业,0.396,2.71,0.022,
601886,江河集团,0.368,0.25,0.015,
000419,通程控股,0.354,0.69,0.012,
002443,金洲管道,0.344,0.993,0.014,
600578,京能电力,0.326,0.103,0.015,
000576,广东甘化,0.325,0.467,0.014,
002352,顺丰控股,0.315,0.35,0.022,
600680,*ST上普,0.31,0.613,0.022,
000753,漳州发展,0.295,2.063,0.023,
002690,美亚光电,0.294,0.653,0.023,
600982,宁波热电,0.281,0.433,0.017,
600223,鲁商置业,0.274,0.35,0.016,
000715,中兴商业,0.245,0.293,0.018,
601106,*ST一重,0.24,0.183,0.026,
002780,三夫户外,0.227,1.913,0.025,
002609,捷顺科技,0.225,1.24,0.019,
600592,龙溪股份,0.213,1.263,0.024,
600778,友好集团,0.207,0.827,0.019,
002468,申通快递,0.203,0.897,0.024,
002436,兴森科技,0.203,0.973,0.017,
600785,新华百货,0.193,0.133,0.013,
000700,模塑科技,0.184,0.58,0.025,
601717,郑煤机,0.177,0.72,0.027,
002404,嘉欣丝绸,0.167,0.447,0.018,
600802,福建水泥,0.153,1.117,0.029,
000981,银亿股份,0.143,0.117,0.015,
600608,*ST沪科,0.123,0.483,0.02,
300261,雅本化学,0.116,0.287,0.022,
002411,必康股份,0.085,2.067,0.011,
600301,ST南化,0.081,0.433,0.021,
000818,方大化工,0.078,0.81,0.018,
300336,新文化,0.077,3.36,0.025,
300475,聚隆科技,0.068,1.21,0.023,
000011,深物业A,0.065,1.853,0.028,
002039,黔源电力,0.063,0.807,0.014,
300284,苏交科,0.044,0.73,0.023,
002211,宏达新材,0.022,1.203,0.029,
300135,宝利国际,0.015,0.67,0.016,
002170,芭田股份,0.01,0.347,0.026,
300305,裕兴股份,0.008,0.837,0.023,
600725,ST云维,0.002,0.367,0.027,
000521,美菱电器,0.001,0.707,0.027,
