,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_NO_LIMIT,COL_FLOAT_HOLDERS
10,000582.SZ,000582,北部湾港,港口,10.48,True,False,True,"广西广投资产管理有限公司
平安基金-平安银行-中融国际信托-中融-财富1号结构化集合资金信托
广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
广西交通发展投资基金合伙企业(有限合伙)"
11,002240.SZ,002240,威华股份,家居用品,11.12,True,False,True,"国通信托有限责任公司-国通信托·紫金9号集合资金信托计划
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金"
12,000800.SZ,000800,一汽解放,汽车整车,11.14,True,False,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中欧基金-农业银行-中欧中证金融资产管理计划"
13,603088.SH,603088,宁波精达,专用机械,12.67,True,False,True,
14,002222.SZ,002222,福晶科技,元器件,14.13,True,False,True,"上海浦东发展银行股份有限公司-西藏东财中证通信技术主题指数型发起式证券投资基金
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中邮核心成长混合型证券投资基金
深圳市星森资产管理有限公司-星森二期私募基金"
15,600750.SH,600750,江中药业,中成药,14.38,True,False,True,"中央汇金资产管理有限责任公司
基本养老保险基金一五零一一组合
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-大成景阳领先混合型证券投资基金"
16,603056.SH,603056,德邦股份,仓储物流,14.44,True,False,True,"中金佳泰(天津)股权投资基金合伙企业(有限合伙)
天津瑞荣股权投资基金合伙企业(有限合伙)
上海国和现代服务业股权投资基金合伙企业(有限合伙)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国建设银行股份有限公司-东方红恒元五年定期开放灵活配置混合型证券投资基金"
17,002262.SZ,002262,恩华药业,化学制药,15.0,True,False,True,"香港中央结算有限公司(陆股通)
上海宽远资产管理有限公司-宽远价值进取证券投资基金
中国建设银行股份有限公司-鹏华优选价值股票型证券投资基金"
18,300200.SZ,300200,高盟新材,化工原料,16.0,True,False,True,中央汇金资产管理有限责任公司
19,600329.SH,600329,中新药业,中成药,16.7,True,False,True,中央汇金资产管理有限责任公司
20,603466.SH,603466,风语筑,文教休闲,17.75,True,False,True,"上海宏鹰股权投资基金管理有限公司-上海宏鹰股权投资基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
香港中央结算有限公司(陆股通)
北方国际信托股份有限公司-北方信托荣盛一号证券投资集合资金信托计划
上海宏鹰股权投资基金管理有限公司-上海宏鹰股权投资基金合伙企业(有限合伙)"
21,300587.SZ,300587,天铁股份,橡胶,19.65,True,False,True,
22,002294.SZ,002294,信立泰,化学制药,20.96,True,False,True,"香港中央结算有限公司(陆股通)
北京市中国人民大学教育基金会
中信建投证券股份有限公司-富国中证科技50策略交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司"
23,300298.SZ,300298,三诺生物,医疗保健,24.62,True,False,True,"香港中央结算有限公司(陆股通)
广东省铁路发展基金有限责任公司
湖南省信托有限责任公司-湖南信托·三诺生物1号集合资金信托计划
招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金
招商银行股份有限公司-睿远成长价值混合型证券投资基金"
24,002778.SZ,002778,高科石化,石油加工,28.63,True,False,True,上海金融发展投资基金(有限合伙)
25,603916.SH,603916,苏博特,化工原料,29.4,True,False,True,"中国工商银行股份有限公司-诺安先锋混合型证券投资基金
全国社保基金四一六组合
诺安基金-建设银行-中国人寿-中国人寿委托诺安基金公司股票型组合
诺安基金-建设银行-中国人寿-中国人寿委托诺安基金股票型组合"
26,300681.SZ,300681,英搏尔,汽车配件,36.96,True,False,True,"万珑资产管理(北京)有限公司-万珑资产新时代6号私募证券投资基金
中国工商银行-华安中小盘成长混合型证券投资基金
中国农业银行股份有限公司-华安智能装备主题股票型证券投资基金"
27,600436.SH,600436,片仔癀,中成药,152.05,True,False,True,"香港中央结算有限公司(陆股通)
深圳市林园投资管理有限责任公司-林园投资21号私募投资基金
中央汇金资产管理有限责任公司
深圳市林园投资管理有限责任公司-林园投资29号私募投资基金
中国工商银行股份有限公司-汇添富价值精选混合型证券投资基金
深圳市林园投资管理有限责任公司-林园投资36号私募投资基金"
