,ts_code,symbol,name,industry,COL_MA,COL_LASTPRICE,COL_MA_CLOSE_GAP,COL_MA_10,COL_MA_20,COL_MA_GAP,COL_MA_10_SLOPE,COL_MA_20_SLOPE,concept
44,300530.SZ,300530,达志科技,化工原料,40.32,41.22,2.23,41.14,40.32,2.03,0.37,0.32,
45,300580.SZ,300580,贝斯特,汽车配件,19.17,19.61,2.3,19.71,19.17,2.82,0.66,0.31,"高送转-预期, 通用航空, 汽车零部件, 燃料电池, "
46,300017.SZ,300017,网宿科技,电信运营,13.29,13.6,2.33,13.41,13.29,0.9,0.37,0.3,"MSCI, 混改, 国家队重仓, 回购, 创业板人气股, 大数据, 云计算, 人工智能, 独角兽, 强势人气股, "
47,600139.SH,600139,西部资源,汽车整车,4.73,4.84,2.33,4.74,4.73,0.21,0.42,0.21,"新能源整车, 汽车整车, 有色金属, 新能源汽车, 有色-铜, 股权转让, "
48,603848.SH,603848,好太太,家居用品,20.7,21.22,2.51,21.08,20.7,1.84,0.67,0.15,"家具家居, "
49,300151.SZ,300151,昌红科技,机械基件,6.73,6.9,2.53,6.75,6.73,0.3,0.3,0.15,"基因测序, "
50,002015.SZ,002015,霞客环保,化纤,6.17,6.33,2.59,6.21,6.17,0.65,0.16,0.0,"涤纶, 资产重组, 壳公司, "
51,300297.SZ,300297,蓝盾股份,软件服务,7.67,7.87,2.61,7.9,7.67,3.0,0.64,0.52,"教育, 工业自动化, 网络安全, 量子通信, 数字中国, 智能制造, 大数据, 云计算, 区块链, 国产软件, 智慧安防, "
52,002758.SZ,002758,华通医药,医药商业,11.3,11.6,2.65,11.87,11.3,5.04,0.94,0.62,"医药商业, 医药, 中药, "
53,600476.SH,600476,湘邮科技,软件服务,16.74,17.19,2.69,17.0,16.74,1.55,0.47,0.18,"智慧物流, 雄安-智慧城市, 北斗导航, 智能制造, 雄安新区, 快递物流, 国产软件, 独角兽, 蚂蚁金服概念股, "
54,002266.SZ,002266,浙富控股,电气设备,5.35,5.5,2.8,5.55,5.35,3.74,0.18,-0.19,"水电, 核电, 水利, "
55,300561.SZ,300561,汇金科技,软件服务,16.31,16.8,3.0,17.11,16.31,4.9,0.82,0.12,"物联网, 互联网金融, 人工智能, 区块链, 国产软件, 资产重组, 无人银行, "
56,603721.SH,603721,中广天择,影视音像,26.4,27.2,3.03,27.04,26.4,2.42,0.33,0.11,"直播/短视频, 广电, 影视, "
57,603698.SH,603698,航天工程,专用机械,19.61,20.22,3.11,20.54,19.61,4.74,0.69,0.62,"国家队重仓, 央企改革, 军工研究所, 军工, 煤化工, "
58,300478.SZ,300478,杭州高新,橡胶,16.36,16.87,3.12,17.0,16.36,3.91,0.53,0.25,"高质押率, 新能源汽车, 区块链, 充电桩, 游戏, "
59,600289.SH,600289,*ST信通,软件服务,3.16,3.26,3.16,3.24,3.16,2.53,0.62,0.0,"5G, 网络安全, 大数据, 智慧城市, ST股, "
60,300694.SZ,300694,蠡湖股份,汽车配件,24.98,25.8,3.28,26.48,24.98,6.0,1.03,0.85,"汽车零部件, 燃料电池, "
61,600552.SH,600552,凯盛科技,玻璃,5.71,5.9,3.33,5.78,5.71,1.23,0.52,0.18,"有色-锆, OLED, 央企改革, 有色金属, 小米概念股, 玻璃, 3D玻璃, 强势人气股, "
62,601601.SH,601601,中国太保,保险,35.91,37.11,3.34,37.09,35.91,3.29,0.54,0.53,"保险, MSCI, 中字头, 阿里巴巴概念股, 养老产业, 独角兽, 蚂蚁金服概念股, "
63,300628.SZ,300628,亿联网络,通信设备,97.84,101.18,3.41,99.22,97.84,1.41,0.54,0.38,"MSCI, 云计算, "
64,002214.SZ,002214,大立科技,电器仪表,8.75,9.05,3.43,8.81,8.75,0.69,0.23,0.11,"军工, 军民融合, 智能制造, 智慧安防, 机器人, 壳公司, "
65,603637.SH,603637,镇海股份,建筑施工,17.47,18.07,3.43,17.7,17.47,1.32,0.45,0.23,"大气治理, 环保, 举牌股, 股权争夺, "
66,603685.SH,603685,晨丰科技,电气设备,17.74,18.35,3.44,18.06,17.74,1.8,0.5,0.34,"LED, "
67,300317.SZ,300317,珈伟新能,半导体,6.57,6.81,3.65,6.75,6.57,2.74,0.75,0.31,"光伏, 高质押率, 锂电池, 新能源汽车, 石墨烯, 共享经济, LED, "
68,603789.SH,603789,星光农机,农用机械,13.49,13.99,3.71,13.61,13.49,0.89,0.52,0.15,"乡村振兴, 农机, "
69,600917.SH,600917,重庆燃气,供气供热,7.94,8.24,3.78,8.35,7.94,5.16,0.6,0.51,"油气改革, 重庆国企改革, 天然气, 股权转让, "
70,603266.SH,603266,天龙股份,塑料,22.55,23.41,3.81,23.68,22.55,5.01,0.89,0.62,
71,002816.SZ,002816,和科达,专用机械,22.54,23.4,3.82,22.62,22.54,0.35,0.49,0.09,
72,300459.SZ,300459,金科文化,化工原料,8.66,9.0,3.93,8.8,8.66,1.62,0.57,0.46,"阿里巴巴概念股, 新进指数成份股, 回购, 业绩预增, 谷歌概念股, 高质押率, 大数据, 人工智能, "
73,300488.SZ,300488,恒锋工具,机械基件,26.46,27.5,3.93,26.51,26.46,0.19,0.45,0.3,
74,300265.SZ,300265,通光线缆,电气设备,10.34,10.75,3.97,10.43,10.34,0.87,0.77,0.39,"5G, 特高压, 光通信, 军工, 军民融合, "
75,002594.SZ,002594,比亚迪,汽车整车,55.88,58.15,4.06,57.4,55.88,2.72,0.47,0.27,"MSCI, 新能源整车, 大消费, 汽车整车, 华为产业链, 业绩预增, 百度概念股, 光伏, 储能, 无人驾驶, 锂电池, 新能源汽车, 3D玻璃, 共享经济, 充电桩, "
76,002767.SZ,002767,先锋电子,电器仪表,17.32,18.03,4.1,17.78,17.32,2.66,0.51,0.46,"物联网, 智能仪表, "
77,002283.SZ,002283,天润曲轴,汽车配件,4.63,4.82,4.1,4.78,4.63,3.24,0.63,0.43,"重卡, 汽车零部件, 工业自动化, 智能制造, "
78,300632.SZ,300632,光莆股份,半导体,20.0,20.82,4.1,21.06,20.0,5.3,1.01,0.5,"民营医院, 业绩预增, LED, 虹膜识别, "
79,600099.SH,600099,林海股份,摩托车,8.08,8.42,4.21,8.69,8.08,7.55,0.81,0.75,"央企改革, 乡村振兴, "
80,002220.SZ,002220,天宝食品,食品,3.3,3.44,4.24,3.34,3.3,1.21,0.6,0.3,"破净股, 冷链, "
81,600509.SH,600509,天富能源,火力发电,5.66,5.9,4.24,5.74,5.66,1.41,0.53,0.35,"火电, 电改, 国家队重仓, 破净股, 天然气, 新疆, 新疆国企改革, "
82,002821.SZ,002821,凯莱英,生物制药,89.85,93.68,4.26,90.14,89.85,0.32,0.41,0.3,"社保重仓, 医药, 创新药, "
83,600505.SH,600505,西昌电力,水力发电,8.38,8.74,4.3,8.75,8.38,4.42,0.81,0.6,"水电, 央企改革, 业绩预增, "
84,002759.SZ,002759,天际股份,家用电器,10.35,10.8,4.35,10.77,10.35,4.06,0.65,0.49,"业绩预增, 小家电, 高质押率, 家电, 锂电池, 新能源汽车, "
85,600845.SH,600845,宝信软件,软件服务,33.1,34.56,4.41,33.82,33.1,2.18,0.89,0.46,"央企改革, 业绩预增, 物联网, 无人驾驶, 万达系, 大数据, 云计算, 工业互联网, 国产软件, VR&AR, "
86,002654.SZ,002654,万润科技,半导体,4.97,5.19,4.43,5.0,4.97,0.6,0.6,0.2,"定增破发, 小米概念股, 股权转让, 国资入股, 独角兽, LED, "
87,603738.SH,603738,泰晶科技,元器件,16.61,17.35,4.46,16.65,16.61,0.24,0.79,0.42,"被动元件, "
88,002761.SZ,002761,多喜爱,纺织,19.01,19.87,4.52,20.76,19.01,9.21,1.57,0.32,"纺织服装, 高质押率, 举牌股, 高送转, 人工智能, 股权转让, 年报季报, "
89,600599.SH,600599,熊猫金控,多元金融,14.67,15.35,4.64,15.61,14.67,6.41,1.17,0.89,"光伏, 互联网金融, 资产重组, "
90,300274.SZ,300274,阳光电源,电气设备,12.22,12.8,4.75,12.65,12.22,3.52,0.88,0.66,"阿里巴巴概念股, 光伏, 储能, 新能源汽车, 充电桩, "
91,300161.SZ,300161,华中数控,机床制造,15.13,15.85,4.76,15.47,15.13,2.25,0.72,0.46,"阿里巴巴概念股, 工业自动化, 智能制造, 高校系, 机器人, "
92,000762.SZ,000762,西藏矿业,小金属,8.92,9.36,4.93,9.07,8.92,1.68,0.44,0.34,"有色金属, 有色-钴, 锂电池, 新能源汽车, 西藏, "
93,603088.SH,603088,宁波精达,专用机械,14.68,15.41,4.97,14.97,14.68,1.98,0.54,0.48,
94,603787.SH,603787,新日股份,摩托车,12.5,13.13,5.04,13.03,12.5,4.24,0.7,0.64,"共享经济, "
95,300444.SZ,300444,双杰电气,电气设备,9.48,9.96,5.06,9.81,9.48,3.48,0.82,0.64,"业绩预增, 锂电池, 新能源汽车, "
96,601218.SH,601218,吉鑫科技,机械基件,3.36,3.53,5.06,3.55,3.36,5.65,0.85,0.6,"回购, 风电, 年报季报, "
97,603501.SH,603501,韦尔股份,半导体,55.07,57.87,5.08,55.6,55.07,0.96,0.54,0.51,"回购, 小米概念股, 半导体, 国产芯片, 资产重组, "
98,600804.SH,600804,鹏博士,电信运营,11.03,11.59,5.08,11.45,11.03,3.81,1.06,0.36,"5G, 安邦系, 光通信, 新进指数成份股, 教育, 回购, 物联网, 谷歌概念股, 大数据, 云计算, 智慧城市, 智慧安防, "
99,002789.SZ,002789,建艺集团,装修装饰,18.6,19.57,5.22,18.91,18.6,1.67,0.64,0.27,"装修装饰, "
100,002757.SZ,002757,南兴装备,家居用品,33.73,35.51,5.28,34.4,33.73,1.99,0.76,0.33,"云计算, 高送转, "
101,300392.SZ,300392,腾信股份,互联网,9.04,9.52,5.31,9.59,9.04,6.08,1.16,0.56,"股权转让, 国资入股, 独角兽, "
102,300528.SZ,300528,幸福蓝海,影视音像,9.37,9.87,5.34,9.67,9.37,3.2,0.62,0.54,"影视, "
103,300376.SZ,300376,易事特,电气设备,5.8,6.11,5.34,5.88,5.8,1.38,0.86,0.35,"光伏, 储能, 工业自动化, 高质押率, 燃料电池, 智能制造, 新能源汽车, 股权转让, 充电桩, "
104,002240.SZ,002240,威华股份,家居用品,9.87,10.4,5.37,9.92,9.87,0.51,0.61,0.51,"业绩预增, 定增破发, 稀土磁材, 土地流转, 锂电池, 新能源汽车, 家具家居, "
105,000546.SZ,000546,金圆股份,水泥,10.37,10.93,5.4,10.43,10.37,0.58,0.58,0.48,"固废处理, 水泥, 环保, 股权转让, "
106,603388.SH,603388,元成股份,建筑施工,12.94,13.65,5.49,13.01,12.94,0.54,0.62,0.47,"园林, PPP, "
107,000632.SZ,000632,三木集团,综合类,5.25,5.54,5.52,5.55,5.25,5.71,0.73,0.57,"福建自贸区, 房地产, 举牌股, 自贸区, "
108,002911.SZ,002911,佛燃股份,供气供热,18.1,19.11,5.58,18.36,18.1,1.44,0.55,0.5,"天然气, 新能源汽车, 充电桩, "
109,600800.SH,600800,天津磁卡,综合类,8.76,9.25,5.59,8.99,8.76,2.63,0.22,0.11,"石油化工, 天津国企改革, 资产重组, 工业大麻, "
110,002886.SZ,002886,沃特股份,塑料,22.92,24.21,5.63,23.13,22.92,0.92,0.87,0.79,"5G, 国资入股, "
111,300191.SZ,300191,潜能恒信,石油开采,18.77,19.83,5.65,19.56,18.77,4.21,0.93,0.75,"油服, 海工装备, 油气改革, 可燃冰, 页岩气, 天然气, "
112,002148.SZ,002148,北纬科技,互联网,7.4,7.82,5.68,7.49,7.4,1.22,0.67,0.54,"回购, 物联网, 游戏, 手游, 创投, "
113,002036.SZ,002036,联创电子,元器件,13.88,14.68,5.76,14.16,13.88,2.02,0.85,0.8,"OLED, 特斯拉, 华为产业链, 回购, 无人驾驶, 无线充电, 3D感应, 3D玻璃, VR&AR, 国产芯片, 虹膜识别, 创投, "
114,002238.SZ,002238,天威视讯,影视音像,10.01,10.59,5.79,10.17,10.01,1.6,0.89,0.1,"广电, 深圳本地股/深汕合作, "
115,603618.SH,603618,杭电股份,电气设备,7.21,7.63,5.83,7.51,7.21,4.16,0.94,0.7,"5G, 特高压, 光通信, 石墨烯, "
116,000035.SZ,000035,中国天楹,环境保护,5.29,5.6,5.86,5.31,5.29,0.38,0.57,0.38,"固废处理, 环保, 资产重组, "
117,000038.SZ,000038,深大通,广告包装,14.17,15.0,5.86,14.44,14.17,1.91,0.77,0.57,"高质押率, 国资入股, "
118,000416.SZ,000416,民生控股,多元金融,6.09,6.45,5.91,6.76,6.09,11.0,1.35,1.16,"期货概念, 壳公司, "
119,600848.SH,600848,上海临港,园区开发,33.24,35.23,5.99,35.4,33.24,6.5,0.85,0.57,"电改, 特斯拉, 环杭州湾大湾区, 房地产, 小米概念股, 上海国企改革, 住房租赁, 自贸区, 智慧城市, 自由贸易港, 资产重组, 独角兽, 上海自由贸易港, 创投, "
120,002645.SZ,002645,华宏科技,专用机械,9.82,10.41,6.01,10.44,9.82,6.31,0.77,0.72,
121,603387.SH,603387,基蛋生物,生物制药,40.61,43.08,6.08,42.99,40.61,5.86,0.73,0.67,"医疗器械, 体外诊断, "
122,000862.SZ,000862,银星能源,新型电力,6.99,7.42,6.15,7.29,6.99,4.29,0.97,0.58,"央企改革, 风电, 光伏, 宁夏, 强势人气股, "
123,002850.SZ,002850,科达利,机械基件,24.54,26.06,6.19,24.84,24.54,1.22,0.73,0.37,"特斯拉, 宁德时代概念股, 锂电池, 新能源汽车, "
124,600686.SH,600686,金龙汽车,汽车整车,10.48,11.13,6.2,10.75,10.48,2.58,0.56,0.1,"新能源整车, 汽车整车, 百度概念股, 无人驾驶, 燃料电池, 数字中国, 新能源汽车, "
125,300590.SZ,300590,移为通信,通信设备,40.02,42.5,6.2,40.73,40.02,1.77,0.77,0.63,"高送转-预期, 业绩预增, 物联网, 智慧物流, 北斗导航, 智能制造, "
126,300735.SZ,300735,光弘科技,通信设备,26.78,28.48,6.35,28.14,26.78,5.08,1.19,0.75,"华为产业链, 小米概念股, 透明工厂, "
127,603806.SH,603806,福斯特,塑料,34.39,36.6,6.43,34.9,34.39,1.48,0.95,0.38,"光伏, "
128,600301.SH,600301,ST南化,化工原料,7.21,7.68,6.52,7.32,7.21,1.53,0.69,0.56,"烧碱, 广西, ST股, "
129,000059.SZ,000059,华锦股份,石油加工,7.46,7.95,6.57,7.56,7.46,1.34,0.67,0.54,"油气改革, 石墨电极, 混改, 军工混改, 央企改革, 军工研究所, 破净股, 军工, 石油化工, 煤化工, 化肥, 油品升级, "
130,000760.SZ,000760,斯太尔,汽车配件,3.47,3.7,6.63,3.72,3.47,7.2,1.09,0.87,"军工, 军民融合, 汽车零部件, 工业自动化, 智能制造, 强势人气股, "
131,000536.SZ,000536,华映科技,元器件,3.43,3.66,6.71,3.46,3.43,0.87,0.87,0.29,"OLED, 破净股, 债转股-AMC, 3D玻璃, 强势人气股, "
132,300288.SZ,300288,朗玛信息,软件服务,16.49,17.6,6.73,16.66,16.49,1.03,0.85,0.61,"民营医院, 大数据, 互联网医疗, "
133,300072.SZ,300072,三聚环保,环境保护,10.99,11.73,6.73,11.27,10.99,2.55,1.08,0.64,"MSCI, 石墨电极, 石油化工, 化肥, 大气治理, PPP, 环保, 油品升级, 区块链, 国资入股, "
134,002122.SZ,002122,*ST天马,机械基件,3.25,3.47,6.77,3.28,3.25,0.92,1.23,0.0,"破净股, 智慧停车, 大数据, ST股, 创投, "
135,300433.SZ,300433,蓝思科技,元器件,8.81,9.41,6.81,8.84,8.81,0.34,1.14,0.69,"MSCI, 华为产业链, 小米概念股, 创业板人气股, 指纹识别, 3D玻璃, 苹果产业链, 虹膜识别, "
136,300593.SZ,300593,新雷能,电气设备,20.12,21.49,6.81,20.5,20.12,1.89,0.79,0.35,"5G, 高送转-预期, 军工, 军民融合, "
137,000875.SZ,000875,吉电股份,火力发电,3.37,3.6,6.82,3.56,3.37,5.64,0.85,0.6,"火电, 电改, 央企改革, 破净股, 风电, 光伏, "
138,601949.SH,601949,中国出版,出版业,6.52,6.97,6.9,7.13,6.52,9.36,1.42,0.93,"中字头, 央企改革, "
139,300432.SZ,300432,富临精工,汽车配件,7.37,7.88,6.92,7.74,7.37,5.02,0.78,0.55,"破净股, 汽车零部件, 高质押率, 锂电池, 新能源汽车, "
140,002866.SZ,002866,传艺科技,电脑设备,13.19,14.11,6.97,13.41,13.19,1.67,0.68,0.61,"PCB板, "
141,000688.SZ,000688,国城矿业,铅锌,12.57,13.45,7.0,12.61,12.57,0.32,0.8,0.64,"有色-锌, 回购, 有色金属, 高质押率, "
142,002255.SZ,002255,海陆重工,专用机械,4.99,5.34,7.01,5.1,4.99,2.2,0.59,0.4,"核电, 业绩预增, 光伏, "
143,601015.SH,601015,陕西黑猫,焦炭加工,6.51,6.97,7.07,6.62,6.51,1.69,0.76,0.62,"煤炭, 甲醇, 天然气, "
144,600710.SH,600710,苏美达,工程机械,6.33,6.78,7.11,7.22,6.33,14.06,1.4,1.28,"央企改革, 智能制造, 机器人, "
145,300565.SZ,300565,科信技术,通信设备,15.71,16.83,7.13,15.81,15.71,0.64,1.15,0.71,"5G, 光通信, "
146,300128.SZ,300128,锦富技术,元器件,5.15,5.52,7.18,5.28,5.15,2.52,0.96,0.39,"OLED, 新零售, 石油化工, 物联网, 光伏, 大数据, 云计算, 石墨烯, 股权转让, VR&AR, 苹果产业链, "
147,002451.SZ,002451,摩恩电气,电气设备,13.55,14.53,7.23,14.4,13.55,6.27,1.34,0.97,"供应链金融, 债转股-AMC, 新能源汽车, 充电桩, 创投, "
148,002773.SZ,002773,康弘药业,中成药,52.08,55.85,7.24,52.6,52.08,1.0,0.98,0.7,"MSCI, 新进指数成份股, 医药, 中药, 创新药, 化学药, "
149,000836.SZ,000836,富通鑫茂,通信设备,4.94,5.3,7.29,5.08,4.94,2.83,1.2,0.61,"5G, 光通信, 无人驾驶, 股权转让, 智慧安防, 独角兽, "
150,002135.SZ,002135,东南网架,建筑施工,6.45,6.92,7.29,6.68,6.45,3.57,0.75,0.62,"业绩预增, 大基建, 装配式建筑, 雄安-建材, PPP, 雄安新区, "
151,002041.SZ,002041,登海种业,种植业,6.81,7.31,7.34,6.96,6.81,2.2,0.87,0.74,"转基因, 乡村振兴, 农业种植, "
152,300322.SZ,300322,硕贝德,通信设备,15.67,16.82,7.34,16.81,15.67,7.28,1.14,0.64,"5G, 华为产业链, 小米概念股, 无线充电, 移动支付, 指纹识别, 虹膜识别, "
153,000700.SZ,000700,模塑科技,汽车配件,4.2,4.51,7.38,4.41,4.2,5.0,0.92,0.72,"民营医院, 汽车零部件, 无人驾驶, 定增破发, "
154,002459.SZ,002459,天业通联,工程机械,12.51,13.44,7.43,13.0,12.51,3.92,1.01,0.81,"光伏, 机械, 雄安新区, 雄安-工程基建, 移动支付, 高铁轨交, 资产重组, "
155,002311.SZ,002311,海大集团,饲料,28.55,30.68,7.46,29.41,28.55,3.01,0.82,0.81,"MSCI, 新进指数成份股, 社保重仓, 饲料, 养猪, 供应链金融, "
156,300545.SZ,300545,联得装备,专用机械,30.85,33.15,7.46,31.47,30.85,2.01,0.99,0.49,"OLED, 华为产业链, 工业自动化, 智能制造, 强势人气股, "
157,300710.SZ,300710,万隆光电,通信设备,31.24,33.6,7.55,31.7,31.24,1.47,0.67,0.48,"5G, 光通信, 阿里巴巴概念股, 高送转-预期, 物联网, 广电, 强势人气股, "
158,300303.SZ,300303,聚飞光电,半导体,3.8,4.09,7.63,3.82,3.8,0.53,0.79,0.53,"社保重仓, 业绩预增, LED, "
159,000695.SZ,000695,滨海能源,供气供热,11.78,12.68,7.64,12.53,11.78,6.37,1.05,1.03,"天津国企改革, 资产重组, "
160,600861.SH,600861,北京城乡,百货,8.51,9.16,7.64,8.77,8.51,3.06,0.8,0.71,"北京城市规划, 新零售, "
