,ts_code,symbol,name,industry,COL_MA_5,COL_MA_10,COL_MA_20,COL_LASTPRICE,concept
43,002631.SZ,002631,德尔未来,家居用品,9.95,9.92,9.36,8.72,"石墨烯, 家具家居, "
44,603003.SH,603003,龙宇燃油,石油贸易,9.62,9.58,9.36,9.31,"油气改革, 回购, 石油化工, 大数据, 云计算, "
45,002054.SZ,002054,德美化工,化工原料,10.36,9.04,8.28,9.44,"半导体, 国资入股, 壳公司, 创投, "
46,002467.SZ,002467,二六三,电信运营,10.45,9.68,9.24,9.55,"教育, 业绩预增, 物联网, 谷歌概念股, 直播/短视频, 云计算, 高送转, 人工智能, "
47,600153.SH,600153,建发股份,商贸代理,10.23,9.98,9.76,9.63,"MSCI, 福建自贸区, 供应链金融, 快递物流, 自贸区, "
48,300342.SZ,300342,天银机电,元器件,10.3,10.27,10.23,9.7,"军工, 军民融合, 太赫兹, 白色家电, 家电, 股权转让, 国资入股, "
49,002100.SZ,002100,天康生物,饲料,10.95,10.78,10.18,10.12,"转基因, 饲料, 养猪, 新疆, 新疆国企改革, 动物保健, "
50,300290.SZ,300290,荣科科技,软件服务,10.44,10.4,10.37,10.14,"兜底式增持, 大数据, 云计算, 互联网医疗, 智慧城市, 国产软件, 股权转让, 医疗信息化, 独角兽, "
51,600748.SH,600748,上实发展,全国地产,11.53,11.32,10.88,10.21,"养老产业, 房地产, 土地流转, 上海国企改革, "
52,002140.SZ,002140,东华科技,建筑施工,11.55,10.6,9.76,10.39,"高股息, 固废处理, 国家队重仓, 央企改革, 供应链金融, 雄安-公共服务, 环保, 雄安新区, "
53,600831.SH,600831,广电网络,影视音像,11.94,11.69,11.6,10.45,"大数据, 云计算, 智慧城市, 广电, 知识产权, "
54,002203.SZ,002203,海亮股份,铜,10.69,10.24,9.77,10.55,"有色金属, 有色-钴, 工业自动化, 智能制造, 有色-铜, "
55,002511.SZ,002511,中顺洁柔,造纸,10.7,10.64,10.21,10.55,"社保重仓, 回购, 造纸, "
56,002241.SZ,002241,歌尔股份,元器件,10.74,10.47,10.33,10.66,"白马股, MSCI, 回购, 小米概念股, 智能制造, 工业互联网, 3D感应, 智能音箱, VR&AR, 苹果产业链, 独角兽, 机器人, "
57,600073.SH,600073,上海梅林,食品,10.81,10.14,9.58,10.7,"食品, 休闲食品, 万达系, 上海国企改革, 进口博览会, "
58,300199.SZ,300199,翰宇药业,化学制药,11.08,10.9,10.85,10.78,"国家队重仓, 回购, 医药, 创新药, 化学药, 互联网医疗, 国资入股, 独角兽, "
59,002359.SZ,002359,北讯集团,通信设备,11.47,11.24,11.0,10.97,"特高压, 业绩预增, 物联网, 定增破发, 智慧停车, "
60,000534.SZ,000534,万泽股份,生物制药,11.42,11.34,11.04,11.05,"社保重仓, 大飞机, 军工, 军民融合, 互联网金融, 股权转让, 资产重组, "
61,002250.SZ,002250,联化科技,化工原料,11.15,10.91,10.5,11.05,"农药, 社保重仓, 业绩预增, 医药, 创新药, "
62,600213.SH,600213,亚星客车,汽车整车,12.85,11.48,9.89,11.22,"新能源整车, 汽车整车, 山东国企改革, 新能源汽车, "
63,600882.SH,600882,妙可蓝多,乳制品,11.29,11.28,11.2,11.22,"回购, 食品, 乳业（奶粉）, "
64,002547.SZ,002547,春兴精工,通信设备,13.26,12.81,10.56,11.66,"5G, 特斯拉, 华为产业链, 3D玻璃, "
65,002158.SZ,002158,汉钟精机,工程机械,12.07,11.77,11.24,11.67,"雄安-公共服务, 燃料电池, 冷链, 雄安新区, 地热, "
66,002882.SZ,002882,金龙羽,电气设备,12.3,12.2,12.09,12.0,"业绩预增, 新能源汽车, 充电桩, "
67,603399.SH,603399,吉翔股份,小金属,12.8,12.54,12.28,12.04,"有色金属, 有色-钼, 百度概念股, 游戏, 手游, 影视, "
68,002866.SZ,002866,传艺科技,电脑设备,13.9,13.76,13.45,12.33,"PCB板, "
69,002274.SZ,002274,华昌化工,农药化肥,13.96,13.59,12.67,12.39,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 科创板概念股, "
70,300430.SZ,300430,诚益通,电器仪表,13.45,12.64,11.45,12.88,"社保重仓, 定增破发, 工业自动化, 智能制造, 医疗器械, "
71,600378.SH,600378,天科股份,化工原料,15.44,14.8,13.95,14.02,"油服, 可燃冰, 央企改革, 业绩预增, 页岩气, 石油化工, 燃料电池, 资产重组, 碳交易, "
72,300369.SZ,300369,绿盟科技,软件服务,14.24,13.98,13.76,14.18,"社保重仓, 网络安全, 云计算, 工业互联网, 国产软件, 国产操作系统, 独角兽, "
73,002548.SZ,002548,金新农,饲料,14.8,14.76,13.47,14.72,"回购, 饲料, 养猪, 股权转让, 动物保健, "
74,603677.SH,603677,奇精机械,机械基件,15.68,15.57,15.47,15.54,"白色家电, 家电, "
75,002791.SZ,002791,坚朗五金,其他建材,16.29,15.77,15.31,15.87,"社保重仓, 回购, "
76,300125.SZ,300125,易世达,电气设备,16.36,15.72,15.59,16.29,"回购, 光伏, 高送转-填权, 举牌股, 年报季报, "
77,002567.SZ,002567,唐人神,饲料,16.75,16.51,15.23,16.65,"回购, 饲料, 养猪, 股权转让, 国资入股, "
78,002788.SZ,002788,鹭燕医药,医药商业,17.01,16.88,16.51,16.73,"医药商业, 医药, 中药, 医疗器械, "
79,002568.SZ,002568,百润股份,红黄药酒,17.33,17.18,17.01,17.1,"社保重仓, 回购, 饮料, "
80,000997.SZ,000997,新大陆,软件服务,18.9,18.63,18.46,17.94,"MSCI, 国家队重仓, 物联网, 数字中国, 互联网金融, 移动支付, 大数据, 药品信息化追溯, 无人商店, 智慧城市, 彩票, 电子发票, "
81,603611.SH,603611,诺力股份,运输设备,19.5,19.29,18.96,18.52,"智慧物流, 机械, 智能制造, "
82,002124.SZ,002124,天邦股份,饲料,20.83,20.78,19.91,20.15,"饲料, 养猪, 动物保健, 强势人气股, "
83,300238.SZ,300238,冠昊生物,医疗保健,21.34,19.78,18.28,20.8,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
84,603811.SH,603811,诚意药业,化学制药,21.26,21.03,20.56,21.0,"医药, 化学药, "
85,300622.SZ,300622,博士眼镜,其他商业,22.92,22.51,21.75,22.1,"高送转-预期, 眼科, "
86,002816.SZ,002816,和科达,专用机械,22.91,22.65,22.52,22.18,
87,603959.SH,603959,百利科技,建筑施工,23.79,23.56,22.11,22.85,"宁德时代概念股, 煤化工, 高质押率, 锂电池, 新能源汽车, "
88,601066.SH,601066,中信建投,证券,25.97,25.44,25.34,23.36,"券商, 新进指数成份股, 强势人气股, "
89,603886.SH,603886,元祖股份,食品,25.17,24.2,23.49,24.3,"食品, 休闲食品, "
90,603908.SH,603908,牧高笛,纺织,28.7,28.66,28.31,24.91,"纺织服装, 体育产业, "
91,000977.SZ,000977,浪潮信息,电脑设备,27.53,27.17,26.54,25.49,"MSCI, 美团概念股, 山东国企改革, 数字中国, 云计算, 国产操作系统, 智慧安防, "
92,002475.SZ,002475,立讯精密,元器件,26.47,26.41,25.79,26.09,"5G, 白马股, MSCI, 华为产业链, 蔚来汽车概念股, 业绩预增, 无线充电, 苹果产业链, "
93,002776.SZ,002776,柏堡龙,服饰,26.6,26.31,25.82,26.51,"社保重仓, 纺织服装, 特色小镇, "
94,002810.SZ,002810,山东赫达,化工原料,27.03,26.45,25.73,26.9,"业绩预增, 高送转, "
95,300488.SZ,300488,恒锋工具,机械基件,27.39,27.06,26.78,27.1,
96,603568.SH,603568,伟明环保,环境保护,27.91,27.6,27.18,27.78,"固废处理, 环保, "
97,002311.SZ,002311,海大集团,饲料,30.97,30.62,29.29,30.66,"MSCI, 新进指数成份股, 社保重仓, 饲料, 养猪, 供应链金融, "
98,603045.SH,603045,福达合金,电气设备,34.9,33.84,32.49,31.6,
99,603499.SH,603499,翔港科技,广告包装,33.5,33.44,31.86,33.4,"包装印刷, 化妆品, "
100,300212.SZ,300212,易华录,软件服务,34.59,33.9,33.13,33.5,"阿里巴巴概念股, 央企改革, 业绩预增, 物联网, 百度概念股, 无人驾驶, 雄安-智慧城市, 养老产业, 智慧停车, PPP, 小米概念股, 数字中国, 雄安新区, 京津冀, 大数据, 云计算, 智慧城市, 智慧安防, 独角兽, 电子车牌, "
101,002729.SZ,002729,好利来,元器件,35.42,34.52,33.17,34.0,
102,600845.SH,600845,宝信软件,软件服务,34.46,34.37,33.56,34.43,"央企改革, 业绩预增, 物联网, 无人驾驶, 万达系, 大数据, 云计算, 工业互联网, 国产软件, VR&AR, "
103,300483.SZ,300483,沃施股份,专用机械,37.84,37.7,36.81,37.09,"天然气, 资产重组, "
104,603899.SH,603899,晨光文具,文教休闲,37.69,36.85,36.34,37.41,"MSCI, "
105,002773.SZ,002773,康弘药业,中成药,54.53,54.39,52.69,49.95,"MSCI, 新进指数成份股, 医药, 中药, 创新药, 化学药, "
106,300308.SZ,300308,中际旭创,通信设备,54.64,54.19,53.95,52.43,"5G, 光通信, "
107,601888.SH,601888,中国国旅,旅游服务,78.58,78.14,75.24,77.49,"MSCI, 中字头, 人民币升值受益, 阿里巴巴概念股, 大消费, 央企改革, 旅游, 中韩自贸区, 海南自由贸易港, 自贸区, 自由贸易港, 股权转让, "
108,300661.SZ,300661,圣邦股份,元器件,92.89,90.6,89.18,89.85,"社保重仓, 半导体, 国产芯片, 共享经济, "
109,002821.SZ,002821,凯莱英,生物制药,93.11,92.78,90.31,91.21,"社保重仓, 医药, 创新药, "
