,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE,concept
49,600549.SH,600549,厦门钨业,小金属,0.89,1.0499,15.4,"MSCI, 有色金属, 有色-钴, 有色-钼, 稀土磁材, 有色-钨, 锂电池, 新能源汽车, 石墨烯, "
50,600152.SH,600152,维科技术,电气设备,2.97,0.8424,8.38,"业绩预增, 纺织服装, 定增破发, 锂电池, 新能源汽车, 石墨烯, "
51,002450.SZ,002450,ST康得新,化工原料,-0.91,0.6667,6.04,"碳纤维, OLED, 蔚来汽车概念股, 石墨烯, VR&AR, 国资入股, 资产重组, ST股, "
52,300233.SZ,300233,金城医药,化学制药,0.82,0.0501,19.96,"医药, 化学药, 石墨烯, 股权转让, "
53,300207.SZ,300207,欣旺达,元器件,2.31,-0.1389,14.38,"华为产业链, 回购, 业绩预增, 锂电池, 小米概念股, 无线充电, 新能源汽车, 石墨烯, VR&AR, 苹果产业链, 国资入股, "
54,002372.SZ,002372,伟星新材,其他建材,-2.36,-0.3033,19.72,"MSCI, 养老金持股, 新进指数成份股, 地下管廊, 海绵城市, PPP, 石墨烯, "
55,002341.SZ,002341,新纶科技,化工原料,-0.97,-0.6542,10.63,"OLED, 华为产业链, 社保重仓, 业绩预增, 宁德时代概念股, 锂电池, 无线充电, 新能源汽车, 石墨烯, 半导体, 股权转让, 苹果产业链, "
56,600482.SH,600482,中国动力,电气设备,1.85,-0.984,27.17,"南北船合并, MSCI, 海工装备, 混改, 军工混改, 央企改革, 军工研究所, 回购, 航母, 军工, 军民融合, 汽车零部件, 锂电池, 燃料电池, 新能源汽车, 石墨烯, "
57,000701.SZ,000701,厦门信达,综合类,3.28,-1.25,7.9,"汽车销售, 物联网, 小米概念股, 石墨烯, 无人商店, 智慧安防, LED, 科创板概念股, 电子车牌, "
58,002604.SZ,002604,*ST龙力,食品,4.8,-2.3715,2.47,"食品, 白糖, 低价股, 石墨烯, ST股, 壳公司, 燃料乙醇, "
