,ts_code,symbol,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_LASTPRICE
33,600278.SH,600278,东方创业,商贸代理,5.88,8.0,0.0,15.51
34,603006.SH,603006,联明股份,汽车配件,5.84,7.0,1.0,17.24
35,000037.SZ,000037,深南电A,火力发电,5.73,8.0,1.0,13.28
36,002824.SZ,002824,和胜股份,铝,5.72,7.0,0.0,15.4
37,600410.SH,600410,华胜天成,软件服务,5.72,6.0,1.0,9.6
38,601326.SH,601326,秦港股份,港口,5.69,7.0,1.0,4.99
39,000021.SZ,000021,深科技,电脑设备,5.68,7.0,1.0,9.99
40,000670.SZ,000670,盈方微,元器件,5.68,3.0,0.0,6.9
41,002592.SZ,002592,八菱科技,汽车配件,5.59,5.0,0.0,25.77
42,300414.SZ,300414,中光防雷,元器件,5.56,7.0,0.0,24.3
43,600722.SH,600722,金牛化工,化工原料,5.51,9.0,1.0,6.84
44,000682.SZ,000682,东方电子,电气设备,5.45,6.0,1.0,6.41
45,300220.SZ,300220,金运激光,元器件,5.43,4.0,0.0,19.47
46,000503.SZ,000503,国新健康,医疗保健,5.39,8.0,0.0,27.95
47,000723.SZ,000723,美锦能源,焦炭加工,5.39,9.0,0.0,8.06
48,000716.SZ,000716,黑芝麻,食品,5.38,8.0,1.0,5.0
49,002118.SZ,002118,紫鑫药业,中成药,5.3,7.0,0.0,9.61
50,002346.SZ,002346,柘中股份,电气设备,5.27,4.0,1.0,15.58
51,002707.SZ,002707,众信旅游,旅游服务,5.22,4.0,1.0,7.92
52,600422.SH,600422,昆药集团,中成药,5.16,7.0,0.0,11.97
53,600463.SH,600463,空港股份,园区开发,5.07,8.0,1.0,10.68
54,000826.SZ,000826,启迪桑德,环境保护,5.04,7.0,1.0,15.0
55,002337.SZ,002337,赛象科技,化工机械,5.02,4.0,0.0,6.56
56,000793.SZ,000793,华闻传媒,出版业,5.01,7.0,1.0,5.03
57,600359.SH,600359,新农开发,农业综合,4.93,7.0,0.0,6.27
58,000066.SZ,000066,中国长城,电脑设备,4.89,8.0,0.0,10.15
59,000850.SZ,000850,华茂股份,纺织,4.83,7.0,0.0,5.08
60,600745.SH,600745,闻泰科技,通信设备,4.82,4.0,0.0,30.75
61,600783.SH,600783,鲁信创投,矿物制品,4.8,6.0,1.0,23.42
62,002189.SZ,002189,利达光电,元器件,4.79,6.0,0.0,26.89
63,000893.SZ,000893,*ST东凌,食品,4.78,4.0,0.0,5.73
64,600070.SH,600070,浙江富润,纺织,4.76,6.0,1.0,9.51
65,300709.SZ,300709,精研科技,元器件,4.75,8.0,0.0,42.01
66,002191.SZ,002191,劲嘉股份,广告包装,4.73,6.0,0.0,13.05
67,002377.SZ,002377,国创高新,石油加工,4.65,8.0,1.0,7.09
68,600222.SH,600222,太龙药业,中成药,4.55,8.0,0.0,6.04
69,300241.SZ,300241,瑞丰光电,半导体,4.55,8.0,1.0,7.05
70,600671.SH,600671,天目药业,中成药,4.55,4.0,0.0,21.14
71,002407.SZ,002407,多氟多,化工原料,4.52,4.0,1.0,16.21
72,300238.SZ,300238,冠昊生物,医疗保健,4.47,8.0,1.0,16.6
73,600198.SH,600198,*ST大唐,通信设备,4.46,7.0,0.0,11.9
74,002735.SZ,002735,王子新材,塑料,4.43,7.0,1.0,31.2
75,601008.SH,601008,连云港,港口,4.4,7.0,1.0,5.16
76,002604.SZ,002604,*ST龙力,食品,4.35,8.0,0.0,2.39
77,300332.SZ,300332,天壕环境,环境保护,4.35,7.0,1.0,6.26
78,300579.SZ,300579,数字认证,软件服务,4.34,2.0,0.0,45.66
79,603896.SH,603896,寿仙谷,中成药,4.32,8.0,0.0,46.03
80,300125.SZ,300125,易世达,电气设备,4.29,7.0,0.0,18.33
81,300182.SZ,300182,捷成股份,软件服务,4.28,6.0,1.0,6.76
82,600352.SH,600352,浙江龙盛,染料涂料,4.26,8.0,0.0,14.3
83,002130.SZ,002130,沃尔核材,电气设备,4.25,7.0,1.0,5.3
84,002077.SZ,002077,大港股份,区域地产,4.23,6.0,0.0,8.31
85,002159.SZ,002159,三特索道,旅游服务,4.21,4.0,1.0,22.69
86,300234.SZ,300234,开尔新材,陶瓷,4.19,8.0,0.0,8.8
87,300334.SZ,300334,津膜科技,专用机械,4.18,8.0,1.0,9.53
88,002157.SZ,002157,正邦科技,饲料,4.17,1.0,0.0,15.4
89,300142.SZ,300142,沃森生物,生物制药,4.15,3.0,1.0,22.56
90,300421.SZ,300421,力星股份,机械基件,4.14,8.0,0.0,18.51
91,600850.SH,600850,华东电脑,软件服务,4.13,6.0,1.0,23.45
92,600621.SH,600621,华鑫股份,证券,4.07,8.0,1.0,14.63
93,300612.SZ,300612,宣亚国际,广告包装,4.05,2.0,0.0,25.04
94,600867.SH,600867,通化东宝,生物制药,4.04,8.0,1.0,17.45
95,002803.SZ,002803,吉宏股份,广告包装,4.04,7.0,1.0,22.0
96,002122.SZ,002122,*ST天马,机械基件,4.04,9.0,0.0,3.44
97,603131.SH,603131,上海沪工,专用机械,4.03,2.0,1.0,24.1
98,002610.SZ,002610,爱康科技,电气设备,4.02,2.0,1.0,2.29
99,300006.SZ,300006,莱美药业,化学制药,3.96,7.0,0.0,5.75
100,300073.SZ,300073,当升科技,矿物制品,3.96,2.0,1.0,29.27
101,002204.SZ,002204,大连重工,专用机械,3.95,8.0,0.0,4.46
102,002639.SZ,002639,雪人股份,专用机械,3.95,8.0,0.0,11.42
103,300686.SZ,300686,智动力,元器件,3.91,8.0,0.0,16.83
104,000810.SZ,000810,创维数字,家用电器,3.88,6.0,0.0,11.51
105,002198.SZ,002198,嘉应制药,中成药,3.88,8.0,0.0,7.92
106,600728.SH,600728,佳都科技,软件服务,3.88,6.0,1.0,12.12
107,002453.SZ,002453,华软科技,化工原料,3.87,1.0,0.0,6.58
108,300250.SZ,300250,初灵信息,软件服务,3.86,7.0,1.0,16.88
109,600284.SH,600284,浦东建设,建筑施工,3.86,8.0,0.0,8.89
110,600399.SH,600399,*ST抚钢,特种钢,3.85,7.0,0.0,4.46
111,603717.SH,603717,天域生态,环境保护,3.83,4.0,1.0,10.97
112,002266.SZ,002266,浙富控股,电气设备,3.82,8.0,0.0,5.72
113,603678.SH,603678,火炬电子,元器件,3.82,2.0,1.0,20.66
114,300472.SZ,300472,新元科技,专用机械,3.8,8.0,1.0,25.0
115,300529.SZ,300529,健帆生物,医疗保健,3.76,1.0,0.0,56.46
116,600630.SH,600630,龙头股份,纺织,3.75,8.0,1.0,9.65
117,600238.SH,600238,*ST椰岛,红黄药酒,3.72,1.0,0.0,9.09
118,300176.SZ,300176,派生科技,汽车配件,3.71,7.0,1.0,50.86
119,002884.SZ,002884,凌霄泵业,专用机械,3.7,8.0,1.0,30.53
120,603922.SH,603922,金鸿顺,汽车配件,3.69,8.0,0.0,24.62
121,600108.SH,600108,亚盛集团,农业综合,3.69,7.0,0.0,3.92
122,600346.SH,600346,恒力股份,化纤,3.68,8.0,0.0,18.94
123,002300.SZ,002300,太阳电缆,电气设备,3.62,8.0,0.0,9.06
124,300566.SZ,300566,激智科技,元器件,3.59,7.0,1.0,17.78
125,002674.SZ,002674,兴业科技,纺织,3.58,8.0,1.0,13.3
126,603716.SH,603716,塞力斯,医药商业,3.58,8.0,1.0,22.24
127,300755.SZ,300755,华致酒行,其他商业,3.56,7.0,0.0,37.54
128,600663.SH,600663,陆家嘴,园区开发,3.54,4.0,1.0,17.65
129,600735.SH,600735,新华锦,商贸代理,3.54,8.0,1.0,7.38
130,300451.SZ,300451,创业慧康,软件服务,3.53,6.0,0.0,24.69
131,603126.SH,603126,中材节能,环境保护,3.52,7.0,1.0,7.29
132,000912.SZ,000912,*ST天化,农药化肥,3.51,7.0,0.0,6.53
133,002235.SZ,002235,安妮股份,互联网,3.51,7.0,0.0,8.3
134,000560.SZ,000560,我爱我家,房产服务,3.49,9.0,1.0,6.94
135,600476.SH,600476,湘邮科技,软件服务,3.49,7.0,1.0,16.66
136,300280.SZ,300280,紫天科技,专用机械,3.49,1.0,0.0,31.22
137,600149.SH,600149,ST坊展,综合类,3.46,7.0,1.0,7.33
138,000652.SZ,000652,泰达股份,批发业,3.45,8.0,0.0,4.99
139,600640.SH,600640,号百控股,酒店餐饮,3.44,6.0,1.0,14.01
140,000737.SZ,000737,*ST南风,日用化工,3.44,7.0,1.0,4.53
141,002552.SZ,002552,宝鼎科技,机械基件,3.43,7.0,1.0,7.97
142,600641.SH,600641,万业企业,区域地产,3.42,4.0,1.0,13.02
143,002243.SZ,002243,通产丽星,塑料,3.42,6.0,1.0,20.82
144,603801.SH,603801,志邦家居,家居用品,3.42,7.0,0.0,35.43
145,002370.SZ,002370,亚太药业,化学制药,3.41,8.0,1.0,15.01
146,600635.SH,600635,大众公用,供气供热,3.41,6.0,1.0,7.67
147,000921.SZ,000921,海信家电,家用电器,3.4,8.0,1.0,13.23
148,002437.SZ,002437,誉衡药业,化学制药,3.39,6.0,1.0,5.64
149,603180.SH,603180,金牌厨柜,家居用品,3.38,7.0,0.0,87.53
150,603086.SH,603086,先达股份,农药化肥,3.37,7.0,1.0,33.06
151,300303.SZ,300303,聚飞光电,半导体,3.36,7.0,1.0,3.62
152,600283.SH,600283,钱江水利,水务,3.36,6.0,1.0,14.23
153,300498.SZ,300498,温氏股份,农业综合,3.34,1.0,0.0,37.89
154,600093.SH,600093,易见股份,仓储物流,3.33,1.0,0.0,12.96
155,002733.SZ,002733,雄韬股份,电气设备,3.32,7.0,1.0,25.76
156,603843.SH,603843,正平股份,建筑施工,3.32,8.0,0.0,10.76
157,600158.SH,600158,中体产业,文教休闲,3.29,7.0,1.0,12.35
158,002208.SZ,002208,合肥城建,区域地产,3.26,8.0,0.0,15.54
159,300002.SZ,300002,神州泰岳,软件服务,3.26,6.0,1.0,5.23
160,300500.SZ,300500,启迪设计,建筑施工,3.26,7.0,1.0,28.07
161,600212.SH,600212,江泉实业,综合类,3.25,8.0,1.0,5.36
162,002440.SZ,002440,闰土股份,染料涂料,3.23,8.0,0.0,13.16
163,300269.SZ,300269,联建光电,半导体,3.22,4.0,1.0,6.27
164,600209.SH,600209,*ST罗顿,综合类,3.2,7.0,0.0,5.01
165,600456.SH,600456,宝钛股份,小金属,3.19,8.0,1.0,24.31
166,601975.SH,601975,ST长油,水运,3.19,7.0,0.0,3.44
167,300223.SZ,300223,北京君正,半导体,3.19,4.0,1.0,28.2
168,300456.SZ,300456,耐威科技,元器件,3.19,2.0,1.0,29.4
169,600572.SH,600572,康恩贝,中成药,3.16,6.0,0.0,10.25
170,002683.SZ,002683,宏大爆破,化工原料,3.15,8.0,1.0,13.68
171,300056.SZ,300056,三维丝,环境保护,3.15,4.0,0.0,7.2
172,000806.SZ,000806,银河生物,生物制药,3.14,5.0,1.0,6.12
173,601718.SH,601718,际华集团,服饰,3.14,6.0,1.0,4.8
174,002665.SZ,002665,首航节能,电气设备,3.14,4.0,0.0,3.81
175,000720.SZ,000720,*ST新能,火力发电,3.14,8.0,1.0,5.54
176,000860.SZ,000860,顺鑫农业,白酒,3.13,9.0,0.0,58.37
177,600272.SH,600272,开开实业,中成药,3.13,4.0,1.0,9.22
178,000100.SZ,000100,TCL集团,家用电器,3.13,6.0,1.0,4.1
179,300095.SZ,300095,华伍股份,机械基件,3.12,6.0,0.0,6.85
180,300165.SZ,300165,天瑞仪器,电器仪表,3.11,4.0,0.0,5.64
181,000523.SZ,000523,广州浪奇,日用化工,3.11,8.0,1.0,5.88
182,600716.SH,600716,凤凰股份,区域地产,3.11,8.0,1.0,5.13
183,601212.SH,601212,白银有色,铜,3.1,4.0,0.0,5.01
184,603360.SH,603360,百傲化学,化工原料,3.1,8.0,0.0,25.03
185,002661.SZ,002661,克明面业,食品,3.1,8.0,0.0,16.85
186,000409.SZ,000409,*ST地矿,综合类,3.08,7.0,0.0,5.65
187,300424.SZ,300424,航新科技,航空,3.08,6.0,1.0,19.43
188,300750.SZ,300750,宁德时代,电气设备,3.06,2.0,1.0,85.3
189,000045.SZ,000045,深纺织A,纺织,3.04,6.0,1.0,7.97
190,002503.SZ,002503,搜于特,服饰,3.03,6.0,1.0,3.2
191,300138.SZ,300138,晨光生物,食品,3.01,4.0,1.0,7.23
192,600331.SH,600331,宏达股份,铅锌,3.01,8.0,1.0,3.93
193,002246.SZ,002246,北化股份,化工原料,3.01,7.0,0.0,9.38
194,000982.SZ,000982,*ST中绒,纺织,3.0,7.0,0.0,1.66
195,600356.SH,600356,恒丰纸业,造纸,2.98,7.0,1.0,10.1
196,600501.SH,600501,航天晨光,汽车配件,2.97,8.0,0.0,10.07
197,603363.SH,603363,傲农生物,饲料,2.97,1.0,0.0,13.41
198,600502.SH,600502,安徽水利,建筑施工,2.96,9.0,1.0,5.14
199,002549.SZ,002549,凯美特气,环境保护,2.96,2.0,1.0,6.43
200,603733.SH,603733,仙鹤股份,造纸,2.96,7.0,0.0,19.42
201,300013.SZ,300013,新宁物流,仓储物流,2.95,7.0,0.0,17.07
202,603208.SH,603208,江山欧派,家居用品,2.95,8.0,0.0,38.27
203,600421.SH,600421,ST仰帆,机械基件,2.93,9.0,1.0,12.66
204,000514.SZ,000514,渝开发,区域地产,2.93,8.0,1.0,5.1
205,002111.SZ,002111,威海广泰,航空,2.93,2.0,1.0,13.39
206,600289.SH,600289,*ST信通,软件服务,2.93,7.0,0.0,3.21
207,600151.SH,600151,航天机电,半导体,2.92,8.0,1.0,6.17
208,002073.SZ,002073,软控股份,软件服务,2.92,7.0,1.0,6.56
209,300699.SZ,300699,光威复材,化工原料,2.9,8.0,0.0,55.31
210,600749.SH,600749,*ST藏旅,旅游景点,2.89,7.0,0.0,11.51
211,601107.SH,601107,四川成渝,路桥,2.89,8.0,1.0,4.5
212,300761.SZ,300761,立华股份,农业综合,2.88,1.0,0.0,74.62
213,601233.SH,601233,桐昆股份,化纤,2.88,8.0,1.0,14.42
214,603266.SH,603266,天龙股份,塑料,2.88,2.0,0.0,20.6
215,002172.SZ,002172,澳洋健康,化纤,2.87,7.0,0.0,5.22
216,000055.SZ,000055,方大集团,其他建材,2.84,7.0,1.0,6.9
217,603602.SH,603602,纵横通信,通信设备,2.83,7.0,0.0,36.8
218,002589.SZ,002589,瑞康医药,医药商业,2.83,6.0,1.0,9.2
219,002306.SZ,002306,*ST云网,酒店餐饮,2.83,7.0,0.0,4.33
220,603980.SH,603980,吉华集团,染料涂料,2.82,7.0,1.0,15.01
221,600992.SH,600992,贵绳股份,钢加工,2.81,7.0,1.0,9.5
222,000615.SZ,000615,京汉股份,全国地产,2.81,8.0,1.0,6.51
223,000837.SZ,000837,秦川机床,机床制造,2.8,8.0,0.0,5.98
224,603516.SH,603516,淳中科技,通信设备,2.79,7.0,1.0,28.41
225,603118.SH,603118,共进股份,通信设备,2.78,7.0,1.0,9.35
226,603686.SH,603686,龙马环卫,专用机械,2.78,8.0,1.0,14.83
227,002494.SZ,002494,华斯股份,服饰,2.78,7.0,1.0,6.48
228,002030.SZ,002030,达安基因,生物制药,2.78,7.0,1.0,13.79
229,300386.SZ,300386,飞天诚信,软件服务,2.76,1.0,0.0,13.59
230,000915.SZ,000915,山大华特,化学制药,2.76,8.0,1.0,22.61
231,002515.SZ,002515,金字火腿,食品,2.76,7.0,1.0,6.24
232,002805.SZ,002805,丰元股份,化工原料,2.76,8.0,0.0,20.39
233,300118.SZ,300118,东方日升,半导体,2.76,1.0,0.0,9.75
234,000897.SZ,000897,*ST津滨,区域地产,2.75,1.0,0.0,2.6
235,300302.SZ,300302,同有科技,软件服务,2.75,7.0,0.0,12.6
236,600148.SH,600148,长春一东,汽车配件,2.74,4.0,1.0,18.66
237,300497.SZ,300497,富祥股份,化学制药,2.73,8.0,0.0,21.11
238,000502.SZ,000502,绿景控股,医疗保健,2.72,8.0,0.0,10.46
239,603711.SH,603711,香飘飘,软饮料,2.72,9.0,0.0,29.93
240,000655.SZ,000655,*ST金岭,普钢,2.72,7.0,1.0,5.24
241,600592.SH,600592,龙溪股份,机械基件,2.71,7.0,1.0,8.87
242,300211.SZ,300211,亿通科技,通信设备,2.71,7.0,1.0,7.32
243,000707.SZ,000707,*ST双环,化工原料,2.7,8.0,1.0,4.11
244,600857.SH,600857,宁波中百,百货,2.7,7.0,0.0,10.69
245,600634.SH,600634,*ST富控,互联网,2.66,8.0,1.0,3.13
246,300131.SZ,300131,英唐智控,元器件,2.64,7.0,1.0,6.4
247,600460.SH,600460,士兰微,半导体,2.64,6.0,0.0,16.74
248,002369.SZ,002369,卓翼科技,通信设备,2.64,7.0,0.0,10.86
249,600458.SH,600458,时代新材,塑料,2.63,2.0,0.0,9.17
250,603881.SH,603881,数据港,电信运营,2.63,8.0,0.0,41.55
251,002892.SZ,002892,科力尔,电气设备,2.63,8.0,0.0,52.0
252,300265.SZ,300265,通光线缆,电气设备,2.62,4.0,1.0,9.95
253,002274.SZ,002274,华昌化工,农药化肥,2.6,8.0,0.0,8.02
254,600155.SH,600155,华创阳安,证券,2.6,6.0,1.0,10.94
255,600794.SH,600794,保税科技,仓储物流,2.6,7.0,1.0,3.52
256,002567.SZ,002567,唐人神,饲料,2.59,2.0,0.0,12.41
257,601616.SH,601616,广电电气,电气设备,2.59,4.0,1.0,4.49
258,002083.SZ,002083,孚日股份,纺织,2.58,8.0,0.0,6.71
259,300007.SZ,300007,汉威科技,电器仪表,2.57,4.0,0.0,13.33
260,000613.SZ,000613,大东海A,旅游服务,2.57,8.0,1.0,8.17
261,002194.SZ,002194,*ST凡谷,通信设备,2.57,8.0,0.0,13.12
262,002438.SZ,002438,江苏神通,机械基件,2.56,8.0,0.0,7.93
263,002709.SZ,002709,天赐材料,化工原料,2.56,4.0,1.0,32.43
264,000779.SZ,000779,三毛派神,纺织,2.55,8.0,0.0,12.08
265,002053.SZ,002053,云南能投,食品,2.55,8.0,1.0,9.19
266,002908.SZ,002908,德生科技,元器件,2.55,7.0,0.0,23.0
267,002698.SZ,002698,博实股份,化工机械,2.53,8.0,0.0,13.4
268,002798.SZ,002798,帝欧家居,家居用品,2.53,8.0,0.0,23.01
269,002831.SZ,002831,裕同科技,广告包装,2.53,4.0,1.0,55.6
270,600171.SH,600171,上海贝岭,半导体,2.52,4.0,0.0,14.29
271,002232.SZ,002232,启明信息,软件服务,2.52,7.0,1.0,9.42
272,603429.SH,603429,集友股份,广告包装,2.52,8.0,1.0,34.48
273,600372.SH,600372,中航电子,航空,2.51,2.0,1.0,16.35
274,300167.SZ,300167,迪威迅,通信设备,2.51,8.0,1.0,6.35
275,002166.SZ,002166,莱茵生物,中成药,2.51,7.0,0.0,8.69
276,601068.SH,601068,中铝国际,建筑施工,2.5,8.0,1.0,7.7
277,002464.SZ,002464,众应互联,互联网,2.5,6.0,0.0,11.94
278,300527.SZ,300527,中国应急,专用机械,2.49,7.0,0.0,10.29
279,603898.SH,603898,好莱客,家居用品,2.48,8.0,0.0,21.08
280,002446.SZ,002446,盛路通信,通信设备,2.48,6.0,1.0,10.07
281,002888.SZ,002888,惠威科技,元器件,2.46,7.0,0.0,22.74
282,002214.SZ,002214,大立科技,电器仪表,2.46,4.0,0.0,8.76
283,000625.SZ,000625,长安汽车,汽车整车,2.46,8.0,1.0,8.27
284,600654.SH,600654,ST中安,软件服务,2.46,7.0,0.0,2.47
285,600683.SH,600683,京投发展,区域地产,2.45,7.0,1.0,5.56
286,002429.SZ,002429,兆驰股份,家用电器,2.45,6.0,1.0,3.31
287,002388.SZ,002388,新亚制程,元器件,2.45,8.0,1.0,6.13
288,002456.SZ,002456,欧菲科技,元器件,2.44,4.0,1.0,14.2
289,300261.SZ,300261,雅本化学,农药化肥,2.43,6.0,1.0,6.02
290,600202.SH,600202,*ST哈空,电气设备,2.43,7.0,0.0,5.5
291,600020.SH,600020,中原高速,路桥,2.42,8.0,1.0,6.42
292,600462.SH,600462,ST九有,元器件,2.42,7.0,0.0,2.61
293,002731.SZ,002731,萃华珠宝,服饰,2.41,8.0,0.0,23.38
294,300343.SZ,300343,联创互联,互联网,2.41,7.0,0.0,8.59
295,603985.SH,603985,恒润股份,机械基件,2.41,7.0,1.0,27.98
296,600330.SH,600330,天通股份,元器件,2.41,7.0,1.0,8.59
297,300719.SZ,300719,安达维尔,航空,2.4,2.0,1.0,12.19
298,000519.SZ,000519,中兵红箭,矿物制品,2.4,6.0,1.0,8.56
299,600539.SH,600539,*ST狮头,水泥,2.39,7.0,1.0,7.56
300,300469.SZ,300469,信息发展,软件服务,2.39,4.0,0.0,27.22
301,300189.SZ,300189,神农基因,种植业,2.39,4.0,0.0,4.2
302,002717.SZ,002717,岭南股份,环境保护,2.38,7.0,1.0,9.28
303,600754.SH,600754,锦江股份,酒店餐饮,2.37,8.0,1.0,27.02
304,000600.SZ,000600,建投能源,火力发电,2.37,8.0,1.0,7.74
305,002596.SZ,002596,海南瑞泽,其他建材,2.37,8.0,1.0,10.3
306,600862.SH,600862,中航高科,航空,2.37,6.0,0.0,9.32
307,600116.SH,600116,三峡水利,水力发电,2.36,7.0,1.0,9.47
308,600638.SH,600638,新黄浦,区域地产,2.36,8.0,1.0,10.41
309,603308.SH,603308,应流股份,专用机械,2.35,7.0,1.0,10.95
310,600213.SH,600213,亚星客车,汽车整车,2.33,8.0,0.0,8.78
311,600896.SH,600896,*ST海投,水运,2.33,7.0,1.0,5.41
312,300264.SZ,300264,佳创视讯,通信设备,2.33,6.0,1.0,6.68
313,603848.SH,603848,好太太,家居用品,2.29,8.0,0.0,20.65
314,600206.SH,600206,有研新材,半导体,2.29,7.0,1.0,9.53
315,600302.SH,600302,标准股份,纺织机械,2.29,4.0,0.0,6.63
316,603956.SH,603956,威派格,专用机械,2.28,1.0,0.0,26.9
317,002417.SZ,002417,深南股份,多元金融,2.28,7.0,0.0,10.69
318,000931.SZ,000931,中关村,生物制药,2.27,6.0,1.0,9.2
319,002263.SZ,002263,*ST东南,塑料,2.26,7.0,0.0,2.14
320,000918.SZ,000918,嘉凯城,全国地产,2.26,7.0,1.0,7.67
321,002531.SZ,002531,天顺风能,电气设备,2.26,8.0,1.0,6.83
322,002622.SZ,002622,融钰集团,电气设备,2.25,4.0,0.0,4.56
323,600178.SH,600178,东安动力,汽车配件,2.25,8.0,0.0,6.18
324,600180.SH,600180,瑞茂通,仓储物流,2.25,1.0,0.0,9.98
325,600190.SH,600190,锦州港,港口,2.25,8.0,0.0,4.41
326,603833.SH,603833,欧派家居,家居用品,2.25,8.0,0.0,118.93
327,600614.SH,600614,鹏起科技,综合类,2.24,7.0,1.0,6.25
328,002537.SZ,002537,海联金汇,汽车整车,2.24,1.0,0.0,12.41
329,002511.SZ,002511,中顺洁柔,造纸,2.24,8.0,1.0,8.92
330,300329.SZ,300329,海伦钢琴,文教休闲,2.23,7.0,0.0,9.79
331,300076.SZ,300076,GQY视讯,电脑设备,2.22,4.0,0.0,5.93
332,002726.SZ,002726,龙大肉食,食品,2.22,1.0,0.0,9.14
333,002368.SZ,002368,太极股份,软件服务,2.22,6.0,0.0,35.28
334,600218.SH,600218,全柴动力,农用机械,2.21,2.0,0.0,12.68
335,300508.SZ,300508,维宏股份,软件服务,2.21,6.0,0.0,31.3
336,300570.SZ,300570,太辰光,元器件,2.21,7.0,1.0,24.31
337,000965.SZ,000965,天保基建,区域地产,2.21,4.0,0.0,5.06
338,600990.SH,600990,四创电子,通信设备,2.21,7.0,0.0,49.9
339,600756.SH,600756,浪潮软件,软件服务,2.21,6.0,0.0,28.84
340,603721.SH,603721,中广天择,影视音像,2.2,9.0,0.0,26.6
341,300491.SZ,300491,通合科技,电气设备,2.2,2.0,1.0,17.93
342,600529.SH,600529,山东药玻,医疗保健,2.19,8.0,1.0,24.14
343,300263.SZ,300263,隆华科技,专用机械,2.19,7.0,0.0,6.45
344,600316.SH,600316,洪都航空,航空,2.19,8.0,1.0,15.71
345,600647.SH,600647,同达创业,综合类,2.19,8.0,1.0,16.2
346,600556.SH,600556,ST慧球,软件服务,2.19,8.0,0.0,8.21
347,603309.SH,603309,维力医疗,医疗保健,2.19,8.0,0.0,14.12
348,002352.SZ,002352,顺丰控股,仓储物流,2.18,1.0,0.0,35.3
349,600664.SH,600664,哈药股份,化学制药,2.18,7.0,0.0,5.42
350,000420.SZ,000420,吉林化纤,化纤,2.17,8.0,1.0,2.8
351,002268.SZ,002268,卫士通,软件服务,2.17,2.0,0.0,30.89
352,600677.SH,600677,航天通信,通信设备,2.17,6.0,1.0,16.75
353,603779.SH,603779,威龙股份,红黄药酒,2.16,1.0,0.0,14.41
354,300749.SZ,300749,顶固集创,家居用品,2.16,8.0,1.0,37.88
355,002907.SZ,002907,华森制药,化学制药,2.15,7.0,1.0,22.58
356,002309.SZ,002309,中利集团,电气设备,2.15,6.0,0.0,10.76
357,002713.SZ,002713,东易日盛,装修装饰,2.15,9.0,0.0,20.22
358,600006.SH,600006,东风汽车,汽车整车,2.14,7.0,1.0,4.62
359,300560.SZ,300560,中富通,通信设备,2.14,1.0,0.0,19.98
