,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT,COL_CONTINUOUS_LIMIT_COUNT,COL_MA_20_SLOPE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
25,000723.SZ,000723,美锦能源,焦炭加工,8.49,2.0,1.0,0.92,317.78,"中国工商银行股份有限公司-广发多策略灵活配置混合型证券投资基金
南方资本-招商银行-远德定向增发1号资产管理计划
香港中央结算有限公司(陆股通)
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金
中国工商银行-广发聚富开放式证券投资基金",5.0
26,000883.SZ,000883,湖北能源,火力发电,5.61,2.0,1.0,1.51,347.99,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",2.0
27,000908.SZ,000908,景峰医药,化学制药,5.56,2.0,1.0,1.75,41.01,"平江县国有资产管理局
中国长城资产管理股份有限公司",2.0
28,002172.SZ,002172,澳洋健康,化纤,4.54,2.0,1.0,1.57,34.09,,0.0
29,002174.SZ,002174,游族网络,互联网,14.9,2.0,1.0,1.77,98.64,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-东方红沪港深灵活配置混合型证券投资基金
平安银行股份有限公司-东方红睿轩三年定期开放灵活配置混合型证券投资基金
太平基金-长安信托·稳健增利1号集合资金信托计划-太平基金锐进3号单一资产管理计划
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",5.0
30,002316.SZ,002316,亚联发展,软件服务,4.34,2.0,1.0,0.7,12.26,上海创奥投资管理合伙企业(有限合伙)-奥凯盛鑫7号私募证券投资基金,1.0
31,002369.SZ,002369,卓翼科技,通信设备,6.28,2.0,1.0,1.32,36.51,"上海通怡投资管理有限公司-通怡青柠私募基金
深圳市上元星晖电子产业股权投资基金企业(有限合伙)
上海通怡投资管理有限公司-通怡金牛2号私募证券投资基金",3.0
32,002400.SZ,002400,省广集团,广告包装,6.22,2.0,1.0,1.16,106.75,,0.0
33,002512.SZ,002512,达华智能,元器件,4.12,2.0,1.0,0.52,34.62,,0.0
34,002885.SZ,002885,京泉华,元器件,13.52,2.0,1.0,0.65,15.08,,0.0
35,002993.SZ,002993,奥海科技,元器件,66.09,2.0,1.0,1.25,30.59,"中国银行股份有限公司-宝盈核心优势灵活配置混合型证券投资基金
中国工商银行股份有限公司-宝盈人工智能主题股票型证券投资基金
中国农业银行股份有限公司-融通产业趋势先锋股票型证券投资基金
交通银行-融通行业景气证券投资基金
建信基金-建设银行-中国人寿-中国人寿委托建信基金公司股票型组合
中国建设银行股份有限公司-融通新能源汽车主题精选灵活配置混合型证券投资基金
招商银行股份有限公司-富国科创板两年定期开放混合型证券投资基金
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合
中国工商银行股份有限公司-富国创新科技混合型证券投资基金",9.0
36,003010.SZ,003010,若羽臣,互联网,31.48,2.0,1.0,0.79,9.68,上海量宇资产管理有限公司-量宇冠一八号私募证券投资基金,1.0
37,003015.SZ,003015,日久光电,元器件,16.14,2.0,1.0,1.26,11.17,,0.0
38,605368.SH,605368,蓝天燃气,供气供热,16.95,2.0,1.0,0.58,10.88,,0.0
