,ts_code,symbol,name,industry,COL_MA_10,COL_MA_20,COL_MA_10_SLOPE,COL_MA_20_SLOPE,COL_LASTPRICE,COL_INDAY_CHG,concept
10,300194.SZ,300194,福安药业,化学制药,8.75,8.44,-2.89,1.08,7.4,0.25,"医药, 化学药, 强势人气股, 工业大麻, "
11,002780.SZ,002780,三夫户外,其他商业,26.33,25.01,-0.83,1.05,25.82,0.04,"主题公园, 纺织服装, 体育产业, "
12,603679.SH,603679,华体科技,电气设备,48.3,45.48,0.48,1.0,47.9,2.72,"5G, 华为产业链, 新能源汽车, 智慧城市, 共享经济, LED, 充电桩, "
13,600081.SH,600081,东风科技,汽车配件,15.08,14.4,-2.96,0.98,13.18,0.42,"央企改革, 汽车零部件, 无人驾驶, "
14,603318.SH,603318,派思股份,专用机械,24.31,23.46,-0.41,0.95,23.9,0.65,"天然气, 物联网, 股权转让, 国资入股, 资产重组, "
15,300430.SZ,300430,诚益通,电器仪表,12.88,11.68,0.86,0.95,12.45,0.15,"社保重仓, 工业自动化, 智能制造, 医疗器械, "
16,603160.SH,603160,汇顶科技,元器件,127.32,119.53,-0.47,0.93,126.94,6.64,"高价股, 华为产业链, 社保重仓, 小米概念股, 人工智能, 指纹识别, 半导体, 3D感应, 国产芯片, 手势识别, 人脸识别, "
17,600175.SH,600175,美都能源,综合类,3.97,3.38,1.02,0.9,3.57,0.52,"油气改革, 天然气, 石油化工, 高质押率, 锂电池, 燃料电池, 互联网金融, 新能源汽车, 石墨烯, 充电桩, 强势人气股, "
18,601777.SH,601777,力帆股份,摩托车,7.53,6.8,-2.59,0.89,6.18,0.07,"阿里巴巴概念股, 新能源整车, 汽车整车, 无人驾驶, 锂电池, 燃料电池, 新能源汽车, 共享经济, 独角兽, "
19,002330.SZ,002330,得利斯,食品,7.62,6.97,1.06,0.87,7.4,0.02,"养猪, 食品, "
20,000966.SZ,000966,长源电力,火力发电,5.66,5.41,-1.74,0.74,5.24,0.05,"火电, 电改, 央企改革, 社保重仓, 业绩预增, 创投, "
21,002215.SZ,002215,诺普信,农药化肥,9.51,8.56,-1.14,0.71,8.19,0.2,"农药, 回购, 供应链金融, 工业大麻, "
22,000651.SZ,000651,格力电器,家用电器,57.88,56.12,-1.04,0.7,53.42,1.37,"高股息, 白马股, MSCI, 大消费, 宝能系, 汽车零部件, 小家电, 工业自动化, 白色家电, 家电, 智能制造, 工业互联网, 股权转让, 国产芯片, 机器人, "
23,300325.SZ,300325,德威新材,塑料,6.3,5.92,-1.41,0.51,5.45,0.52,"特高压, 供应链金融, 锦纶（尼龙）, 燃料电池, 举牌股, 资产重组, "
24,300345.SZ,300345,红宇新材,钢加工,6.17,5.91,-1.12,0.51,5.72,0.17,"军工, 军民融合, 工业自动化, 3D打印, 智能制造, "
25,600775.SH,600775,南京熊猫,通信设备,15.39,14.58,-2.53,0.48,13.61,0.81,"5G, 央企改革, 军工研究所, 业绩预增, 军工, 工业自动化, 北斗导航, 智能制造, 机器人, "
26,000568.SZ,000568,泸州老窖,白酒,72.63,71.02,0.44,0.48,72.32,1.82,"MSCI, 白酒, "
27,600731.SH,600731,湖南海利,农药化肥,7.11,6.87,-0.14,0.44,6.85,0.15,"农药, 湖南国企改革, "
28,002467.SZ,002467,二六三,电信运营,9.76,9.32,0.83,0.43,9.46,0.28,"教育, 业绩预增, 物联网, 谷歌概念股, 直播/短视频, 云计算, 高送转, 人工智能, "
29,603300.SH,603300,华铁科技,钢加工,9.92,9.8,-0.8,0.41,9.19,0.2,"雄安新区, 雄安-工程基建, 举牌股, 国资入股, "
30,002166.SZ,002166,莱茵生物,中成药,10.06,9.72,-1.08,0.41,9.44,0.74,"广西, 工业大麻, "
31,002776.SZ,002776,柏堡龙,服饰,26.27,26.0,0.11,0.39,26.18,0.47,"社保重仓, 纺织服装, 特色小镇, 高送转, "
32,600303.SH,600303,曙光股份,汽车整车,5.34,5.24,-0.93,0.38,5.15,0.12,"新能源整车, 振兴东北, 汽车整车, 汽车零部件, 新能源汽车, 股权转让, "
33,603589.SH,603589,口子窖,白酒,61.63,58.56,-0.26,0.34,59.45,0.88,"MSCI, 白酒, "
34,600963.SH,600963,岳阳林纸,造纸,6.38,5.96,-1.85,0.34,5.58,0.22,"人民币升值受益, 央企改革, 回购, 破净股, 雄安-园林环保, 特色小镇, 定增破发, 雄安新区, 造纸, 工业大麻, "
35,300387.SZ,300387,富邦股份,化工原料,9.14,9.03,-1.19,0.33,8.73,0.04,"化肥, "
36,002274.SZ,002274,华昌化工,农药化肥,13.37,12.7,-0.3,0.32,11.78,0.69,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 高送转, 科创板概念股, "
37,601888.SH,601888,中国国旅,旅游服务,77.94,75.75,-0.23,0.32,76.4,0.39,"MSCI, 中字头, 人民币升值受益, 阿里巴巴概念股, 大消费, 央企改革, 旅游, 中韩自贸区, 海南自由贸易港, 自贸区, 自由贸易港, 股权转让, "
38,002723.SZ,002723,金莱特,家用电器,13.28,13.08,-0.97,0.31,12.29,0.18,"小家电, 家电, 资产重组, "
39,002260.SZ,002260,*ST德奥,航空,3.54,3.41,-1.12,0.29,3.15,0.03,"通用航空, 农机, 小家电, 家电, ST股, 壳公司, "
40,300048.SZ,300048,合康新能,电气设备,3.63,3.48,-0.82,0.29,3.4,0.07,"新能源整车, 燃料电池, 新能源汽车, 共享经济, 充电桩, "
41,600732.SH,600732,ST新梅,区域地产,7.28,7.0,-0.14,0.29,7.0,0.21,"光伏, 上海国企改革, 资产重组, ST股, 壳公司, "
42,300628.SZ,300628,亿联网络,通信设备,103.48,100.1,0.19,0.27,101.46,1.56,"高价股, MSCI, 社保重仓, 云计算, 高送转, "
43,000596.SZ,000596,古井贡酒,白酒,112.36,109.64,0.01,0.23,111.02,1.37,"高价股, MSCI, 安徽国企改革, 白酒, "
44,603886.SH,603886,元祖股份,食品,24.52,23.56,0.66,0.21,24.31,0.11,"食品, 休闲食品, "
45,300492.SZ,300492,山鼎设计,建筑施工,30.72,29.24,-1.73,0.21,26.3,0.21,"新零售, 跨境电商, 年报季报, 装修装饰, 体育产业, "
46,002511.SZ,002511,中顺洁柔,造纸,10.6,10.26,-0.19,0.2,10.14,0.04,"社保重仓, 回购, 造纸, "
47,600887.SH,600887,伊利股份,乳制品,30.61,30.49,-0.1,0.2,30.55,0.55,"高股息, 白马股, MSCI, 健康中国, 内蒙古, 大消费, 二胎, 回购, 饮料, 食品, 乳业（奶粉）, "
48,002600.SZ,002600,领益智造,元器件,6.26,5.99,0.16,0.17,5.81,0.52,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
49,600696.SH,600696,ST岩石,区域地产,6.64,6.59,0.0,0.15,6.63,0.09,"ST股, 壳公司, "
50,000906.SZ,000906,浙商中拓,批发业,7.31,7.24,-2.01,0.14,6.65,0.04,"业绩预增, 浙江国企改革, "
51,300489.SZ,300489,中飞股份,铝,17.94,17.44,-1.81,0.11,16.15,0.32,"有色-铝, 核电, 有色金属, 军工, 军民融合, 股权转让, "
52,002140.SZ,002140,东华科技,建筑施工,10.64,9.81,0.0,0.1,9.21,0.21,"高股息, 固废处理, 国家队重仓, 央企改革, 供应链金融, 雄安-公共服务, 环保, 雄安新区, VR&AR, "
53,603028.SH,603028,赛福天,钢加工,9.91,9.72,-0.2,0.1,9.34,0.22,"壳公司, "
54,603444.SH,603444,吉比特,互联网,222.48,220.41,-0.21,0.08,222.18,1.88,"高价股, 教育, 游戏, 手游, "
55,600198.SH,600198,大唐电信,通信设备,15.57,15.16,-2.93,0.07,12.66,0.69,"5G, 阿里巴巴概念股, 国家队重仓, 央企改革, 物联网, 无人驾驶, 移动支付, 半导体, 智慧城市, 电竞, 国产芯片, 资产重组, ST摘帽, 人脸识别, "
56,300483.SZ,300483,沃施股份,专用机械,37.46,36.81,-0.13,0.03,36.01,0.51,"天然气, 资产重组, "
57,300116.SZ,300116,坚瑞沃能,电气设备,2.08,2.01,0.97,0.0,2.05,0.16,"储能, 锂电池, 燃料电池, 新能源汽车, 低价股, "
58,600377.SH,600377,宁沪高速,路桥,10.05,10.04,-0.1,0.0,9.93,0.02,"高股息, 高速公路, "
59,600378.SH,600378,天科股份,化工原料,14.56,13.98,-0.82,0.0,12.91,0.24,"油服, 可燃冰, 央企改革, 业绩预增, 页岩气, 石油化工, 燃料电池, 资产重组, 碳交易, "
60,300206.SZ,300206,理邦仪器,医疗保健,8.23,8.07,-1.67,0.0,7.33,0.13,"二胎, 回购, 业绩预增, 医疗器械, 体外诊断, "
61,001896.SZ,001896,豫能控股,火力发电,4.44,4.28,-0.22,0.0,4.03,0.33,"火电, 电改, 破净股, 风电, 燃料电池, "
62,300125.SZ,300125,易世达,电气设备,15.78,15.51,0.57,0.0,15.53,0.57,"回购, 光伏, 高送转-填权, 举牌股, 年报季报, "
63,603399.SH,603399,吉翔股份,小金属,12.46,12.27,-0.16,0.0,12.09,0.26,"有色金属, 有色-钼, 百度概念股, 游戏, 手游, 影视, "
64,600166.SH,600166,福田汽车,汽车整车,2.84,2.72,-1.05,0.0,2.53,0.09,"新能源整车, 汽车整车, 回购, 重卡, 百度概念股, 无人驾驶, 燃料电池, 新能源汽车, 低价股, "
65,000637.SZ,000637,茂化实华,石油加工,6.04,5.76,-0.98,0.0,5.24,0.11,"油气改革, 石油化工, 燃料电池, "
66,002678.SZ,002678,珠江钢琴,文教休闲,7.72,7.61,0.26,0.0,7.66,0.16,"二胎, 教育, "
67,002611.SZ,002611,东方精工,轻工机械,5.3,5.03,0.0,0.0,4.76,0.37,"北汽新能源, 宁德时代概念股, 锂电池, 燃料电池, 新能源汽车, 包装印刷, "
68,603899.SH,603899,晨光文具,文教休闲,37.16,36.3,0.32,-0.03,36.5,0.14,"MSCI, "
69,300463.SZ,300463,迈克生物,医疗保健,21.68,21.49,-0.41,-0.05,21.27,0.19,"基因测序, 医疗器械, 体外诊断, "
70,600779.SH,600779,水井坊,白酒,46.98,46.97,-0.06,-0.06,46.35,0.99,"MSCI, 新进指数成份股, 白酒, 业绩预增, "
71,300532.SZ,300532,今天国际,软件服务,15.34,15.25,0.0,-0.07,14.69,0.25,"宁德时代概念股, 智慧物流, 智能制造, 快递物流, 国资入股, "
72,002821.SZ,002821,凯莱英,生物制药,92.0,90.11,-0.38,-0.07,88.51,2.51,"社保重仓, 医药, 创新药, "
73,600748.SH,600748,上实发展,全国地产,11.03,10.87,-1.08,-0.09,9.54,0.19,"养老产业, 房地产, 土地流转, 上海国企改革, "
74,002138.SZ,002138,顺络电子,元器件,19.5,19.19,-0.61,-0.1,18.49,0.5,"5G, 被动元件, 华为产业链, 回购, 物联网, 小米概念股, 无线充电, 移动支付, 指纹识别, "
75,603711.SH,603711,香飘飘,软饮料,31.37,30.59,0.16,-0.1,30.65,1.35,"大消费, 饮料, "
76,603360.SH,603360,百傲化学,化工原料,28.12,27.88,-1.95,-0.11,26.0,0.2,"农药, 石油化工, "
77,300041.SZ,300041,回天新材,化工原料,8.05,8.03,-0.37,-0.12,7.89,0.17,"回购, 石油化工, 光伏, 装配式建筑, 雄安-建材, 雄安-公共服务, 雄安新区, 股权转让, 高铁轨交, 国资入股, "
78,002674.SZ,002674,兴业科技,纺织,16.52,16.04,-1.2,-0.12,14.6,0.45,"业绩预增, 纺织服装, 恒大概念股, 壳公司, "
79,002594.SZ,002594,比亚迪,汽车整车,56.21,56.11,-1.11,-0.12,53.01,0.59,"MSCI, 新能源整车, 大消费, 汽车整车, 华为产业链, 业绩预增, 百度概念股, 光伏, 储能, 无人驾驶, 锂电池, 新能源汽车, 3D玻璃, 共享经济, 充电桩, "
80,002559.SZ,002559,亚威股份,机床制造,8.67,8.54,0.23,-0.12,8.51,0.1,"回购, 工业自动化, 燃料电池, 智能制造, 高送转, 工业互联网, 机器人, "
81,300138.SZ,300138,晨光生物,食品,7.72,7.64,0.0,-0.13,7.65,0.54,"海底捞概念股, 回购, 独角兽, 工业大麻, "
82,603699.SH,603699,纽威股份,专用机械,13.38,13.26,-0.52,-0.15,12.68,0.01,"核电, 回购, "
83,300317.SZ,300317,珈伟新能,半导体,6.61,6.52,-0.9,-0.15,6.38,0.13,"光伏, 高质押率, 锂电池, 新能源汽车, 石墨烯, 共享经济, LED, "
84,000983.SZ,000983,西山煤电,煤炭开采,6.94,6.86,-0.86,-0.15,6.35,0.02,"MSCI, 煤炭, 破净股, 天然气, 山西国企改革, "
85,002634.SZ,002634,棒杰股份,服饰,6.37,6.29,-0.62,-0.16,5.99,0.1,"回购, 纺织服装, 股权转让, 科创板概念股, "
86,002139.SZ,002139,拓邦股份,元器件,6.46,6.37,-1.07,-0.16,5.96,0.16,"阿里巴巴概念股, 回购, 物联网, 锂电池, 智能制造, 新能源汽车, 区块链, 智慧安防, 机器人, "
87,002515.SZ,002515,金字火腿,食品,6.51,6.35,-0.31,-0.16,6.0,0.21,"回购, 业绩预增, 食品, 高质押率, 医药, 创新药, 互联网金融, 股权转让, 国资入股, 资产重组, "
88,300633.SZ,300633,开立医疗,医疗保健,28.96,28.67,0.42,-0.17,28.66,0.66,"医疗器械, "
89,600207.SH,600207,安彩高科,元器件,5.83,5.81,-2.83,-0.17,5.14,0.1,"天然气, 光伏, 玻璃, 3D玻璃, "
90,002568.SZ,002568,百润股份,红黄药酒,16.94,16.92,-0.53,-0.18,16.0,0.5,"回购, 饮料, "
91,600712.SH,600712,南宁百货,百货,5.47,5.42,-1.97,-0.18,4.83,0.03,"东盟博览会, 教育, 新零售, 宝能系, 广西, "
92,603387.SH,603387,基蛋生物,生物制药,41.19,41.05,-1.74,-0.19,37.12,0.12,"医疗器械, 体外诊断, "
93,603811.SH,603811,诚意药业,化学制药,20.8,20.5,-0.57,-0.19,19.3,0.69,"医药, 化学药, "
94,300285.SZ,300285,国瓷材料,陶瓷,15.99,15.84,0.13,-0.19,15.55,0.45,"有色-锆, 被动元件, 有色金属, 业绩预增, 高送转-填权, 医疗器械, 年报季报, "
95,002938.SZ,002938,鹏鼎控股,元器件,29.56,29.28,-1.66,-0.2,26.87,0.22,"PCB板, 苹果产业链, "
96,600281.SH,600281,太化股份,化工原料,4.79,4.76,-3.04,-0.21,4.17,0.08,"山西国企改革, 燃料电池, "
97,300392.SZ,300392,腾信股份,互联网,9.34,9.24,-1.79,-0.22,8.33,0.31,"股权转让, 国资入股, 独角兽, "
98,000592.SZ,000592,平潭发展,林业,4.29,4.25,-2.5,-0.23,3.86,0.03,"赛马, 民营医院, 福建自贸区, 光伏, 土地流转, 林业, 自贸区, 体育产业, "
99,600792.SH,600792,云煤能源,焦炭加工,4.29,4.23,-2.72,-0.24,3.72,0.02,"煤炭, 石墨电极, 甲醇, "
100,603043.SH,603043,广州酒家,食品,28.91,28.88,-0.1,-0.24,28.66,0.79,"社保重仓, 食品, 休闲食品, "
101,001696.SZ,001696,宗申动力,摩托车,8.51,8.23,-2.41,-0.24,7.15,0.12,"东盟博览会, 国家队重仓, 通用航空, 军工, 军民融合, 无人机, 汽车零部件, 农机, 燃料电池, "
102,002882.SZ,002882,金龙羽,电气设备,12.01,12.0,-0.58,-0.25,11.31,0.37,"业绩预增, 新能源汽车, 充电桩, "
103,300661.SZ,300661,圣邦股份,元器件,90.12,88.36,0.07,-0.25,85.69,3.95,"半导体, 国产芯片, 共享经济, "
104,600966.SH,600966,博汇纸业,造纸,3.87,3.85,-0.51,-0.26,3.67,0.07,"破净股, 造纸, "
105,600301.SH,600301,ST南化,化工原料,7.37,7.28,-0.41,-0.27,7.01,0.14,"烧碱, 广西, ST股, "
106,000038.SZ,000038,深大通,广告包装,14.3,14.08,-0.83,-0.28,13.6,0.13,"高质押率, 国资入股, 工业大麻, "
107,300739.SZ,300739,明阳电路,元器件,25.23,25.21,-1.45,-0.28,23.59,0.09,"PCB板, 人民币贬值受益, 高送转, "
108,002147.SZ,002147,ST新光,区域地产,3.42,3.38,-1.16,-0.29,3.09,0.02,"破净股, 债转股-AMC, 高质押率, 房地产, 共享经济, 资产重组, ST股, "
109,002498.SZ,002498,汉缆股份,电气设备,3.36,3.28,-1.47,-0.3,2.96,0.04,"特高压, 低价股, "
110,300299.SZ,300299,富春股份,通信设备,6.74,6.48,-2.6,-0.31,5.87,0.15,"5G, 数字中国, 大数据, 资产重组, 游戏, 手游, 影视, 动漫, "
111,002475.SZ,002475,立讯精密,元器件,25.91,25.62,-0.73,-0.31,24.18,0.88,"5G, 白马股, MSCI, 华为产业链, 蔚来汽车概念股, 业绩预增, 无线充电, 苹果产业链, "
112,000683.SZ,000683,远兴能源,化工原料,3.17,3.16,-0.94,-0.32,2.95,0.09,"内蒙古, 石墨电极, 甲醇, 纯碱, 回购, 业绩预增, 化肥, 低价股, "
113,600379.SH,600379,宝光股份,电气设备,9.29,9.23,-2.42,-0.32,8.22,0.03,"央企改革, 股权争夺, "
114,000413.SZ,000413,东旭光电,元器件,6.44,6.32,-0.92,-0.32,5.83,0.02,"OLED, MSCI, 新能源整车, 汽车整车, 华为产业链, 定增破发, 燃料电池, 智能制造, 新能源汽车, 石墨烯, 智慧城市, 3D玻璃, 机器人, "
115,300130.SZ,300130,新国都,电脑设备,18.24,17.62,-0.44,-0.34,16.8,0.3,"业绩预增, 物联网, 网络安全, 互联网金融, 移动支付, 大数据, 区块链, 腾讯概念股, "
116,002524.SZ,002524,光正集团,医疗保健,5.88,5.84,-1.51,-0.34,5.15,0.06,"一带一路, 民营医院, 装配式建筑, 新疆, 眼科, 壳公司, 创投, "
117,002667.SZ,002667,鞍重股份,工程机械,8.95,8.87,-0.67,-0.34,8.31,0.21,"壳公司, "
118,002214.SZ,002214,大立科技,电器仪表,8.76,8.72,-0.57,-0.34,8.4,0.34,"军工, 军民融合, 智能制造, 智慧安防, 机器人, 壳公司, "
119,300375.SZ,300375,鹏翎股份,汽车配件,8.36,8.2,-0.83,-0.36,7.53,0.03,"汽车零部件, 高送转, 资产重组, "
120,002666.SZ,002666,德联集团,化工原料,5.51,5.37,-1.25,-0.37,4.81,0.04,"蔚来汽车概念股, 燃料电池, 创投, "
121,600733.SH,600733,北汽蓝谷,汽车整车,10.3,10.29,-2.0,-0.39,8.92,0.09,"新能源整车, 北汽新能源, 业绩预增, 无人驾驶, 新能源汽车, ST摘帽, "
122,600248.SH,600248,延长化建,建筑施工,5.18,5.12,-1.33,-0.39,4.39,0.03,"中科院系, 大基建, 资产重组, "
123,300432.SZ,300432,富临精工,汽车配件,7.43,7.42,-2.24,-0.4,6.7,0.07,"汽车零部件, 高质押率, 锂电池, 新能源汽车, "
124,300086.SZ,300086,康芝药业,化学制药,7.38,7.34,-2.38,-0.41,6.41,0.04,"二胎, 民营医院, 医药, 化学药, 海南自由贸易港, 基因测序, 自贸区, 自由贸易港, 海南, "
125,600853.SH,600853,龙建股份,建筑施工,4.85,4.77,-1.22,-0.42,4.18,0.06,"振兴东北, 大基建, PPP, "
126,000811.SZ,000811,冰轮环境,工程机械,9.51,9.49,-2.06,-0.42,8.23,0.09,"中韩自贸区, 山东国企改革, 冷链, 自贸区, 地热, 创投, "
127,603168.SH,603168,莎普爱思,化学制药,9.64,9.3,-1.43,-0.43,7.71,0.05,"医药, 化学药, 眼科, 股权转让, "
128,000823.SZ,000823,超声电子,元器件,11.29,10.94,-2.25,-0.45,9.36,0.06,"PCB板, 小米概念股, 苹果产业链, "
129,300622.SZ,300622,博士眼镜,其他商业,22.16,21.6,-0.98,-0.46,19.14,0.15,"高送转-预期, 眼科, "
130,600478.SH,600478,科力远,元器件,6.66,6.43,-1.62,-0.46,5.57,0.12,"回购, 稀土磁材, 工业自动化, 燃料电池, 智能制造, 资产重组, "
131,603611.SH,603611,诺力股份,运输设备,18.95,18.79,-0.79,-0.53,17.52,0.51,"智慧物流, 机械, 智能制造, "
132,002158.SZ,002158,汉钟精机,工程机械,11.53,11.16,-1.37,-0.53,9.88,0.43,"雄安-公共服务, 燃料电池, 冷链, 雄安新区, 地热, "
133,002758.SZ,002758,华通医药,医药商业,11.24,11.14,-1.92,-0.54,9.52,0.08,"医药商业, 汽车销售, 医药, 中药, "
134,002631.SZ,002631,德尔未来,家居用品,9.71,9.24,-1.12,-0.54,7.98,0.12,"燃料电池, 石墨烯, 家具家居, "
135,000997.SZ,000997,新大陆,软件服务,18.26,18.24,-0.92,-0.55,16.46,0.01,"MSCI, 国家队重仓, 物联网, 定增破发, 数字中国, 互联网金融, 移动支付, 大数据, 药品信息化追溯, 无人商店, 智慧城市, 彩票, 电子发票, "
136,300590.SZ,300590,移为通信,通信设备,39.63,39.62,-1.69,-0.58,34.9,0.9,"高送转-预期, 业绩预增, 物联网, 智慧物流, 北斗导航, 智能制造, "
137,300217.SZ,300217,东方电热,电器仪表,3.35,3.32,-1.76,-0.6,2.93,0.01,"5G, 油服, 业绩预增, 光伏, 低价股, 3D玻璃, "
138,300593.SZ,300593,新雷能,电气设备,19.95,19.94,-1.58,-0.6,17.71,0.33,"5G, 高送转-预期, 军工, 军民融合, "
139,000836.SZ,000836,富通鑫茂,通信设备,5.04,4.9,-1.75,-0.61,4.29,0.02,"5G, 光通信, 无人驾驶, 股权转让, 智慧安防, 独角兽, "
140,002778.SZ,002778,高科石化,石油加工,21.34,21.22,-1.3,-0.61,18.43,0.13,"石油化工, 工业自动化, 智能制造, 股权转让, 资产重组, "
141,300025.SZ,300025,华星创业,通信设备,6.39,6.26,-1.99,-0.63,5.27,0.07,"5G, 华为产业链, 物联网, 云计算, 股权转让, "
142,000070.SZ,000070,特发信息,通信设备,16.11,15.59,-1.95,-0.64,13.4,0.25,"5G, 光通信, 军工, 军民融合, 深圳本地股/深汕合作, 创投, "
143,002211.SZ,002211,宏达新材,橡胶,6.29,6.23,-1.41,-0.64,5.48,0.18,"有机硅, 雄安-园林环保, 雄安新区, 股权转让, "
144,300199.SZ,300199,翰宇药业,化学制药,10.75,10.71,-0.83,-0.65,9.98,0.18,"国家队重仓, 回购, 医药, 创新药, 化学药, 互联网医疗, 国资入股, 独角兽, "
145,000680.SZ,000680,山推股份,工程机械,4.5,4.42,-2.17,-0.67,3.88,0.06,"一带一路, 机械, 山东国企改革, "
146,300471.SZ,300471,厚普股份,专用机械,14.34,14.32,-3.43,-0.69,11.71,0.27,"油服, 油气改革, 页岩气, 天然气, 燃料电池, 股权转让, 强势人气股, "
147,300050.SZ,300050,世纪鼎利,软件服务,7.07,7.01,-1.94,-0.71,5.96,0.01,"5G, 阿里巴巴概念股, 教育, 物联网, 定增破发, 大数据, 无人商店, 股权转让, "
148,002249.SZ,002249,大洋电机,电气设备,6.11,6.08,-2.71,-0.82,4.63,0.08,"北汽新能源, 燃料电池, 新能源汽车, 共享经济, "
149,002316.SZ,002316,亚联发展,软件服务,9.55,9.53,-2.15,-0.83,7.94,0.06,"华为产业链, 新零售, 数字中国, 互联网金融, 移动支付, 大数据, 智慧城市, 独角兽, 电子车牌, "
150,600604.SH,600604,市北高新,园区开发,14.59,14.56,-1.02,-0.88,12.8,0.19,"阿里巴巴概念股, 房地产, 上海国企改革, 住房租赁, 强势人气股, 创投, "
151,603499.SH,603499,翔港科技,广告包装,32.85,31.52,-1.29,-0.94,28.09,0.09,"包装印刷, 化妆品, "
152,601066.SH,601066,中信建投,证券,24.9,24.8,-0.88,-1.04,21.66,0.64,"券商, 新进指数成份股, 强势人气股, "
153,300265.SZ,300265,通光线缆,电气设备,9.91,9.88,-2.17,-1.1,8.08,0.25,"5G, 特高压, 光通信, 军工, 军民融合, "
154,603738.SH,603738,泰晶科技,元器件,16.22,16.16,-2.35,-1.28,12.89,0.01,"被动元件, "
