code,name,outstanding,p_change_range0,p_change_range1,normalizing_std,stop_mark
002072,凯瑞德,1.69,-1.21,44.469,0.139,
002137,麦达数字,2.85,-0.12,44.42,0.124,
601319,N人保,10.11,44.01,44.01,0.0,
002058,威 尔 泰,1.43,10.03,43.983,0.103,
000835,长城动漫,3.03,-3.7,43.919,0.148,
600250,南纺股份,2.59,3.09,43.528,0.155,
600864,哈投股份,15.78,6.16,43.274,0.139,
600463,空港股份,3.0,4.19,43.106,0.148,
002655,共达电声,3.6,10.04,43.086,0.109,
600107,美尔雅,3.6,3.75,42.748,0.118,
600736,苏州高新,11.51,4.71,42.665,0.111,
002148,北纬科技,4.43,3.85,42.198,0.125,
002495,佳隆股份,6.82,10.09,42.158,0.112,
002417,深南股份,2.23,1.64,41.99,0.155,
002089,新 海 宜,9.8,5.82,41.68,0.096,
000609,中迪投资,2.92,10.0,41.353,0.113,
002263,*ST东南,18.78,1.62,41.343,0.11,
002177,御银股份,6.45,9.89,41.222,0.102,
000892,欢瑞世纪,5.17,0.19,41.222,0.132,
002660,茂硕电源,2.11,0.14,41.148,0.132,
002259,ST升达,7.24,4.78,41.113,0.118,
002513,蓝丰生化,2.54,2.42,40.78,0.11,
000018,神州长城,13.35,0.36,40.316,0.14,
600212,江泉实业,5.12,0.43,40.161,0.139,
600366,宁波韵升,9.88,10.09,40.087,0.094,
600355,精伦电子,4.92,10.05,39.96,0.088,
002925,盈趣科技,0.75,4.18,39.852,0.094,
002760,凤形股份,0.72,6.97,39.85,0.093,
002722,金轮股份,1.11,4.16,39.65,0.099,
300181,佐力药业,4.67,10.06,39.645,0.095,
300187,永清环保,5.96,5.16,39.249,0.112,
002018,*ST华信,22.78,5.18,39.186,0.098,
002547,春兴精工,7.98,4.74,39.078,0.13,
600825,新华传媒,10.45,9.96,38.829,0.094,
002122,*ST天马,11.84,0.46,38.618,0.127,
600620,天宸股份,6.87,8.91,38.315,0.095,
600658,电子城,11.19,4.05,38.29,0.125,
600770,综艺股份,13.0,2.86,37.933,0.102,
000691,亚太实业,2.9,4.29,37.899,0.15,
002061,浙江交科,5.59,5.27,37.811,0.103,
600846,同济科技,6.25,9.96,37.313,0.094,
600784,鲁银投资,5.68,6.26,37.181,0.091,
000939,*ST凯迪,30.38,5.38,36.999,0.105,
002939,长城证券,3.1,0.98,36.637,0.092,
000009,中国宝安,21.2,9.96,36.634,0.092,
002489,浙江永强,18.7,1.48,36.223,0.113,
000851,高鸿股份,8.35,6.09,36.1,0.094,
002604,*ST龙力,5.08,3.37,36.088,0.103,
002045,国光电器,4.16,10.1,36.01,0.087,
600630,龙头股份,4.25,4.93,35.93,0.102,
600316,洪都航空,7.17,10.01,35.672,0.085,
002888,惠威科技,0.36,-3.58,35.483,0.112,
002606,大连电瓷,4.03,2.93,35.468,0.12,
600862,中航高科,7.91,5.08,35.306,0.086,
000913,钱江摩托,4.54,6.87,35.236,0.093,
002623,亚玛顿,1.6,6.16,35.177,0.089,
600870,*ST厦华,5.23,4.96,35.153,0.113,
600229,城市传媒,7.02,9.96,35.138,0.08,
600728,佳都科技,13.84,4.88,35.041,0.08,
000793,华闻传媒,19.21,3.97,34.928,0.099,
300168,万达信息,10.91,3.99,34.837,0.088,
000608,阳光股份,7.5,1.05,34.742,0.112,
600438,通威股份,27.82,0.25,34.693,0.099,
002622,融钰集团,8.4,2.43,34.279,0.12,
300061,康旗股份,2.6,6.28,33.978,0.068,
600505,西昌电力,3.65,5.78,33.909,0.084,
300100,双林股份,3.86,4.37,33.857,0.084,
600639,浦东金桥,8.5,10.0,33.749,0.079,
002686,亿利达,3.28,1.41,33.748,0.122,
000403,ST生化,2.65,5.0,33.734,0.081,
600634,*ST富控,5.76,2.75,33.68,0.087,
002786,银宝山新,1.37,0.13,33.656,0.114,
300049,福瑞股份,2.28,1.64,33.492,0.093,
600232,金鹰股份,3.65,0.68,33.424,0.124,
002012,凯恩股份,4.67,-2.52,33.356,0.115,
002366,台海核电,4.89,-1.09,33.348,0.106,
000948,南天信息,2.47,6.83,33.104,0.074,
000592,平潭发展,19.14,-0.66,33.056,0.103,
600848,上海临港,7.88,10.01,32.981,0.088,
600055,万东医疗,4.85,0.45,32.63,0.084,
600610,*ST毅达,3.76,-2.14,32.612,0.117,
002341,新纶科技,6.25,0.77,32.592,0.082,
000158,常山北明,16.24,1.22,32.569,0.095,
000670,盈方微,6.0,2.0,32.558,0.091,
002102,ST冠福,19.92,4.85,32.513,0.102,
000796,凯撒旅游,8.03,0.5,32.476,0.093,
300074,华平股份,4.72,4.12,32.463,0.092,
601177,杭齿前进,4.0,3.35,32.437,0.096,
300171,东富龙,3.34,10.07,32.421,0.08,
002803,吉宏股份,0.46,5.89,32.279,0.077,
000036,华联控股,11.36,4.72,32.214,0.084,
002625,光启技术,4.27,8.04,32.051,0.086,
000755,山西路桥,4.69,-3.06,31.932,0.115,
000659,珠海中富,12.86,8.2,31.927,0.083,
002616,长青集团,4.59,4.23,31.922,0.09,
002188,*ST巴士,1.83,1.62,31.821,0.103,
600163,中闽能源,9.99,1.35,31.684,0.102,
600020,中原高速,22.47,8.71,31.649,0.077,
000566,海南海药,11.03,7.49,31.505,0.08,
600530,交大昂立,7.8,5.88,31.289,0.093,
002034,旺能环境,1.43,5.62,31.254,0.092,
002164,宁波东力,4.4,10.15,31.141,0.084,
002071,长城影视,5.18,-1.84,31.101,0.107,
002619,艾格拉斯,13.97,3.9,31.068,0.09,
002354,天神娱乐,6.47,-1.7,30.996,0.096,
002261,拓维信息,9.72,5.05,30.953,0.074,
600080,金花股份,3.05,9.98,30.922,0.078,
000993,闽东电力,3.73,0.53,30.88,0.092,
002437,誉衡药业,21.67,3.0,30.79,0.08,
600647,同达创业,1.39,4.08,30.705,0.087,
300173,智慧松德,3.87,5.12,30.681,0.107,
600070,浙江富润,4.02,9.96,30.632,0.066,
000571,新大洲Ａ,8.06,-4.3,30.389,0.11,
000836,富通鑫茂,12.08,9.9,30.376,0.071,
600319,亚星化学,3.16,-1.51,30.169,0.107,
002208,合肥城建,3.19,6.03,30.163,0.084,
000811,冰轮环境,6.53,2.74,30.145,0.091,
000971,高升控股,5.92,10.09,30.116,0.092,
002453,华软科技,5.55,10.05,29.994,0.079,
600614,鹏起科技,12.91,5.39,29.925,0.071,
002614,奥佳华,3.22,-0.62,29.876,0.076,
002876,三利谱,0.55,0.23,29.852,0.07,
002067,景兴纸业,9.75,0.25,29.85,0.108,
600981,汇鸿集团,2.42,-1.0,29.773,0.077,
600986,科达股份,12.72,6.52,29.741,0.076,
002517,恺英网络,8.74,0.41,29.737,0.083,
002425,凯撒文化,8.04,-1.29,29.649,0.09,
002509,天广中茂,19.48,0.0,29.5,0.107,
600247,*ST成城,3.36,5.1,29.467,0.08,
002079,苏州固锝,7.26,2.36,29.419,0.091,
000996,中国中期,3.45,5.86,29.412,0.081,
600621,华鑫股份,5.35,10.01,29.373,0.072,
300248,新开普,3.17,-1.27,29.323,0.088,
000935,四川双马,7.63,10.02,29.253,0.069,
600446,金证股份,8.35,-2.47,29.195,0.097,
600071,凤凰光学,2.37,3.76,29.068,0.068,
002679,福建金森,2.36,2.74,29.045,0.075,
002696,百洋股份,2.1,-0.65,28.984,0.098,
002458,益生股份,1.79,1.68,28.901,0.069,
600155,华创阳安,11.28,4.53,28.777,0.059,
002332,仙琚制药,9.04,1.16,28.715,0.07,
002077,大港股份,5.32,1.49,28.643,0.09,
300268,佳沃股份,0.98,10.03,28.481,0.071,
600275,ST昌鱼,5.09,3.83,28.435,0.081,
600493,凤竹纺织,2.72,3.22,28.387,0.111,
000611,天首发展,3.19,1.77,28.364,0.077,
002812,恩捷股份,1.27,1.75,28.31,0.069,
002209,达 意 隆,1.54,10.03,28.279,0.066,
000416,民生控股,5.32,5.42,28.129,0.038,
000806,银河生物,6.98,-1.58,28.104,0.096,
002607,亚夏汽车,7.05,1.01,28.063,0.084,
002288,超华科技,8.0,6.77,28.059,0.077,
002782,可立克,1.06,2.63,28.034,0.081,
000850,华茂股份,9.43,4.95,27.969,0.085,
002245,澳洋顺昌,9.14,6.34,27.954,0.077,
002670,国盛金控,6.28,10.01,27.925,0.062,
002143,印纪传媒,9.74,-1.33,27.916,0.117,
600797,浙大网新,9.41,5.63,27.845,0.066,
601012,隆基股份,27.66,-0.17,27.687,0.097,
600200,江苏吴中,7.15,0.29,27.682,0.08,
600468,百利电气,7.98,4.85,27.676,0.072,
600187,国中水务,14.56,3.33,27.57,0.077,
300238,冠昊生物,2.46,3.34,27.388,0.078,
600836,界龙实业,6.63,5.31,27.377,0.071,
002086,东方海洋,4.76,-1.34,27.339,0.101,
002862,实丰文化,0.31,2.31,27.202,0.078,
000049,德赛电池,2.05,1.35,27.189,0.064,
000606,顺利办,5.46,2.78,27.015,0.081,
600257,大湖股份,4.27,0.79,27.001,0.082,
000679,大连友谊,3.56,1.11,26.811,0.083,
600388,龙净环保,10.69,6.46,26.765,0.064,
600120,浙江东方,6.65,3.9,26.712,0.073,
600207,安彩高科,6.9,2.39,26.657,0.072,
000607,华媒控股,8.85,2.07,26.573,0.088,
600110,诺德股份,11.5,6.74,26.558,0.071,
002236,大华股份,18.35,4.2,26.523,0.074,
300118,东方日升,6.83,0.89,26.436,0.068,
300016,北陆药业,3.81,0.38,26.41,0.075,
002875,安奈儿,0.39,9.98,26.347,0.073,
002472,双环传动,5.5,9.78,26.313,0.069,
002026,山东威达,3.7,10.04,26.186,0.061,
002044,美年健康,23.24,-0.18,26.159,0.069,
600146,商赢环球,2.0,4.62,26.07,0.085,
600744,华银电力,8.28,1.31,26.019,0.089,
600551,时代出版,5.06,2.53,26.003,0.079,
600682,南京新百,9.73,-0.09,25.996,0.08,
000727,华东科技,29.31,0.0,25.926,0.089,
600421,ST仰帆,1.96,1.8,25.917,0.076,
600061,国投资本,41.74,4.37,25.895,0.055,
002343,慈文传媒,4.21,-0.38,25.858,0.083,
600818,中路股份,2.38,0.85,25.759,0.074,
300163,先锋新材,3.3,2.87,25.612,0.08,
002583,海能达,10.5,0.92,25.555,0.076,
002005,德豪润达,12.66,-0.35,25.532,0.085,
000576,广东甘化,4.36,4.08,25.468,0.065,
002388,新亚制程,4.0,5.39,25.459,0.076,
000955,欣龙控股,5.38,-0.8,25.439,0.084,
000637,茂化实华,3.66,0.22,25.394,0.078,
002432,九安医疗,4.33,4.28,25.342,0.085,
600100,同方股份,29.64,6.34,25.29,0.066,
002841,视源股份,0.67,3.66,25.237,0.056,
600687,刚泰控股,10.79,1.62,25.184,0.103,
002235,安妮股份,5.0,-1.35,25.138,0.081,
002555,三七互娱,11.82,1.09,25.077,0.063,
300043,星辉娱乐,9.03,-1.24,25.056,0.094,
600590,泰豪科技,8.1,4.98,25.053,0.064,
002658,雪迪龙,3.05,3.78,25.034,0.069,
300063,天龙集团,4.11,4.75,25.002,0.07,
000989,九 芝 堂,4.2,4.16,24.977,0.073,
002705,新宝股份,4.59,6.22,24.969,0.041,
300196,长海股份,2.61,2.49,24.967,0.068,
002356,赫美集团,4.8,1.5,24.95,0.086,
600301,ST南化,2.35,1.29,24.932,0.084,
300151,昌红科技,2.86,1.17,24.851,0.074,
600773,西藏城投,7.29,9.98,24.834,0.062,
600652,游久游戏,8.33,1.53,24.775,0.075,
600768,宁波富邦,1.34,3.88,24.752,0.07,
300089,文化长城,2.77,-0.93,24.733,0.078,
002019,亿帆医药,8.14,0.82,24.728,0.076,
000753,漳州发展,8.84,2.78,24.72,0.081,
000713,丰乐种业,2.99,0.0,24.691,0.058,
600683,京投发展,7.41,2.08,24.667,0.097,
000673,当代东方,7.87,-0.95,24.65,0.088,
600202,*ST哈空,3.83,5.05,24.612,0.082,
600824,益民集团,10.54,1.05,24.604,0.085,
600560,金自天正,2.24,1.07,24.549,0.095,
600817,ST宏盛,1.56,5.02,24.44,0.08,
300096,易联众,3.77,0.87,24.439,0.041,
002048,宁波华翔,4.6,1.31,24.402,0.064,
002477,雏鹰农牧,19.71,-0.53,24.33,0.109,
600306,商业城,1.77,0.68,24.321,0.064,
300234,开尔新材,1.52,10.0,24.293,0.064,
600452,涪陵电力,2.24,-1.8,24.272,0.071,
600663,陆家嘴,24.45,9.67,24.25,0.062,
002452,长高集团,4.01,1.0,24.24,0.061,
002473,*ST圣莱,1.6,2.82,24.233,0.06,
300219,鸿利智汇,5.44,1.61,23.99,0.07,
600130,波导股份,7.68,1.86,23.969,0.085,
000982,*ST 中绒,18.05,4.89,23.945,0.069,
600880,博瑞传播,7.32,1.13,23.877,0.062,
000815,美利云,3.17,5.98,23.85,0.053,
000823,超声电子,5.37,0.81,23.845,0.065,
600692,亚通股份,2.55,4.01,23.836,0.064,
002549,凯美特气,6.2,9.94,23.83,0.052,
600416,湘电股份,8.81,2.96,23.822,0.069,
600119,长江投资,3.07,10.01,23.781,0.078,
002674,兴业科技,2.4,5.2,23.709,0.05,
300027,华谊兄弟,22.11,-1.26,23.646,0.08,
600638,新黄浦,6.73,9.96,23.644,0.058,
002292,奥飞娱乐,7.63,4.04,23.635,0.067,
000626,远大控股,4.05,-0.13,23.633,0.099,
002011,盾安环境,8.41,2.39,23.517,0.075,
600373,中文传媒,13.78,-1.36,23.508,0.053,
600587,新华医疗,4.03,1.62,23.484,0.064,
000657,中钨高新,4.54,5.38,23.478,0.057,
002404,嘉欣丝绸,3.99,6.33,23.477,0.056,
000509,华塑控股,8.25,2.58,23.447,0.099,
000929,兰州黄河,1.86,-0.14,23.442,0.081,
002316,亚联发展,2.93,2.79,23.413,0.074,
300122,智飞生物,8.69,-0.71,23.402,0.085,
002180,纳思达,9.42,1.93,23.312,0.048,
600433,冠豪高新,12.71,-0.51,23.297,0.067,
002107,沃华医药,3.49,2.62,23.283,0.072,
000652,泰达股份,14.74,2.73,23.28,0.069,
600260,凯乐科技,6.28,2.23,23.279,0.031,
600209,*ST罗顿,4.39,0.0,23.262,0.074,
002213,特 尔 佳,1.97,0.91,23.255,0.073,
600137,浪莎股份,0.97,2.34,23.159,0.065,
000973,佛塑科技,9.67,7.28,23.147,0.059,
600227,圣济堂,12.45,3.85,23.136,0.068,
002761,多喜爱,2.03,2.6,23.117,0.046,
601222,林洋能源,17.49,-1.56,23.106,0.079,
300166,东方国信,8.11,1.19,23.079,0.059,
002615,哈尔斯,2.3,-1.06,23.073,0.065,
600521,华海药业,12.36,-1.79,23.068,0.071,
600961,株冶集团,5.27,0.73,23.032,0.082,
002836,新宏泽,0.56,-0.94,23.016,0.073,
000536,华映科技,20.03,1.26,22.955,0.083,
002638,勤上股份,9.79,1.61,22.952,0.06,
601066,中信建投,4.0,3.35,22.937,0.053,
600977,中国电影,5.65,-2.03,22.87,0.068,
002464,众应互联,2.83,1.59,22.832,0.067,
300025,华星创业,3.89,2.26,22.831,0.069,
002581,未名医药,4.01,2.6,22.811,0.066,
002891,中宠股份,0.54,-0.99,22.794,0.074,
002837,英维克,0.68,9.98,22.755,0.043,
600238,*ST椰岛,4.45,0.6,22.743,0.076,
600557,康缘药业,5.99,3.0,22.719,0.052,
600321,*ST正源,15.11,1.52,22.675,0.063,
000997,新 大 陆,10.04,0.99,22.654,0.063,
002357,富临运业,3.13,2.4,22.607,0.075,
002290,中科新材,2.1,-0.59,22.585,0.066,
600679,上海凤凰,1.91,4.82,22.517,0.073,
601558,ST锐电,57.07,1.7,22.45,0.073,
002247,聚力文化,5.4,-0.83,22.439,0.1,
000690,宝新能源,20.39,2.73,22.434,0.065,
600386,北巴传媒,8.06,3.68,22.4,0.067,
002505,大康农业,54.85,0.0,22.388,0.075,
002161,远 望 谷,6.99,4.55,22.37,0.056,
300033,同花顺,2.64,1.42,22.321,0.044,
002407,多氟多,5.44,9.97,22.29,0.053,
002326,永太科技,5.38,-0.25,22.275,0.065,
600243,青海华鼎,2.37,-0.84,22.272,0.086,
600318,新力金融,4.84,1.56,22.233,0.034,
600191,华资实业,4.85,1.89,22.207,0.054,
600568,中珠医疗,15.65,1.06,22.197,0.067,
002569,步森股份,1.4,-1.28,22.133,0.088,
600097,开创国际,2.03,3.74,22.131,0.06,
300099,精准信息,3.85,9.96,22.124,0.055,
002103,广博股份,3.74,-0.41,22.105,0.081,
000518,四环生物,10.3,0.0,22.101,0.076,
600651,飞乐音响,9.85,4.46,22.096,0.061,
300169,天晟新材,2.58,-0.2,22.048,0.08,
000043,中航善达,6.67,-1.01,22.042,0.066,
002496,ST辉丰,9.67,2.78,21.992,0.066,
600654,ST中安,7.55,2.19,21.986,0.062,
002117,东港股份,3.64,-0.47,21.918,0.073,
000567,海德股份,1.5,5.9,21.888,0.053,
000021,深科技,14.69,2.58,21.882,0.058,
000777,中核科技,3.83,-0.52,21.842,0.05,
000063,中兴通讯,34.34,4.06,21.841,0.069,
000760,斯太尔,6.54,-1.41,21.796,0.084,
002037,久联发展,3.27,2.92,21.778,0.052,
002776,柏堡龙,2.06,0.54,21.719,0.078,
600831,广电网络,5.63,4.58,21.716,0.058,
600666,奥瑞德,7.95,-2.38,21.705,0.095,
600718,东软集团,12.37,0.25,21.652,0.08,
002780,三夫户外,0.65,2.71,21.64,0.062,
300201,海伦哲,8.74,3.6,21.633,0.065,
300020,银江股份,6.28,0.55,21.609,0.064,
600715,文投控股,12.84,-1.13,21.587,0.08,
002139,拓邦股份,7.84,1.79,21.583,0.066,
600186,莲花健康,10.62,-1.34,21.539,0.073,
002105,信隆健康,3.69,-0.22,21.517,0.07,
002174,游族网络,6.19,-1.23,21.479,0.064,
600255,梦舟股份,17.7,0.47,21.476,0.081,
600393,粤泰股份,9.88,-1.09,21.454,0.124,
000692,惠天热电,5.33,-0.95,21.412,0.066,
000530,大冷股份,5.98,2.98,21.411,0.074,
600601,方正科技,21.95,2.79,21.407,0.065,
000150,宜华健康,5.76,-2.27,21.407,0.08,
601218,吉鑫科技,9.92,-0.71,21.405,0.046,
002112,三变科技,1.84,1.94,21.401,0.054,
002055,得润电子,4.26,1.68,21.375,0.06,
300229,拓尔思,4.66,-1.43,21.332,0.071,
002634,棒杰股份,2.7,2.58,21.33,0.064,
600856,中天能源,13.43,-2.6,21.307,0.081,
600198,*ST大唐,8.75,2.77,21.29,0.048,
002170,芭田股份,6.55,2.24,21.278,0.067,
600807,*ST天业,7.87,4.98,21.245,0.053,
000547,航天发展,9.71,2.88,21.203,0.058,
002796,世嘉科技,0.3,-1.21,21.175,0.066,
002435,长江润发,3.12,0.16,21.154,0.062,
002699,美盛文化,7.91,-1.71,21.122,0.07,
601599,鹿港文化,8.9,-0.57,21.107,0.08,
002310,东方园林,15.33,-1.59,21.107,0.087,
601058,赛轮轮胎,22.94,1.93,21.099,0.052,
600794,保税科技,11.92,1.33,21.065,0.073,
002649,博彦科技,4.17,2.04,21.057,0.056,
000524,岭南控股,2.72,10.05,21.055,0.05,
000548,湖南投资,4.99,0.83,21.033,0.062,
002741,光华科技,3.21,1.51,21.033,0.065,
002420,毅昌股份,3.92,0.0,20.988,0.089,
600237,铜峰电子,5.64,0.26,20.982,0.069,
002896,中大力德,0.34,-1.49,20.95,0.086,
002666,德联集团,4.43,2.12,20.895,0.08,
601555,东吴证券,28.91,2.57,20.875,0.045,
002712,思美传媒,3.08,0.96,20.843,0.083,
600371,万向德农,2.25,-0.43,20.832,0.06,
002291,星期六,3.97,0.58,20.707,0.077,
000590,启迪古汉,2.23,2.02,20.703,0.058,
600113,浙江东日,3.19,0.13,20.697,0.07,
002721,金一文化,5.45,10.06,20.692,0.059,
600575,皖江物流,31.25,1.62,20.684,0.067,
600287,江苏舜天,4.37,1.76,20.648,0.06,
300202,聚龙股份,4.07,-0.38,20.642,0.064,
300210,森远股份,4.0,2.93,20.619,0.057,
002605,姚记扑克,2.67,0.0,20.585,0.06,
002881,美格智能,0.45,-1.14,20.579,0.096,
600510,黑牡丹,7.96,0.76,20.577,0.053,
002479,富春环保,7.95,1.73,20.56,0.054,
600843,上工申贝,3.05,10.05,20.519,0.051,
002029,七 匹 狼,7.56,8.81,20.49,0.051,
002681,奋达科技,11.05,-0.23,20.486,0.063,
600742,一汽富维,5.08,9.43,20.43,0.061,
002171,楚江新材,10.28,4.57,20.421,0.061,
300076,GQY视讯,3.82,2.17,20.421,0.05,
000526,紫光学大,0.96,0.13,20.414,0.057,
002211,宏达新材,4.32,1.51,20.374,0.053,
000925,众合科技,4.57,2.42,20.35,0.055,
002698,博实股份,5.44,0.3,20.346,0.064,
002426,胜利精密,21.58,2.72,20.338,0.059,
300070,碧水源,20.16,-1.87,20.318,0.08,
002779,中坚科技,0.4,10.0,20.272,0.046,
601113,华鼎股份,8.33,3.51,20.24,0.067,
600570,恒生电子,6.18,2.55,20.208,0.074,
000632,三木集团,4.65,-1.34,20.205,0.088,
002534,杭锅股份,7.27,1.85,20.177,0.07,
600894,广日股份,8.6,3.95,20.147,0.054,
300156,神雾环保,7.22,-2.25,20.143,0.08,
600069,银鸽投资,16.24,-0.88,20.139,0.082,
000961,中南建设,37.0,0.93,20.107,0.05,
002178,延华智能,7.1,-0.44,20.106,0.07,
600012,皖通高速,11.66,5.42,20.038,0.052,
600868,梅雁吉祥,18.98,2.97,20.028,0.068,
002552,*ST宝鼎,2.0,-0.81,19.953,0.071,
002729,好利来,0.67,-1.06,19.932,0.071,
002809,红墙股份,0.61,3.16,19.911,0.05,
000695,滨海能源,2.22,3.84,19.909,0.053,
002331,皖通科技,2.95,2.45,19.909,0.05,
300058,蓝色光标,16.62,3.39,19.902,0.052,
000681,视觉中国,3.1,0.97,19.898,0.059,
002334,英威腾,5.78,0.4,19.896,0.067,
002543,万和电气,4.85,10.03,19.876,0.053,
002337,赛象科技,5.88,0.57,19.856,0.074,
600747,ST大控,10.64,0.0,19.833,0.06,
600622,光大嘉宝,8.69,5.11,19.806,0.057,
600171,上海贝岭,6.74,4.05,19.805,0.049,
300257,开山股份,8.18,1.34,19.799,0.053,
601200,上海环境,6.72,-1.2,19.799,0.058,
000887,中鼎股份,12.19,1.9,19.789,0.053,
600382,广东明珠,3.42,0.67,19.785,0.053,
600721,百花村,3.05,1.91,19.759,0.06,
000712,锦龙股份,8.95,2.28,19.743,0.051,
002492,恒基达鑫,3.98,10.07,19.74,0.062,
300071,华谊嘉信,4.17,-3.04,19.687,0.075,
300001,特锐德,8.68,0.0,19.633,0.065,
600099,林海股份,2.19,2.4,19.631,0.056,
300211,亿通科技,1.86,0.96,19.624,0.063,
600556,ST慧球,3.95,4.42,19.623,0.047,
600135,乐凯胶片,3.73,2.52,19.621,0.055,
600599,熊猫金控,1.66,0.67,19.608,0.071,
600266,北京城建,15.67,4.24,19.605,0.048,
000839,中信国安,39.19,-0.27,19.591,0.064,
601369,陕鼓动力,16.39,1.09,19.556,0.054,
600896,*ST海投,5.77,2.39,19.542,0.05,
002270,华明装备,4.31,1.38,19.539,0.059,
000686,东北证券,23.4,5.86,19.52,0.047,
002902,铭普光磁,0.71,-1.01,19.508,0.032,
000915,山大华特,2.33,-0.25,19.504,0.054,
600271,航天信息,18.47,1.81,19.501,0.053,
002200,云投生态,1.32,-1.62,19.496,0.071,
600648,外高桥,9.35,7.12,19.493,0.053,
300130,新国都,3.35,-0.45,19.472,0.052,
600029,南方航空,70.23,-0.28,19.461,0.057,
002740,爱迪尔,1.64,2.48,19.441,0.055,
600512,腾达建设,15.37,-1.9,19.441,0.067,
300093,金刚玻璃,2.16,-0.86,19.423,0.064,
601108,财通证券,24.07,6.53,19.414,0.049,
000910,大亚圣象,5.4,3.72,19.407,0.04,
002522,浙江众成,8.48,4.38,19.371,0.055,
000564,供销大集,18.89,0.0,19.371,0.064,
300226,上海钢联,1.52,-0.67,19.324,0.04,
600336,澳柯玛,7.32,2.96,19.313,0.064,
600467,好当家,14.61,0.0,19.307,0.065,
300213,佳讯飞鸿,3.86,2.46,19.301,0.052,
600491,龙元建设,9.48,-1.36,19.3,0.061,
600284,浦东建设,9.7,6.67,19.248,0.049,
600095,哈高科,3.61,-0.89,19.227,0.07,
300054,鼎龙股份,6.87,0.29,19.225,0.057,
002765,蓝黛传动,2.55,4.44,19.205,0.051,
300142,沃森生物,13.77,1.25,19.199,0.06,
600506,香梨股份,1.48,0.19,19.198,0.059,
000078,海王生物,18.57,1.46,19.193,0.06,
300175,朗源股份,4.62,-0.71,19.14,0.065,
300095,华伍股份,2.4,2.43,19.121,0.056,
002529,海源复材,2.0,1.89,19.107,0.066,
300270,中威电子,1.51,-0.53,19.074,0.068,
600884,杉杉股份,8.22,1.9,19.071,0.058,
000790,泰合健康,5.6,2.28,19.04,0.06,
300241,瑞丰光电,3.82,2.13,19.022,0.05,
002351,漫步者,2.99,4.68,19.012,0.053,
601611,中国核建,9.62,0.4,18.998,0.049,
300225,金力泰,4.69,0.36,18.982,0.067,
600668,尖峰集团,3.44,1.36,18.936,0.046,
002684,猛狮科技,3.9,-0.56,18.936,0.067,
000797,中国武夷,12.99,0.64,18.932,0.071,
000816,*ST慧业,13.36,2.61,18.927,0.065,
