,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
20,600812.SH,600812,华北制药,化学制药,True,18.83,0.0,1.0,307.08,"大成基金-农业银行-大成中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
嘉实基金-农业银行-嘉实中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
中央汇金资产管理有限责任公司",12.0
21,603987.SH,603987,康德莱,医疗保健,True,19.28,3.0,2.0,84.14,"平安资管-邮储银行-如意10号资产管理产品
中国建设银行股份有限公司-国泰研究精选两年持有期混合型证券投资基金
中国建设银行股份有限公司-国泰大健康股票型证券投资基金
全国社保基金五零二组合
基本养老保险基金一六零四一组合",5.0
22,300453.SZ,300453,三鑫医疗,医疗保健,True,20.15,3.0,2.0,34.95,"中国工商银行股份有限公司-融通医疗保健行业混合型证券投资基金
中航信托股份有限公司-中航信托·天顺【2019】113号江西国资支持民营企业专项单一资金信托",2.0
23,000411.SZ,000411,英特集团,医药商业,True,24.07,1.0,2.0,49.9,"全国社保基金六零四组合
基本养老保险基金九零三组合",2.0
24,601607.SH,601607,上海医药,医药商业,True,24.13,2.0,1.0,464.0,"全国社保基金六零四组合
全国社保基金四一二组合
香港中央结算有限公司(陆股通)
银华基金-农业银行-银华中证金融资产管理计划
中央汇金资产管理有限责任公司",5.0
25,300452.SZ,300452,山河药辅,化学制药,True,27.23,1.0,1.0,38.76,"中国工商银行股份有限公司-诺安灵活配置混合型证券投资基金
中国银行股份有限公司-国投瑞银医疗保健行业灵活配置混合型证券投资基金",2.0
26,002399.SZ,002399,海普瑞,化学制药,True,27.9,0.0,1.0,347.97,"中国建设银行股份有限公司-华夏医疗健康混合型发起式证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-睿远成长价值混合型证券投资基金
中国工商银行股份有限公司-华夏乐享健康灵活配置混合型证券投资基金",4.0
27,002675.SZ,002675,东诚药业,化学制药,True,28.36,0.0,1.0,187.75,"交通银行股份有限公司-国泰金鹰增长灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金六零二组合",3.0
28,600085.SH,600085,同仁堂,中成药,True,29.18,1.0,1.0,400.2,"全国社保基金一零三组合
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",3.0
29,300238.SZ,300238,冠昊生物,医疗保健,True,30.73,3.0,1.0,79.11,"广东智硕资产管理有限公司-智硕莲花1号私募证券投资基金
云南国际信托有限公司-云信-弘瑞29号集合资金信托计划
浙商金汇信托股份有限公司-浙金·冠昊生物1号员工持股集合资金信托计划
华融国际信托有限责任公司-华融·汇盈32号证券投资单一资金信托",4.0
30,002019.SZ,002019,亿帆医药,化学制药,True,32.55,1.0,1.0,268.44,"深圳国调招商并购股权投资基金合伙企业(有限合伙)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
江苏一带一路投资基金(有限合伙)
香港中央结算有限公司(陆股通)
金元顺安基金-宁波银行-华润深国投信托-华润信托·韶夏增利32号单一资金信托",5.0
31,002287.SZ,002287,奇正藏药,中成药,True,38.21,2.0,2.0,201.71,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中央汇金资产管理有限责任公司",2.0
32,300436.SZ,300436,广生堂,化学制药,True,38.35,0.0,1.0,43.1,"奥华集团-华福证券-19奥华E1担保及信托财产专户
奥华集团-华福证券-19奥华E2担保及信托财产专户",2.0
33,603579.SH,603579,荣泰健康,医疗保健,True,40.71,1.0,2.0,56.99,香港中央结算有限公司(陆股通),1.0
34,002030.SZ,002030,达安基因,生物制药,True,44.0,3.0,1.0,376.81,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",3.0
35,605199.SH,605199,葫芦娃,中成药,True,45.64,0.0,5.0,18.3,,0.0
36,603718.SH,603718,海利生物,生物制药,True,47.55,3.0,1.0,306.22,,0.0
37,603707.SH,603707,健友股份,化学制药,True,54.57,0.0,1.0,508.96,"中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金
招商银行股份有限公司-兴全合润分级混合型证券投资基金
全国社保基金六零二组合
全国社保基金一零九组合
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
平安基金-中国平安人寿保险股份有限公司-分红-个险分红-平安人寿-平安基金权益委托投资2号单一资产管理计划
兴业全球基金-兴业银行-兴全-股票红利特定多客户资产管理计划",8.0
38,300723.SZ,300723,一品红,化学制药,True,59.33,1.0,2.0,26.33,"广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金
招商银行股份有限公司-国泰聚优价值灵活配置混合型证券投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金",4.0
39,002007.SZ,002007,华兰生物,生物制药,True,65.6,3.0,1.0,1027.93,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中国银行股份有限公司-易方达蓝筹精选混合型证券投资基金
中央汇金资产管理有限责任公司
交通银行-易方达50指数证券投资基金",5.0
40,688189.SH,688189,南新制药,化学制药,True,67.07,1.0,2.0,21.5,,0.0
41,600196.SH,600196,复星医药,化学制药,True,75.6,0.0,2.0,1520.28,"基本养老保险基金八零二组合
香港中央结算有限公司(陆股通)
全国社保基金一一零组合
全国社保基金一一三组合
中央汇金资产管理有限责任公司",5.0
42,300813.SZ,300813,泰林生物,医疗保健,True,79.67,3.0,1.0,10.36,,0.0
43,688139.SH,688139,海尔生物,医疗保健,True,80.0,3.0,1.0,60.88,"全国社保基金一一八组合
寻常(上海)投资管理有限公司-琚玖1号私募证券投资基金
中国工商银行股份有限公司-中海医疗保健主题股票型证券投资基金
寻常(上海)投资管理有限公司-汇玖3号私募证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
上海浦东发展银行股份有限公司-中海医药健康产业精选灵活配置混合型证券投资基金",6.0
44,300142.SZ,300142,沃森生物,生物制药,True,82.8,1.0,2.0,1204.32,"珠海横琴长乐汇资本管理有限公司-智汇3号私募证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金四零一组合",3.0
45,603976.SH,603976,正川股份,医疗保健,True,83.87,3.0,2.0,32.12,,0.0
46,603301.SH,603301,振德医疗,医疗保健,True,85.35,3.0,1.0,67.57,,0.0
47,002932.SZ,002932,明德生物,医疗保健,True,94.6,3.0,1.0,28.4,"武汉光谷生物城华岭基金合伙企业(有限合伙)
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
科华(宜都)科技创业投资基金(有限合伙)",3.0
48,600211.SH,600211,西藏药业,中成药,True,145.8,3.0,2.0,361.49,,0.0
49,688338.SH,688338,N赛科,生物制药,True,170.18,0.0,1.0,31.85,,0.0
50,688366.SH,688366,昊海生科,生物制药,True,181.51,1.0,2.0,27.86,"中国银行股份有限公司-博时医疗保健行业混合型证券投资基金
中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金
中国建设银行股份有限公司-交银施罗德蓝筹混合型证券投资基金",3.0
51,688580.SH,688580,伟思医疗,医疗保健,True,223.0,1.0,1.0,34.96,,0.0
52,688029.SH,688029,南微医学,医疗保健,True,255.0,3.0,1.0,109.27,"交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金
中国建设银行股份有限公司-大成科创主题3年封闭运作灵活配置混合型证券投资基金
基本养老保险基金一二零一组合
北京磐沣投资管理合伙企业(有限合伙)-磐沣价值私募证券投资基金
中信银行股份有限公司-农银汇理创新医疗混合型证券投资基金
中国银行股份有限公司-易方达全球医药行业混合型发起式证券投资基金
中国工商银行-易方达价值成长混合型证券投资基金
中国建设银行股份有限公司-农银汇理医疗保健主题股票型证券投资基金
中国银行股份有限公司-易方达医疗保健行业混合型证券投资基金",10.0
53,603392.SH,603392,万泰生物,医疗保健,True,255.0,3.0,1.0,111.18,,0.0
54,688050.SH,688050,爱博医疗,医疗保健,True,270.2,3.0,1.0,58.09,,0.0
55,300841.SZ,300841,康华生物,生物制药,True,807.3,3.0,1.0,121.09,,0.0
