,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,last_p_change,circ_mv
3178,603063.SH,禾望电气,电气设备,3.0,-1.846,-5.499,9.858,236152.5
833,002372.SZ,伟星新材,其他建材,2.0,-2.719,-5.459,2.457,1954166.9556
467,002005.SZ,德豪润达,家用电器,2.0,-2.716,-5.396,5.703,447278.4256
883,002422.SZ,科伦药业,化学制药,4.0,-1.351,-5.353,3.683,2434504.7911
478,002016.SZ,世荣兆业,区域地产,3.0,-1.78,-5.315,3.235,745227.5107
11,000014.SZ,沙河股份,全国地产,3.0,-1.739,-5.198,3.439,224497.8731
1962,300582.SZ,英飞特,半导体,3.0,-1.707,-5.091,3.768,193997.4449
494,002032.SZ,苏泊尔,家用电器,6.0,-0.853,-5.058,10.0,3205111.8516
1332,002886.SZ,沃特股份,塑料,2.0,-2.538,-5.052,3.475,94554.7788
1149,002689.SZ,远大智能,运输设备,1.0,-4.981,-4.981,4.839,541226.6647
164,000584.SZ,哈工智能,化纤,3.0,-1.665,-4.957,3.781,486600.9937
3301,603332.SH,苏州龙杰,化纤,3.0,-1.666,-4.953,4.105,117631.66
1460,300073.SZ,当升科技,矿物制品,6.0,-0.824,-4.95,8.325,1118791.1275
1699,300313.SZ,天山生物,农业综合,2.0,-2.472,-4.944,4.698,113663.9188
2470,600399.SH,*ST抚钢,特种钢,1.0,-4.932,-4.931,0.288,686290.8
126,000533.SZ,万家乐,电气设备,2.0,-2.464,-4.927,5.183,236291.328
1491,300104.SZ,乐视网,互联网,2.0,-2.464,-4.878,6.227,891235.3712
2635,600612.SH,老凤祥,服饰,6.0,-0.801,-4.787,1.636,1359131.8742
3237,603185.SH,上机数控,机床制造,3.0,-1.595,-4.728,4.093,177061.5
392,000912.SZ,*ST天化,农药化肥,2.0,-2.345,-4.69,2.756,818496.0
3356,603517.SH,绝味食品,食品,3.0,-1.576,-4.666,2.737,639094.1696
1743,300357.SZ,我武生物,生物制药,3.0,-1.576,-4.662,3.062,1017224.5593
3452,603711.SH,香飘飘,软饮料,4.0,-1.173,-4.635,2.743,98845.7176
2697,600684.SH,珠江实业,全国地产,2.0,-2.306,-4.633,4.453,440385.7331
3350,603505.SH,金石资源,矿物制品,2.0,-2.304,-4.628,4.648,171524.942
2293,600192.SH,长城电工,电气设备,2.0,-2.308,-4.572,7.11,306131.364
1039,002579.SZ,中京电子,元器件,3.0,-1.493,-4.557,6.244,401374.1712
2847,600847.SH,万里股份,电气设备,4.0,-1.154,-4.556,3.155,195441.435
1062,002602.SZ,世纪华通,汽车配件,1.0,-4.554,-4.554,0.14,3511416.883
808,002347.SZ,泰尔股份,机械基件,3.0,-1.508,-4.545,4.048,139449.2717
3296,603326.SH,我乐家居,家居用品,4.0,-1.138,-4.499,2.667,74343.192
3504,603828.SH,柯利达,装修装饰,5.0,-0.899,-4.462,7.186,370684.9514
3435,603683.SH,晶华新材,化工原料,3.0,-1.48,-4.457,3.381,67994.63
96,000429.SZ,粤高速A,路桥,3.0,-1.499,-4.442,2.268,422907.2307
1513,300126.SZ,锐奇股份,轻工机械,3.0,-1.479,-4.44,3.717,117558.6192
3540,603900.SH,莱绅通灵,服饰,3.0,-1.483,-4.389,7.049,111164.7088
468,002006.SZ,精功科技,专用机械,3.0,-1.455,-4.363,4.561,271275.36
36,000045.SZ,深纺织A,纺织,3.0,-1.436,-4.354,5.008,316255.4865
1560,300173.SZ,智慧松德,轻工机械,3.0,-1.439,-4.348,6.061,216925.1157
2286,600185.SH,格力地产,区域地产,3.0,-1.463,-4.348,3.247,982678.2636
325,000810.SZ,创维数字,家用电器,4.0,-1.078,-4.33,5.092,721035.1063
2368,600280.SH,中央商场,百货,4.0,-1.083,-4.318,6.888,516750.6924
1060,002600.SZ,领益智造,元器件,3.0,-1.408,-4.289,9.906,693357.2163
1850,300466.SZ,赛摩电气,电器仪表,3.0,-1.422,-4.272,4.959,186408.2854
1841,300457.SZ,赢合科技,专用机械,6.0,-0.702,-4.255,10.018,573040.8868
2153,600027.SH,华电国际,火力发电,4.0,-1.068,-4.232,4.419,3141088.6308
1282,002832.SZ,比音勒芬,服饰,3.0,-1.413,-4.209,2.708,293636.6811
3144,603015.SH,弘讯科技,电气设备,3.0,-1.392,-4.196,6.277,292583.928
1369,002927.SZ,泰永长征,电气设备,2.0,-2.11,-4.191,5.089,188858.176
1680,300294.SZ,博雅生物,生物制药,3.0,-1.41,-4.171,4.671,1186386.3606
113,000518.SZ,四环生物,生物制药,3.0,-1.378,-4.138,3.597,444759.4194
2940,600997.SH,开滦股份,煤炭开采,4.0,-1.018,-4.037,8.414,827208.8
1075,002615.SZ,哈尔斯,家居用品,4.0,-1.014,-4.027,3.147,135576.1313
1183,002726.SZ,龙大肉食,食品,4.0,-1.0,-4.014,2.509,643649.715
1383,002942.SZ,新农股份,农药化肥,2.0,-1.992,-3.992,4.525,102570.0
3496,603816.SH,顾家家居,家居用品,4.0,-1.001,-3.984,4.844,470537.1
972,002511.SZ,中顺洁柔,造纸,3.0,-1.338,-3.975,3.881,1009760.8742
2445,600371.SH,万向德农,种植业,2.0,-1.977,-3.932,3.411,170595.48
636,002174.SZ,游族网络,互联网,3.0,-1.308,-3.914,4.02,1229931.077
678,002216.SZ,三全食品,食品,3.0,-1.291,-3.836,2.201,425568.1494
3310,603351.SH,威尔药业,化学制药,3.0,-1.288,-3.833,3.023,103383.5401
718,002256.SZ,兆新股份,染料涂料,2.0,-1.898,-3.824,5.81,431468.6851
1227,002773.SZ,康弘药业,中成药,2.0,-1.925,-3.815,2.482,1908562.3525
38,000048.SZ,*ST康达,饲料,2.0,-1.924,-3.812,1.132,757295.8047
793,002332.SZ,仙琚制药,生物制药,4.0,-0.949,-3.796,4.704,623748.7468
1442,300054.SZ,鼎龙股份,化工原料,3.0,-1.246,-3.726,6.617,584281.186
493,002031.SZ,巨轮智能,汽车配件,3.0,-1.193,-3.704,4.701,463200.8766
2873,600875.SH,东方电气,电气设备,4.0,-0.926,-3.696,4.584,1958959.261
2121,300749.SZ,顶固集创,家居用品,3.0,-1.215,-3.689,6.099,106590.0
903,002442.SZ,龙星化工,化工原料,4.0,-0.923,-3.68,4.348,379805.382
911,002450.SZ,ST康得新,化工原料,2.0,-1.805,-3.676,2.863,1743000.0368
1432,300044.SZ,赛为智能,软件服务,3.0,-1.203,-3.648,5.091,427642.9635
2267,600163.SH,中闽能源,新型电力,3.0,-1.223,-3.636,4.582,387792.5092
916,002455.SZ,百川股份,化工原料,3.0,-1.219,-3.627,5.556,205415.0063
60,000100.SZ,TCL集团,家用电器,4.0,-0.909,-3.625,8.15,4411784.1166
2120,300748.SZ,金力永磁,元器件,2.0,-1.798,-3.602,7.149,109740.8
973,002512.SZ,达华智能,元器件,3.0,-1.184,-3.586,9.917,469891.6621
1190,002733.SZ,雄韬股份,电气设备,2.0,-1.7,-3.57,6.607,744467.128
3343,603477.SH,振静股份,纺织,2.0,-1.79,-3.559,3.333,98518.0
1354,002910.SZ,庄园牧场,乳制品,2.0,-1.787,-3.552,3.846,94055.6151
3559,603938.SH,三孚股份,化工原料,4.0,-0.896,-3.552,6.26,102588.932
2638,600615.SH,丰华股份,小金属,4.0,-0.895,-3.538,3.571,201321.0971
1367,002925.SZ,盈趣科技,元器件,1.0,-3.527,-3.527,2.785,1001787.719
2063,300686.SZ,智动力,元器件,3.0,-1.174,-3.525,3.922,102692.2342
509,002047.SZ,宝鹰股份,装修装饰,4.0,-0.881,-3.501,1.016,879091.9246
2883,600886.SH,国投电力,水力发电,7.0,-0.503,-3.501,2.177,5734189.7282
570,002108.SZ,沧州明珠,塑料,3.0,-1.173,-3.498,5.117,699036.6301
1077,002617.SZ,露笑科技,电气设备,3.0,-1.149,-3.497,5.797,458417.1799
1381,002940.SZ,昂利康,化学制药,4.0,-0.877,-3.486,5.011,92880.0
161,000576.SZ,广东甘化,造纸,3.0,-1.159,-3.457,4.546,330610.0677
872,002411.SZ,延安必康,化学制药,3.0,-1.162,-3.453,4.534,2481986.5077
3338,603429.SH,集友股份,广告包装,2.0,-1.731,-3.438,5.16,256537.82
1313,002866.SZ,传艺科技,电脑设备,4.0,-0.862,-3.434,4.549,101910.493
3344,603486.SH,科沃斯,家用电器,4.0,-0.827,-3.403,4.842,232700.3
1335,002889.SZ,东方嘉盛,仓储物流,3.0,-1.125,-3.394,4.027,98027.0829
1126,002666.SZ,德联集团,化工原料,7.0,-0.468,-3.39,4.605,211181.3151
2509,600466.SH,蓝光发展,区域地产,7.0,-0.472,-3.39,5.263,1790464.821
968,002507.SZ,涪陵榨菜,食品,4.0,-0.845,-3.376,3.37,1961127.4125
2127,300756.SZ,中山金马,专用机械,3.0,-1.126,-3.361,3.333,93000.0
1041,002581.SZ,未名医药,生物制药,3.0,-1.118,-3.348,5.572,280953.6049
2749,600738.SH,兰州民百,百货,4.0,-0.843,-3.345,2.101,347959.3996
1378,002937.SZ,兴瑞科技,元器件,3.0,-1.113,-3.318,5.419,134228.0
2844,600844.SH,丹化科技,化工原料,3.0,-1.104,-3.315,3.714,298651.2201
1879,300495.SZ,美尚生态,环境保护,3.0,-1.109,-3.296,4.57,417875.0229
1633,300247.SZ,融捷健康,医疗保健,1.0,-3.261,-3.261,5.899,230802.5272
2414,600332.SH,白云山,中成药,3.0,-1.097,-3.26,3.738,3923729.5928
1346,002901.SZ,大博医疗,医疗保健,4.0,-0.801,-3.198,3.708,133440.1536
3023,601333.SH,广深铁路,铁路,3.0,-1.056,-3.191,3.022,2119588.875
3527,603882.SH,金域医学,医疗保健,2.0,-1.608,-3.191,3.912,661067.466
1445,300057.SZ,万顺股份,广告包装,1.0,-3.165,-3.165,4.052,289409.4659
1348,002903.SZ,宇环数控,机床制造,4.0,-0.788,-3.156,4.832,123156.0
2170,600055.SH,万东医疗,医疗保健,3.0,-1.056,-3.155,3.077,615989.6507
3321,603368.SH,柳药股份,医药商业,4.0,-0.776,-3.136,4.245,750794.832
766,002305.SZ,南国置业,区域地产,2.0,-1.552,-3.115,4.18,525949.9556
2384,600299.SH,安迪苏,化学制药,3.0,-1.042,-3.114,3.214,2928636.1901
317,000799.SZ,酒鬼酒,白酒,4.0,-0.779,-3.107,4.312,613140.9853
1316,002869.SZ,金溢科技,通信设备,3.0,-1.03,-3.102,4.059,82726.786
953,002492.SZ,恒基达鑫,仓储物流,3.0,-1.024,-3.089,3.691,246045.4166
1975,300596.SZ,利安隆,化工原料,4.0,-0.768,-3.081,3.455,366703.5332
3363,603535.SH,嘉诚国际,仓储物流,3.0,-1.018,-3.055,3.502,136719.52
1337,002891.SZ,中宠股份,饲料,4.0,-0.752,-3.049,2.25,203146.7784
890,002429.SZ,兆驰股份,家用电器,2.0,-1.514,-3.042,10.196,1116393.7903
2210,600098.SH,广州发展,火力发电,3.0,-1.011,-3.04,4.29,1722956.2247
2469,600398.SH,海澜之家,服饰,4.0,-0.764,-3.04,4.0,4322033.1229
2888,600891.SH,秋林集团,百货,3.0,-0.998,-3.03,2.39,213918.6634
3382,603587.SH,地素时尚,服饰,4.0,-0.758,-3.014,5.136,148596.0
667,002205.SZ,国统股份,其他建材,4.0,-0.75,-3.004,3.235,174228.027
3358,603519.SH,立霸股份,家用电器,3.0,-1.005,-3.003,3.784,200855.5787
1758,300374.SZ,恒通科技,其他建材,4.0,-0.749,-2.982,6.25,170674.616
269,000723.SZ,美锦能源,焦炭加工,2.0,-1.485,-2.976,7.362,567651.7597
650,002188.SZ,*ST巴士,广告包装,3.0,-0.994,-2.973,2.507,81146.2923
2921,600975.SH,新五丰,农业综合,1.0,-2.973,-2.973,2.368,479716.5542
2624,600600.SH,青岛啤酒,啤酒,4.0,-0.74,-2.944,3.139,2721022.2425
2855,600857.SH,宁波中百,百货,3.0,-0.976,-2.938,4.148,208393.2048
170,000591.SZ,太阳能,新型电力,3.0,-0.97,-2.925,7.123,796505.6812
2389,600305.SH,恒顺醋业,食品,4.0,-0.734,-2.919,1.375,924600.092
415,000939.SZ,*ST凯迪,新型电力,2.0,-1.456,-2.913,4.0,315931.9359
2314,600217.SH,中再资环,环境保护,2.0,-1.436,-2.904,4.914,647585.191
522,002060.SZ,粤水电,建筑施工,2.0,-1.421,-2.89,2.976,415795.7622
118,000524.SZ,岭南控股,酒店餐饮,3.0,-0.953,-2.887,3.243,208090.6174
714,002252.SZ,上海莱士,生物制药,2.0,-1.453,-2.886,4.457,4544946.4365
1137,002677.SZ,浙江美大,家用电器,2.0,-1.45,-2.881,5.323,345140.9451
3369,603558.SH,健盛集团,纺织,3.0,-0.965,-2.878,0.669,326688.7137
2500,600452.SH,涪陵电力,水力发电,1.0,-2.871,-2.871,6.65,484960.0
9,000011.SZ,深物业A,区域地产,3.0,-0.95,-2.868,3.248,184479.8947
1121,002661.SZ,克明面业,食品,4.0,-0.719,-2.866,3.101,446184.9222
322,000806.SZ,银河生物,生物制药,1.0,-2.857,-2.857,3.676,295443.6313
1224,002770.SZ,科迪乳业,乳制品,1.0,-2.857,-2.857,3.529,205255.6957
1950,300569.SZ,天能重工,专用机械,3.0,-0.945,-2.809,3.931,152098.6635
1957,300577.SZ,开润股份,纺织,3.0,-0.941,-2.803,3.776,223868.5454
438,000973.SZ,佛塑科技,塑料,2.0,-1.394,-2.802,4.213,454677.985
120,000526.SZ,紫光学大,文教休闲,1.0,-2.798,-2.798,3.149,220575.3804
1212,002757.SZ,南兴装备,家居用品,4.0,-0.701,-2.791,2.358,293900.0239
3432,603678.SH,火炬电子,元器件,3.0,-0.899,-2.742,9.096,925772.0735
1750,300365.SZ,恒华科技,软件服务,3.0,-0.915,-2.735,6.748,497915.0163
1827,300443.SZ,金雷股份,专用机械,2.0,-1.362,-2.705,3.731,226101.7775
3009,601228.SH,广州港,港口,2.0,-1.334,-2.68,2.966,701385.48
1250,002798.SZ,帝欧家居,家居用品,3.0,-0.889,-2.673,3.933,261989.8096
711,002249.SZ,大洋电机,电气设备,2.0,-1.33,-2.667,3.881,1043597.1746
2941,600998.SH,九州通,医药商业,4.0,-0.668,-2.661,2.6,2554801.0414
3441,603693.SH,江苏新能,新型电力,2.0,-1.311,-2.628,4.477,187266.0
2134,600004.SH,白云机场,机场,3.0,-0.86,-2.607,5.028,2679770.0656
1042,002582.SZ,好想你,食品,4.0,-0.65,-2.606,3.01,241500.5762
2248,600139.SH,西部资源,汽车整车,2.0,-1.287,-2.591,6.383,264756.2032
1208,002752.SZ,昇兴股份,广告包装,4.0,-0.647,-2.589,3.077,125466.5226
760,002299.SZ,圣农发展,农业综合,1.0,-2.589,-2.589,1.309,2837238.6
1671,300285.SZ,国瓷材料,陶瓷,3.0,-0.865,-2.588,5.709,764255.4088
2574,600545.SH,卓郎智能,纺织机械,4.0,-0.648,-2.587,2.656,522382.4064
2805,600800.SH,天津磁卡,综合类,1.0,-2.576,-2.577,2.975,380625.6173
3268,603268.SH,松发股份,陶瓷,3.0,-0.857,-2.56,3.13,229091.436
3235,603181.SH,皇马科技,化工原料,3.0,-0.856,-2.553,3.957,192456.0
1861,300477.SZ,合纵科技,电气设备,4.0,-0.631,-2.542,5.109,306546.1925
3052,601607.SH,上海医药,医药商业,4.0,-0.635,-2.532,3.84,3536277.4981
91,000422.SZ,*ST宜化,农药化肥,4.0,-0.623,-2.521,2.299,319621.4223
174,000596.SZ,古井贡酒,白酒,3.0,-0.831,-2.508,3.713,3000135.6
782,002321.SZ,华英农业,农业综合,1.0,-2.479,-2.479,1.554,381824.7084
3371,603566.SH,普莱柯,生物制药,3.0,-0.804,-2.459,3.896,437234.56
1927,300545.SZ,联得装备,专用机械,1.0,-2.456,-2.456,5.856,173377.607
2031,300654.SZ,世纪天鸿,出版业,2.0,-1.233,-2.455,10.016,130262.1975
957,002496.SZ,辉丰股份,农药化肥,2.0,-1.228,-2.448,2.509,276304.1032
2866,600868.SH,梅雁吉祥,水力发电,3.0,-0.816,-2.447,4.075,630185.3614
675,002213.SZ,特尔佳,汽车配件,3.0,-0.806,-2.432,3.888,205180.4274
1493,300106.SZ,西部牧业,农业综合,2.0,-1.211,-2.431,3.322,131345.8541
1252,002800.SZ,天顺股份,仓储物流,4.0,-0.606,-2.424,4.913,65105.9922
1821,300437.SZ,清水源,化工原料,4.0,-0.592,-2.422,4.255,194957.9636
663,002201.SZ,九鼎新材,玻璃,1.0,-2.419,-2.419,3.719,172714.5641
710,002248.SZ,华东数控,机床制造,3.0,-0.809,-2.411,3.008,284459.1343
473,002011.SZ,盾安环境,工程机械,3.0,-0.784,-2.407,5.313,466807.7028
3506,603833.SH,欧派家居,家居用品,3.0,-0.801,-2.404,8.034,909107.3714
581,002119.SZ,康强电子,半导体,3.0,-0.799,-2.402,4.615,288348.9
3339,603444.SH,吉比特,互联网,3.0,-0.783,-2.401,5.342,660507.5867
1228,002774.SZ,快意电梯,运输设备,4.0,-0.593,-2.39,3.775,85106.0178
2305,600207.SH,安彩高科,元器件,5.0,-0.47,-2.39,4.082,351900.0
1,000002.SZ,万科A,全国地产,2.0,-1.193,-2.389,5.265,27581367.7521
465,002003.SZ,伟星股份,服饰,3.0,-0.798,-2.387,3.533,479887.3156
76,000403.SZ,振兴生化,生物制药,3.0,-0.8,-2.386,3.705,720258.7499
2586,600559.SH,老白干酒,白酒,4.0,-0.596,-2.381,4.53,919926.363
1139,002679.SZ,福建金森,林业,2.0,-1.193,-2.38,6.468,504517.84
3412,603637.SH,镇海股份,建筑施工,2.0,-1.178,-2.357,2.609,67991.2686
582,002120.SZ,韵达股份,仓储物流,2.0,-1.185,-2.357,3.091,1093922.5626
2261,600157.SH,永泰能源,煤炭开采,1.0,-2.336,-2.336,3.828,2696397.5857
2373,600285.SH,羚锐制药,中成药,3.0,-0.781,-2.334,3.145,434241.5895
3389,603599.SH,广信股份,农药化肥,2.0,-1.156,-2.319,1.048,672390.7083
3425,603665.SH,康隆达,纺织,4.0,-0.581,-2.315,4.906,94034.3142
1794,300410.SZ,正业科技,电器仪表,3.0,-0.759,-2.304,4.198,412831.3529
2140,600011.SH,华能国际,火力发电,3.0,-0.755,-2.299,2.5,7318500.0
1091,002631.SZ,德尔未来,家居用品,2.0,-1.132,-2.293,4.172,516710.8399
2083,300707.SZ,威唐工业,专用机械,2.0,-1.128,-2.292,5.0,131307.3036
215,000656.SZ,金科股份,区域地产,4.0,-0.573,-2.291,2.848,3232262.9613
1129,002669.SZ,康达新材,化工原料,2.0,-1.114,-2.288,4.372,305552.9221
106,000507.SZ,珠海港,港口,2.0,-1.134,-2.287,3.641,615398.5911
2858,600860.SH,京城股份,专用机械,2.0,-1.13,-2.277,4.272,172914.0
945,002484.SZ,江海股份,元器件,3.0,-0.745,-2.263,5.933,558989.6984
3322,603369.SH,今世缘,白酒,3.0,-0.747,-2.251,2.785,2407385.5
3251,603218.SH,日月股份,工程机械,1.0,-2.232,-2.232,6.279,203630.6944
3106,601908.SH,京运通,电气设备,3.0,-0.72,-2.228,7.848,849025.5406
3109,601928.SH,凤凰传媒,出版业,3.0,-0.737,-2.206,2.882,2089362.9
1428,300040.SZ,九洲电气,电气设备,2.0,-1.085,-2.201,5.306,153774.8845
356,000860.SZ,顺鑫农业,白酒,3.0,-0.738,-2.2,2.781,2425007.466
92,000423.SZ,东阿阿胶,中成药,3.0,-0.734,-2.188,3.593,2997327.7628
2357,600267.SH,海正药业,化学制药,3.0,-0.718,-2.181,5.351,912427.5907
1649,300263.SZ,隆华科技,专用机械,1.0,-2.178,-2.178,10.019,335191.1122
3156,603028.SH,赛福天,钢加工,3.0,-0.726,-2.174,2.963,96384.2649
22,000028.SZ,国药一致,医药商业,3.0,-0.728,-2.169,4.646,1365461.7031
285,000752.SZ,西藏发展,啤酒,1.0,-2.165,-2.165,3.043,196496.1377
1866,300482.SZ,万孚生物,生物制药,3.0,-0.717,-2.164,4.287,681530.7335
2887,600890.SH,中房股份,区域地产,3.0,-0.72,-2.16,5.195,469147.8893
3101,601890.SH,亚星锚链,船舶,2.0,-1.058,-2.138,4.854,414460.8
189,000613.SZ,大东海A,旅游服务,2.0,-1.063,-2.137,3.057,188077.0848
2010,300632.SZ,光莆股份,半导体,3.0,-0.69,-2.128,5.347,86615.7384
3154,603026.SH,石大胜华,化工原料,1.0,-2.123,-2.123,3.32,473055.12
2148,600021.SH,上海电力,火力发电,7.0,-0.301,-2.121,3.193,774541.3223
2577,600548.SH,深高速,路桥,3.0,-0.696,-2.116,2.378,1357306.9987
3005,601218.SH,吉鑫科技,机械基件,3.0,-0.695,-2.091,4.626,291577.44
735,002274.SZ,华昌化工,农药化肥,2.0,-1.026,-2.087,3.653,425851.6048
497,002035.SZ,华帝股份,家用电器,3.0,-0.697,-2.085,5.712,854898.9802
3162,603035.SH,常熟汽饰,汽车配件,3.0,-0.695,-2.085,3.864,226806.4043
1218,002763.SZ,汇洁股份,服饰,3.0,-0.692,-2.076,3.416,159546.7007
1168,002709.SZ,天赐材料,化工原料,3.0,-0.688,-2.075,9.993,1055124.1573
584,002122.SZ,*ST天马,机械基件,2.0,-1.029,-2.073,3.175,230928.8768
2637,600614.SH,鹏起科技,综合类,1.0,-2.06,-2.06,10.032,1027811.6074
2227,600116.SH,三峡水利,水力发电,4.0,-0.516,-2.056,3.704,834124.6217
4,000006.SZ,深振业A,区域地产,3.0,-0.679,-2.055,4.371,804939.8593
1115,002655.SZ,共达电声,元器件,2.0,-1.011,-2.041,3.611,268560.0
194,000620.SZ,新华联,全国地产,2.0,-1.015,-2.041,5.093,861093.0242
3200,603105.SH,芯能科技,电气设备,3.0,-0.67,-2.034,6.943,145024.0
394,000915.SZ,山大华特,化学制药,1.0,-2.028,-2.028,2.866,452392.1017
2307,600209.SH,*ST罗顿,综合类,2.0,-0.994,-2.02,1.546,172970.4006
1478,300091.SZ,金通灵,机械基件,2.0,-0.98,-2.018,5.492,486649.0765
3505,603829.SH,洛凯股份,电气设备,3.0,-0.666,-2.017,3.726,76599.2
1076,002616.SZ,长青集团,环境保护,3.0,-0.665,-2.016,5.075,351905.7957
364,000877.SZ,天山股份,水泥,4.0,-0.499,-2.014,4.958,763921.9383
218,000661.SZ,长春高新,生物制药,2.0,-1.005,-2.003,10.0,3841788.6726
1462,300075.SZ,数字政通,软件服务,3.0,-0.637,-1.993,4.598,356088.3424
503,002041.SZ,登海种业,种植业,2.0,-0.988,-1.993,4.576,539172.9422
2398,600315.SH,上海家化,日用化工,3.0,-0.664,-1.988,6.497,2079527.7322
1420,300032.SZ,金龙机电,元器件,1.0,-1.983,-1.983,3.757,283379.326
2092,300717.SZ,华信新材,塑料,3.0,-0.652,-1.963,4.072,66251.264
3586,603998.SH,方盛制药,中成药,3.0,-0.646,-1.954,3.442,242787.3271
112,000517.SZ,荣安地产,区域地产,2.0,-0.966,-1.953,5.976,807508.1211
1243,002790.SZ,瑞尔特,家居用品,3.0,-0.64,-1.949,3.976,76992.0
52,000069.SZ,华侨城A,旅游景点,2.0,-0.977,-1.946,6.107,4863290.6406
2395,600311.SH,荣华实业,黄金,1.0,-1.944,-1.944,4.249,244940.8
2558,600525.SH,长园集团,电气设备,2.0,-0.938,-1.936,10.033,873563.5767
2430,600354.SH,敦煌种业,种植业,2.0,-0.956,-1.932,4.434,223788.0819
2811,600807.SH,*ST天业,区域地产,3.0,-0.644,-1.932,1.232,323464.5887
690,002228.SZ,合兴包装,广告包装,4.0,-0.477,-1.931,3.74,614188.3229
3155,603027.SH,千禾味业,食品,1.0,-1.929,-1.929,4.481,258052.212
1652,300266.SZ,兴源环境,环境保护,3.0,-0.625,-1.928,7.303,558484.0195
3570,603970.SH,中农立华,其他商业,2.0,-0.957,-1.927,3.929,130544.1312
1561,300174.SZ,元力股份,化工原料,2.0,-0.958,-1.925,3.679,280341.5938
3454,603713.SH,密尔克卫,仓储物流,2.0,-0.949,-1.92,3.623,135211.64
1582,300196.SZ,长海股份,玻璃,3.0,-0.642,-1.919,2.678,260538.6043
3428,603668.SH,天马科技,饲料,3.0,-0.638,-1.916,2.564,156221.7107
671,002209.SZ,达意隆,轻工机械,3.0,-0.606,-1.915,6.834,117770.1354
