,ts_code,name,industry
1900,300518.SZ,盛讯达,软件服务
1902,300520.SZ,科大国创,软件服务
1905,300523.SZ,辰安科技,软件服务
2469,600406.SH,国电南瑞,软件服务
1225,002771.SZ,真视通,软件服务
3503,603859.SH,能科股份,软件服务
3157,603039.SH,泛微网络,软件服务
2723,600718.SH,东软集团,软件服务
3251,603232.SH,格尔软件,软件服务
3232,603189.SH,网达软件,软件服务
2620,600602.SH,云赛智联,软件服务
3209,603138.SH,海量数据,软件服务
145,000555.SZ,神州信息,软件服务
3538,603918.SH,金桥信息,软件服务
2843,600850.SH,华东电脑,软件服务
414,000938.SZ,紫光股份,软件服务
2733,600728.SH,佳都科技,软件服务
3031,601519.SH,大智慧,软件服务
351,000851.SZ,高鸿股份,软件服务
2760,600756.SH,浪潮软件,软件服务
219,000662.SZ,天夏智慧,软件服务
2839,600845.SH,宝信软件,软件服务
2562,600536.SH,中国软件,软件服务
2797,600797.SH,浙大网新,软件服务
3316,603383.SH,顶点软件,软件服务
416,000948.SZ,南天信息,软件服务
2495,600455.SH,博通股份,软件服务
3569,603990.SH,麦迪科技,软件服务
3343,603508.SH,思维列控,软件服务
3401,603636.SH,南威软件,软件服务
2509,600476.SH,湘邮科技,软件服务
2666,600654.SH,ST中安,软件服务
3351,603528.SH,多伦科技,软件服务
2577,600556.SH,ST慧球,软件服务
2491,600446.SH,金证股份,软件服务
2591,600571.SH,信雅达,软件服务
455,000997.SZ,新大陆,软件服务
2590,600570.SH,恒生电子,软件服务
2607,600588.SH,用友网络,软件服务
258,000711.SZ,京蓝科技,软件服务
3030,601518.SH,吉林高速,路桥
2991,601188.SH,龙江交通,路桥
461,001965.SZ,招商公路,路桥
339,000828.SZ,东莞控股,路桥
2571,600548.SH,深高速,路桥
2353,600269.SH,赣粤高速,路桥
371,000886.SZ,海南高速,路桥
2968,601107.SH,四川成渝,路桥
382,000900.SZ,现代投资,路桥
2420,600350.SH,山东高速,路桥
2153,600035.SH,楚天高速,路桥
2152,600033.SH,福建高速,路桥
2444,600377.SH,宁沪高速,路桥
2141,600020.SH,中原高速,路桥
96,000429.SZ,粤高速A,路桥
2436,600368.SH,五洲交通,路桥
139,000548.SZ,湖南投资,路桥
2135,600012.SH,皖通高速,路桥
2211,600106.SH,重庆路桥,路桥
1157,002697.SZ,红旗连锁,超市连锁
3439,603708.SH,家家悦,超市连锁
2946,601010.SH,文峰股份,超市连锁
2972,601116.SH,三江购物,超市连锁
291,000759.SZ,中百集团,超市连锁
2824,600827.SH,百联股份,超市连锁
725,002264.SZ,新华都,超市连锁
3102,601933.SH,永辉超市,超市连锁
797,002336.SZ,人人乐,超市连锁
2430,600361.SH,华联综超,超市连锁
713,002251.SZ,步步高,超市连锁
1193,002736.SZ,国信证券,证券
1249,002797.SZ,第一创业,证券
2253,600155.SH,华创阳安,证券
2638,600621.SH,华鑫股份,证券
283,000750.SZ,国海证券,证券
2936,600999.SH,招商证券,证券
2958,601066.SH,中信建投,证券
2150,600030.SH,中信证券,证券
298,000776.SZ,广发证券,证券
2214,600109.SH,国金证券,证券
2170,600061.SH,国投资本,证券
304,000783.SZ,长江证券,证券
2856,600864.SH,哈投股份,证券
2902,600958.SH,东方证券,证券
2894,600909.SH,华安证券,证券
2833,600837.SH,海通证券,证券
1130,002670.SZ,国盛金控,证券
273,000728.SZ,国元证券,证券
2996,601211.SH,国泰君安,证券
2964,601099.SH,太平洋,证券
961,002500.SZ,山西证券,证券
3086,601878.SH,浙商证券,证券
3096,601901.SH,方正证券,证券
3068,601788.SH,光大证券,证券
3059,601688.SH,华泰证券,证券
3115,601990.SH,南京证券,证券
3032,601555.SH,东吴证券,证券
1368,002926.SZ,华西证券,证券
3024,601377.SH,兴业证券,证券
3023,601375.SH,中原证券,证券
1380,002939.SZ,长城证券,证券
1385,002945.SZ,华林证券,证券
239,000686.SZ,东北证券,证券
2437,600369.SH,西南证券,证券
2983,601162.SH,天风证券,证券
1445,300059.SZ,东方财富,证券
69,000166.SZ,申万宏源,证券
2969,601108.SH,财通证券,证券
1133,002673.SZ,西部证券,证券
259,000712.SZ,锦龙股份,证券
3088,601881.SH,中国银河,证券
2992,601198.SH,东兴证券,证券
3544,603929.SH,亚翔集成,装修装饰
3156,603038.SH,华立股份,装修装饰
3149,603030.SH,全筑股份,装修装饰
3186,603098.SH,森特股份,装修装饰
1080,002620.SZ,瑞和股份,装修装饰
1502,300117.SZ,嘉寓股份,装修装饰
2043,300668.SZ,杰恩设计,装修装饰
1280,002830.SZ,名雕股份,装修装饰
509,002047.SZ,宝鹰股份,装修装饰
14,000018.SZ,神州长城,装修装饰
3090,601886.SH,江河集团,装修装饰
1272,002822.SZ,中装建设,装修装饰
543,002081.SZ,金螳螂,装修装饰
1997,300621.SZ,维业股份,装修装饰
965,002504.SZ,弘高创意,装修装饰
943,002482.SZ,广田集团,装修装饰
1235,002781.SZ,奇信股份,装修装饰
2288,600193.SH,*ST创兴,装修装饰
1171,002713.SZ,东易日盛,装修装饰
1303,002856.SZ,美芝股份,装修装饰
3493,603828.SH,柯利达,装修装饰
625,002163.SZ,中航三鑫,装修装饰
836,002375.SZ,亚厦股份,装修装饰
1262,002811.SZ,亚泰国际,装修装饰
1242,002789.SZ,建艺集团,装修装饰
786,002325.SZ,洪涛股份,装修装饰
3114,601989.SH,中国重工,船舶
1967,300589.SZ,江龙船艇,船舶
2249,600150.SH,*ST船舶,船舶
3092,601890.SH,亚星锚链,船舶
1394,300008.SZ,天海防务,船舶
1508,300123.SZ,亚光科技,船舶
2692,600685.SH,中船防务,船舶
2180,600072.SH,中船科技,船舶
281,000738.SZ,航发控制,航空
2156,600038.SH,中直股份,航空
1806,300424.SZ,航新科技,航空
383,000901.SZ,航天科技,航空
297,000768.SZ,中航飞机,航空
1959,300581.SZ,晨曦航空,航空
247,000697.SZ,炼石航空,航空
1375,002933.SZ,新兴装备,航空
2092,300719.SZ,安达维尔,航空
2884,600893.SH,航发动力,航空
2870,600879.SH,航天电子,航空
2071,300696.SZ,爱乐达,航空
721,002260.SZ,*ST德奥,航空
2764,600760.SH,中航沈飞,航空
2854,600862.SH,中航高科,航空
2457,600391.SH,航发科技,航空
2223,600118.SH,中国卫星,航空
475,002013.SZ,中航机电,航空
573,002111.SZ,威海广泰,航空
2393,600316.SH,洪都航空,航空
2440,600372.SH,中航电子,航空
2416,600343.SH,航天动力,航空
485,002023.SZ,海特高新,航空
2637,600620.SH,天宸股份,综合类
205,000633.SZ,合金投资,综合类
389,000909.SZ,数源科技,综合类
2773,600770.SH,综艺股份,综合类
2037,300662.SZ,科锐国际,综合类
2840,600846.SH,同济科技,综合类
80,000409.SZ,*ST地矿,综合类
2641,600624.SH,复旦复华,综合类
348,000839.SZ,中信国安,综合类
2271,600175.SH,美都能源,综合类
2875,600884.SH,杉杉股份,综合类
2799,600800.SH,天津磁卡,综合类
158,000571.SZ,新大洲A,综合类
2063,300688.SZ,创业黑马,综合类
204,000632.SZ,三木集团,综合类
2779,600777.SH,新潮能源,综合类
2707,600701.SH,*ST工新,综合类
2735,600730.SH,中国高科,综合类
2804,600805.SH,悦达投资,综合类
2160,600051.SH,宁波联合,综合类
27,000034.SZ,神州数码,综合类
250,000701.SZ,厦门信达,综合类
7,000009.SZ,中国宝安,综合类
2304,600212.SH,江泉实业,综合类
2659,600647.SH,同达创业,综合类
2301,600209.SH,*ST罗顿,综合类
2809,600811.SH,东方集团,综合类
