,ts_code,symbol,name,industry,COL_AGGRESSIVE_COUNT_LONG,COL_AGGRESSIVE_COUNT_SHORT,COL_CIRC_MV
91,603809.SH,603809,豪能股份,汽车配件,2.0,1.0,47.74
92,603799.SH,603799,华友钴业,小金属,2.0,1.0,1707.21
93,600141.SH,600141,兴发集团,化工原料,2.0,1.0,222.38
94,600746.SH,600746,江苏索普,化工原料,2.0,1.0,53.5
95,600161.SH,600161,天坛生物,生物制药,2.0,1.0,546.31
96,603505.SH,603505,金石资源,矿物制品,2.0,1.0,78.62
97,600251.SH,600251,冠农股份,农业综合,2.0,1.0,88.01
98,600418.SH,600418,江淮汽车,汽车整车,2.0,1.0,271.12
99,300770.SZ,300770,新媒股份,影视音像,2.0,1.0,80.36
100,000004.SZ,000004,国华网安,软件服务,2.0,1.0,23.69
101,300311.SZ,300311,任子行,软件服务,2.0,1.0,36.5
102,300500.SZ,300500,启迪设计,建筑工程,2.0,1.0,33.26
103,002813.SZ,002813,路畅科技,汽车配件,2.0,1.0,16.56
104,002724.SZ,002724,海洋王,半导体,2.0,1.0,59.21
105,002667.SZ,002667,鞍重股份,工程机械,2.0,1.0,43.09
106,002620.SZ,002620,瑞和股份,装修装饰,2.0,1.0,24.29
107,002520.SZ,002520,日发精机,机床制造,2.0,1.0,45.74
108,002460.SZ,002460,赣锋锂业,小金属,2.0,1.0,1434.25
109,002326.SZ,002326,永太科技,化工原料,2.0,1.0,169.8
110,002109.SZ,002109,兴化股份,化工原料,2.0,1.0,62.12
111,002091.SZ,002091,江苏国泰,商贸代理,2.0,1.0,189.84
112,000962.SZ,000962,东方钽业,小金属,2.0,1.0,53.96
113,000902.SZ,000902,新洋丰,农药化肥,2.0,1.0,220.06
114,000796.SZ,000796,凯撒旅业,旅游服务,2.0,1.0,71.99
115,000422.SZ,000422,湖北宜化,农药化肥,2.0,1.0,92.03
116,000301.SZ,000301,东方盛虹,化纤,2.0,1.0,424.47
117,000009.SZ,000009,中国宝安,综合类,2.0,1.0,609.79
118,002943.SZ,002943,宇晶股份,机床制造,2.0,1.0,10.88
119,300014.SZ,300014,亿纬锂能,电气设备,2.0,1.0,2359.36
120,002707.SZ,002707,众信旅游,旅游服务,2.0,1.0,37.05
121,300223.SZ,300223,北京君正,半导体,2.0,1.0,395.45
122,300339.SZ,300339,润和软件,软件服务,2.0,1.0,376.17
123,300260.SZ,300260,新莱应材,机械基件,2.0,1.0,37.21
124,300354.SZ,300354,东华测试,电器仪表,2.0,1.0,22.04
125,300297.SZ,300297,蓝盾股份,软件服务,2.0,1.0,52.4
126,300077.SZ,300077,国民技术,半导体,2.0,1.0,120.24
127,300035.SZ,300035,中科电气,电气设备,2.0,1.0,168.97
128,300409.SZ,300409,道氏技术,陶瓷,2.0,1.0,98.47
129,300454.SZ,300454,深信服,软件服务,2.0,1.0,793.68
130,300480.SZ,300480,光力科技,专用机械,2.0,1.0,51.52
131,300049.SZ,300049,福瑞股份,医疗保健,2.0,1.0,28.28
132,300390.SZ,300390,天华超净,元器件,2.0,1.0,275.07
133,300712.SZ,300712,永福股份,建筑工程,3.0,1.0,127.58
134,603659.SH,603659,璞泰来,化工原料,3.0,1.0,1212.88
135,002119.SZ,002119,康强电子,半导体,3.0,1.0,71.63
136,002136.SZ,002136,安纳达,化工原料,3.0,1.0,41.76
137,002240.SZ,002240,盛新锂能,小金属,3.0,1.0,295.33
138,003022.SZ,003022,联泓新科,化工原料,3.0,1.0,74.85
139,605358.SH,605358,立昂微,半导体,3.0,1.0,49.1
140,002824.SZ,002824,和胜股份,铝,3.0,1.0,48.04
141,600110.SH,600110,诺德股份,电气设备,3.0,1.0,212.77
142,600577.SH,600577,精达股份,电气设备,3.0,1.0,178.7
143,600111.SH,600111,北方稀土,小金属,3.0,1.0,1186.92
144,002850.SZ,002850,科达利,机械基件,3.0,1.0,190.59
145,300505.SZ,300505,川金诺,化工原料,3.0,1.0,30.08
146,605300.SH,605300,佳禾食品,食品,3.0,1.0,13.2
147,605162.SH,605162,新中港,供气供热,4.0,1.0,9.31
148,002892.SZ,002892,科力尔,电气设备,4.0,1.0,29.74
149,000762.SZ,000762,西藏矿业,小金属,4.0,1.0,185.04
150,601566.SH,601566,九牧王,服饰,4.0,1.0,107.4
151,300343.SZ,300343,联创股份,互联网,4.0,1.0,58.85
152,600884.SH,600884,杉杉股份,综合类,4.0,1.0,504.03
153,601106.SH,601106,中国一重,工程机械,5.0,1.0,261.97
154,002192.SZ,002192,融捷股份,小金属,5.0,1.0,307.16
155,002895.SZ,002895,川恒股份,化工原料,5.0,1.0,117.13
156,002280.SZ,002280,联络互动,软件服务,5.0,1.0,157.47
157,605011.SH,605011,杭州热电,供气供热,9.0,1.0,7.64
158,603171.SH,603171,税友股份,软件服务,9.0,1.0,16.7
