,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_DISCRETE,COL_CIRC_MV
25,002812.SZ,002812,恩捷股份,塑料,11.02,1.54,5.68,1529.19
26,603688.SH,603688,石英股份,矿物制品,11.93,1.25,5.74,91.38
27,300072.SZ,300072,三聚环保,环境保护,14.11,1.01,5.77,140.1
28,300705.SZ,300705,九典制药,化学制药,12.76,1.31,5.84,55.12
29,000612.SZ,000612,焦作万方,铝,16.09,1.03,5.88,95.37
30,300745.SZ,300745,欣锐科技,汽车配件,11.2,1.28,6.05,28.2
31,002374.SZ,002374,中锐股份,建筑工程,11.02,1.04,6.1,26.61
32,300099.SZ,300099,精准信息,电器仪表,14.91,1.51,6.16,44.24
33,000970.SZ,000970,中科三环,元器件,15.94,1.39,6.18,115.47
34,603300.SH,603300,华铁应急,多元金融,17.44,1.58,6.24,110.53
35,002337.SZ,002337,赛象科技,化工机械,13.71,1.02,6.29,19.98
36,603055.SH,603055,台华新材,纺织,16.61,1.56,6.38,57.06
37,605376.SH,605376,博迁新材,小金属,22.41,2.34,6.52,55.56
38,600152.SH,600152,维科技术,电气设备,9.0,1.27,6.69,34.65
39,300679.SZ,300679,电连技术,元器件,12.65,1.51,6.7,96.18
40,002287.SZ,002287,奇正藏药,中成药,7.83,1.08,6.82,145.5
41,603897.SH,603897,长城科技,电气设备,15.56,1.51,6.9,48.49
42,301005.SZ,301005,超捷股份,汽车配件,12.64,1.38,6.93,7.91
43,000811.SZ,000811,冰轮环境,工程机械,15.91,1.51,7.05,88.75
44,002056.SZ,002056,横店东磁,元器件,14.75,1.29,7.14,230.83
45,600186.SH,600186,莲花健康,食品,12.5,1.25,7.22,45.95
46,603879.SH,603879,永悦科技,化工原料,12.29,1.53,7.49,28.48
47,002349.SZ,002349,精华制药,中成药,10.74,1.44,7.52,42.17
48,000045.SZ,000045,深纺织A,元器件,15.48,1.44,7.58,45.34
49,002407.SZ,002407,多氟多,化工原料,22.96,2.67,7.6,242.22
50,601678.SH,601678,滨化股份,化工原料,7.84,1.38,7.71,152.91
51,300750.SZ,300750,宁德时代,电气设备,10.52,1.42,7.73,11080.0
52,600869.SH,600869,远东股份,电气设备,13.33,1.28,7.76,116.96
53,600366.SH,600366,宁波韵升,矿物制品,15.92,1.25,7.84,74.18
54,601677.SH,601677,明泰铝业,铝,17.34,1.46,7.86,151.34
55,300275.SZ,300275,梅安森,软件服务,23.4,2.02,7.88,14.08
56,603995.SH,603995,甬金股份,特种钢,16.1,1.35,7.99,47.0
57,000990.SZ,000990,诚志股份,化工原料,15.42,1.39,8.01,182.94
58,300537.SZ,300537,广信材料,染料涂料,20.99,1.48,8.05,25.36
59,000737.SZ,000737,南风化工,日用化工,9.12,1.03,8.09,51.86
60,002064.SZ,002064,华峰化学,化纤,10.32,1.18,8.11,292.37
61,300721.SZ,300721,怡达股份,化工原料,19.08,1.61,8.18,27.74
62,002026.SZ,002026,山东威达,机械基件,18.9,2.31,8.25,61.48
63,300448.SZ,300448,浩云科技,软件服务,10.16,1.15,8.31,38.9
64,002428.SZ,002428,云南锗业,小金属,17.49,1.18,8.37,90.46
65,002385.SZ,002385,大北农,饲料,10.64,1.15,8.39,217.8
66,002036.SZ,002036,联创电子,元器件,19.81,1.75,8.47,160.69
67,002588.SZ,002588,史丹利,农药化肥,14.87,1.13,8.54,46.17
68,002742.SZ,002742,三圣股份,其他建材,14.35,1.37,8.55,22.21
69,002154.SZ,002154,报喜鸟,服饰,11.83,1.41,8.59,74.48
70,300680.SZ,300680,隆盛科技,汽车配件,10.73,1.46,8.64,39.85
71,600876.SH,600876,洛阳玻璃,玻璃,13.18,1.33,8.72,57.19
72,002199.SZ,002199,东晶电子,元器件,19.51,1.49,8.76,19.99
73,300037.SZ,300037,新宙邦,化工原料,22.15,2.62,8.86,347.21
74,600201.SH,600201,生物股份,农业综合,14.75,1.24,8.87,221.3
75,600885.SH,600885,宏发股份,电气设备,10.12,1.09,8.93,480.37
76,300450.SZ,300450,先导智能,专用机械,14.76,1.42,8.96,950.85
77,300510.SZ,300510,金冠股份,电气设备,13.21,1.21,9.12,54.27
78,603501.SH,603501,韦尔股份,半导体,11.31,1.1,9.17,2585.31
79,300114.SZ,300114,中航电测,电器仪表,16.29,1.21,9.18,99.96
80,603063.SH,603063,禾望电气,电气设备,9.26,1.12,9.22,72.31
81,300478.SZ,300478,杭州高新,橡胶,16.09,1.81,9.22,12.77
82,300181.SZ,300181,佐力药业,中成药,10.97,1.33,9.28,39.42
83,300001.SZ,300001,特锐德,电气设备,19.89,1.03,9.32,324.61
84,002886.SZ,002886,沃特股份,塑料,12.32,1.06,9.32,28.41
85,002125.SZ,002125,湘潭电化,化工原料,15.29,2.07,9.36,52.32
86,300101.SZ,300101,振芯科技,通信设备,15.26,1.08,9.51,110.4
87,300657.SZ,300657,弘信电子,元器件,14.09,1.25,9.58,60.19
88,300241.SZ,300241,瑞丰光电,半导体,13.24,1.18,9.6,32.82
89,603038.SH,603038,华立股份,装修装饰,13.93,1.05,9.61,24.69
90,000625.SZ,000625,长安汽车,汽车整车,16.16,1.23,9.64,1227.82
91,002109.SZ,002109,兴化股份,化工原料,16.02,1.01,9.68,56.44
92,000960.SZ,000960,锡业股份,小金属,17.62,1.48,9.77,304.05
93,600845.SH,600845,宝信软件,软件服务,9.44,1.31,9.78,603.61
94,600161.SH,600161,天坛生物,生物制药,15.59,1.31,9.79,496.63
95,300189.SZ,300189,神农科技,种植业,11.01,1.1,9.9,48.54
96,600478.SH,600478,科力远,元器件,15.23,2.11,9.92,98.33
97,002355.SZ,002355,兴民智通,汽车配件,24.09,2.4,9.92,46.41
98,603917.SH,603917,合力科技,汽车配件,17.38,1.43,9.97,16.84
99,002724.SZ,002724,海洋王,半导体,10.8,1.29,10.07,53.82
100,002319.SZ,002319,乐通股份,染料涂料,14.52,1.19,10.07,29.34
101,603667.SH,603667,五洲新春,机械基件,21.69,2.0,10.19,29.23
102,002887.SZ,002887,绿茵生态,环境保护,15.04,1.36,10.28,19.65
103,603155.SH,603155,新亚强,化工原料,23.28,2.53,10.3,20.76
104,002623.SZ,002623,亚玛顿,玻璃,8.89,1.21,10.57,66.24
105,600459.SH,600459,贵研铂业,小金属,13.16,1.34,10.65,149.2
106,600367.SH,600367,红星发展,化工原料,20.49,1.62,10.68,29.79
107,605006.SH,605006,山东玻纤,玻璃,17.42,1.2,10.72,13.68
108,300638.SZ,300638,广和通,通信设备,7.39,1.28,10.79,116.75
109,002080.SZ,002080,中材科技,化纤,15.82,1.73,10.86,484.14
110,000635.SZ,000635,英力特,化工原料,16.27,1.18,11.06,37.04
111,300613.SZ,300613,富瀚微,半导体,25.02,2.38,11.08,202.52
112,002288.SZ,002288,超华科技,元器件,24.54,1.85,11.2,82.52
113,600309.SH,600309,万华化学,化工原料,19.91,1.36,11.22,1774.71
114,300618.SZ,300618,寒锐钴业,小金属,27.79,2.26,11.3,214.76
115,300103.SZ,300103,达刚控股,环境保护,19.27,1.3,11.33,26.32
116,002145.SZ,002145,中核钛白,化工原料,22.57,1.74,11.34,241.04
117,603992.SH,603992,松霖科技,家居用品,9.4,1.32,11.34,8.92
118,002806.SZ,002806,华锋股份,元器件,14.39,1.04,11.4,12.88
119,603693.SH,603693,江苏新能,新型电力,6.31,1.09,11.57,85.41
120,300215.SZ,300215,电科院,电气设备,22.69,1.57,11.6,55.74
121,300496.SZ,300496,中科创达,软件服务,5.67,1.4,11.6,501.93
122,300604.SZ,300604,长川科技,专用机械,39.32,3.76,11.6,188.9
123,600421.SH,600421,华嵘控股,综合类,12.03,1.93,11.72,26.41
124,002402.SZ,002402,和而泰,元器件,10.86,1.1,11.78,202.21
125,002206.SZ,002206,海利得,化纤,6.83,1.22,11.79,61.75
126,605098.SH,605098,行动教育,文教休闲,4.69,1.48,11.81,12.15
127,600422.SH,600422,昆药集团,中成药,8.57,1.03,11.81,73.76
128,300797.SZ,300797,钢研纳克,电器仪表,18.01,1.31,11.83,13.06
129,603970.SH,603970,中农立华,其他商业,13.04,1.16,11.86,21.86
130,300835.SZ,300835,龙磁科技,元器件,15.73,1.28,11.87,19.57
131,603931.SH,603931,格林达,化工原料,19.27,1.45,11.92,12.84
132,300807.SZ,300807,天迈科技,软件服务,13.15,1.28,11.95,8.39
133,000049.SZ,000049,德赛电池,电气设备,17.72,1.19,11.95,152.22
134,603306.SH,603306,华懋科技,汽车配件,21.95,2.33,11.95,134.94
135,603867.SH,603867,新化股份,化工原料,16.89,1.22,12.03,24.03
136,002741.SZ,002741,光华科技,化工原料,22.34,2.25,12.04,61.93
137,300718.SZ,300718,长盛轴承,机械基件,8.75,1.35,12.06,27.28
138,600193.SH,600193,创兴资源,装修装饰,4.76,1.49,12.13,41.22
139,002436.SZ,002436,兴森科技,元器件,21.17,1.32,12.23,158.02
140,300504.SZ,300504,天邑股份,通信设备,11.08,1.07,12.24,37.66
141,600773.SH,600773,西藏城投,区域地产,32.79,2.96,12.26,139.89
142,002371.SZ,002371,北方华创,半导体,23.42,2.29,12.3,1511.54
143,603505.SH,603505,金石资源,矿物制品,19.13,1.29,12.3,71.48
144,002979.SZ,002979,雷赛智能,专用机械,18.27,1.53,12.3,52.18
145,300082.SZ,300082,奥克股份,化工原料,28.46,3.06,12.34,101.23
146,300648.SZ,300648,星云股份,电器仪表,21.14,1.57,12.35,28.61
147,300332.SZ,300332,天壕环境,环境保护,8.74,1.32,12.4,49.19
148,600141.SH,600141,兴发集团,化工原料,19.98,1.5,12.52,202.13
149,601633.SH,601633,长城汽车,汽车整车,17.31,1.2,12.65,2984.35
150,002518.SZ,002518,科士达,电气设备,17.59,1.56,12.67,91.08
151,603809.SH,603809,豪能股份,汽车配件,18.45,1.17,12.68,43.41
152,002943.SZ,002943,宇晶股份,机床制造,16.14,1.17,12.68,9.89
153,002506.SZ,002506,协鑫集成,电气设备,28.0,2.31,12.81,211.12
154,603260.SH,603260,合盛硅业,化工原料,17.94,2.24,12.83,752.28
155,300681.SZ,300681,英搏尔,汽车配件,5.13,1.06,12.91,15.75
156,600259.SH,600259,广晟有色,小金属,28.0,2.19,13.03,127.06
157,600699.SH,600699,均胜电子,汽车配件,22.63,2.09,13.04,387.72
158,603988.SH,603988,中电电机,电气设备,10.34,1.32,13.11,39.16
159,002765.SZ,002765,蓝黛科技,汽车配件,15.76,1.22,13.12,33.68
160,002460.SZ,002460,赣锋锂业,小金属,26.98,2.02,13.18,1303.88
161,300659.SZ,300659,中孚信息,软件服务,20.28,1.16,13.24,56.21
162,600328.SH,600328,中盐化工,化工原料,17.67,1.72,13.25,86.07
163,300799.SZ,300799,左江科技,软件服务,12.16,1.02,13.25,19.21
164,300520.SZ,300520,科大国创,软件服务,13.11,1.22,13.28,48.06
165,000636.SZ,000636,风华高科,元器件,18.94,1.56,13.29,298.02
166,000633.SZ,000633,合金投资,综合类,21.8,1.42,13.45,29.69
167,300382.SZ,300382,斯莱克,专用机械,14.42,1.77,13.46,91.4
168,600331.SH,600331,宏达股份,铅锌,18.27,1.21,13.57,47.35
169,300305.SZ,300305,裕兴股份,塑料,14.9,1.45,13.6,38.22
170,603733.SH,603733,仙鹤股份,造纸,19.25,2.17,13.72,292.98
171,600251.SH,600251,冠农股份,农业综合,22.35,2.94,14.02,80.0
172,603806.SH,603806,福斯特,塑料,13.94,1.3,14.04,1048.44
173,603799.SH,603799,华友钴业,小金属,26.9,2.6,14.13,1552.0
174,300120.SZ,300120,经纬辉开,元器件,13.76,1.02,14.16,38.18
175,601238.SH,601238,广汽集团,汽车整车,23.65,2.12,14.29,1132.96
176,000050.SZ,000050,深天马A,元器件,17.76,1.16,14.35,331.83
177,600711.SH,600711,盛屯矿业,小金属,23.88,1.61,14.44,211.35
178,300260.SZ,300260,新莱应材,机械基件,15.86,1.6,14.49,34.26
179,600338.SH,600338,西藏珠峰,铅锌,23.71,1.95,14.51,153.13
180,000683.SZ,000683,远兴能源,化工原料,24.61,1.79,14.56,187.05
181,600234.SH,600234,山水文化,综合类,14.0,1.22,14.61,30.49
182,603186.SH,603186,华正新材,元器件,16.37,1.26,14.67,57.68
183,300233.SZ,300233,金城医药,化学制药,9.86,1.54,14.76,112.81
184,603650.SH,603650,彤程新材,化工原料,13.64,1.03,14.9,307.64
185,603185.SH,603185,上机数控,电气设备,17.28,1.96,14.92,157.83
186,300126.SZ,300126,锐奇股份,轻工机械,9.89,1.14,14.93,16.39
187,002340.SZ,002340,格林美,小金属,26.02,2.06,14.97,544.3
188,600586.SH,600586,金晶科技,玻璃,5.0,1.41,14.98,132.02
189,300102.SZ,300102,乾照光电,半导体,10.19,1.11,15.03,68.02
190,603399.SH,603399,吉翔股份,小金属,20.63,1.26,15.03,29.11
191,300829.SZ,300829,金丹科技,食品,5.11,1.02,15.06,63.51
192,600160.SH,600160,巨化股份,化工原料,24.82,2.01,15.07,282.39
193,603568.SH,603568,伟明环保,环境保护,15.04,1.38,15.09,313.38
194,300035.SZ,300035,中科电气,电气设备,27.4,2.58,15.14,153.92
195,002045.SZ,002045,国光电器,元器件,14.32,1.44,15.14,63.39
196,603613.SH,603613,国联股份,互联网,9.88,1.36,15.21,239.19
197,600426.SH,600426,华鲁恒升,农药化肥,22.11,1.22,15.22,772.17
198,000657.SZ,000657,中钨高新,小金属,28.74,2.62,15.23,112.49
199,603678.SH,603678,火炬电子,元器件,20.07,1.68,15.29,347.71
200,300458.SZ,300458,全志科技,元器件,6.64,1.16,15.34,225.04
201,601865.SH,601865,福莱特,玻璃,8.93,1.08,15.37,188.08
202,002120.SZ,002120,韵达股份,仓储物流,24.23,2.25,15.39,453.82
203,600715.SH,600715,文投控股,影视音像,22.53,1.75,15.43,66.59
204,300217.SZ,300217,东方电热,电器仪表,22.8,1.26,15.46,33.14
205,003016.SZ,003016,欣贺股份,服饰,16.52,1.81,15.5,18.22
206,000989.SZ,000989,九芝堂,中成药,8.01,1.43,15.61,58.01
207,000155.SZ,000155,川能动力,新型电力,19.86,1.98,15.61,202.31
208,002760.SZ,002760,凤形股份,机械基件,20.3,2.35,15.64,21.7
209,002409.SZ,002409,雅克科技,化工原料,19.15,1.65,15.73,269.04
210,002416.SZ,002416,爱施德,电器连锁,13.89,1.37,15.74,136.33
211,002957.SZ,002957,科瑞技术,专用机械,18.78,2.15,15.76,45.46
212,002049.SZ,002049,紫光国微,元器件,15.87,1.57,15.76,1033.59
213,600499.SH,600499,科达制造,专用机械,26.09,2.73,15.76,277.43
214,600619.SH,600619,海立股份,机械基件,21.53,2.12,15.86,67.7
215,300124.SZ,300124,汇川技术,电器仪表,15.49,1.91,15.92,1640.11
216,002091.SZ,002091,江苏国泰,商贸代理,34.91,3.4,16.06,172.58
217,002667.SZ,002667,鞍重股份,工程机械,24.76,1.67,16.07,39.46
218,002497.SZ,002497,雅化集团,化工原料,22.94,1.47,16.1,251.1
219,002466.SZ,002466,天齐锂业,小金属,20.92,1.86,16.18,1104.25
220,600549.SH,600549,厦门钨业,小金属,39.4,3.25,16.18,379.07
221,002378.SZ,002378,章源钨业,小金属,22.52,1.45,16.2,99.55
222,600470.SH,600470,六国化工,农药化肥,25.0,1.85,16.24,29.47
223,600354.SH,600354,敦煌种业,种植业,18.31,1.52,16.28,36.84
224,603800.SH,603800,道森股份,专用机械,32.68,2.55,16.34,25.17
225,600010.SH,600010,包钢股份,普钢,21.57,1.6,16.41,589.2
226,600055.SH,600055,万东医疗,医疗保健,15.11,1.91,16.41,99.73
227,603993.SH,603993,洛阳钼业,小金属,32.12,2.31,16.42,1174.77
228,002433.SZ,002433,太安堂,中成药,19.41,2.15,16.46,36.18
229,600110.SH,600110,诺德股份,电气设备,28.25,2.65,16.49,193.45
230,300169.SZ,300169,天晟新材,塑料,15.49,1.27,16.57,21.99
231,002538.SZ,002538,司尔特,农药化肥,24.47,2.02,16.7,57.33
232,600980.SH,600980,北矿科技,元器件,21.42,1.48,16.74,26.48
233,003043.SZ,003043,华亚智能,专用机械,20.98,1.03,16.76,11.35
234,600778.SH,600778,友好集团,百货,11.22,1.08,16.84,13.88
235,300055.SZ,300055,万邦达,环境保护,15.48,1.49,16.85,90.63
236,300800.SZ,300800,力合科技,环境保护,16.53,1.18,16.92,31.64
237,002048.SZ,002048,宁波华翔,汽车配件,17.82,1.67,17.01,116.67
238,002245.SZ,002245,蔚蓝锂芯,仓储物流,16.73,1.95,17.11,219.09
239,300445.SZ,300445,康斯特,电器仪表,18.58,1.38,17.14,20.92
240,002386.SZ,002386,天原股份,化工原料,15.52,1.28,17.17,89.45
241,002261.SZ,002261,拓维信息,互联网,14.14,1.7,17.41,92.96
242,002176.SZ,002176,江特电机,电气设备,52.12,4.38,17.44,189.66
243,601339.SH,601339,百隆东方,纺织,13.88,1.04,17.45,89.85
244,000962.SZ,000962,东方钽业,小金属,25.9,1.44,17.56,49.06
245,600577.SH,600577,精达股份,电气设备,34.94,2.88,17.57,164.08
246,600444.SH,600444,国机通用,专用机械,33.33,2.93,17.61,18.68
247,603026.SH,603026,石大胜华,化工原料,49.91,4.77,17.67,441.9
248,000036.SZ,000036,华联控股,全国地产,13.6,2.34,17.79,70.4
249,000551.SZ,000551,创元科技,专用机械,27.59,2.27,17.83,41.81
250,002253.SZ,002253,川大智胜,软件服务,6.85,1.09,17.9,32.35
251,002240.SZ,002240,盛新锂能,小金属,37.83,2.95,17.98,268.45
252,002850.SZ,002850,科达利,机械基件,40.5,3.56,18.01,173.27
253,300330.SZ,300330,华虹计通,软件服务,0.09,1.14,18.1,18.16
254,300438.SZ,300438,鹏辉能源,电气设备,27.19,2.09,18.19,86.0
255,002190.SZ,002190,成飞集成,汽车配件,19.82,1.3,18.2,102.56
256,002074.SZ,002074,国轩高科,电气设备,16.55,2.57,18.28,573.39
257,000408.SZ,000408,藏格控股,农药化肥,18.56,1.74,18.42,115.53
258,002341.SZ,002341,新纶科技,化工原料,28.39,1.63,18.45,57.98
259,002192.SZ,002192,融捷股份,小金属,59.43,4.92,18.56,280.76
260,002127.SZ,002127,南极电商,互联网,19.03,2.82,18.83,221.53
261,002025.SZ,002025,航天电器,元器件,25.18,1.31,18.94,249.23
262,600961.SH,600961,株冶集团,铅锌,18.33,1.49,19.07,37.45
263,000969.SZ,000969,安泰科技,钢加工,19.93,1.35,19.1,96.38
264,600392.SH,600392,盛和资源,小金属,38.26,3.01,19.18,407.2
265,300127.SZ,300127,银河磁体,元器件,17.88,1.58,19.26,44.55
266,002759.SZ,002759,天际股份,家用电器,29.01,2.94,19.33,172.76
267,603324.SH,603324,盛剑环境,环境保护,66.32,5.79,19.35,17.23
268,300982.SZ,300982,苏文电能,建筑工程,19.56,2.82,19.49,21.68
269,300224.SZ,300224,正海磁材,元器件,25.58,2.26,19.52,104.81
270,300769.SZ,300769,德方纳米,化工原料,25.69,2.03,19.58,134.86
271,300410.SZ,300410,正业科技,电器仪表,23.18,2.53,19.64,41.25
272,600111.SH,600111,北方稀土,小金属,48.87,3.95,19.7,1079.02
273,000017.SZ,000017,深中华A,文教休闲,29.29,2.31,19.85,13.24
274,000422.SZ,000422,湖北宜化,农药化肥,9.38,1.97,19.86,83.77
275,600129.SH,600129,太极集团,中成药,8.68,1.1,19.91,114.39
276,603267.SH,603267,鸿远电子,元器件,17.87,1.53,20.05,211.24
277,300620.SZ,300620,光库科技,元器件,19.18,2.61,20.18,57.25
278,002274.SZ,002274,华昌化工,农药化肥,25.72,1.87,20.3,110.5
279,002636.SZ,002636,金安国纪,元器件,24.43,1.76,20.4,134.79
280,600460.SH,600460,士兰微,半导体,13.88,1.06,20.42,818.07
281,002534.SZ,002534,杭锅股份,专用机械,3.04,1.36,20.47,107.43
282,300087.SZ,300087,荃银高科,种植业,31.0,2.64,20.51,115.55
283,002326.SZ,002326,永太科技,化工原料,27.74,2.64,20.51,155.53
284,603986.SH,603986,兆易创新,半导体,8.15,1.11,20.63,1162.8
285,002539.SZ,002539,云图控股,农药化肥,36.03,2.72,20.74,75.1
286,600171.SH,600171,上海贝岭,半导体,27.79,2.4,20.81,253.29
287,603001.SH,603001,奥康国际,服饰,20.39,2.07,20.96,41.9
288,002805.SZ,002805,丰元股份,化工原料,28.88,2.44,20.99,26.51
289,000009.SZ,000009,中国宝安,综合类,26.69,3.07,21.05,560.8
290,300790.SZ,300790,宇瞳光学,电器仪表,29.39,2.66,21.13,46.12
291,002411.SZ,002411,延安必康,化学制药,24.76,2.5,21.23,100.36
292,000902.SZ,000902,新洋丰,农药化肥,17.9,1.09,21.41,200.01
293,300723.SZ,300723,一品红,化学制药,4.54,1.37,21.56,39.55
294,300986.SZ,300986,志特新材,铝,18.26,1.42,21.59,12.83
295,300480.SZ,300480,光力科技,专用机械,19.79,1.2,21.6,44.85
296,002312.SZ,002312,川发龙蟒,化工原料,38.92,3.26,21.69,149.39
297,300057.SZ,300057,万顺新材,广告包装,13.13,1.43,21.71,34.69
298,000301.SZ,000301,东方盛虹,化纤,21.09,1.39,21.98,385.85
299,002136.SZ,002136,安纳达,化工原料,33.58,2.6,22.04,38.35
300,603039.SH,603039,泛微网络,软件服务,18.36,1.17,22.2,194.57
301,300118.SZ,300118,东方日升,电气设备,21.38,1.91,22.22,186.99
302,300672.SZ,300672,国科微,半导体,17.42,1.78,22.25,206.13
303,002455.SZ,002455,百川股份,化工原料,18.29,1.33,22.36,35.64
304,002472.SZ,002472,双环传动,机械基件,30.37,3.47,22.39,122.95
305,605186.SH,605186,健麾信息,医疗保健,28.88,2.56,22.55,15.02
306,605378.SH,605378,野马电池,电气设备,16.26,1.61,22.6,15.47
307,002574.SZ,002574,明牌珠宝,服饰,13.99,1.24,22.63,26.24
308,300691.SZ,300691,联合光电,元器件,17.38,1.03,22.63,32.15
309,600884.SH,600884,杉杉股份,综合类,35.03,3.11,22.81,466.26
310,300036.SZ,300036,超图软件,软件服务,33.22,2.48,22.83,105.72
311,300677.SZ,300677,英科医疗,医疗保健,5.52,1.41,22.83,301.1
312,300899.SZ,300899,上海凯鑫,环境保护,20.86,1.57,22.89,7.14
313,600172.SH,600172,黄河旋风,矿物制品,22.96,3.18,22.95,97.69
314,300730.SZ,300730,科创信息,软件服务,19.79,2.02,23.04,20.3
315,300077.SZ,300077,国民技术,半导体,23.6,2.72,23.13,100.18
316,002375.SZ,002375,亚厦股份,装修装饰,18.78,1.04,23.22,114.47
317,000762.SZ,000762,西藏矿业,小金属,30.56,3.33,23.26,168.22
318,603290.SH,603290,斯达半导,半导体,18.86,1.58,23.52,273.1
319,300751.SZ,300751,迈为股份,专用机械,13.57,1.82,23.54,239.9
320,300820.SZ,300820,英杰电气,电气设备,29.57,2.86,23.59,20.85
321,603738.SH,603738,泰晶科技,元器件,52.33,4.81,23.62,81.35
322,000935.SZ,000935,四川双马,水泥,35.42,3.05,23.63,135.13
323,000920.SZ,000920,南方汇通,环境保护,46.68,3.43,23.7,43.74
324,300457.SZ,300457,赢合科技,专用机械,28.19,1.58,23.73,104.55
325,600769.SH,600769,祥龙电业,建筑工程,16.45,1.86,23.87,23.36
326,300014.SZ,300014,亿纬锂能,电气设备,20.9,1.16,24.07,2150.66
327,300205.SZ,300205,天喻信息,元器件,14.11,1.6,24.16,55.46
328,603659.SH,603659,璞泰来,化工原料,22.69,2.52,24.24,1102.59
329,300166.SZ,300166,东方国信,软件服务,10.88,1.39,24.35,93.33
330,300484.SZ,300484,蓝海华腾,电气设备,17.85,1.45,24.37,25.56
331,002280.SZ,002280,联络互动,软件服务,54.86,4.57,24.4,143.2
332,300661.SZ,300661,圣邦股份,元器件,10.07,1.98,24.42,538.99
333,600381.SH,600381,青海春天,医疗保健,17.72,1.53,24.43,51.49
334,603938.SH,603938,三孚股份,化工原料,60.07,4.86,24.48,91.56
335,300726.SZ,300726,宏达电子,元器件,24.04,1.46,24.57,144.03
336,003022.SZ,003022,联泓新科,化工原料,22.91,1.02,24.67,68.96
337,301002.SZ,301002,崧盛股份,电气设备,19.1,2.33,24.87,20.88
338,002895.SZ,002895,川恒股份,化工原料,62.99,4.95,24.91,108.04
339,002119.SZ,002119,康强电子,半导体,23.8,2.96,24.98,65.12
340,002738.SZ,002738,中矿资源,小金属,38.63,4.16,25.0,156.87
341,601828.SH,601828,美凯龙,其他商业,1.93,1.19,25.04,385.02
342,000831.SZ,000831,五矿稀土,小金属,46.6,3.44,25.18,264.45
343,605300.SH,605300,佳禾食品,食品,16.86,1.71,25.3,12.15
344,600582.SH,600582,天地科技,工程机械,23.33,1.25,25.4,199.07
345,300763.SZ,300763,锦浪科技,电气设备,19.73,2.4,25.8,206.92
346,002756.SZ,002756,永兴材料,特种钢,37.82,2.89,25.93,216.68
347,300919.SZ,300919,中伟股份,化工原料,12.44,1.21,25.99,78.44
348,002108.SZ,002108,沧州明珠,塑料,38.13,3.06,26.39,100.67
349,600732.SH,600732,爱旭股份,电气设备,17.46,1.15,26.49,93.55
350,300222.SZ,300222,科大智能,电气设备,18.95,1.08,27.37,70.87
351,300487.SZ,300487,蓝晓科技,化工原料,9.98,2.36,27.39,116.86
352,603379.SH,603379,三美股份,化工原料,25.0,2.35,27.48,40.54
353,300460.SZ,300460,惠伦晶体,元器件,9.68,1.96,27.81,60.31
354,300276.SZ,300276,三丰智能,专用机械,9.31,1.36,27.83,38.76
355,300319.SZ,300319,麦捷科技,元器件,15.73,1.55,27.93,83.82
356,002009.SZ,002009,天奇股份,工程机械,20.41,2.36,27.93,51.06
357,601969.SH,601969,海南矿业,普钢,26.46,2.57,27.99,254.11
358,603396.SH,603396,金辰股份,专用机械,39.98,4.12,28.01,69.89
359,002196.SZ,002196,方正电机,纺织机械,20.0,1.48,28.01,39.61
360,603657.SH,603657,春光科技,家用电器,11.53,1.87,28.24,12.6
