code,name,outstanding,p_change_range0,p_change_range1,normalizing_std1,stop_mark
600643,爱建集团,14.34,5.23,0.0,0.025,
600074,*ST保千,10.26,0.0,0.0,0.0,
002506,协鑫集成,25.24,0.2,-0.0,0.001,
600969,郴电国际,3.7,1.44,-0.0,0.007,
601212,白银有色,19.65,0.0,0.0,0.0,
002265,西仪股份,3.03,2.5,-0.001,0.012,
002080,中材科技,6.4,2.05,-0.001,0.01,
000737,*ST南风,5.49,1.77,-0.001,0.009,
002857,三晖电气,0.49,3.07,-0.001,0.015,
000524,岭南控股,2.72,2.49,-0.001,0.012,
002639,雪人股份,5.16,-0.34,-0.001,0.002,
002511,中顺洁柔,12.57,-0.23,-0.001,0.001,
002340,格林美,37.84,1.48,-0.002,0.007,
000911,南宁糖业,3.24,-0.49,-0.002,0.002,
002083,孚日股份,8.65,0.39,-0.002,0.002,
000155,川能动力,9.37,2.31,-0.002,0.011,
000970,中科三环,10.65,0.51,-0.003,0.003,
002160,常铝股份,6.02,1.53,-0.003,0.008,
002578,闽发铝业,5.63,0.56,-0.003,0.003,
600232,金鹰股份,3.65,2.32,-0.003,0.011,
600089,特变电工,37.14,0.73,-0.005,0.004,
600275,ST昌鱼,5.09,-0.69,-0.005,0.003,
600184,光电股份,4.19,4.01,-0.005,0.02,
601088,中国神华,164.91,1.24,-0.005,0.006,
000632,三木集团,4.65,7.07,-0.007,0.034,
600861,北京城乡,3.17,2.63,-0.008,0.013,
601333,广深铁路,56.52,2.21,-0.008,0.011,
002211,宏达新材,4.32,3.5,-0.009,0.017,
002928,华夏航空,0.41,0.55,-0.053,0.003,
002808,恒久科技,0.88,-0.08,-0.08,0.0,
601628,中国人寿,208.24,0.47,-0.093,0.002,
600079,人福医药,12.86,0.53,-0.093,0.003,
002646,青青稞酒,4.5,0.71,-0.096,0.004,
002833,弘亚数控,0.57,1.22,-0.106,0.006,
600987,航民股份,6.35,0.81,-0.107,0.004,
600436,片仔癀,6.03,1.26,-0.117,0.006,
600516,方大炭素,17.54,1.61,-0.117,0.008,
002778,高科石化,0.56,3.79,-0.123,0.019,
600686,金龙汽车,6.07,2.52,-0.125,0.012,
002732,燕塘乳业,1.56,1.33,-0.129,0.007,
002827,高争民爆,0.63,0.28,-0.131,0.001,
000338,潍柴动力,43.1,0.67,-0.135,0.003,
002271,东方雨虹,9.96,1.73,-0.142,0.009,
600549,厦门钨业,14.06,1.46,-0.143,0.007,
600329,中新药业,5.66,1.33,-0.149,0.007,
002039,黔源电力,3.05,-0.15,-0.15,0.001,
600723,首商股份,6.58,2.66,-0.153,0.013,
600566,济川药业,8.15,0.95,-0.16,0.005,
002706,良信电器,5.44,0.0,-0.17,0.0,
600018,上港集团,231.74,0.91,-0.17,0.005,
002346,柘中股份,3.92,-2.31,-0.171,0.012,
000989,九 芝 堂,4.2,3.68,-0.177,0.018,
002762,金发拉比,1.9,5.32,-0.178,0.026,
000541,佛山照明,10.72,1.29,-0.179,0.006,
000898,鞍钢股份,61.49,0.91,-0.18,0.005,
000906,浙商中拓,6.61,3.73,-0.181,0.018,
600247,*ST成城,3.36,-4.91,-0.184,0.025,
600348,阳泉煤业,24.05,1.51,-0.185,0.007,
600287,江苏舜天,4.37,2.72,-0.187,0.013,
002701,奥瑞金,23.53,0.4,-0.192,0.002,
601028,玉龙股份,7.83,1.22,-0.197,0.006,
002261,拓维信息,9.72,6.64,-0.206,0.032,
000513,丽珠集团,4.59,2.08,-0.207,0.01,
600188,兖州煤业,29.6,1.6,-0.208,0.008,
600615,丰华股份,1.88,2.13,-0.209,0.011,
600085,同仁堂,13.71,0.31,-0.212,0.002,
002747,埃斯顿,7.26,1.45,-0.214,0.007,
002905,金逸影视,0.67,2.36,-0.219,0.012,
600438,通威股份,27.82,1.07,-0.234,0.005,
600674,川投能源,44.02,0.38,-0.242,0.002,
002025,航天电器,4.29,0.48,-0.243,0.002,
600509,天富能源,9.06,1.03,-0.253,0.005,
600531,豫光金铅,10.9,-1.04,-0.258,0.005,
000557,西部创业,5.85,0.0,-0.26,0.0,
600177,雅戈尔,35.81,0.39,-0.263,0.002,
000915,山大华特,2.33,1.16,-0.266,0.006,
002572,索菲亚,6.38,0.05,-0.27,0.0,
002412,汉森制药,2.88,-0.2,-0.27,0.001,
002092,中泰化学,20.34,1.35,-0.272,0.007,
600328,兰太实业,4.38,1.85,-0.279,0.009,
601600,中国铝业,109.6,0.83,-0.279,0.004,
002695,煌上煌,4.53,1.07,-0.284,0.005,
601288,农业银行,2940.55,0.56,-0.285,0.003,
600609,金杯汽车,10.93,2.99,-0.295,0.015,
601616,广电电气,9.36,1.55,-0.298,0.008,
600724,宁波富达,14.45,-0.3,-0.3,0.001,
000059,华锦股份,15.99,0.82,-0.319,0.004,
000718,苏宁环球,22.89,1.27,-0.32,0.006,
600104,上汽集团,115.03,-0.32,-0.32,0.002,
002771,真视通,0.92,3.6,-0.326,0.018,
600578,京能电力,53.35,0.0,-0.33,0.0,
600271,航天信息,18.47,1.31,-0.331,0.007,
600170,上海建工,84.87,0.34,-0.332,0.002,
000831,五矿稀土,9.81,0.98,-0.333,0.005,
002554,惠博普,7.69,1.01,-0.333,0.005,
600168,武汉控股,7.1,0.51,-0.334,0.003,
601168,西部矿业,23.83,0.5,-0.334,0.002,
600792,云煤能源,9.9,0.68,-0.337,0.003,
600744,华银电力,8.28,3.19,-0.339,0.016,
002842,翔鹭钨业,0.72,1.48,-0.347,0.007,
600195,中牧股份,6.02,1.18,-0.348,0.006,
600900,长江电力,115.06,0.77,-0.349,0.004,
601117,中国化学,49.33,0.18,-0.351,0.001,
