code,name,p_change_range0,average_turnover,stop_mark
002115,三维通信,3.45,5.707,
300046,台基股份,-5.967,5.643,
002729,好利来,-11.474,5.63,
002049,紫光国微,-7.802,5.593,
300092,科新机电,-1.257,5.59,
000151,中成股份,-8.135,5.587,
002184,海得控制,1.064,5.587,
002771,真视通,-5.478,5.577,
600623,华谊集团,-1.261,5.553,
300613,富瀚微,-5.266,5.52,
300655,晶瑞股份,-4.292,5.513,
002708,光洋股份,8.991,5.51,
300500,启迪设计,-2.2,5.47,
300477,合纵科技,-9.642,5.447,
002780,三夫户外,-1.139,5.427,
002076,雪 莱 特,1.705,5.427,
300695,兆丰股份,1.826,5.403,
300409,道氏技术,-9.811,5.377,
300537,广信材料,-0.54,5.373,
002901,大博医疗,0.472,5.347,
300089,文化长城,6.389,5.327,
300620,光库科技,-0.805,5.313,
300580,贝斯特,7.241,5.267,
002715,登云股份,6.007,5.247,
300657,弘信电子,-3.623,5.227,
002811,亚泰国际,2.238,5.223,
300645,正元智慧,1.05,5.217,
002702,海欣食品,-3.722,5.2,
600207,安彩高科,-0.651,5.183,
002823,凯中精密,2.938,5.157,
002849,威星智能,1.773,5.15,
300494,盛天网络,-0.53,5.087,
600770,综艺股份,5.255,5.083,
300156,神雾环保,-14.356,5.07,
002835,同为股份,0.841,5.063,
300588,熙菱信息,-5.748,5.06,
300132,青松股份,-7.179,5.057,
002773,康弘药业,7.99,5.04,
300246,宝莱特,2.374,4.997,
002307,北新路桥,5.095,4.987,
002178,延华智能,1.061,4.98,
300017,网宿科技,-9.535,4.98,
300451,创业软件,-5.363,4.977,
300377,赢时胜,-5.111,4.973,
300162,雷曼股份,8.69,4.97,
300661,圣邦股份,-2.623,4.96,
000955,欣龙控股,3.605,4.93,
300639,凯普生物,-0.824,4.92,
300344,太空智造,-1.919,4.903,
002497,雅化集团,-8.783,4.9,
002151,北斗星通,-2.824,4.897,
000856,冀东装备,-1.967,4.893,
300348,长亮科技,-7.569,4.89,
300627,华测导航,-2.295,4.887,
300116,坚瑞沃能,-1.249,4.873,
300621,维业股份,-0.321,4.87,
600520,文一科技,10.736,4.833,
600797,浙大网新,-4.045,4.803,
002722,金轮股份,7.831,4.8,
300709,精研科技,-0.217,4.793,
300157,恒泰艾普,-3.665,4.773,
300489,中飞股份,0.88,4.757,
300181,佐力药业,0.56,4.747,
300547,川环科技,1.365,4.743,
300192,科斯伍德,-3.855,4.74,
000636,风华高科,-5.313,4.727,
300101,振芯科技,-3.728,4.7,
300453,三鑫医疗,1.307,4.677,
300474,景嘉微,-6.461,4.673,
000516,国际医学,9.878,4.66,
300581,晨曦航空,-1.788,4.643,
002691,冀凯股份,-22.839,4.643,
600141,兴发集团,-8.781,4.603,
002012,凯恩股份,8.888,4.597,
300632,光莆股份,-2.183,4.59,
002282,博深工具,-0.749,4.573,
002510,天汽模,-1.007,4.567,
002490,山东墨龙,-2.602,4.557,
300628,亿联网络,-3.419,4.557,
002458,益生股份,-2.787,4.533,
300548,博创科技,-5.207,4.493,
300552,万集科技,0.617,4.463,
002788,鹭燕医药,-2.22,4.463,
000505,京粮控股,3.609,4.463,
300532,今天国际,-3.153,4.453,
002926,华西证券,-3.854,4.397,
300637,扬帆新材,2.321,4.39,
002887,绿茵生态,-1.255,4.363,
002853,皮阿诺,1.158,4.353,
300253,卫宁健康,-3.472,4.35,
000830,鲁西化工,-5.031,4.343,
002826,易明医药,8.815,4.32,
300222,科大智能,-9.781,4.307,
002209,达 意 隆,8.576,4.287,
600209,*ST罗顿,11.142,4.253,
300490,华自科技,-0.462,4.223,
002787,华源控股,-2.561,4.22,
300314,戴维医疗,-7.573,4.213,
600667,太极实业,1.498,4.197,
002884,凌霄泵业,0.272,4.19,
300592,华凯创意,0.821,4.183,
000567,海德股份,0.303,4.183,
300073,当升科技,-6.077,4.177,
002789,建艺集团,4.04,4.173,
300254,仟源医药,4.437,4.163,
002396,星网锐捷,-4.716,4.163,
600621,华鑫股份,-0.138,4.153,
300268,佳沃股份,-3.906,4.133,
300492,山鼎设计,-0.79,4.13,
002752,昇兴股份,3.143,4.123,
002504,弘高创意,-8.118,4.12,
600213,亚星客车,-6.618,4.117,
300228,富瑞特装,1.095,4.113,
300079,数码科技,0.229,4.1,
300550,和仁科技,-8.581,4.073,
000571,新大洲Ａ,3.015,4.073,
000023,深天地Ａ,3.299,4.067,
300506,名家汇,-1.951,4.06,
600884,杉杉股份,-5.226,4.057,
300619,金银河,-3.385,4.053,
002817,黄山胶囊,1.821,4.02,
300076,GQY视讯,-6.335,4.01,
300330,华虹计通,-1.11,3.993,
000915,山大华特,-0.002,3.973,
002582,好想你,-5.223,3.97,
002758,华通医药,4.961,3.967,
300629,新劲刚,-2.275,3.963,
300401,花园生物,6.752,3.953,
600516,XD方大炭,-7.285,3.943,
600381,青海春天,0.283,3.937,
000789,万年青,-6.793,3.933,
300591,万里马,0.991,3.927,
600330,天通股份,-5.132,3.917,
002801,微光股份,-5.636,3.917,
000573,粤宏远Ａ,13.379,3.903,
000020,深华发Ａ,3.909,3.89,
300571,平治信息,2.283,3.89,
300093,金刚玻璃,0.549,3.887,
002619,艾格拉斯,-5.474,3.88,
300312,邦讯技术,-6.5,3.87,
300422,博世科,-5.448,3.86,
300427,红相股份,-2.05,3.84,
300394,天孚通信,-7.507,3.833,
002810,山东赫达,-1.816,3.823,
300562,乐心医疗,-6.17,3.817,
002792,通宇通讯,-5.447,3.81,
002635,安洁科技,-3.532,3.807,
300538,同益股份,-0.072,3.787,
300502,新易盛,-6.709,3.783,
600594,益佰制药,0.354,3.743,
300546,雄帝科技,1.566,3.74,
300496,中科创达,-2.259,3.733,
300433,蓝思科技,0.093,3.73,
600328,兰太实业,-7.0,3.72,
002460,赣锋锂业,-1.675,3.717,
002371,北方华创,-6.012,3.707,
002861,瀛通通讯,3.101,3.693,
300480,光力科技,2.206,3.69,
002604,*ST龙力,5.032,3.687,
300517,海波重科,3.325,3.68,
000936,华西股份,-3.671,3.67,
002016,世荣兆业,-4.52,3.667,
300545,联得装备,-0.18,3.657,
600206,有研新材,-4.253,3.657,
300063,天龙集团,-4.594,3.653,
300355,蒙草生态,-14.316,3.647,
300037,新宙邦,-2.811,3.64,
300057,万顺股份,1.07,3.633,
600025,华能水电,-1.412,3.63,
601116,三江购物,3.77,3.627,
000980,众泰汽车,-4.411,3.627,
300660,江苏雷利,-4.611,3.613,
600333,长春燃气,-6.284,3.613,
002694,顾地科技,-9.348,3.6,
002800,天顺股份,2.069,3.6,
300016,北陆药业,-2.85,3.597,
002860,星帅尔,-1.212,3.593,
300138,晨光生物,4.943,3.587,
002365,永安药业,-6.618,3.58,
002446,盛路通信,-6.201,3.577,
300278,华昌达,-0.667,3.56,
300273,和佳股份,-6.579,3.543,
300435,中泰股份,-2.543,3.537,
002751,易尚展示,7.572,3.537,
300473,德尔股份,3.729,3.537,
300044,赛为智能,-5.799,3.527,
300617,安靠智电,0.283,3.49,
300669,沪宁股份,0.633,3.48,
002816,和科达,0.256,3.477,
600387,海越股份,-6.487,3.473,
002825,纳尔股份,0.354,3.457,
002009,天奇股份,-5.267,3.453,
002474,榕基软件,-6.427,3.447,
002020,京新药业,4.984,3.44,
300486,东杰智能,-0.315,3.437,
300535,达威股份,1.001,3.423,
000977,浪潮信息,-2.711,3.407,
002103,广博股份,-5.323,3.407,
000650,仁和药业,-2.403,3.403,
300568,星源材质,-5.583,3.4,
002815,崇达技术,1.739,3.4,
300465,高伟达,-6.92,3.4,
300566,激智科技,2.476,3.397,
601069,西部黄金,2.926,3.397,
300236,上海新阳,-6.16,3.39,
300214,日科化学,-5.187,3.39,
300353,东土科技,-5.511,3.38,
002721,金一文化,-6.036,3.377,
002173,创新医疗,0.699,3.373,
600855,航天长峰,11.553,3.367,
300184,力源信息,-5.302,3.337,
002052,同洲电子,0.78,3.33,
600409,三友化工,-7.567,3.303,
300189,神农基因,1.517,3.3,
002765,蓝黛传动,6.915,3.297,
300472,新元科技,-5.507,3.293,
300366,创意信息,-4.231,3.29,
002321,华英农业,0.539,3.29,
300135,宝利国际,-6.588,3.283,
600570,恒生电子,3.952,3.273,
002629,仁智股份,-7.172,3.263,
600329,中新药业,7.421,3.253,
300256,星星科技,-5.473,3.237,
002153,石基信息,3.577,3.223,
002457,青龙管业,-0.662,3.22,
000572,海马汽车,5.895,3.217,
002194,*ST凡谷,-2.724,3.213,
002517,恺英网络,-3.457,3.21,
600339,中油工程,-5.743,3.19,
300642,透景生命,7.13,3.18,
002362,汉王科技,-6.362,3.147,
000952,广济药业,-1.65,3.14,
600075,新疆天业,-5.799,3.127,
600777,新潮能源,-1.617,3.127,
300623,捷捷微电,-4.811,3.097,
300069,金利华电,-5.047,3.097,
002088,鲁阳节能,-4.907,3.08,
300469,信息发展,-7.911,3.077,
300325,德威新材,-7.614,3.07,
300354,东华测试,-0.514,3.067,
600360,华微电子,-6.482,3.06,
600460,士兰微,-4.948,3.057,
002237,恒邦股份,4.413,3.053,
300699,光威复材,-2.331,3.04,
600985,雷鸣科化,-2.529,3.04,
000034,神州数码,-10.029,3.037,
300602,飞荣达,-2.201,3.03,
300685,艾德生物,1.518,3.013,
002790,瑞尔特,-4.844,3.013,
300039,上海凯宝,0.281,2.997,
600540,新赛股份,-6.451,2.993,
000676,智度股份,-7.289,2.977,
601360,三六零,-6.891,2.973,
601500,通用股份,-3.428,2.973,
002880,卫光生物,0.232,2.97,
300051,三五互联,-7.13,2.96,
600684,珠江实业,1.548,2.947,
300066,三川智慧,11.956,2.943,
300359,全通教育,-4.447,2.943,
002118,紫鑫药业,-2.764,2.933,
300191,潜能恒信,-6.209,2.927,
000558,莱茵体育,3.855,2.927,
300431,暴风集团,-5.597,2.923,
300530,达志科技,-2.844,2.92,
002606,大连电瓷,-6.076,2.913,
300374,恒通科技,-5.174,2.91,
002001,新 和 成,3.948,2.903,
300137,先河环保,-5.256,2.903,
300331,苏大维格,-2.608,2.897,
002746,仙坛股份,-4.116,2.893,
002129,中环股份,-3.746,2.883,
002766,索菱股份,-2.324,2.883,
300302,同有科技,-0.56,2.877,
300419,浩丰科技,-5.946,2.877,
300140,中环装备,3.271,2.877,
300541,先进数通,-3.219,2.867,
300425,环能科技,-4.278,2.867,
000554,泰山石油,-5.405,2.857,
300380,安硕信息,-6.385,2.857,
002477,雏鹰农牧,0.535,2.85,
000868,安凯客车,-5.258,2.85,
002769,普路通,-4.317,2.847,
002659,凯文教育,1.653,2.843,
000025,特 力Ａ,0.963,2.84,
300438,鹏辉能源,0.549,2.827,
300676,华大基因,-4.063,2.827,
600171,上海贝岭,-5.835,2.823,
000890,法 尔 胜,-4.037,2.823,
002709,天赐材料,-3.838,2.82,
002192,融捷股份,1.637,2.817,
002842,翔鹭钨业,-4.424,2.817,
300551,古鳌科技,1.169,2.81,
300691,联合光电,-3.068,2.807,
002281,光迅科技,-5.928,2.8,
300241,瑞丰光电,-3.066,2.797,
300450,先导智能,-7.571,2.797,
002181,粤 传 媒,1.916,2.79,
600389,江山股份,-1.0,2.787,
002024,苏宁易购,10.856,2.783,
002437,誉衡药业,9.906,2.78,
300329,海伦钢琴,-4.491,2.77,
300143,星普医科,8.195,2.767,
300165,天瑞仪器,1.502,2.763,
002680,长生生物,-1.401,2.757,
002868,绿康生化,0.624,2.757,
000822,山东海化,-9.512,2.757,
002455,百川股份,-0.129,2.753,
300452,山河药辅,-8.088,2.753,
000519,中兵红箭,-0.005,2.747,
300335,迪森股份,-3.815,2.743,
300636,同和药业,-0.176,2.74,
600562,国睿科技,5.144,2.737,
002368,太极股份,-4.473,2.727,
002405,四维图新,-6.864,2.723,
300508,维宏股份,-0.297,2.72,
000657,中钨高新,-1.017,2.72,
002852,道道全,-3.374,2.717,
002717,岭南股份,-8.832,2.713,
300651,金陵体育,0.536,2.713,
600216,浙江医药,-3.957,2.71,
600715,文投控股,2.176,2.707,
300078,思创医惠,-6.043,2.703,
002094,青岛金王,4.342,2.697,
600410,华胜天成,-6.545,2.693,
002818,富森美,-3.538,2.687,
002554,惠博普,-5.769,2.687,
300593,新雷能,1.274,2.67,
300437,清水源,-6.639,2.67,
002377,国创高新,2.494,2.667,
600822,上海物贸,5.218,2.657,
300365,恒华科技,0.045,2.653,
300650,太龙照明,-5.103,2.653,
300587,天铁股份,-1.066,2.65,
002562,兄弟科技,-4.061,2.643,
002524,光正集团,-8.516,2.637,
002870,香山股份,0.0,2.637,
002175,东方网络,-6.828,2.637,
600136,当代明诚,0.441,2.633,
601108,财通证券,-3.758,2.633,
002409,雅克科技,-7.377,2.63,
300098,高新兴,-11.659,2.63,
002601,龙蟒佰利,-6.901,2.63,
600093,易见股份,-6.783,2.623,
300633,开立医疗,-0.83,2.623,
300121,阳谷华泰,-8.164,2.62,
002188,*ST巴士,-0.615,2.62,
600889,南京化纤,-2.778,2.617,
000158,常山北明,-2.67,2.617,
300609,汇纳科技,-6.587,2.603,
300485,赛升药业,-5.447,2.603,
000788,北大医药,-2.039,2.6,
002496,辉丰股份,-8.294,2.597,
300575,中旗股份,2.276,2.593,
300583,赛托生物,-1.954,2.587,
300004,南风股份,-7.938,2.583,
600802,福建水泥,-3.796,2.58,
000988,华工科技,-6.302,2.577,
300417,南华仪器,-1.007,2.577,
000710,贝瑞基因,-3.257,2.573,
002785,万里石,-2.298,2.573,
002156,通富微电,-3.941,2.567,
300113,顺网科技,-5.125,2.56,
000691,亚太实业,4.411,2.557,
300533,冰川网络,-4.097,2.557,
300059,东方财富,-4.383,2.553,
002576,通达动力,-1.229,2.543,
002850,科达利,-0.271,2.537,
000938,紫光股份,-4.25,2.527,
002019,亿帆医药,-2.048,2.527,
300499,高澜股份,1.28,2.523,
600178,东安动力,3.248,2.507,
000017,深中华A,0.172,2.507,
002822,中装建设,-1.486,2.5,
300413,快乐购,6.142,2.487,
300681,英搏尔,-2.37,2.487,
000968,蓝焰控股,-11.15,2.473,
300259,新天科技,-11.907,2.473,
300484,蓝海华腾,-7.342,2.473,
000049,德赛电池,-3.677,2.47,
002185,华天科技,-8.828,2.463,
300316,晶盛机电,-11.411,2.46,
002768,国恩股份,-2.501,2.457,
600522,中天科技,-6.193,2.457,
600351,亚宝药业,2.875,2.453,
300134,大富科技,-4.83,2.45,
300576,容大感光,-2.501,2.447,
300440,运达科技,-0.342,2.447,
300025,华星创业,-5.6,2.44,
002110,三钢闽光,-8.204,2.437,
600698,湖南天雁,1.363,2.433,
600199,金种子酒,5.333,2.433,
000702,正虹科技,-4.685,2.433,
300559,佳发安泰,-8.78,2.433,
300006,莱美药业,-0.51,2.427,
300188,美亚柏科,-6.811,2.427,
600325,华发股份,1.521,2.423,
002695,煌上煌,-0.709,2.417,
300170,汉得信息,-4.598,2.417,
002876,三利谱,-0.238,2.413,
300053,欧比特,-5.662,2.413,
002843,泰嘉股份,-1.596,2.413,
002649,博彦科技,-9.006,2.413,
000701,厦门信达,-0.947,2.413,
000066,中国长城,-1.309,2.41,
600760,中航沈飞,-2.958,2.407,
300554,三超新材,-3.581,2.407,
002759,天际股份,-1.187,2.407,
001965,招商公路,1.678,2.39,
600285,羚锐制药,2.932,2.387,
002600,领益智造,-8.194,2.387,
601882,海天精工,-4.031,2.383,
002357,富临运业,-3.821,2.377,
002139,拓邦股份,-5.69,2.377,
600338,西藏珠峰,-5.688,2.373,
600746,江苏索普,-2.21,2.37,
300501,海顺新材,-2.667,2.363,
300147,香雪制药,-3.277,2.36,
300336,新文化,-0.282,2.357,
601228,广州港,-0.796,2.343,
002126,银轮股份,2.282,2.343,
002176,江特电机,-8.425,2.33,
000632,三木集团,-1.541,2.33,
002341,新纶科技,-2.11,2.33,
002859,洁美科技,0.579,2.32,
002223,鱼跃医疗,5.134,2.32,
002798,帝欧家居,-3.476,2.317,
002732,燕塘乳业,-1.062,2.317,
000733,振华科技,-4.748,2.31,
000600,建投能源,1.357,2.31,
000587,金洲慈航,-0.71,2.307,
300352,北信源,-4.774,2.303,
600838,上海九百,2.396,2.303,
600352,浙江龙盛,-3.582,2.3,
300020,银江股份,-8.03,2.297,
300010,立思辰,-5.79,2.293,
600846,同济科技,-0.973,2.29,
300075,数字政通,-6.054,2.287,
002824,和胜股份,-0.501,2.287,
300276,三丰智能,-6.375,2.287,
002354,天神娱乐,-12.581,2.287,
002195,二三四五,-6.012,2.28,
002329,皇氏集团,-4.119,2.273,
002222,福晶科技,-7.41,2.273,
002353,杰瑞股份,-5.84,2.27,
002839,张家港行,-3.827,2.267,
600345,长江通信,-0.108,2.267,
600845,宝信软件,-12.202,2.263,
002401,中远海科,-4.781,2.257,
300014,亿纬锂能,-7.695,2.253,
300625,三雄极光,-1.814,2.253,
300428,四通新材,-1.008,2.243,
002557,洽洽食品,3.321,2.233,
300476,胜宏科技,-8.158,2.23,
002742,三圣股份,-1.885,2.227,
300007,汉威科技,-6.573,2.227,
000533,万 家 乐,-0.63,2.227,
300197,铁汉生态,-15.824,2.227,
300208,恒顺众昇,-0.92,2.227,
600498,烽火通信,-5.449,2.22,
000605,渤海股份,-2.292,2.217,
600129,太极集团,9.743,2.21,
002220,天宝食品,5.384,2.203,
000806,银河生物,-6.935,2.203,
300064,豫金刚石,2.773,2.197,
300373,扬杰科技,-5.138,2.193,
300626,华瑞股份,-0.383,2.193,
002577,雷柏科技,1.315,2.19,
300168,万达信息,3.873,2.19,
002654,万润科技,-5.808,2.19,
002308,威创股份,-2.222,2.18,
000615,京汉股份,-2.412,2.18,
300679,电连技术,-1.379,2.18,
000681,视觉中国,-2.903,2.177,
600230,沧州大化,-4.382,2.173,
600803,新奥股份,-2.775,2.16,
002111,威海广泰,3.582,2.16,
300163,先锋新材,-4.586,2.16,
300488,恒锋工具,-2.679,2.16,
300327,中颖电子,-5.025,2.157,
