,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
1419,300035.SZ,中科电气,电气设备,3.0,5.993,18.889,-2.597,0.59,208719.4633
3040,601606.SH,长城军工,专用机械,3.0,6.599,21.022,-4.556,2.08,213860.0
150,000561.SZ,烽火电子,通信设备,3.0,6.545,20.841,0.528,0.93,409854.3862
1727,300345.SZ,红宇新材,钢加工,3.0,5.169,16.147,-4.852,0.23,151141.3119
1647,300265.SZ,通光线缆,电气设备,3.0,7.883,25.414,2.051,2.95,357302.0152
749,002288.SZ,超华科技,元器件,2.0,6.14,12.5,-7.761,0.17,374535.6648
576,002114.SZ,罗平锌电,铅锌,2.0,6.494,13.393,0.901,0.48,246413.6489
912,002451.SZ,摩恩电气,电气设备,2.0,5.946,12.212,-7.149,1.86,527994.8196
2819,600825.SH,新华传媒,出版业,2.0,6.769,13.889,-4.49,0.43,556925.2241
827,002366.SZ,台海核电,专用机械,2.0,7.848,16.267,2.239,0.72,545313.5116
167,000587.SZ,金洲慈航,批发业,2.0,7.767,16.078,8.511,0.39,359051.5076
140,000550.SZ,江铃汽车,汽车整车,2.0,8.195,17.032,-3.37,2.08,748090.3919
3133,603017.SH,中衡设计,建筑施工,2.0,10.043,21.095,-0.705,1.49,322292.6828
3174,603081.SH,大丰实业,专用机械,2.0,6.183,12.743,1.892,0.66,103842.27
3300,603360.SH,百傲化学,化工原料,2.0,6.28,12.953,-6.311,0.51,102559.4063
2493,600456.SH,宝钛股份,小金属,2.0,5.202,10.672,0.596,0.93,722846.376
844,002383.SZ,合众思壮,通信设备,2.0,8.115,16.851,-8.2,0.7,616883.0161
2349,600268.SH,国电南自,电气设备,2.0,9.982,20.961,8.019,1.38,351926.5244
2114,300746.SZ,汉嘉设计,建筑施工,2.0,5.429,10.944,-2.451,0.11,104516.2
1029,002569.SZ,步森股份,服饰,2.0,6.574,13.561,-5.026,0.33,143959.5465
1111,002651.SZ,利君股份,专用机械,2.0,5.287,10.843,1.467,0.34,192245.0446
1140,002680.SZ,*ST长生,生物制药,2.0,5.054,10.364,10.185,0.45,159020.5438
1382,002941.SZ,新疆交建,建筑施工,2.0,10.002,21.004,6.264,5.59,180115.0
1432,300048.SZ,合康新能,电气设备,2.0,5.534,11.344,-0.418,0.12,266827.0499
1444,300061.SZ,康旗股份,医疗保健,2.0,5.795,11.755,1.513,0.44,185194.5424
1449,300066.SZ,三川智慧,电器仪表,2.0,7.438,15.362,0.0,0.41,381487.1937
1508,300125.SZ,易世达,电气设备,2.0,6.145,12.52,-0.237,1.41,246173.6992
1514,300131.SZ,英唐智控,元器件,2.0,9.989,20.976,-4.429,0.49,394717.6199
76,000403.SZ,振兴生化,生物制药,2.0,5.029,10.309,-3.693,1.11,709647.203
1681,300299.SZ,富春股份,通信设备,2.0,9.96,20.911,-0.0,0.86,345461.5973
1719,300337.SZ,银邦股份,铝,2.0,10.024,21.053,8.571,0.86,322321.8054
1724,300342.SZ,天银机电,元器件,2.0,7.281,15.02,4.378,1.13,338414.1618
1738,300356.SZ,光一科技,电气设备,2.0,7.068,14.545,4.671,0.54,255559.1845
1833,300453.SZ,三鑫医疗,医疗保健,2.0,6.363,12.995,-1.543,2.27,112368.5703
1859,300479.SZ,神思电子,软件服务,2.0,5.626,11.374,-2.615,0.84,225600.0
874,002413.SZ,雷科防务,通信设备,2.0,6.084,12.386,2.617,0.72,614094.7623
3451,603738.SH,泰晶科技,元器件,2.0,5.775,11.701,-4.743,0.88,79098.6066
