,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_MINUS_COMBO,COL_LASTPRICE
56,000839.SZ,000839,中信国安,综合类,3.61,3.0,5.91
57,000007.SZ,000007,全新好,酒店餐饮,3.58,4.0,7.28
58,300443.SZ,300443,金雷股份,专用机械,3.57,4.0,17.89
59,601155.SH,601155,新城控股,区域地产,3.56,3.0,41.36
60,000955.SZ,000955,欣龙控股,纺织,3.5,3.0,5.94
61,000009.SZ,000009,中国宝安,综合类,3.49,3.0,6.85
62,000560.SZ,000560,我爱我家,房产服务,3.49,5.0,6.94
63,000750.SZ,000750,国海证券,证券,3.41,3.0,5.72
64,601929.SH,601929,吉视传媒,影视音像,3.41,3.0,2.9
65,600376.SH,600376,首开股份,区域地产,3.39,4.0,9.15
66,002920.SZ,002920,德赛西威,汽车配件,3.38,4.0,26.98
67,300347.SZ,300347,泰格医药,医疗保健,3.36,4.0,60.5
68,000678.SZ,000678,襄阳轴承,机械基件,3.27,4.0,8.86
69,000665.SZ,000665,湖北广电,影视音像,3.26,3.0,9.39
70,002581.SZ,002581,未名医药,生物制药,3.19,3.0,7.99
71,600720.SH,600720,祁连山,水泥,3.18,4.0,8.5
72,000506.SZ,000506,中润资源,区域地产,3.17,3.0,3.56
73,600101.SH,600101,明星电力,水力发电,3.16,3.0,8.79
74,000720.SZ,000720,*ST新能,火力发电,3.14,3.0,5.54
75,300284.SZ,300284,苏交科,建筑施工,3.06,6.0,12.27
76,300721.SZ,300721,怡达股份,化工原料,3.01,4.0,21.41
77,600875.SH,600875,东方电气,电气设备,2.99,3.0,10.3
78,000155.SZ,000155,川能动力,农药化肥,2.97,3.0,4.71
79,603486.SH,603486,科沃斯,家用电器,2.96,6.0,58.45
80,603733.SH,603733,仙鹤股份,造纸,2.96,3.0,19.42
81,600421.SH,600421,ST仰帆,机械基件,2.93,3.0,12.66
82,600230.SH,600230,沧州大化,农药化肥,2.9,4.0,20.28
83,300593.SZ,300593,新雷能,电气设备,2.9,3.0,20.02
84,600409.SH,600409,三友化工,化工原料,2.83,3.0,6.76
85,600084.SH,600084,中葡股份,红黄药酒,2.81,3.0,3.41
86,002137.SZ,002137,麦达数字,互联网,2.78,3.0,7.62
87,600581.SH,600581,八一钢铁,普钢,2.76,4.0,4.81
88,300032.SZ,300032,金龙机电,元器件,2.7,3.0,3.75
89,300352.SZ,300352,北信源,软件服务,2.66,3.0,6.0
90,600031.SH,600031,三一重工,工程机械,2.66,4.0,12.09
91,000338.SZ,000338,潍柴动力,汽车配件,2.64,3.0,11.24
92,600959.SH,600959,江苏有线,影视音像,2.64,3.0,5.4
93,603203.SH,603203,快克股份,专用机械,2.63,5.0,24.85
94,000899.SZ,000899,赣能股份,火力发电,2.63,4.0,5.6
95,002242.SZ,002242,九阳股份,家用电器,2.59,3.0,21.48
96,603658.SH,603658,安图生物,医疗保健,2.55,6.0,62.88
97,300113.SZ,300113,顺网科技,互联网,2.52,3.0,16.68
98,600048.SH,600048,保利地产,全国地产,2.5,4.0,13.33
99,002229.SZ,002229,鸿博股份,广告包装,2.48,3.0,8.67
100,600061.SH,600061,国投资本,证券,2.47,3.0,13.06
101,300011.SZ,300011,鼎汉技术,运输设备,2.45,3.0,7.28
102,300682.SZ,300682,朗新科技,软件服务,2.44,3.0,22.34
103,300261.SZ,300261,雅本化学,农药化肥,2.43,3.0,6.02
104,300212.SZ,300212,易华录,软件服务,2.41,6.0,28.3
105,603919.SH,603919,金徽酒,白酒,2.41,3.0,14.8
106,600439.SH,600439,瑞贝卡,服饰,2.4,4.0,3.62
107,300090.SZ,300090,盛运环保,环境保护,2.4,3.0,2.45
108,603798.SH,603798,康普顿,石油加工,2.4,3.0,11.65
109,601200.SH,601200,上海环境,环境保护,2.39,4.0,15.3
110,002011.SZ,002011,盾安环境,工程机械,2.38,3.0,5.98
111,600116.SH,600116,三峡水利,水力发电,2.36,3.0,9.47
112,002427.SZ,002427,*ST尤夫,化纤,2.36,5.0,16.06
113,603871.SH,603871,嘉友国际,仓储物流,2.35,3.0,48.64
114,601028.SH,601028,玉龙股份,钢加工,2.34,5.0,5.57
115,600340.SH,600340,华夏幸福,区域地产,2.34,6.0,30.44
116,600551.SH,600551,时代出版,出版业,2.34,3.0,10.26
117,600600.SH,600600,青岛啤酒,啤酒,2.32,6.0,38.22
118,601186.SH,601186,中国铁建,建筑施工,2.31,4.0,11.16
119,002244.SZ,002244,滨江集团,区域地产,2.3,5.0,4.52
120,000617.SZ,000617,中油资本,多元金融,2.26,3.0,13.42
121,002146.SZ,002146,荣盛发展,全国地产,2.26,4.0,10.6
122,002332.SZ,002332,仙琚制药,生物制药,2.24,3.0,8.37
123,600329.SH,600329,中新药业,中成药,2.23,3.0,15.09
124,600165.SH,600165,新日恒力,钢加工,2.21,4.0,5.16
125,002272.SZ,002272,川润股份,机械基件,2.21,3.0,5.24
126,002773.SZ,002773,康弘药业,中成药,2.21,3.0,48.67
127,000416.SZ,000416,民生控股,多元金融,2.2,3.0,5.11
128,002898.SZ,002898,赛隆药业,化学制药,2.2,5.0,16.07
129,600830.SH,600830,香溢融通,多元金融,2.2,3.0,6.36
130,603198.SH,603198,迎驾贡酒,白酒,2.19,4.0,17.07
131,600691.SH,600691,阳煤化工,农药化肥,2.14,6.0,2.85
132,000528.SZ,000528,柳工,工程机械,2.14,4.0,7.45
133,601016.SH,601016,节能风电,新型电力,2.14,3.0,3.09
134,600490.SH,600490,鹏欣资源,铜,2.13,4.0,5.86
135,000708.SZ,000708,大冶特钢,特种钢,2.13,4.0,11.92
136,600090.SH,600090,同济堂,医药商业,2.12,4.0,6.04
137,601881.SH,601881,中国银河,证券,2.11,3.0,10.72
138,603583.SH,603583,捷昌驱动,电气设备,2.11,6.0,69.35
139,601949.SH,601949,中国出版,出版业,2.1,3.0,5.68
140,600449.SH,600449,宁夏建材,水泥,2.1,4.0,9.38
141,601999.SH,601999,出版传媒,出版业,2.08,3.0,6.57
142,600748.SH,600748,上实发展,全国地产,2.07,3.0,8.78
143,002336.SZ,002336,人人乐,超市连锁,2.06,4.0,7.27
144,600393.SH,600393,粤泰股份,全国地产,2.0,3.0,2.81
145,601099.SH,601099,太平洋,证券,2.0,3.0,3.97
146,002199.SZ,002199,东晶电子,元器件,1.99,4.0,13.58
147,002910.SZ,002910,庄园牧场,乳制品,1.97,3.0,13.32
148,603227.SH,603227,雪峰科技,化工原料,1.95,3.0,4.78
149,300666.SZ,300666,江丰电子,元器件,1.93,3.0,44.03
150,601375.SH,601375,中原证券,证券,1.93,3.0,5.88
151,603886.SH,603886,元祖股份,食品,1.92,3.0,22.96
152,600557.SH,600557,康缘药业,中成药,1.91,3.0,13.17
153,002354.SZ,002354,天神娱乐,互联网,1.9,3.0,5.61
154,600545.SH,600545,卓郎智能,纺织机械,1.89,4.0,8.21
155,600585.SH,600585,海螺水泥,水泥,1.86,3.0,36.04
156,600068.SH,600068,葛洲坝,建筑施工,1.84,4.0,7.05
157,600712.SH,600712,南宁百货,百货,1.82,3.0,4.64
158,600256.SH,600256,广汇能源,石油开采,1.81,5.0,4.28
159,601377.SH,601377,兴业证券,证券,1.8,3.0,6.7
160,000423.SZ,000423,东阿阿胶,中成药,1.8,6.0,46.58
161,002173.SZ,002173,创新医疗,医疗保健,1.79,3.0,8.53
162,600740.SH,600740,山西焦化,焦炭加工,1.75,6.0,9.19
163,002774.SZ,002774,快意电梯,运输设备,1.74,3.0,10.3
164,002778.SZ,002778,高科石化,石油加工,1.73,4.0,19.91
165,300578.SZ,300578,会畅通讯,通信设备,1.73,3.0,22.84
166,000791.SZ,000791,甘肃电投,水力发电,1.71,4.0,6.39
167,300368.SZ,300368,汇金股份,专用机械,1.69,3.0,8.52
168,002634.SZ,002634,棒杰股份,服饰,1.69,3.0,6.05
169,600571.SH,600571,信雅达,软件服务,1.67,3.0,10.36
170,603699.SH,603699,纽威股份,专用机械,1.66,3.0,12.15
171,603968.SH,603968,醋化股份,化工原料,1.62,4.0,14.84
172,000672.SZ,000672,上峰水泥,水泥,1.6,4.0,10.57
173,601900.SH,601900,南方传媒,出版业,1.6,3.0,9.31
174,000838.SZ,000838,财信发展,区域地产,1.59,3.0,3.92
175,000498.SZ,000498,山东路桥,建筑施工,1.52,3.0,6.02
176,002693.SZ,002693,双成药业,化学制药,1.52,3.0,4.9
177,600757.SH,600757,长江传媒,出版业,1.5,3.0,7.36
178,002071.SZ,002071,长城影视,影视音像,1.5,3.0,5.3
179,002716.SZ,002716,金贵银业,小金属,1.5,3.0,8.31
180,600587.SH,600587,新华医疗,医疗保健,1.49,3.0,15.16
181,300487.SZ,300487,蓝晓科技,化工原料,1.46,3.0,33.49
182,000415.SZ,000415,渤海租赁,多元金融,1.46,4.0,4.51
183,002348.SZ,002348,高乐股份,文教休闲,1.46,3.0,3.9
184,002052.SZ,002052,同洲电子,通信设备,1.45,3.0,4.73
185,603628.SH,603628,清源股份,电气设备,1.44,5.0,9.11
186,000906.SZ,000906,浙商中拓,批发业,1.41,3.0,5.8
187,000822.SZ,000822,山东海化,化工原料,1.39,6.0,5.67
188,000757.SZ,000757,浩物股份,汽车配件,1.38,4.0,5.62
189,002591.SZ,002591,恒大高新,化工原料,1.37,4.0,7.8
190,600059.SH,600059,古越龙山,红黄药酒,1.36,4.0,7.84
191,000002.SZ,000002,万科A,全国地产,1.35,4.0,28.29
192,002893.SZ,002893,华通热力,供气供热,1.34,4.0,15.72
193,000952.SZ,000952,广济药业,化学制药,1.33,3.0,11.14
194,002068.SZ,002068,黑猫股份,化工原料,1.33,4.0,6.59
195,600575.SH,600575,皖江物流,水运,1.33,3.0,2.77
196,603179.SH,603179,新泉股份,汽车配件,1.31,4.0,17.39
197,000932.SZ,000932,华菱钢铁,普钢,1.27,4.0,7.47
198,600637.SH,600637,东方明珠,影视音像,1.27,3.0,12.44
199,000544.SZ,000544,中原环保,环境保护,1.26,4.0,6.09
200,601933.SH,601933,永辉超市,超市连锁,1.24,5.0,8.26
201,603028.SH,603028,赛福天,钢加工,1.23,3.0,8.54
202,601318.SH,601318,中国平安,保险,1.22,4.0,72.69
203,300251.SZ,300251,光线传媒,影视音像,1.22,3.0,8.52
204,300306.SZ,300306,远方信息,电器仪表,1.21,3.0,9.54
205,600123.SH,600123,兰花科创,煤炭开采,1.2,3.0,7.67
206,002644.SZ,002644,佛慈制药,中成药,1.19,3.0,8.57
207,300649.SZ,300649,杭州园林,建筑施工,1.18,5.0,25.41
208,601163.SH,601163,三角轮胎,汽车配件,1.18,3.0,13.1
209,601116.SH,601116,三江购物,超市连锁,1.14,5.0,12.99
210,300599.SZ,300599,雄塑科技,塑料,1.13,4.0,11.85
211,601808.SH,601808,中海油服,石油开采,1.11,3.0,9.69
212,601101.SH,601101,昊华能源,煤炭开采,1.1,3.0,6.74
213,603979.SH,603979,金诚信,建筑施工,1.09,3.0,8.68
214,601899.SH,601899,紫金矿业,黄金,1.08,3.0,3.5
215,603018.SH,603018,中设集团,建筑施工,1.05,3.0,21.01
216,603665.SH,603665,康隆达,纺织,1.03,5.0,26.05
217,300047.SZ,300047,天源迪科,软件服务,1.01,3.0,16.63
218,002277.SZ,002277,友阿股份,百货,0.99,3.0,4.01
219,600029.SH,600029,南方航空,空运,0.97,6.0,7.83
220,002101.SZ,002101,广东鸿图,机械基件,0.95,5.0,9.07
221,300442.SZ,300442,普丽盛,轻工机械,0.88,3.0,14.91
222,600802.SH,600802,福建水泥,水泥,0.88,4.0,8.52
223,000959.SZ,000959,首钢股份,普钢,0.87,4.0,4.3
224,600089.SH,600089,特变电工,电气设备,0.87,4.0,8.12
225,601009.SH,601009,南京银行,银行,0.86,3.0,7.68
226,000719.SZ,000719,中原传媒,出版业,0.86,3.0,8.9
227,600674.SH,600674,川投能源,水力发电,0.84,5.0,9.26
228,000937.SZ,000937,冀中能源,煤炭开采,0.82,3.0,4.23
229,601966.SH,601966,玲珑轮胎,汽车配件,0.81,3.0,16.7
230,603096.SH,603096,新经典,出版业,0.8,3.0,57.12
231,600429.SH,600429,三元股份,乳制品,0.8,5.0,5.69
232,603855.SH,603855,华荣股份,专用机械,0.65,3.0,9.14
233,002616.SZ,002616,长青集团,环境保护,0.64,3.0,8.64
234,002536.SZ,002536,西泵股份,汽车配件,0.45,3.0,10.78
