,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FLOAT_HOLDERS
40,002052.SZ,002052,*ST同洲,通信设备,1.43,"平安基金-平安银行-深圳平安大华汇通财富管理有限公司
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金"
41,002219.SZ,002219,*ST恒康,中成药,1.44,"四川产业振兴发展投资基金有限公司
长安基金-工商银行-华鑫信托-鑫康财富3号单一资金信托
新余恒道资产管理中心(有限合伙)
盛世金泉(天津)股权投资基金管理有限公司
上海朴沃资产管理有限公司"
42,002175.SZ,002175,*ST东网,电器仪表,1.44,
43,002356.SZ,002356,*ST赫美,其他商业,1.46,
44,000760.SZ,000760,*ST斯太,汽车配件,1.47,
45,002147.SZ,002147,*ST新光,区域地产,1.49,"信诚基金-中信银行-信诚基金定众1号分级资产管理计划
光大保德信资管-浦发银行-光大保德信耀财富富增4号专项资产管理计划
光大保德信资管-浦发银行-光大保德信耀财富富增6号分级专项资产管理计划
申万菱信基金-工商银行-创盈定增71号资产管理计划
泰达宏利基金-平安银行-龚品忠"
46,300362.SZ,300362,天翔环境,环境保护,1.49,东海瑞京资产-上海银行-东海瑞京-瑞龙11号专项资产管理计划
47,600280.SH,600280,*ST中商,百货,1.5,
48,002247.SZ,002247,*ST聚力,互联网,1.52,
49,002426.SZ,002426,*ST胜利,元器件,1.52,"东吴创业投资有限公司-证券行业支持民企发展系列之东吴证券1号私募股权投资基金(契约型)
北京元丰达资产管理有限公司"
50,002418.SZ,002418,*ST康盛,机械基件,1.53,
51,600595.SH,600595,ST中孚,铝,1.55,
52,600777.SH,600777,新潮能源,石油开采,1.56,"大业信托有限责任公司-大业信托·聚鑫25号(启坤-新潮能源)集合资金信托计划
大业信托有限责任公司-大业信托·聚鑫26号(骏祥-新潮能源)集合资金信托计划"
53,600221.SH,600221,海航控股,空运,1.57,"招商财富-建设银行-中信信托-中信·航源金融投资集合资金信托计划
华福基金-兴业银行-长安国际信托-长安信托·海航定增1号单一资金信托
中铁信托有限责任公司-中铁信托·海南航空定向增发权益投资集合资金信托计划
中信建投基金-华夏银行-西藏信托-西藏信托-顺景27号单一资金信托"
54,002716.SZ,002716,*ST金贵,小金属,1.57,"金鹰基金-浙商银行-万向信托-万向信托-星辰45号事务管理类单一资金信托
中融国际信托有限公司-中融-融颐6号股票收益权投资集合资金信托计划
上海爱建信托有限责任公司
北信瑞丰基金-浦发银行-北京国际信托-北京信托·轻盐丰收理财2015015号集合资金信托计划"
55,000509.SZ,000509,*ST华塑,医疗保健,1.59,
56,600307.SH,600307,酒钢宏兴,普钢,1.59,"基本养老保险基金一三零一组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
57,600666.SH,600666,ST瑞德,元器件,1.6,"黑龙江省天琪投资管理有限公司-天琪利翻一号私募投资基金
黑龙江省天琪投资管理有限公司-天琪泉沿二号私募投资基金"
58,000669.SZ,000669,*ST金鸿,供气供热,1.6,中央汇金资产管理有限责任公司
59,000536.SZ,000536,*ST华映,元器件,1.6,"中国长城资产管理股份有限公司
华泰资产管理有限公司-策略投资产品
中信银行股份有限公司-建信中证500指数增强型证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
60,300116.SZ,300116,坚瑞沃能,电气设备,1.6,"上海国泰君安君彤投资管理有限公司-君彤二期投资基金
兴业财富资产-兴业银行-兴业财富-兴利190号特定多客户资产管理计划"
61,600654.SH,600654,ST中安,软件服务,1.61,"国金证券-浦发银行-国金中安消增持1号集合资产管理计划
云南国际信托有限公司-聚利11号单一资金信托"
62,002176.SZ,002176,*ST江特,电气设备,1.61,"中央企业贫困地区(江西)产业投资基金合伙企业(有限合伙)
财通基金-宁波银行-财通基金-安吉62号单一资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
财通基金-宁波银行-财通基金-安吉61号单一资产管理计划
天津远方资产管理有限公司-扬州远方产业扶持基金合伙企业(有限合伙)"
63,600311.SH,600311,*ST荣华,黄金,1.61,"中信证券股份有限公司-前海开源金银珠宝主题精选灵活配置混合型证券投资基金
交通银行股份有限公司-前海开源多元策略灵活配置混合型证券投资基金
交通银行股份有限公司-前海开源沪港深核心资源灵活配置混合型证券投资基金"
64,002005.SZ,002005,*ST德豪,家用电器,1.66,"国寿安保基金-广发银行-华鑫信托-华鑫信托·慧智投资105号集合资金信托计划
陕西省国际信托股份有限公司-陕国投·聚宝盆5号证券投资集合资金信托计划
建信基金-兴业银行-华鑫信托-华鑫信托·慧智投资103号集合资金信托计划
北信瑞丰基金-招商银行-华鑫国际信托-华鑫信托·慧智投资104号集合资金信托计划"
65,002445.SZ,002445,*ST中南,影视音像,1.68,北京中融鼎新投资管理有限公司-中融鼎新-鼎融嘉盈6号投资基金
66,002280.SZ,002280,联络互动,软件服务,1.68,"广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
深圳平安汇通投资-包商银行-中融国际信托-中融-融巽晟财1号集合资金信托计划"
67,002656.SZ,002656,ST摩登,服饰,1.69,中央汇金资产管理有限责任公司
68,601005.SH,601005,重庆钢铁,普钢,1.69,
69,002086.SZ,002086,ST东海洋,渔业,1.7,
70,600462.SH,600462,*ST九有,互联网,1.71,"共青城乾和投资管理有限公司-乾和投资卓越1号专户私募基金
中国东方资产管理股份有限公司"
71,601880.SH,601880,大连港,港口,1.72,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
72,600247.SH,600247,ST成城,商贸代理,1.73,
73,000595.SZ,000595,*ST宝实,机械基件,1.73,
74,600871.SH,600871,石化油服,石油开采,1.75,"东海基金-兴业银行-华鑫信托-慧智投资49号结构化集合资金信托计划
东海基金-兴业银行-华鑫信托-慧智投资47号结构化集合资金信托计划
华安基金-兴业银行-中国对外经济贸易信托有限公司
香港中央结算有限公司(陆股通)
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)"
75,000806.SZ,000806,*ST银河,生物制药,1.77,
76,601388.SH,601388,怡球资源,铝,1.78,
77,600225.SH,600225,*ST松江,区域地产,1.79,
78,603555.SH,603555,*ST贵人,服饰,1.81,"厦门国际信托有限公司-贵人鸟1号员工持股单一资金信托
华夏基金-中央汇金资产管理有限责任公司-华夏基金-汇金资管单一资产管理计划"
79,300431.SZ,300431,暴风集团,互联网,1.81,
80,002447.SZ,002447,*ST晨鑫,互联网,1.82,
81,600653.SH,600653,申华控股,汽车服务,1.83,
82,000980.SZ,000980,众泰汽车,汽车配件,1.83,"长城(德阳)长富投资基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
83,600795.SH,600795,国电电力,火力发电,1.86,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划"
84,600408.SH,600408,ST安泰,焦炭加工,1.87,
85,600166.SH,600166,福田汽车,汽车整车,1.87,中央汇金资产管理有限责任公司
86,600759.SH,600759,洲际油气,石油开采,1.89,"易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单-资产管理计划
易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划"
87,000572.SZ,000572,ST海马,汽车整车,1.9,"嘉实基金-农业银行-嘉实中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划"
88,601866.SH,601866,中远海发,水运,1.91,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
兴业全球基金-上海银行-中国海运(集团)总公司"
89,002031.SZ,002031,巨轮智能,汽车配件,1.91,中央汇金资产管理有限责任公司
90,000683.SZ,000683,远兴能源,化工原料,1.92,"北京中稷弘立资产管理有限公司
中信建投基金-广州农商银行-华鑫国际信托-华鑫信托·153号证券投资集合资金信托计划
上海塔彧毅股权投资基金(上海)中心(有限合伙)
中国信达资产管理股份有限公司
香港中央结算有限公司(陆股通)
中国信达资产管理股份有限公司
北京中稷弘立资产管理有限公司
中信建投基金-广州农商银行-华鑫国际信托-华鑫信托·153号证券投资集合资金信托计划
香港中央结算有限公司(陆股通)
上海塔彧毅股权投资基金(上海)中心(有限合伙)"
91,600726.SH,600726,华电能源,火力发电,1.93,
92,002021.SZ,002021,ST中捷,纺织机械,1.93,
93,002102.SZ,002102,ST冠福,化学制药,1.93,
94,600103.SH,600103,青山纸业,造纸,1.94,中信建投基金-中信证券-中信建投基金定增10号资产管理计划
95,600691.SH,600691,阳煤化工,农药化肥,1.94,云南国际信托有限公司-源盛恒瑞21号集合资金信托计划
96,600169.SH,600169,太原重工,工程机械,1.94,"中央汇金资产管理有限责任公司
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划"
97,000630.SZ,000630,铜陵有色,铜,1.95,香港中央结算有限公司(陆股通)
98,600112.SH,600112,ST天成,电气设备,1.96,
99,300185.SZ,300185,通裕重工,工程机械,1.97,中央汇金资产管理有限责任公司
100,000882.SZ,000882,华联股份,其他商业,1.98,香港中央结算有限公司(陆股通)
101,600162.SH,600162,香江控股,全国地产,1.99,"前海开源基金-浦发银行-中融国际信托-中融-融珲62号单一资金信托
深圳市香江股权投资管理有限公司-香江汇通一期证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
102,300064.SZ,300064,豫金刚石,矿物制品,2.02,香港中央结算有限公司(陆股通)
103,600652.SH,600652,ST游久,互联网,2.04,
104,600321.SH,600321,正源股份,其他建材,2.05,
105,002305.SZ,002305,南国置业,区域地产,2.05,"东吴基金-上海银行-渤海国际信托股份有限公司
东吴基金-上海银行-东吴鼎利6020号资产管理计划"
106,600121.SH,600121,郑州煤电,煤炭开采,2.06,中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
107,002630.SZ,002630,华西能源,专用机械,2.06,"陕西省国际信托股份有限公司-陕国投·持盈27号证券投资集合资金信托计划
创金合信基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托
上海梵贝资产管理有限公司-上海梵贝祥景一号私募证券投资基金"
108,000629.SZ,000629,攀钢钒钛,小金属,2.09,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划"
109,000420.SZ,000420,吉林化纤,化纤,2.09,财通基金-上海银行-王锋
110,600219.SH,600219,南山铝业,铝,2.09,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划"
111,600816.SH,600816,*ST安信,多元金融,2.1,"香港中央结算有限公司(陆股通)
易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划
上海方圆达创投资合伙企业(有限合伙)-方圆-东方43号私募投资基金"
112,600331.SH,600331,宏达股份,铅锌,2.11,
113,000709.SZ,000709,河钢股份,普钢,2.13,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金"
114,600725.SH,600725,ST云维,焦炭加工,2.13,中国信达资产管理股份有限公司
115,600743.SH,600743,华远地产,区域地产,2.13,中央汇金资产管理有限责任公司
116,601991.SH,601991,大唐发电,火力发电,2.14,"中央汇金资产管理有限责任公司
中信信托有限责任公司-中信民生财富2期指定型结构化证券投资集合资金信托计划
香港中央结算有限公司(陆股通)"
117,600569.SH,600569,安阳钢铁,普钢,2.14,中央汇金资产管理有限责任公司
118,603996.SH,603996,*ST中新,家用电器,2.16,
119,600698.SH,600698,ST天雁,汽车配件,2.16,
120,600575.SH,600575,淮河能源,水运,2.17,"国都证券-淮北皖淮投资有限公司-国都创鑫1号单一资产管理计划
上海淮矿资产管理有限公司
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
121,002269.SZ,002269,美邦服饰,服饰,2.17,"中央汇金资产管理有限责任公司
华宝信托有限责任公司-聚鑫8号证券投资信托计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划"
122,002259.SZ,002259,*ST升达,供气供热,2.17,"华宝信托有限责任公司-华宝宝升宏达集合资金信托计划
诺安资产-工商银行-诺安资管舜耕天禾2号资产管理计划"
123,601929.SH,601929,吉视传媒,影视音像,2.18,中央汇金资产管理有限责任公司
124,601016.SH,601016,节能风电,新型电力,2.19,"华安基金-兴业银行-广西铁路发展投资基金(有限合伙)
全国社会保障基金理事会转持二户
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
全国社会保障基金理事会
华宝信托有限责任公司"
125,002471.SZ,002471,中超控股,电气设备,2.2,深圳市鑫腾华资产管理有限公司
126,000809.SZ,000809,铁岭新城,区域地产,2.2,
127,002586.SZ,002586,*ST围海,建筑工程,2.2,浙江东睿资产管理有限公司
128,000890.SZ,000890,*ST胜尔,钢加工,2.21,"北京隆翔资产管理有限公司-隆翔3号私募证券投资基金
中国光大银行股份有限公司-国金量化多策略灵活配置混合型证券投资基金"
129,600317.SH,600317,营口港,港口,2.21,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划"
130,300237.SZ,300237,美晨生态,建筑工程,2.22,"九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划
陕西省国际信托股份有限公司-陕国投·金元宝68号证券投资集合资金信托计划"
131,000897.SZ,000897,津滨发展,区域地产,2.24,"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划"
132,600187.SH,600187,国中水务,水务,2.24,"中央汇金资产管理有限责任公司
上海方圆达创投资合伙企业(有限合伙)-方圆-东方11号私募投资基金"
133,601000.SH,601000,唐山港,港口,2.25,"云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
134,000767.SZ,000767,漳泽电力,火力发电,2.25,"国电投华泽(天津)资产管理有限公司
中投知本汇(北京)资产管理有限公司-晋商1号私募投资基金
中投知本汇(北京)资产管理有限公司-晋商2号私募投资基金
泰达宏利基金-招商银行-华创证券有限责任公司
华安未来资产-工商银行-中航信托-天顺(2016)322号华安未来定增投资单一资金信托
国开泰富基金-光大银行-华鑫国际信托-华鑫信托·专户投资2号单一资金信托
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)"
135,601333.SH,601333,广深铁路,铁路,2.26,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
嘉实基金-农业银行-嘉实中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划"
136,000552.SZ,000552,靖远煤电,煤炭开采,2.26,"平安大华基金-平安银行-中融国际信托-财富骐骥定增5号集合资金信托计划
诺安基金-兴业证券-中国光大银行股份有限公司"
137,300135.SZ,300135,宝利国际,化工原料,2.27,中国建设银行股份有限公司-广发中证全指建筑材料指数型发起式证券投资基金
138,002263.SZ,002263,大东南,塑料,2.28,
139,002505.SZ,002505,大康农业,农业综合,2.28,"中信银行股份有限公司-建信中证500指数增强型证券投资基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中信银行股份有限公司-建信中证500指数增强型证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
140,600744.SH,600744,华银电力,火力发电,2.28,创金合信基金-招商银行-湖南轻盐创投定增资产管理计划
141,601518.SH,601518,吉林高速,路桥,2.3,
142,000659.SZ,000659,珠海中富,广告包装,2.3,
143,600231.SH,600231,凌钢股份,普钢,2.31,"宁波宁聚资产管理中心(有限合伙)-宁聚量化精选证券投资基金
宁波宁聚资产管理中心(有限合伙)-宁聚满天星2期对冲基金
宁波宁聚资产管理中心(有限合伙)-宁聚量化稳盈优享私募证券投资基金"
144,600339.SH,600339,中油工程,石油加工,2.32,"中国光大银行股份有限公司-招商瑞阳股债配置混合型证券投资基金
九泰基金-广发银行-中兵投资管理有限责任公司
北信瑞丰基金-工商银行-北京恒宇天泽投资管理有限公司-恒宇天泽盈-赢二号私募投资基金
北信瑞丰基金-浦发银行-北京国际信托-北京信托·轻盐丰收理财2015015号集合资金信托计划"
145,300152.SZ,300152,科融环境,环境保护,2.32,北京龙杉伟业资本投资有限公司-龙杉稳健成长私募证券投资基金
146,300343.SZ,300343,联创股份,互联网,2.34,
147,300071.SZ,300071,华谊嘉信,广告包装,2.34,杭州福石资产管理有限公司
148,000506.SZ,000506,中润资源,黄金,2.34,共青城蕴沣资产管理有限公司-蕴沣创世3号证券投资私募基金
149,300217.SZ,300217,东方电热,电器仪表,2.34,中央汇金资产管理有限责任公司
150,600226.SH,600226,瀚叶股份,互联网,2.35,
151,002619.SZ,002619,艾格拉斯,互联网,2.35,日照银杏树股权投资基金(有限合伙)
152,002470.SZ,002470,金正大,农药化肥,2.36,"中国农业产业发展基金有限公司
北京东富汇通投资管理中心(有限合伙)-东富和通(天津)股权投资基金合伙企业(有限合伙)
鑫牛润瀛(天津)股权投资基金管理有限公司-北京京粮鑫牛润瀛股权投资基金(有限合伙)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-富国中证500指数增强型证券投资基金(LOF)
现代种业发展基金有限公司"
153,002663.SZ,002663,普邦股份,建筑工程,2.36,"中央汇金资产管理有限责任公司
华能贵诚信托有限公司-华能信托·普邦1号集合资金信托计划
华泰证券资管-招商银行-华泰聚力8号集合资产管理计划"
154,000780.SZ,000780,*ST平能,煤炭开采,2.36,中央汇金资产管理有限责任公司
155,600084.SH,600084,ST中葡,红黄酒,2.37,
156,000017.SZ,000017,*ST中华A,文教休闲,2.38,
157,600968.SH,600968,海油发展,石油开采,2.38,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金
中国建设银行-上证180交易型开放式指数证券投资基金
中国工商银行股份有限公司-华夏沪深300交易型开放式指数证券投资基金"
158,600159.SH,600159,大龙地产,区域地产,2.41,领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
159,002526.SZ,002526,山东矿机,工程机械,2.43,
160,002076.SZ,002076,*ST雪莱,家用电器,2.43,
161,300111.SZ,300111,向日葵,半导体,2.44,
162,002504.SZ,002504,弘高创意,装修装饰,2.44,
163,600396.SH,600396,金山股份,火力发电,2.45,
164,601975.SH,601975,招商南油,水运,2.46,"中国长城资产管理股份有限公司
中国长城资产管理股份有限公司
中国长城资产管理股份有限公司"
165,002638.SZ,002638,勤上股份,文教休闲,2.46,
166,601918.SH,601918,新集能源,煤炭开采,2.48,
167,300247.SZ,300247,融捷健康,医疗保健,2.49,安徽高新毅达皖江产业发展创业投资基金(有限合伙)
168,000517.SZ,000517,荣安地产,区域地产,2.49,香港中央结算有限公司(陆股通)
169,300370.SZ,300370,安控科技,电器仪表,2.49,
