,COL_CONCEPT,COL_AVERAGE_EIGEN_SLOPE
126,阿里巴巴概念股,4.74
127,宁德时代概念股,4.67
128,雄安-智慧城市,4.63
129,铁总混改,4.63
130,粤港澳大湾区,4.63
131,大基建,4.61
132,跨境电商,4.6
133,动物保健,4.59
134,医疗器械,4.55
135,石墨烯,4.54
136,安徽国企改革,4.54
137,高校系,4.52
138,无人机,4.51
139,3D玻璃,4.5
140,新进指数成份股,4.48
141,体外诊断,4.48
142,家具家居,4.47
143,特高压,4.45
144,维生素,4.4
145,LED,4.39
146,网络安全,4.38
147,体育产业,4.38
148,高送转,4.3
149,土地流转,4.29
150,健康中国,4.26
151,煤炭,4.23
152,腾讯概念股,4.23
153,移动支付,4.22
154,光通信,4.2
155,机械,4.2
156,农药,4.18
157,化肥,4.17
158,碳交易,4.16
159,知识产权,4.16
160,旅游,4.1
161,中韩自贸区,4.1
162,年报季报,4.08
163,港口,4.08
164,疫苗,4.01
165,福建自贸区,3.98
166,有色金属,3.95
167,新零售,3.92
168,安邦系,3.9
169,二胎,3.89
170,影视,3.86
171,股权争夺,3.8
172,装配式建筑,3.79
173,无人商店,3.73
174,OLED,3.72
175,苹果产业链,3.68
176,小米概念股,3.68
177,人民币贬值受益,3.67
178,内蒙古,3.65
179,VR&AR,3.64
180,期货概念,3.62
181,上海国企改革,3.59
182,宝能系,3.59
183,水电,3.53
184,眼科,3.53
185,林业,3.52
186,供应链金融,3.52
187,赛马,3.51
188,冷链,3.5
189,无人银行,3.47
190,黄金,3.44
191,信托,3.38
192,乳业（奶粉）,3.37
193,科创板概念股,3.31
194,参股券商,3.29
195,PD-1抑制剂,3.28
196,东盟博览会,3.27
197,高价股,3.27
198,包装印刷,3.25
199,数字中国,3.24
200,汽车销售,3.23
201,雄安-工程基建,3.21
202,养老产业,3.21
203,农业种植,3.17
204,足球,3.15
205,彩票,3.14
206,万达系,3.08
207,重卡,3.07
208,饮料,3.01
209,浙江国企改革,3.0
210,农机,2.95
211,高速公路,2.92
212,天津国企改革,2.9
213,新疆国企改革,2.89
214,雄安-地产,2.88
215,国产操作系统,2.82
216,养鸡,2.8
217,南北船合并,2.69
218,可燃冰,2.69
219,装修装饰,2.69
220,富勒烯,2.62
221,中科院系,2.6
222,恒大概念股,2.6
223,住房租赁,2.55
224,电竞,2.51
225,动漫,2.51
226,智慧停车,2.47
227,饲料,2.46
228,兜底式增持,2.43
229,有色-铝,2.43
230,互联网医疗,2.41
231,药品信息化追溯,2.37
232,雄安-建材,2.36
233,蚂蚁金服概念股,2.34
234,养猪,2.33
235,玻璃,2.31
236,大飞机,2.26
237,环杭州湾大湾区,2.21
238,甲醇,2.2
239,雄安-金融,2.19
240,无线充电,2.13
241,园林,2.11
242,医疗信息化,2.07
243,虹膜识别,2.06
244,京东金融概念股,2.04
245,苹果期货,2.02
246,人脸识别,2.01
247,通用航空,2.01
248,烧碱,2.0
249,北京城市规划,1.89
250,页岩气,1.88
251,海绵城市,1.75
252,稀土磁材,1.67
253,金改,1.67
254,破发次新,1.66
255,水务,1.65
256,养老金持股,1.59
257,量子通信,1.55
258,雄安-周边,1.55
259,湖南国企改革,1.54
260,地下管廊,1.48
261,深圳本地股/深汕合作,1.48
262,广电,1.47
263,精准医疗,1.45
264,白酒,1.39
265,滴滴出行概念股,1.39
266,电子车牌,1.37
267,碳纤维,1.36
268,谷歌概念股,1.35
269,转基因,1.35
270,调味品,1.34
271,化妆品,1.27
272,进口博览会,1.26
273,地热,1.23
274,石墨电极,1.19
275,轮胎,1.05
276,有色-铜,1.0
277,PVC,0.97
278,山西国企改革,0.96
279,PCB板,0.96
280,民爆,0.87
281,振兴东北,0.85
282,水利,0.83
283,太赫兹,0.82
284,次新股,0.8
285,直播/短视频,0.76
286,海底捞概念股,0.72
287,西藏,0.7
288,有色-锌,0.61
289,休闲食品,0.59
290,指纹识别,0.55
291,有色-镁,0.49
292,人民币升值受益,0.48
293,智能音箱,0.48
294,手势识别,0.38
295,有色-钒,0.36
296,有色-锆,0.35
297,银行,0.35
298,有色-钼,0.34
299,航运,0.32
300,涤纶,0.31
301,血制品,0.25
302,芬太尼概念,0.24
303,燃料乙醇,0.12
304,有色-钴,0.03
305,农垦,-0.01
306,天津自贸区,-0.05
307,主题公园,-0.06
308,水泥,-0.12
309,厨卫家电,-0.2
310,棉花,-0.22
311,有机硅,-0.25
312,机器视觉,-0.26
313,迈瑞医疗概念股,-0.26
314,3D感应,-0.26
315,脑科学,-0.31
316,油品升级,-0.31
317,黑色家电,-0.31
318,河南自贸区,-0.37
319,钢铁,-0.38
320,有色-锑,-0.4
321,机场,-0.43
322,空铁WiFi,-0.47
323,玻纤,-0.49
324,染料,-0.53
325,雄安-设计,-0.55
326,草铵膦,-0.56
327,耐火材料,-0.63
328,锦纶（尼龙）,-0.72
329,创业板人气股,-0.76
330,超级高铁,-0.76
331,被动元件,-0.85
332,纯碱,-0.86
333,啤酒,-0.88
334,保险,-0.98
335,硅锰,-0.98
336,铁矿石,-1.11
337,有色-钨,-1.2
338,民航,-1.29
339,美团概念股,-1.33
340,有色-钛,-1.44
341,有色-镍,-1.48
342,AH溢价股,-1.6
343,磷化工,-1.61
344,橡胶,-1.75
345,粘胶短纤,-1.75
346,密集调研,-1.82
347,钛白粉,-1.83
348,印染,-1.86
349,环氧丙烷,-2.16
350,草甘膦,-2.18
351,醋酸,-2.24
352,炭黑,-2.37
353,筹码集中,-2.38
354,电子发票,-2.47
355,制冷剂,-3.32
356,高送转-填权,-24.18
