,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_UP_RANGE,COL_AVERAGE_ABS_CHG,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
10,300206.SZ,300206,理邦仪器,医疗保健,True,22.43,True,True,0.3,3.36,"云南国际信托有限公司-理邦仪器1号员工持股集合资金信托计划
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)
中国银行股份有限公司-国投瑞银医疗保健行业灵活配置混合型证券投资基金
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
中国工商银行股份有限公司-中欧精选灵活配置定期开放混合型发起式证券投资基金",5.0
11,000908.SZ,000908,景峰医药,化学制药,True,5.37,True,True,0.39,3.75,"中国长城资产管理股份有限公司
华菱津杉(天津)产业投资管理有限公司-华菱津杉-融创未来资产管理计划
平江县国有资产管理局",3.0
12,300294.SZ,300294,博雅生物,生物制药,True,49.59,True,True,0.32,4.19,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
香港中央结算有限公司(陆股通)
全国社保基金一一四组合
中意资管-招商银行-中意资产-招商银行-定增精选87号资产管理产品
北信瑞丰基金-渤海银行-北信瑞丰基金宏瑞2号资产管理计划",5.0
13,300246.SZ,300246,宝莱特,医疗保健,True,39.91,True,True,0.27,4.28,"中央汇金资产管理有限责任公司
中国对外经济贸易信托有限公司-外贸信托·锐进31期清水源证券投资集合资金信托计划
中国工商银行股份有限公司-金鹰稳健成长混合型证券投资基金
中信信托有限责任公司-中信价值管理型金融投资集合资金信托计划",4.0
14,300233.SZ,300233,金城医药,化学制药,True,39.85,True,True,0.35,4.56,"广发证券股份有限公司-中庚小盘价值股票型证券投资基金
华泰证券股份有限公司-中庚价值领航混合型证券投资基金
光大永明资管-兴业银行-光大永明资产聚财121号定向资产管理产品
海通证券资管-工商银行-海通投融宝1号集合资产管理计划
香港中央结算有限公司(陆股通)",5.0
15,688298.SH,688298,东方生物,医疗保健,True,193.0,True,True,0.43,4.85,,0.0
16,603301.SH,603301,振德医疗,医疗保健,True,71.01,True,True,0.55,4.98,,0.0
17,600129.SH,600129,太极集团,中成药,True,17.38,True,True,0.28,5.06,"财通基金-招商银行-深圳市招商国协壹号股权投资基金管理有限公司
重庆市供销合作发展股权投资基金有限公司
国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合",3.0
18,300314.SZ,300314,戴维医疗,医疗保健,True,17.0,True,True,0.51,5.13,中国工商银行股份有限公司-嘉实事件驱动股票型证券投资基金,1.0
19,603718.SH,603718,海利生物,生物制药,True,24.9792,True,True,0.39,5.59,,0.0
20,603976.SH,603976,正川股份,医疗保健,True,47.587,True,True,0.71,7.03,,0.0
21,300841.SZ,300841,康华生物,生物制药,True,349.82,True,True,1.36,10.0,,0.0
22,603087.SH,603087,甘李药业,生物制药,True,161.54,True,True,0.77,14.86,,0.0
23,688277.SH,688277,天智航-U,医疗保健,True,86.0,True,True,0.0,614.29,,0.0
