,ts_code,name,industry,average_turnover_rate,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,circ_mv
3414,603680.SH,今创集团,运输设备,5.362,6.0,2.019,12.509,-0.832,94668.0
399,000920.SZ,南方汇通,环境保护,1.956,4.0,2.839,11.691,-5.281,261995.4443
679,002216.SZ,三全食品,食品,0.965,4.0,2.695,11.201,-3.145,391931.244
1083,002622.SZ,融钰集团,电气设备,12.166,4.0,2.782,11.009,-3.254,304904.3729
1077,002616.SZ,长青集团,环境保护,1.211,6.0,1.797,10.762,1.057,340420.6196
1141,002680.SZ,*ST长生,生物制药,19.513,2.0,5.054,10.364,10.185,159020.5438
2608,600593.SH,大连圣亚,旅游服务,1.492,4.0,2.494,10.189,2.903,427616.0
1037,002576.SZ,通达动力,电气设备,3.795,6.0,1.659,10.0,0.508,157465.6016
472,002009.SZ,天奇股份,工程机械,3.178,4.0,2.501,9.987,-5.23,247823.515
1089,002628.SZ,成都路桥,建筑施工,5.719,4.0,2.489,9.937,-4.444,377182.6141
2914,600977.SH,中国电影,影视音像,1.957,6.0,1.585,9.813,-5.787,828290.0
3293,603356.SH,华菱精工,机械基件,12.531,6.0,1.565,9.614,-6.283,57778.22
498,002035.SZ,华帝股份,家用电器,2.543,3.0,3.108,9.481,-2.851,758459.2233
1164,002703.SZ,浙江世宝,汽车配件,4.36,4.0,2.26,8.904,-0.905,263812.4591
81,000409.SZ,*ST地矿,综合类,2.127,2.0,4.293,8.766,2.381,246623.7964
2936,601002.SH,晋亿实业,机械基件,3.326,6.0,1.434,8.688,0.686,505736.22
3278,603323.SH,吴江银行,银行,4.904,4.0,2.111,8.654,-4.878,411497.1508
3484,603833.SH,欧派家居,家居用品,0.931,4.0,2.122,8.568,-6.149,798301.2754
776,002314.SZ,南山控股,区域地产,1.771,4.0,2.187,8.524,-7.012,376700.4176
1008,002547.SZ,春兴精工,通信设备,9.357,4.0,2.121,8.521,-4.773,345394.755
2520,600491.SH,龙元建设,建筑施工,0.837,6.0,1.315,8.104,-2.151,745761.2
1332,002885.SZ,京泉华,元器件,11.586,4.0,1.984,7.863,-0.66,87909.3635
862,002400.SZ,省广集团,广告包装,3.695,4.0,1.966,7.85,-7.571,523644.1271
2671,600664.SH,哈药股份,化学制药,0.56,4.0,1.912,7.843,-7.752,965177.7043
757,002295.SZ,精艺股份,铜,0.816,4.0,1.887,7.746,-2.429,194938.9075
1263,002811.SZ,亚泰国际,装修装饰,8.195,3.0,2.623,7.735,-1.497,70200.0
3435,603717.SH,天域生态,环境保护,4.891,7.0,1.093,7.374,2.874,117318.3418
3034,601579.SH,会稽山,红黄药酒,0.403,3.0,2.332,7.143,-0.885,384000.0
441,000976.SZ,华铁股份,运输设备,5.518,3.0,2.449,7.069,5.714,302062.3341
1081,002620.SZ,瑞和股份,装修装饰,4.428,4.0,1.758,7.006,-2.333,204011.1696
3431,603711.SH,香飘飘,软饮料,9.245,2.0,3.46,6.959,0.672,103892.1734
1339,002892.SZ,科力尔,电气设备,15.102,4.0,1.833,6.894,-5.916,74320.192
1314,002866.SZ,传艺科技,电脑设备,7.096,4.0,1.674,6.858,-5.185,92961.0747
2475,600421.SH,ST仰帆,机械基件,0.644,4.0,1.659,6.712,-1.351,152372.4
47,000061.SZ,农产品,农业综合,0.46,4.0,1.628,6.653,-5.686,869537.603
170,000590.SZ,启迪古汉,中成药,1.066,4.0,1.619,6.605,-4.9,180151.6352
479,002016.SZ,世荣兆业,区域地产,1.524,4.0,1.595,6.498,-1.412,664179.7261
3199,603131.SH,上海沪工,专用机械,3.867,3.0,2.148,6.488,-0.928,79600.0
543,002080.SZ,中材科技,化纤,0.918,4.0,1.588,6.484,-2.433,546560.0
44,000058.SZ,深赛格,元器件,4.784,5.0,1.285,6.379,-3.091,305051.7868
3430,603709.SH,中源家居,家居用品,8.605,4.0,1.561,6.364,-3.856,48800.0
3031,601566.SH,九牧王,服饰,0.446,3.0,2.089,6.362,0.233,787827.5327
3141,603028.SH,赛福天,钢加工,1.822,6.0,1.043,6.36,-3.776,90836.9691
3294,603357.SH,设计总院,建筑施工,3.04,6.0,1.046,6.312,-5.628,339402.3085
2380,600305.SH,恒顺醋业,食品,1.742,6.0,0.997,6.045,1.455,810983.979
286,000752.SZ,西藏发展,啤酒,4.078,4.0,1.508,6.044,-4.084,203617.4743
769,002307.SZ,北新路桥,建筑施工,4.35,3.0,2.021,6.007,-1.736,535026.4926
956,002494.SZ,华斯股份,服饰,3.482,3.0,1.976,5.861,0.924,170521.582
578,002115.SZ,三维通信,通信设备,6.641,4.0,1.48,5.784,-6.936,330060.194
296,000766.SZ,通化金马,中成药,1.296,5.0,1.113,5.604,-1.472,486318.544
3436,603718.SH,海利生物,生物制药,0.917,2.0,2.767,5.581,-3.423,901600.0
2256,600162.SH,香江控股,全国地产,0.488,4.0,1.351,5.505,-2.242,683974.3586
1004,002543.SZ,万和电气,家用电器,0.467,4.0,1.374,5.401,-3.475,625016.2646
3537,603938.SH,三孚股份,化工原料,3.28,4.0,1.305,5.281,-0.056,95174.0884
3396,603650.SH,彤程新材,化工原料,6.952,4.0,1.259,5.087,-7.352,121480.8
