,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
14,000534.SZ,000534,万泽股份,生物制药,True,11.99,0.0,1.0,58.93,"云南国际信托有限公司-聚信5号集合资金信托计划
华润深国投信托有限公司-润之信13期集合资金信托计划
九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划",3.0
15,300318.SZ,300318,博晖创新,医疗保健,True,12.1,0.0,5.0,87.67,中央汇金资产管理有限责任公司,1.0
16,000153.SZ,000153,丰原药业,化学制药,True,12.66,1.0,1.0,39.5,,0.0
17,300016.SZ,300016,北陆药业,中成药,True,12.68,3.0,1.0,51.39,大业信托有限责任公司-大业信托·优悦3号单一资金信托,1.0
18,603676.SH,603676,卫信康,化学制药,True,13.18,0.0,1.0,55.75,银河资本-郭旭-银河资本-新兴一号单一资产管理计划,1.0
19,002020.SZ,002020,京新药业,化学制药,True,14.73,1.0,1.0,86.6,"建信基金-杭州银行-杭州玖擎投资管理合伙企业(有限合伙)
上海国际集团资产管理有限公司
香港中央结算有限公司(陆股通)
芜湖弘唯基石投资基金管理合伙企业(有限合伙)-信保基石1号专项私募投资基金",4.0
20,002826.SZ,002826,易明医药,中成药,True,15.06,1.0,3.0,20.14,,0.0
21,300030.SZ,300030,阳普医疗,医疗保健,True,15.1,1.0,1.0,38.41,"中央汇金资产管理有限责任公司
长安基金-光大银行-长安睿享2号分级资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划",3.0
22,600299.SH,600299,安迪苏,化学制药,True,15.34,1.0,1.0,411.4,"蓝星集团-国泰君安-19蓝星EB担保及信托财产专户
中国银行股份有限公司-富国中证国企一带一路交易型开放式指数证券投资基金
江苏聚合创意新兴产业投资基金(有限合伙)
中国建设银行股份有限公司-易方达中证国企一带一路交易型开放式指数证券投资基金
易方达基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托
易方达基金-工商银行-易方达基金臻选2号资产管理计划
香港中央结算有限公司(陆股通)",7.0
23,300358.SZ,300358,楚天科技,医疗保健,True,15.85,0.0,1.0,72.49,"湖南省资产管理有限公司
西藏德传投资管理有限公司-德传附子证券投资基金
中投天琪期货-浙商金汇信托股份有限公司-浙金·浦发-津杉-国泰定增1号集合资金信托计划
鹏华资产-兴业银行-鹏华资产德传医疗资产管理计划
中央汇金资产管理有限责任公司",5.0
24,603309.SH,603309,维力医疗,医疗保健,True,16.32,1.0,1.0,42.43,,0.0
25,600812.SH,600812,华北制药,化学制药,True,17.01,1.0,1.0,277.4,"华夏基金-农业银行-华夏中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
易方达基金-农业银行-易方达中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划",12.0
26,002793.SZ,002793,罗欣药业,化学制药,True,17.25,0.0,1.0,42.94,,0.0
27,300009.SZ,300009,安科生物,生物制药,True,20.67,1.0,1.0,196.5,"中国工商银行股份有限公司-博时精选混合型证券投资基金
上海固信资产管理有限公司-长三角(上海)产业创新股权投资基金合伙企业(有限合伙)
中信银行股份有限公司-九泰锐益定增灵活配置混合型证券投资基金
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)",5.0
28,603987.SH,603987,康德莱,医疗保健,True,20.81,1.0,2.0,90.82,"中国建设银行股份有限公司-国泰大健康股票型证券投资基金
全国社保基金五零二组合
中国建设银行股份有限公司-国泰研究精选两年持有期混合型证券投资基金
平安资管-邮储银行-如意10号资产管理产品
基本养老保险基金一六零四一组合",5.0
29,300453.SZ,300453,三鑫医疗,医疗保健,True,22.35,1.0,2.0,38.77,"中航信托股份有限公司-中航信托·天顺【2019】113号江西国资支持民营企业专项单一资金信托
中国工商银行股份有限公司-融通医疗保健行业混合型证券投资基金",2.0
30,601607.SH,601607,上海医药,医药商业,True,24.52,0.0,1.0,471.5,"中央汇金资产管理有限责任公司
银华基金-农业银行-银华中证金融资产管理计划
全国社保基金六零四组合
全国社保基金四一二组合
香港中央结算有限公司(陆股通)",5.0
31,300146.SZ,300146,汤臣倍健,医疗保健,True,24.9,1.0,1.0,222.28,"易方达创业板交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
前海开源再融资主题精选股票型证券投资基金
全国社保基金四零三组合
中国建设银行股份有限公司-前海开源再融资主题精选股票型证券投资基金
全国社保基金四一四组合
香港中央结算有限公司(陆股通)",7.0
32,000411.SZ,000411,英特集团,医药商业,True,26.08,0.0,4.0,54.07,"全国社保基金六零四组合
基本养老保险基金九零三组合",2.0
33,300452.SZ,300452,山河药辅,化学制药,True,27.76,1.0,1.0,39.51,"中国工商银行股份有限公司-诺安灵活配置混合型证券投资基金
中国银行股份有限公司-国投瑞银医疗保健行业灵活配置混合型证券投资基金",2.0
34,002675.SZ,002675,东诚药业,化学制药,True,27.8,0.0,2.0,184.04,"全国社保基金六零二组合
交通银行股份有限公司-国泰金鹰增长灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)",3.0
35,002653.SZ,002653,海思科,化学制药,True,28.91,0.0,1.0,137.09,"陕西省国际信托股份有限公司-陕国投·易泓16号证券投资集合资金信托计划
中央汇金资产管理有限责任公司
全国社保基金六零二组合
香港中央结算有限公司(陆股通)",4.0
36,603351.SH,603351,威尔药业,化学制药,True,33.99,1.0,1.0,20.28,"江苏人才创新创业投资二期基金(有限合伙)
招商银行股份有限公司-国泰聚优价值灵活配置混合型证券投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金",3.0
37,300238.SZ,300238,冠昊生物,医疗保健,True,34.55,1.0,1.0,88.95,"华融国际信托有限责任公司-华融·汇盈32号证券投资单一资金信托
浙商金汇信托股份有限公司-浙金·冠昊生物1号员工持股集合资金信托计划
广东智硕资产管理有限公司-智硕莲花1号私募证券投资基金
云南国际信托有限公司-云信-弘瑞29号集合资金信托计划",4.0
38,605199.SH,605199,葫芦娃,中成药,True,37.72,0.0,5.0,15.13,,0.0
39,000423.SZ,000423,东阿阿胶,中成药,True,41.58,0.0,1.0,271.88,"瑞银资产管理(新加坡)有限公司-瑞银卢森堡投资SICAV
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
香港中央结算有限公司(陆股通)",4.0
40,002287.SZ,002287,奇正藏药,中成药,True,42.78,0.0,4.0,225.83,"中央汇金资产管理有限责任公司
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",2.0
41,603579.SH,603579,荣泰健康,医疗保健,True,43.33,0.0,2.0,60.66,香港中央结算有限公司(陆股通),1.0
42,002030.SZ,002030,达安基因,生物制药,True,45.35,1.0,2.0,388.37,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",3.0
43,603718.SH,603718,海利生物,生物制药,True,46.27,1.0,2.0,297.98,,0.0
44,000403.SZ,000403,双林生物,生物制药,True,47.55,0.0,1.0,231.62,"交通银行股份有限公司-易方达科讯混合型证券投资基金
基本养老保险基金三零九组合
中国信达资产管理股份有限公司",3.0
45,600161.SH,600161,天坛生物,生物制药,True,49.55,1.0,1.0,621.58,"中国银行股份有限公司-易方达中小盘混合型证券投资基金
中央汇金资产管理有限责任公司
中国银行股份有限公司-易方达蓝筹精选混合型证券投资基金
香港中央结算有限公司(陆股通)",4.0
46,300723.SZ,300723,一品红,化学制药,True,55.41,0.0,1.0,24.59,"中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
招商银行股份有限公司-国泰聚优价值灵活配置混合型证券投资基金
中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金",4.0
47,600196.SH,600196,复星医药,化学制药,True,67.28,1.0,1.0,1352.97,"中央汇金资产管理有限责任公司
基本养老保险基金八零二组合
全国社保基金一一零组合
全国社保基金一一三组合
香港中央结算有限公司(陆股通)",5.0
48,002007.SZ,002007,华兰生物,生物制药,True,68.48,1.0,1.0,1073.06,"中国银行股份有限公司-易方达蓝筹精选混合型证券投资基金
中央汇金资产管理有限责任公司
交通银行-易方达50指数证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
香港中央结算有限公司(陆股通)",5.0
49,002880.SZ,002880,卫光生物,生物制药,True,69.2,1.0,1.0,111.7,中国建设银行股份有限公司-华泰柏瑞医疗健康混合型证券投资基金,1.0
50,000710.SZ,000710,贝瑞基因,医疗保健,True,81.86,1.0,2.0,115.84,"招商银行股份有限公司-兴全合润分级混合型证券投资基金
基本养老保险基金八零二组合
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
中国工商银行股份有限公司-万家自主创新混合型证券投资基金
海通兴泰(安徽)新兴产业投资基金(有限合伙)
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)",6.0
51,300813.SZ,300813,泰林生物,医疗保健,True,82.73,1.0,1.0,10.75,,0.0
52,300142.SZ,300142,沃森生物,生物制药,True,83.45,1.0,1.0,1213.78,"珠海横琴长乐汇资本管理有限公司-智汇3号私募证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金四零一组合",3.0
53,688139.SH,688139,海尔生物,医疗保健,True,84.14,1.0,1.0,64.03,"寻常(上海)投资管理有限公司-琚玖1号私募证券投资基金
全国社保基金一一八组合
上海浦东发展银行股份有限公司-中海医药健康产业精选灵活配置混合型证券投资基金
寻常(上海)投资管理有限公司-汇玖3号私募证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
中国工商银行股份有限公司-中海医疗保健主题股票型证券投资基金",6.0
54,603301.SH,603301,振德医疗,医疗保健,True,89.3,1.0,1.0,70.7,,0.0
55,603976.SH,603976,正川股份,医疗保健,True,91.95,1.0,3.0,35.22,,0.0
56,300791.SZ,300791,仙乐健康,医疗保健,True,93.0,2.0,1.0,27.9,"中国银行-易方达策略成长二号混合型证券投资基金
中国银行-易方达策略成长证券投资基金",2.0
57,002932.SZ,002932,明德生物,医疗保健,True,105.0,1.0,1.0,31.52,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
科华(宜都)科技创业投资基金(有限合伙)
武汉光谷生物城华岭基金合伙企业(有限合伙)",3.0
58,600211.SH,600211,西藏药业,中成药,True,154.16,1.0,4.0,382.22,,0.0
59,300122.SZ,300122,智飞生物,生物制药,True,171.18,1.0,1.0,1541.25,"东莞信托有限公司-东莞信托·汇信-惠正稳健集合资金信托计划
云南国际信托有限公司-云南信托-智飞生物2019第二期员工持股集合资金信托计划
尚信健投资产管理(上海)有限责任公司-尚信健投-恒兴私募证券投资基金
尚信健投资产管理(上海)有限责任公司-尚投道私募证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)",6.0
60,688366.SH,688366,昊海生科,生物制药,True,189.92,0.0,2.0,29.15,"中国银行股份有限公司-博时医疗保健行业混合型证券投资基金
中国建设银行股份有限公司-交银施罗德蓝筹混合型证券投资基金
中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金",3.0
61,688580.SH,688580,伟思医疗,医疗保健,True,204.6,1.0,1.0,32.07,,0.0
62,688029.SH,688029,南微医学,医疗保健,True,257.9,1.0,1.0,110.51,"基本养老保险基金一二零一组合
中国银行股份有限公司-易方达全球医药行业混合型发起式证券投资基金
北京磐沣投资管理合伙企业(有限合伙)-磐沣价值私募证券投资基金
中国建设银行股份有限公司-农银汇理医疗保健主题股票型证券投资基金
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
中国银行股份有限公司-易方达医疗保健行业混合型证券投资基金
中国建设银行股份有限公司-大成科创主题3年封闭运作灵活配置混合型证券投资基金
中信银行股份有限公司-农银汇理创新医疗混合型证券投资基金
中国工商银行-易方达价值成长混合型证券投资基金
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金",10.0
63,688298.SH,688298,东方生物,医疗保健,True,259.65,0.0,1.0,70.79,,0.0
64,603392.SH,603392,万泰生物,医疗保健,True,260.31,1.0,2.0,113.5,,0.0
65,688050.SH,688050,爱博医疗,医疗保健,True,288.9,1.0,2.0,62.11,,0.0
66,300841.SZ,300841,康华生物,生物制药,True,887.0,1.0,1.0,133.05,,0.0
