,ts_code,name,industry,turnover_rate,turnover_rate_f
1682,300299.SZ,富春股份,通信设备,7.0813,10.5129
2071,300697.SZ,电工合金,铜,6.9629,6.9629
3161,603059.SH,倍加洁,家居用品,6.8645,6.8645
1685,300302.SZ,同有科技,软件服务,6.8513,8.7402
3263,603301.SH,振德医疗,医疗保健,6.7958,6.7958
2104,300733.SZ,西菱动力,汽车配件,6.7714,6.7714
2081,300708.SZ,聚灿光电,半导体,6.6105,9.1688
3272,603316.SH,诚邦股份,建筑施工,6.5594,8.1823
1693,300310.SZ,宜通世纪,通信设备,6.4565,6.9693
2106,300736.SZ,百邦科技,通信设备,6.4125,6.4125
2101,300730.SZ,科创信息,软件服务,6.36,6.36
2110,300740.SZ,御家汇,日用化工,6.2762,8.2073
2049,300675.SZ,建科院,建筑施工,6.2497,11.7118
2736,600734.SH,实达集团,电脑设备,6.2427,8.2929
1164,002703.SZ,浙江世宝,汽车配件,6.1873,16.7186
3293,603356.SH,华菱精工,机械基件,6.1809,6.1815
535,002072.SZ,凯瑞德,互联网,5.9357,6.8834
1183,002725.SZ,跃岭股份,汽车配件,5.8204,6.474
1036,002575.SZ,群兴玩具,文教休闲,5.8121,10.4291
19,000023.SZ,深天地A,其他建材,5.738,9.4122
2114,300745.SZ,欣锐科技,汽车配件,5.6815,5.6815
182,000605.SZ,渤海股份,水务,5.6242,12.837
1604,300221.SZ,银禧科技,塑料,5.5822,9.3156
187,000610.SZ,西安旅游,旅游服务,5.5332,7.6281
3172,603081.SH,大丰实业,专用机械,5.4589,5.4589
1160,002699.SZ,美盛文化,服饰,5.4541,12.286
16,000020.SZ,深华发A,元器件,5.2779,14.8279
1707,300324.SZ,旋极信息,软件服务,5.1994,6.3423
3174,603085.SH,天成自控,汽车配件,5.1861,7.5662
3309,603386.SH,广东骏亚,元器件,5.1529,5.1529
517,002054.SZ,德美化工,化工原料,5.1496,7.9369
2103,300732.SZ,设研院,建筑施工,5.1197,5.1197
3225,603192.SH,汇得科技,化工原料,5.0831,5.0831
191,000615.SZ,京汉股份,全国地产,5.0792,9.3528
75,000401.SZ,冀东水泥,水泥,5.0381,7.998
162,000576.SZ,广东甘化,造纸,5.0361,8.7746
1523,300139.SZ,晓程科技,元器件,4.9926,5.2902
1694,300311.SZ,任子行,软件服务,4.987,6.529
1057,002596.SZ,海南瑞泽,其他建材,4.9635,7.6885
644,002181.SZ,粤传媒,出版业,4.935,15.1329
2102,300731.SZ,科创新源,橡胶,4.9291,4.9291
2230,600130.SH,波导股份,通信设备,4.9073,5.87
1023,002562.SZ,兄弟科技,化学制药,4.8785,6.392
1524,300140.SZ,中环装备,电气设备,4.8554,8.2578
2076,300702.SZ,天宇股份,化学制药,4.8518,4.8691
2699,600695.SH,绿庭投资,多元金融,4.8485,8.1526
1041,002580.SZ,圣阳股份,电气设备,4.7844,5.3031
3128,603013.SH,亚普股份,汽车配件,4.7837,4.7837
3157,603050.SH,科林电气,电气设备,4.7737,5.3594
2742,600740.SH,山西焦化,焦炭加工,4.7734,5.5123
1593,300210.SZ,森远股份,专用机械,4.7604,11.7087
1175,002716.SZ,金贵银业,小金属,4.7463,4.8707
1171,002712.SZ,思美传媒,广告包装,4.6974,6.6425
2091,300719.SZ,安达维尔,航空,4.6888,6.4898
1083,002622.SZ,融钰集团,电气设备,4.5976,6.0344
32,000038.SZ,深大通,广告包装,4.5911,8.5774
1718,300335.SZ,迪森股份,供气供热,4.5854,5.0166
1172,002713.SZ,东易日盛,装修装饰,4.5668,4.5833
1645,300262.SZ,巴安水务,环境保护,4.5476,5.5593
1670,300287.SZ,飞利信,软件服务,4.4955,4.8519
1555,300171.SZ,东富龙,医疗保健,4.4574,6.3101
578,002115.SZ,三维通信,通信设备,4.4506,5.4368
2108,300738.SZ,奥飞数据,电信运营,4.4491,4.4491
2786,600789.SH,鲁抗医药,化学制药,4.4383,5.8854
1546,300162.SZ,雷曼股份,元器件,4.4381,6.8641
1066,002605.SZ,姚记扑克,文教休闲,4.3863,9.173
2645,600635.SH,大众公用,供气供热,4.3424,5.9348
2052,300678.SZ,中科信息,软件服务,4.282,6.3234
1053,002592.SZ,八菱科技,汽车配件,4.2448,7.9943
2780,600781.SH,辅仁药业,中成药,4.1921,6.0244
2122,300760.SZ,迈瑞医疗,医疗保健,4.1675,4.1675
3163,603063.SH,禾望电气,电气设备,4.1602,4.1665
1619,300236.SZ,上海新阳,半导体,4.1494,8.4081
2673,600666.SH,奥瑞德,元器件,4.1271,5.0091
110,000513.SZ,丽珠集团,中成药,4.1251,6.8793
3233,603214.SH,爱婴室,百货,4.0997,4.0997
2094,300722.SZ,新余国科,专用机械,4.0965,4.0965
483,002020.SZ,京新药业,化学制药,4.0869,4.674
509,002046.SZ,轴研科技,机械基件,4.0704,6.9076
3177,603089.SH,正裕工业,汽车配件,4.0702,4.0702
1661,300278.SZ,华昌达,专用机械,4.058,4.6131
1551,300167.SZ,迪威迅,通信设备,4.0492,6.5264
1536,300152.SZ,科融环境,环境保护,4.0447,5.7375
2691,600687.SH,刚泰控股,黄金,3.9947,9.7449
2062,300688.SZ,创业黑马,综合类,3.9876,5.9625
3185,603105.SH,芯能科技,电气设备,3.9838,3.9838
538,002075.SZ,沙钢股份,特种钢,3.9711,7.5177
3200,603133.SH,碳元科技,元器件,3.9635,5.0662
3173,603083.SH,剑桥科技,通信设备,3.9625,4.3203
3218,603180.SH,金牌厨柜,家居用品,3.9542,3.9542
1606,300223.SZ,北京君正,半导体,3.9484,4.8247
1695,300312.SZ,邦讯技术,通信设备,3.8374,12.053
2190,600086.SH,东方金钰,服饰,3.8356,6.4067
2782,600783.SH,鲁信创投,矿物制品,3.8355,12.6051
1657,300274.SZ,阳光电源,电气设备,3.8233,4.6458
2693,600689.SH,上海三毛,纺织,3.8207,5.8127
1717,300334.SZ,津膜科技,专用机械,3.8009,7.398
2112,300742.SZ,越博动力,汽车配件,3.788,3.788
1127,002666.SZ,德联集团,化工原料,3.7574,4.8749
3301,603367.SH,辰欣药业,化学制药,3.7343,6.5696
573,002110.SZ,三钢闽光,普钢,3.7187,3.7187
3224,603189.SH,网达软件,软件服务,3.7159,4.13
3227,603197.SH,保隆科技,汽车配件,3.6976,4.2186
2735,600733.SH,北汽蓝谷,汽车整车,3.6786,3.6786
2682,600678.SH,四川金顶,水泥,3.6607,4.6049
1110,002649.SZ,博彦科技,软件服务,3.6564,3.9782
480,002017.SZ,东信和平,通信设备,3.6519,6.6391
3156,603045.SH,福达合金,电气设备,3.6395,3.6395
624,002161.SZ,远望谷,通信设备,3.6136,4.8227
3291,603348.SH,文灿股份,汽车配件,3.6087,3.6087
2060,300686.SZ,智动力,元器件,3.6015,4.0795
3183,603101.SH,汇嘉时代,百货,3.597,4.3163
1639,300256.SZ,星星科技,元器件,3.5887,4.9607
638,002175.SZ,东方网络,电器仪表,3.5863,3.7511
2087,300715.SZ,凯伦股份,其他建材,3.5859,3.5859
63,000151.SZ,中成股份,商贸代理,3.5683,5.9288
2096,300724.SZ,捷佳伟创,专用机械,3.5619,3.5619
1557,300173.SZ,智慧松德,轻工机械,3.5527,6.6287
1675,300292.SZ,吴通控股,软件服务,3.5484,4.2206
2116,300747.SZ,锐科激光,元器件,3.5484,3.5484
3248,603259.SH,药明康德,化学制药,3.5435,3.5435
2058,300684.SZ,中石科技,化工原料,3.5269,3.5269
2070,300696.SZ,爱乐达,航空,3.4985,4.0361
456,000996.SZ,中国中期,汽车服务,3.4975,4.3416
1009,002548.SZ,金新农,饲料,3.4721,6.7958
1581,300198.SZ,纳川股份,塑料,3.4058,4.6957
1008,002547.SZ,春兴精工,通信设备,3.3997,3.452
15,000019.SZ,深深宝A,软饮料,3.3922,5.2172
1532,300148.SZ,天舟文化,出版业,3.3908,4.6494
1169,002709.SZ,天赐材料,化工原料,3.3762,4.0739
1052,002591.SZ,恒大高新,化工原料,3.3737,5.0137
529,002066.SZ,瑞泰科技,其他建材,3.3515,5.5979
2055,300681.SZ,英搏尔,元器件,3.3338,3.3338
1541,300157.SZ,恒泰艾普,石油开采,3.3059,3.4631
2180,600076.SH,康欣新材,其他建材,3.2948,4.5392
2644,600634.SH,*ST富控,互联网,3.2905,4.9074
3315,603398.SH,邦宝益智,文教休闲,3.2705,3.2705
164,000582.SZ,北部湾港,港口,3.2685,3.2685
482,002019.SZ,亿帆医药,化学制药,3.2295,3.6767
3188,603110.SH,东方材料,染料涂料,3.1984,3.1984
3265,603305.SH,旭升股份,汽车配件,3.1723,3.1723
2624,600610.SH,*ST毅达,建筑施工,3.1686,3.6957
2074,300700.SZ,岱勒新材,矿物制品,3.1617,3.1617
62,000150.SZ,宜华健康,医疗保健,3.1373,7.0223
103,000503.SZ,国新健康,医疗保健,3.1359,4.2506
1037,002576.SZ,通达动力,电气设备,3.1338,4.7665
3245,603238.SH,诺邦股份,纺织,3.1195,3.1195
184,000607.SZ,华媒控股,广告包装,3.1094,7.1657
486,002023.SZ,海特高新,航空,3.0925,3.5472
3237,603223.SH,恒通股份,供气供热,3.0538,7.5929
44,000058.SZ,深赛格,元器件,3.0499,5.6927
3171,603080.SH,新疆火炬,供气供热,3.0278,3.0278
2747,600745.SH,闻泰科技,通信设备,3.0043,5.6883
2078,300705.SZ,九典制药,化学制药,2.9931,4.1985
3294,603357.SH,设计总院,建筑施工,2.9643,2.9643
3239,603226.SH,菲林格尔,家居用品,2.9546,2.9546
2083,300710.SZ,万隆光电,通信设备,2.9504,3.9957
2174,600070.SH,浙江富润,纺织,2.9403,3.9534
3184,603103.SH,横店影视,影视音像,2.932,2.932
501,002038.SZ,双鹭药业,生物制药,2.9297,4.3245
20,000025.SZ,特力A,汽车服务,2.9215,13.2114
2705,600702.SH,舍得酒业,白酒,2.9213,4.1646
3310,603387.SH,基蛋生物,生物制药,2.9166,3.8657
1045,002584.SZ,西陇科学,化工原料,2.8935,3.6397
49,000063.SZ,中兴通讯,通信设备,2.886,4.5793
576,002113.SZ,天润数娱,互联网,2.8851,3.6733
2098,300726.SZ,宏达电子,元器件,2.8545,2.8545
3154,603042.SH,华脉科技,通信设备,2.8535,5.0176
126,000532.SZ,华金资本,元器件,2.8523,5.6321
2042,300668.SZ,杰恩设计,装修装饰,2.8334,3.837
604,002141.SZ,贤丰控股,元器件,2.8194,3.7592
3277,603322.SH,超讯通信,通信设备,2.8112,3.3033
452,000989.SZ,九芝堂,中成药,2.7961,4.0025
2115,300746.SZ,汉嘉设计,建筑施工,2.7857,2.7857
585,002122.SZ,*ST天马,机械基件,2.7714,5.1519
2075,300701.SZ,森霸传感,元器件,2.7647,2.7647
1548,300164.SZ,通源石油,石油开采,2.764,3.1366
1635,300252.SZ,金信诺,电气设备,2.76,4.2415
105,000505.SZ,京粮控股,食品,2.7564,3.9618
1125,002664.SZ,长鹰信质,汽车配件,2.7504,5.6984
1680,300297.SZ,蓝盾股份,软件服务,2.7445,3.7572
2109,300739.SZ,明阳电路,元器件,2.7171,2.7171
2713,600711.SH,盛屯矿业,小金属,2.6959,3.0903
2113,300743.SZ,天地数码,电脑设备,2.6903,2.6903
3255,603283.SH,赛腾股份,专用机械,2.6867,2.6867
2092,300720.SZ,海川智能,电器仪表,2.6775,2.8211
3166,603069.SH,海汽集团,公路,2.6768,4.0613
1716,300333.SZ,兆日科技,元器件,2.6621,3.422
3162,603060.SH,国检集团,建筑施工,2.6619,2.6619
1121,002660.SZ,茂硕电源,电气设备,2.6573,3.3267
3275,603320.SH,迪贝电气,机械基件,2.6529,2.6529
2079,300706.SZ,阿石创,元器件,2.6264,2.6264
1534,300150.SZ,世纪瑞尔,软件服务,2.6239,3.8222
1614,300231.SZ,银信科技,软件服务,2.6175,2.7342
3142,603029.SH,天鹅股份,农用机械,2.6159,3.4081
1003,002542.SZ,中化岩土,建筑施工,2.614,3.2503
127,000533.SZ,万家乐,电气设备,2.6082,4.2562
2729,600727.SH,鲁北化工,农药化肥,2.6028,3.7485
2119,300750.SZ,宁德时代,电气设备,2.5971,2.5971
539,002076.SZ,雪莱特,家用电器,2.581,3.2017
124,000530.SZ,大冷股份,机械基件,2.5606,3.5862
1170,002711.SZ,欧浦智网,仓储物流,2.5454,6.1647
3264,603303.SH,得邦照明,家用电器,2.5442,4.5527
3220,603183.SH,建研院,建筑施工,2.5439,2.5439
549,002086.SZ,东方海洋,渔业,2.5402,3.0235
1709,300326.SZ,凯利泰,医疗保健,2.5282,3.2308
2638,600624.SH,复旦复华,综合类,2.5102,3.7777
1678,300295.SZ,三六五网,互联网,2.5093,3.2121
92,000422.SZ,*ST宜化,农药化肥,2.5084,3.025
3306,603380.SH,易德龙,元器件,2.5061,2.5061
3164,603066.SH,音飞储存,仓储物流,2.4878,2.9319
1010,002549.SZ,凯美特气,环境保护,2.486,8.6078
2208,600107.SH,美尔雅,服饰,2.4834,3.1193
2675,600668.SH,尖峰集团,水泥,2.4755,2.9523
2080,300707.SZ,威唐工业,专用机械,2.4739,2.8594
1161,002700.SZ,新疆浩源,供气供热,2.4686,4.6617
3281,603329.SH,上海雅仕,仓储物流,2.4566,2.4566
1117,002656.SZ,摩登大道,服饰,2.4535,4.8489
990,002529.SZ,海源复材,专用机械,2.4526,4.0458
2161,600056.SH,中国医药,医药商业,2.4501,5.4532
545,002082.SZ,万邦德,铝,2.4474,3.0171
1152,002691.SZ,冀凯股份,专用机械,2.4434,8.2476
1068,002607.SZ,亚夏汽车,汽车服务,2.4347,3.6797
117,000521.SZ,长虹美菱,家用电器,2.4225,3.0723
183,000606.SZ,顺利办,互联网,2.4069,2.9123
2635,600621.SH,华鑫股份,证券,2.4019,3.2488
2051,300677.SZ,英科医疗,医疗保健,2.3938,3.5599
508,002045.SZ,国光电器,元器件,2.359,3.0222
534,002071.SZ,长城影视,影视音像,2.3365,4.3049
484,002021.SZ,中捷资源,纺织机械,2.3269,4.0634
3170,603079.SH,圣达生物,食品,2.3196,2.3196
1610,300227.SZ,光韵达,元器件,2.3189,2.5871
524,002061.SZ,浙江交科,化工原料,2.3074,3.0228
612,002149.SZ,西部材料,小金属,2.3033,3.9172
3165,603067.SH,振华股份,化工原料,2.302,2.302
2107,300737.SZ,科顺股份,其他建材,2.2985,2.3304
3231,603203.SH,快克股份,专用机械,2.2897,2.2897
3148,603036.SH,如通股份,专用机械,2.2815,2.2815
2105,300735.SZ,光弘科技,通信设备,2.2812,2.2812
1719,300336.SZ,新文化,影视音像,2.2654,3.0501
474,002011.SZ,盾安环境,工程机械,2.2619,3.9497
8,000010.SZ,美丽生态,建筑施工,2.2437,2.3872
3202,603138.SH,海量数据,软件服务,2.2436,2.2436
2231,600131.SH,岷江水电,水力发电,2.2416,3.5384
1096,002635.SZ,安洁科技,电脑设备,2.237,2.9419
1148,002687.SZ,乔治白,服饰,2.2287,3.1084
1658,300275.SZ,梅安森,软件服务,2.2275,2.551
3305,603378.SH,亚士创能,染料涂料,2.2237,2.2243
2054,300680.SZ,隆盛科技,汽车配件,2.2118,2.645
1065,002604.SZ,*ST龙力,食品,2.1979,2.6235
3289,603339.SH,四方科技,专用机械,2.1975,2.2138
3196,603127.SH,昭衍新药,医疗保健,2.1926,3.3049
2100,300729.SZ,乐歌股份,家居用品,2.1907,2.1907
1567,300183.SZ,东软载波,软件服务,2.1905,2.828
1585,300202.SZ,聚龙股份,专用机械,2.183,3.8934
611,002148.SZ,北纬科技,互联网,2.1814,2.3394
621,002158.SZ,汉钟精机,工程机械,2.176,5.7239
2063,300689.SZ,澄天伟业,元器件,2.1733,2.1733
2061,300687.SZ,赛意信息,软件服务,2.1646,2.6844
618,002155.SZ,湖南黄金,黄金,2.1628,3.5995
2704,600701.SH,*ST工新,综合类,2.1258,2.4542
173,000593.SZ,大通燃气,供气供热,2.1252,3.4669
470,002007.SZ,华兰生物,生物制药,2.12,3.4231
3296,603359.SH,东珠生态,建筑施工,2.1151,2.1178
632,002169.SZ,智光电气,电气设备,2.109,2.75
1714,300331.SZ,苏大维格,元器件,2.1027,2.4595
181,000603.SZ,盛达矿业,铅锌,2.0974,2.829
515,002052.SZ,同洲电子,通信设备,2.0942,2.5081
2097,300725.SZ,药石科技,化工原料,2.0908,3.1644
3167,603076.SH,乐惠国际,专用机械,2.0906,2.0906
3246,603239.SH,浙江仙通,汽车配件,2.0704,2.195
3258,603289.SH,泰瑞机器,专用机械,2.0606,3.4924
2090,300718.SZ,长盛轴承,机械基件,2.0459,2.0459
1631,300248.SZ,新开普,软件服务,2.0446,2.4816
1566,300182.SZ,捷成股份,软件服务,2.0426,2.3221
592,002129.SZ,中环股份,半导体,2.0419,3.3198
1705,300322.SZ,硕贝德,通信设备,2.0395,3.16
1582,300199.SZ,翰宇药业,化学制药,2.0346,2.5273
2077,300703.SZ,创源文化,文教休闲,2.034,2.5359
606,002143.SZ,印纪传媒,影视音像,1.9935,6.063
3252,603269.SH,海鸥股份,机械基件,1.9831,2.3204
1091,002630.SZ,华西能源,专用机械,1.9672,2.1156
100,000498.SZ,山东路桥,建筑施工,1.9562,2.1024
106,000506.SZ,中润资源,区域地产,1.9468,3.0948
2220,600119.SH,长江投资,仓储物流,1.9402,3.0145
2663,600654.SH,ST中安,软件服务,1.9353,1.9505
557,002094.SZ,青岛金王,日用化工,1.9282,2.7543
1116,002655.SZ,共达电声,元器件,1.9279,2.2753
599,002136.SZ,安纳达,化工原料,1.9272,2.8704
2186,600082.SH,海泰发展,园区开发,1.8994,2.5237
567,002104.SZ,恒宝股份,元器件,1.8923,2.0124
1540,300156.SZ,神雾环保,环境保护,1.8918,2.5571
3299,603365.SH,水星家纺,纺织,1.8916,1.8916
2681,600677.SH,航天通信,通信设备,1.8835,2.3141
3198,603129.SH,春风动力,摩托车,1.8835,2.221
52,000068.SZ,华控赛格,元器件,1.8817,3.7098
1623,300240.SZ,飞力达,仓储物流,1.8739,3.9736
2167,600062.SH,华润双鹤,化学制药,1.8725,3.6927
14,000018.SZ,神州长城,装修装饰,1.8695,2.0554
155,000566.SZ,海南海药,化学制药,1.869,2.1237
3254,603278.SH,大业股份,钢加工,1.8598,2.4486
3215,603177.SH,德创环保,环境保护,1.8596,1.8596
575,002112.SZ,三变科技,电气设备,1.859,2.4972
2616,600601.SH,方正科技,电脑设备,1.8481,2.0917
1098,002637.SZ,赞宇科技,日用化工,1.8459,2.1315
2045,300671.SZ,富满电子,半导体,1.8373,2.099
3318,603421.SH,鼎信通讯,通信设备,1.8337,1.8337
556,002093.SZ,国脉科技,电信运营,1.8326,3.8078
4,000006.SZ,深振业A,区域地产,1.8253,2.81
2099,300727.SZ,润禾材料,化工原料,1.8184,1.8184
1078,002617.SZ,露笑科技,电气设备,1.8165,3.7966
3244,603233.SH,大参林,医药商业,1.8102,1.8102
3130,603016.SH,新宏泰,电气设备,1.7947,2.9923
1185,002727.SZ,一心堂,医药商业,1.7942,2.3331
3210,603165.SH,荣晟环保,造纸,1.7885,1.7885
2655,600645.SH,中源协和,生物制药,1.7866,2.282
1656,300273.SZ,和佳股份,医疗保健,1.784,1.9523
3282,603330.SH,上海天洋,塑料,1.7779,2.0538
1126,002665.SZ,首航节能,电气设备,1.7779,2.4098
2611,600596.SH,新安股份,农药化肥,1.7756,2.281
1155,002694.SZ,顾地科技,塑料,1.7616,2.9126
571,002108.SZ,沧州明珠,塑料,1.75,2.7517
2069,300695.SZ,兆丰股份,汽车配件,1.74,1.74
1667,300284.SZ,苏交科,建筑施工,1.7381,2.0261
3203,603139.SH,康惠制药,中成药,1.7268,2.5057
1154,002693.SZ,双成药业,化学制药,1.7251,3.507
1180,002722.SZ,金轮股份,纺织机械,1.7243,2.2419
3209,603161.SH,科华控股,汽车配件,1.7186,1.7186
167,000586.SZ,汇源通信,通信设备,1.7109,2.468
2067,300693.SZ,盛弘股份,电气设备,1.7096,2.0077
1530,300146.SZ,汤臣倍健,食品,1.704,2.1455
2730,600728.SH,佳都科技,软件服务,1.6953,2.2427
3221,603186.SH,华正新材,元器件,1.6942,1.9525
1131,002670.SZ,国盛金控,证券,1.6909,2.6184
166,000585.SZ,*ST东电,电气设备,1.6865,1.9468
1028,002567.SZ,唐人神,饲料,1.6859,3.0466
464,002001.SZ,新和成,化学制药,1.6715,3.9048
1608,300225.SZ,金力泰,染料涂料,1.6714,2.4422
3242,603229.SH,奥翔药业,化学制药,1.6712,1.9792
622,002159.SZ,三特索道,旅游服务,1.6702,2.4876
3124,603009.SH,北特科技,汽车配件,1.6512,3.7001
3300,603366.SH,日出东方,家用电器,1.6509,4.6221
1145,002684.SZ,猛狮科技,电气设备,1.6504,3.0668
3147,603035.SH,常熟汽饰,汽车配件,1.6494,1.9013
34,000040.SZ,东旭蓝天,新型电力,1.6486,1.9292
130,000537.SZ,广宇发展,区域地产,1.6457,2.233
1662,300279.SZ,和晶科技,元器件,1.6455,2.3068
1648,300265.SZ,通光线缆,电气设备,1.644,5.0766
3302,603368.SH,柳药股份,医药商业,1.6356,2.3346
2093,300721.SZ,怡达股份,化工原料,1.6272,1.7844
1561,300177.SZ,中海达,通信设备,1.6256,1.8478
1163,002702.SZ,海欣食品,食品,1.6234,1.9542
3250,603266.SH,天龙股份,塑料,1.6229,1.6229
3283,603331.SH,百达精工,专用机械,1.6172,1.6172
1090,002629.SZ,仁智股份,石油开采,1.6127,1.6812
3251,603268.SH,松发股份,陶瓷,1.6093,4.0014
1594,300211.SZ,亿通科技,通信设备,1.6003,2.0123
3232,603208.SH,江山欧派,家居用品,1.5972,2.185
2674,600667.SH,太极实业,半导体,1.5898,2.3655
108,000509.SZ,华塑控股,其他建材,1.5731,2.2788
1621,300238.SZ,冠昊生物,医疗保健,1.5702,2.0228
2744,600742.SH,一汽富维,汽车配件,1.5701,2.1018
1655,300272.SZ,开能健康,环境保护,1.5683,2.8402
115,000519.SZ,中兵红箭,矿物制品,1.5668,1.6952
2086,300713.SZ,英可瑞,电气设备,1.5627,2.6352
2223,600122.SH,宏图高科,其他商业,1.5614,2.0444
619,002156.SZ,通富微电,半导体,1.5527,3.279
1642,300259.SZ,新天科技,电器仪表,1.5473,1.938
2213,600112.SH,天成控股,电气设备,1.546,1.8932
1103,002642.SZ,荣之联,软件服务,1.537,2.1078
3201,603136.SH,天目湖,旅游景点,1.5368,1.5368
1630,300247.SZ,乐金健康,医疗保健,1.5275,1.7786
489,002026.SZ,山东威达,机械基件,1.5266,2.3957
1617,300234.SZ,开尔新材,陶瓷,1.5218,2.0431
540,002077.SZ,大港股份,区域地产,1.5184,3.5876
620,002157.SZ,正邦科技,饲料,1.5159,2.781
1552,300168.SZ,万达信息,软件服务,1.5141,2.3529
2757,600756.SH,浪潮软件,软件服务,1.5045,1.8595
1080,002619.SZ,艾格拉斯,互联网,1.4945,2.3827
986,002524.SZ,光正集团,供气供热,1.4864,2.0372
2206,600105.SH,永鼎股份,通信设备,1.4846,2.6355
86,000416.SZ,民生控股,多元金融,1.4828,1.915
1618,300235.SZ,方直科技,软件服务,1.4686,1.7082
582,002119.SZ,康强电子,半导体,1.4628,3.3084
3279,603326.SH,我乐家居,家居用品,1.4626,1.6811
1691,300308.SZ,中际旭创,电气设备,1.4611,3.5281
1526,300142.SZ,沃森生物,生物制药,1.4562,1.8598
1649,300266.SZ,兴源环境,环境保护,1.4545,2.4153
3144,603031.SH,安德利,百货,1.4538,1.7632
2160,600055.SH,万东医疗,医疗保健,1.4525,3.1815
1099,002638.SZ,勤上股份,半导体,1.4466,1.9557
3238,603225.SH,新凤鸣,化纤,1.4422,1.4422
3139,603026.SH,石大胜华,化工原料,1.4417,2.3448
512,002049.SZ,紫光国微,元器件,1.4351,2.3724
1111,002650.SZ,加加食品,食品,1.4335,2.0479
1114,002653.SZ,海思科,化学制药,1.4301,3.8336
1147,002686.SZ,亿利达,专用机械,1.4287,2.0489
3217,603179.SH,新泉股份,汽车配件,1.4269,1.5235
1097,002636.SZ,金安国纪,元器件,1.4244,1.5751
1040,002579.SZ,中京电子,元器件,1.4242,3.151
2702,600698.SH,湖南天雁,汽车配件,1.4225,2.4293
1624,300241.SZ,瑞丰光电,半导体,1.4143,1.691
1547,300163.SZ,先锋新材,其他建材,1.4118,1.6511
168,000587.SZ,金洲慈航,批发业,1.41,2.098
1128,002667.SZ,鞍重股份,工程机械,1.4081,2.0737
1089,002628.SZ,成都路桥,建筑施工,1.4055,2.48
3190,603113.SH,金能科技,化工原料,1.4008,1.718
2095,300723.SZ,一品红,化学制药,1.3999,1.3999
3159,603056.SH,德邦股份,仓储物流,1.3888,1.3888
3307,603383.SH,顶点软件,软件服务,1.3876,1.6434
581,002118.SZ,紫鑫药业,中成药,1.3815,3.0766
3314,603396.SH,金辰股份,专用机械,1.3801,2.0945
