,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
20,300314.SZ,300314,戴维医疗,医疗保健,True,22.63,True,True,中国工商银行股份有限公司-嘉实事件驱动股票型证券投资基金,1.0
21,603301.SH,603301,振德医疗,医疗保健,True,94.51,True,True,,0.0
22,600833.SH,600833,第一医药,医药商业,True,13.5,True,True,,0.0
23,603718.SH,603718,海利生物,生物制药,True,28.61,True,True,,0.0
24,603880.SH,603880,南卫股份,医疗保健,True,22.25,True,True,,0.0
25,603976.SH,603976,正川股份,医疗保健,True,63.36,True,True,,0.0
26,002437.SZ,002437,誉衡药业,化学制药,True,3.98,True,True,,0.0
27,688298.SH,688298,东方生物,医疗保健,True,241.93,True,True,,0.0
28,688310.SH,688310,迈得医疗,医疗保健,True,45.9,True,True,,0.0
29,002390.SZ,002390,信邦制药,中成药,True,5.56,True,True,,0.0
30,688399.SH,688399,硕世生物,医疗保健,True,414.5,True,True,,0.0
