,COL_CONCEPT,COL_AVERAGE_EIGEN_SLOPE
105,小米概念股,4.48
106,军工研究所,4.46
107,广西,4.4
108,人脸识别,4.39
109,OLED,4.37
110,养猪,4.37
111,动物保健,4.37
112,中字头,4.32
113,煤化工,4.31
114,旅游,4.31
115,装配式建筑,4.27
116,大气治理,4.25
117,LED,4.25
118,智慧物流,4.25
119,科创板概念股,4.21
120,化肥,4.19
121,山东国企改革,4.18
122,创新药,4.15
123,石墨烯,4.14
124,网络安全,4.14
125,北汽新能源,4.12
126,电竞,4.1
127,期货概念,4.09
128,上海国企改革,4.02
129,数字中国,4.01
130,药品信息化追溯,4.01
131,手游,4.01
132,海南自由贸易港,3.96
133,储能,3.95
134,民营医院,3.94
135,稀土磁材,3.94
136,海南,3.9
137,VR&AR,3.89
138,有色金属,3.83
139,土地流转,3.81
140,游戏,3.8
141,饲料,3.8
142,智慧停车,3.77
143,养老产业,3.77
144,电子车牌,3.77
145,券商,3.76
146,浙江国企改革,3.73
147,量子通信,3.73
148,家电,3.72
149,影视,3.72
150,水电,3.7
151,知识产权,3.69
152,白糖,3.69
153,腾讯概念股,3.65
154,3D打印,3.64
155,无线充电,3.64
156,石油化工,3.62
157,新零售,3.59
158,大基建,3.58
159,深圳本地股/深汕合作,3.57
160,供应链金融,3.55
161,股权争夺,3.46
162,移动支付,3.46
163,新疆,3.44
164,宁德时代概念股,3.43
165,国产操作系统,3.4
166,冷链,3.39
167,煤炭,3.37
168,新疆国企改革,3.35
169,新进指数成份股,3.34
170,汽车销售,3.32
171,虹膜识别,3.28
172,水利,3.26
173,大飞机,3.26
174,雄安-公共服务,3.24
175,兜底式增持,3.23
176,银行,3.22
177,维生素,3.19
178,基因测序,3.18
179,雄安-工程基建,3.18
180,白马股,3.17
181,苹果产业链,3.15
182,雄安-智慧城市,3.12
183,彩票,3.1
184,天津国企改革,3.05
185,大消费,3.05
186,航母,3.03
187,包装印刷,3.02
188,通用航空,3.0
189,无人商店,3.0
190,农业种植,2.95
191,蚂蚁金服概念股,2.92
192,中韩自贸区,2.92
193,PCB板,2.9
194,海绵城市,2.88
195,有色-铜,2.87
196,农药,2.87
197,小家电,2.87
198,雄安-建材,2.83
199,固废处理,2.81
200,体育产业,2.8
201,农机,2.79
202,东盟博览会,2.77
203,住房租赁,2.73
204,恒大概念股,2.71
205,3D感应,2.71
206,二胎,2.69
207,环杭州湾大湾区,2.69
208,互联网医疗,2.66
209,智能仪表,2.6
210,谷歌概念股,2.53
211,军工混改,2.48
212,金改,2.46
213,进口博览会,2.45
214,地下管廊,2.41
215,家具家居,2.39
216,白色家电,2.36
217,碳纤维,2.36
218,保险,2.34
219,医疗信息化,2.31
220,油品升级,2.3
221,安邦系,2.28
222,参股券商,2.28
223,黄金,2.26
224,有色-铝,2.26
225,无人银行,2.24
226,宝能系,2.19
227,人民币贬值受益,2.17
228,装修装饰,2.13
229,富勒烯,2.11
230,万达系,2.07
231,医药商业,2.07
232,健康中国,2.05
233,钢铁,2.03
234,次新股,1.94
235,主题公园,1.93
236,乳业（奶粉）,1.91
237,雄安-园林环保,1.9
238,动漫,1.88
239,保健品,1.83
240,人民币升值受益,1.82
241,机器视觉,1.8
242,眼科,1.79
243,内蒙古,1.62
244,山西国企改革,1.61
245,碳交易,1.6
246,足球,1.59
247,铁总混改,1.58
248,指纹识别,1.53
249,机械,1.51
250,高速公路,1.5
251,跨境电商,1.49
252,京东金融概念股,1.48
253,甲醇,1.47
254,工业大麻,1.46
255,地热,1.37
256,转基因,1.36
257,高校系,1.34
258,滴滴出行概念股,1.32
259,民爆,1.3
260,振兴东北,1.27
261,棉花,1.25
262,有色-锌,1.23
263,雄安-金融,1.14
264,福建自贸区,1.14
265,航运,1.14
266,白酒,1.11
267,园林,1.06
268,雄安-地产,0.97
269,高价股,0.96
270,手势识别,0.93
271,中科院系,0.87
272,广电,0.77
273,湖南国企改革,0.76
274,有色-钴,0.74
275,天津自贸区,0.71
276,石墨电极,0.7
277,水务,0.7
278,林业,0.62
279,透明工厂,0.6
280,雄安-周边,0.58
281,农垦,0.55
282,PVC,0.5
283,AH溢价股,0.44
284,化妆品,0.36
285,西藏,0.35
286,有色-钛,0.34
287,空铁WiFi,0.33
288,雄安-设计,0.3
289,被动元件,0.25
290,海底捞概念股,0.22
291,高送转-填权,0.22
292,养老金持股,0.21
293,耐火材料,0.2
294,调味品,0.2
295,燃料乙醇,0.14
296,黑色家电,0.12
297,有色-钼,0.12
298,有色-钨,0.08
299,有色-镍,-0.03
300,北京城市规划,-0.04
301,美团概念股,-0.14
302,有色-锆,-0.16
303,烧碱,-0.17
304,环氧丙烷,-0.19
305,轮胎,-0.21
306,直播/短视频,-0.24
307,玻璃,-0.31
308,疫苗,-0.34
309,超级高铁,-0.37
310,赛马,-0.44
311,锦纶（尼龙）,-0.45
312,休闲食品,-0.47
313,有色-钒,-0.52
314,饮料,-0.55
315,有色-锑,-0.56
316,有色-镁,-0.58
317,重卡,-0.61
318,流感,-0.62
319,玻纤,-0.69
320,纯碱,-0.7
321,涤纶,-0.71
322,创业板人气股,-0.75
323,智能音箱,-0.83
324,染料,-0.83
325,铁矿石,-0.89
326,机场,-0.9
327,磷化工,-0.91
328,有机硅,-0.98
329,太赫兹,-0.98
330,PD-1抑制剂,-1.02
331,钛白粉,-1.06
332,河南自贸区,-1.08
333,厨卫家电,-1.12
334,迈瑞医疗概念股,-1.15
335,筹码集中,-1.16
336,橡胶,-1.2
337,民航,-1.22
338,水泥,-1.26
339,精准医疗,-1.27
340,啤酒,-1.34
341,苹果期货,-1.34
342,醋酸,-1.4
343,印染,-1.42
344,血制品,-1.48
345,炭黑,-1.48
346,脑科学,-1.51
347,粘胶短纤,-1.51
348,草甘膦,-1.52
349,密集调研,-1.54
350,制冷剂,-1.64
351,芬太尼概念,-1.83
352,南北船合并,-1.91
353,电子发票,-1.97
354,草铵膦,-2.74
355,破发次新,-5.98
356,硅锰,-12.4
