,ts_code,name,industry,COL_LASTPRICE,COL_LAST_PCT_CHG,concept,circ_mv
15,601118.SH,海南橡胶,橡胶,5.27,2.9297,"赛马, 农垦, 土地流转, 海南自由贸易港, 自贸区, 农业种植, 自由贸易港, 资产重组, 海南, 橡胶, ",225.53亿
16,002889.SZ,东方嘉盛,仓储物流,25.05,2.7482,"5G, 高送转-预期, 智慧物流, 智能制造, 快递物流, 大数据, 自贸区, 自由贸易港, 上海自由贸易港, ",9.32亿
17,002596.SZ,海南瑞泽,其他建材,8.11,2.6582,"赛马, 固废处理, 旅游, 园林, 特色小镇, 雄安-建材, 海南自由贸易港, PPP, 环保, 雄安新区, 自贸区, 自由贸易港, 海南, ",72.87亿
18,601872.SH,招商轮船,水运,4.29,2.6316,"航运, 央企改革, 业绩预增, 天然气, 自贸区, 自由贸易港, 上海自由贸易港, ",202.53亿
19,000571.SZ,*ST大洲,综合类,2.63,2.3346,"通用航空, 食品, 海南自由贸易港, 低价股, 自贸区, 自由贸易港, 复牌股, ST股, 海南, ",21.16亿
20,600238.SH,ST椰岛,红黄药酒,8.84,2.1965,"饮料, 保健品, 食品, 海南自由贸易港, 举牌股, 自贸区, 自由贸易港, 复牌股, ST股, 海南, 燃料乙醇, ",39.34亿
21,600676.SH,交运股份,公共交通,5.29,2.1236,"破净股, 汽车零部件, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, ",50.89亿
22,603535.SH,嘉诚国际,仓储物流,19.42,2.0494,"物联网, 智慧物流, 智能制造, 快递物流, 自贸区, 自由贸易港, 上海自由贸易港, ",12.83亿
23,600648.SH,外高桥,园区开发,21.16,1.9268,"MSCI, 参股券商, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, 创投, ",197.8亿
24,002401.SZ,中远海科,软件服务,10.82,1.8832,"阿里巴巴概念股, 央企改革, 进口博览会, 自贸区, 自由贸易港, 上海自由贸易港, ",32.69亿
25,600692.SH,亚通股份,房产服务,7.73,1.5769,"赛马, 房地产, 土地流转, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, ",19.71亿
26,600278.SH,东方创业,商贸代理,13.81,1.2463,"业绩预增, 参股券商, 上海国企改革, 进口博览会, 自贸区, 自由贸易港, 独角兽, 上海自由贸易港, 强势人气股, 科创板概念股, ",
27,603069.SH,海汽集团,公路,6.96,1.1628,"汽车销售, 海南自由贸易港, 自贸区, 自由贸易港, 共享经济, 海南, ",12.1亿
28,600663.SH,陆家嘴,园区开发,17.16,1.0006,"房地产, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, 创投, ",419.49亿
29,600515.SH,海航基础,全国地产,5.38,0.7491,"破净股, 雄安-金融, 高质押率, 房地产, 海南自由贸易港, 雄安新区, 自贸区, 天津国企改革, 自由贸易港, 资产重组, 海南, ",89.22亿
30,000886.SZ,海南高速,路桥,4.07,0.7426,"高速公路, 业绩预增, 特色小镇, 海南自由贸易港, 自贸区, 自由贸易港, 海南, ",39.42亿
31,603882.SH,金域医学,医疗保健,35.56,0.6225,"华为产业链, 海南自由贸易港, 基因测序, 自贸区, 自由贸易港, 体外诊断, ",99.44亿
32,600138.SH,中青旅,旅游服务,13.35,0.5271,"大消费, 央企改革, 社保重仓, 旅游, 特色小镇, 海南自由贸易港, 自贸区, 自由贸易港, 彩票, ",96.63亿
33,000735.SZ,罗牛山,农业综合,9.91,0.5071,"赛马, 教育, 转基因, 养猪, 业绩预增, 农垦, 土地流转, 海南自由贸易港, 冷链, 大数据, 自贸区, 自由贸易港, 体育产业, 海南, ",114.05亿
34,600555.SH,海航创新,旅游服务,2.94,0.3413,"赛马, 旅游, 特色小镇, 海南自由贸易港, 低价股, 自贸区, 自由贸易港, 海南, ",28.62亿
35,000613.SZ,大东海A,旅游服务,6.28,0.3195,"海南自由贸易港, 自贸区, 自由贸易港, 海南, ",16.68亿
36,002693.SZ,双成药业,化学制药,4.61,0.2174,"医药, 化学药, 海南自由贸易港, 自贸区, 自由贸易港, 海南, ",18.6亿
37,600826.SH,兰生股份,商贸代理,11.37,0.0,"高股息, 上海国企改革, 进口博览会, 自贸区, 自由贸易港, 上海自由贸易港, ",47.83亿
38,002159.SZ,三特索道,旅游服务,17.38,-0.0575,"旅游, 乡村振兴, 业绩预增, 海南自由贸易港, 自贸区, 自由贸易港, ",24.08亿
39,601888.SH,中国国旅,旅游服务,77.02,-0.1685,"MSCI, 中字头, 人民币升值受益, 阿里巴巴概念股, 大消费, 央企改革, 旅游, 中韩自贸区, 海南自由贸易港, 自贸区, 自由贸易港, 股权转让, ",1503.8亿
40,600119.SH,*ST长投,仓储物流,5.48,-0.1821,"智慧物流, 智能制造, 上海国企改革, 快递物流, 自贸区, 自由贸易港, 复牌股, ST股, 上海自由贸易港, ",16.85亿
41,600895.SH,张江高科,园区开发,18.69,-0.6908,"金改, 房地产, 上海国企改革, 自贸区, 人工智能, 自由贸易港, 独角兽, 蚂蚁金服概念股, 上海自由贸易港, 创投, ",289.45亿
42,601199.SH,江南水务,水务,3.78,-0.7874,"水务, 海南自由贸易港, PPP, 自贸区, 自由贸易港, ",35.35亿
43,000955.SZ,欣龙控股,纺织,5.0,-0.7937,"纺织服装, 医药, 创新药, 化学药, 海南自由贸易港, 自贸区, 自由贸易港, 壳公司, 海南, ",26.88亿
44,000537.SZ,广宇发展,区域地产,7.41,-0.9358,"新进指数成份股, 央企改革, 房地产, 土地流转, 海南自由贸易港, 京津冀, 自贸区, 自由贸易港, ",30.08亿
45,000793.SZ,华闻传媒,出版业,3.78,-1.0471,"参股券商, 物联网, 海南自由贸易港, 自贸区, 自由贸易港, VR&AR, 海南, 动漫, 创投, ",73.29亿
46,300086.SZ,康芝药业,化学制药,6.48,-1.0687,"二胎, 民营医院, 医药, 化学药, 海南自由贸易港, 基因测序, 自贸区, 自由贸易港, 海南, ",28.23亿
47,600759.SH,洲际油气,石油开采,3.58,-1.105,"油服, 油气改革, 海南自由贸易港, 燃料电池, 互联网金融, 自贸区, 自由贸易港, 资产重组, 海南, ",80.84亿
48,601969.SH,海南矿业,普钢,5.3,-1.1194,"油服, 铁矿石, 海南自由贸易港, 自贸区, 自由贸易港, 海南, ",103.6亿
49,000567.SZ,海德股份,多元金融,11.86,-1.1667,"债转股-AMC, 高质押率, 海南自由贸易港, 自贸区, 自由贸易港, 海南, ",17.82亿
50,000503.SZ,国新健康,医疗保健,20.48,-1.3962,"海南自由贸易港, 自贸区, 互联网医疗, 自由贸易港, 海南, ",184.08亿
51,600392.SH,盛和资源,小金属,9.7,-1.4228,"有色-锆, MSCI, 回购, 有色金属, 稀土磁材, 海南自由贸易港, 自贸区, 自由贸易港, 有色-钛, ",139.12亿
52,002065.SZ,东华软件,软件服务,7.48,-1.4493,"MSCI, 阿里巴巴概念股, 兜底式增持, 雄安-智慧城市, 海南自由贸易港, 雄安新区, 大数据, 云计算, 自贸区, 人工智能, 互联网医疗, 区块链, 智慧城市, 国产软件, 自由贸易港, 京东金融概念股, 腾讯概念股, 医疗信息化, 独角兽, ",210.01亿
53,600157.SH,永泰能源,煤炭开采,1.94,-1.5228,"火电, 煤炭, 二胎, 民营医院, 页岩气, 高质押率, 海南自由贸易港, 低价股, 自贸区, 自由贸易港, ",241.06亿
54,300075.SZ,数字政通,软件服务,11.36,-1.815,"雄安-智慧城市, 定增破发, 海南自由贸易港, 数字中国, 雄安新区, 雄安-工程基建, 京津冀, 大数据, 自贸区, 智慧城市, 国产软件, 自由贸易港, ",34.19亿
55,300144.SZ,宋城演艺,旅游景点,21.11,-1.8596,"主题公园, MSCI, 大消费, 社保重仓, 旅游, 海南自由贸易港, 创业板人气股, 直播/短视频, 自贸区, 自由贸易港, VR&AR, 动漫, ",249.77亿
56,600221.SH,海航控股,空运,2.06,-1.9048,"破净股, 海南自由贸易港, 低价股, 自贸区, 自由贸易港, 资产重组, 海南, 民航, ",338.58亿
57,603869.SH,新智认知,软件服务,19.1,-2.3517,"航运, 旅游, 回购, 海南自由贸易港, 大数据, 自贸区, 智慧城市, 自由贸易港, 广西, ",51.21亿
58,300370.SZ,安控科技,电器仪表,4.15,-2.5822,"油服, 油气改革, 天然气, 石油化工, 兜底式增持, 物联网, 工业自动化, 海南自由贸易港, 智能制造, 自贸区, 工业互联网, 智慧城市, 自由贸易港, 国产芯片, 智慧安防, 机器人, 创投, 透明工厂, ",29.98亿
59,000572.SZ,*ST海马,汽车整车,2.08,-2.8037,"新能源整车, 汽车整车, 破净股, 无人驾驶, 海南自由贸易港, 新能源汽车, 低价股, 自贸区, 自由贸易港, 共享经济, ST股, 海南, ",34.16亿
60,002865.SZ,钧达股份,汽车配件,20.76,-2.8999,"高送转-预期, 汽车零部件, 海南自由贸易港, 自贸区, 自由贸易港, 海南, ",7.91亿
61,600009.SH,上海机场,机场,70.46,-2.9477,"机场, 白马股, MSCI, 大消费, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, ",770.46亿
62,300630.SZ,普利制药,化学制药,71.75,-2.975,"业绩预增, 医药, 化学药, 海南自由贸易港, 高送转, 自贸区, 自由贸易港, 海南, ",71.02亿
63,300324.SZ,旋极信息,软件服务,6.25,-3.2508,"阿里巴巴概念股, 华为产业链, 大飞机, 通用航空, 军工, 军民融合, 物联网, 北斗导航, 网络安全, 海南自由贸易港, 互联网金融, 大数据, 自贸区, 半导体, 智慧城市, 自由贸易港, 国产芯片, 电子发票, 独角兽, ",65.93亿
64,000566.SZ,海南海药,化学制药,6.71,-3.4532,"业绩预增, 医药, 创新药, 化学药, 海南自由贸易港, 医疗器械, 自贸区, 互联网医疗, 自由贸易港, 股权转让, 复牌股, 国资入股, 资产重组, 独角兽, 海南, 科创板概念股, ",80.75亿
65,002354.SZ,天神娱乐,互联网,4.24,-3.8549,"定增破发, 海南自由贸易港, 互联网金融, 自贸区, 自由贸易港, 独角兽, 游戏, 手游, ",29.19亿
66,600258.SH,首旅酒店,酒店餐饮,17.9,-4.6351,"主题公园, MSCI, 阿里巴巴概念股, 大消费, 北京城市规划, 社保重仓, 旅游, 海南自由贸易港, 京津冀, 住房租赁, 自贸区, 自由贸易港, 共享经济, ",111.81亿
67,600209.SH,ST罗顿,综合类,3.87,-4.914,"土地流转, 海南自由贸易港, 快递物流, 自贸区, 区块链, 自由贸易港, 复牌股, ST股, 装修装饰, 海南, ",16.99亿
68,603222.SH,济民制药,化学制药,34.99,-5.099,"民营医院, 海南自由贸易港, 医疗器械, 自贸区, 自由贸易港, ",111.97亿
69,600179.SH,安通控股,仓储物流,5.49,-7.5758,"航运, 智慧物流, 高质押率, 海南自由贸易港, 智能制造, 互联网金融, 快递物流, 自贸区, 自由贸易港, ",36.98亿
