,ts_code,symbol,name,industry,COL_JUMP_OFF_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
46,600593.SH,600593,大连圣亚,旅游服务,-52.62782401902497,33.59,"上海盈嘉信投资管理合伙企业(有限合伙)-盈嘉信多信1号私募证券投资基金
浙江兆信投资管理有限公司-兆信双喜2号私募证券投资基金
磐京股权投资基金管理(上海)有限公司
磐京股权投资基金管理(上海)有限公司-磐京稳赢6号私募证券投资基金",4.0
47,600333.SH,600333,长春燃气,供气供热,-52.53505933117584,28.38,,0.0
48,002776.SZ,002776,柏堡龙,服饰,-52.504038772213256,21.2,"浙江品润投资管理有限公司-品润FOF品人2期私募证券投资基金
浙商财富(北京)投资基金管理有限公司-浙商投资合旭1号私募证券投资基金
浙商财富(北京)投资基金管理有限公司-浙商投资长盈二号私募证券投资基金",3.0
49,300537.SZ,300537,广信材料,染料涂料,-52.33843537414966,16.71,,0.0
50,300938.SZ,300938,信测标准,综合类,-52.10304942166141,7.47,,0.0
51,603976.SH,603976,正川股份,医疗保健,-51.84389545291801,65.08,,0.0
52,600121.SH,600121,郑州煤电,煤炭开采,-51.716738197424895,56.05,中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金,1.0
53,600291.SH,600291,西水股份,保险,-51.298701298701296,39.02,雪松国际信托股份有限公司,1.0
54,688557.SH,688557,兰剑智能,专用机械,-51.163498098859314,5.82,,0.0
55,300293.SZ,300293,蓝英装备,专用机械,-51.153846153846146,38.91,浙江九章资产管理有限公司-九章幻方中证500量化进取5号私募基金,1.0
56,300389.SZ,300389,艾比森,半导体,-51.13333333333333,13.34,"中央汇金资产管理有限责任公司
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
57,600403.SH,600403,大有能源,煤炭开采,-51.12903225806452,85.59,"中央汇金资产管理有限责任公司
中国华融资产管理股份有限公司",2.0
58,002646.SZ,002646,青青稞酒,白酒,-51.04289649744196,58.79,"博时基金-农业银行-博时中证金融资产管理计划
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央汇金资产管理有限责任公司
华夏基金-农业银行-华夏中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划",8.0
59,300062.SZ,300062,中能电气,电气设备,-50.96217650962177,18.58,,0.0
60,300915.SZ,300915,海融科技,食品,-50.95470383275262,10.7,,0.0
61,300208.SZ,300208,青岛中程,电气设备,-50.81249999999999,68.88,"珠海回声资产管理有限公司-回声1号私募基金
宁波梅山保税港区荟金投资管理有限公司-荟金1号私募证券投资基金
宁波梅山保税港区荟金投资管理有限公司-荟金2号私募证券投资基金",3.0
62,000523.SZ,000523,广州浪奇,日用化工,-50.735294117647065,16.99,上海通怡投资管理有限公司-通怡梧桐11号私募证券投资基金,1.0
63,002316.SZ,002316,亚联发展,软件服务,-50.44722719141323,11.62,上海创奥投资管理合伙企业(有限合伙)-奥凯盛鑫7号私募证券投资基金,1.0
64,300928.SZ,300928,华安鑫创,汽车服务,-50.40790532000461,8.97,,0.0
65,002042.SZ,002042,华孚时尚,纺织,-50.3896103896104,78.03,"金鹰基金-工商银行-万向信托-万向信托-星辰39号事务管理类单一资金信托
香港中央结算有限公司(陆股通)
金元顺安基金-兴业银行-上海爱建信托-爱建信托欣欣7号定向增发事务管理类单一资金信托
富荣基金-深圳市前海富银城投基金管理有限公司-富荣卓越1号单一资产管理计划
泰达宏利基金-招商银行-长安国际信托-长安信托·华孚色纺定增单一资金信托",5.0
66,300356.SZ,300356,光一科技,电气设备,-50.069541029207244,16.81,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
67,300766.SZ,300766,每日互动,互联网,-49.81684981684982,48.53,"中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
全国社保基金五零三组合",2.0
68,688788.SH,688788,科思科技,通信设备,-49.79583333333334,20.04,,0.0
69,603825.SH,603825,华扬联众,互联网,-49.75388110564181,34.5,"东方富海(芜湖)二号股权投资基金(有限合伙)
东方富海(芜湖)股权投资基金(有限合伙)",2.0
70,300140.SZ,300140,中环装备,环境保护,-49.71623155505108,25.03,"中央汇金资产管理有限责任公司
中国华融资产管理股份有限公司",2.0
71,600381.SH,600381,青海春天,医疗保健,-49.705304518664036,31.99,,0.0
72,000929.SZ,000929,兰州黄河,啤酒,-49.69230769230769,12.63,,0.0
73,600393.SH,600393,粤泰股份,全国地产,-49.675324675324674,17.89,,0.0
74,300609.SZ,300609,汇纳科技,互联网,-49.60965223562811,15.8,"招商银行股份有限公司-工银瑞信圆兴混合型证券投资基金
兴业银行股份有限公司-工银瑞信文体产业股票型证券投资基金
基本养老保险基金一二零四组合
中国农业银行股份有限公司-工银瑞信高质量成长混合型证券投资基金
华菱津杉(天津)产业投资基金合伙企业(有限合伙)
招商银行股份有限公司-工银瑞信科技创新3年封闭运作混合型证券投资基金",6.0
75,300503.SZ,300503,昊志机电,机械基件,-49.59349593495935,26.7,"上海迎水投资管理有限公司-迎水和谐3号私募证券投资基金
上海迎水投资管理有限公司-迎水和谐4号私募证券投资基金
上海通怡投资管理有限公司-通怡海川12号私募证券投资基金
广州市玄元投资管理有限公司-玄元定增精选证券投资基金
上海通怡投资管理有限公司-通怡东风3号私募证券投资基金
上海通怡投资管理有限公司-通怡桃李2号私募证券投资基金",6.0
76,300514.SZ,300514,友讯达,通信设备,-49.48702474351238,15.86,,0.0
77,300913.SZ,300913,兆龙互连,电气设备,-49.455205811138015,7.85,,0.0
78,300167.SZ,300167,迪威迅,通信设备,-49.435028248587564,13.03,"中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
79,002348.SZ,002348,高乐股份,文教休闲,-49.390243902439025,16.89,,0.0
80,600616.SH,600616,金枫酒业,红黄酒,-49.36507936507937,43.15,,0.0
81,300708.SZ,300708,聚灿光电,半导体,-49.35774801858431,41.79,,0.0
82,300727.SZ,300727,润禾材料,化工原料,-49.02040816326531,33.96,北京泰德圣投资有限公司-泰德圣-价值1期私募证券投资基金,1.0
83,300419.SZ,300419,浩丰科技,软件服务,-48.761061946902664,25.08,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
84,001896.SZ,001896,豫能控股,火力发电,-48.72521246458924,69.38,,0.0
85,002618.SZ,002618,丹邦科技,元器件,-48.64532019704433,27.56,香港中央结算有限公司(陆股通),1.0
86,002235.SZ,002235,安妮股份,互联网,-48.55305466237942,20.15,,0.0
87,300301.SZ,300301,长方集团,半导体,-48.41930116472546,23.77,安信基金-浦发银行-深圳市鼎萨恒顺投资有限公司,1.0
88,300424.SZ,300424,航新科技,航空,-48.298718515245255,26.27,"中国建设银行股份有限公司-长信国防军工量化灵活配置混合型证券投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
宁波梅山保税港区凌顶投资管理有限公司-凌顶恒誉穿云航空产业1号私募证券投资基金",3.0
89,000798.SZ,000798,中水渔业,渔业,-48.24372759856631,29.77,,0.0
90,300717.SZ,300717,华信新材,塑料,-48.16440542697526,14.96,"中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0
91,300318.SZ,300318,博晖创新,医疗保健,-48.06110458284372,67.9,"中央汇金资产管理有限责任公司
中国银行股份有限公司-国泰中证生物医药交易型开放式指数证券投资基金",2.0
92,300711.SZ,300711,广哈通信,通信设备,-48.05785123966941,33.03,北京汐合精英投资有限公司-汐合量化1号私募证券投资基金,1.0
93,300189.SZ,300189,神农科技,种植业,-48.029197080291965,52.29,湖南省财信产业基金管理有限公司,1.0
94,300094.SZ,300094,国联水产,渔业,-47.93510324483776,34.74,"广东省农业供给侧结构性改革基金管理有限公司-广东省农业供给侧结构性改革基金合伙企业(有限合伙)
中国华融资产管理股份有限公司
中国对外经济贸易信托有限公司-外贸信托-汇沣8号结构化证券投资集合资金信托计划",3.0
95,000502.SZ,000502,绿景控股,综合类,-47.861507128309576,11.28,"山东省国际信托股份有限公司-山东信托·德善齐家231号家族信托
上海庞增投资管理中心(有限合伙)-庞增添益3号私募投资基金",2.0
96,300162.SZ,300162,雷曼光电,元器件,-47.845303867403324,15.69,深圳市君安恒利资产管理有限公司-恒利稳健1号证券投资基金,1.0
97,600889.SH,600889,南京化纤,化纤,-47.7922077922078,17.44,"上海芮翊投资管理有限公司-芮翊乾亨2号私募投资基金
南京国资混改基金有限公司
上海芮翊投资管理有限公司-芮翊乾亨1号私募投资基金",3.0
98,000564.SZ,000564,*ST大集,百货,-47.74774774774775,40.12,"上海并购股权投资基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
方正富邦基金-光大银行-陕西省国际信托-陕国投·盛唐70号定向投资集合资金信托计划
中融国际信托有限公司-中融-日进斗金14号证券投资集合资金信托计划
西部利得基金-交通银行-哈尔滨嘉悦投资有限公司",5.0
99,300935.SZ,300935,盈建科,软件服务,-47.74126117756358,13.02,,0.0
