,ts_code,name,industry,turnover_rate,continuously_up,average_p_change,float_share,free_share,circ_mv
2232,600132.SH,重庆啤酒,啤酒,0.2247,5.0,0.8,48397.1198,19358.848,1308658.1194
37,000045.SZ,深纺织A,纺织,1.2319,5.0,1.403,45701.6599,20681.8131,281979.2416
1000,002539.SZ,云图控股,农药化肥,0.63,5.0,1.15,60554.9663,47642.5926,278552.845
547,002084.SZ,海鸥住工,家居用品,0.3948,5.0,1.086,49791.4834,26853.7054,221074.1863
1006,002545.SZ,东方铁塔,钢加工,0.6392,5.0,0.95,61844.9535,24587.1703,367977.4733
2406,600333.SH,长春燃气,供气供热,2.4454,5.0,1.25,52961.9808,25121.9808,335778.9583
3474,603816.SH,顾家家居,家居用品,1.4187,5.0,2.03,8910.0,8531.7994,448885.8
1007,002546.SZ,新联电子,电气设备,0.4951,5.0,1.051,78011.7646,39963.6392,312827.176
13,000017.SZ,深中华A,文教休闲,9.5653,5.0,2.612,30298.1008,23947.2261,159670.9912
969,002507.SZ,涪陵榨菜,食品,0.6335,5.0,1.428,77977.2331,42640.7867,1761505.6957
2379,600303.SH,曙光股份,汽车整车,7.3786,5.0,1.987,62032.4296,48675.7343,291552.4191
3534,603933.SH,睿能科技,纺织机械,10.8558,5.0,3.812,3593.8,3593.8,83016.78
2766,600766.SH,园城黄金,黄金,11.1099,4.0,0.662,22393.2072,15929.2072,188102.9405
3316,603399.SH,吉翔股份,小金属,0.6367,4.0,0.217,50805.0649,33421.0532,538025.6373
2540,600515.SH,海航基础,全国地产,0.3741,3.0,-0.368,165829.5366,153008.1196,890504.6115
62,000150.SZ,宜华健康,医疗保健,3.1373,3.0,2.721,57570.7316,25720.8516,860106.7301
2863,600874.SH,创业环保,环境保护,3.7272,3.0,2.757,108722.843,37166.3244,1043739.2928
944,002482.SZ,广田集团,装修装饰,1.0598,3.0,1.838,152929.5846,49865.5316,896167.3658
2154,600048.SH,保利地产,全国地产,0.369,3.0,0.001,1177016.4303,704580.2107,14924568.3362
428,000961.SZ,中南建设,建筑施工,0.2851,3.0,0.829,369983.825,168067.6875,2330898.0975
1264,002812.SZ,恩捷股份,广告包装,1.4061,3.0,-0.165,12706.3175,12690.5375,669622.9323
182,000605.SZ,渤海股份,水务,5.6242,3.0,4.486,27298.7492,11960.1336,276536.3294
3185,603105.SH,芯能科技,电气设备,3.9838,3.0,-1.044,8800.0,8800.0,117744.0
793,002331.SZ,皖通科技,软件服务,2.6558,3.0,1.258,30325.3261,29825.7522,277476.7338
883,002421.SZ,达实智能,软件服务,2.3037,3.0,2.234,148781.6488,104754.0974,605541.3106
984,002522.SZ,浙江众成,塑料,1.727,3.0,1.578,84782.2328,44404.7672,463758.8134
2412,600340.SH,华夏幸福,区域地产,0.6532,3.0,2.405,295494.6709,122807.9495,8214751.851
510,002047.SZ,宝鹰股份,装修装饰,1.1088,3.0,1.951,126306.311,68880.9109,927088.3227
3460,603789.SH,星光农机,农用机械,0.9684,3.0,0.9,26000.0,8285.615,325780.0
968,002506.SZ,协鑫集成,电气设备,0.5134,2.0,0.92,252352.0,155552.8229,1259236.48
648,002185.SZ,华天科技,半导体,1.2126,2.0,0.148,213043.8916,158186.6643,884132.1501
2591,600575.SH,皖江物流,水运,0.2809,2.0,-0.796,312513.2108,154947.4451,775032.7628
2985,601177.SH,杭齿前进,机械基件,0.2059,2.0,-0.114,40006.0,19514.375,350852.62
2978,601155.SH,新城控股,区域地产,0.4473,2.0,0.158,223524.4186,71944.4186,5883162.6976
290,000757.SZ,浩物股份,汽车配件,0.9952,2.0,0.574,45161.96,28131.7597,238455.1488
2981,601163.SH,三角轮胎,汽车配件,0.5652,2.0,-0.528,28044.275,23865.3333,337933.5138
2590,600573.SH,惠泉啤酒,啤酒,0.965,2.0,1.553,25000.0,12480.5422,175500.0
3449,603758.SH,秦安股份,汽车配件,0.7626,2.0,0.476,13349.888,9470.7098,84905.2877
301,000778.SZ,新兴铸管,钢加工,0.3079,2.0,-0.324,392104.9522,239575.5783,1764472.2849
2367,600289.SH,*ST信通,软件服务,1.0865,2.0,1.435,56592.2684,42280.862,168079.0371
325,000809.SZ,铁岭新城,区域地产,0.2866,2.0,-0.953,82479.1293,54193.3793,211146.571
324,000807.SZ,云铝股份,铝,0.6342,2.0,-1.272,242963.0837,149686.9455,1018015.3207
656,002193.SZ,如意集团,纺织,1.2596,2.0,0.059,23041.6048,12559.8646,231107.2961
734,002272.SZ,川润股份,机械基件,1.3668,2.0,0.577,32064.4388,27628.285,141404.1751
2934,601000.SH,唐山港,港口,0.9206,2.0,1.247,557384.5996,278564.6439,1399035.345
320,000801.SZ,四川九洲,通信设备,1.2381,2.0,0.875,102280.6646,52908.3738,479696.317
736,002274.SZ,华昌化工,农药化肥,0.1809,2.0,-0.805,62533.2753,28656.3952,345183.6797
746,002284.SZ,亚太股份,汽车配件,1.4199,2.0,0.263,68599.7488,38419.8441,336824.7666
314,000795.SZ,英洛华,矿物制品,0.7508,2.0,-1.231,88637.1718,49690.8952,351889.572
2943,601010.SH,文峰股份,超市连锁,0.1122,2.0,-0.163,184800.0,87499.2268,561792.0
3530,603922.SH,金鸿顺,汽车配件,11.0097,2.0,1.626,3200.0,3200.0,59648.0
2949,601019.SH,山东出版,出版业,0.5527,2.0,-0.511,42690.0,42690.0,326151.6
2605,600589.SH,广东榕泰,塑料,0.4396,2.0,-0.682,66157.6114,38387.2726,286462.4574
1377,002935.SZ,天奥电子,元器件,9.4086,2.0,0.329,2667.0,2667.0,110013.75
2953,601038.SH,一拖股份,农用机械,2.7806,2.0,3.063,59391.0,18321.9422,307051.47
2997,601222.SH,林洋能源,电器仪表,1.7694,2.0,2.898,174886.9501,104517.7732,947887.2695
754,002292.SZ,奥飞娱乐,影视音像,5.2111,2.0,2.615,76328.8956,54609.2795,522089.6459
645,002182.SZ,云海金属,小金属,0.9316,2.0,-0.501,45094.3309,39917.8546,312503.7131
768,002306.SZ,*ST云网,酒店餐饮,0.1525,2.0,-0.143,79405.8507,59849.3085,272362.0679
3013,601333.SH,广深铁路,铁路,0.3324,2.0,0.168,565223.7,302278.57,1842629.262
995,002534.SZ,杭锅股份,专用机械,0.3491,2.0,-1.641,72691.6335,17572.1379,430334.4703
1325,002878.SZ,元隆雅图,文教休闲,4.3637,2.0,-0.297,3598.8468,3660.2151,95585.371
1317,002869.SZ,金溢科技,通信设备,14.7005,2.0,3.378,4545.4278,4545.4278,80454.0721
486,002023.SZ,海特高新,航空,3.0925,2.0,2.164,65928.0517,57477.7022,609834.4782
1313,002865.SZ,钧达股份,汽车配件,10.6486,2.0,-0.318,3810.0,3810.0,81191.1
1309,002861.SZ,瀛通通讯,通信设备,1.3473,2.0,-3.757,5311.4525,4789.48,102139.2316
255,000707.SZ,*ST双环,化工原料,2.1331,2.0,1.32,46414.4265,34610.4584,143420.5779
3025,601500.SH,通用股份,汽车配件,0.3832,2.0,-0.209,17491.9085,17491.9085,125067.1458
3027,601518.SH,吉林高速,路桥,0.1367,2.0,-0.359,121320.0,42673.3506,336056.4
32,000038.SZ,深大通,广告包装,4.5911,2.0,-0.071,17982.6675,9625.186,245283.5847
3030,601558.SH,ST锐电,电气设备,0.26,2.0,-0.843,570719.9999,429168.9057,656327.9999
1299,002850.SZ,科达利,机械基件,1.2894,2.0,-0.189,9289.8133,6957.32,163222.0197
3032,601567.SH,三星医疗,电器仪表,0.1274,2.0,-0.321,141799.7514,62432.1131,873486.4686
3036,601595.SH,上海电影,影视音像,1.1459,2.0,-0.253,10604.5327,10604.5327,139873.7863
946,002484.SZ,江海股份,元器件,0.4954,2.0,0.359,76364.7129,41950.9283,434515.2164
267,000720.SZ,*ST新能,火力发电,0.1599,2.0,0.0,86346.0,67757.9241,304801.38
3519,603901.SH,永创智能,专用机械,0.6375,2.0,-0.776,18400.0,15648.63,128248.0
3520,603903.SH,中持股份,环境保护,3.985,2.0,0.65,7379.9676,5303.4963,165458.8736
280,000736.SZ,中交地产,全国地产,0.3945,2.0,-0.481,44579.0827,12839.6408,363765.3148
27,000032.SZ,深桑达A,元器件,1.2727,2.0,0.883,27943.7184,16201.7346,212372.2598
478,002015.SZ,霞客环保,化纤,0.7028,2.0,-1.585,40070.3825,28449.9716,208766.6928
479,002016.SZ,世荣兆业,区域地产,1.0596,2.0,-1.244,68684.5632,20965.5632,640826.9747
759,002297.SZ,博云新材,矿物制品,2.2751,2.0,0.077,39759.4512,28034.2181,259629.2163
2917,600980.SH,北矿科技,元器件,0.5073,2.0,-0.966,15220.988,9132.5928,162103.5222
992,002531.SZ,天顺风能,电气设备,0.4131,2.0,0.257,176898.3563,84083.2763,773045.817
281,000737.SZ,*ST南风,日用化工,0.4993,2.0,0.506,54876.0,37703.5165,165176.76
644,002181.SZ,粤传媒,出版业,4.935,2.0,3.148,113443.2577,36994.9195,487806.0081
2559,600536.SH,中国软件,软件服务,3.771,2.0,-0.784,49456.2782,27137.2536,1209206.002
278,000733.SZ,振华科技,元器件,1.3811,2.0,1.291,46934.2218,29976.8874,574474.8748
277,000732.SZ,泰禾集团,区域地产,0.2811,2.0,-1.085,124305.9698,46474.1972,1905610.517
481,002018.SZ,*ST华信,农药化肥,1.2283,2.0,1.905,227782.7422,89332.5888,316618.0117
3002,601231.SH,环旭电子,元器件,0.2076,2.0,-0.755,217592.358,47407.5978,2097590.3311
762,002300.SZ,太阳电缆,电气设备,0.8429,2.0,0.615,54265.8308,22264.5706,316912.4519
763,002301.SZ,齐心集团,文教休闲,1.6798,2.0,0.912,64045.4408,30595.4411,553993.0629
764,002302.SZ,西部建设,水泥,0.5465,2.0,0.261,103223.405,28828.1578,1208746.0726
20,000025.SZ,特力A,汽车服务,2.9215,2.0,2.384,27088.16,5990.1744,771199.9152
2858,600869.SH,智慧能源,电气设备,0.4897,2.0,1.184,217819.1796,76577.7014,1030284.7195
2865,600876.SH,洛阳玻璃,玻璃,0.4076,2.0,-0.16,26176.6875,10274.8633,320402.655
2199,600097.SH,开创国际,渔业,0.3062,2.0,-1.103,22627.3033,10625.6162,236455.3195
2247,600152.SH,维科技术,电气设备,6.3371,2.0,1.695,29494.219,18170.304,188173.1172
3558,603990.SH,麦迪科技,软件服务,0.1397,2.0,-0.41,6027.2,3120.2469,197451.072
668,002205.SZ,国统股份,其他建材,2.377,2.0,1.495,11615.2018,8106.5068,154482.1839
2736,600734.SH,实达集团,电脑设备,6.2427,2.0,0.173,35468.4039,26699.9553,247214.7752
2654,600644.SH,乐山电力,水力发电,0.1446,2.0,-0.516,53840.0659,19770.2085,258970.717
560,002097.SZ,山河智能,工程机械,0.5349,2.0,0.167,84181.2773,77637.2315,505929.4766
696,002233.SZ,塔牌集团,水泥,0.3704,2.0,-0.186,116216.978,61448.7734,1236548.6459
666,002203.SZ,海亮股份,铜,0.0959,2.0,-0.505,163478.3065,43598.7191,1284939.4891
2727,600725.SH,ST云维,焦炭加工,0.2825,2.0,1.066,123247.0,89021.5045,300722.68
444,000979.SZ,中弘退,,0.6795,2.0,-1.923,838892.1199,616126.3789,209723.03
974,002512.SZ,达华智能,元器件,3.9464,2.0,-0.509,72708.5366,38990.3332,481330.5123
973,002511.SZ,中顺洁柔,造纸,0.8577,2.0,0.579,125748.5522,61532.4775,1119162.1146
2757,600756.SH,浪潮软件,软件服务,1.5045,2.0,-0.246,32409.8753,26221.7753,524715.8811
2761,600760.SH,中航沈飞,航空,1.0255,2.0,-0.743,34494.5098,28938.5962,1077263.5411
2194,600091.SH,ST明科,化工原料,0.2787,2.0,0.003,33652.6,28604.71,131581.666
380,000897.SZ,津滨发展,区域地产,0.4897,2.0,-0.191,161724.4634,124647.1852,418866.3602
436,000970.SZ,中科三环,元器件,0.8344,2.0,-0.487,106520.0,81834.6728,864942.4
4,000006.SZ,深振业A,区域地产,1.8253,2.0,0.356,134830.7972,87580.9799,769883.852
378,000893.SZ,*ST东凌,食品,0.2964,2.0,0.721,40074.195,23344.3396,170315.3288
412,000935.SZ,四川双马,水泥,0.8908,2.0,1.111,76344.0333,23616.4516,1262730.3108
2234,600135.SH,乐凯胶片,化工原料,0.7601,2.0,-0.61,37299.1735,24575.7574,232746.8426
2697,600693.SH,东百集团,百货,0.1807,2.0,0.097,89724.7594,32612.6398,473746.7296
420,000951.SZ,中国重汽,汽车整车,0.4071,2.0,0.173,67090.236,23775.9234,782272.1518
2702,600698.SH,湖南天雁,汽车配件,1.4225,2.0,0.877,73711.3859,43163.8871,346443.5137
680,002217.SZ,合力泰,元器件,4.1712,2.0,-0.55,256132.0128,177152.2931,1416410.0308
416,000939.SZ,*ST凯迪,新型电力,1.0092,2.0,1.987,303780.7076,184236.3946,400990.534
2217,600116.SH,三峡水利,水力发电,0.1543,2.0,0.063,99300.5502,49929.4901,792418.3906
2711,600708.SH,光明地产,全国地产,0.1853,2.0,-1.022,222527.7771,106661.6507,847830.8308
976,002514.SZ,宝馨科技,机械基件,1.9172,2.0,1.399,38800.5184,25636.9217,267335.5718
2712,600710.SH,苏美达,工程机械,0.3862,2.0,-0.614,64028.4,47817.88,254192.748
432,000966.SZ,长源电力,火力发电,1.7746,2.0,1.715,110828.408,57419.7642,364625.4623
2668,600661.SH,昂立教育,文教休闲,0.2629,2.0,1.048,25907.6526,8744.5155,597689.5455
2667,600660.SH,福耀玻璃,汽车配件,0.1879,2.0,-0.762,200298.6332,128812.9774,4398557.9851
405,000927.SZ,一汽夏利,汽车整车,0.3529,2.0,0.284,159517.096,52034.4165,564690.5198
2663,600654.SH,ST中安,软件服务,1.9353,2.0,1.146,75504.3154,74914.3769,170639.7528
2721,600719.SH,大连热电,供气供热,0.2011,2.0,-0.601,40459.96,27146.5816,166290.4356
2764,600764.SH,中国海防,通信设备,0.382,2.0,0.026,32972.6984,11184.1102,791674.4886
2192,600089.SH,特变电工,电气设备,0.3603,2.0,0.143,371431.2789,301316.4097,2611161.8907
331,000816.SZ,*ST慧业,农用机械,1.9745,2.0,1.601,133627.7472,104907.2772,213804.3955
458,000998.SZ,隆平高科,种植业,0.6243,2.0,-0.333,96522.1189,76831.7747,1415014.2631
15,000019.SZ,深深宝A,软饮料,3.3922,2.0,1.578,41595.4636,27045.4656,324444.6161
1,000002.SZ,万科A,全国地产,0.2833,2.0,0.083,971517.0043,554628.878,24618240.889
16,000020.SZ,深华发A,元器件,5.2779,2.0,6.136,18116.5391,6448.4297,228268.3927
2834,600843.SH,上工申贝,纺织机械,0.4267,2.0,-0.922,30464.585,19925.0492,227265.8041
561,002098.SZ,浔兴股份,服饰,16.2367,2.0,6.325,30999.68,14813.5552,243967.4816
2622,600608.SH,ST沪科,钢加工,0.2209,2.0,-0.438,31837.1441,25809.9759,142312.0341
727,002265.SZ,西仪股份,汽车配件,0.6392,2.0,-0.052,30317.3328,12133.5608,278919.4618
2846,600857.SH,宁波中百,百货,0.3413,2.0,-0.329,22431.9919,14864.4198,200542.0076
662,002199.SZ,东晶电子,元器件,0.4121,2.0,-0.6,22613.6384,17569.5301,181587.5164
3541,603959.SH,百利科技,建筑施工,0.9747,2.0,0.031,14896.0,10192.0032,241166.24
731,002269.SZ,美邦服饰,服饰,0.1046,2.0,-0.576,251250.0,101501.3641,630637.5
2545,600520.SH,文一科技,机械基件,6.2441,2.0,3.947,15843.0,8882.7566,230832.51
2860,600871.SH,*ST油服,石油开采,0.0483,2.0,0.005,1204266.0995,178333.3333,2324233.572
2862,600873.SH,梅花生物,食品,0.2636,2.0,-0.352,307369.1738,187635.3332,1290950.53
19,000023.SZ,深天地A,其他建材,5.738,2.0,1.07,13875.624,8459.1693,185655.8491
332,000818.SZ,航锦科技,化工原料,1.5855,2.0,1.358,67039.8019,47209.8019,681794.7853
2153,600039.SH,四川路桥,建筑施工,0.3643,2.0,0.592,345707.2825,210880.1976,1178861.8333
717,002254.SZ,泰和新材,化纤,0.5203,2.0,-0.187,61067.3703,39380.5703,650978.1674
375,000889.SZ,茂业通信,通信设备,0.0774,2.0,-0.294,62164.3712,21656.3992,732917.9364
11,000014.SZ,沙河股份,全国地产,13.3409,2.0,3.7,20170.5187,13309.1796,211185.3308
980,002518.SZ,科士达,电器仪表,5.5875,2.0,2.431,55795.1026,20476.6148,429064.339
9,000011.SZ,深物业A,区域地产,9.0706,2.0,1.256,17586.2626,14606.3672,186062.6583
372,000886.SZ,海南高速,路桥,0.9092,2.0,-0.61,96849.2948,71868.1171,392239.6439
447,000982.SZ,*ST中绒,纺织,0.5878,2.0,-0.317,180504.3279,92910.2835,258121.1889
2179,600075.SH,新疆天业,化工原料,0.2027,2.0,-0.703,83239.9678,56361.5222,407875.8422
369,000882.SZ,华联股份,百货,0.1996,2.0,-1.23,248215.5138,154168.4999,590752.9228
2777,600778.SH,*ST友好,百货,0.2929,2.0,0.002,31108.6712,20205.6257,149632.7085
3547,603970.SH,中农立华,其他商业,2.6127,2.0,0.151,7960.008,5344.008,124255.7249
716,002253.SZ,川大智胜,软件服务,1.3579,2.0,0.25,20677.2219,16434.3556,300026.4898
2792,600795.SH,国电电力,火力发电,0.1497,2.0,0.402,1965039.7845,1061168.8274,5010851.4505
2642,600630.SH,龙头股份,纺织,0.7309,2.0,-0.466,42486.1597,29705.04,313972.7202
3546,603969.SH,银龙股份,其他建材,3.06,2.0,2.072,84100.0,32622.7896,425546.0
2256,600162.SH,香江控股,全国地产,0.1601,2.0,-0.447,297380.1559,150838.1415,654236.343
2164,600059.SH,古越龙山,红黄药酒,0.1658,2.0,-0.069,80852.4165,47390.0048,562732.8188
357,000860.SZ,顺鑫农业,白酒,0.5644,2.0,-1.277,57058.9992,35119.794,2021600.3417
2636,600622.SH,光大嘉宝,区域地产,0.8388,2.0,-0.227,86917.3426,51928.5291,520634.8822
3044,601616.SH,广电电气,电气设备,0.3429,2.0,-0.584,93557.5,65022.118,317159.925
245,000692.SZ,惠天热电,供气供热,0.3489,2.0,-0.337,53278.588,34573.5762,156106.2628
3050,601666.SH,平煤股份,煤炭开采,0.3138,2.0,0.146,236116.4982,107968.6502,901965.0231
135,000543.SZ,皖能电力,火力发电,0.7432,2.0,0.723,179039.5978,98287.7989,877294.0292
3481,603826.SH,坤彩科技,染料涂料,1.652,2.0,-1.153,18945.7572,12777.7298,286459.8489
3480,603825.SH,华扬联众,互联网,7.0256,2.0,2.345,9238.5381,7985.0672,137931.3738
901,002439.SZ,启明星辰,软件服务,0.8107,2.0,0.14,58545.5619,52476.955,1255802.3028
3282,603330.SH,上海天洋,塑料,1.7779,2.0,0.305,3152.3505,2728.9005,67523.3477
1164,002703.SZ,浙江世宝,汽车配件,6.1873,2.0,2.488,55306.5952,20468.1959,246114.3486
3478,603822.SH,嘉澳环保,环境保护,0.4731,2.0,-1.065,4060.3567,2210.3567,94728.1218
524,002061.SZ,浙江交科,化工原料,2.3074,2.0,2.531,57873.8157,44177.9747,684647.2397
525,002062.SZ,宏润建设,建筑施工,0.1017,2.0,-0.122,95860.5707,46381.1292,389193.917
580,002117.SZ,东港股份,广告包装,0.6737,2.0,0.111,36366.0765,23939.9298,535672.3068
906,002444.SZ,巨星科技,轻工机械,0.5435,2.0,0.151,101185.5624,50860.6945,1028045.314
907,002445.SZ,ST中南,影视音像,2.161,2.0,0.214,129882.1871,88828.6863,307820.7834
1158,002697.SZ,红旗连锁,超市连锁,0.2764,2.0,0.189,98642.41,58989.91,530696.1658
3298,603363.SH,傲农生物,饲料,7.5018,2.0,2.011,18399.2944,17770.405,184544.9228
3476,603818.SH,曲美家居,家居用品,0.7052,2.0,2.066,48412.0,13132.48,350502.88
1156,002695.SZ,煌上煌,食品,0.6695,2.0,0.568,45342.1128,17995.7128,483346.9224
2478,600425.SH,青松建化,水泥,0.4928,2.0,-0.312,137879.0086,97525.9388,432940.087
143,000552.SZ,靖远煤电,煤炭开采,0.5154,2.0,0.01,155743.8726,113253.5682,434525.4046
3275,603320.SH,迪贝电气,机械基件,2.6529,2.0,0.326,3250.0,3250.0,58890.0
529,002066.SZ,瑞泰科技,其他建材,3.3515,2.0,1.054,23100.0,13830.2535,189420.0
3243,603232.SH,格尔软件,软件服务,0.9355,2.0,-0.981,5117.0,3545.99,123319.7
887,002425.SZ,凯撒文化,互联网,1.592,2.0,1.196,80438.1635,52355.2823,489064.0341
3234,603218.SH,日月股份,工程机械,0.6339,2.0,-0.434,9942.905,6687.645,170520.8208
161,000573.SZ,粤宏远A,区域地产,0.3293,2.0,-0.299,62217.5025,49710.1684,204073.4082
3484,603833.SH,欧派家居,家居用品,0.427,2.0,0.015,9210.8143,9210.8143,773800.5093
3236,603222.SH,济民制药,化学制药,0.5946,2.0,1.479,32000.0,11630.0,412160.0
1190,002732.SZ,燕塘乳业,乳制品,0.4769,2.0,0.882,15562.1325,6483.7725,268291.1643
1293,002843.SZ,泰嘉股份,钢加工,1.7035,2.0,-0.632,8400.0,5200.0,105000.0
2399,600326.SH,西藏天路,建筑施工,1.2889,2.0,0.286,86538.451,62445.7243,609230.695
3273,603318.SH,派思股份,专用机械,0.4865,2.0,0.96,40216.2277,14716.2277,535277.9907
3251,603268.SH,松发股份,陶瓷,1.6093,2.0,1.551,12416.88,4994.08,202270.9752
