code,name,past_p_change,past_positive,pe,past_average_turnover
002037,久联发展,-8.141,★,43.7,0.723
603477,振静股份,-8.066,,45.91,16.623
600869,智慧能源,-8.043,,58.81,0.223
300157,恒泰艾普,-8.042,★,43.71,3.41
000930,中粮生化,-7.994,★,44.78,2.593
300198,纳川股份,-7.848,,131.96,1.773
300640,德艺文创,-7.767,★,43.44,2.143
000533,万 家 乐,-7.756,★,208.06,0.97
000547,航天发展,-7.666,★,65.09,1.307
600122,宏图高科,-7.576,★,16.49,2.13
000558,莱茵体育,-7.432,★,309.11,1.223
600866,星湖科技,-7.424,,0.0,0.433
002926,华西证券,-7.301,★,33.97,12.573
603557,起步股份,-7.246,,39.27,9.34
002453,天马精化,-7.208,★,612.39,0.56
600711,盛屯矿业,-7.177,,28.76,5.397
601988,中国银行,-6.988,,6.33,0.107
000796,凯撒旅游,-6.93,★,22.88,1.11
300069,金利华电,-6.928,★,132.23,0.913
002010,传化智联,-6.883,★,159.64,0.653
603444,吉比特,-6.727,,19.03,2.787
603506,南都物业,-6.701,,35.62,36.607
300737,科顺股份,-6.689,,41.3,9.02
002857,三晖电气,-6.677,★,75.27,6.183
300049,福瑞股份,-6.647,,53.68,0.71
300280,南通锻压,-6.367,,357.37,1.403
601997,贵阳银行,-6.31,,8.17,2.257
002330,得利斯,-6.244,★,645.41,2.16
601216,君正集团,-6.02,,18.52,0.23
002163,中航三鑫,-6.015,,0.0,0.977
002619,艾格拉斯,-5.947,,35.22,2.623
600130,波导股份,-5.833,,0.0,0.963
603226,菲林格尔,-5.801,★,27.37,3.977
002256,兆新股份,-5.753,★,71.14,0.813
600432,*ST吉恩,-5.731,★,0.0,2.263
002464,众应互联,-5.671,,38.71,0.73
603520,司太立,-5.632,★,37.13,1.783
002450,康得新,-5.582,,27.9,1.51
603356,华菱精工,-5.367,,46.08,49.38
002087,新野纺织,-5.302,,13.81,1.387
600515,海航基础,-5.298,,21.8,0.457
300593,新雷能,-5.237,★,57.57,1.68
300116,坚瑞沃能,-5.229,,18.5,0.853
603676,卫信康,-5.228,★,62.0,18.847
603393,新天然气,-5.219,★,25.36,0.703
300522,世名科技,-5.17,,32.85,2.577
603108,润达医疗,-5.117,,36.36,2.113
300477,合纵科技,-5.074,,74.05,1.97
002071,长城影视,-5.063,★,31.6,0.93
000910,大亚圣象,-5.002,,23.96,0.663
000616,海航投资,-4.995,,819.57,1.133
002053,云南能投,-4.892,,35.63,0.37
600157,永泰能源,-4.836,,76.08,0.327
603323,吴江银行,-4.713,,15.26,2.787
000540,中天金融,-4.676,★,15.64,1.283
000815,美利云,-4.668,★,1856.08,3.79
000757,浩物股份,-4.615,★,84.89,0.773
600807,天业股份,-4.58,★,70.54,6.85
601101,昊华能源,-4.489,,10.9,1.033
000018,神州长城,-4.463,,17.97,1.783
600532,宏达矿业,-4.454,,0.0,1.247
002584,西陇科学,-4.402,★,119.17,2.7
603043,广州酒家,-4.338,,27.34,3.817
002175,东方网络,-4.267,★,88.23,3.0
603816,顾家家居,-4.223,,31.15,2.48
300547,川环科技,-4.219,,35.04,2.9
002507,涪陵榨菜,-4.161,★,32.67,1.063
600688,上海石化,-4.118,,11.52,0.333
603021,山东华鹏,-4.097,,66.74,0.853
603598,引力传媒,-4.08,★,98.69,1.24
300071,华谊嘉信,-4.051,★,29.37,0.92
000534,万泽股份,-4.043,★,367.51,0.357
603136,天目湖,-3.982,,27.2,4.707
600019,宝钢股份,-3.897,,13.75,0.567
300363,博腾股份,-3.855,,56.08,0.52
002586,围海股份,-3.827,,99.82,0.61
000034,神州数码,-3.822,★,33.88,1.507
002210,飞马国际,-3.813,,83.23,1.01
002663,普邦股份,-3.776,★,55.18,0.793
300208,恒顺众昇,-3.71,,19.99,1.503
601838,成都银行,-3.65,★,12.47,17.92
603318,派思股份,-3.643,,82.39,2.367
002004,华邦健康,-3.585,,22.34,0.257
002072,凯瑞德,-3.559,,796.28,1.843
601088,中国神华,-3.538,,9.77,0.213
600798,宁波海运,-3.482,★,38.27,0.713
002742,三圣股份,-3.451,★,53.42,4.1
601328,交通银行,-3.441,,6.59,0.243
600383,金地集团,-3.4,,18.22,1.407
002358,森源电气,-3.382,,24.98,0.72
002082,万邦德,-3.371,★,41.19,0.577
000096,广聚能源,-3.367,,44.53,0.117
300356,光一科技,-3.32,,169.23,1.05
002726,龙大肉食,-3.288,,35.38,0.55
600960,渤海活塞,-3.282,,32.25,0.64
600959,江苏有线,-3.253,★,32.29,0.78
002666,德联集团,-3.209,,38.34,4.23
600393,粤泰股份,-3.198,★,9.78,1.14
600117,西宁特钢,-3.149,★,0.0,1.61
603655,朗博科技,-3.131,★,63.5,25.11
600000,浦发银行,-3.126,,6.52,0.113
002075,沙钢股份,-3.115,,72.13,0.813
002547,春兴精工,-3.108,,174.23,5.483
300247,乐金健康,-3.1,★,64.08,3.243
601985,中国核电,-3.091,,20.34,0.497
600958,东方证券,-3.049,,26.5,0.38
300067,安诺其,-2.936,★,44.74,1.62
002018,华信国际,-2.934,,22.18,2.983
600074,ST保千里,-2.832,★,10.74,6.257
603031,安德利,-2.744,,55.13,4.847
601818,光大银行,-2.735,,6.61,0.263
600309,万华化学,-2.722,,9.57,1.153
002304,洋河股份,-2.713,★,24.24,0.517
300134,大富科技,-2.613,,0.0,3.06
300262,巴安水务,-2.608,★,19.47,2.857
000983,西山煤电,-2.593,,15.5,1.067
002580,圣阳股份,-2.572,★,86.58,1.767
601989,中国重工,-2.531,★,72.77,0.733
002521,齐峰新材,-2.448,,25.21,1.457
002387,黑牛食品,-2.422,★,0.0,1.543
002607,亚夏汽车,-2.405,★,45.04,1.263
000566,海南海药,-2.345,,73.34,0.87
002259,升达林业,-2.316,★,270.31,1.067
002345,潮宏基,-2.288,,31.51,0.45
600036,招商银行,-2.244,,9.66,0.207
000038,深大通,-2.229,,27.22,2.44
002656,摩登大道,-2.2,,67.94,0.847
600734,实达集团,-2.197,,52.47,0.56
603300,华铁科技,-2.147,,60.56,2.357
600892,大晟文化,-2.123,,46.29,2.043
603536,惠发股份,-1.978,,53.46,1.823
002799,环球印务,-1.973,★,97.02,2.867
603711,香飘飘,-1.963,,81.39,9.697
600023,浙能电力,-1.947,,14.98,0.107
601939,建设银行,-1.914,,7.65,1.347
000587,金洲慈航,-1.842,,15.2,1.613
300032,金龙机电,-1.835,,27.23,0.487
002673,西部证券,-1.772,★,36.99,1.157
002069,獐子岛,-1.765,★,30.76,3.1
002471,中超控股,-1.712,,50.93,2.4
002523,天桥起重,-1.702,,50.71,0.263
601390,中国中铁,-1.689,,11.75,0.12
601288,农业银行,-1.664,,6.26,0.12
300738,奥飞数据,-1.659,★,57.27,41.073
600695,绿庭投资,-1.64,★,133.13,1.627
002719,麦趣尔,-1.61,,96.27,1.053
002442,龙星化工,-1.604,,63.53,0.353
600031,三一重工,-1.594,,25.99,1.34
603289,泰瑞机器,-1.518,,37.39,9.26
002691,冀凯股份,-1.5,,432.91,0.21
000756,新华制药,-1.479,★,26.03,1.527
002435,长江润发,-1.465,,25.45,0.267
600177,雅戈尔,-1.44,,8.96,0.26
002676,顺威股份,-1.439,,327.52,5.713
000998,隆平高科,-1.434,★,142.0,0.677
002219,恒康医疗,-1.429,,65.02,0.16
600061,国投资本,-1.425,★,20.5,0.11
300174,元力股份,-1.382,,156.08,0.163
000415,渤海金控,-1.348,,14.46,0.6
603309,维力医疗,-1.338,★,51.09,0.617
002923,润都股份,-1.298,,37.02,14.377
300651,金陵体育,-1.288,,94.24,1.663
300038,梅泰诺,-1.254,★,47.97,12.263
002892,科力尔,-1.236,★,43.19,11.09
600766,园城黄金,-1.148,,538.44,1.397
601766,中国中车,-1.143,,32.4,0.253
000022,深赤湾Ａ,-1.112,,26.51,0.36
000723,美锦能源,-1.106,,22.61,1.137
603917,合力科技,-1.084,,35.6,9.07
600150,中国船舶,-1.083,★,0.0,0.573
603696,安记食品,-1.076,★,128.82,0.307
600575,皖江物流,-1.043,,35.22,0.56
603359,东珠景观,-1.04,,31.71,2.243
600306,商业城,-1.027,★,12.16,2.37
300273,和佳股份,-1.01,★,70.5,2.613
300412,迦南科技,-0.993,★,39.57,0.56
000509,华塑控股,-0.991,★,0.0,1.247
000948,南天信息,-0.981,★,0.0,0.357
603661,恒林股份,-0.978,,25.9,4.107
002252,上海莱士,-0.96,★,77.54,0.03
002146,荣盛发展,-0.944,,12.39,2.053
600649,城投控股,-0.94,,15.55,0.247
002048,宁波华翔,-0.936,,15.07,1.857
600666,奥瑞德,-0.928,★,207.42,2.13
002546,新联电子,-0.888,★,37.16,1.397
603157,拉夏贝尔,-0.87,,19.62,9.09
603679,华体科技,-0.828,,54.2,1.72
601669,中国电建,-0.822,,14.52,0.11
300279,和晶科技,-0.801,★,47.49,0.587
300103,达刚路机,-0.79,,95.27,0.717
000939,凯迪生态,-0.786,★,84.05,0.673
600875,东方电气,-0.717,★,39.32,0.827
002124,天邦股份,-0.695,★,25.65,1.44
601628,中国人寿,-0.689,,21.16,0.043
600971,恒源煤电,-0.68,,7.9,1.75
603919,金徽酒,-0.628,,26.22,0.73
601398,工商银行,-0.607,,7.83,0.073
002121,科陆电子,-0.597,,33.48,1.093
600658,电子城,-0.597,,29.69,0.313
300108,吉药控股,-0.592,★,41.01,0.173
002312,*ST三泰,-0.59,★,17.92,2.333
603306,华懋科技,-0.56,★,22.6,0.643
600708,光明地产,-0.423,,15.2,1.5
603378,亚士创能,-0.415,,35.33,4.85
000166,申万宏源,-0.414,,23.53,0.087
002875,安奈儿,-0.397,★,37.56,3.907
002086,东方海洋,-0.392,,47.56,1.433
002714,牧原股份,-0.355,,23.82,0.537
601006,大秦铁路,-0.349,,9.05,0.2
603161,科华控股,-0.348,,32.16,9.523
601919,中远海控,-0.333,,16.72,0.353
300411,金盾股份,-0.332,,199.36,0.77
600028,中国石化,-0.329,,14.98,0.137
601001,大同煤业,-0.324,,11.39,0.63
300571,平治信息,-0.323,,60.27,3.047
000848,承德露露,-0.323,,21.02,0.457
300656,民德电子,-0.314,★,97.28,3.533
600999,招商证券,-0.301,,20.43,0.203
601991,大唐发电,-0.264,★,20.13,0.107
002070,*ST众和,-0.251,,0.0,4.117
002130,沃尔核材,-0.182,★,48.39,0.637
002565,顺灏股份,-0.179,,77.88,0.597
002725,跃岭股份,-0.146,★,82.78,0.867
002798,帝王洁具,-0.144,,134.46,1.947
600126,杭钢股份,-0.126,,10.78,0.76
002129,中环股份,-0.111,,38.82,3.123
603167,渤海轮渡,-0.078,,11.01,1.177
600188,兖州煤业,-0.04,,11.61,1.197
600163,中闽能源,-0.01,,37.73,0.533
600319,亚星化学,-0.002,,243.8,0.523
000029,深深房Ａ,0.002,★,56.66,2.01
002054,德美化工,0.005,,61.27,9.063
600978,宜华生活,0.012,,13.48,0.353
002833,弘亚数控,0.029,,29.87,1.307
600085,同仁堂,0.077,,40.22,0.263
603779,威龙股份,0.113,,77.83,1.02
002100,天康生物,0.125,,18.01,0.143
603012,创力集团,0.145,,32.02,0.277
600685,中船防务,0.149,★,0.0,0.623
603533,掌阅科技,0.159,,117.74,10.64
600337,美克家居,0.185,,28.4,0.233
002647,民盛金科,0.21,★,1258.19,0.407
002199,东晶电子,0.215,★,0.0,0.39
002545,东方铁塔,0.225,,62.02,2.143
603456,九洲药业,0.25,,51.15,0.92
002873,新天药业,0.255,,31.84,3.54
601857,中国石油,0.256,,62.93,0.027
603169,兰石重装,0.271,★,375.57,0.393
300423,鲁亿通,0.313,★,188.78,0.333
600409,三友化工,0.315,,10.12,1.47
600806,*ST昆机,0.321,★,0.0,4.727
002101,广东鸿图,0.323,,21.01,2.157
603569,长久物流,0.351,,29.89,1.083
300612,宣亚国际,0.357,,82.97,17.037
000766,通化金马,0.361,,56.5,1.163
600197,伊力特,0.385,,26.67,1.003
002505,大康农业,0.401,★,433.27,0.45
600010,包钢股份,0.456,,56.88,0.267
603600,永艺股份,0.505,★,24.21,0.803
600870,厦华电子,0.522,★,0.0,0.927
002735,王子新材,0.525,,65.86,0.673
600919,江苏银行,0.531,,7.05,0.513
002810,山东赫达,0.533,★,39.46,4.687
601238,广汽集团,0.533,,12.89,0.083
600559,老白干酒,0.534,,73.86,0.783
603909,合诚股份,0.536,★,47.38,1.18
300729,乐歌股份,0.545,★,37.96,7.877
603667,五洲新春,0.55,★,42.82,0.837
002652,扬子新材,0.551,,45.05,0.717
002047,宝鹰股份,0.553,★,26.22,1.61
600234,ST山水,0.554,,0.0,0.08
603997,继峰股份,0.557,★,23.41,2.993
000596,古井贡酒,0.564,★,29.1,0.51
603970,中农立华,0.568,,33.11,13.203
600153,建发股份,0.57,,15.78,0.473
002617,露笑科技,0.573,,37.03,0.51
601166,兴业银行,0.616,★,5.91,0.35
002840,华统股份,0.625,,52.28,2.32
600687,刚泰控股,0.638,,35.31,0.347
000008,神州高铁,0.673,★,131.93,0.5
600350,山东高速,0.676,,8.07,0.173
000593,大通燃气,0.712,★,383.31,1.19
600365,通葡股份,0.715,★,923.99,1.35
600399,抚顺特钢,0.718,,79.49,0.587
000711,京蓝科技,0.718,,48.24,1.91
000518,四环生物,0.731,,127.47,0.223
600738,兰州民百,0.751,,42.25,0.233
300074,华平股份,0.755,,207.86,1.183
600816,安信信托,0.801,,15.84,0.32
603278,大业股份,0.814,,25.6,4.63
603609,禾丰牧业,0.818,,20.34,0.2
601336,新华保险,0.831,,24.13,0.603
300063,天龙集团,0.843,★,21.7,2.48
603828,柯利达,0.86,★,51.99,0.527
000069,华侨城Ａ,0.869,,10.89,0.653
600694,大商股份,0.889,,11.9,0.397
002423,中原特钢,0.91,★,0.0,1.53
603818,曲美家居,0.919,,26.94,1.29
600973,宝胜股份,0.928,,39.98,0.313
603885,吉祥航空,0.975,,17.48,0.99
601969,海南矿业,0.978,,337.56,0.343
002711,欧浦智网,0.978,,28.8,1.363
002098,浔兴股份,0.985,★,50.86,1.567
601099,太平洋,0.995,,180.43,0.66
002286,保龄宝,1.0,,65.43,0.417
300498,温氏股份,1.054,,21.5,0.29
600984,建设机械,1.061,★,36.2,1.05
603856,东宏股份,1.082,,24.4,6.293
603708,家家悦,1.102,,30.72,1.987
600784,鲁银投资,1.111,,386.52,0.42
600785,新华百货,1.144,★,43.92,0.117
601018,宁波港,1.145,,22.69,0.08
600882,广泽股份,1.148,★,0.0,0.077
000625,长安汽车,1.172,★,7.46,0.473
000656,金科股份,1.184,,21.55,0.303
600896,览海投资,1.199,,0.0,0.23
601618,中国中冶,1.204,,18.13,0.113
600299,安迪苏,1.205,,26.43,0.313
600015,华夏银行,1.21,★,6.3,0.163
000056,皇庭国际,1.214,,72.33,0.647
603990,麦迪科技,1.248,★,71.71,0.353
300155,安居宝,1.25,★,380.34,5.053
000889,茂业通信,1.263,,33.46,0.36
600837,海通证券,1.266,,16.86,0.337
002309,中利集团,1.27,★,180.22,2.35
002136,安 纳 达,1.302,,19.93,5.633
601666,平煤股份,1.305,,10.66,1.38
601965,中国汽研,1.313,,28.1,0.213
603566,普莱柯,1.324,,54.38,0.137
603086,先达股份,1.345,,24.67,2.17
000035,中国天楹,1.345,★,48.54,0.503
000981,银亿股份,1.351,★,46.0,0.103
601788,光大证券,1.354,★,19.7,0.203
600007,中国国贸,1.355,,23.78,0.087
002856,美芝股份,1.359,,60.31,12.88
601169,北京银行,1.377,★,7.49,0.263
600638,新黄浦,1.415,,9.73,0.51
002478,常宝股份,1.436,,38.37,0.42
603077,和邦生物,1.461,,35.49,0.36
600853,龙建股份,1.472,,51.64,0.553
601688,华泰证券,1.484,,19.58,0.73
000783,长江证券,1.496,,20.65,0.18
601229,上海银行,1.512,,7.6,0.74
603668,天马科技,1.514,,32.56,0.743
300424,航新科技,1.514,★,103.3,1.107
000926,福星股份,1.542,,9.31,0.947
600054,黄山旅游,1.568,★,22.25,0.67
600642,申能股份,1.582,,13.46,0.147
300716,国立科技,1.592,★,46.68,8.877
600170,上海建工,1.614,,13.29,0.243
002402,和而泰,1.621,★,40.44,0.88
000876,新 希 望,1.63,★,12.36,0.387
600606,绿地控股,1.63,,10.46,4.077
600858,银座股份,1.647,,88.63,0.45
002033,丽江旅游,1.673,,20.42,0.437
002768,国恩股份,1.676,★,35.21,1.397
000423,东阿阿胶,1.721,,23.62,0.56
000776,广发证券,1.725,,14.76,0.433
600877,*ST嘉陵,1.728,★,104.41,1.417
600115,东方航空,1.741,,10.3,0.56
002761,多喜爱,1.746,,374.9,0.307
603076,乐惠国际,1.748,,30.58,4.343
000632,三木集团,1.772,,991.12,0.197
000750,国海证券,1.775,,25.74,0.327
000539,粤电力Ａ,1.787,★,22.91,0.107
600269,赣粤高速,1.822,,10.65,0.267
300121,阳谷华泰,1.824,,26.85,0.92
002477,雏鹰农牧,1.846,★,13.92,0.817
600489,中金黄金,1.863,★,74.89,0.617
603663,三祥新材,1.869,★,44.78,0.91
000042,中洲控股,1.878,,31.05,0.09
002734,利民股份,1.879,,26.42,0.38
300315,掌趣科技,1.883,,34.26,2.69
603589,口子窖,1.888,,21.45,0.823
600897,厦门空港,1.917,,14.53,0.293
600162,香江控股,1.918,,17.84,0.477
600012,皖通高速,1.92,,15.99,0.137
000571,新大洲Ａ,1.926,★,44.58,0.647
600016,民生银行,1.933,,5.73,0.247
600257,大湖股份,1.941,,431.98,1.503
600240,华业资本,1.947,,9.3,0.413
600518,康美药业,1.95,,24.79,0.13
002059,云南旅游,1.95,★,109.15,0.483
603963,大理药业,1.971,,48.15,6.157
600546,山煤国际,1.992,,37.18,0.387
603689,皖天然气,1.997,,32.77,2.72
600657,信达地产,2.011,,20.89,0.94
300733,西菱动力,2.019,,41.23,24.233
600026,中远海能,2.022,,13.67,0.27
601668,中国建筑,2.033,,7.86,0.353
300148,天舟文化,2.035,★,36.55,2.303
000059,华锦股份,2.047,,9.27,0.91
300449,汉邦高科,2.05,,1349.88,1.66
600083,博信股份,2.069,★,0.0,0.527
601886,江河集团,2.071,★,22.21,0.41
002306,*ST云网,2.077,,0.0,0.547
600497,驰宏锌锗,2.077,,30.19,1.183
601211,国泰君安,2.084,,16.47,0.36
300006,莱美药业,2.086,,58.36,1.89
601877,正泰电器,2.105,★,19.2,0.643
603869,北部湾旅,2.109,,28.93,0.88
600615,丰华股份,2.118,,15.51,0.63
603636,南威软件,2.125,★,97.62,0.803
601225,陕西煤业,2.13,,7.9,0.63
002254,泰和新材,2.134,,78.95,0.74
002917,金奥博,2.151,★,42.78,16.02
002870,香山股份,2.156,,35.22,1.67
600395,盘江股份,2.159,,12.76,0.57
002356,赫美集团,2.16,★,54.04,0.557
002388,新亚制程,2.162,★,47.09,0.863
300282,汇冠股份,2.17,★,41.1,0.54
601567,三星医疗,2.181,★,23.94,0.153
603357,设计总院,2.181,,28.11,4.103
601677,明泰铝业,2.187,,19.81,0.407
300607,拓斯达,2.188,★,59.75,1.547
002848,高斯贝尔,2.212,,231.19,2.72
000631,顺发恒业,2.217,,11.93,0.273
002918,蒙娜丽莎,2.226,,22.42,5.133
000001,平安银行,2.227,,8.03,0.543
603848,好太太,2.238,,36.26,8.78
603737,三棵树,2.243,,53.93,0.713
600809,山西汾酒,2.252,★,44.79,0.6
603886,元祖股份,2.257,★,16.88,1.897
600979,广安爱众,2.259,★,17.4,0.38
000402,金 融 街,2.281,★,16.04,0.41
601866,中远海发,2.29,★,24.22,0.097
000900,现代投资,2.292,★,10.85,0.76
600597,光明乳业,2.304,,22.33,0.567
603619,中曼石油,2.314,,30.66,13.62
600051,宁波联合,2.323,★,22.03,0.663
600123,兰花科创,2.325,,9.7,0.953
000869,张 裕Ａ,2.327,,22.4,0.213
601828,美凯龙,2.332,,17.75,6.453
300204,舒泰神,2.349,★,22.13,0.59
002609,捷顺科技,2.36,★,60.34,0.677
002498,汉缆股份,2.374,,33.33,0.137
601377,兴业证券,2.382,,17.4,0.32
600671,天目药业,2.382,★,238.31,0.64
600753,东方银星,2.387,★,194.95,0.97
603158,腾龙股份,2.388,,32.32,0.27
600997,开滦股份,2.405,,21.57,0.8
603020,爱普股份,2.412,,19.36,0.56
600382,广东明珠,2.412,,18.27,0.507
000157,中联重科,2.418,,19.37,0.323
300483,沃施股份,2.431,,325.68,1.437
601633,长城汽车,2.436,,29.98,0.15
002712,思美传媒,2.438,,28.32,0.41
601186,中国铁建,2.439,,10.05,0.163
601881,中国银河,2.444,,22.65,2.18
300300,汉鼎宇佑,2.447,,121.18,0.953
300004,南风股份,2.451,★,33.19,2.343
000036,华联控股,2.451,,7.25,1.277
002209,达 意 隆,2.455,★,0.0,1.173
