,ts_code,symbol,name,industry,COL_MA_10,COL_MA_20,COL_LASTPRICE,concept
56,002481.SZ,002481,双塔食品,食品,4.5,4.42,3.9,"海底捞概念股, 业绩预增, 保健品, 食品, 山东国企改革, 燃料乙醇, "
57,000868.SZ,000868,*ST安凯,汽车整车,3.9,3.82,3.91,"新能源整车, 汽车整车, 安徽国企改革, 无人驾驶, 定增破发, PPP, 新能源汽车, "
58,600393.SH,600393,粤泰股份,全国地产,3.91,3.52,3.94,"粤港澳大湾区, 高质押率, 房地产, 低价股, "
59,000780.SZ,000780,平庄能源,煤炭开采,4.18,4.12,4.02,"煤炭, 内蒙古, 电改, 央企改革, 破净股, ST摘帽, "
60,600792.SH,600792,云煤能源,焦炭加工,4.51,4.26,4.05,"煤炭, 石墨电极, 甲醇, "
61,002676.SZ,002676,顺威股份,塑料,4.54,4.37,4.05,"白色家电, 家电, 壳公司, "
62,001896.SZ,001896,豫能控股,火力发电,4.51,4.3,4.07,"火电, 电改, 破净股, 风电, 定增破发, "
63,601588.SH,601588,北辰实业,区域地产,3.77,3.72,4.08,"北京城市规划, 破净股, 房地产, 京津冀, "
64,000700.SZ,000700,模塑科技,汽车配件,4.37,4.25,4.15,"民营医院, 汽车零部件, 无人驾驶, 定增破发, "
65,600078.SH,600078,澄星股份,化工原料,4.71,4.61,4.17,"水电, 磷化工, "
66,601818.SH,601818,光大银行,银行,4.23,4.22,4.17,"银行, MSCI, 金改, 破净股, "
67,000680.SZ,000680,山推股份,工程机械,4.65,4.46,4.21,"一带一路, 机械, 山东国企改革, "
68,600503.SH,600503,华丽家族,区域地产,4.89,4.78,4.23,"华为产业链, 恒大概念股, 房地产, 智能制造, 石墨烯, 期货概念, 机器人, "
69,000592.SZ,000592,平潭发展,林业,4.47,4.27,4.23,"赛马, 民营医院, 福建自贸区, 光伏, 土地流转, 林业, 自贸区, 体育产业, "
70,600868.SH,600868,梅雁吉祥,水力发电,5.08,4.74,4.23,"有色-锑, 有色金属, 粤港澳大湾区, 恒大概念股, 举牌股, 股权争夺, "
71,002711.SZ,002711,ST欧浦,仓储物流,4.86,4.81,4.24,"供应链金融, 智慧物流, 高质押率, 智能制造, 快递物流, 区块链, 股权转让, "
72,600759.SH,600759,洲际油气,石油开采,4.59,4.1,4.24,"油服, 油气改革, 海南自由贸易港, 互联网金融, 自贸区, 自由贸易港, 资产重组, 海南, "
73,600246.SH,600246,万通地产,区域地产,4.7,4.62,4.25,"高质押率, 房地产, 锂电池, 新能源汽车, 京津冀, "
74,600355.SH,600355,精伦电子,元器件,4.92,4.88,4.25,"物联网, 举牌股, 工业互联网, 壳公司, "
75,002283.SZ,002283,天润曲轴,汽车配件,4.7,4.64,4.31,"重卡, 汽车零部件, 工业自动化, 智能制造, "
76,600973.SH,600973,宝胜股份,电气设备,4.63,4.59,4.38,"央企改革, 军工研究所, 大飞机, 军工, "
77,600261.SH,600261,阳光照明,家用电器,4.27,4.14,4.38,"LED, "
78,300301.SZ,300301,长方集团,半导体,4.8,4.74,4.4,"教育, LED, "
79,002188.SZ,002188,*ST巴士,广告包装,4.72,4.67,4.41,"直播/短视频, 资产重组, ST股, 壳公司, "
80,002329.SZ,002329,皇氏集团,乳制品,4.73,4.66,4.44,"二胎, 教育, 食品, 乳业（奶粉）, 万达系, 广西, 影视, 知识产权, 动漫, "
81,601666.SH,601666,平煤股份,煤炭开采,4.51,4.49,4.44,"煤炭, 回购, 破净股, 债转股-AMC, "
82,300128.SZ,300128,锦富技术,元器件,5.18,5.1,4.45,"OLED, 新零售, 石油化工, 物联网, 光伏, 大数据, 云计算, 石墨烯, 股权转让, VR&AR, 苹果产业链, "
83,600960.SH,600960,渤海汽车,汽车配件,5.03,4.81,4.47,"北汽新能源, 破净股, 汽车零部件, "
84,600281.SH,600281,太化股份,化工原料,5.05,4.79,4.48,"山西国企改革, "
85,600853.SH,600853,龙建股份,建筑施工,4.98,4.82,4.5,"振兴东北, 大基建, PPP, "
86,002641.SZ,002641,永高股份,塑料,4.55,4.41,4.5,
87,600322.SH,600322,天房发展,区域地产,3.95,3.9,4.55,"雄安-地产, 破净股, 房地产, 雄安新区, 京津冀, 自贸区, 天津国企改革, 天津自贸区, "
88,300074.SZ,300074,华平股份,通信设备,5.09,5.07,4.55,"教育, 互联网医疗, 智慧城市, 国产软件, 医疗信息化, 智慧安防, 手势识别, 无人银行, 创投, "
89,600540.SH,600540,新赛股份,种植业,5.35,5.34,4.57,"棉花, 新疆, 农垦, 新疆国企改革, 农业种植, 股权转让, "
90,002662.SZ,002662,京威股份,汽车配件,5.59,5.43,4.57,"高股息, 新能源整车, 汽车零部件, 无人驾驶, 燃料电池, 新能源汽车, "
91,300179.SZ,300179,四方达,矿物制品,5.28,5.18,4.57,"富勒烯, "
92,600609.SH,600609,金杯汽车,汽车配件,4.89,4.83,4.65,"汽车整车, 汽车零部件, "
93,600248.SH,600248,延长化建,建筑施工,5.33,5.17,4.68,"中科院系, 大基建, 资产重组, "
94,002652.SZ,002652,扬子新材,其他建材,5.22,5.19,4.7,"养老产业, 高质押率, 股权争夺, "
95,000836.SZ,000836,富通鑫茂,通信设备,5.18,4.97,4.71,"5G, 光通信, 无人驾驶, 股权转让, 智慧安防, 独角兽, "
96,603778.SH,603778,乾景园林,建筑施工,5.29,5.25,4.76,"园林, 雄安-园林环保, PPP, 雄安新区, 国资入股, "
97,600269.SH,600269,赣粤高速,路桥,4.73,4.72,4.82,"高速公路, 核电, 参股券商, 破净股, "
98,002611.SZ,002611,东方精工,轻工机械,5.36,5.03,4.82,"北汽新能源, 社保重仓, 宁德时代概念股, 定增破发, 锂电池, 燃料电池, 新能源汽车, 包装印刷, "
99,300198.SZ,300198,纳川股份,塑料,4.87,4.49,4.83,"核电, 地下管廊, 海绵城市, 锂电池, PPP, 新能源汽车, 共享经济, "
100,000835.SZ,000835,长城动漫,影视音像,5.56,5.49,4.84,"二胎, 教育, 社保重仓, 游戏, 手游, 动漫, "
101,603117.SH,603117,万林物流,仓储物流,5.47,5.41,4.9,"快递物流, "
102,600368.SH,600368,五洲交通,路桥,4.14,4.11,4.92,"高速公路, 一带一路, 东盟博览会, 广西, "
103,600057.SH,600057,厦门象屿,仓储物流,5.23,5.22,4.98,"社保重仓, 福建自贸区, 乡村振兴, 业绩预增, 智慧物流, 土地流转, 智能制造, 快递物流, 自贸区, "
104,600470.SH,600470,六国化工,农药化肥,5.44,5.35,4.99,"安徽国企改革, 煤化工, 化肥, 磷化工, "
105,601789.SH,601789,宁波建工,建筑施工,4.85,4.78,4.99,"装配式建筑, 环杭州湾大湾区, 云计算, "
106,300362.SZ,300362,天翔环境,环境保护,5.92,5.82,4.99,"固废处理, 环保, 污水处理, 股权转让, 资产重组, "
107,000927.SZ,000927,一汽夏利,汽车整车,5.65,5.63,5.0,"汽车整车, 混改, 央企改革, 铁总混改, 复牌股, 资产重组, "
108,601001.SH,601001,大同煤业,煤炭开采,5.38,5.29,5.02,"煤炭, 山西国企改革, "
109,002694.SZ,002694,顾地科技,塑料,5.75,5.63,5.03,"旅游, 地下管廊, 海绵城市, PPP, "
110,002436.SZ,002436,兴森科技,元器件,5.63,5.53,5.04,"PCB板, 互联网金融, 半导体, 国资入股, "
111,000632.SZ,000632,三木集团,综合类,5.56,5.31,5.04,"福建自贸区, 房地产, 举牌股, 自贸区, "
112,002245.SZ,002245,澳洋顺昌,仓储物流,5.6,5.58,5.06,"锂电池, 新能源汽车, 快递物流, 股权转让, LED, "
113,600165.SH,600165,新日恒力,钢加工,5.94,5.91,5.07,"壳公司, 宁夏, "
114,601898.SH,601898,中煤能源,煤炭开采,5.26,5.25,5.1,"高股息, 煤炭, 中字头, 央企改革, 甲醇, 破净股, "
115,600110.SH,600110,诺德股份,电气设备,5.47,5.29,5.11,"中科院系, 宁德时代概念股, "
116,002084.SZ,002084,海鸥住工,家居用品,5.51,5.44,5.11,"回购, 定增破发, 家具家居, 独角兽, "
117,000035.SZ,000035,中国天楹,环境保护,5.31,5.28,5.13,"固废处理, 环保, 资产重组, "
118,000510.SZ,000510,金路集团,化工原料,5.67,5.66,5.13,"烧碱, PVC, 教育, 石墨烯, 年报季报, "
119,600303.SH,600303,曙光股份,汽车整车,5.43,5.2,5.16,"新能源整车, 振兴东北, 汽车整车, 汽车零部件, 新能源汽车, 股权转让, "
120,300158.SZ,300158,振东制药,中成药,5.51,5.35,5.16,"破净股, 保健品, 食品, 医药, 中药, 创新药, 化学药, "
121,002666.SZ,002666,德联集团,化工原料,5.64,5.41,5.17,"蔚来汽车概念股, "
122,002272.SZ,002272,川润股份,机械基件,5.75,5.73,5.18,"业绩预增, 壳公司, "
123,002288.SZ,002288,超华科技,元器件,5.66,5.6,5.2,"PCB板, 半导体, 智慧城市, 智慧安防, 独角兽, "
124,002266.SZ,002266,浙富控股,电气设备,5.45,5.36,5.21,"水电, 核电, 水利, "
125,002255.SZ,002255,海陆重工,专用机械,5.1,5.08,5.27,"核电, 业绩预增, 光伏, "
126,601018.SH,601018,宁波港,港口,5.34,5.07,5.35,"一带一路, 港口, 浙江国企改革, 环杭州湾大湾区, "
127,000056.SZ,000056,皇庭国际,房产服务,6.26,6.22,5.36,"回购, 通用航空, 兜底式增持, 高质押率, 房地产, 住房租赁, "
128,000850.SZ,000850,华茂股份,纺织,5.02,4.95,5.39,"棉花, 纺织服装, "
129,002665.SZ,002665,首航节能,电气设备,5.56,5.2,5.39,"回购, 储能, 定增破发, 雄安-公共服务, 雄安新区, 股权转让, 资产重组, "
130,300145.SZ,300145,中金环境,专用机械,5.82,5.06,5.41,"固废处理, 回购, 环保, 污水处理, 股权转让, 国资入股, "
131,600353.SH,600353,旭光股份,元器件,5.98,5.92,5.43,"业绩预增, "
132,002418.SZ,002418,康盛股份,机械基件,6.23,5.75,5.45,"新能源整车, 汽车整车, 白色家电, 家电, 燃料电池, 新能源汽车, 石墨烯, 资产重组, "
133,002210.SZ,002210,飞马国际,仓储物流,7.03,6.21,5.45,"粤港澳大湾区, 高质押率, 快递物流, 国资入股, 资产重组, "
134,000980.SZ,000980,众泰汽车,汽车配件,6.02,5.97,5.49,"新能源整车, 汽车整车, 破净股, 定增破发, 新能源汽车, 共享经济, "
135,000716.SZ,000716,黑芝麻,食品,5.41,5.33,5.51,"食品, 休闲食品, 锂电池, 新能源汽车, 广西, "
136,000966.SZ,000966,长源电力,火力发电,5.81,5.33,5.52,"火电, 电改, 央企改革, 创投, "
137,600207.SH,600207,安彩高科,元器件,6.11,5.84,5.53,"天然气, 光伏, 玻璃, 3D玻璃, "
138,600538.SH,600538,国发股份,医药商业,5.5,5.48,5.53,"农药, 民营医院, 医药, 中药, 医疗器械, 广西, "
139,000755.SZ,000755,山西路桥,公路,5.56,5.35,5.54,"高速公路, 山西国企改革, ST摘帽, "
140,000669.SZ,000669,金鸿控股,供气供热,7.18,7.08,5.55,"油气改革, 天然气, 燃料电池, "
141,300022.SZ,300022,吉峰科技,农用机械,5.81,5.28,5.57,"乡村振兴, 农机, "
142,002480.SZ,002480,新筑股份,机械基件,6.16,6.06,5.58,"储能, 股权转让, 高铁轨交, "
143,002261.SZ,002261,拓维信息,互联网,6.25,6.19,5.59,"教育, 华为产业链, 回购, 大数据, 云计算, 人工智能, 彩票, 独角兽, 游戏, 手游, "
144,002479.SZ,002479,富春环保,火力发电,6.08,5.95,5.6,"固废处理, 回购, 定增破发, 环保, "
145,300091.SZ,300091,金通灵,机械基件,6.79,6.54,5.6,"乡村振兴, 无人机, 燃料电池, 股权转让, 国资入股, "
146,600794.SH,600794,保税科技,仓储物流,5.68,5.07,5.62,"军工, 军民融合, 快递物流, "
147,002249.SZ,002249,大洋电机,电气设备,6.43,6.16,5.62,"北汽新能源, 燃料电池, 新能源汽车, 共享经济, "
148,002002.SZ,002002,鸿达兴业,化工原料,6.57,6.42,5.62,"PVC, 供应链金融, 稀土磁材, 土地流转, 燃料电池, "
149,600712.SH,600712,南宁百货,百货,5.63,5.42,5.63,"东盟博览会, 教育, 新零售, 宝能系, 广西, "
150,600617.SH,600617,国新能源,供气供热,6.04,5.92,5.63,"油气改革, 天然气, 山西国企改革, 雄安-公共服务, 雄安新区, "
151,600365.SH,600365,通葡股份,红黄药酒,6.54,6.01,5.63,"资产重组, "
152,002524.SZ,002524,光正集团,医疗保健,6.06,5.89,5.65,"一带一路, 民营医院, 装配式建筑, 新疆, 眼科, 壳公司, 创投, "
153,600767.SH,600767,ST运盛,医疗保健,6.5,6.36,5.65,"互联网医疗, 医疗信息化, ST股, "
154,002688.SZ,002688,金河生物,化学制药,6.05,5.96,5.66,"内蒙古, 业绩预增, 动物保健, "
155,300266.SZ,300266,兴源环境,环境保护,6.13,5.91,5.67,"固废处理, 定增破发, 环保, 污水处理, 股权转让, 国资入股, 资产重组, "
156,002628.SZ,002628,成都路桥,建筑施工,6.41,6.35,5.68,"大基建, "
157,000637.SZ,000637,茂化实华,石油加工,6.15,5.76,5.69,"油气改革, 石油化工, 燃料电池, "
158,600006.SH,600006,东风汽车,汽车整车,6.48,6.17,5.7,"新能源整车, 汽车整车, 国家队重仓, 央企改革, 华为产业链, 业绩预增, 无人驾驶, 燃料电池, 新能源汽车, "
159,002211.SZ,002211,宏达新材,橡胶,6.47,6.32,5.71,"有机硅, 雄安-园林环保, 雄安新区, 股权转让, "
160,002617.SZ,002617,露笑科技,电气设备,6.47,6.24,5.71,"回购, 光伏, 股权转让, 资产重组, "
161,002045.SZ,002045,国光电器,元器件,6.22,6.16,5.74,"定增破发, 家电, 锂电池, 新能源汽车, 智能音箱, 苹果产业链, 黑色家电, "
162,000833.SZ,000833,粤桂股份,造纸,6.47,6.43,5.74,"食品, 白糖, 造纸, 广西, "
163,000416.SZ,000416,民生控股,多元金融,6.44,6.22,5.77,"期货概念, 壳公司, "
164,300264.SZ,300264,佳创视讯,通信设备,6.76,6.69,5.77,"教育, VR&AR, 游戏, 广电, "
165,601398.SH,601398,工商银行,银行,5.84,5.81,5.81,"银行, 安邦系, 白马股, MSCI, 人民币升值受益, 破净股, "
166,300325.SZ,300325,德威新材,塑料,6.45,5.88,5.81,"特高压, 供应链金融, 锦纶（尼龙）, 燃料电池, 举牌股, 资产重组, "
167,002176.SZ,002176,江特电机,电气设备,6.68,6.54,5.82,"汽车整车, 锂电池, 智能制造, 新能源汽车, 机器人, "
168,002454.SZ,002454,松芝股份,汽车配件,6.1,5.95,5.82,"社保重仓, 汽车零部件, "
169,002564.SZ,002564,天沃科技,化工机械,6.36,6.29,5.85,"回购, 风电, 军工, 军民融合, 煤化工, 股权转让, 国资入股, "
170,002388.SZ,002388,新亚制程,元器件,6.45,6.37,5.85,"华为产业链, 回购, 供应链金融, 高质押率, "
171,002089.SZ,002089,新海宜,通信设备,6.08,5.7,5.85,"5G, 光通信, 锂电池, 量子通信, 新能源汽车, LED, 创投, "
172,002600.SZ,002600,领益智造,元器件,6.31,6.01,5.87,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
173,300025.SZ,300025,华星创业,通信设备,6.66,6.34,5.88,"5G, 华为产业链, 物联网, 云计算, 股权转让, "
174,601727.SH,601727,上海电气,电气设备,6.46,6.43,5.91,"MSCI, 一带一路, 特斯拉, 核电, 风电, 光伏, 工业自动化, 智能制造, 上海国企改革, 新能源汽车, 高铁轨交, 独角兽, 充电桩, "
175,300035.SZ,300035,中科电气,电气设备,6.19,6.15,5.91,"超级高铁, 锂电池, 新能源汽车, 石墨烯, "
176,600963.SH,600963,岳阳林纸,造纸,6.59,5.92,5.91,"人民币升值受益, 央企改革, 回购, 破净股, 雄安-园林环保, 特色小镇, 定增破发, 雄安新区, 造纸, "
177,600395.SH,600395,盘江股份,煤炭开采,6.07,6.01,5.92,"煤炭, "
178,600418.SH,600418,江淮汽车,汽车整车,6.59,6.45,5.93,"新能源整车, 汽车整车, 安徽国企改革, 蔚来汽车概念股, 破净股, 百度概念股, 无人驾驶, 新能源汽车, 工业互联网, 富勒烯, "
179,300376.SZ,300376,易事特,电气设备,5.98,5.82,5.94,"光伏, 储能, 工业自动化, 高质押率, 燃料电池, 智能制造, 新能源汽车, 股权转让, 充电桩, "
180,002390.SZ,002390,信邦制药,中成药,6.38,6.23,5.96,"民营医院, 回购, 医药, 中药, 互联网医疗, 工业大麻, "
181,002303.SZ,002303,美盈森,造纸,6.71,6.51,5.97,"军工, 军民融合, 工业自动化, 智能制造, 包装印刷, "
182,300225.SZ,300225,金力泰,染料涂料,6.86,6.8,6.05,"半导体, 股权转让, "
183,002347.SZ,002347,泰尔股份,机械基件,5.84,5.82,6.05,"回购, 锂电池, 新能源汽车, 透明工厂, "
184,600805.SH,600805,悦达投资,综合类,6.89,6.87,6.06,"汽车整车, 社保重仓, 破净股, 农机, 石墨烯, "
185,600468.SH,600468,百利电气,电气设备,6.39,6.34,6.11,"回购, 天津国企改革, "
186,002560.SZ,002560,通达股份,电气设备,6.47,6.37,6.11,"特高压, 大飞机, 有色金属, 军工, 军民融合, 有色-钛, "
187,600105.SH,600105,永鼎股份,通信设备,6.56,6.28,6.12,"5G, 光通信, 汽车零部件, 装配式建筑, 大数据, "
188,002041.SZ,002041,登海种业,种植业,6.8,6.78,6.14,"转基因, 乡村振兴, 农业种植, "
189,000413.SZ,000413,东旭光电,元器件,6.56,6.37,6.17,"OLED, MSCI, 新能源整车, 汽车整车, 华为产业链, 定增破发, 燃料电池, 智能制造, 新能源汽车, 石墨烯, 智慧城市, 3D玻璃, 机器人, "
190,600478.SH,600478,科力远,元器件,6.88,6.48,6.21,"回购, 稀土磁材, 工业自动化, 燃料电池, 智能制造, 资产重组, "
191,002634.SZ,002634,棒杰股份,服饰,6.45,6.31,6.21,"回购, 纺织服装, 股权转让, 科创板概念股, "
192,300345.SZ,300345,红宇新材,钢加工,6.29,5.86,6.22,"军工, 军民融合, 工业自动化, 3D打印, 智能制造, "
193,600710.SH,600710,苏美达,工程机械,6.86,6.56,6.25,"央企改革, 智能制造, 机器人, "
194,600348.SH,600348,阳泉煤业,煤炭开采,6.43,6.39,6.26,"MSCI, 煤炭, 破净股, 山西国企改革, "
195,000544.SZ,000544,中原环保,环境保护,6.79,6.69,6.28,"水务, PPP, 环保, 污水处理, 国资入股, "
196,300267.SZ,300267,尔康制药,化学制药,7.61,7.31,6.28,"高质押率, 医药, 化学药, 工业大麻, "
197,300023.SZ,300023,宝德股份,专用机械,7.26,7.24,6.3,"油服, 页岩气, 工业自动化, 智能制造, 强势人气股, "
198,002139.SZ,002139,拓邦股份,元器件,6.62,6.39,6.32,"阿里巴巴概念股, 回购, 物联网, 锂电池, 智能制造, 新能源汽车, 区块链, 智慧安防, 机器人, "
199,600708.SH,600708,光明地产,全国地产,6.19,6.03,6.34,"万达系, 房地产, 冷链, 上海国企改革, 进口博览会, 自贸区, 自由贸易港, 上海自由贸易港, "
200,300317.SZ,300317,珈伟新能,半导体,6.74,6.55,6.36,"光伏, 高质押率, 锂电池, 新能源汽车, 石墨烯, 共享经济, LED, "
201,600203.SH,600203,福日电子,元器件,7.42,7.37,6.36,"华为产业链, LED, 工业大麻, "
202,601949.SH,601949,中国出版,出版业,7.12,6.67,6.37,"中字头, 央企改革, "
203,600778.SH,600778,*ST友好,百货,6.4,6.35,6.37,"转基因, 新疆, 举牌股, ST股, 壳公司, "
204,002360.SZ,002360,同德化工,化工原料,6.7,6.53,6.37,"回购, 民爆, "
205,300299.SZ,300299,富春股份,通信设备,7.04,6.52,6.43,"5G, 数字中国, 大数据, 资产重组, 游戏, 手游, 影视, 动漫, "
206,601999.SH,601999,出版传媒,出版业,7.15,7.09,6.43,"教育, "
207,002668.SZ,002668,奥马电器,家用电器,6.88,6.85,6.44,"供应链金融, 白色家电, 家电, 互联网金融, 区块链, 股权转让, 国资入股, "
208,002506.SZ,002506,协鑫集成,电气设备,7.19,7.1,6.46,"MSCI, 乡村振兴, 光伏, 储能, 半导体, "
209,002515.SZ,002515,金字火腿,食品,6.58,6.38,6.46,"回购, 业绩预增, 食品, 高质押率, 医药, 创新药, 互联网金融, 股权转让, 国资入股, 资产重组, "
210,600241.SH,600241,时代万恒,商贸代理,7.47,7.42,6.47,"中韩自贸区, 定增破发, 锂电池, 新能源汽车, 自贸区, 资产重组, "
211,300310.SZ,300310,宜通世纪,通信设备,7.18,6.89,6.47,"混改, 华为产业链, 物联网, 定增破发, 互联网医疗, 工业互联网, "
212,002196.SZ,002196,方正电机,纺织机械,6.96,6.8,6.49,"特斯拉, "
