,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,circ_mv
661,002199.SZ,东晶电子,元器件,1.0,-0.585,-1.262,229980.7025
625,002163.SZ,中航三鑫,装修装饰,1.0,0.583,1.161,420186.1669
515,002053.SZ,云南能投,食品,1.0,0.086,0.138,270599.206
494,002032.SZ,苏泊尔,家用电器,1.0,-1.279,-2.573,2989985.3977
378,000895.SZ,双汇发展,食品,1.0,-0.428,-0.893,8425706.2489
128,000536.SZ,华映科技,元器件,1.0,-1.138,-2.479,472789.0809
74,000401.SZ,冀东水泥,水泥,1.0,-0.598,-1.271,1883409.1227
1425,300037.SZ,新宙邦,化工原料,1.0,-1.966,-4.109,656996.3908
1460,300073.SZ,当升科技,矿物制品,1.0,-0.314,-0.716,1078809.0284
1516,300129.SZ,泰胜风能,电气设备,1.0,0.61,1.042,207793.7492
1542,300155.SZ,安居宝,元器件,1.0,-0.259,-0.589,140414.1934
2455,600383.SH,金地集团,全国地产,1.0,-1.157,-2.385,4988614.8471
2337,600242.SH,中昌数据,软件服务,1.0,0.022,-0.0,353561.2473
2334,600239.SH,云南城投,区域地产,1.0,0.597,1.176,552356.2967
2331,600236.SH,桂冠电力,水力发电,1.0,0.001,-0.0,3498563.0706
38,000048.SZ,*ST康达,饲料,1.0,-0.104,-0.21,733786.8764
2235,600126.SH,杭钢股份,普钢,1.0,0.429,0.839,579644.3338
2225,600115.SH,东方航空,空运,1.0,0.023,0.0,5110221.0403
2196,600083.SH,博信股份,建筑施工,1.0,-0.4,-0.812,390096.5808
2163,600048.SH,保利地产,全国地产,1.0,-1.548,-3.214,15245943.0239
2150,600025.SH,华能水电,水力发电,1.0,0.153,0.295,3035520.0
2122,300750.SZ,宁德时代,电气设备,1.0,-0.12,-0.307,1834840.5689
2090,300715.SZ,凯伦股份,其他建材,1.0,0.505,0.958,85681.8
1871,300487.SZ,蓝晓科技,化工原料,1.0,0.284,0.528,350603.642
1834,300450.SZ,先导智能,专用机械,1.0,-0.605,-1.287,1563640.6826
1593,300207.SZ,欣旺达,元器件,1.0,-1.073,-2.188,1222308.0927
3582,603996.SH,中新科技,家用电器,1.0,-0.765,-1.598,295647.75
