,ts_code,symbol,name,industry,COL_CHG,COL_ODDS,COL_CIRC_MV
48,000663.SZ,000663,*ST永林,林业,31.28,3.28,25.05
49,600702.SH,600702,舍得酒业,白酒,31.83,3.26,775.75
50,002091.SZ,002091,江苏国泰,商贸代理,37.38,3.22,140.79
51,300432.SZ,300432,富临精工,汽车配件,35.73,3.2,102.2
52,002931.SZ,002931,锋龙股份,汽车配件,36.07,3.2,26.66
53,600423.SH,600423,柳化股份,农药化肥,43.27,3.2,35.7
54,002269.SZ,002269,美邦服饰,服饰,23.41,3.18,107.28
55,600753.SH,600753,东方银星,商贸代理,52.02,3.17,87.45
56,300207.SZ,300207,欣旺达,元器件,29.24,3.17,488.83
57,300205.SZ,300205,天喻信息,元器件,25.53,3.13,50.27
58,600616.SH,600616,金枫酒业,红黄酒,27.09,3.13,68.1
59,300655.SZ,300655,晶瑞股份,化工原料,32.5,3.13,78.21
60,600381.SH,600381,青海春天,医疗保健,31.82,3.12,53.01
61,600365.SH,600365,ST通葡,红黄酒,30.72,3.03,15.32
62,002346.SZ,002346,柘中股份,电气设备,35.55,3.01,54.78
63,603168.SH,603168,莎普爱思,化学制药,31.09,2.99,35.78
64,300831.SZ,300831,派瑞股份,元器件,30.58,2.97,24.5
65,603025.SH,603025,大豪科技,IT设备,20.18,2.96,390.88
66,002940.SZ,002940,昂利康,化学制药,32.21,2.95,19.82
67,603026.SH,603026,石大胜华,化工原料,34.42,2.9,233.08
68,601567.SH,601567,三星医疗,电器仪表,19.65,2.9,248.2
69,002547.SZ,002547,春兴精工,通信设备,29.48,2.89,34.59
70,600199.SH,600199,金种子酒,白酒,24.18,2.88,115.23
71,003020.SZ,003020,立方制药,化学制药,33.2,2.87,15.2
72,300438.SZ,300438,鹏辉能源,电气设备,32.61,2.86,75.19
73,300346.SZ,300346,南大光电,元器件,27.71,2.86,133.51
74,600078.SH,600078,*ST澄星,化工原料,25.24,2.84,17.43
75,603630.SH,603630,拉芳家化,日用化工,33.16,2.84,67.33
76,002667.SZ,002667,鞍重股份,工程机械,32.47,2.83,36.66
77,600084.SH,600084,*ST中葡,红黄酒,28.28,2.83,49.44
78,000572.SZ,000572,海马汽车,汽车整车,25.0,2.82,96.07
79,300221.SZ,300221,银禧科技,塑料,28.95,2.81,34.38
80,300698.SZ,300698,万马科技,通信设备,31.55,2.79,23.39
81,000818.SZ,000818,航锦科技,化工原料,28.52,2.78,185.22
82,600076.SH,600076,康欣新材,其他建材,23.59,2.78,52.02
83,300458.SZ,300458,全志科技,元器件,28.38,2.77,149.76
84,600698.SH,600698,ST天雁,汽车配件,26.91,2.76,25.74
85,000906.SZ,000906,浙商中拓,批发业,34.02,2.76,81.56
86,600459.SH,600459,贵研铂业,小金属,17.97,2.73,147.11
87,605337.SH,605337,李子园,乳制品,35.59,2.71,31.26
88,002342.SZ,002342,巨力索具,机械基件,25.77,2.69,46.88
89,600559.SH,600559,老白干酒,白酒,19.18,2.69,265.42
90,300671.SZ,300671,富满电子,半导体,34.79,2.67,137.42
91,002957.SZ,002957,科瑞技术,专用机械,28.87,2.67,35.99
92,002326.SZ,002326,永太科技,化工原料,27.35,2.67,90.8
93,002616.SZ,002616,长青集团,环境保护,28.78,2.67,37.24
94,300576.SZ,300576,容大感光,染料涂料,26.15,2.66,34.19
95,300069.SZ,300069,金利华电,电气设备,24.86,2.65,20.28
96,600328.SH,600328,中盐化工,化工原料,16.63,2.64,65.92
97,300615.SZ,300615,欣天科技,元器件,31.26,2.64,12.61
98,603906.SH,603906,龙蟠科技,化工原料,28.14,2.62,146.41
99,300959.SZ,300959,线上线下,通信设备,25.47,2.61,14.84
100,603348.SH,603348,文灿股份,汽车配件,19.15,2.6,74.71
101,603444.SH,603444,吉比特,互联网,24.89,2.6,416.17
102,600257.SH,600257,大湖股份,渔业,29.99,2.59,41.72
103,002121.SZ,002121,科陆电子,电器仪表,24.87,2.59,51.85
104,002581.SZ,002581,未名医药,生物制药,22.89,2.59,90.58
105,603995.SH,603995,甬金股份,特种钢,28.8,2.57,39.74
106,300457.SZ,300457,赢合科技,专用机械,19.9,2.57,93.06
107,002316.SZ,002316,亚联发展,软件服务,14.21,2.56,17.93
108,600221.SH,600221,*ST海航,空运,21.69,2.56,378.03
109,002723.SZ,002723,金莱特,家用电器,27.51,2.55,32.99
110,002502.SZ,002502,鼎龙文化,影视音像,24.29,2.54,36.23
111,603306.SH,603306,华懋科技,汽车配件,26.95,2.54,99.2
112,000925.SZ,000925,众合科技,专用机械,25.89,2.52,44.37
113,300191.SZ,300191,潜能恒信,石油开采,25.95,2.51,46.5
114,300471.SZ,300471,厚普股份,专用机械,24.57,2.51,48.39
115,600579.SH,600579,克劳斯,化工机械,19.11,2.5,26.29
116,600543.SH,600543,莫高股份,红黄酒,21.87,2.5,29.35
117,300871.SZ,300871,回盛生物,农业综合,15.67,2.49,19.51
118,002427.SZ,002427,ST尤夫,化纤,27.11,2.48,27.66
119,000972.SZ,000972,*ST中基,食品,20.92,2.46,18.28
120,300736.SZ,300736,百邦科技,通信设备,21.55,2.46,14.58
121,000523.SZ,000523,*ST浪奇,日用化工,23.7,2.46,20.95
122,600110.SH,600110,诺德股份,电气设备,19.21,2.46,123.19
123,300982.SZ,300982,苏文电能,建筑工程,16.53,2.43,15.9
124,000938.SZ,000938,紫光股份,软件服务,22.24,2.43,648.09
125,002709.SZ,002709,天赐材料,化工原料,29.61,2.43,632.24
126,300890.SZ,300890,翔丰华,矿物制品,26.28,2.42,12.72
127,002824.SZ,002824,和胜股份,铝,17.66,2.42,34.53
128,603659.SH,603659,璞泰来,化工原料,24.73,2.41,763.26
129,603059.SH,603059,倍加洁,家居用品,25.36,2.41,26.2
130,600608.SH,600608,ST沪科,钢加工,23.38,2.4,21.84
131,000822.SZ,000822,山东海化,化工原料,20.46,2.38,70.09
132,300680.SZ,300680,隆盛科技,汽车配件,23.35,2.37,29.4
133,600771.SH,600771,广誉远,中成药,29.19,2.32,122.16
134,002640.SZ,002640,*ST跨境,互联网,37.78,2.31,31.04
135,603236.SH,603236,移远通信,通信设备,22.2,2.3,140.25
136,002802.SZ,002802,洪汇新材,化工原料,27.55,2.3,35.75
137,603787.SH,603787,新日股份,摩托车,33.39,2.29,55.39
138,603987.SH,603987,康德莱,医疗保健,22.64,2.29,125.74
139,000635.SZ,000635,英力特,化工原料,20.06,2.28,33.73
140,000848.SZ,000848,承德露露,软饮料,20.14,2.27,102.15
141,002290.SZ,002290,禾盛新材,家用电器,24.86,2.27,19.24
142,002629.SZ,002629,ST仁智,石油开采,22.9,2.27,9.06
143,603901.SH,603901,永创智能,专用机械,18.47,2.27,72.72
144,600222.SH,600222,太龙药业,中成药,25.04,2.26,42.41
145,003031.SZ,003031,中瓷电子,元器件,20.6,2.26,20.56
146,605080.SH,605080,浙江自然,纺织,27.13,2.24,11.89
147,300613.SZ,300613,富瀚微,半导体,21.92,2.24,115.75
148,600844.SH,600844,丹化科技,化工原料,26.48,2.24,44.02
149,000525.SZ,000525,ST红太阳,农药化肥,23.75,2.21,22.75
150,603722.SH,603722,阿科力,化工原料,23.32,2.2,35.79
151,300230.SZ,300230,永利股份,塑料,22.87,2.2,30.37
152,002371.SZ,002371,北方华创,半导体,22.06,2.2,960.18
153,600197.SH,600197,伊力特,白酒,14.77,2.2,159.4
154,600857.SH,600857,宁波中百,百货,22.84,2.19,29.07
155,300806.SZ,300806,斯迪克,塑料,22.73,2.19,42.2
156,300266.SZ,300266,兴源环境,环境保护,22.15,2.18,56.37
157,600059.SH,600059,古越龙山,红黄酒,17.1,2.18,122.9
158,300382.SZ,300382,斯莱克,专用机械,21.4,2.17,63.73
159,300709.SZ,300709,精研科技,元器件,23.5,2.16,39.75
160,300073.SZ,300073,当升科技,矿物制品,22.77,2.14,260.04
161,000949.SZ,000949,新乡化纤,化纤,21.5,2.14,75.31
162,002570.SZ,002570,贝因美,乳制品,21.71,2.13,62.47
163,600354.SH,600354,敦煌种业,种植业,28.88,2.12,31.56
164,300887.SZ,300887,谱尼测试,综合类,27.07,2.11,24.53
165,600860.SH,600860,京城股份,专用机械,21.52,2.11,19.09
166,600145.SH,600145,*ST新亿,陶瓷,26.61,2.1,20.58
167,601015.SH,601015,陕西黑猫,焦炭加工,23.65,2.09,160.21
168,600392.SH,600392,盛和资源,小金属,25.62,2.09,336.47
169,603688.SH,603688,石英股份,矿物制品,21.68,2.08,72.32
170,300229.SZ,300229,拓尔思,软件服务,19.62,2.08,68.78
171,002418.SZ,002418,*ST康盛,机械基件,16.74,2.08,31.69
172,600539.SH,600539,狮头股份,水泥,27.86,2.05,20.58
173,603138.SH,603138,海量数据,软件服务,20.02,2.05,32.42
174,601699.SH,601699,潞安环能,煤炭开采,22.06,2.05,360.76
175,600893.SH,600893,航发动力,航空,20.73,2.04,1077.89
176,600241.SH,600241,ST时万,商贸代理,25.24,2.04,15.48
177,600189.SH,600189,泉阳泉,软饮料,15.99,2.03,96.36
178,600703.SH,600703,三安光电,半导体,18.19,2.03,1181.93
179,300751.SZ,300751,迈为股份,专用机械,25.14,2.03,209.47
180,002178.SZ,002178,延华智能,建筑工程,21.78,2.02,30.23
181,600071.SH,600071,凤凰光学,元器件,15.31,2.02,37.73
182,000158.SZ,000158,常山北明,纺织,15.31,2.02,146.96
183,603690.SH,603690,至纯科技,专用机械,21.4,2.01,97.22
184,002857.SZ,002857,三晖电气,电器仪表,18.6,2.0,13.74
185,300777.SZ,300777,中简科技,化纤,20.5,2.0,115.76
186,600834.SH,600834,申通地铁,公共交通,18.78,1.99,54.95
187,600173.SH,600173,卧龙地产,全国地产,18.03,1.99,43.57
188,002247.SZ,002247,*ST聚力,造纸,19.64,1.99,15.84
189,002077.SZ,002077,大港股份,区域地产,18.84,1.99,41.21
190,300568.SZ,300568,星源材质,化工原料,19.97,1.98,173.11
191,600713.SH,600713,南京医药,医药商业,18.26,1.98,56.56
192,600321.SH,600321,正源股份,其他建材,19.61,1.98,36.86
193,600725.SH,600725,云维股份,焦炭加工,19.17,1.97,35.25
194,300999.SZ,300999,金龙鱼,食品,6.83,1.96,377.91
195,603738.SH,603738,泰晶科技,元器件,20.51,1.96,46.21
196,300792.SZ,300792,壹网壹创,互联网,12.31,1.96,53.41
197,002117.SZ,002117,东港股份,广告包装,19.11,1.95,49.64
198,002261.SZ,002261,拓维信息,互联网,16.71,1.95,76.45
199,002812.SZ,002812,恩捷股份,塑料,19.57,1.95,1074.33
200,002250.SZ,002250,联化科技,化工原料,23.07,1.94,261.6
201,002496.SZ,002496,*ST辉丰,农药化肥,18.32,1.94,33.11
202,300305.SZ,300305,裕兴股份,塑料,18.52,1.94,26.86
203,000793.SZ,000793,华闻集团,出版业,16.88,1.93,54.32
204,603931.SH,603931,格林达,化工原料,19.42,1.93,11.59
205,000718.SZ,000718,苏宁环球,区域地产,12.0,1.93,222.28
206,300919.SZ,300919,中伟股份,化工原料,18.87,1.92,63.4
207,605378.SH,605378,野马电池,电气设备,24.17,1.92,13.18
208,002426.SZ,002426,胜利精密,元器件,18.44,1.92,98.31
209,603538.SH,603538,美诺华,化学制药,26.75,1.92,66.32
210,600620.SH,600620,天宸股份,综合类,19.35,1.91,52.94
211,002411.SZ,002411,延安必康,化学制药,33.62,1.91,95.0
212,300292.SZ,300292,吴通控股,软件服务,19.65,1.91,42.8
213,000962.SZ,000962,东方钽业,小金属,20.23,1.9,46.38
214,300236.SZ,300236,上海新阳,半导体,17.15,1.9,123.07
215,002348.SZ,002348,高乐股份,文教休闲,15.68,1.89,23.32
216,605179.SH,605179,一鸣食品,乳制品,20.37,1.88,12.8
217,300036.SZ,300036,超图软件,软件服务,14.85,1.87,70.91
218,002169.SZ,002169,智光电气,电气设备,19.21,1.87,73.91
219,600311.SH,600311,ST荣华,黄金,20.71,1.87,13.58
220,603223.SH,603223,恒通股份,供气供热,22.26,1.86,79.37
221,002198.SZ,002198,嘉应制药,中成药,19.03,1.86,39.99
222,002136.SZ,002136,安纳达,化工原料,17.46,1.86,25.52
223,300363.SZ,300363,博腾股份,化学制药,16.79,1.85,323.95
224,605358.SH,605358,立昂微,半导体,17.67,1.85,35.81
225,601689.SH,601689,拓普集团,汽车配件,13.23,1.84,393.72
226,002638.SZ,002638,*ST勤上,文教休闲,18.59,1.84,23.51
227,000415.SZ,000415,渤海租赁,多元金融,18.39,1.84,93.65
228,002436.SZ,002436,兴森科技,元器件,16.15,1.83,129.77
229,002055.SZ,002055,得润电子,元器件,17.68,1.83,50.63
230,002762.SZ,002762,金发拉比,服饰,18.77,1.83,35.81
231,000012.SZ,000012,南玻A,玻璃,15.52,1.82,199.72
232,600639.SH,600639,浦东金桥,园区开发,18.42,1.82,121.33
233,300456.SZ,300456,赛微电子,元器件,13.18,1.81,77.76
234,601377.SH,601377,兴业证券,证券,15.48,1.8,654.26
235,603596.SH,603596,伯特利,汽车配件,20.14,1.79,150.7
236,002902.SZ,002902,铭普光磁,元器件,16.48,1.79,16.46
237,002738.SZ,002738,中矿资源,小金属,12.98,1.79,110.7
238,300440.SZ,300440,运达科技,软件服务,13.68,1.79,37.08
239,603733.SH,603733,仙鹤股份,造纸,19.63,1.79,216.95
240,603069.SH,603069,海汽集团,公路,19.42,1.77,62.95
241,002885.SZ,002885,京泉华,元器件,18.16,1.77,18.23
242,300143.SZ,300143,盈康生命,医疗保健,17.84,1.77,139.93
243,300322.SZ,300322,硕贝德,通信设备,15.94,1.77,45.94
244,002580.SZ,002580,圣阳股份,电气设备,9.08,1.77,21.43
245,300081.SZ,300081,恒信东方,文教休闲,19.27,1.76,34.34
246,002614.SZ,002614,奥佳华,医疗保健,16.28,1.76,81.89
247,000683.SZ,000683,远兴能源,化工原料,17.8,1.76,141.84
248,002002.SZ,002002,鸿达兴业,化工原料,17.35,1.76,133.55
249,300490.SZ,300490,华自科技,电气设备,18.91,1.76,30.04
250,300785.SZ,300785,值得买,互联网,6.5,1.76,23.24
251,002409.SZ,002409,雅克科技,化工原料,19.5,1.75,176.17
252,600193.SH,600193,ST创兴,装修装饰,12.81,1.75,35.22
253,002835.SZ,002835,同为股份,元器件,17.12,1.74,14.1
254,002585.SZ,002585,双星新材,塑料,19.69,1.74,142.79
255,002982.SZ,002982,湘佳股份,农业综合,18.88,1.73,23.53
256,300853.SZ,300853,申昊科技,机械基件,19.91,1.73,14.24
257,600123.SH,600123,兰花科创,煤炭开采,16.9,1.73,85.34
258,300082.SZ,300082,奥克股份,化工原料,17.58,1.73,82.32
259,002108.SZ,002108,沧州明珠,塑料,20.16,1.72,82.81
260,600577.SH,600577,精达股份,电气设备,19.05,1.72,110.48
261,300114.SZ,300114,中航电测,电器仪表,14.68,1.71,87.49
262,600630.SH,600630,龙头股份,纺织,16.98,1.71,26.34
263,603611.SH,603611,诺力股份,运输设备,20.19,1.71,41.04
264,300578.SZ,300578,会畅通讯,通信设备,14.94,1.71,40.1
265,603919.SH,603919,金徽酒,白酒,13.29,1.71,246.19
266,002605.SZ,002605,姚记科技,互联网,17.02,1.71,77.82
267,603078.SH,603078,江化微,化工原料,15.93,1.71,43.51
268,600096.SH,600096,云天化,农药化肥,15.84,1.7,145.37
269,300953.SZ,300953,震裕科技,机械基件,12.92,1.7,18.43
270,600306.SH,600306,*ST商城,百货,36.55,1.7,14.06
271,000752.SZ,000752,*ST西发,啤酒,20.05,1.7,12.79
272,300769.SZ,300769,德方纳米,化工原料,17.12,1.69,89.55
273,600601.SH,600601,ST方科,IT设备,17.16,1.69,68.92
274,300637.SZ,300637,扬帆新材,化工原料,16.16,1.69,22.23
275,605300.SH,605300,佳禾食品,食品,21.77,1.69,11.7
276,000830.SZ,000830,鲁西化工,农药化肥,14.21,1.68,260.01
277,600596.SH,600596,新安股份,化工原料,21.05,1.68,116.25
278,603893.SH,603893,瑞芯微,半导体,19.5,1.68,182.36
279,603825.SH,603825,华扬联众,互联网,16.5,1.68,39.64
280,002805.SZ,002805,丰元股份,化工原料,21.44,1.68,20.88
281,002240.SZ,002240,盛新锂能,小金属,18.68,1.67,232.24
282,002656.SZ,002656,ST摩登,服饰,15.75,1.66,8.5
283,600779.SH,600779,水井坊,白酒,14.85,1.66,699.2
284,600652.SH,600652,*ST游久,互联网,16.77,1.66,15.65
285,000828.SZ,000828,东莞控股,路桥,17.44,1.65,120.38
286,300327.SZ,300327,中颖电子,半导体,18.75,1.65,168.95
287,600549.SH,600549,厦门钨业,小金属,19.63,1.64,297.52
288,300151.SZ,300151,昌红科技,机械基件,20.69,1.64,98.01
289,601995.SH,601995,中金公司,证券,9.82,1.63,191.36
290,603986.SH,603986,兆易创新,半导体,19.13,1.63,877.22
291,000673.SZ,000673,*ST当代,影视音像,14.67,1.62,13.58
292,000017.SZ,000017,*ST中华A,文教休闲,15.12,1.62,10.15
293,600055.SH,600055,万东医疗,医疗保健,12.73,1.62,82.85
294,002497.SZ,002497,雅化集团,化工原料,18.25,1.62,249.6
295,300260.SZ,300260,新莱应材,机械基件,16.27,1.61,26.69
296,300776.SZ,300776,帝尔激光,专用机械,16.85,1.61,61.18
297,000913.SZ,000913,钱江摩托,摩托车,15.1,1.61,93.34
298,600738.SH,600738,丽尚国潮,百货,32.52,1.6,71.48
299,300373.SZ,300373,扬杰科技,半导体,10.6,1.6,218.98
300,002304.SZ,002304,洋河股份,白酒,11.41,1.6,2868.67
301,603155.SH,603155,新亚强,化工原料,11.03,1.6,16.91
302,603305.SH,603305,旭升股份,汽车配件,13.31,1.6,151.81
303,000929.SZ,000929,兰州黄河,啤酒,12.35,1.6,22.31
304,600230.SH,600230,沧州大化,农药化肥,14.69,1.59,50.49
305,002421.SZ,002421,达实智能,软件服务,16.22,1.59,69.27
306,600239.SH,600239,*ST云城,区域地产,13.97,1.59,32.76
307,002119.SZ,002119,康强电子,半导体,10.75,1.59,44.28
308,601666.SH,601666,平煤股份,煤炭开采,16.98,1.59,171.55
309,002686.SZ,002686,亿利达,专用机械,14.07,1.58,23.8
310,300398.SZ,300398,飞凯材料,染料涂料,14.12,1.58,84.2
311,000516.SZ,000516,国际医学,医疗保健,10.91,1.58,400.06
312,300119.SZ,300119,瑞普生物,农业综合,13.72,1.58,100.6
313,300720.SZ,300720,海川智能,电器仪表,11.55,1.57,14.26
314,000860.SZ,000860,顺鑫农业,白酒,14.15,1.57,424.96
315,600767.SH,600767,ST运盛,医疗保健,15.29,1.56,15.68
316,300724.SZ,300724,捷佳伟创,专用机械,18.37,1.56,188.46
317,600122.SH,600122,ST宏图,其他商业,10.67,1.56,19.23
318,003036.SZ,003036,泰坦股份,纺织机械,18.2,1.56,9.91
319,002196.SZ,002196,方正电机,纺织机械,11.3,1.55,36.26
320,603937.SH,603937,丽岛新材,铝,11.04,1.55,26.88
321,600421.SH,600421,ST华嵘,综合类,13.33,1.55,21.79
322,300593.SZ,300593,新雷能,电气设备,15.12,1.54,65.84
323,300503.SZ,300503,昊志机电,机械基件,15.87,1.54,23.53
324,300620.SZ,300620,光库科技,元器件,13.0,1.54,39.48
325,300733.SZ,300733,西菱动力,汽车配件,17.9,1.53,27.79
326,300892.SZ,300892,品渥食品,乳制品,14.57,1.53,13.86
327,000504.SZ,000504,南华生物,生物制药,12.47,1.53,64.15
328,603879.SH,603879,永悦科技,化工原料,13.99,1.53,22.77
329,300179.SZ,300179,四方达,矿物制品,14.97,1.52,20.49
330,600171.SH,600171,上海贝岭,半导体,18.74,1.52,140.97
331,002967.SZ,002967,广电计量,综合类,16.82,1.52,75.15
332,300286.SZ,300286,安科瑞,电器仪表,14.61,1.52,25.94
333,300710.SZ,300710,万隆光电,通信设备,15.34,1.51,18.21
334,000422.SZ,000422,ST宜化,农药化肥,21.79,1.5,51.18
335,002648.SZ,002648,卫星石化,化工原料,16.96,1.5,571.95
336,002321.SZ,002321,*ST华英,农业综合,15.22,1.5,14.07
337,300598.SZ,300598,诚迈科技,软件服务,8.63,1.5,94.22
338,300566.SZ,300566,激智科技,元器件,14.35,1.5,59.71
339,600426.SH,600426,华鲁恒升,农药化肥,16.12,1.49,677.47
340,300501.SZ,300501,海顺新材,广告包装,4.41,1.49,15.89
341,002384.SZ,002384,东山精密,元器件,11.99,1.49,259.7
342,000632.SZ,000632,三木集团,综合类,14.44,1.49,19.18
343,300502.SZ,300502,新易盛,通信设备,16.32,1.49,112.3
344,600695.SH,600695,*ST绿庭,多元金融,15.75,1.49,11.58
345,300807.SZ,300807,天迈科技,软件服务,15.99,1.49,8.0
346,603001.SH,603001,奥康国际,服饰,16.32,1.48,38.57
347,002254.SZ,002254,泰和新材,化纤,15.72,1.48,81.85
348,002773.SZ,002773,康弘药业,化学制药,16.84,1.48,164.62
349,603822.SH,603822,嘉澳环保,环境保护,17.06,1.48,18.63
350,300884.SZ,300884,狄耐克,通信设备,12.88,1.47,12.56
351,002158.SZ,002158,汉钟精机,工程机械,17.75,1.47,139.48
352,300037.SZ,300037,新宙邦,化工原料,15.59,1.47,276.86
353,300750.SZ,300750,宁德时代,电气设备,12.55,1.47,5865.08
354,002937.SZ,002937,兴瑞科技,元器件,16.38,1.47,13.66
355,600275.SH,600275,*ST昌鱼,农业综合,17.01,1.47,17.15
356,605376.SH,605376,博迁新材,小金属,14.6,1.46,43.62
357,603383.SH,603383,顶点软件,软件服务,11.0,1.46,50.27
358,300243.SZ,300243,瑞丰高材,化工原料,15.1,1.46,24.48
359,600869.SH,600869,远东股份,电气设备,19.27,1.46,101.65
360,300184.SZ,300184,力源信息,元器件,12.69,1.46,45.65
361,603198.SH,603198,迎驾贡酒,白酒,12.52,1.46,373.92
362,601636.SH,601636,旗滨集团,玻璃,13.82,1.46,469.01
363,002970.SZ,002970,锐明技术,通信设备,8.38,1.45,37.98
364,603859.SH,603859,能科股份,软件服务,12.44,1.45,46.56
365,300617.SZ,300617,安靠智电,电气设备,9.98,1.44,31.72
366,003025.SZ,003025,思进智能,机械基件,16.71,1.44,8.7
367,002194.SZ,002194,武汉凡谷,通信设备,11.36,1.44,64.63
368,300115.SZ,300115,长盈精密,元器件,11.09,1.44,211.52
369,603110.SH,603110,东方材料,染料涂料,19.6,1.44,69.79
370,003039.SZ,003039,顺控发展,水务,21.4,1.44,32.22
371,000983.SZ,000983,山西焦煤,煤炭开采,16.01,1.43,302.73
372,000063.SZ,000063,中兴通讯,通信设备,12.13,1.43,1272.93
373,603396.SH,603396,金辰股份,专用机械,14.55,1.43,40.57
374,002445.SZ,002445,*ST中南,影视音像,17.15,1.43,64.84
375,603799.SH,603799,华友钴业,小金属,14.52,1.42,1186.8
376,603020.SH,603020,爱普股份,食品,14.5,1.42,73.28
377,300169.SZ,300169,天晟新材,塑料,15.48,1.42,24.76
378,600291.SH,600291,*ST西水,保险,17.37,1.41,27.33
379,600141.SH,600141,兴发集团,化工原料,10.76,1.41,171.85
380,600281.SH,600281,太化股份,综合类,9.03,1.41,24.23
381,002268.SZ,002268,卫士通,软件服务,13.7,1.4,164.58
382,300966.SZ,300966,共同药业,化学制药,18.1,1.4,16.1
383,300460.SZ,300460,惠伦晶体,元器件,12.54,1.4,41.44
384,600774.SH,600774,汉商集团,百货,15.75,1.39,34.17
385,002513.SZ,002513,*ST蓝丰,农药化肥,13.51,1.39,16.38
386,603779.SH,603779,ST威龙,红黄酒,16.29,1.38,23.34
387,600618.SH,600618,氯碱化工,化工原料,12.33,1.38,69.66
388,300624.SZ,300624,万兴科技,软件服务,4.66,1.38,54.87
389,605136.SH,605136,丽人丽妆,其他商业,14.58,1.38,15.14
390,300512.SZ,300512,中亚股份,专用机械,12.52,1.37,30.77
391,000981.SZ,000981,*ST银亿,汽车配件,12.57,1.37,53.03
392,603212.SH,603212,赛伍技术,塑料,15.81,1.37,66.75
393,000616.SZ,000616,ST海投,全国地产,12.71,1.37,29.18
394,000595.SZ,000595,*ST宝实,机械基件,16.67,1.36,29.46
395,300748.SZ,300748,金力永磁,元器件,13.28,1.36,114.32
396,000712.SZ,000712,锦龙股份,证券,12.88,1.36,129.09
397,600851.SH,600851,海欣股份,化学制药,13.19,1.35,65.26
398,300619.SZ,300619,金银河,专用机械,12.23,1.33,12.11
399,000538.SZ,000538,云南白药,中成药,13.53,1.33,766.38
400,002913.SZ,002913,奥士康,元器件,10.18,1.33,97.26
401,300609.SZ,300609,汇纳科技,互联网,13.41,1.33,14.28
402,300859.SZ,300859,*ST西域,旅游服务,14.04,1.33,7.9
403,600063.SH,600063,皖维高新,化纤,11.38,1.33,88.59
