,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
1775,300395.SZ,菲利华,玻璃,6.0,1.047,6.391,-7.21,0.02,394248.6713
617,002155.SZ,湖南黄金,黄金,5.0,1.26,6.355,4.471,0.68,985580.6771
2548,600523.SH,贵航股份,汽车配件,5.0,2.863,15.011,-0.767,1.13,421014.494
2377,600301.SH,ST南化,化工原料,5.0,2.112,10.862,-4.29,0.34,151200.254
2689,600685.SH,中船防务,船舶,4.0,1.923,7.87,-1.55,0.36,844435.3661
2628,600614.SH,鹏起科技,综合类,4.0,10.098,46.933,-4.956,1.16,724002.5882
858,002397.SZ,梦洁股份,纺织,4.0,1.26,5.11,-2.837,0.02,184729.153
840,002379.SZ,宏创控股,铝,4.0,2.006,8.209,-6.62,0.04,268541.7989
1036,002576.SZ,通达动力,电气设备,4.0,4.335,18.408,-6.117,0.95,165563.0062
2448,600385.SH,山东金泰,黄金,4.0,2.161,8.755,-5.578,0.23,147199.8022
1067,002607.SZ,亚夏汽车,汽车服务,4.0,2.522,10.467,-0.702,0.5,550919.3064
2555,600531.SH,豫光金铅,铅锌,4.0,1.929,7.872,-4.722,0.01,403389.7746
1258,002807.SZ,江阴银行,银行,4.0,1.664,6.759,-2.33,0.16,385762.6795
1288,002839.SZ,张家港行,银行,4.0,3.165,13.118,-6.239,0.35,507695.0485
779,002318.SZ,久立特材,特种钢,4.0,2.027,8.333,-0.488,0.28,544171.8665
1368,002926.SZ,华西证券,证券,4.0,3.137,12.911,-8.37,0.43,486675.0
2413,600343.SH,航天动力,航空,4.0,3.242,13.405,-2.484,0.54,539922.5704
1407,300023.SZ,宝德股份,专用机械,4.0,2.173,8.911,-11.662,0.09,95309.837
2395,600321.SH,*ST正源,其他建材,4.0,1.398,5.682,-4.865,0.02,280962.3
2250,600155.SH,华创阳安,证券,4.0,3.697,15.395,-7.905,0.52,955621.1375
1595,300213.SZ,佳讯飞鸿,通信设备,4.0,3.196,13.273,-6.463,0.27,240363.4415
2177,600072.SH,中船科技,船舶,4.0,2.163,8.853,-0.145,0.43,450584.0775
2765,600765.SH,中航重机,机械基件,4.0,2.426,10.027,-3.277,0.33,631738.5984
889,002428.SZ,云南锗业,小金属,4.0,1.674,6.8,-6.716,0.01,343975.629
3082,601878.SH,浙商证券,证券,4.0,3.461,14.225,-9.64,0.36,970432.1175
2955,601066.SH,中信建投,证券,4.0,4.48,18.897,-17.681,0.31,405200.0
114,000519.SZ,中兵红箭,矿物制品,4.0,2.714,11.183,-3.443,0.31,504330.0239
3427,603698.SH,航天工程,专用机械,4.0,1.982,8.158,0.994,0.79,634117.4
214,000655.SZ,*ST金岭,普钢,4.0,1.278,5.183,-1.796,0.06,205392.3794
299,000777.SZ,中核科技,机械基件,4.0,1.739,7.107,-3.198,0.17,410245.0096
319,000801.SZ,四川九洲,通信设备,4.0,3.883,16.247,-1.577,0.51,519585.7762
3201,603131.SH,上海沪工,专用机械,4.0,2.375,9.736,-6.095,0.59,81150.0
3088,601890.SH,亚星锚链,船舶,4.0,2.091,8.547,-2.77,0.14,365531.4
770,002309.SZ,中利集团,电气设备,4.0,1.252,5.091,-4.403,0.04,406779.5056
386,000905.SZ,厦门港务,港口,4.0,2.757,11.487,-4.362,0.23,350460.0
458,001696.SZ,宗申动力,摩托车,4.0,1.415,5.76,-0.459,0.07,409055.6363
502,002040.SZ,南京港,港口,4.0,1.728,7.022,-4.827,0.07,252454.218
508,002046.SZ,轴研科技,机械基件,4.0,2.206,9.091,-4.129,0.07,232947.1235
3020,601375.SH,中原证券,证券,4.0,3.767,15.625,-6.306,0.41,867119.2281
1957,300581.SZ,晨曦航空,航空,4.0,3.148,13.105,-4.466,0.79,80839.3
758,002297.SZ,博云新材,矿物制品,4.0,3.538,14.597,-2.455,0.56,271557.0517
738,002277.SZ,友阿股份,百货,4.0,1.876,7.692,-4.0,0.06,475979.3472
2851,600862.SH,中航高科,航空,3.0,4.938,15.357,-1.06,0.59,899909.7231
3337,603508.SH,思维列控,软件服务,3.0,1.806,5.501,-2.713,0.83,672000.0
2329,600242.SH,中昌数据,软件服务,3.0,4.404,13.552,-1.343,2.6,557375.334
2734,600732.SH,ST新梅,区域地产,3.0,3.749,11.671,-1.798,0.31,217834.943
2251,600156.SH,华升股份,纺织,3.0,2.717,8.313,-0.968,0.32,178135.041
3377,603603.SH,博天环境,环境保护,3.0,2.89,8.851,0.0,0.58,378311.1542
3402,603656.SH,泰禾光电,专用机械,3.0,2.491,7.582,-4.898,0.31,95250.0165
2736,600734.SH,实达集团,电脑设备,3.0,7.067,22.452,-2.484,1.14,272752.026
2235,600135.SH,乐凯胶片,化工原料,3.0,2.151,6.572,-0.88,0.1,223795.041
2209,600107.SH,美尔雅,服饰,3.0,5.594,17.637,-7.049,0.47,240120.0
3436,603712.SH,七一二,通信设备,3.0,1.914,5.839,-5.316,1.46,188500.0
3493,603855.SH,华荣股份,专用机械,3.0,1.788,5.457,-2.475,0.16,167479.74
2161,600055.SH,万东医疗,医疗保健,3.0,3.028,9.217,-2.252,0.37,459635.904
2119,300751.SZ,迈为股份,专用机械,3.0,4.21,13.064,2.377,15.58,175968.0
2090,300719.SZ,安达维尔,航空,3.0,3.897,11.868,-1.344,0.85,94705.8166
2054,300681.SZ,英搏尔,元器件,3.0,2.486,7.632,-1.171,1.85,70364.7
1999,300625.SZ,三雄极光,半导体,3.0,1.796,5.473,0.5,0.84,137014.0872
2791,600794.SH,保税科技,仓储物流,3.0,2.205,6.564,-1.145,0.04,328874.4673
1989,300615.SZ,欣天科技,元器件,3.0,7.412,23.705,-0.515,4.59,83205.0
3496,603859.SH,能科股份,软件服务,3.0,2.798,8.584,-7.421,0.56,95289.9
1985,300610.SZ,晨化股份,化工原料,3.0,1.763,5.325,3.821,1.17,66902.4049
3359,603577.SH,汇金通,钢加工,3.0,4.244,13.024,2.838,1.1,79375.8013
2702,600698.SH,湖南天雁,汽车配件,3.0,2.057,6.265,-2.81,0.03,325067.2118
2393,600319.SH,亚星化学,化工原料,3.0,3.753,11.522,-2.954,0.38,161899.722
2588,600571.SH,信雅达,软件服务,3.0,3.863,11.746,-4.545,0.27,303502.22
2911,600973.SH,宝胜股份,电气设备,3.0,3.984,12.155,-0.822,0.3,363386.7544
2606,600590.SH,泰豪科技,电气设备,3.0,2.498,7.607,-0.554,0.24,475232.0352
2972,601126.SH,四方股份,电气设备,3.0,4.661,14.538,0.992,0.59,474079.276
2624,600610.SH,*ST毅达,建筑施工,3.0,5.156,16.279,-7.527,0.13,75114.918
2570,600550.SH,保变电气,电气设备,3.0,3.684,11.413,1.657,0.21,629188.8975
2844,600855.SH,航天长峰,专用机械,3.0,7.348,23.477,-1.741,1.41,368133.3339
2650,600640.SH,号百控股,酒店餐饮,3.0,2.455,7.441,3.59,0.63,621227.3123
2528,600501.SH,航天晨光,汽车配件,3.0,4.398,13.674,-0.655,0.54,290685.684
2495,600459.SH,贵研铂业,小金属,3.0,2.639,8.123,-3.147,0.14,406446.7359
2494,600458.SH,时代新材,塑料,3.0,1.787,5.457,-1.166,0.08,472916.7958
2681,600677.SH,航天通信,通信设备,3.0,10.016,33.157,2.047,3.12,525115.8164
2471,600416.SH,湘电股份,电气设备,3.0,3.102,9.496,-3.911,0.05,498014.5108
1866,300486.SZ,东杰智能,专用机械,3.0,2.303,7.052,-1.551,0.95,190346.9335
2454,600391.SH,航发科技,航空,3.0,3.612,11.07,-2.149,0.61,400777.0515
2824,600830.SH,香溢融通,多元金融,3.0,3.061,9.395,-2.84,0.2,238065.1194
3132,603016.SH,新宏泰,电气设备,3.0,10.004,33.114,-0.536,4.79,156632.58
2429,600363.SH,联创光电,元器件,3.0,3.195,9.75,1.394,0.69,389372.5865
2420,600353.SH,旭光股份,元器件,3.0,2.382,7.268,-4.317,0.07,232712.16
2700,600696.SH,ST岩石,区域地产,3.0,2.98,9.184,5.15,0.71,182202.5693
2788,600791.SH,京能置业,全国地产,3.0,2.818,8.516,-2.151,0.1,178663.9099
28,000035.SZ,中国天楹,环境保护,3.0,2.304,6.923,-1.141,0.31,712285.7631
1663,300281.SZ,金明精机,专用机械,3.0,4.206,12.889,-2.808,0.28,133159.6519
959,002498.SZ,汉缆股份,电气设备,3.0,4.566,14.07,-0.995,0.18,754976.068
351,000851.SZ,高鸿股份,软件服务,3.0,4.896,15.336,-2.459,0.7,470400.947
1302,002855.SZ,捷荣技术,塑料,3.0,2.22,6.776,-3.277,0.4,76227.6
1174,002716.SZ,金贵银业,小金属,3.0,5.228,16.313,1.827,0.61,386699.4116
375,000890.SZ,法尔胜,钢加工,3.0,8.27,26.818,-1.345,0.87,211830.1094
383,000901.SZ,航天科技,航空,3.0,7.49,23.982,-1.559,1.49,621438.9486
1085,002625.SZ,光启技术,汽车配件,3.0,2.264,6.869,-6.072,0.59,451788.5058
1075,002615.SZ,哈尔斯,家居用品,3.0,3.173,9.731,-2.424,0.18,121788.7281
1039,002579.SZ,中京电子,元器件,3.0,2.955,9.08,-1.264,0.58,325054.1041
1013,002553.SZ,南方轴承,汽车配件,3.0,2.582,7.93,-1.524,0.09,130736.1642
1005,002545.SZ,东方铁塔,钢加工,3.0,6.196,19.625,1.209,0.94,540580.0244
464,002002.SZ,鸿达兴业,化工原料,3.0,1.712,5.208,-0.69,0.05,772394.3541
932,002471.SZ,中超控股,电气设备,3.0,3.041,9.328,-1.107,0.12,368287.2706
286,000753.SZ,漳州发展,汽车服务,3.0,3.402,10.544,-1.01,0.2,287347.6271
914,002453.SZ,华软科技,化工原料,3.0,2.075,6.346,-2.439,0.29,306760.0616
830,002369.SZ,卓翼科技,通信设备,3.0,2.176,6.622,-1.857,0.3,331086.8155
810,002349.SZ,精华制药,中成药,3.0,2.14,6.457,-0.174,0.21,500390.8885
573,002111.SZ,威海广泰,航空,3.0,2.505,7.7,0.206,0.44,343269.407
799,002338.SZ,奥普光电,电器仪表,3.0,1.829,5.581,-3.139,0.04,281494.8392
581,002119.SZ,康强电子,半导体,3.0,2.876,8.868,-4.883,0.36,263754.435
773,002312.SZ,三泰控股,电脑设备,3.0,1.676,5.112,-5.152,0.11,333764.6093
592,002130.SZ,沃尔核材,电气设备,3.0,2.254,6.79,-2.41,0.02,327363.5248
750,002289.SZ,宇顺电子,元器件,3.0,6.351,20.123,-7.238,0.37,151711.1259
733,002272.SZ,川润股份,机械基件,3.0,2.446,7.5,-3.148,0.02,137877.0868
674,002212.SZ,南洋股份,电气设备,3.0,2.397,7.284,-2.113,0.63,766449.2397
346,000837.SZ,秦川机床,机床制造,3.0,1.669,5.089,-2.481,0.04,240620.6046
1328,002882.SZ,金龙羽,电气设备,3.0,1.884,5.744,-6.877,0.2,85573.0
171,000592.SZ,平潭发展,林业,3.0,9.961,32.959,0.0,0.7,679447.6052
1546,300163.SZ,先锋新材,其他建材,3.0,1.792,5.455,0.917,0.06,114689.6957
1827,300447.SZ,全信股份,电气设备,3.0,4.382,13.47,-3.131,1.0,183323.0901
73,000400.SZ,许继电气,电气设备,3.0,3.57,10.799,0.908,0.69,993040.293
126,000533.SZ,万家乐,电气设备,3.0,10.028,33.201,-6.642,0.35,230812.1088
1771,300391.SZ,康跃科技,机械基件,3.0,4.014,12.449,-2.994,1.06,85647.2406
1741,300359.SZ,全通教育,文教休闲,3.0,1.796,5.47,-2.174,0.12,311421.3161
1704,300322.SZ,硕贝德,通信设备,3.0,4.039,12.474,-6.836,1.0,394342.4104
145,000555.SZ,神州信息,软件服务,3.0,1.656,5.032,-1.684,0.14,917150.9587
1679,300297.SZ,蓝盾股份,软件服务,3.0,2.611,8.0,-4.398,0.08,407977.1717
53,000070.SZ,特发信息,通信设备,3.0,10.0,33.099,-3.533,2.08,567289.7644
1629,300247.SZ,乐金健康,医疗保健,3.0,2.962,9.038,-3.38,0.12,228839.6773
1593,300211.SZ,亿通科技,通信设备,3.0,4.543,14.079,-0.617,0.54,102322.9481
1587,300205.SZ,天喻信息,元器件,3.0,1.811,5.528,-5.459,0.18,365924.3689
676,002214.SZ,大立科技,电器仪表,3.0,2.983,9.108,-1.613,0.34,214035.5192
1530,300147.SZ,香雪制药,中成药,3.0,1.658,5.049,-1.76,0.09,425957.5317
1482,300099.SZ,精准信息,电器仪表,3.0,2.003,6.112,-0.728,0.07,169986.9101
184,000608.SZ,阳光股份,区域地产,3.0,3.042,9.388,-0.406,0.42,401893.7964
236,000682.SZ,东方电子,电气设备,3.0,5.138,16.012,0.608,0.39,375558.5741
1461,300078.SZ,思创医惠,元器件,3.0,2.279,6.942,-2.549,0.54,518166.7517
1487,300104.SZ,乐视网,互联网,3.0,6.188,19.277,-7.435,0.22,912747.9491
1463,300080.SZ,易成新能,半导体,3.0,2.252,6.88,-3.554,0.13,218364.1797
2890,600908.SH,无锡银行,银行,2.0,2.655,5.364,-0.191,0.04,448905.4345
138,000547.SZ,航天发展,通信设备,2.0,5.728,11.757,-2.503,0.27,916869.2721
3111,601990.SH,南京证券,证券,2.0,6.267,12.788,1.52,0.65,269244.58
2992,601208.SH,东材科技,化工原料,2.0,4.056,8.242,-4.712,0.16,246880.794
3148,603033.SH,三维股份,橡胶,2.0,3.794,7.656,1.695,1.51,65689.26
3084,601881.SH,中国银河,证券,2.0,5.787,11.747,1.642,0.45,934912.0027
3071,601811.SH,新华文轩,出版业,2.0,5.334,10.734,1.107,0.45,201284.4131
150,000561.SZ,烽火电子,通信设备,2.0,7.937,16.462,1.964,0.73,395004.5896
187,000611.SZ,天首发展,纺织,2.0,5.501,11.29,-0.357,0.14,198315.0614
3040,601606.SH,长城军工,专用机械,2.0,6.735,13.819,-4.096,1.34,201132.0
259,000712.SZ,锦龙股份,证券,2.0,5.432,11.014,2.803,0.62,910830.0246
1876,300496.SZ,中科创达,软件服务,2.0,2.93,5.928,-2.039,0.23,559117.9625
694,002232.SZ,启明信息,软件服务,2.0,3.341,6.725,1.937,0.29,294710.0651
699,002237.SZ,恒邦股份,黄金,2.0,4.118,8.344,-1.332,0.46,752029.025
1777,300397.SZ,天和防务,通信设备,2.0,3.665,7.458,0.211,0.42,158634.0781
1773,300393.SZ,中来股份,塑料,2.0,4.807,9.8,-1.961,1.34,198591.4143
1991,300617.SZ,安靠智电,电气设备,2.0,4.067,8.291,-9.905,2.68,86770.62
2067,300694.SZ,蠡湖股份,汽车配件,2.0,2.925,5.928,-2.534,1.18,109651.71
1647,300265.SZ,通光线缆,电气设备,2.0,10.018,21.04,-4.622,2.79,344841.9072
2215,600113.SH,浙江东日,区域地产,2.0,3.819,7.77,-5.313,0.35,238631.4
1522,300139.SZ,晓程科技,元器件,2.0,3.857,7.859,-1.205,0.28,169078.8384
2284,600192.SH,长城电工,电气设备,2.0,3.387,6.84,-1.166,0.02,200111.844
1419,300035.SZ,中科电气,电气设备,2.0,3.948,8.0,-0.662,0.12,189603.1013
2403,600330.SH,天通股份,元器件,2.0,2.882,5.808,-0.721,0.09,580997.8206
1392,300008.SZ,天海防务,船舶,2.0,6.423,13.127,0.388,0.18,176506.215
1380,002939.SZ,长城证券,证券,2.0,5.85,11.873,-0.306,0.79,339202.2058
1375,002933.SZ,新兴装备,航空,2.0,2.633,5.333,-5.108,0.32,121743.8
2449,600386.SH,北巴传媒,公共交通,2.0,2.537,5.12,0.0,0.03,281433.6
1244,002791.SZ,坚朗五金,其他建材,2.0,2.904,5.769,0.816,0.12,84002.325
1152,002692.SZ,睿康股份,电气设备,2.0,9.013,18.83,-2.963,0.67,334084.2813
2506,600476.SH,湘邮科技,软件服务,2.0,2.69,5.45,0.665,0.41,205686.39
1140,002680.SZ,*ST长生,生物制药,2.0,5.054,10.364,10.185,0.45,159020.5438
1130,002670.SZ,国盛金控,证券,2.0,5.288,10.718,2.108,1.19,706763.1174
1004,002544.SZ,杰赛科技,软件服务,2.0,2.832,5.74,0.905,0.93,603452.4534
1906,300527.SZ,中国应急,专用机械,2.0,3.584,7.295,-1.053,0.28,182205.7677
805,002344.SZ,海宁皮城,商品城,2.0,2.655,5.357,-1.754,0.1,599794.4036
800,002339.SZ,积成电子,电气设备,2.0,3.105,6.302,-4.437,0.13,211585.2382
2766,600766.SH,园城黄金,黄金,2.0,3.87,7.721,-0.629,0.38,190566.1933
761,002300.SZ,太阳电缆,电气设备,2.0,9.984,20.965,-2.355,0.84,353813.2168
963,002502.SZ,骅威文化,影视音像,2.0,6.098,12.405,-0.754,0.09,275930.2149
