,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
2132,600012.SH,皖通高速,路桥,3.0,2.44,7.487,-1.579,0.33,702856.8
258,000711.SZ,京蓝科技,软件服务,3.0,3.372,10.071,-4.553,0.01,253065.2571
265,000719.SZ,中原传媒,出版业,3.0,2.437,7.367,-2.914,0.13,525045.1163
469,002006.SZ,精功科技,专用机械,3.0,4.606,14.227,-0.206,0.44,252158.64
614,002151.SZ,北斗星通,通信设备,3.0,2.048,6.244,-1.341,0.3,576416.4423
727,002265.SZ,西仪股份,汽车配件,3.0,2.048,6.243,-2.638,0.09,273462.3419
944,002482.SZ,广田集团,装修装饰,3.0,2.125,6.434,-0.549,0.09,885462.2948
946,002484.SZ,江海股份,元器件,3.0,3.496,10.592,0.723,0.53,470406.6315
1013,002552.SZ,*ST宝鼎,机械基件,3.0,2.899,8.936,0.0,0.29,102476.2593
1021,002560.SZ,通达股份,电气设备,3.0,3.772,11.18,-1.629,0.42,145304.6686
1069,002608.SZ,江苏国信,火力发电,3.0,3.021,9.286,-1.269,0.23,412298.3542
1224,002769.SZ,普路通,仓储物流,3.0,2.964,9.15,-6.82,0.77,235216.9523
1464,300080.SZ,易成新能,半导体,3.0,2.252,6.88,-3.554,0.13,218364.1797
1466,300082.SZ,奥克股份,化工原料,3.0,1.683,5.079,0.175,0.13,404803.2906
1507,300123.SZ,亚光科技,船舶,3.0,3.043,8.95,-4.229,0.4,280444.7081
1695,300312.SZ,邦讯技术,通信设备,3.0,5.425,16.488,4.482,1.38,160213.185
94,000426.SZ,兴业矿业,铅锌,3.0,2.557,7.792,-6.098,0.02,662567.0347
1924,300545.SZ,联得装备,专用机械,3.0,7.463,23.892,2.141,3.42,95862.7122
1781,300400.SZ,劲拓股份,专用机械,3.0,1.715,5.226,0.783,0.61,232822.9121
1141,002680.SZ,*ST长生,生物制药,2.0,5.054,10.364,10.185,0.45,159020.5438
1435,300050.SZ,世纪鼎利,软件服务,2.0,6.982,14.365,-7.496,0.27,229258.4494
3206,603158.SH,腾龙股份,汽车配件,2.0,3.233,6.506,-6.109,0.12,355181.8544
1632,300249.SZ,依米康,软件服务,2.0,2.965,5.512,-5.082,0.3,204002.27
2548,600523.SH,贵航股份,汽车配件,2.0,2.547,5.077,-3.719,0.39,384650.4782
192,000617.SZ,中油资本,多元金融,2.0,2.972,5.911,-1.168,0.09,309104.64
