,ts_code,symbol,name,industry,COL_MA_A,COL_MA_B,COL_MA_GAP,COL_LASTPRICE,concept
19,002583.SZ,002583,海能达,通信设备,11.24,11.23,0.09,10.87,"MSCI, 社保重仓, 业绩预增, 物联网, 互联网金融, 智慧城市, 智慧安防, "
20,600475.SH,600475,华光股份,专用机械,10.91,10.9,0.09,10.32,"固废处理, 信托, 债转股-AMC, 环保, 地热, "
21,002240.SZ,002240,威华股份,家居用品,9.91,9.9,0.1,9.12,"业绩预增, 定增破发, 稀土磁材, 土地流转, 锂电池, 新能源汽车, 家具家居, "
22,300651.SZ,300651,金陵体育,文教休闲,68.12,68.05,0.1,62.21,"高送转-预期, 社保重仓, 高送转, 足球, 体育产业, "
23,300529.SZ,300529,健帆生物,医疗保健,60.1,60.04,0.1,60.81,"新进指数成份股, 社保重仓, 医疗器械, "
24,000546.SZ,000546,金圆股份,水泥,10.42,10.41,0.1,10.16,"固废处理, 水泥, 环保, 股权转让, "
25,300305.SZ,300305,裕兴股份,塑料,8.94,8.93,0.11,8.61,"OLED, 回购, "
26,600410.SH,600410,华胜天成,软件服务,9.22,9.21,0.11,9.81,"阿里巴巴概念股, 国家队重仓, 回购, 军工, 军民融合, 物联网, 智慧物流, 网络安全, 智能制造, 大数据, 云计算, 人工智能, 工业互联网, 智慧城市, 国产软件, 国产芯片, 科创板概念股, 透明工厂, "
27,601019.SH,601019,山东出版,出版业,8.85,8.84,0.11,8.42,
28,600021.SH,600021,上海电力,火力发电,9.29,9.28,0.11,8.84,"火电, 电改, 央企改革, 业绩预增, 光伏, 债转股-AMC, 资产重组, "
29,002427.SZ,002427,*ST尤夫,化纤,17.22,17.2,0.12,16.9,"涤纶, 军工, 军民融合, 锂电池, 新能源汽车, 举牌股, 股权转让, 国资入股, ST股, "
30,002559.SZ,002559,亚威股份,机床制造,8.55,8.54,0.12,8.89,"回购, 工业自动化, 燃料电池, 智能制造, 工业互联网, 机器人, "
31,002591.SZ,002591,恒大高新,化工原料,8.18,8.17,0.12,7.56,"PCB板, 回购, 定增破发, 腾讯概念股, 创投, "
32,600678.SH,600678,四川金顶,水泥,7.71,7.7,0.13,7.03,"锂电池, 新能源汽车, 资产重组, "
33,300011.SZ,300011,鼎汉技术,运输设备,7.76,7.75,0.13,7.44,"定增破发, 雄安新区, 雄安-工程基建, 京津冀, 股权转让, 高铁轨交, 人脸识别, "
34,600667.SH,600667,太极实业,半导体,7.68,7.67,0.13,8.1,"涤纶, 光伏, 半导体, 国产芯片, "
35,000593.SZ,000593,大通燃气,供气供热,7.45,7.44,0.13,7.1,"油气改革, 天然气, 信托, 股权转让, "
36,603661.SH,603661,恒林股份,家居用品,37.62,37.57,0.13,35.7,"小米概念股, 家具家居, "
37,002660.SZ,002660,茂硕电源,电气设备,7.81,7.8,0.13,7.3,"光伏, 新能源汽车, LED, 充电桩, "
38,002435.SZ,002435,长江润发,化学制药,7.73,7.72,0.13,7.21,"民营医院, 回购, 医药, 化学药, "
39,002357.SZ,002357,富临运业,公路,7.14,7.13,0.14,6.77,"新能源汽车, 股权转让, 充电桩, "
40,002647.SZ,002647,仁东控股,多元金融,13.98,13.96,0.14,13.58,"高质押率, 互联网金融, 移动支付, "
41,601369.SH,601369,陕鼓动力,机械基件,7.04,7.03,0.14,6.72,"高股息, "
42,600919.SH,600919,江苏银行,银行,7.29,7.28,0.14,7.03,"银行, MSCI, 破净股, 京东金融概念股, 独角兽, "
43,300276.SZ,300276,三丰智能,专用机械,14.02,14.0,0.14,13.32,"业绩预增, 智慧物流, 工业自动化, 智能制造, 机器人, "
44,603358.SH,603358,华达科技,汽车配件,14.51,14.49,0.14,13.02,"汽车零部件, 工业自动化, 智能制造, "
45,002378.SZ,002378,章源钨业,小金属,6.89,6.88,0.15,6.47,"有色金属, 有色-钨, 工业自动化, 智能制造, "
46,000338.SZ,000338,潍柴动力,汽车配件,13.17,13.15,0.15,12.11,"MSCI, 新能源整车, 社保重仓, 回购, 重卡, 汽车零部件, 山东国企改革, 燃料电池, 新能源汽车, "
47,300273.SZ,300273,和佳股份,医疗保健,6.63,6.62,0.15,6.28,"医疗器械, 互联网医疗, 医疗信息化, "
48,002492.SZ,002492,恒基达鑫,仓储物流,6.54,6.53,0.15,6.17,"粤港澳大湾区, 快递物流, 创投, "
49,000565.SZ,000565,渝三峡A,染料涂料,6.71,6.7,0.15,6.16,"重庆国企改革, 石墨烯, "
50,600011.SH,600011,华能国际,火力发电,6.62,6.61,0.15,6.48,"火电, 高股息, 白马股, MSCI, 电改, 央企改革, 风电, "
51,601328.SH,601328,交通银行,银行,6.33,6.32,0.16,6.18,"银行, MSCI, 社保重仓, 破净股, "
52,601169.SH,601169,北京银行,银行,6.35,6.34,0.16,6.25,"银行, MSCI, 破净股, 京东金融概念股, 独角兽, "
53,002715.SZ,002715,登云股份,汽车配件,18.87,18.84,0.16,18.28,"汽车零部件, 举牌股, 股权转让, 壳公司, "
54,603583.SH,603583,捷昌驱动,电气设备,68.05,67.94,0.16,67.34,"业绩预增, "
55,600515.SH,600515,海航基础,全国地产,6.44,6.43,0.16,6.0,"破净股, 雄安-金融, 高质押率, 房地产, 海南自由贸易港, 雄安新区, 自贸区, 天津国企改革, 自由贸易港, 资产重组, 海南, "
56,600704.SH,600704,物产中大,商贸代理,6.01,6.0,0.17,5.64,"阿里巴巴概念股, 石油化工, 浙江国企改革, 债转股-AMC, 人工智能, 民爆, 滴滴出行概念股, 期货概念, 独角兽, "
57,601028.SH,601028,玉龙股份,钢加工,5.9,5.89,0.17,5.46,"油气改革, 天然气, 锂电池, 新能源汽车, 石墨烯, "
58,600369.SH,600369,西南证券,证券,5.82,5.81,0.17,5.62,"券商, 重庆国企改革, "
59,300283.SZ,300283,温州宏丰,电气设备,5.67,5.66,0.18,5.1,"股权转让, "
60,000423.SZ,000423,东阿阿胶,中成药,49.47,49.38,0.18,48.47,"安邦系, MSCI, 健康中国, 大消费, 央企改革, 保健品, 食品, 医药, 中药, "
61,002671.SZ,002671,龙泉股份,其他建材,5.58,5.57,0.18,5.29,"核电, 雄安-建材, 地下管廊, 海绵城市, PPP, 雄安新区, 股权转让, "
62,600699.SH,600699,均胜电子,汽车配件,27.91,27.86,0.18,27.45,"MSCI, 新进指数成份股, 特斯拉, 回购, 业绩预增, 汽车零部件, 无人驾驶, 无线充电, "
63,000610.SZ,000610,西安旅游,旅游服务,15.55,15.52,0.19,13.85,"旅游, 特色小镇, 强势人气股, 创投, "
64,000900.SZ,000900,现代投资,路桥,5.3,5.29,0.19,5.04,"高速公路, 破净股, 湖南国企改革, 期货概念, 资产重组, "
65,002588.SZ,002588,史丹利,农药化肥,5.4,5.39,0.19,5.09,"乡村振兴, 化肥, "
66,600551.SH,600551,时代出版,出版业,10.74,10.72,0.19,9.99,"安徽国企改革, 二胎, 教育, 国家队重仓, 回购, 创投, "
67,002702.SZ,002702,海欣食品,食品,5.37,5.36,0.19,5.14,"大消费, 食品, 壳公司, "
68,002654.SZ,002654,万润科技,半导体,4.98,4.97,0.2,4.82,"定增破发, 小米概念股, 股权转让, 国资入股, 独角兽, LED, "
69,300242.SZ,300242,佳云科技,互联网,5.05,5.04,0.2,4.81,"百度概念股, 小米概念股, "
70,600821.SH,600821,津劝业,百货,4.94,4.93,0.2,4.52,"自贸区, 天津国企改革, 天津自贸区, "
71,600673.SH,600673,东阳光,铝,9.57,9.55,0.21,9.21,"有色-铝, MSCI, 回购, 有色金属, 医药, 化学药, 流感, "
72,600206.SH,600206,有研新材,半导体,9.67,9.65,0.21,9.1,"OLED, 央企改革, 业绩预增, 稀土磁材, 雄安-建材, 雄安新区, 半导体, LED, 科创板概念股, "
73,300142.SZ,300142,沃森生物,生物制药,27.31,27.25,0.22,26.67,"MSCI, 新进指数成份股, 医药, 创新药, 疫苗, 创业板人气股, "
74,603380.SH,603380,易德龙,元器件,17.97,17.93,0.22,18.05,"独角兽, "
75,002179.SZ,002179,中航光电,元器件,40.77,40.68,0.22,42.51,"5G, MSCI, 新进指数成份股, 央企改革, 军工研究所, 社保重仓, 大飞机, 回购, 军工, 军民融合, 新能源汽车, "
76,300124.SZ,300124,汇川技术,电器仪表,27.47,27.41,0.22,25.91,"MSCI, 工业自动化, 智能制造, 创业板人气股, 工业互联网, 复牌股, 高铁轨交, 机器人, "
77,000929.SZ,000929,兰州黄河,啤酒,8.71,8.69,0.23,8.34,"啤酒, 壳公司, "
78,002312.SZ,002312,三泰控股,电脑设备,4.29,4.28,0.23,4.04,"回购, 化肥, 快递物流, 智慧城市, ST摘帽, "
79,300455.SZ,300455,康拓红外,运输设备,8.64,8.62,0.23,8.17,"央企改革, 军工研究所, 社保重仓, 军工, 高铁轨交, 资产重组, "
80,002740.SZ,002740,爱迪尔,服饰,8.56,8.54,0.23,9.06,"业绩预增, 供应链金融, 高质押率, 股权转让, 资产重组, "
81,600851.SH,600851,海欣股份,纺织,8.78,8.76,0.23,8.39,"参股券商, 纺织服装, 医药, 化学药, 举牌股, "
82,002315.SZ,002315,焦点科技,互联网,16.77,16.73,0.24,18.07,"教育, 谷歌概念股, 互联网金融, "
83,600746.SH,600746,江苏索普,化工原料,8.28,8.26,0.24,7.55,"醋酸, 资产重组, "
84,600780.SH,600780,通宝能源,火力发电,4.17,4.16,0.24,3.89,"火电, 电改, 业绩预增, 破净股, 山西国企改革, "
85,002050.SZ,002050,三花智控,机械基件,16.7,16.66,0.24,15.74,"MSCI, 特斯拉, 蔚来汽车概念股, 回购, 汽车零部件, 小家电, 白色家电, 家电, "
86,600965.SH,600965,福成股份,农业综合,12.25,12.22,0.25,11.3,"京津冀, "
87,000656.SZ,000656,金科股份,区域地产,7.82,7.8,0.26,7.55,"MSCI, 业绩预增, 房地产, 股权争夺, "
88,002374.SZ,002374,丽鹏股份,建筑施工,3.82,3.81,0.26,3.68,"园林, PPP, 股权转让, 包装印刷, "
89,600322.SH,600322,天房发展,区域地产,3.84,3.83,0.26,4.04,"雄安-地产, 破净股, 房地产, 雄安新区, 京津冀, 自贸区, 天津国企改革, 天津自贸区, "
90,000729.SZ,000729,燕京啤酒,啤酒,7.39,7.37,0.27,7.06,"啤酒, MSCI, 大消费, 举牌股, "
91,300696.SZ,300696,爱乐达,航空,26.32,26.25,0.27,24.81,"军工, 军民融合, "
92,600292.SH,600292,远达环保,环境保护,7.07,7.05,0.28,6.58,"电改, 国家队重仓, 央企改革, 核电, 雄安-园林环保, 大气治理, 环保, 雄安新区, 期货概念, 碳交易, "
93,600496.SH,600496,精工钢构,钢加工,3.61,3.6,0.28,3.34,"华为产业链, 业绩预增, 装配式建筑, 雄安-建材, 雄安新区, "
94,600498.SH,600498,烽火通信,通信设备,31.86,31.77,0.28,30.3,"5G, 光通信, MSCI, 央企改革, 社保重仓, 网络安全, 大数据, 云计算, "
95,600033.SH,600033,福建高速,路桥,3.51,3.5,0.29,3.39,"高股息, 高速公路, 福建自贸区, 自贸区, "
96,300533.SZ,300533,冰川网络,软件服务,38.6,38.49,0.29,35.35,"游戏, "
97,300710.SZ,300710,万隆光电,通信设备,31.18,31.09,0.29,27.22,"5G, 光通信, 阿里巴巴概念股, 高送转-预期, 物联网, 广电, 强势人气股, "
98,000550.SZ,000550,江铃汽车,汽车整车,27.67,27.59,0.29,27.1,"高股息, 新能源整车, 汽车整车, 军工研究所, 重卡, 军工, 新能源汽车, "
99,300162.SZ,300162,雷曼光电,元器件,6.86,6.84,0.29,6.47,"足球, 国资入股, LED, 体育产业, "
100,600387.SH,600387,海越能源,石油贸易,10.02,9.99,0.3,9.27,"油气改革, 业绩预增, 石油化工, 定增破发, 油品升级, 创投, "
101,000552.SZ,000552,靖远煤电,煤炭开采,3.3,3.29,0.3,3.07,"火电, 煤炭, "
102,002220.SZ,002220,天宝食品,食品,3.31,3.3,0.3,3.02,"破净股, 冷链, "
103,600098.SH,600098,广州发展,火力发电,6.61,6.59,0.3,6.27,"火电, 可燃冰, 天然气, "
104,600460.SH,600460,士兰微,半导体,16.86,16.81,0.3,15.79,"OLED, MSCI, 半导体, 国产芯片, 智慧安防, LED, "
105,300677.SZ,300677,英科医疗,医疗保健,20.28,20.22,0.3,19.8,"医疗器械, 人民币贬值受益, "
106,300550.SZ,300550,和仁科技,软件服务,66.05,65.85,0.3,65.24,"互联网医疗, 国产软件, 医疗信息化, "
107,601800.SH,601800,中国交建,建筑施工,13.57,13.53,0.3,12.44,"安邦系, 高股息, MSCI, 中字头, 一带一路, 央企改革, 参股券商, 大基建, 区块链, 高铁轨交, "
108,600749.SH,600749,西藏旅游,旅游景点,13.17,13.13,0.3,12.0,"旅游, 西藏, 股权转让, ST股, "
109,000672.SZ,000672,上峰水泥,水泥,13.13,13.09,0.31,12.54,"回购, 业绩预增, 水泥, "
110,002142.SZ,002142,宁波银行,银行,22.95,22.88,0.31,22.2,"银行, MSCI, "
111,601998.SH,601998,中信银行,银行,6.44,6.42,0.31,6.28,"银行, MSCI, 金改, 破净股, 百度概念股, "
112,603580.SH,603580,艾艾精工,化工原料,19.38,19.32,0.31,18.15,
113,002644.SZ,002644,佛慈制药,中成药,9.19,9.16,0.33,8.59,"医药, 中药, "
114,002730.SZ,002730,电光科技,电气设备,9.07,9.04,0.33,8.32,"教育, 3D打印, 智能制造, "
115,603809.SH,603809,豪能股份,汽车配件,18.44,18.38,0.33,17.51,"汽车零部件, "
116,002449.SZ,002449,国星光电,半导体,15.33,15.28,0.33,14.77,"社保重仓, 有色金属, 有色-钒, LED, 虹膜识别, "
117,000930.SZ,000930,中粮生化,农业综合,9.16,9.13,0.33,8.59,"央企改革, 资产重组, 燃料乙醇, "
118,600188.SH,600188,兖州煤业,煤炭开采,11.78,11.74,0.34,11.18,"MSCI, 煤炭, 甲醇, 山东国企改革, "
119,002870.SZ,002870,香山股份,电器仪表,23.74,23.66,0.34,23.9,"OLED, 物联网, 强势人气股, "
120,601919.SH,601919,中远海控,水运,5.86,5.84,0.34,5.54,"南北船合并, MSCI, 中字头, 一带一路, 航运, 央企改革, "
121,600926.SH,600926,杭州银行,银行,8.82,8.79,0.34,8.54,"银行, MSCI, 浙江国企改革, "
122,300509.SZ,300509,新美星,专用机械,17.3,17.24,0.35,16.7,"工业自动化, 智能制造, 包装印刷, "
123,601555.SH,601555,东吴证券,证券,11.43,11.39,0.35,12.18,"MSCI, 券商, 回购, 参股券商, 债转股-AMC, "
124,600015.SH,600015,华夏银行,银行,8.53,8.5,0.35,8.22,"银行, MSCI, 破净股, 定增破发, 独角兽, 蚂蚁金服概念股, "
125,600113.SH,600113,浙江东日,区域地产,8.64,8.61,0.35,8.02,"金改, 浙江国企改革, 冷链, "
126,000018.SZ,000018,神州长城,装修装饰,2.83,2.82,0.35,2.54,"民营医院, 宝能系, 兜底式增持, 装配式建筑, PPP, 雄安新区, 雄安-工程基建, 低价股, "
127,002064.SZ,002064,华峰氨纶,化纤,5.66,5.64,0.35,5.22,"国家队重仓, 石油化工, "
128,603111.SH,603111,康尼机电,运输设备,5.5,5.48,0.36,5.32,"一带一路, 社保重仓, 定增破发, 小米概念股, 高铁轨交, "
129,002832.SZ,002832,比音勒芬,服饰,47.94,47.77,0.36,47.09,"回购, 业绩预增, 纺织服装, 体育产业, "
130,000597.SZ,000597,东北制药,化学制药,13.81,13.76,0.36,13.19,"业绩预增, 债转股-AMC, 医药, 化学药, 维生素, "
131,600801.SH,600801,华新水泥,水泥,27.84,27.74,0.36,26.88,"MSCI, 业绩预增, 水泥, "
132,002856.SZ,002856,美芝股份,装修装饰,25.2,25.11,0.36,25.09,"兜底式增持, 高质押率, 国资入股, 装修装饰, "
133,002871.SZ,002871,伟隆股份,机械基件,25.14,25.05,0.36,24.4,
134,300019.SZ,300019,硅宝科技,化工原料,8.05,8.02,0.37,7.51,"有机硅, 军工, 军民融合, 装配式建筑, 轮胎, "
135,600527.SH,600527,江南高纤,化纤,2.72,2.71,0.37,2.55,"涤纶, 二胎, 低价股, "
136,000705.SZ,000705,浙江震元,医药商业,8.08,8.05,0.37,7.57,"医药商业, 浙江国企改革, 医药, "
137,002474.SZ,002474,榕基软件,软件服务,10.45,10.41,0.38,9.77,"物联网, 网络安全, 数字中国, 云计算, 智慧城市, 国产软件, VR&AR, 智慧安防, "
138,002237.SZ,002237,恒邦股份,黄金,10.44,10.4,0.38,10.05,"股权转让, 黄金, "
139,000988.SZ,000988,华工科技,电器仪表,15.76,15.7,0.38,15.09,"5G, 光通信, 华为产业链, 社保重仓, 工业自动化, 量子通信, 3D打印, 智能制造, 新能源汽车, 半导体, 无人商店, 智慧城市, 高校系, 独角兽, 创投, "
140,600715.SH,600715,文投控股,影视音像,5.33,5.31,0.38,4.78,"定增破发, 游戏, 手游, 影视, "
141,000035.SZ,000035,中国天楹,环境保护,5.32,5.3,0.38,5.17,"固废处理, 环保, 资产重组, "
142,600826.SH,600826,兰生股份,商贸代理,12.9,12.85,0.39,12.62,"高股息, 上海国企改革, 进口博览会, 自贸区, 自由贸易港, 上海自由贸易港, "
143,300082.SZ,300082,奥克股份,化工原料,7.69,7.66,0.39,7.38,"石油化工, 光伏, 锂电池, 新能源汽车, "
144,000663.SZ,000663,永安林业,林业,7.73,7.7,0.39,7.1,"土地流转, 林业, 家具家居, "
145,300532.SZ,300532,今天国际,软件服务,15.25,15.19,0.39,15.2,"宁德时代概念股, 智慧物流, 智能制造, 快递物流, 国资入股, "
146,600488.SH,600488,天药股份,化学制药,4.98,4.96,0.4,4.57,"医药, 化学药, 天津国企改革, "
147,600377.SH,600377,宁沪高速,路桥,10.08,10.04,0.4,9.92,"高股息, 高速公路, "
148,600469.SH,600469,风神股份,汽车配件,4.99,4.97,0.4,4.72,"央企改革, 回购, 重卡, 轮胎, "
149,000059.SZ,000059,华锦股份,石油加工,7.54,7.51,0.4,7.2,"油气改革, 石墨电极, 混改, 军工混改, 央企改革, 军工研究所, 破净股, 军工, 石油化工, 煤化工, 化肥, 油品升级, "
150,603878.SH,603878,武进不锈,钢加工,15.12,15.06,0.4,15.71,"钢铁, 业绩预增, "
151,002849.SZ,002849,威星智能,电器仪表,17.06,16.99,0.41,17.54,"物联网, 智能仪表, "
152,300488.SZ,300488,恒锋工具,机械基件,26.79,26.68,0.41,28.01,
153,603166.SH,603166,福达股份,汽车配件,7.09,7.06,0.42,6.6,"汽车零部件, 工业自动化, 智能制造, 广西, "
154,002236.SZ,002236,大华股份,电器仪表,16.93,16.86,0.42,16.78,"白马股, MSCI, 无人机, 无人驾驶, 智慧物流, 智能制造, 智慧城市, 国产芯片, 智慧安防, 独角兽, 机器人, 人脸识别, "
155,002483.SZ,002483,润邦股份,工程机械,4.81,4.79,0.42,4.57,"海工装备, 固废处理, 智慧停车, 环保, "
156,600557.SH,600557,康缘药业,中成药,14.2,14.14,0.42,13.7,"国家队重仓, 回购, 医药, 中药, 流感, 科创板概念股, "
157,600856.SH,600856,中天能源,供气供热,4.71,4.69,0.43,4.12,"油气改革, 天然气, 定增破发, 互联网金融, "
158,002604.SZ,002604,*ST龙力,食品,2.32,2.31,0.43,2.06,"食品, 白糖, 低价股, 石墨烯, ST股, 壳公司, 燃料乙醇, "
159,002714.SZ,002714,牧原股份,农业综合,67.85,67.56,0.43,65.82,"MSCI, 社保重仓, 养猪, "
160,300462.SZ,300462,华铭智能,专用机械,18.55,18.47,0.43,16.43,"移动支付, 大数据, 腾讯概念股, 高铁轨交, 独角兽, "
161,000657.SZ,000657,中钨高新,小金属,7.03,7.0,0.43,6.6,"央企改革, 有色金属, 有色-钨, 创投, "
162,000937.SZ,000937,冀中能源,煤炭开采,4.52,4.5,0.44,4.35,"MSCI, 煤炭, 破净股, 京津冀, 农业种植, "
163,600860.SH,600860,京城股份,专用机械,9.13,9.09,0.44,7.76,"天然气, 燃料电池, "
164,300075.SZ,300075,数字政通,软件服务,13.64,13.58,0.44,13.86,"雄安-智慧城市, 定增破发, 海南自由贸易港, 数字中国, 雄安新区, 雄安-工程基建, 京津冀, 大数据, 自贸区, 智慧城市, 国产软件, 自由贸易港, "
165,603306.SH,603306,华懋科技,汽车配件,18.06,17.98,0.44,17.35,"汽车零部件, 定增破发, 股权转让, "
166,000895.SZ,000895,双汇发展,食品,26.71,26.59,0.45,25.9,"高股息, 白马股, MSCI, 大消费, 食品, "
167,600390.SH,600390,五矿资本,多元金融,10.86,10.81,0.46,10.64,"券商, 金改, 央企改革, 信托, 期货概念, "
168,000883.SZ,000883,湖北能源,火力发电,4.36,4.34,0.46,4.07,"火电, MSCI, 水电, 电改, 央企改革, 参股券商, 风电, 天然气, "
169,002703.SZ,002703,浙江世宝,汽车配件,6.49,6.46,0.46,5.99,"汽车零部件, 无人驾驶, "
170,600962.SH,600962,国投中鲁,软饮料,11.03,10.98,0.46,10.0,"央企改革, 饮料, 苹果期货, "
171,600186.SH,600186,莲花健康,食品,2.15,2.14,0.47,2.24,"调味品, 食品, 低价股, 壳公司, "
172,000860.SZ,000860,顺鑫农业,白酒,59.77,59.49,0.47,58.19,"MSCI, 社保重仓, 白酒, 养猪, 业绩预增, 京津冀, "
173,002906.SZ,002906,华阳集团,汽车配件,12.7,12.64,0.47,11.53,"汽车零部件, 百度概念股, 宁德时代概念股, 无人驾驶, "
174,300503.SZ,300503,昊志机电,机械基件,10.69,10.64,0.47,10.07,"工业自动化, 智能制造, 3D玻璃, "
175,603803.SH,603803,瑞斯康达,通信设备,12.96,12.9,0.47,13.46,"5G, 光通信, 物联网, 工业互联网, "
176,002523.SZ,002523,天桥起重,工程机械,4.2,4.18,0.48,3.9,"湖南国企改革, 机械, 智慧停车, "
177,000876.SZ,000876,新希望,饲料,14.7,14.63,0.48,16.3,"MSCI, 东盟博览会, 金改, 饲料, 养猪, 独角兽, 蚂蚁金服概念股, "
178,603626.SH,603626,科森科技,专用机械,10.41,10.36,0.48,9.71,"苹果产业链, 迈瑞医疗概念股, "
179,002756.SZ,002756,永兴特钢,特种钢,16.67,16.59,0.48,15.68,"钢铁, 核电, 军工, 锂电池, 新能源汽车, "
180,300088.SZ,300088,长信科技,元器件,6.18,6.15,0.49,5.99,"OLED, 特斯拉, 华为产业链, 蔚来汽车概念股, 无人驾驶, 小米概念股, 石墨烯, 股权转让, 苹果产业链, 独角兽, "
181,603838.SH,603838,四通股份,陶瓷,10.12,10.07,0.5,9.73,"固废处理, 环保, 股权转让, 资产重组, "
182,002649.SZ,002649,博彦科技,软件服务,10.03,9.98,0.5,10.12,"大数据, 人工智能, 区块链, "
183,000528.SZ,000528,柳工,工程机械,8.12,8.08,0.5,7.6,"一带一路, 业绩预增, 机械, 石墨烯, 广西, "
184,600337.SH,600337,美克家居,家居用品,6.05,6.02,0.5,5.34,"回购, 新疆, 家具家居, "
185,300328.SZ,300328,宜安科技,铝,10.09,10.04,0.5,9.37,"有色-铝, 特斯拉, 华为产业链, 有色金属, 汽车零部件, 医疗器械, 国资入股, "
186,600831.SH,600831,广电网络,影视音像,11.73,11.67,0.51,12.9,"大数据, 云计算, 智慧城市, 广电, 知识产权, "
187,002840.SZ,002840,华统股份,食品,19.35,19.25,0.52,18.48,"养猪, "
188,002682.SZ,002682,龙洲股份,公路,5.81,5.78,0.52,5.28,"新能源整车, 油气改革, 教育, 汽车销售, 雄安-建材, 雄安新区, 新能源汽车, 快递物流, "
189,002935.SZ,002935,天奥电子,元器件,52.39,52.12,0.52,49.62,"高送转-预期, 军工, 军民融合, 北斗导航, "
190,600727.SH,600727,鲁北化工,农药化肥,7.61,7.57,0.53,8.41,"煤化工, 化肥, 山东国企改革, 磷化工, "
191,002679.SZ,002679,福建金森,林业,24.86,24.73,0.53,25.54,"土地流转, 林业, "
192,000533.SZ,000533,顺钠股份,电气设备,3.79,3.77,0.53,3.35,
193,601288.SH,601288,农业银行,银行,3.8,3.78,0.53,3.72,"银行, MSCI, 社保重仓, 破净股, "
194,002060.SZ,002060,粤水电,建筑施工,3.75,3.73,0.54,3.48,"水电, 电改, 风电, 粤港澳大湾区, 大基建, 水利, PPP, "
195,600528.SH,600528,中铁工业,建筑施工,13.0,12.93,0.54,11.87,"MSCI, 中字头, 一带一路, 央企改革, 大基建, 高铁轨交, "
196,002770.SZ,002770,科迪乳业,乳制品,3.75,3.73,0.54,3.43,"食品, 乳业（奶粉）, 资产重组, "
197,002789.SZ,002789,建艺集团,装修装饰,18.77,18.67,0.54,18.14,"装修装饰, "
198,300543.SZ,300543,朗科智能,电气设备,20.36,20.25,0.54,18.66,"锂电池, 新能源汽车, "
199,300153.SZ,300153,科泰电源,电气设备,9.21,9.16,0.55,8.73,"新能源整车, 华为产业链, 新能源汽车, "
200,002911.SZ,002911,佛燃股份,供气供热,18.24,18.14,0.55,16.64,"天然气, 新能源汽车, 充电桩, "
201,300634.SZ,300634,彩讯股份,软件服务,28.69,28.53,0.56,26.28,"大数据, "
202,000973.SZ,000973,佛塑科技,塑料,5.35,5.32,0.56,5.09,"OLED, 煤化工, 锂电池, 新能源汽车, 快递物流, 石墨烯, "
203,002534.SZ,002534,杭锅股份,专用机械,7.21,7.17,0.56,6.85,"核电, 创投, "
204,600363.SH,600363,联创光电,元器件,10.86,10.8,0.56,10.11,"国产芯片, LED, "
