code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,stop_mark,next_day_up_limit
600348,阳泉煤业,0.849,-14.407,1.983,0.013,,7.483
300044,赛为智能,12.872,-14.355,4.693,0.027,,17.44
600603,广汇物流,3.698,-14.339,1.35,0.01,,7.124
000055,方大集团,3.825,-14.338,1.663,0.012,,7.478
300341,麦迪电气,14.89,-14.29,0.253,0.045,,7.399
600567,山鹰纸业,2.255,-14.252,1.047,0.005,,4.624
300141,和顺电气,9.973,-14.225,2.223,0.026,,10.625
300224,正海磁材,9.256,-14.191,0.7,0.018,,8.499
002001,新 和 成,4.375,-14.133,1.213,0.01,,34.253
002192,融捷股份,14.383,-14.13,3.67,0.042,,30.416
300314,戴维医疗,8.798,-14.011,1.43,0.019,,13.46
002016,世荣兆业,18.525,-13.998,4.65,0.059,,15.07
600605,汇通能源,8.704,-13.911,0.767,0.017,,12.71
002156,通富微电,19.688,-13.89,3.22,0.042,,13.075
600238,海南椰岛,11.272,-13.88,2.077,0.026,,7.944
000039,中集集团,4.484,-13.787,0.803,0.015,,17.315
000815,美利云,10.986,-13.766,0.727,0.024,,13.023
601101,昊华能源,3.184,-13.727,0.62,0.011,,6.966
300502,新易盛,10.201,-13.723,3.8,0.027,,24.674
300085,银之杰,11.051,-13.709,3.383,0.028,,16.183
002694,顾地科技,3.876,-13.67,9.41,0.036,,12.413
600237,铜峰电子,9.167,-13.637,2.08,0.025,,4.85
000537,广宇发展,12.947,-13.633,3.333,0.033,,13.818
600579,天华院,11.329,-13.568,1.22,0.026,,11.28
600289,ST信通,2.793,-13.54,1.0,0.016,,3.799
000888,峨眉山Ａ,4.596,-13.48,1.413,0.022,,10.263
002807,江阴银行,4.807,-13.479,1.937,0.016,,7.448
002282,博深工具,15.358,-13.444,3.337,0.045,,13.69
000839,中信国安,5.766,-13.436,0.737,0.014,,7.312
600609,金杯汽车,4.602,-13.376,0.34,0.013,,5.358
600745,闻泰科技,12.635,-13.369,0.833,0.038,,29.791
600577,精达股份,6.618,-13.362,1.77,0.015,,4.45
300088,长信科技,14.617,-13.324,2.827,0.038,,7.94
000050,深天马Ａ,7.73,-13.242,1.043,0.019,,16.525
000612,焦作万方,5.895,-13.24,0.557,0.021,,7.966
002833,弘亚数控,7.838,-13.135,0.717,0.025,,56.255
601015,陕西黑猫,3.962,-12.968,0.687,0.011,,7.74
300113,顺网科技,15.171,-12.96,4.42,0.033,,24.092
600844,丹化科技,6.468,-12.947,0.403,0.022,,6.064
002455,百川股份,16.202,-12.94,2.683,0.045,,9.209
601699,潞安环能,1.528,-12.933,1.96,0.022,,11.002
000732,泰禾集团,10.375,-12.911,3.013,0.046,,30.304
300292,吴通控股,5.461,-12.866,1.15,0.021,,5.378
000760,斯太尔,5.931,-12.83,0.807,0.016,,4.954
002078,太阳纸业,2.99,-12.793,0.643,0.009,,11.186
000426,兴业矿业,5.058,-12.739,1.033,0.015,,10.036
002573,清新环境,9.31,-12.728,1.327,0.019,,15.593
601001,大同煤业,1.92,-12.71,0.51,0.011,,5.424
002180,纳思达,12.329,-12.699,0.323,0.025,,28.281
000525,红 太 阳,5.55,-12.673,0.817,0.009,,22.274
000928,中钢国际,1.669,-12.665,1.013,0.008,,5.565
600172,黄河旋风,13.206,-12.653,1.877,0.029,,8.961
002463,沪电股份,6.865,-12.627,0.683,0.015,,4.452
002195,二三四五,8.322,-12.568,1.173,0.021,,5.915
000961,中南建设,10.601,-12.532,0.9,0.039,,7.765
600793,宜宾纸业,2.132,-12.521,0.863,0.019,,20.703
601100,恒立液压,3.986,-12.521,0.297,0.007,,30.788
300127,银河磁体,10.116,-12.516,1.25,0.02,,16.787
000547,航天发展,1.913,-12.485,4.197,0.009,,10.936
002466,天齐锂业,10.125,-12.484,1.48,0.019,,61.881
002926,华西证券,5.161,-12.459,7.763,0.012,,13.713
002146,荣盛发展,7.98,-12.444,1.507,0.031,,10.663
002112,三变科技,0.294,-12.438,1.5,0.019,,10.617
000510,金路集团,6.27,-12.397,0.52,0.016,,6.792
000836,鑫茂科技,5.325,-12.386,1.35,0.016,,4.889
600720,祁连山,4.461,-12.382,3.497,0.016,,10.658
600141,兴发集团,7.686,-12.38,1.147,0.02,,15.552
002583,海能达,3.618,-12.379,1.107,0.015,,12.316
002229,鸿博股份,18.009,-12.374,5.343,0.046,,12.603
600478,科力远,7.69,-12.367,0.443,0.014,,6.017
300561,汇金科技,11.409,-12.345,6.213,0.03,,42.481
002077,大港股份,11.032,-12.33,0.477,0.014,,11.34
600887,伊利股份,0.786,-12.319,1.413,0.022,,29.67
300547,川环科技,15.367,-12.224,2.437,0.025,,58.491
300536,农尚环境,12.093,-12.196,4.77,0.029,,15.358
000599,青岛双星,3.475,-12.191,0.463,0.01,,6.041
600338,西藏珠峰,2.426,-12.169,2.223,0.01,,32.919
000921,海信科龙,4.617,-12.158,0.663,0.016,,12.651
300613,富瀚微,18.359,-12.128,7.147,0.042,,182.47
600966,博汇纸业,3.29,-12.102,0.977,0.008,,5.744
002136,安 纳 达,2.883,-12.072,2.223,0.01,,14.374
002756,永兴特钢,1.859,-12.0,0.757,0.007,,22.35
600295,鄂尔多斯,2.484,-11.998,1.153,0.015,,11.428
002519,银河电子,8.857,-11.987,0.613,0.02,,6.806
600475,华光股份,4.564,-11.885,0.86,0.011,,12.586
300303,聚飞光电,7.924,-11.874,0.757,0.016,,3.215
300355,蒙草生态,8.088,-11.869,2.527,0.02,,11.246
000408,藏格控股,13.526,-11.865,0.96,0.035,,17.605
002279,久其软件,16.954,-11.863,3.077,0.04,,13.813
000823,超声电子,9.538,-11.86,3.163,0.027,,10.073
600498,烽火通信,12.911,-11.831,0.863,0.024,,29.648
000937,冀中能源,2.404,-11.823,0.443,0.008,,5.21
002707,众信旅游,11.893,-11.808,0.867,0.021,,13.146
000782,美达股份,8.683,-11.788,0.49,0.021,,6.929
300433,蓝思科技,6.557,-11.748,2.247,0.016,,26.452
600610,中毅达,2.431,-11.741,2.733,0.009,,4.688
002056,横店东磁,9.638,-11.717,0.817,0.019,,9.949
000670,盈方微,24.692,-11.712,6.757,0.046,,6.274
601678,滨化股份,2.497,-11.694,1.677,0.016,,9.387
000970,中科三环,6.623,-11.689,1.973,0.014,,12.743
300486,东杰智能,12.138,-11.673,2.073,0.03,,19.577
000528,柳 工,7.485,-11.636,2.713,0.029,,9.211
600409,三友化工,2.618,-11.624,1.097,0.011,,8.821
600153,建发股份,4.867,-11.623,0.327,0.012,,11.425
600198,大唐电信,10.337,-11.619,1.5,0.027,,8.524
002534,杭锅股份,3.36,-11.602,0.557,0.011,,9.104
300343,联创互联,10.013,-11.597,2.483,0.024,,14.954
300537,广信材料,10.775,-11.577,2.113,0.026,,15.934
002241,歌尔股份,0.139,-11.55,1.547,0.016,,14.263
300054,鼎龙股份,13.603,-11.546,1.643,0.031,,10.9
002484,江海股份,3.332,-11.545,1.083,0.01,,7.923
600335,国机汽车,27.493,-11.486,6.923,0.061,,12.946
300208,恒顺众昇,4.094,-11.473,1.003,0.017,,11.404
600722,金牛化工,7.693,-11.461,0.897,0.018,,6.34
002068,黑猫股份,10.724,-11.415,2.043,0.027,,9.684
002158,汉钟精机,13.828,-11.393,2.303,0.035,,12.507
300137,先河环保,15.544,-11.373,6.113,0.04,,20.976
000905,厦门港务,6.669,-11.336,0.673,0.018,,9.985
600112,*ST天成,0.451,-11.329,1.057,0.015,,4.553
601000,唐山港,7.713,-11.32,0.403,0.015,,4.967
300011,鼎汉技术,10.633,-11.317,0.763,0.031,,10.474
002289,宇顺电子,5.853,-11.298,0.883,0.018,,8.791
300395,菲利华,11.686,-11.295,1.003,0.035,,15.623
002892,科力尔,4.027,-11.288,4.54,0.02,,34.962
300152,科融环境,8.962,-11.264,2.757,0.025,,4.552
002036,联创电子,11.841,-11.226,1.943,0.026,,16.821
002503,搜于特,4.633,-11.215,0.443,0.018,,5.262
000088,盐 田 港,5.801,-11.212,0.327,0.012,,7.454
002067,景兴纸业,3.429,-11.199,1.14,0.008,,5.821
300480,光力科技,12.333,-11.185,2.777,0.029,,14.35
300010,立思辰,22.936,-11.167,3.693,0.056,,11.836
601137,博威合金,3.884,-11.145,0.447,0.009,,10.677
601111,中国国航,2.865,-11.132,0.973,0.03,,12.3
000007,全新好,5.355,-11.104,0.787,0.023,,15.117
600050,中国联通,1.77,-11.09,0.49,0.011,,5.922
002132,恒星科技,5.078,-11.055,0.757,0.018,,3.797
002196,方正电机,7.029,-11.051,1.043,0.016,,9.357
002236,大华股份,1.626,-11.032,1.697,0.017,,27.339
300376,易事特,7.151,-11.029,0.56,0.013,,7.493
002308,威创股份,6.204,-11.023,0.733,0.016,,10.134
300075,数字政通,15.274,-11.01,7.027,0.057,,18.444
000892,欢瑞世纪,7.083,-10.998,0.453,0.021,,7.957
002386,天原集团,7.595,-10.974,1.573,0.023,,7.255
002185,华天科技,11.454,-10.96,2.23,0.022,,7.872
600012,皖通高速,0.946,-10.959,0.18,0.009,,9.656
000758,中色股份,2.489,-10.956,0.463,0.006,,5.849
002222,福晶科技,9.253,-10.931,1.817,0.019,,16.955
000788,北大医药,6.587,-10.924,0.993,0.02,,7.55
300359,全通教育,12.597,-10.908,2.49,0.03,,9.767
002302,西部建设,7.273,-10.902,1.22,0.014,,15.969
002597,金禾实业,3.888,-10.88,1.4,0.011,,25.337
300133,华策影视,5.613,-10.879,1.153,0.012,,12.297
002058,威 尔 泰,6.295,-10.87,1.007,0.027,,18.103
600787,中储股份,4.746,-10.853,0.667,0.01,,9.152
600410,华胜天成,14.202,-10.85,3.837,0.028,,12.277
300385,雪浪环境,9.192,-10.84,0.813,0.016,,22.942
600426,华鲁恒升,2.5,-10.815,2.03,0.031,,17.184
300241,瑞丰光电,6.92,-10.808,1.41,0.018,,16.903
002081,金 螳 螂,3.59,-10.799,0.503,0.015,,13.312
002555,三七互娱,0.547,-10.775,0.9,0.012,,19.405
600508,上海能源,1.59,-10.765,0.553,0.006,,10.97
600459,贵研铂业,7.115,-10.749,1.167,0.017,,19.054
002167,东方锆业,1.446,-10.744,1.25,0.009,,9.32
300422,博世科,15.342,-10.732,2.357,0.033,,16.166
000567,海德股份,18.406,-10.726,2.463,0.044,,28.604
000913,钱江摩托,1.901,-10.712,0.37,0.01,,16.799
600025,华能水电,1.069,-10.705,2.433,0.006,,3.85
601021,春秋航空,0.684,-10.691,0.39,0.008,,31.154
600110,诺德股份,3.492,-10.665,1.66,0.01,,8.188
600908,无锡银行,2.561,-10.656,1.59,0.01,,7.386
002258,利尔化学,5.515,-10.628,0.99,0.018,,20.559
002426,胜利精密,6.152,-10.621,0.37,0.021,,5.425
000708,大冶特钢,3.114,-10.595,0.653,0.013,,10.508
300187,永清环保,2.879,-10.582,3.483,0.011,,9.876
000671,阳 光 城,5.765,-10.578,1.497,0.034,,8.239
300276,三丰智能,11.39,-10.564,2.753,0.028,,14.096
601633,长城汽车,0.785,-10.532,0.083,0.004,,11.57
002640,跨境通,15.592,-10.529,0.733,0.029,,20.533
002695,煌上煌,4.944,-10.521,1.1,0.012,,16.096
002176,江特电机,6.997,-10.511,2.72,0.013,,11.679
600330,天通股份,11.906,-10.498,2.01,0.029,,9.206
600376,首开股份,3.413,-10.489,0.173,0.017,,8.778
000036,华联控股,3.404,-10.488,0.893,0.019,,8.829
300201,海伦哲,8.084,-10.468,0.587,0.016,,6.146
300006,莱美药业,5.917,-10.449,1.25,0.008,,5.605
002514,宝馨科技,0.653,-10.44,1.17,0.016,,6.301
300353,东土科技,9.654,-10.435,11.31,0.024,,17.15
300340,科恒股份,11.561,-10.42,3.59,0.023,,47.675
000982,*ST 中绒,0.664,-10.409,0.393,0.007,,3.088
600481,双良节能,4.209,-10.401,0.203,0.013,,4.103
600075,新疆天业,2.188,-10.394,0.513,0.008,,7.066
002304,洋河股份,0.685,-10.392,0.38,0.027,,114.153
300391,康跃科技,9.406,-10.383,1.97,0.023,,13.444
002856,美芝股份,12.189,-10.382,9.18,0.024,,29.545
600328,兰太实业,3.104,-10.37,1.687,0.012,,9.469
600997,开滦股份,0.566,-10.358,0.633,0.008,,5.426
600068,葛洲坝,4.413,-10.354,0.873,0.013,,8.936
601005,重庆钢铁,3.569,-10.334,0.257,0.009,,2.37
601128,常熟银行,3.389,-10.331,1.323,0.011,,7.192
002197,证通电子,8.082,-10.329,1.177,0.024,,10.668
002368,太极股份,32.017,-10.287,7.08,0.08,,31.298
601388,怡球资源,1.479,-10.281,0.903,0.007,,3.518
600048,保利地产,1.284,-10.27,1.44,0.021,,14.132
300098,高新兴,23.625,-10.267,5.417,0.058,,15.686
300236,上海新阳,21.334,-10.258,6.693,0.04,,38.354
002325,洪涛股份,6.3,-10.245,0.737,0.017,,4.682
002350,北京科锐,10.06,-10.241,1.623,0.022,,9.151
300487,蓝晓科技,49.75,-10.232,3.517,0.134,,43.511
600545,卓郎智能,3.757,-10.222,0.507,0.011,,9.509
600398,海澜之家,2.747,-10.218,0.237,0.01,,11.933
600588,用友网络,15.086,-10.218,2.82,0.016,,39.388
002102,冠福股份,1.311,-10.217,1.317,0.011,,4.718
300136,信维通信,5.715,-10.21,1.823,0.021,,38.387
002658,雪迪龙,8.328,-10.202,1.307,0.022,,11.491
002920,德赛西威,6.859,-10.173,3.917,0.016,,37.871
601618,中国中冶,2.426,-10.166,0.12,0.008,,3.864
600460,士兰微,14.552,-10.157,6.727,0.029,,16.645
000807,云铝股份,2.001,-10.149,2.393,0.012,,7.881
601595,上海电影,3.997,-10.148,1.067,0.013,,19.053
601228,广州港,3.407,-10.141,1.24,0.011,,5.607
000010,美丽生态,6.128,-10.141,0.793,0.01,,4.585
000821,京山轻机,8.916,-10.124,1.677,0.02,,12.438
600395,盘江股份,2.687,-10.111,0.437,0.008,,6.22
300427,红相股份,17.176,-10.109,6.167,0.041,,17.06
600804,鹏博士,7.945,-10.101,0.743,0.02,,15.758
000615,京汉股份,21.488,-10.091,16.347,0.04,,11.278
000049,德赛电池,7.159,-10.078,1.5,0.019,,34.962
002817,黄山胶囊,7.227,-10.069,1.76,0.018,,27.708
600456,宝钛股份,17.742,-10.056,2.52,0.052,,22.111
600265,ST景谷,12.71,-10.044,0.093,0.023,,18.5
300120,经纬电材,4.876,-10.0,0.877,0.018,,11.057
300447,全信股份,18.421,-9.993,3.07,0.035,,18.089
000980,众泰汽车,3.376,-9.966,1.083,0.009,,9.964
600093,易见股份,10.94,-9.961,6.077,0.023,,15.978
002251,步 步 高,1.672,-9.956,0.983,0.01,,14.824
002644,佛慈制药,7.716,-9.952,1.04,0.017,,11.401
601009,南京银行,0.229,-9.949,0.75,0.016,,8.432
000960,锡业股份,4.829,-9.937,1.703,0.015,,13.803
000801,四川九洲,17.62,-9.932,4.77,0.033,,7.197
600428,中远海特,1.067,-9.889,0.39,0.006,,4.829
601908,京运通,4.71,-9.889,0.197,0.01,,4.962
000988,华工科技,9.331,-9.883,1.047,0.02,,15.838
600057,象屿股份,5.49,-9.883,0.263,0.009,,8.212
002617,露笑科技,1.134,-9.882,0.567,0.01,,14.887
600067,冠城大通,3.117,-9.875,0.367,0.012,,6.046
002023,海特高新,17.538,-9.855,4.877,0.035,,10.549
600366,宁波韵升,7.196,-9.855,0.693,0.015,,17.051
000504,南华生物,5.855,-9.846,0.403,0.023,,25.145
002365,永安药业,14.457,-9.837,3.843,0.041,,32.731
002218,拓日新能,6.111,-9.827,0.67,0.014,,4.088
600747,*ST大控,1.007,-9.818,0.78,0.01,,2.057
300161,华中数控,31.629,-9.796,7.627,0.094,,20.554
600293,三峡新材,2.384,-9.775,1.277,0.013,,7.036
300182,捷成股份,10.919,-9.763,2.223,0.021,,10.84
000762,西藏矿业,6.763,-9.761,1.35,0.014,,13.678
600469,风神股份,4.047,-9.753,0.52,0.008,,4.944
002579,中京电子,12.355,-9.739,0.767,0.027,,9.015
600845,宝信软件,19.368,-9.731,2.113,0.039,,29.232
600439,瑞贝卡,5.18,-9.73,3.123,0.018,,6.356
601019,山东出版,5.074,-9.715,4.503,0.027,,10.961
300346,南大光电,23.248,-9.698,2.113,0.067,,30.668
300425,环能科技,8.607,-9.679,1.113,0.019,,10.043
600291,西水股份,7.939,-9.632,1.273,0.024,,20.639
002097,山河智能,4.271,-9.623,0.61,0.009,,7.155
600623,华谊集团,2.616,-9.618,1.28,0.006,,9.976
000878,云南铜业,1.609,-9.583,0.787,0.009,,11.669
601872,招商轮船,0.806,-9.565,0.113,0.008,,3.804
000060,中金岭南,3.185,-9.563,1.48,0.01,,9.551
300275,梅安森,7.073,-9.563,2.753,0.024,,13.918
000639,西王食品,4.06,-9.556,0.637,0.003,,15.264
002405,四维图新,22.265,-9.543,6.437,0.048,,27.879
300393,中来股份,5.003,-9.516,0.607,0.017,,35.937
002191,劲嘉股份,5.449,-9.509,0.903,0.013,,8.796
002552,宝鼎科技,10.226,-9.499,0.693,0.027,,9.168
002273,水晶光电,6.551,-9.489,1.847,0.016,,20.626
600699,均胜电子,10.008,-9.485,0.76,0.025,,30.97
600822,上海物贸,1.772,-9.468,1.443,0.012,,12.359
002722,金轮股份,5.863,-9.449,1.49,0.016,,21.905
600392,盛和资源,11.667,-9.446,3.75,0.022,,17.565
300153,科泰电源,7.06,-9.445,0.903,0.014,,10.37
300416,苏试试验,13.35,-9.442,1.09,0.023,,26.024
002093,国脉科技,11.028,-9.439,0.93,0.031,,9.556
002174,游族网络,1.81,-9.435,1.733,0.007,,22.381
600259,广晟有色,7.294,-9.433,1.327,0.012,,33.277
600846,同济科技,13.803,-9.431,4.013,0.035,,9.462
002471,中超控股,2.468,-9.431,0.34,0.008,,3.788
600339,中油工程,0.989,-9.411,0.653,0.007,,4.185
002164,宁波东力,12.878,-9.409,1.943,0.042,,8.903
002139,拓邦股份,21.064,-9.401,6.697,0.06,,12.497
300014,亿纬锂能,11.31,-9.383,1.597,0.023,,18.632
002442,龙星化工,2.298,-9.371,0.45,0.009,,11.795
600123,兰花科创,1.311,-9.367,0.84,0.006,,7.846
600510,黑牡丹,1.423,-9.366,0.22,0.006,,6.483
300197,铁汉生态,14.63,-9.307,2.55,0.043,,12.07
601519,*ST智慧,4.203,-9.306,0.267,0.01,,4.033
002421,达实智能,10.913,-9.305,0.827,0.028,,5.525
000413,东旭光电,4.313,-9.301,0.85,0.013,,7.942
600266,北京城建,9.34,-9.299,0.887,0.019,,12.147
600010,包钢股份,1.387,-9.296,0.25,0.006,,2.219
600111,北方稀土,7.793,-9.296,1.213,0.009,,13.224
002591,恒大高新,4.137,-9.288,0.427,0.008,,9.722
600780,通宝能源,3.596,-9.279,0.203,0.008,,4.089
300374,恒通科技,11.984,-9.275,3.323,0.033,,14.691
002108,沧州明珠,5.065,-9.271,1.1,0.014,,9.755
300435,中泰股份,9.226,-9.236,0.863,0.024,,11.955
002141,贤丰控股,11.017,-9.231,0.903,0.019,,6.58
001965,招商公路,1.303,-9.224,1.71,0.007,,9.516
000795,英洛华,7.631,-9.214,3.353,0.019,,6.108
000488,晨鸣纸业,5.619,-9.211,1.54,0.01,,17.755
002616,长青集团,4.597,-9.207,0.623,0.014,,7.912
002416,爱施德,5.548,-9.205,0.437,0.016,,8.785
002530,金财互联,2.318,-9.202,1.053,0.022,,24.21
600657,信达地产,5.36,-9.196,0.783,0.021,,5.554
300212,易华录,13.95,-9.181,3.27,0.031,,33.214
600197,伊力特,0.049,-9.159,1.677,0.015,,19.689
000736,中交地产,10.802,-9.147,1.143,0.035,,19.916
300566,激智科技,7.832,-9.136,3.14,0.035,,28.304
300310,宜通世纪,17.093,-9.118,4.373,0.05,,12.018
600875,东方电气,2.729,-9.109,0.427,0.013,,9.244
002407,多氟多,6.169,-9.109,1.447,0.012,,17.87
600617,国新能源,3.183,-9.084,0.127,0.009,,7.144
002636,金安国纪,7.538,-9.08,1.36,0.016,,13.551
000657,中钨高新,4.992,-9.078,1.037,0.011,,11.153
600695,绿庭投资,0.199,-9.075,0.64,0.009,,9.944
600917,重庆燃气,3.146,-9.074,0.153,0.008,,7.976
002654,万润科技,13.049,-9.051,2.573,0.039,,7.496
002398,建研集团,1.658,-9.047,1.227,0.005,,13.03
300251,光线传媒,10.301,-9.047,1.113,0.023,,13.234
000938,紫光股份,19.354,-9.026,4.4,0.043,,76.875
600970,中材国际,2.987,-9.022,1.13,0.01,,9.178
000507,珠海港,9.786,-9.02,2.41,0.024,,9.472
002119,康强电子,6.772,-9.02,0.547,0.015,,18.006
600959,江苏有线,2.421,-9.007,0.303,0.006,,7.283
600345,长江通信,8.851,-9.006,1.723,0.018,,26.639
000030,富奥股份,3.925,-9.001,0.243,0.013,,7.329
002818,富森美,7.827,-8.99,1.907,0.02,,28.159
300117,嘉寓股份,14.286,-8.988,2.283,0.013,,6.137
300181,佐力药业,14.423,-8.985,7.78,0.045,,7.845
002605,姚记扑克,9.657,-8.969,2.673,0.047,,12.609
600281,太化股份,11.173,-8.966,0.863,0.015,,5.31
600589,广东榕泰,4.71,-8.96,0.63,0.014,,5.681
300264,佳创视讯,10.014,-8.953,0.79,0.025,,6.522
300177,中海达,15.165,-8.941,1.95,0.032,,11.055
000837,秦川机床,9.999,-8.938,1.967,0.029,,5.937
000591,太阳能,3.264,-8.928,0.343,0.008,,4.82
600175,美都能源,2.151,-8.889,0.84,0.016,,4.6
600103,青山纸业,1.677,-8.885,0.46,0.005,,3.667
000969,安泰科技,10.406,-8.856,1.097,0.026,,8.456
601828,美凯龙,1.604,-8.841,4.4,0.01,,16.065
000672,上峰水泥,5.902,-8.838,4.877,0.024,,12.851
600333,长春燃气,2.943,-8.837,0.743,0.008,,5.683
601878,浙商证券,4.35,-8.818,4.147,0.014,,13.055
600996,贵广网络,3.744,-8.799,0.877,0.009,,9.295
300363,博腾股份,6.59,-8.796,1.067,0.006,,12.31
600193,创兴资源,1.159,-8.767,1.063,0.007,,4.531
002319,乐通股份,3.135,-8.761,0.643,0.005,,15.591
002441,众业达,6.041,-8.759,0.647,0.014,,9.134
300209,天泽信息,13.869,-8.738,1.977,0.036,,19.612
600776,东方通信,10.921,-8.732,0.87,0.025,,6.643
300205,天喻信息,39.248,-8.727,11.6,0.08,,12.473
600758,红阳能源,4.347,-8.718,0.88,0.013,,6.375
002757,南兴装备,10.633,-8.711,1.683,0.029,,36.609
002362,汉王科技,13.328,-8.704,3.987,0.029,,24.848
300415,伊之密,4.355,-8.688,0.707,0.016,,15.928
600433,冠豪高新,4.946,-8.674,0.56,0.012,,4.565
