,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE,COL_ACCUMULATE
84,300136.SZ,信维通信,通信设备,42.2,3.25,570.38
85,300417.SZ,南华仪器,电器仪表,49.22,3.74,572.19
86,300502.SZ,新易盛,通信设备,39.14,2.56,572.64
87,603595.SH,东尼电子,元器件,30.83,2.13,584.8
88,603429.SH,集友股份,广告包装,36.75,2.42,593.04
89,300552.SZ,万集科技,软件服务,73.0,6.42,608.07
90,002938.SZ,鹏鼎控股,元器件,48.92,3.41,621.1
91,300436.SZ,广生堂,化学制药,38.25,2.11,622.84
92,002777.SZ,久远银海,软件服务,35.53,2.2,632.16
93,000049.SZ,德赛电池,电气设备,40.91,2.6,641.53
94,603186.SH,华正新材,元器件,46.66,2.85,646.0
95,002234.SZ,民和股份,农业综合,39.5,2.11,657.68
96,300223.SZ,北京君正,半导体,50.05,2.9,670.17
97,300602.SZ,飞荣达,元器件,46.68,3.27,672.0
98,300579.SZ,数字认证,软件服务,36.08,2.16,680.69
99,300598.SZ,诚迈科技,软件服务,81.98,7.13,687.48
100,603068.SH,博通集成,半导体,116.7,4.08,692.63
101,300759.SZ,康龙化成,化学制药,50.46,2.24,709.34
102,002901.SZ,大博医疗,医疗保健,48.53,2.39,743.32
103,300357.SZ,我武生物,生物制药,43.85,2.16,758.5
104,603882.SH,金域医学,医疗保健,52.7,2.55,760.16
105,300548.SZ,博创科技,元器件,50.5,2.25,779.98
106,300659.SZ,中孚信息,软件服务,57.84,2.6,780.1
107,002869.SZ,金溢科技,通信设备,71.83,4.22,785.52
108,600745.SH,闻泰科技,通信设备,71.01,3.86,790.64
109,002913.SZ,奥士康,元器件,63.17,2.11,1005.18
110,300685.SZ,艾德生物,生物制药,71.66,2.32,1077.75
111,300624.SZ,万兴科技,软件服务,73.0,2.07,1123.58
112,603737.SH,三棵树,染料涂料,74.93,2.04,1151.86
113,300601.SZ,康泰生物,生物制药,81.44,2.77,1162.32
114,300573.SZ,兴齐眼药,化学制药,88.27,2.68,1164.04
115,603501.SH,韦尔股份,半导体,104.75,4.34,1219.54
116,600809.SH,山西汾酒,白酒,83.85,2.11,1314.61
117,002714.SZ,牧原股份,农业综合,99.73,2.94,1344.3
118,603939.SH,益丰药房,医药商业,87.01,2.06,1352.45
119,600276.SH,恒瑞医药,化学制药,87.54,2.03,1404.48
120,603658.SH,安图生物,医疗保健,97.8,2.49,1437.82
121,603986.SH,兆易创新,半导体,142.2,3.01,2018.77
122,300613.SZ,富瀚微,半导体,155.0,3.13,2091.78
123,300661.SZ,圣邦股份,元器件,182.99,3.49,2195.11
124,002916.SZ,深南电路,元器件,152.88,2.95,2294.66
125,603160.SH,汇顶科技,元器件,198.25,2.53,2842.15
