code,name,p_change_range0,p_change_range1,normalizing_std,mark,stop_mark
600297,广汇汽车,-2.638,0.893,0.016,-2.355734,
000599,青岛双星,-1.168,0.831,0.01,-0.9706079999999999,
300470,日机密封,-0.365,0.809,0.02,-0.295285,
600770,综艺股份,-3.017,0.807,0.029,-2.434719,
300436,广生堂,-1.436,0.798,0.02,-1.145928,
000153,丰原药业,-1.793,0.785,0.017,-1.407505,
600348,阳泉煤业,-0.58,0.725,0.014,-0.4205,
000060,中金岭南,-2.01,0.65,0.013,-1.3065,
600249,两面针,-0.571,0.591,0.019,-0.33746099999999996,
002182,云海金属,-0.003,0.577,0.014,-0.001731,
300623,捷捷微电,-1.098,0.568,0.023,-0.623664,
300109,新开源,-2.944,0.52,0.024,-1.53088,
300026,红日药业,-0.988,0.495,0.011,-0.48906,
600985,雷鸣科化,-6.179,0.462,0.025,-2.8546980000000004,
300342,天银机电,-0.732,0.438,0.013,-0.320616,
300725,药石科技,-4.094,0.42,0.026,-1.7194800000000001,
002166,莱茵生物,-2.629,0.417,0.014,-1.096293,
601200,上海环境,-1.549,0.398,0.012,-0.616502,
600851,海欣股份,-0.885,0.395,0.024,-0.349575,
300247,乐金健康,-1.695,0.383,0.014,-0.649185,
002818,富森美,-0.181,0.363,0.019,-0.065703,
600725,ST云维,-1.808,0.359,0.016,-0.649072,
600277,亿利洁能,-1.478,0.357,0.012,-0.527646,
000786,北新建材,-0.09,0.341,0.014,-0.030690000000000002,
002213,特 尔 佳,-3.13,0.328,0.01,-1.02664,
300461,田中精机,-3.096,0.306,0.013,-0.947376,
000753,漳州发展,-0.894,0.3,0.007,-0.2682,
300414,中光防雷,-3.303,0.28,0.029,-0.9248400000000001,
600834,申通地铁,-3.23,0.276,0.019,-0.89148,
000983,西山煤电,-1.047,0.273,0.013,-0.285831,
300510,金冠电气,-1.229,0.263,0.009,-0.32322700000000004,
002602,世纪华通,-0.116,0.261,0.009,-0.030276000000000004,
600875,东方电气,-0.11,0.241,0.01,-0.02651,
601611,中国核建,-0.544,0.232,0.009,-0.12620800000000001,
002324,普利特,-4.98,0.216,0.021,-1.07568,
600497,驰宏锌锗,-1.152,0.208,0.018,-0.23961599999999997,
600199,金种子酒,-0.473,0.154,0.012,-0.07284199999999999,
601628,中国人寿,-0.088,0.153,0.008,-0.013463999999999999,
600066,宇通客车,-1.982,0.14,0.02,-0.27748,
300219,鸿利智汇,-0.328,0.099,0.018,-0.032472,
000007,全新好,-0.8,0.086,0.005,-0.0688,
600977,中国电影,-0.514,0.065,0.012,-0.03341,
600008,首创股份,-0.62,0.013,0.009,-0.00806,
000876,新 希 望,-0.001,0.004,0.006,-4e-06,
