,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
3078,601869.SH,长飞光纤,通信设备,3.0,3.705,11.351,0.325,3.3300000000000054,312256.9012
1482,300098.SZ,高新兴,通信设备,2.0,5.488,11.261,-1.653,0.40000000000000036,836700.6071
1246,002792.SZ,通宇通讯,通信设备,3.0,3.608,11.107,0.417,3.8000000000000007,227063.6077
2102,300731.SZ,科创新源,橡胶,6.0,1.748,10.839,-4.178,1.509999999999998,159750.224
1377,002935.SZ,天奥电子,元器件,3.0,3.576,10.797,-0.17,3.8100000000000023,121241.82
1953,300576.SZ,容大感光,染料涂料,3.0,3.418,10.599,-0.23,1.0600000000000005,57476.0088
1775,300394.SZ,天孚通信,通信设备,2.0,5.14,10.529,0.043,0.860000000000003,417463.8797
1747,300365.SZ,恒华科技,软件服务,5.0,2.025,10.494,-6.953,0.28999999999999915,439555.3546
1970,300593.SZ,新雷能,电气设备,3.0,3.418,10.492,-0.91,1.2700000000000014,112743.8791
2099,300727.SZ,润禾材料,化工原料,6.0,1.684,10.446,2.495,1.9200000000000017,69333.9075
1890,300509.SZ,新美星,专用机械,2.0,5.086,10.378,0.566,0.6900000000000013,68558.84
1141,002680.SZ,*ST长生,生物制药,2.0,5.054,10.364,10.185,0.44999999999999973,159020.5438
1787,300406.SZ,九强生物,生物制药,4.0,2.449,10.042,-10.076,0.0600000000000005,343215.3879
1845,300464.SZ,星徽精密,机械基件,2.0,4.832,9.894,-1.94,0.5300000000000002,76462.3661
400,000922.SZ,佳电股份,电气设备,2.0,4.809,9.786,-2.388,0.33000000000000007,348447.4958
1832,300451.SZ,创业软件,软件服务,3.0,3.126,9.579,-2.531,1.1999999999999993,653225.3046
96,000429.SZ,粤高速A,路桥,7.0,1.318,9.511,-1.56,0.4499999999999993,388680.8141
1702,300319.SZ,麦捷科技,元器件,5.0,1.885,9.466,-10.89,0.3700000000000001,406007.1424
1028,002567.SZ,唐人神,饲料,4.0,2.279,9.263,-5.367,0.27000000000000046,437663.9935
1995,300620.SZ,光库科技,元器件,4.0,2.197,9.046,-5.17,1.6499999999999986,98120.0
3351,603559.SH,中通国脉,通信设备,3.0,2.988,9.045,-0.092,1.5899999999999999,188808.9375
797,002335.SZ,科华恒盛,电气设备,4.0,2.192,9.008,-5.769,0.6600000000000001,348927.661
775,002313.SZ,日海智能,通信设备,3.0,2.948,9.004,-1.455,1.9199999999999982,713856.0
1343,002897.SZ,意华股份,元器件,4.0,2.2,8.944,-7.523,1.75,145222.3647
898,002436.SZ,兴森科技,元器件,2.0,4.38,8.941,-0.468,0.3700000000000001,555039.4769
1328,002881.SZ,美格智能,通信设备,3.0,2.919,8.937,1.122,1.25,84557.235
1635,300252.SZ,金信诺,电气设备,3.0,2.908,8.885,0.475,1.4399999999999995,450570.0142
578,002115.SZ,三维通信,通信设备,3.0,2.866,8.728,0.529,0.9599999999999991,358866.7093
2259,600165.SH,新日恒力,钢加工,2.0,4.275,8.72,-5.439,0.4900000000000002,401341.8922
1927,300548.SZ,博创科技,元器件,5.0,1.687,8.689,-1.719,2.4299999999999997,129276.9
2096,300724.SZ,捷佳伟创,专用机械,4.0,2.101,8.577,-6.839,0.7299999999999969,231920.0
3415,603680.SH,今创集团,运输设备,2.0,4.198,8.564,-2.696,1.8999999999999986,101371.2
3393,603637.SH,镇海股份,建筑施工,4.0,2.044,8.394,-4.729,0.41999999999999993,64187.5613
1949,300571.SZ,平治信息,互联网,4.0,2.025,8.312,-6.618,1.6600000000000037,286596.051
692,002229.SZ,鸿博股份,广告包装,3.0,2.678,8.225,0.581,0.5899999999999999,308776.4423
2013,300638.SZ,广和通,通信设备,3.0,2.686,8.209,1.056,1.7300000000000004,115710.0
1952,300575.SZ,中旗股份,农药化肥,5.0,1.592,8.191,-5.411,1.5700000000000003,147640.6703
3505,603881.SH,数据港,电信运营,4.0,1.998,8.191,-8.497,0.28999999999999915,341089.2807
697,002234.SZ,民和股份,农业综合,4.0,2.0,8.161,-6.928,0.14000000000000057,230532.0364
1518,300134.SZ,大富科技,通信设备,2.0,3.987,8.114,-0.654,0.379999999999999,702442.6749
1297,002848.SZ,高斯贝尔,通信设备,3.0,2.65,8.044,-2.878,0.9599999999999991,111838.0186
1948,300570.SZ,太辰光,元器件,3.0,2.644,7.971,2.491,1.370000000000001,182092.5355
768,002306.SZ,*ST云网,酒店餐饮,4.0,1.964,7.962,-3.681,0.07000000000000028,269185.8339
1371,002928.SZ,华夏航空,空运,3.0,2.585,7.952,0.743,0.5300000000000011,83025.0
967,002505.SZ,大康农业,农业综合,6.0,1.291,7.947,-1.307,0.08999999999999986,894115.6686
1235,002780.SZ,三夫户外,其他商业,2.0,3.854,7.839,3.525,0.6399999999999988,100058.2036
82,000411.SZ,英特集团,医药商业,2.0,3.812,7.769,-2.024,0.3699999999999992,270320.9226
2414,600345.SH,长江通信,通信设备,2.0,3.809,7.764,-1.349,1.0,436986.0
556,002093.SZ,国脉科技,电信运营,6.0,1.266,7.692,0.286,0.5299999999999994,736223.0249
1379,002937.SZ,兴瑞科技,元器件,3.0,2.468,7.574,-5.06,0.9300000000000033,105846.0
1480,300096.SZ,易联众,软件服务,3.0,2.471,7.57,0.738,0.6799999999999997,331715.9516
1044,002583.SZ,海能达,通信设备,4.0,1.83,7.487,-5.854,0.1800000000000015,889042.0977
2866,600877.SH,ST嘉陵,摩托车,3.0,2.446,7.416,-4.506,0.23000000000000043,328520.8151
1883,300502.SZ,新易盛,通信设备,3.0,2.414,7.386,-1.84,0.9499999999999993,243577.3127
1512,300128.SZ,锦富技术,元器件,5.0,1.471,7.357,6.997,0.33999999999999986,419892.3727
3407,603666.SH,亿嘉和,专用机械,2.0,3.531,7.149,0.57,1.6399999999999935,120744.1374
1974,300598.SZ,诚迈科技,软件服务,3.0,2.354,7.089,1.39,0.9200000000000017,109598.353
1005,002544.SZ,杰赛科技,软件服务,3.0,2.304,7.046,-1.333,0.25,567624.0635
1772,300391.SZ,康跃科技,机械基件,4.0,1.696,6.937,-7.044,0.33999999999999986,78516.5006
1294,002845.SZ,同兴达,元器件,2.0,3.405,6.926,-2.029,1.7300000000000004,106945.0152
3484,603829.SH,洛凯股份,电气设备,3.0,2.276,6.904,-1.204,0.5099999999999998,76237.2
1464,300080.SZ,易成新能,半导体,3.0,2.252,6.88,-3.554,0.1299999999999999,218364.1797
1835,300454.SZ,深信服,软件服务,3.0,2.253,6.873,-1.669,3.200000000000003,352768.17
3405,603663.SH,三祥新材,矿物制品,3.0,2.204,6.749,-1.847,0.6899999999999995,80715.0505
1874,300493.SZ,润欣科技,通信设备,3.0,2.202,6.742,-0.559,0.33999999999999986,285000.0
1234,002779.SZ,中坚科技,农用机械,3.0,2.211,6.736,-0.391,0.46000000000000085,215424.0
1287,002837.SZ,英维克,专用机械,3.0,2.232,6.726,0.767,0.7899999999999991,115009.6279
1360,002916.SZ,深南电路,元器件,6.0,1.101,6.697,1.832,3.230000000000004,688358.3688
53,000070.SZ,特发信息,通信设备,3.0,2.181,6.667,-1.429,0.1800000000000006,441825.6789
39,000049.SZ,德赛电池,电气设备,2.0,3.274,6.595,0.43,0.8299999999999983,613678.7766
2058,300684.SZ,中石科技,化工原料,4.0,1.671,6.576,-5.236,0.7699999999999996,122917.824
1735,300352.SZ,北信源,软件服务,6.0,1.079,6.562,-3.323,0.14000000000000012,372905.7673
3221,603186.SH,华正新材,元器件,3.0,2.119,6.428,-1.049,0.5799999999999983,118389.1214
2080,300707.SZ,威唐工业,专用机械,4.0,1.573,6.399,-6.014,0.240000000000002,134781.0418
1503,300119.SZ,瑞普生物,生物制药,2.0,3.179,6.383,-0.142,0.16999999999999993,153557.6828
2075,300701.SZ,森霸传感,元器件,3.0,2.083,6.363,-1.894,1.009999999999998,76209.504
1967,300590.SZ,移为通信,通信设备,3.0,2.083,6.298,2.371,1.3999999999999986,253752.0
1675,300292.SZ,吴通控股,软件服务,3.0,2.102,6.281,2.314,0.35000000000000053,435527.9339
792,002330.SZ,得利斯,食品,3.0,2.093,6.28,-2.817,0.040000000000000036,220855.316
1751,300369.SZ,绿盟科技,软件服务,4.0,1.506,6.13,-8.269,0.019999999999999574,529232.2239
3376,603606.SH,东方电缆,电气设备,4.0,1.559,6.093,-6.585,0.120000000000001,436379.3563
830,002368.SZ,太极股份,软件服务,3.0,1.989,6.083,-0.262,0.5299999999999976,970718.6566
1166,002706.SZ,良信电器,电气设备,2.0,2.963,6.014,-1.188,0.17999999999999972,335350.1223
992,002531.SZ,天顺风能,电气设备,2.0,2.998,6.01,-2.576,0.04999999999999982,780121.7513
3318,603421.SH,鼎信通讯,通信设备,2.0,2.951,5.989,0.346,3.4700000000000024,112166.652
611,002148.SZ,北纬科技,互联网,3.0,1.956,5.96,4.138,0.4800000000000004,283475.1334
3181,603099.SH,长白山,旅游景点,3.0,1.924,5.882,-1.365,0.2400000000000002,244803.06
554,002091.SZ,江苏国泰,商贸代理,5.0,1.145,5.805,-1.294,0.16000000000000014,549310.3376
1380,002938.SZ,鹏鼎控股,元器件,3.0,1.901,5.795,-0.172,0.6300000000000026,426227.8432
2581,600563.SH,法拉电子,元器件,6.0,0.953,5.769,-4.207,0.8200000000000003,915750.0
2178,600073.SH,上海梅林,食品,2.0,2.814,5.702,-0.146,0.47000000000000064,677978.4083
2063,300689.SZ,澄天伟业,元器件,3.0,1.863,5.659,-0.409,1.2000000000000028,63631.68
1309,002861.SZ,瀛通通讯,通信设备,3.0,1.815,5.49,1.143,0.7100000000000009,104104.469
917,002455.SZ,百川股份,化工原料,2.0,2.706,5.479,0.393,0.13999999999999968,187977.3997
3193,603118.SH,共进股份,通信设备,3.0,1.781,5.419,0.661,0.21999999999999975,498020.7991
3209,603161.SH,科华控股,汽车配件,3.0,1.753,5.331,-3.591,0.2099999999999973,54776.0
247,000697.SZ,炼石航空,航空,2.0,2.622,5.302,-3.312,0.2599999999999998,722546.9433
1615,300232.SZ,洲明科技,半导体,3.0,1.742,5.275,-0.229,0.10999999999999943,415542.2252
1654,300271.SZ,华宇软件,软件服务,5.0,1.007,5.128,-5.725,0.2900000000000009,870984.0925
1367,002923.SZ,润都股份,化学制药,3.0,1.716,5.097,1.28,0.370000000000001,74850.0
3335,603515.SH,欧普照明,电气设备,2.0,2.477,5.009,-1.666,0.22000000000000242,363076.8428
