,ts_code,name,industry,COL_EIGEN_SLOPE_0,COL_EIGEN_SLOPE_1,COL_EIGEN_SLOPE_DIFF,COL_DAILY_LIMIT_COUNT,circ_mv
959,002498.SZ,汉缆股份,电气设备,10.07,3.63,6.44,2.0,1070935.2154
575,002113.SZ,天润数娱,互联网,9.98,3.82,6.16,1.0,363744.3376
1922,300536.SZ,农尚环境,建筑施工,9.93,2.82,7.11,2.0,74083.7554
730,002269.SZ,美邦服饰,服饰,9.93,3.45,6.48,1.0,836662.5
1777,300390.SZ,天华超净,元器件,9.85,3.72,6.13,2.0,193822.838
2047,300667.SZ,必创科技,电器仪表,9.77,3.03,6.74,3.0,215923.0194
640,002178.SZ,延华智能,建筑施工,9.7,3.85,5.85,1.0,341504.0529
2545,600505.SH,西昌电力,水力发电,9.68,-1.79,11.47,1.0,264676.005
758,002297.SZ,博云新材,矿物制品,9.68,1.65,8.03,1.0,325232.3108
2503,600448.SH,华纺股份,纺织,9.64,1.63,8.01,1.0,356685.3218
1052,002592.SZ,八菱科技,汽车配件,9.59,-2.2,11.79,2.0,516765.9945
913,002452.SZ,长高集团,电气设备,9.51,1.39,8.12,2.0,193204.5279
3151,603016.SH,新宏泰,电气设备,9.49,1.41,8.08,1.0,149868.42
3012,601222.SH,林洋能源,电器仪表,9.46,1.83,7.63,1.0,1072057.6331
1825,300438.SZ,鹏辉能源,电气设备,9.42,2.56,6.86,0.0,551776.7752
229,000673.SZ,当代东方,影视音像,9.39,3.28,6.11,1.0,481053.2868
451,000990.SZ,诚志股份,化工原料,9.33,-2.29,11.62,4.0,737372.5791
2363,600268.SH,国电南自,电气设备,9.28,1.22,8.06,6.0,551393.9047
1436,300045.SZ,华力创通,电脑设备,9.27,1.79,7.48,1.0,432499.3641
993,002533.SZ,金杯电工,电气设备,9.26,3.45,5.81,3.0,316926.1553
1998,300617.SZ,安靠智电,电气设备,9.25,1.97,7.28,2.0,101562.735
416,000948.SZ,南天信息,软件服务,9.21,2.85,6.36,2.0,418068.1518
183,000607.SZ,华媒控股,广告包装,9.2,2.76,6.44,2.0,484903.263
574,002112.SZ,三变科技,电气设备,9.2,7.16,2.04,2.0,158437.8076
1002,002542.SZ,中化岩土,建筑施工,9.18,1.16,8.02,1.0,550166.6778
348,000839.SZ,中信国安,综合类,9.12,6.67,2.45,2.0,2363161.3428
817,002356.SZ,赫美集团,其他商业,9.11,12.27,-3.16,9.0,823610.5744
1660,300271.SZ,华宇软件,软件服务,9.09,1.98,7.11,0.0,1173983.6934
3568,603956.SH,威派格,专用机械,8.99,12.21,-3.22,7.0,122250.807
1267,002817.SZ,黄山胶囊,化学制药,8.93,1.52,7.41,0.0,83661.56
531,002069.SZ,獐子岛,渔业,8.93,2.91,6.02,2.0,347102.6298
391,000911.SZ,南宁糖业,食品,8.91,10.86,-1.95,2.0,298802.6239
2250,600136.SH,当代明诚,影视音像,8.91,6.01,2.9,2.0,593915.2516
1508,300118.SZ,东方日升,半导体,8.88,-5.01,13.89,1.0,720080.3277
444,000981.SZ,银亿股份,汽车配件,8.88,3.75,5.13,3.0,1158442.02
552,002090.SZ,金智科技,软件服务,8.88,3.86,5.02,2.0,516634.4511
3577,603976.SH,正川股份,医疗保健,8.87,-5.07,13.94,2.0,82612.9663
2826,600818.SH,中路股份,文教休闲,8.82,3.29,5.53,4.0,414522.6792
2207,600089.SH,特变电工,电气设备,8.8,3.54,5.26,1.0,3138594.3067
1031,002571.SZ,德力股份,玻璃,8.74,2.01,6.73,1.0,154703.7336
2310,600207.SH,安彩高科,元器件,8.69,-3.28,11.97,1.0,378810.0
525,002063.SZ,远光软件,软件服务,8.66,4.69,3.97,2.0,799513.196
2839,600831.SH,广电网络,影视音像,8.46,-0.98,9.44,1.0,576580.6504
1033,002573.SZ,清新环境,环境保护,8.45,-2.65,11.1,1.0,1031179.2903
2963,601018.SH,宁波港,港口,8.42,2.55,5.87,1.0,5388800.0
2234,600118.SH,中国卫星,航空,8.41,0.75,7.66,1.0,3003522.4029
3288,603305.SH,旭升股份,汽车配件,8.39,-2.18,10.57,1.0,238819.6974
3352,603496.SH,恒为科技,电脑设备,8.38,2.67,5.71,1.0,258474.385
942,002481.SZ,双塔食品,食品,8.33,4.43,3.9,1.0,440636.8047
2522,600478.SH,科力远,元器件,8.28,2.63,5.65,2.0,892099.8148
2643,600615.SH,丰华股份,小金属,8.28,2.23,6.05,1.0,274119.4062
408,000931.SZ,中关村,生物制药,8.21,-1.17,9.38,1.0,645923.3051
2556,600517.SH,置信电气,电气设备,8.19,2.71,5.48,2.0,598615.2215
2995,601162.SH,天风证券,证券,8.18,5.81,2.37,2.0,582232.0
1018,002558.SZ,巨人网络,互联网,7.96,-1.59,9.55,1.0,1064356.5251
2923,600969.SH,郴电国际,水力发电,7.94,-3.19,11.13,1.0,283828.7212
2458,600380.SH,健康元,化学制药,7.94,1.17,6.77,1.0,1781052.6376
2313,600210.SH,紫江企业,广告包装,7.94,3.67,4.27,1.0,721966.4112
1068,002608.SZ,江苏国信,火力发电,7.88,-4.01,11.89,0.0,523861.4383
999,002539.SZ,云图控股,农药化肥,7.87,-4.85,12.72,1.0,350613.2549
861,002400.SZ,省广集团,广告包装,7.85,3.17,4.68,0.0,671126.1755
2111,300735.SZ,光弘科技,通信设备,7.84,2.63,5.21,0.0,280533.49
1027,002567.SZ,唐人神,饲料,7.84,8.14,-0.3,4.0,1072201.0637
2927,600975.SH,新五丰,农业综合,7.83,5.73,2.1,2.0,645496.1526
2525,600481.SH,双良节能,环境保护,7.8,0.86,6.94,2.0,755151.0465
539,002077.SZ,大港股份,区域地产,7.75,6.74,1.01,4.0,345615.3526
2183,600063.SH,皖维高新,化纤,7.69,3.14,4.55,1.0,660581.8794
296,000767.SZ,漳泽电力,火力发电,7.69,3.41,4.28,0.0,867863.9306
236,000682.SZ,东方电子,电气设备,7.68,3.33,4.35,3.0,580942.1693
2265,600156.SH,华升股份,纺织,7.64,-2.8,10.44,3.0,297964.0302
1942,300557.SZ,理工光科,电器仪表,7.6,1.81,5.79,1.0,101276.2894
2659,600635.SH,大众公用,供气供热,7.59,7.79,-0.2,2.0,1758461.5477
1274,002824.SZ,和胜股份,铝,7.58,3.54,4.04,1.0,88448.4518
2967,601028.SH,玉龙股份,钢加工,7.58,2.8,4.78,0.0,465900.3272
1136,002676.SZ,顺威股份,塑料,7.57,3.16,4.41,0.0,288705.8984
1767,300380.SZ,安硕信息,软件服务,7.55,4.25,3.3,0.0,288697.3264
3237,603177.SH,德创环保,环境保护,7.54,-4.28,11.82,2.0,73482.5
1172,002714.SZ,牧原股份,农业综合,7.53,2.59,4.94,1.0,6944328.7009
1687,300298.SZ,三诺生物,医疗保健,7.49,-3.06,10.55,0.0,590417.0666
2418,600331.SH,宏达股份,铅锌,7.49,8.09,-0.6,2.0,833120.0
3418,603637.SH,镇海股份,建筑施工,7.48,-2.91,10.39,1.0,76506.3862
2117,300741.SZ,华宝股份,食品,7.43,1.29,6.14,1.0,264221.1
2480,600406.SH,国电南瑞,软件服务,7.42,5.31,2.11,2.0,5555774.8068
995,002535.SZ,林州重机,工程机械,7.42,2.09,5.33,2.0,287561.7273
1637,300248.SZ,新开普,软件服务,7.39,4.45,2.94,0.0,287504.856
1837,300450.SZ,先导智能,专用机械,7.39,5.38,2.01,0.0,1854911.8436
2746,600730.SH,中国高科,综合类,7.35,2.17,5.18,2.0,410659.2014
1168,002709.SZ,天赐材料,化工原料,7.32,-1.84,9.16,0.0,1138788.8979
2796,600783.SH,鲁信创投,矿物制品,7.28,-5.17,12.45,0.0,1714259.4541
538,002076.SZ,雪莱特,家用电器,7.27,7.04,0.23,3.0,207543.9406
362,000875.SZ,吉电股份,火力发电,7.26,3.79,3.47,0.0,615607.4156
2919,600963.SH,岳阳林纸,造纸,7.25,-1.65,8.9,0.0,504889.0276
2649,600621.SH,华鑫股份,证券,7.25,-6.68,13.93,0.0,709741.5345
2590,600558.SH,大西洋,钢加工,7.23,-2.37,9.6,0.0,382379.658
1298,002850.SZ,科达利,机械基件,7.21,-1.8,9.01,0.0,242185.4327
3508,603825.SH,华扬联众,互联网,7.21,3.51,3.7,1.0,157794.2307
1011,002551.SZ,尚荣医疗,医疗保健,7.19,2.26,4.93,0.0,281318.6227
3541,603895.SH,天永智能,专用机械,7.18,3.48,3.7,1.0,89192.1551
147,000558.SZ,莱茵体育,文教休闲,7.18,2.54,4.64,2.0,533361.5733
3094,601858.SH,中国科传,出版业,7.17,2.1,5.07,0.0,215074.5
2848,600843.SH,上工申贝,纺织机械,7.17,2.07,5.1,1.0,278446.3069
2468,600391.SH,航发科技,航空,7.12,1.88,5.24,1.0,572114.193
956,002495.SZ,佳隆股份,食品,7.1,-2.73,9.83,2.0,290554.345
990,002530.SZ,金财互联,专用机械,7.07,3.59,3.48,2.0,402470.9216
864,002403.SZ,爱仕达,家用电器,7.07,-1.82,8.89,0.0,287169.7675
1529,300139.SZ,晓程科技,元器件,7.06,8.31,-1.25,5.0,269973.8739
3320,603358.SH,华达科技,汽车配件,7.05,-3.02,10.07,0.0,192506.7865
1530,300140.SZ,中环装备,电气设备,7.04,-3.8,10.84,1.0,262931.3844
1864,300477.SZ,合纵科技,电气设备,7.01,1.9,5.11,1.0,330004.743
1833,300446.SZ,乐凯新材,化工原料,7.01,6.47,0.54,3.0,312553.3145
2293,600187.SH,国中水务,水务,6.99,2.84,4.15,1.0,542947.837
2170,600050.SH,中国联通,电信运营,6.97,-2.95,9.92,0.0,14985993.6513
393,000913.SZ,钱江摩托,摩托车,6.96,-2.91,9.87,1.0,496616.9925
481,002019.SZ,亿帆医药,化学制药,6.93,3.26,3.67,0.0,1141794.5016
1547,300157.SZ,恒泰艾普,石油开采,6.9,4.08,2.82,0.0,347251.6753
664,002202.SZ,金风科技,电气设备,6.89,2.83,4.06,0.0,4279355.7275
1216,002761.SZ,多喜爱,纺织,6.88,-7.69,14.57,0.0,362674.1804
1867,300480.SZ,光力科技,电器仪表,6.85,2.49,4.36,0.0,148298.5256
2452,600373.SH,中文传媒,出版业,6.84,1.39,5.45,1.0,2156476.1391
1365,002922.SZ,伊戈尔,电气设备,6.82,1.74,5.08,1.0,132445.5563
3339,603396.SH,金辰股份,专用机械,6.8,-1.91,8.71,2.0,140609.0965
1707,300318.SZ,博晖创新,医疗保健,6.8,2.31,4.49,0.0,374613.5498
2610,600580.SH,卧龙电驱,电气设备,6.78,2.28,4.5,1.0,1134231.6357
452,000993.SZ,闽东电力,水力发电,6.71,-5.44,12.15,2.0,292059.0
2631,600602.SH,云赛智联,软件服务,6.71,3.49,3.22,1.0,843307.1715
405,000928.SZ,中钢国际,建筑施工,6.69,1.52,5.17,1.0,448124.4332
430,000965.SZ,天保基建,区域地产,6.67,-4.03,10.7,1.0,514961.5353
3115,601928.SH,凤凰传媒,出版业,6.67,-1.89,8.56,0.0,2275140.6
783,002322.SZ,理工环科,软件服务,6.66,1.94,4.72,1.0,464752.3785
1424,300033.SZ,同花顺,软件服务,6.66,-4.38,11.04,1.0,2347004.9035
2287,600180.SH,瑞茂通,仓储物流,6.65,1.53,5.12,1.0,1050021.2203
376,000892.SZ,欢瑞世纪,影视音像,6.65,3.72,2.93,1.0,314833.0864
1576,300187.SZ,永清环保,环境保护,6.65,-5.62,12.27,1.0,406589.3645
1176,002718.SZ,友邦吊顶,家居用品,6.59,1.46,5.13,1.0,156700.2337
3353,603499.SH,翔港科技,广告包装,6.58,4.3,2.28,2.0,74000.0
2490,600422.SH,昆药集团,中成药,6.54,9.29,-2.75,3.0,722275.7284
989,002529.SZ,海源复材,专用机械,6.53,-4.45,10.98,0.0,174400.0
3177,603045.SH,福达合金,电气设备,6.46,3.37,3.09,1.0,81114.0
1005,002545.SZ,东方铁塔,钢加工,6.46,-2.88,9.34,1.0,596874.3779
1854,300467.SZ,迅游科技,互联网,6.45,2.76,3.69,1.0,388934.1644
1739,300350.SZ,华鹏飞,仓储物流,6.42,0.87,5.55,1.0,228966.4722
1689,300300.SZ,汉鼎宇佑,软件服务,6.4,1.69,4.71,0.0,773814.5497
1454,300064.SZ,豫金刚石,矿物制品,6.39,2.39,4.0,0.0,337955.5263
2695,600677.SH,航天通信,通信设备,6.39,-2.76,9.15,2.0,687939.1981
674,002212.SZ,南洋股份,电气设备,6.39,3.36,3.03,1.0,1359599.8119
97,000430.SZ,张家界,旅游景点,6.39,1.08,5.31,0.0,208663.7052
2674,600651.SH,飞乐音响,电器仪表,6.38,7.79,-1.41,5.0,633496.4613
3096,601865.SH,福莱特,玻璃,6.38,12.17,-5.79,7.0,251250.0
1281,002831.SZ,裕同科技,广告包装,6.37,-0.97,7.34,1.0,689946.7517
2184,600064.SH,南京高科,园区开发,6.35,2.22,4.13,1.0,1526406.7567
1422,300031.SZ,宝通科技,互联网,6.34,1.7,4.64,1.0,417913.5845
755,002294.SZ,信立泰,化学制药,6.33,2.49,3.84,0.0,2732856.4809
1851,300464.SZ,星徽精密,机械基件,6.33,1.94,4.39,0.0,182342.3937
2983,601113.SH,华鼎股份,化纤,6.32,2.3,4.02,2.0,857208.45
2367,600273.SH,嘉化能源,化工原料,6.32,-0.64,6.96,1.0,1918435.1803
2960,601012.SH,隆基股份,半导体,6.32,-1.64,7.96,1.0,7791625.9429
68,000159.SZ,国际实业,石油贸易,6.31,3.92,2.39,3.0,349458.7169
154,000566.SZ,海南海药,化学制药,6.31,-2.88,9.19,1.0,950762.2042
2489,600421.SH,ST仰帆,机械基件,6.26,1.29,4.97,0.0,237849.6
1473,300083.SZ,劲胜智能,元器件,6.22,1.74,4.48,0.0,509514.6273
3264,603228.SH,景旺电子,元器件,6.2,-3.98,10.18,0.0,540289.3573
2248,600133.SH,东湖高新,园区开发,6.16,1.75,4.41,0.0,448840.1909
3309,603335.SH,迪生力,汽车配件,6.15,1.99,4.16,0.0,106224.118
3345,603444.SH,吉比特,互联网,6.14,1.2,4.94,2.0,797905.3742
1662,300273.SZ,和佳股份,医疗保健,6.12,2.53,3.59,1.0,360335.6719
3064,601619.SH,嘉泽新能,新型电力,6.11,3.25,2.86,0.0,302756.5675
1774,300387.SZ,富邦股份,化工原料,6.09,2.02,4.07,0.0,219827.5935
779,002318.SZ,久立特材,特种钢,6.06,-5.87,11.93,0.0,682061.5702
651,002189.SZ,利达光电,元器件,6.05,7.69,-1.64,1.0,432733.576
1800,300413.SZ,芒果超媒,影视音像,6.05,3.38,2.67,1.0,1000009.1976
1239,002786.SZ,银宝山新,专用机械,6.04,-2.57,8.61,0.0,389627.28
516,002054.SZ,德美化工,化工原料,6.03,-3.72,9.75,1.0,231335.3235
1733,300344.SZ,太空智造,其他建材,6.02,2.22,3.8,1.0,159452.1818
2897,600895.SH,张江高科,园区开发,6.01,4.79,1.22,4.0,3747828.711
2853,600848.SH,上海临港,园区开发,6.0,1.95,4.05,0.0,2328618.5587
2125,300750.SZ,宁德时代,电气设备,5.99,-1.52,7.51,0.0,1939552.0482
1858,300471.SZ,厚普股份,专用机械,5.98,3.86,2.12,3.0,281197.4025
1874,300487.SZ,蓝晓科技,化工原料,5.97,-1.45,7.42,0.0,374880.3702
2568,600530.SH,交大昂立,医疗保健,5.96,1.73,4.23,2.0,521820.0
235,000681.SZ,视觉中国,互联网,5.94,2.51,3.43,0.0,909344.8763
3573,603966.SH,法兰泰克,机械基件,5.94,-7.05,12.99,1.0,107774.3715
2300,600195.SH,中牧股份,饲料,5.93,1.27,4.66,0.0,790660.08
383,000901.SZ,航天科技,航空,5.89,1.86,4.03,1.0,824994.2247
2027,300647.SZ,超频三,元器件,5.89,-3.96,9.85,1.0,141623.352
1251,002799.SZ,环球印务,广告包装,5.88,-2.13,8.01,0.0,115158.75
3167,603033.SH,三维股份,橡胶,5.87,-1.08,6.95,1.0,134876.7
281,000738.SZ,航发控制,航空,5.8,0.99,4.81,0.0,1800937.2752
1672,300283.SZ,温州宏丰,电气设备,5.79,1.79,4.0,1.0,119893.4967
239,000686.SZ,东北证券,证券,5.78,4.53,1.25,0.0,2242153.8926
2445,600366.SH,宁波韵升,电器仪表,5.76,3.79,1.97,1.0,716118.334
2336,600235.SH,民丰特纸,造纸,5.76,-3.79,9.55,0.0,266636.7
965,002504.SZ,弘高创意,装修装饰,5.74,3.06,2.68,2.0,193594.3695
2661,600637.SH,东方明珠,影视音像,5.73,-2.21,7.94,1.0,4264710.751
729,002268.SZ,卫士通,软件服务,5.69,3.77,1.92,0.0,2547142.0259
93,000425.SZ,徐工机械,工程机械,5.67,-2.23,7.9,0.0,3203051.8348
807,002346.SZ,柘中股份,电气设备,5.67,1.88,3.79,1.0,602939.7656
1993,300611.SZ,美力科技,机械基件,5.67,2.43,3.24,0.0,75305.9376
2863,600860.SH,京城股份,专用机械,5.67,1.65,4.02,2.0,233772.0
214,000655.SZ,*ST金岭,普钢,5.65,3.27,2.38,0.0,306600.2185
2062,300682.SZ,朗新科技,软件服务,5.65,2.25,3.4,2.0,375390.0493
1962,300579.SZ,数字认证,软件服务,5.64,4.05,1.59,1.0,195513.5081
661,002199.SZ,东晶电子,元器件,5.64,2.41,3.23,0.0,316590.9376
312,000793.SZ,华闻传媒,出版业,5.62,4.71,0.91,0.0,853150.698
342,000831.SZ,五矿稀土,小金属,5.62,3.74,1.88,0.0,1373244.5734
2518,600470.SH,六国化工,农药化肥,5.62,2.45,3.17,1.0,237849.6
2513,600463.SH,空港股份,园区开发,5.6,-5.01,10.61,2.0,269700.0
2764,600748.SH,上实发展,全国地产,5.6,3.38,2.22,0.0,1743111.9329
2121,300746.SZ,汉嘉设计,建筑施工,5.6,-3.89,9.49,1.0,125819.2
1629,300240.SZ,飞力达,仓储物流,5.58,2.97,2.61,1.0,313200.205
2201,600082.SH,海泰发展,园区开发,5.58,2.24,3.34,1.0,354957.2331
1252,002800.SZ,天顺股份,仓储物流,5.52,3.17,2.35,0.0,74216.6262
2191,600072.SH,中船科技,船舶,5.51,2.62,2.89,2.0,711922.8425
3213,603117.SH,万林物流,仓储物流,5.5,1.97,3.53,0.0,281024.4178
914,002453.SZ,华软科技,化工原料,5.5,2.38,3.12,0.0,371107.5609
1322,002876.SZ,三利谱,元器件,5.5,-1.58,7.08,1.0,271807.9084
643,002181.SZ,粤传媒,出版业,5.5,5.69,-0.19,1.0,735112.3099
798,002337.SZ,赛象科技,化工机械,5.49,5.15,0.34,2.0,324351.3023
943,002482.SZ,广田集团,装修装饰,5.48,1.26,4.22,0.0,998630.1874
1040,002580.SZ,圣阳股份,电气设备,5.48,2.35,3.13,0.0,193005.1557
489,002027.SZ,分众传媒,影视音像,5.48,-1.31,6.79,0.0,10259838.3157
1493,300103.SZ,达刚路机,工程机械,5.47,-1.74,7.21,1.0,265652.5069
2865,600862.SH,中航高科,航空,5.47,-2.48,7.95,0.0,1195236.1338
3374,603557.SH,起步股份,服饰,5.47,1.46,4.01,0.0,235320.1424
2427,600343.SH,航天动力,航空,5.47,1.5,3.97,0.0,703303.3955
1120,002660.SZ,茂硕电源,电气设备,5.46,1.9,3.56,0.0,163746.6864
1984,300602.SZ,飞荣达,元器件,5.45,3.92,1.53,0.0,286750.0
2476,600400.SH,红豆股份,服饰,5.45,1.88,3.57,0.0,1090908.0737
1300,002852.SZ,道道全,食品,5.44,-2.13,7.57,1.0,199388.6156
3421,603648.SH,畅联股份,仓储物流,5.42,2.08,3.34,0.0,373173.7234
723,002262.SZ,恩华药业,化学制药,5.41,1.59,3.82,0.0,1190983.7843
1025,002565.SZ,顺灏股份,造纸,5.39,10.31,-4.92,3.0,790301.8553
187,000611.SZ,天首发展,纺织,5.38,-3.44,8.82,0.0,153287.004
472,002010.SZ,传化智联,仓储物流,5.37,-3.68,9.05,0.0,2708436.7388
1131,002671.SZ,龙泉股份,其他建材,5.37,2.43,2.94,0.0,170564.0626
3404,603609.SH,禾丰牧业,饲料,5.37,-2.13,7.5,1.0,945878.8217
26,000032.SZ,深桑达A,元器件,5.35,1.92,3.43,0.0,412928.7946
1296,002848.SZ,高斯贝尔,通信设备,5.33,8.32,-2.99,1.0,151454.6208
2717,600699.SH,均胜电子,汽车配件,5.33,-1.55,6.88,0.0,2628581.241
1543,300153.SZ,科泰电源,电气设备,5.32,-5.2,10.52,0.0,282843.6866
2133,300759.SZ,康龙化成,化学制药,5.31,-4.29,9.6,1.0,280896.4
2537,600496.SH,精工钢构,钢加工,5.28,2.35,2.93,0.0,510530.4776
1609,300220.SZ,金运激光,元器件,5.27,2.2,3.07,0.0,190001.6667
3428,603660.SH,苏州科达,通信设备,5.26,1.76,3.5,0.0,637281.166
2376,600283.SH,钱江水利,水务,5.21,1.3,3.91,0.0,477603.2606
1865,300478.SZ,杭州高新,橡胶,5.19,-1.18,6.37,0.0,218257.579
412,000936.SZ,华西股份,化纤,5.19,3.44,1.75,2.0,887145.3883
3458,603711.SH,香飘飘,软饮料,5.18,-1.62,6.8,0.0,122874.255
2859,600856.SH,中天能源,供气供热,5.18,3.74,1.44,2.0,654246.5418
1451,300061.SZ,康旗股份,医疗保健,5.18,2.41,2.77,0.0,248153.9619
655,002193.SZ,如意集团,纺织,5.18,-2.29,7.47,0.0,242167.2664
30,000037.SZ,深南电A,火力发电,5.16,8.13,-2.97,0.0,354483.1366
2478,600403.SH,大有能源,煤炭开采,5.15,-2.69,7.84,0.0,1085428.8305
809,002348.SZ,高乐股份,文教休闲,5.13,-4.49,9.62,0.0,306153.2979
1981,300599.SZ,雄塑科技,塑料,5.12,-2.74,7.86,0.0,111718.431
1918,300532.SZ,今天国际,软件服务,5.12,2.52,2.6,0.0,175729.1426
1218,002763.SZ,汇洁股份,服饰,5.12,2.06,3.06,0.0,173175.4052
186,000610.SZ,西安旅游,旅游服务,5.12,-3.27,8.39,0.0,217826.2617
2097,300719.SZ,安达维尔,航空,5.11,1.52,3.59,0.0,107717.5723
2327,600226.SH,瀚叶股份,农药化肥,5.1,-4.79,9.89,2.0,892805.3147
2074,300694.SZ,蠡湖股份,汽车配件,5.07,4.92,0.15,0.0,124078.15
269,000723.SZ,美锦能源,焦炭加工,5.05,-3.07,8.12,0.0,696319.4919
477,002015.SZ,霞客环保,化纤,5.05,1.18,3.87,3.0,277687.7507
2481,600408.SH,*ST安泰,焦炭加工,5.05,6.01,-0.96,0.0,424869.6
868,002407.SZ,多氟多,化工原料,5.04,2.18,2.86,0.0,874556.5358
2102,300724.SZ,捷佳伟创,专用机械,5.02,-1.72,6.74,0.0,288800.0
1293,002845.SZ,同兴达,元器件,5.02,-3.94,8.96,0.0,147839.411
3087,601801.SH,皖新传媒,出版业,5.01,-1.8,6.81,0.0,1603299.018
1929,300543.SZ,朗科智能,电气设备,5.01,2.06,2.95,0.0,85668.6
2921,600966.SH,博汇纸业,造纸,5.0,2.71,2.29,0.0,499979.7637
847,002386.SZ,天原集团,化工原料,5.0,2.37,2.63,0.0,451368.8296
2077,300697.SZ,电工合金,铜,5.0,2.45,2.55,0.0,67756.0
1763,300376.SZ,易事特,电气设备,5.0,-4.62,9.62,1.0,1411843.5613
131,000539.SZ,粤电力A,火力发电,4.99,-1.93,6.92,0.0,1215659.751
1327,002881.SZ,美格智能,通信设备,4.97,2.13,2.84,0.0,100561.902
118,000524.SZ,岭南控股,酒店餐饮,4.97,-2.36,7.33,0.0,222253.8531
1913,300527.SZ,中国应急,专用机械,4.96,2.1,2.86,0.0,237435.2781
1850,300463.SZ,迈克生物,医疗保健,4.95,-1.39,6.34,0.0,734879.2399
1602,300213.SZ,佳讯飞鸿,通信设备,4.95,5.4,-0.45,1.0,352250.1157
3235,603168.SH,莎普爱思,化学制药,4.95,1.63,3.32,0.0,238171.3425
1049,002589.SZ,瑞康医药,医药商业,4.94,2.77,2.17,0.0,937147.3632
2731,600715.SH,文投控股,影视音像,4.94,3.67,1.27,0.0,687046.786
2680,600658.SH,电子城,园区开发,4.93,2.01,2.92,2.0,738266.1297
961,002500.SZ,山西证券,证券,4.93,-5.35,10.28,0.0,2432703.6316
2307,600202.SH,*ST哈空,电气设备,4.93,2.71,2.22,0.0,191286.9953
1509,300119.SZ,瑞普生物,生物制药,4.93,3.34,1.59,2.0,278246.5211
788,002327.SZ,富安娜,纺织,4.92,-2.4,7.32,0.0,447014.4694
3335,603387.SH,基蛋生物,生物制药,4.92,-1.52,6.44,1.0,312842.5944
944,002483.SZ,润邦股份,工程机械,4.9,1.83,3.07,1.0,320176.7796
1779,300392.SZ,腾信股份,互联网,4.9,5.51,-0.61,0.0,230398.2059
2124,300749.SZ,顶固集创,家居用品,4.9,-5.99,10.89,0.0,108670.5
1347,002902.SZ,铭普光磁,元器件,4.89,2.79,2.1,1.0,220294.2
1215,002760.SZ,凤形股份,机械基件,4.89,2.49,2.4,0.0,125204.8991
1617,300228.SZ,富瑞特装,化工机械,4.87,1.61,3.26,0.0,289957.3221
2108,300731.SZ,科创新源,橡胶,4.87,3.07,1.8,1.0,181950.8066
2684,600663.SH,陆家嘴,园区开发,4.86,3.86,1.0,1.0,4412414.916
519,002057.SZ,中钢天源,元器件,4.82,2.03,2.79,1.0,274253.4683
2371,600278.SH,东方创业,商贸代理,4.82,2.03,2.79,0.0,584388.5059
326,000811.SZ,冰轮环境,工程机械,4.82,1.02,3.8,2.0,534186.1654
2203,600084.SH,中葡股份,红黄药酒,4.8,4.48,0.32,0.0,395551.8442
2011,300630.SZ,普利制药,化学制药,4.79,-1.65,6.44,0.0,716193.9178
178,000600.SZ,建投能源,火力发电,4.79,3.23,1.56,0.0,766301.0206
