,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE
170,600844.SH,丹化科技,化工原料,4.8,1.42
171,603308.SH,应流股份,专用机械,12.45,1.42
172,002045.SZ,国光电器,元器件,6.85,1.41
173,002487.SZ,大金重工,钢加工,5.47,1.4
174,000632.SZ,三木集团,综合类,6.23,1.4
175,002273.SZ,水晶光电,元器件,14.67,1.4
176,300394.SZ,天孚通信,通信设备,34.5,1.4
177,000007.SZ,全新好,酒店餐饮,8.38,1.39
178,000032.SZ,深桑达A,元器件,11.37,1.39
179,300352.SZ,北信源,软件服务,6.25,1.38
180,300476.SZ,胜宏科技,元器件,14.3,1.38
181,300760.SZ,迈瑞医疗,医疗保健,184.46,1.38
182,002568.SZ,百润股份,红黄酒,21.36,1.38
183,002902.SZ,铭普光磁,元器件,30.85,1.38
184,002153.SZ,石基信息,软件服务,39.45,1.38
185,000601.SZ,韶能股份,水力发电,5.93,1.38
186,300468.SZ,四方精创,软件服务,20.59,1.37
187,300144.SZ,宋城演艺,旅游景点,27.94,1.37
188,002111.SZ,威海广泰,航空,15.88,1.36
189,300253.SZ,卫宁健康,软件服务,15.88,1.36
190,600456.SH,宝钛股份,小金属,26.88,1.36
191,300369.SZ,绿盟科技,软件服务,16.82,1.36
192,000048.SZ,*ST康达,饲料,25.3,1.35
193,300285.SZ,国瓷材料,陶瓷,22.32,1.35
194,002134.SZ,天津普林,元器件,9.36,1.35
195,002439.SZ,启明星辰,软件服务,31.98,1.35
196,000058.SZ,深赛格,元器件,8.29,1.34
197,300368.SZ,汇金股份,IT设备,9.15,1.34
198,002821.SZ,凯莱英,生物制药,117.85,1.34
199,300751.SZ,迈为股份,专用机械,164.06,1.33
200,000975.SZ,银泰资源,铅锌,13.04,1.33
201,300244.SZ,迪安诊断,医疗保健,24.51,1.33
202,002626.SZ,金达威,食品,16.43,1.33
203,603933.SH,睿能科技,纺织机械,20.52,1.33
204,002352.SZ,顺丰控股,仓储物流,39.42,1.32
205,603956.SH,威派格,专用机械,22.68,1.32
206,603806.SH,福斯特,塑料,45.4,1.32
207,300202.SZ,聚龙股份,专用机械,9.18,1.31
208,300127.SZ,银河磁体,元器件,18.18,1.31
209,603688.SH,石英股份,矿物制品,15.3,1.31
210,600276.SH,恒瑞医药,化学制药,80.68,1.3
211,600809.SH,山西汾酒,白酒,77.31,1.3
212,000661.SZ,长春高新,生物制药,394.36,1.3
213,603908.SH,牧高笛,纺织,29.58,1.29
214,603703.SH,盛洋科技,通信设备,14.78,1.28
215,300208.SZ,青岛中程,电气设备,7.86,1.28
216,300012.SZ,华测检测,电器仪表,12.62,1.27
217,300689.SZ,澄天伟业,元器件,37.79,1.27
218,300748.SZ,金力永磁,元器件,37.7,1.27
219,002486.SZ,嘉麟杰,服饰,4.84,1.27
220,600593.SH,大连圣亚,旅游服务,40.98,1.27
221,603638.SH,艾迪精密,专用机械,25.7,1.27
222,002655.SZ,共达电声,元器件,10.16,1.26
223,300115.SZ,长盈精密,元器件,14.19,1.26
224,600641.SH,万业企业,区域地产,13.42,1.25
225,002236.SZ,大华股份,电器仪表,17.27,1.25
226,603605.SH,珀莱雅,日用化工,81.17,1.25
227,002815.SZ,崇达技术,元器件,18.41,1.25
228,300533.SZ,冰川网络,软件服务,44.28,1.25
229,300078.SZ,思创医惠,元器件,11.78,1.24
230,300034.SZ,钢研高纳,小金属,16.45,1.24
231,002800.SZ,天顺股份,仓储物流,24.25,1.24
232,603666.SH,亿嘉和,专用机械,64.04,1.23
233,000949.SZ,新乡化纤,化纤,3.82,1.23
234,300113.SZ,顺网科技,互联网,18.65,1.22
235,002156.SZ,通富微电,半导体,10.95,1.22
236,600378.SH,昊华科技,化工原料,17.4,1.21
237,603920.SH,世运电路,元器件,16.38,1.21
238,600519.SH,贵州茅台,白酒,1150.0,1.21
239,300464.SZ,星徽精密,机械基件,10.4,1.2
240,603607.SH,京华激光,造纸,22.47,1.19
241,002643.SZ,万润股份,化工原料,12.51,1.19
242,002751.SZ,易尚展示,家居用品,26.48,1.19
243,603189.SH,网达软件,软件服务,16.66,1.19
244,002880.SZ,卫光生物,生物制药,52.55,1.18
245,600201.SH,生物股份,生物制药,18.87,1.18
246,600769.SH,祥龙电业,建筑工程,6.56,1.18
247,002732.SZ,燕塘乳业,乳制品,21.22,1.17
248,002179.SZ,中航光电,元器件,41.18,1.17
249,300316.SZ,晶盛机电,专用机械,14.89,1.16
250,000089.SZ,深圳机场,机场,11.01,1.16
251,300529.SZ,健帆生物,医疗保健,75.9,1.15
252,002785.SZ,万里石,其他建材,12.6,1.15
253,600131.SH,岷江水电,水力发电,18.52,1.15
254,000001.SZ,平安银行,银行,15.59,1.15
255,603976.SH,正川股份,医疗保健,19.22,1.15
256,603358.SH,华达科技,汽车配件,13.66,1.15
257,002017.SZ,东信和平,通信设备,15.22,1.15
258,600173.SH,卧龙地产,全国地产,5.35,1.14
259,601058.SH,赛轮轮胎,汽车配件,4.07,1.14
260,600850.SH,华东电脑,软件服务,25.07,1.14
261,002903.SZ,宇环数控,机床制造,18.3,1.14
262,603866.SH,桃李面包,食品,48.6,1.14
263,300571.SZ,平治信息,互联网,51.45,1.14
264,603305.SH,旭升股份,汽车配件,28.92,1.14
265,002475.SZ,立讯精密,元器件,26.76,1.14
266,603258.SH,电魂网络,互联网,21.9,1.13
267,603222.SH,济民制药,化学制药,44.9,1.13
268,603919.SH,金徽酒,白酒,17.83,1.13
269,002129.SZ,中环股份,半导体,12.11,1.13
270,600685.SH,中船防务,船舶,17.01,1.13
271,002138.SZ,顺络电子,元器件,21.71,1.12
272,300339.SZ,润和软件,软件服务,15.06,1.12
273,603683.SH,晶华新材,化工原料,15.71,1.12
274,300191.SZ,潜能恒信,石油开采,22.5,1.11
275,000035.SZ,中国天楹,环境保护,5.68,1.11
276,300615.SZ,欣天科技,元器件,23.06,1.1
277,002791.SZ,坚朗五金,其他建材,20.6,1.1
278,002388.SZ,新亚制程,元器件,7.94,1.09
279,002050.SZ,三花智控,机械基件,13.16,1.09
280,601231.SH,环旭电子,元器件,15.41,1.09
281,600867.SH,通化东宝,生物制药,17.5,1.08
282,300767.SZ,震安科技,橡胶,45.06,1.08
283,002939.SZ,长城证券,证券,14.8,1.08
284,002697.SZ,红旗连锁,超市连锁,7.45,1.07
285,300725.SZ,药石科技,化工原料,80.0,1.06
286,002058.SZ,威尔泰,电器仪表,14.37,1.06
287,000739.SZ,普洛药业,化学制药,11.83,1.06
288,300327.SZ,中颖电子,半导体,26.78,1.06
289,002777.SZ,久远银海,软件服务,36.08,1.06
290,000520.SZ,长航凤凰,水运,4.11,1.06
291,002180.SZ,纳思达,IT设备,29.72,1.06
292,300543.SZ,朗科智能,电气设备,21.8,1.06
293,603228.SH,景旺电子,元器件,46.13,1.05
294,002835.SZ,同为股份,元器件,12.11,1.05
295,300052.SZ,中青宝,互联网,12.17,1.05
296,300345.SZ,红宇新材,钢加工,8.5,1.05
297,300207.SZ,欣旺达,元器件,15.15,1.05
298,300726.SZ,宏达电子,元器件,27.21,1.05
299,002410.SZ,广联达,软件服务,35.49,1.05
300,603005.SH,晶方科技,半导体,21.58,1.05
301,300366.SZ,创意信息,软件服务,10.45,1.05
302,600861.SH,北京城乡,百货,9.55,1.05
303,002364.SZ,中恒电气,电气设备,12.36,1.05
304,300033.SZ,同花顺,软件服务,99.2,1.04
305,603198.SH,迎驾贡酒,白酒,21.83,1.04
306,300686.SZ,智动力,元器件,19.2,1.04
307,603939.SH,益丰药房,医药商业,78.82,1.03
308,300395.SZ,菲利华,玻璃,22.09,1.03
309,601958.SH,金钼股份,小金属,7.55,1.03
310,300397.SZ,天和防务,通信设备,22.43,1.03
311,600261.SH,阳光照明,家用电器,4.35,1.03
312,600603.SH,广汇物流,仓储物流,5.57,1.03
313,002428.SZ,云南锗业,小金属,7.95,1.02
314,603883.SH,老百姓,医药商业,75.73,1.01
315,002861.SZ,瀛通通讯,通信设备,24.81,1.01
316,002049.SZ,紫光国微,元器件,51.09,1.01
317,600525.SH,长园集团,电气设备,6.35,1.0
318,603681.SH,永冠新材,化工原料,29.0,1.0
319,600083.SH,博信股份,综合类,19.16,1.0
320,300445.SZ,康斯特,电器仪表,14.12,1.0
321,300330.SZ,华虹计通,软件服务,10.25,0.99
322,300162.SZ,雷曼光电,元器件,8.19,0.99
323,600078.SH,澄星股份,化工原料,5.1,0.99
324,600546.SH,山煤国际,煤炭开采,6.13,0.98
325,600647.SH,同达创业,综合类,17.88,0.98
326,601966.SH,玲珑轮胎,汽车配件,20.38,0.98
327,002690.SZ,美亚光电,专用机械,33.11,0.98
328,300487.SZ,蓝晓科技,化工原料,34.91,0.98
329,300674.SZ,宇信科技,软件服务,30.41,0.97
330,300494.SZ,盛天网络,互联网,12.23,0.97
331,603133.SH,碳元科技,元器件,17.72,0.97
332,603823.SH,百合花,染料涂料,21.86,0.97
333,603690.SH,至纯科技,专用机械,22.6,0.97
334,600031.SH,三一重工,工程机械,14.28,0.97
335,002876.SZ,三利谱,元器件,43.5,0.97
336,603199.SH,九华旅游,旅游景点,24.73,0.96
337,002237.SZ,恒邦股份,黄金,13.15,0.96
338,300190.SZ,维尔利,环境保护,7.16,0.96
339,000858.SZ,五粮液,白酒,129.8,0.96
340,300573.SZ,兴齐眼药,化学制药,75.73,0.95
341,300267.SZ,尔康制药,化学制药,6.16,0.95
342,600628.SH,新世界,百货,8.67,0.95
343,300565.SZ,科信技术,通信设备,15.29,0.94
344,002853.SZ,皮阿诺,家居用品,21.26,0.94
345,000034.SZ,神州数码,综合类,15.84,0.94
346,300460.SZ,惠伦晶体,元器件,10.3,0.94
347,600886.SH,国投电力,水力发电,9.01,0.94
348,600079.SH,人福医药,化学制药,12.32,0.93
349,600511.SH,国药股份,医药商业,27.25,0.93
350,002395.SZ,双象股份,塑料,21.48,0.93
351,300708.SZ,聚灿光电,半导体,14.25,0.93
352,600315.SH,上海家化,日用化工,34.35,0.93
353,002729.SZ,好利来,元器件,37.92,0.93
354,600380.SH,健康元,化学制药,9.81,0.92
355,300454.SZ,深信服,软件服务,109.65,0.92
356,300559.SZ,佳发教育,软件服务,25.7,0.92
357,300598.SZ,诚迈科技,软件服务,35.15,0.92
358,300428.SZ,四通新材,铝,12.84,0.92
359,300697.SZ,电工合金,铜,14.88,0.91
360,603505.SH,金石资源,矿物制品,20.13,0.91
361,300220.SZ,金运激光,元器件,38.87,0.91
362,603021.SH,山东华鹏,玻璃,7.48,0.91
363,300584.SZ,海辰药业,化学制药,29.36,0.91
364,601888.SH,中国国旅,旅游服务,93.06,0.91
365,002892.SZ,科力尔,电气设备,50.49,0.91
366,603031.SH,安德利,百货,14.6,0.91
367,600608.SH,ST沪科,钢加工,5.03,0.9
368,300114.SZ,中航电测,元器件,10.94,0.9
369,603444.SH,吉比特,互联网,270.08,0.9
370,600206.SH,有研新材,半导体,10.89,0.89
371,603636.SH,南威软件,软件服务,11.53,0.89
372,603839.SH,安正时尚,服饰,13.97,0.89
373,002511.SZ,中顺洁柔,造纸,12.45,0.88
374,002913.SZ,奥士康,元器件,51.63,0.88
375,000010.SZ,*ST美丽,建筑工程,3.36,0.88
376,000708.SZ,大冶特钢,特种钢,16.02,0.88
377,300735.SZ,光弘科技,通信设备,26.44,0.88
378,603778.SH,乾景园林,建筑工程,4.95,0.87
379,300724.SZ,捷佳伟创,专用机械,32.4,0.87
380,300270.SZ,中威电子,通信设备,9.37,0.87
381,600195.SH,中牧股份,饲料,14.24,0.86
382,002250.SZ,联化科技,化工原料,12.89,0.86
383,603369.SH,今世缘,白酒,32.32,0.86
384,002078.SZ,太阳纸业,造纸,7.93,0.85
385,002353.SZ,杰瑞股份,化工机械,27.01,0.85
386,300041.SZ,回天新材,化工原料,10.41,0.85
387,002837.SZ,英维克,专用机械,18.89,0.85
388,002647.SZ,仁东控股,多元金融,16.05,0.84
389,002379.SZ,宏创控股,铝,3.91,0.84
390,002579.SZ,中京电子,元器件,11.12,0.84
391,603803.SH,瑞斯康达,通信设备,13.44,0.84
392,300650.SZ,太龙照明,电气设备,16.93,0.84
393,600612.SH,老凤祥,服饰,49.01,0.84
394,603090.SH,宏盛股份,专用机械,17.12,0.84
395,000636.SZ,风华高科,元器件,14.31,0.83
396,300702.SZ,天宇股份,化学制药,41.29,0.83
397,603081.SH,大丰实业,专用机械,14.56,0.83
398,002315.SZ,焦点科技,互联网,18.04,0.83
399,002214.SZ,大立科技,电器仪表,10.71,0.82
400,300420.SZ,五洋停车,机械基件,6.81,0.82
401,002705.SZ,新宝股份,家用电器,12.66,0.82
402,603008.SH,喜临门,家居用品,12.44,0.82
403,600837.SH,海通证券,证券,14.3,0.81
404,600570.SH,恒生电子,软件服务,73.93,0.81
405,002949.SZ,华阳国际,建筑工程,23.63,0.81
406,300036.SZ,超图软件,软件服务,17.24,0.8
407,300085.SZ,银之杰,软件服务,15.99,0.8
408,300558.SZ,贝达药业,化学制药,46.13,0.8
409,603121.SH,华培动力,汽车配件,24.41,0.8
410,002636.SZ,金安国纪,元器件,8.9,0.8
411,603178.SH,圣龙股份,汽车配件,11.6,0.8
412,603386.SH,广东骏亚,元器件,16.99,0.79
413,002106.SZ,莱宝高科,元器件,8.26,0.79
414,600845.SH,宝信软件,软件服务,35.76,0.79
415,002634.SZ,棒杰股份,服饰,7.35,0.79
416,603043.SH,广州酒家,食品,33.6,0.79
417,300023.SZ,宝德股份,专用机械,7.86,0.79
418,002714.SZ,牧原股份,农业综合,70.5,0.79
419,601369.SH,陕鼓动力,机械基件,7.0,0.78
420,603110.SH,东方材料,染料涂料,16.43,0.78
421,300383.SZ,光环新网,电信运营,18.58,0.78
422,002268.SZ,卫士通,软件服务,27.89,0.78
423,603477.SH,振静股份,纺织,9.07,0.78
424,002063.SZ,远光软件,软件服务,9.82,0.78
425,002870.SZ,香山股份,电器仪表,20.38,0.78
426,002506.SZ,协鑫集成,电气设备,6.71,0.78
427,600872.SH,中炬高新,食品,42.43,0.77
428,300473.SZ,德尔股份,汽车配件,34.88,0.77
429,002841.SZ,视源股份,元器件,87.88,0.77
430,000697.SZ,炼石航空,航空,13.13,0.77
431,300664.SZ,鹏鹞环保,环境保护,11.28,0.77
432,603136.SH,天目湖,旅游景点,23.33,0.76
433,002688.SZ,金河生物,化学制药,5.99,0.76
434,600323.SH,瀚蓝环境,水务,17.72,0.76
435,300429.SZ,强力新材,化工原料,12.65,0.75
436,600674.SH,川投能源,水力发电,9.98,0.75
437,300463.SZ,迈克生物,医疗保健,25.52,0.75
438,002378.SZ,章源钨业,小金属,6.73,0.75
439,002317.SZ,众生药业,中成药,10.22,0.75
440,000526.SZ,紫光学大,文教休闲,26.26,0.74
441,002617.SZ,露笑科技,电气设备,6.05,0.74
442,600212.SH,江泉实业,综合类,4.95,0.74
443,002202.SZ,金风科技,电气设备,12.52,0.74
444,300037.SZ,新宙邦,化工原料,25.32,0.73
445,300496.SZ,中科创达,软件服务,36.5,0.73
446,002911.SZ,佛燃股份,供气供热,17.31,0.73
447,600491.SH,龙元建设,建筑工程,7.78,0.73
448,300388.SZ,国祯环保,环境保护,10.74,0.73
449,601811.SH,新华文轩,出版业,13.93,0.73
450,002415.SZ,海康威视,电器仪表,32.3,0.72
451,300131.SZ,英唐智控,元器件,5.82,0.72
452,300549.SZ,优德精密,专用机械,14.37,0.72
453,600426.SH,华鲁恒升,农药化肥,16.43,0.72
454,002563.SZ,森马服饰,服饰,12.36,0.72
455,601615.SH,明阳智能,机械基件,12.38,0.72
456,300014.SZ,亿纬锂能,电气设备,30.39,0.72
457,002332.SZ,仙琚制药,生物制药,7.54,0.72
458,000657.SZ,中钨高新,小金属,7.3,0.72
459,600557.SH,康缘药业,中成药,16.8,0.72
460,603288.SH,海天味业,食品,109.91,0.72
461,600007.SH,中国国贸,园区开发,16.17,0.71
462,603208.SH,江山欧派,家居用品,35.57,0.71
463,002182.SZ,云海金属,小金属,8.55,0.71
464,603885.SH,吉祥航空,空运,13.67,0.71
465,601360.SH,三六零,互联网,23.48,0.71
466,600741.SH,华域汽车,汽车配件,23.5,0.71
467,002212.SZ,南洋股份,电气设备,16.16,0.71
468,002042.SZ,华孚时尚,纺织,7.26,0.71
469,601872.SH,招商轮船,水运,4.77,0.7
470,300442.SZ,普丽盛,轻工机械,15.52,0.7
471,603739.SH,蔚蓝生物,农业综合,27.79,0.7
472,600821.SH,津劝业,百货,4.95,0.69
473,600720.SH,祁连山,水泥,9.46,0.69
474,300074.SZ,华平股份,通信设备,4.61,0.69
475,002641.SZ,永高股份,塑料,4.43,0.69
476,601139.SH,深圳燃气,供气供热,6.44,0.69
477,300568.SZ,星源材质,化工原料,27.6,0.69
478,603180.SH,金牌厨柜,家居用品,64.18,0.68
479,600211.SH,西藏药业,中成药,36.67,0.68
480,300019.SZ,硅宝科技,化工原料,7.62,0.68
481,002481.SZ,双塔食品,食品,7.99,0.68
482,300636.SZ,同和药业,化学制药,21.63,0.67
483,600072.SH,中船科技,船舶,15.11,0.67
484,600063.SH,皖维高新,化纤,3.26,0.67
485,000868.SZ,*ST安凯,汽车整车,3.62,0.67
486,002781.SZ,奇信股份,装修装饰,18.51,0.67
487,300274.SZ,阳光电源,电气设备,11.3,0.67
488,300398.SZ,飞凯材料,染料涂料,14.24,0.67
489,603360.SH,百傲化学,化工原料,31.65,0.67
490,300142.SZ,沃森生物,生物制药,26.99,0.67
491,600961.SH,株冶集团,铅锌,9.05,0.67
492,601567.SH,三星医疗,电器仪表,7.09,0.66
493,300271.SZ,华宇软件,软件服务,21.75,0.66
494,603316.SH,诚邦股份,建筑工程,9.26,0.66
495,600470.SH,六国化工,农药化肥,4.58,0.66
496,002660.SZ,茂硕电源,电气设备,8.72,0.66
497,603318.SH,派思股份,专用机械,29.21,0.66
498,002635.SZ,安洁科技,IT设备,14.25,0.66
499,002866.SZ,传艺科技,IT设备,12.25,0.65
500,002583.SZ,海能达,通信设备,10.26,0.65
501,002557.SZ,洽洽食品,食品,25.49,0.65
502,000017.SZ,深中华A,文教休闲,4.77,0.65
503,603321.SH,梅轮电梯,运输设备,8.42,0.64
504,000672.SZ,上峰水泥,水泥,13.43,0.64
505,300700.SZ,岱勒新材,矿物制品,22.42,0.64
506,600030.SH,中信证券,证券,22.48,0.63
507,600765.SH,中航重机,机械基件,10.33,0.63
508,002664.SZ,长鹰信质,汽车配件,15.16,0.63
509,002845.SZ,同兴达,元器件,19.1,0.63
510,600416.SH,湘电股份,电气设备,7.06,0.63
