,ts_code,name,industry,COL_CURRENT_PRICE,circ_mv
970,002509.SZ,天广中茂,专用机械,3.13,662679.9911
2265,600159.SH,大龙地产,区域地产,3.13,259791.0116
3094,601866.SH,中远海发,水运,3.14,2490687.25
594,002132.SZ,恒星科技,钢加工,3.16,396288.7226
3113,601929.SH,吉视传媒,影视音像,3.16,983047.0038
296,000767.SZ,漳泽电力,火力发电,3.16,920285.2418
3040,601518.SH,吉林高速,路桥,3.16,383371.2
938,002477.SZ,雏鹰农牧,农业综合,3.17,624704.4828
986,002526.SZ,山东矿机,工程机械,3.18,516734.9678
385,000903.SZ,云内动力,机械基件,3.18,561979.9121
1493,300104.SZ,乐视网,互联网,3.18,977285.6829
467,002005.SZ,德豪润达,家用电器,3.2,514852.864
142,000552.SZ,靖远煤电,煤炭开采,3.25,506167.586
766,002305.SZ,南国置业,区域地产,3.26,529196.5602
2512,600467.SH,好当家,渔业,3.26,476284.1431
95,000428.SZ,华天酒店,酒店餐饮,3.26,332156.3307
1500,300111.SZ,向日葵,半导体,3.27,365337.3476
730,002269.SZ,美邦服饰,服饰,3.27,821587.5
2216,600103.SH,青山纸业,造纸,3.27,347222.2032
1098,002638.SZ,勤上股份,半导体,3.27,320253.9514
1014,002554.SZ,惠博普,石油开采,3.27,251624.9307
2193,600077.SH,宋都股份,全国地产,3.29,440900.2453
1605,300217.SZ,东方电热,电器仪表,3.3,292224.2014
1438,300048.SZ,合康新能,电气设备,3.3,333471.53
362,000875.SZ,吉电股份,火力发电,3.3,644922.0545
1524,300135.SZ,宝利国际,化工原料,3.31,305049.6
2771,600759.SH,洲际油气,石油开采,3.31,747458.91
3008,601218.SH,吉鑫科技,机械基件,3.32,329264.32
2348,600252.SH,中恒集团,中成药,3.33,1157210.68
2534,600496.SH,精工钢构,钢加工,3.34,504488.6968
2802,600794.SH,保税科技,仓储物流,3.35,399177.3426
417,000949.SZ,新乡化纤,化纤,3.37,411214.0625
272,000727.SZ,华东科技,元器件,3.38,990561.3755
682,002220.SZ,天宝食品,食品,3.39,224122.6134
2146,600017.SH,日照港,港口,3.4,1045722.3219
721,002260.SZ,*ST德奥,航空,3.4,90168.0
2959,601016.SH,节能风电,新型电力,3.41,1417045.96
1123,002663.SZ,普邦股份,建筑施工,3.41,426199.1603
609,002147.SZ,ST新光,区域地产,3.42,183649.5567
2329,600231.SH,凌钢股份,普钢,3.42,947710.2981
107,000509.SZ,华塑控股,其他建材,3.42,282314.1166
3048,601588.SH,北辰实业,区域地产,3.44,915040.0
2180,600063.SH,皖维高新,化纤,3.45,664433.6687
959,002498.SZ,汉缆股份,电气设备,3.45,1147430.5879
2584,600555.SH,海航创新,旅游服务,3.46,336831.0
2221,600108.SH,亚盛集团,农业综合,3.46,673632.6319
2160,600033.SH,福建高速,路桥,3.46,949562.4
522,002060.SZ,粤水电,建筑施工,3.48,418199.2059
2605,600578.SH,京能电力,火力发电,3.49,1861923.4817
2387,600300.SH,维维股份,软饮料,3.49,583528.0
231,000677.SZ,恒天海龙,化纤,3.5,302392.2818
2446,600370.SH,三房巷,纺织,3.5,279035.4805
977,002516.SZ,旷达科技,纺织,3.5,329953.1484
1073,002613.SZ,北玻股份,专用机械,3.5,220356.6341
256,000709.SZ,河钢股份,普钢,3.52,3737146.9932
2293,600190.SH,锦州港,港口,3.52,626378.5546
2290,600187.SH,国中水务,水务,3.54,515290.9767
3000,601188.SH,龙江交通,路桥,3.54,465821.0141
203,000631.SZ,顺发恒业,区域地产,3.55,863544.3046
191,000616.SZ,海航投资,全国地产,3.55,507726.1209
950,002489.SZ,浙江永强,家居用品,3.56,665870.9792
2338,600240.SH,华业资本,全国地产,3.56,507034.2816
3128,601991.SH,大唐发电,火力发电,3.57,3567986.52
244,000692.SZ,惠天热电,供气供热,3.57,190204.5592
890,002429.SZ,兆驰股份,家用电器,3.57,1418336.5948
2200,600084.SH,中葡股份,红黄药酒,3.58,402294.2051
483,002021.SZ,中捷资源,纺织机械,3.58,246114.2743
962,002501.SZ,利源精制,铝,3.59,359468.0405
2870,600870.SH,*ST厦华,家用电器,3.6,188351.8794
3106,601899.SH,紫金矿业,黄金,3.6,6075261.3013
167,000587.SZ,金洲慈航,批发业,3.61,437897.2779
2593,600565.SH,迪马股份,全国地产,3.61,855128.2385
2219,600106.SH,重庆路桥,路桥,3.62,397609.1508
2820,600815.SH,厦工股份,工程机械,3.62,347147.136
3130,601996.SH,丰林集团,林业,3.62,342084.208
1416,300026.SZ,红日药业,中成药,3.63,906382.7553
2239,600127.SH,金健米业,农业综合,3.63,232967.3081
2234,600121.SH,郑州煤电,煤炭开采,3.64,369584.9849
115,000520.SZ,长航凤凰,水运,3.64,368398.3776
932,002471.SZ,中超控股,电气设备,3.65,458787.8968
105,000506.SZ,中润资源,区域地产,3.65,338964.9008
1038,002578.SZ,闽发铝业,铝,3.66,206214.648
160,000573.SZ,粤宏远A,区域地产,3.66,227715.3191
2597,600569.SH,安阳钢铁,普钢,3.66,876088.523
2407,600322.SH,天房发展,区域地产,3.68,406897.6
2568,600533.SH,栖霞建设,区域地产,3.68,386400.0
2613,600586.SH,金晶科技,玻璃,3.68,531441.9376
3110,601918.SH,新集能源,煤炭开采,3.68,953319.3824
3060,601618.SH,中国中冶,建筑施工,3.68,6569763.8546
2444,600368.SH,五洲交通,路桥,3.68,414232.601
835,002374.SZ,丽鹏股份,建筑施工,3.69,295671.085
158,000571.SZ,新大洲A,综合类,3.69,297586.1658
2472,600399.SH,*ST抚钢,特种钢,3.7,729677.0
2185,600069.SH,银鸽投资,造纸,3.7,600818.5223
286,000753.SZ,漳州发展,汽车服务,3.72,328902.5147
201,000629.SZ,攀钢钒钛,小金属,3.72,1773375.7173
984,002523.SZ,天桥起重,工程机械,3.73,503628.966
2604,600577.SH,精达股份,电气设备,3.73,716684.1362
2153,600025.SH,华能水电,水力发电,3.74,3339072.0
3018,601288.SH,农业银行,银行,3.74,109976679.9201
2169,600052.SH,浙江广厦,区域地产,3.75,326920.9095
2918,600966.SH,博汇纸业,造纸,3.75,501316.608
840,002379.SZ,宏创控股,铝,3.76,348178.3323
217,000659.SZ,珠海中富,广告包装,3.76,483424.1475
292,000760.SZ,斯太尔,汽车配件,3.77,246725.489
302,000780.SZ,平庄能源,煤炭开采,3.77,382393.4841
2337,600239.SH,云南城投,区域地产,3.78,606949.6516
152,000564.SZ,供销大集,百货,3.78,713942.9126
254,000707.SZ,*ST双环,化工原料,3.78,175446.5322
2800,600792.SH,云煤能源,焦炭加工,3.79,375181.0444
2415,600331.SH,宏达股份,铅锌,3.8,772160.0
2322,600223.SH,鲁商置业,区域地产,3.8,380367.84
1691,300303.SZ,聚飞光电,半导体,3.8,430239.8448
2497,600439.SH,瑞贝卡,服饰,3.8,430154.4672
2275,600170.SH,上海建工,建筑施工,3.81,3233512.6829
2635,600610.SH,*ST毅达,建筑施工,3.82,143469.4934
2323,600225.SH,天津松江,区域地产,3.82,356327.8948
2488,600423.SH,*ST柳化,农药化肥,3.82,305101.4999
91,000422.SZ,*ST宜化,农药化肥,3.82,342964.5599
284,000751.SZ,锌业股份,铅锌,3.83,539978.4402
624,002162.SZ,悦心健康,医疗保健,3.83,326707.4245
3125,601988.SH,中国银行,银行,3.83,80723192.186
2165,600039.SH,四川路桥,建筑施工,3.84,1327515.9648
262,000716.SZ,黑芝麻,食品,3.84,238020.7269
1224,002770.SZ,科迪乳业,乳制品,3.84,223915.3044
264,000718.SZ,苏宁环球,区域地产,3.85,881388.771
60,000100.SZ,TCL集团,家用电器,3.85,4923295.3185
3026,601333.SH,广深铁路,铁路,3.86,2181763.482
437,000972.SZ,ST中基,食品,3.86,297715.4615
666,002204.SZ,大连重工,专用机械,3.87,747440.2024
2308,600208.SH,新湖中宝,全国地产,3.87,3327492.5334
2757,600744.SH,华银电力,火力发电,3.87,320294.5136
128,000536.SZ,华映科技,元器件,3.87,775293.9589
767,002306.SZ,*ST云网,酒店餐饮,3.88,307772.6433
1577,300189.SZ,神农基因,种植业,3.88,342498.2863
2577,600546.SH,山煤国际,煤炭开采,3.89,771175.4385
126,000533.SZ,顺钠股份,电气设备,3.89,266427.0336
173,000595.SZ,宝塔实业,机械基件,3.9,294172.3785
775,002314.SZ,南山控股,区域地产,3.9,443846.4135
908,002447.SZ,晨鑫科技,互联网,3.9,517704.642
249,000700.SZ,模塑科技,汽车配件,3.91,280428.344
2355,600261.SH,阳光照明,家用电器,3.91,567772.2456
2634,600609.SH,金杯汽车,汽车配件,3.91,427232.8486
956,002495.SZ,佳隆股份,食品,3.91,266682.5091
718,002256.SZ,兆新股份,染料涂料,3.93,490078.5932
404,000927.SZ,一汽夏利,汽车整车,3.93,626902.1873
2931,600982.SH,宁波热电,供气供热,3.94,294290.42
1422,300032.SZ,金龙机电,元器件,3.94,311006.8369
1499,300110.SZ,华仁药业,化学制药,3.95,465309.1057
2161,600035.SH,楚天高速,路桥,3.95,603047.745
1582,300194.SZ,福安药业,化学制药,3.96,236823.7283
8,000010.SZ,美丽生态,建筑施工,3.96,206779.8538
1053,002593.SZ,日上集团,汽车配件,3.97,185233.6019
2953,601008.SH,连云港,港口,3.97,403040.3951
460,001896.SZ,豫能控股,火力发电,3.97,369016.2136
3051,601599.SH,鹿港文化,影视音像,3.97,354411.8107
887,002426.SZ,胜利精密,元器件,3.98,858797.4863
2595,600567.SH,山鹰纸业,造纸,3.98,1824664.7651
2814,600808.SH,马钢股份,普钢,3.98,2375164.972
2977,601107.SH,四川成渝,路桥,3.99,862933.26
3,000005.SZ,世纪星源,房产服务,3.99,422120.5506
1125,002665.SZ,首航节能,电气设备,4.0,902581.3856
2806,600798.SH,宁波海运,水运,4.0,412340.3792
2843,600839.SH,四川长虹,家用电器,4.0,1845716.22
786,002325.SZ,洪涛股份,装修装饰,4.01,369133.8818
1136,002676.SZ,顺威股份,塑料,4.01,288705.8984
2976,601106.SH,中国一重,工程机械,4.02,2628276.0
2230,600117.SH,西宁特钢,特种钢,4.03,298711.3586
116,000521.SZ,长虹美菱,家用电器,4.04,324226.3592
2790,600780.SH,通宝能源,火力发电,4.04,463187.0193
1452,300063.SZ,天龙集团,染料涂料,4.04,224700.8885
1635,300247.SZ,融捷健康,医疗保健,4.04,247332.1512
234,000680.SZ,山推股份,工程机械,4.05,428053.0726
2397,600311.SH,荣华实业,黄金,4.06,270233.6
2325,600227.SH,圣济堂,农药化肥,4.06,505632.7431
2880,600881.SH,亚泰集团,水泥,4.07,1311916.3413
421,000953.SZ,ST河化,农药化肥,4.07,119682.1909
650,002188.SZ,*ST巴士,广告包装,4.07,89746.0352
347,000838.SZ,财信发展,区域地产,4.08,257926.0414
616,002154.SZ,报喜鸟,服饰,4.08,451826.9018
2846,600844.SH,丹化科技,化工原料,4.08,335674.0987
2491,600428.SH,中远海特,水运,4.09,877980.1653
2609,600582.SH,天地科技,工程机械,4.09,1692682.8568
2737,600724.SH,宁波富达,区域地产,4.09,590981.5496
2296,600193.SH,*ST创兴,装修装饰,4.09,173977.557
3129,601992.SH,金隅集团,水泥,4.1,3417004.8882
3007,601216.SH,君正集团,化工原料,4.1,3459587.1299
168,000589.SZ,黔轮胎A,汽车配件,4.1,317916.975
2627,600601.SH,方正科技,电脑设备,4.11,902100.2848
809,002348.SZ,高乐股份,文教休闲,4.11,305410.2074
942,002481.SZ,双塔食品,食品,4.11,455029.4642
171,000592.SZ,平潭发展,林业,4.12,788542.0094
2372,600282.SH,南钢股份,普钢,4.12,1821994.4627
2405,600320.SH,振华重工,工程机械,4.12,1368663.0363
270,000725.SZ,京东方A,元器件,4.12,13950216.2312
861,002400.SZ,省广集团,广告包装,4.12,682725.8872
853,002392.SZ,北京利尔,其他建材,4.12,303635.7382
293,000761.SZ,本钢板材,普钢,4.12,1127232.0
350,000850.SZ,华茂股份,纺织,4.13,389616.968
3023,601326.SH,秦港股份,港口,4.14,684443.3455
2798,600790.SH,轻纺城,商品城,4.14,606837.4442
93,000425.SZ,徐工机械,工程机械,4.14,2895335.0646
2478,600408.SH,*ST安泰,焦炭加工,4.15,417822.0
2324,600226.SH,瀚叶股份,农药化肥,4.15,827040.6375
1534,300145.SZ,中金环境,专用机械,4.16,615278.5829
529,002067.SZ,景兴纸业,造纸,4.16,405558.816
538,002076.SZ,雪莱特,家用电器,4.17,185720.6507
136,000545.SZ,金浦钛业,化工原料,4.17,400071.091
595,002133.SZ,广宇集团,全国地产,4.17,264777.129
738,002277.SZ,友阿股份,百货,4.17,581370.0576
3087,601818.SH,光大银行,银行,4.18,16640805.9311
2206,600091.SH,ST明科,化工原料,4.18,182838.435
360,000868.SZ,安凯客车,汽车整车,4.18,290744.7292
1101,002641.SZ,永高股份,塑料,4.18,374496.4318
444,000981.SZ,银亿股份,汽车配件,4.19,1078638.2364
2764,600751.SH,海航科技,水运,4.19,1078166.2128
571,002109.SZ,兴化股份,化工原料,4.19,228350.1538
681,002219.SZ,恒康医疗,中成药,4.19,781524.1653
2770,600758.SH,红阳能源,煤炭开采,4.21,330777.3866
2829,600824.SH,益民集团,百货,4.22,444799.4248
2973,601099.SH,太平洋,证券,4.22,2734060.5081
680,002218.SZ,拓日新能,半导体,4.22,513032.7128
2269,600163.SH,中闽能源,新型电力,4.22,421774.3271
995,002535.SZ,林州重机,工程机械,4.22,249180.7986
2139,600008.SH,首创股份,环境保护,4.23,2039119.7745
2194,600078.SH,澄星股份,化工原料,4.23,280268.3202
431,000966.SZ,长源电力,火力发电,4.24,469912.4499
2342,600246.SH,万通地产,区域地产,4.24,515923.2
1110,002650.SZ,加加食品,食品,4.24,401567.9662
1090,002630.SZ,华西能源,专用机械,4.24,411461.3719
2371,600281.SH,太化股份,化工原料,4.25,218620.8606
773,002312.SZ,三泰控股,电脑设备,4.26,432169.3725
1552,300163.SZ,先锋新材,其他建材,4.27,140725.5749
2683,600665.SH,天地源,全国地产,4.28,369844.439
2960,601018.SH,宁波港,港口,4.28,5478400.0
2350,600256.SH,广汇能源,石油开采,4.28,2883480.1996
2817,600811.SH,东方集团,综合类,4.28,1401046.5805
622,002160.SZ,常铝股份,铝,4.28,257672.8666
369,000883.SZ,湖北能源,火力发电,4.28,2783938.3739
280,000737.SZ,*ST南风,日用化工,4.29,235418.04
1689,300301.SZ,长方集团,半导体,4.3,236712.3069
147,000558.SZ,莱茵体育,文教休闲,4.3,553974.581
1472,300083.SZ,劲胜智能,元器件,4.3,536988.4552
2571,600537.SH,亿晶光电,半导体,4.31,507010.8445
2913,600960.SH,渤海汽车,汽车配件,4.32,293815.5388
213,000652.SZ,泰达股份,批发业,4.32,636822.2955
803,002342.SZ,巨力索具,机械基件,4.32,380650.59
1655,300267.SZ,尔康制药,化学制药,4.33,592741.4992
947,002486.SZ,嘉麟杰,服饰,4.33,354767.725
1586,300198.SZ,纳川股份,塑料,4.33,324104.048
3002,601199.SH,江南水务,水务,4.33,404946.0564
1644,300256.SZ,星星科技,元器件,4.34,336468.8952
2684,600666.SH,奥瑞德,元器件,4.35,349590.1564
66,000157.SZ,中联重科,工程机械,4.36,2743170.2542
879,002418.SZ,康盛股份,机械基件,4.36,437573.2083
1518,300129.SZ,泰胜风能,电气设备,4.37,234035.7433
626,002164.SZ,宁波东力,电气设备,4.37,192255.2689
3065,601666.SH,平煤股份,煤炭开采,4.37,1031829.0971
170,000591.SZ,太阳能,新型电力,4.37,890212.232
3052,601600.SH,中国铝业,铝,4.38,4800406.5334
425,000959.SZ,首钢股份,普钢,4.39,1302304.939
413,000937.SZ,冀中能源,煤炭开采,4.39,1275997.3306
2853,600853.SH,龙建股份,建筑施工,4.4,236195.3695
2309,600209.SH,*ST罗顿,综合类,4.4,193164.9144
146,000557.SZ,西部创业,铁路,4.4,257507.8942
430,000965.SZ,天保基建,区域地产,4.41,489435.4247
672,002210.SZ,飞马国际,仓储物流,4.42,720477.1726
2587,600558.SH,大西洋,钢加工,4.42,396741.3353
1089,002629.SZ,仁智股份,石油开采,4.42,152313.3914
2422,600339.SH,中油工程,石油加工,4.43,687616.0333
3109,601908.SH,京运通,电气设备,4.43,882906.8415
2713,600698.SH,湖南天雁,汽车配件,4.43,326541.4395
2493,600433.SH,冠豪高新,造纸,4.44,564464.0567
2540,600502.SH,安徽水利,建筑施工,4.45,405274.8602
1460,300071.SZ,华谊嘉信,广告包装,4.46,185983.9789
1395,300005.SZ,探路者,服饰,4.46,295351.342
248,000698.SZ,沈阳化工,化工原料,4.46,350414.5016
110,000514.SZ,渝开发,区域地产,4.46,376321.8504
453,000995.SZ,*ST皇台,白酒,4.47,79300.2362
2854,600854.SH,春兰股份,家用电器,4.48,232717.425
639,002177.SZ,御银股份,电脑设备,4.49,289389.1989
2438,600361.SH,华联综超,超市连锁,4.51,300279.371
2868,600868.SH,梅雁吉祥,水力发电,4.51,856065.0542
2729,600716.SH,凤凰股份,区域地产,4.51,410509.5794
2419,600336.SH,澳柯玛,家用电器,4.52,331016.3353
790,002329.SZ,皇氏集团,乳制品,4.52,234420.3631
2475,600403.SH,大有能源,煤炭开采,4.52,1080647.2057
706,002244.SZ,滨江集团,区域地产,4.52,1221712.5583
2137,600006.SH,东风汽车,汽车整车,4.52,904000.0
2183,600067.SH,冠城大通,全国地产,4.53,675926.1584
1725,300337.SZ,银邦股份,铝,4.53,317416.9084
1071,002611.SZ,东方精工,轻工机械,4.54,504324.9107
524,002062.SZ,宏润建设,建筑施工,4.54,435206.991
717,002255.SZ,海陆重工,专用机械,4.54,243941.2002
2473,600400.SH,红豆股份,服饰,4.55,1135842.5023
944,002483.SZ,润邦股份,工程机械,4.55,305409.7164
2828,600823.SH,世茂股份,全国地产,4.55,1706781.5588
1703,300315.SZ,掌趣科技,互联网,4.56,1180978.8472
177,000599.SZ,青岛双星,汽车配件,4.56,350064.6067
3064,601636.SH,旗滨集团,玻璃,4.57,1192324.0343
2608,600581.SH,八一钢铁,普钢,4.57,700534.3266
113,000518.SZ,四环生物,生物制药,4.57,470497.8117
1654,300266.SZ,兴源环境,环境保护,4.58,669596.0234
3136,603002.SH,宏昌电子,化工原料,4.58,279482.221
2515,600470.SH,六国化工,农药化肥,4.59,239414.4
1545,300156.SZ,神雾环保,环境保护,4.6,332028.0
2369,600279.SH,重庆港九,港口,4.6,318760.9431
2361,600269.SH,赣粤高速,路桥,4.6,1074287.2264
2937,600988.SH,赤峰黄金,黄金,4.6,656135.4882
312,000793.SZ,华闻传媒,出版业,4.61,893869.254
1506,300117.SZ,嘉寓股份,装修装饰,4.61,329285.385
3210,603117.SH,万林物流,仓储物流,4.61,288535.0927
2528,600488.SH,天药股份,化学制药,4.62,447547.1907
549,002087.SZ,新野纺织,纺织,4.62,376825.0526
632,002170.SZ,芭田股份,农药化肥,4.62,302439.1829
744,002283.SZ,天润曲轴,汽车配件,4.62,472951.3903
64,000155.SZ,川能动力,农药化肥,4.62,432986.4
1647,300259.SZ,新天科技,电器仪表,4.63,335387.2575
2879,600880.SH,博瑞传播,广告包装,4.64,507166.0012
2435,600358.SH,国旅联合,旅游服务,4.64,234290.6102
2390,600303.SH,曙光股份,汽车整车,4.64,287830.4733
1713,300325.SZ,德威新材,塑料,4.66,370362.478
267,000721.SZ,西安饮食,酒店餐饮,4.66,203080.6774
634,002172.SZ,澳洋健康,化纤,4.67,324309.1265
1079,002619.SZ,艾格拉斯,互联网,4.67,652269.6952
131,000539.SZ,粤电力A,火力发电,4.67,1192674.5877
204,000632.SZ,三木集团,综合类,4.68,217847.1466
575,002113.SZ,天润数娱,互联网,4.68,386014.3991
78,000407.SZ,胜利股份,供气供热,4.69,349701.4563
2155,600027.SH,华电国际,火力发电,4.69,3281003.4919
3096,601872.SH,招商轮船,水运,4.69,2214112.3284
2955,601010.SH,文峰股份,超市连锁,4.69,866712.0
605,002143.SZ,印纪传媒,影视音像,4.69,456864.1049
822,002361.SZ,神剑股份,化工原料,4.7,289974.9229
2344,600248.SH,延长化建,建筑施工,4.7,285574.8012
6,000008.SZ,神州高铁,运输设备,4.7,1202228.0212
2441,600365.SH,通葡股份,红黄药酒,4.7,188000.0
54,000078.SZ,海王生物,生物制药,4.7,872627.7034
2813,600807.SH,*ST天业,区域地产,4.7,369898.6781
668,002206.SZ,海利得,化纤,4.71,430260.2879
12,000016.SZ,深康佳A,家用电器,4.71,751986.4953
1398,300008.SZ,天海防务,船舶,4.72,284337.6569
194,000620.SZ,新华联,全国地产,4.72,895233.2762
2481,600415.SH,小商品城,商品城,4.72,2569197.0911
424,000958.SZ,东方能源,火力发电,4.72,518856.9627
2725,600712.SH,南宁百货,百货,4.73,254454.8317
84,000415.SZ,渤海租赁,多元金融,4.74,1681694.1848
1412,300022.SZ,吉峰科技,农用机械,4.74,162477.8442
1396,300006.SZ,莱美药业,化学制药,4.75,318891.088
592,002130.SZ,沃尔核材,电气设备,4.75,449415.2436
2998,601179.SH,中国西电,电气设备,4.75,2434794.1172
930,002469.SZ,三维工程,建筑施工,4.76,220589.4556
327,000812.SZ,陕西金叶,广告包装,4.76,318564.339
371,000886.SZ,海南高速,路桥,4.77,461971.1362
881,002420.SZ,毅昌股份,塑料,4.77,186849.2198
3260,603227.SH,雪峰科技,化工原料,4.77,314199.9
208,000637.SZ,茂化实华,石油加工,4.78,175184.5942
2818,600812.SH,华北制药,化学制药,4.79,781155.4652
179,000601.SZ,韶能股份,水力发电,4.79,517239.5553
1604,300216.SZ,千山药机,医疗保健,4.8,135181.7626
1394,300004.SZ,南风股份,电气设备,4.8,214003.9598
948,002487.SZ,大金重工,钢加工,4.8,259200.0
1549,300160.SZ,秀强股份,玻璃,4.8,284617.163
2321,600222.SH,太龙药业,中成药,4.8,272101.9118
1680,300292.SZ,吴通控股,软件服务,4.81,495245.7121
1625,300237.SZ,美晨生态,建筑施工,4.81,695381.4532
2514,600469.SH,风神股份,汽车配件,4.81,270520.7598
2682,600664.SH,哈药股份,化学制药,4.81,1205845.3916
3011,601226.SH,华电重工,专用机械,4.81,555555.0
132,000540.SZ,中天金融,多元金融,4.82,3135665.767
627,002165.SZ,红宝丽,化工原料,4.82,254191.3023
464,002002.SZ,鸿达兴业,化工原料,4.83,1231242.4852
607,002145.SZ,中核钛白,化工原料,4.83,483096.9342
2916,600963.SH,岳阳林纸,造纸,4.83,503845.8685
2304,600202.SH,*ST哈空,电气设备,4.84,185536.8852
965,002504.SZ,弘高创意,装修装饰,4.84,200641.702
963,002502.SZ,骅威文化,影视音像,4.84,300788.7928
3586,603993.SH,洛阳钼业,小金属,4.85,8567899.7028
187,000611.SZ,天首发展,纺织,4.85,154883.7436
2209,600095.SH,哈高科,区域地产,4.85,175212.829
157,000570.SZ,苏常柴A,机械基件,4.85,199516.5481
176,000598.SZ,兴蓉环境,水务,4.85,1448316.022
