,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE,COL_ACCUMULATE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_DAILY_AGGRESSIVE_RATE
28,300115.SZ,长盈精密,元器件,17.87,2.52,1.49,9.99,1.26
29,300709.SZ,精研科技,元器件,89.2,2.82,2.98,5.0,1.24
30,300552.SZ,万集科技,软件服务,83.7,5.13,5.13,20.33,1.1
31,300661.SZ,圣邦股份,元器件,255.0,4.85,3.0,10.0,1.09
32,603378.SH,亚士创能,染料涂料,20.27,2.53,1.55,5.3,1.04
33,300558.SZ,贝达药业,化学制药,71.3,2.38,1.55,15.01,0.98
34,300315.SZ,掌趣科技,互联网,6.03,3.1,1.63,7.3,0.97
35,603879.SH,永悦科技,化工原料,11.97,2.39,1.34,10.0,0.93
36,603197.SH,保隆科技,汽车配件,30.85,2.49,1.48,16.97,0.92
37,002605.SZ,姚记科技,文教休闲,17.72,3.04,1.75,6.16,0.91
38,002332.SZ,仙琚制药,生物制药,10.5,2.23,1.36,10.05,0.89
39,603129.SH,春风动力,摩托车,37.3,2.85,1.74,10.0,0.85
40,600745.SH,闻泰科技,通信设备,102.5,5.16,3.76,10.0,0.85
41,603659.SH,璞泰来,化工原料,72.17,2.04,1.43,5.8,0.78
42,300004.SZ,南风股份,电气设备,6.54,2.02,1.43,15.21,0.77
43,600595.SH,*ST中孚,铝,2.04,2.65,1.43,10.23,0.75
44,300659.SZ,中孚信息,软件服务,56.49,2.14,2.68,6.21,0.73
45,300202.SZ,聚龙股份,专用机械,12.48,2.41,1.45,6.26,0.71
46,603477.SH,振静股份,纺织,12.39,2.29,1.58,9.98,0.71
47,600812.SH,华北制药,化学制药,7.74,2.54,1.85,6.95,0.68
48,002555.SZ,三七互娱,互联网,24.05,3.2,1.72,6.04,0.62
49,300655.SZ,晶瑞股份,化工原料,28.86,2.29,1.66,5.06,0.57
50,603121.SH,华培动力,汽车配件,25.79,2.06,1.22,7.51,0.56
51,002552.SZ,宝鼎科技,机械基件,25.15,5.45,3.09,9.99,0.51
52,300468.SZ,四方精创,软件服务,31.71,3.37,1.72,6.37,0.5
53,002524.SZ,光正集团,医疗保健,10.89,3.46,2.17,10.04,0.49
54,002201.SZ,九鼎新材,玻璃,22.45,3.42,3.39,7.15,0.49
55,603022.SH,新通联,广告包装,13.68,2.37,1.6,0.0,0.0
56,603021.SH,山东华鹏,玻璃,9.35,2.38,1.3,0.0,0.0
57,603976.SH,正川股份,医疗保健,24.26,2.06,1.38,0.0,0.0
58,000043.SZ,中航善达,房产服务,20.95,2.5,2.83,0.0,0.0
59,600703.SH,三安光电,半导体,17.68,2.76,1.31,0.0,0.0
60,300770.SZ,新媒股份,影视音像,116.02,2.16,1.25,0.0,0.0
61,300639.SZ,凯普生物,医疗保健,25.44,2.6,1.4,0.0,0.0
62,300548.SZ,博创科技,元器件,60.56,3.14,1.58,0.0,0.0
63,300379.SZ,东方通,软件服务,38.7,2.76,1.77,0.0,0.0
64,300360.SZ,炬华科技,电器仪表,12.3,2.39,1.34,0.0,0.0
65,300192.SZ,科斯伍德,文教休闲,14.87,2.56,1.5,0.0,0.0
66,300113.SZ,顺网科技,互联网,23.15,2.26,1.25,0.0,0.0
67,002901.SZ,大博医疗,医疗保健,61.37,2.53,1.9,0.0,0.0
68,002791.SZ,坚朗五金,其他建材,28.08,2.52,2.59,0.0,0.0
69,002624.SZ,完美世界,影视音像,37.77,2.47,1.32,0.0,0.0
70,002292.SZ,奥飞娱乐,影视音像,9.07,2.08,1.48,0.0,0.0
71,002241.SZ,歌尔股份,元器件,21.05,3.54,2.7,0.0,0.0
72,002123.SZ,梦网集团,互联网,21.2,2.04,2.64,0.0,0.0
73,603986.SH,兆易创新,半导体,194.05,3.54,1.69,0.0,0.0
