,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT_A,COL_LIMIT_COUNT_B,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
15,000993.SZ,000993,闽东电力,水力发电,8.24,1.0,1.0,37.03,中央汇金资产管理有限责任公司,1.0
16,600379.SH,600379,宝光股份,电气设备,8.99,1.0,1.0,32.66,中航证券-中国航发资产管理有限公司-中航证券兴航6号单一资产管理计划,1.0
17,000948.SZ,000948,南天信息,软件服务,10.68,1.0,1.0,37.65,上海境坦资产管理有限公司-境坦道生1号私募证券投资基金,1.0
18,603890.SH,603890,春秋电子,机械基件,14.39,1.0,1.0,55.48,"浙商银行股份有限公司-九泰久睿量化股票型证券投资基金
交通银行股份有限公司-易方达科融混合型证券投资基金
中国工商银行股份有限公司-海富通改革驱动灵活配置混合型证券投资基金
全国社保基金五零二组合",4.0
19,003015.SZ,003015,日久光电,元器件,15.66,1.0,1.0,10.67,,0.0
20,003000.SZ,003000,华文食品,食品,15.79,1.0,1.0,6.38,福建晋江红昌资产管理有限公司-红昌海丝2号私募证券投资基金,1.0
21,605268.SH,605268,王力安防,家居用品,16.34,1.0,1.0,11.09,,0.0
22,603706.SH,603706,东方环宇,供气供热,16.93,1.0,1.0,9.61,,0.0
23,605368.SH,605368,蓝天燃气,供气供热,18.21,1.0,1.0,12.19,,0.0
24,600916.SH,600916,中国黄金,黄金,19.98,1.0,1.0,38.29,,0.0
25,600416.SH,600416,湘电股份,电气设备,21.02,1.0,1.0,204.96,"中国银行股份有限公司-易方达均衡成长股票型证券投资基金
交通银行股份有限公司-博时新兴成长混合型证券投资基金
全国社保基金五零三组合
兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金
深圳市和沣资产管理有限公司-和沣远景私募证券投资基金
湖南省国企并购重组基金管理有限公司-湖南兴湘并购重组股权投资基金企业(有限合伙)
深圳市和沣资产管理有限公司-和沣融慧私募基金",7.0
26,605151.SH,605151,西上海,汽车配件,21.12,1.0,1.0,6.78,,0.0
27,600859.SH,600859,王府井,百货,32.26,1.0,1.0,242.19,"深圳永冠基金管理有限公司-永冠新瑞1号私募证券投资基金
北京京国瑞国企改革发展基金(有限合伙)
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",4.0
28,603533.SH,603533,掌阅科技,互联网,34.71,1.0,1.0,132.61,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-银华创业板两年定期开放混合型证券投资基金
招商银行股份有限公司-泓德卓远混合型证券投资基金",3.0
29,002995.SZ,002995,天地在线,互联网,51.94,1.0,1.0,8.19,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
30,600872.SH,600872,中炬高新,食品,52.89,1.0,1.0,423.01,"全国社保基金一零一组合
全国社保基金四零六组合
中国银行股份有限公司-兴全合丰三年持有期混合型证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
全国社保基金一零六组合
中国建设银行股份有限公司-兴全社会责任混合型证券投资基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金",8.0
31,002993.SZ,002993,奥海科技,元器件,60.31,1.0,1.0,27.68,"交通银行-融通行业景气证券投资基金
中国工商银行股份有限公司-宝盈人工智能主题股票型证券投资基金
中国银行股份有限公司-宝盈核心优势灵活配置混合型证券投资基金
建信基金-建设银行-中国人寿-中国人寿委托建信基金公司股票型组合
中国建设银行股份有限公司-融通新能源汽车主题精选灵活配置混合型证券投资基金
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合
中国农业银行股份有限公司-融通产业趋势先锋股票型证券投资基金
招商银行股份有限公司-富国科创板两年定期开放混合型证券投资基金
中国工商银行股份有限公司-富国创新科技混合型证券投资基金",9.0
32,600298.SH,600298,安琪酵母,食品,60.84,1.0,1.0,490.16,"全国社保基金四零六组合
中国工商银行-汇添富均衡增长混合型证券投资基金
中央汇金资产管理有限责任公司
汇添富基金管理股份有限公司-社保基金四二三组合
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金
中国建设银行股份有限公司-汇添富消费行业混合型证券投资基金",7.0
33,603893.SH,603893,瑞芯微,半导体,73.82,1.0,1.0,135.64,"交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
中国工商银行股份有限公司-万家自主创新混合型证券投资基金
中国农业银行股份有限公司-万家科技创新混合型证券投资基金",3.0
34,605358.SH,605358,立昂微,半导体,83.38,1.0,1.0,34.49,"福建平潭唐龙资产管理有限公司-唐龙量化阿尔法3号私募证券投资基金
方正证券-方正中期量化强势进取FOF1号集合资产管理计划-方正证券量化强势进取10号单一资产管理计划",2.0
35,000799.SZ,000799,酒鬼酒,白酒,173.86,1.0,1.0,571.84,"交通银行股份有限公司-汇添富中盘价值精选混合型证券投资基金
国泰君安证券资管-建设银行-国泰君安君得鑫两年持有期混合型集合资产管理计划
香港中央结算有限公司(陆股通)
国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国建设银行股份有限公司-汇添富消费行业混合型证券投资基金",6.0
36,605111.SH,605111,新洁能,半导体,181.84,1.0,1.0,45.18,上海量宇资产管理有限公司-冠一一号私募基金,1.0
37,603290.SH,603290,斯达半导,半导体,197.41,1.0,1.0,154.4,"中国农业银行股份有限公司-长城久嘉创新成长灵活配置混合型证券投资基金
中国建设银行股份有限公司-银河行业优选混合型证券投资基金
招商银行股份有限公司-银河创新成长混合型证券投资基金
招商银行股份有限公司-泓德睿泽混合型证券投资基金
中国工商银行股份有限公司-融通中国风1号灵活配置混合型证券投资基金
中国银行股份有限公司-大成科技消费股票型证券投资基金
中国建设银行股份有限公司-南方信息创新混合型证券投资基金",7.0
