,ts_code,name,industry,average_turnover_rate,continuous_fall,average_p_change,accumulate_p_change,last_p_change,circ_mv
3343,603533.SH,掌阅科技,互联网,2.384,2.0,-0.509,-1.022,-0.492,250673.0373
2837,600846.SH,同济科技,综合类,2.796,1.0,-0.933,-0.933,-2.961,450453.053
1350,002905.SZ,金逸影视,影视音像,2.972,1.0,-0.929,-0.929,-2.309,90988.8
296,000766.SZ,通化金马,中成药,0.76,2.0,-0.418,-0.849,3.668,486318.544
2812,600818.SH,中路股份,文教休闲,1.004,2.0,-0.388,-0.777,-3.391,264371.238
3396,603650.SH,彤程新材,化工原料,6.798,1.0,-0.775,-0.775,0.83,121480.8
2489,600448.SH,华纺股份,纺织,1.003,2.0,-0.352,-0.709,1.191,218746.4095
3339,603519.SH,立霸股份,家用电器,0.691,1.0,-0.704,-0.704,0.506,220386.2869
3461,603790.SH,雅运股份,染料涂料,11.199,1.0,-0.687,-0.687,8.256,86369.6
2425,600359.SH,新农开发,农业综合,2.231,2.0,-0.311,-0.655,0.879,175114.3844
2786,600789.SH,鲁抗医药,化学制药,1.856,2.0,-0.324,-0.655,-1.978,518765.3237
3225,603192.SH,汇得科技,化工原料,8.406,1.0,-0.554,-0.554,2.197,83120.001
2773,600774.SH,汉商集团,百货,0.462,3.0,-0.18,-0.539,-0.339,333560.6223
3096,601929.SH,吉视传媒,影视音像,0.419,2.0,-0.226,-0.457,-2.752,659506.4616
626,002163.SZ,中航三鑫,装修装饰,0.334,2.0,-0.22,-0.447,-1.348,352699.2873
2866,600877.SH,ST嘉陵,摩托车,0.28,1.0,-0.434,-0.434,0.872,318211.5845
2777,600778.SH,*ST友好,百货,0.231,4.0,-0.103,-0.416,-3.967,143099.8875
3350,603558.SH,健盛集团,纺织,0.382,2.0,-0.192,-0.386,0.291,321104.2912
1288,002838.SZ,道恩股份,塑料,0.592,1.0,-0.27,-0.27,-1.353,137210.0026
2553,600529.SH,山东药玻,医疗保健,1.333,4.0,-0.051,-0.26,-2.865,672019.4691
125,000531.SZ,穗恒运A,火力发电,0.307,1.0,-0.198,-0.198,-1.782,339800.0361
1025,002564.SZ,天沃科技,化工机械,0.665,2.0,-0.094,-0.19,0.381,317179.7478
553,002090.SZ,金智科技,软件服务,0.318,1.0,-0.055,-0.055,-0.663,416177.7523
1373,002930.SZ,宏川智慧,仓储物流,5.94,1.0,-0.037,-0.037,0.257,165944.24
3399,603657.SH,春光科技,塑料,8.774,1.0,-0.033,-0.033,0.568,72264.0
3389,603630.SH,拉芳家化,日用化工,2.439,1.0,0.0,0.0,-0.342,117885.4608
1010,002549.SZ,凯美特气,环境保护,2.448,1.0,0.0,0.0,-5.429,334926.8595
2641,600629.SH,华建集团,建筑施工,0.235,1.0,0.0,0.0,-0.509,437007.9846
1209,002752.SZ,昇兴股份,广告包装,1.088,1.0,0.0,0.0,0.694,123423.6484
494,002031.SZ,巨轮智能,汽车配件,0.312,2.0,0.001,0.0,-2.475,372451.3171
1105,002644.SZ,佛慈制药,中成药,0.134,1.0,0.0,0.0,-0.121,421292.025
3160,603058.SH,永吉股份,广告包装,0.869,2.0,0.049,0.098,1.463,237188.64
497,002034.SZ,旺能环境,环境保护,1.779,1.0,0.156,0.156,-0.856,181685.4101
822,002360.SZ,同德化工,化工原料,1.378,1.0,0.173,0.173,-1.384,169050.2962
433,000967.SZ,盈峰环境,环境保护,0.218,1.0,0.175,0.175,-0.701,619805.7743
3269,603311.SH,金海环境,专用机械,0.211,1.0,0.184,0.184,-0.459,227850.0
424,000957.SZ,中通客车,汽车整车,0.574,1.0,0.202,0.202,-3.232,283995.6052
2324,600238.SH,*ST椰岛,红黄药酒,0.183,1.0,0.21,0.21,-1.887,208260.7394
423,000955.SZ,欣龙控股,纺织,1.757,1.0,0.229,0.229,-1.826,231508.2375
372,000886.SZ,海南高速,路桥,0.572,1.0,0.248,0.248,-0.495,389334.1651
1051,002590.SZ,万安科技,汽车配件,0.578,1.0,0.279,0.279,-4.868,297181.48
2436,600371.SH,万向德农,种植业,0.535,1.0,0.298,0.298,-2.819,147414.3
2343,600261.SH,阳光照明,家用电器,0.329,2.0,0.156,0.301,-0.901,479193.9669
1122,002661.SZ,克明面业,食品,0.962,1.0,0.309,0.309,-0.769,422288.0042
2573,600555.SH,海航创新,旅游服务,0.921,1.0,0.329,0.329,1.311,300811.5
418,000949.SZ,新乡化纤,化纤,0.208,1.0,0.362,0.362,-2.166,330679.5577
290,000757.SZ,浩物股份,汽车配件,1.114,1.0,0.378,0.378,-0.188,239358.388
1119,002658.SZ,雪迪龙,环境保护,0.767,1.0,0.383,0.383,2.541,245895.8577
3408,603668.SH,天马科技,饲料,0.494,2.0,0.201,0.403,1.071,140409.6339
154,000565.SZ,渝三峡A,染料涂料,0.74,1.0,0.431,0.431,-0.215,201620.3823
2452,600389.SH,江山股份,农药化肥,0.156,1.0,0.441,0.441,-0.659,537273.0
1206,002749.SZ,国光股份,农药化肥,0.251,1.0,0.444,0.444,2.488,259173.2482
621,002158.SZ,汉钟精机,工程机械,0.793,2.0,0.252,0.498,-3.222,413256.4258
2472,600418.SH,江淮汽车,汽车整车,0.721,1.0,0.585,0.585,-2.907,948549.3706
1102,002641.SZ,永高股份,塑料,0.106,1.0,0.585,0.585,-1.163,304614.3225
563,002100.SZ,天康生物,饲料,0.518,1.0,0.617,0.617,-2.25,460506.3051
2902,600961.SH,株冶集团,铅锌,0.17,1.0,0.649,0.649,-3.226,395593.4355
504,002041.SZ,登海种业,种植业,0.518,1.0,0.68,0.68,-3.041,501596.8701
2769,600769.SH,祥龙电业,建筑施工,0.572,2.0,0.363,0.688,-2.961,159740.2872
44,000058.SZ,深赛格,元器件,4.386,2.0,0.35,0.701,-1.391,305051.7868
614,002151.SZ,北斗星通,通信设备,1.26,1.0,0.755,0.755,-3.936,560025.4534
325,000809.SZ,铁岭新城,区域地产,0.352,1.0,0.787,0.787,-1.562,207847.4058
2175,600071.SH,凤凰光学,元器件,0.515,1.0,0.81,0.81,1.378,209688.1786
854,002392.SZ,北京利尔,其他建材,0.692,1.0,0.885,0.885,-1.754,247625.2622
583,002120.SZ,韵达股份,仓储物流,0.465,1.0,0.895,0.895,-2.797,669896.0511
3433,603713.SH,密尔克卫,仓储物流,10.681,1.0,0.97,0.97,1.523,116875.92
450,000987.SZ,越秀金控,多元金融,0.401,1.0,0.998,0.998,-3.457,420992.5074
192,000616.SZ,海航投资,全国地产,0.726,1.0,1.071,1.071,-3.887,389018.3236
831,002369.SZ,卓翼科技,通信设备,3.012,1.0,1.16,1.16,-2.42,321435.3621
577,002114.SZ,罗平锌电,铅锌,0.512,1.0,1.189,1.189,-5.744,233478.5492
3120,603005.SH,晶方科技,半导体,1.226,1.0,1.227,1.227,-0.727,286045.8712
204,000631.SZ,顺发恒业,区域地产,0.234,1.0,1.329,1.329,-0.984,734620.7887
19,000023.SZ,深天地A,其他建材,6.798,1.0,1.761,1.761,4.36,209244.4099
1067,002606.SZ,大连电瓷,电气设备,8.122,1.0,1.764,1.764,0.173,233435.3769
2750,600748.SH,上实发展,全国地产,1.669,1.0,2.105,2.105,-2.577,798552.6705
1008,002547.SZ,春兴精工,通信设备,7.509,1.0,3.97,3.97,3.341,345394.755
2314,600228.SH,ST昌九,化工原料,0.895,1.0,5.039,5.039,1.107,198365.04
